ParlaMint-NO_2013-04-10.ana.ud394e26	The representative, Dagrun Eriksen, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e89	A good emergency response is an essential and important part of a good health service, and therefore it is important that there is a lot of attention around it, so that we can always ensure that we have as good an emergency response as possible. Therefore, the government has also been concerned about the facts, the Health Authority has done its job by revealing what is missing and weak, and it is constantly working to improve what is being revealed. Just because we ask for fault detection, we also get clarity about what fails, and then we are also able to do something and make sure that it gets better. But at the same time, it is important not to draw a picture of Norwegian emergency preparedness that is unsound or incorrect. It's e.g. so that an important part of the emergency response is that when an emergency occurs and the ambulance arrives, the first thing to do is to assess where the patient is to be transported. Then it's 90 pst. patients are transported to an emergency room where an experienced doctor is present. So the picture that's drawn from the fact that it's very common for you to just meet a gymnast, according to health care companies, is wrong. The second is that we've got a very good specialization, which makes that often when there's very serious situations, you're not being transported to the nearest emergency reception, but to what's best qualified to deal with your acute situation. That's also why we have good numbers when we look at international numbers, when it comes to acute disorders like this. myocardial infarction and stroke. Norway is at the top of survival, among others. Because we have a good emergency response and make sure people get to the right hospitals. Thirdly, we've also started work on going through the entire specialist education and looking at how we're going to decorate it, even when we're going to improve it in terms of emergency medicine.
ParlaMint-NO_2013-04-10.ana.ud394e100	The Prime Minister began by saying that the government was running a continuous work, asking for these conditions to be revealed, so that something could also be done about it. Then my very simple follow-up question becomes to the Prime Minister: What has the government done since 2008 to improve the actual situation at its emergency reception?
ParlaMint-NO_2013-04-10.ana.ud394e105	There are several things done. It is first mentioned in all the business meetings with the regional health establishments in spring 2008, on the basis of the supervisory reports submitted by the Health Authority. Entrepreneurship meetings were asked for the regional health establishments to carry out a systematic review of emergency preparedness. It has been reviewed and many improvements have been made, including: In order to strengthen medical competence at emergency receptions, strengthen what is called emergency assessment – which is about assessing where people are going when the seconds count – and getting more regular training and empowerment. So in addition, there's work going on going through the specialist structure, the training of doctors, to see if we're going to do something about it. The sum of this is that where we have international comparable figures, Norway has among the highest probability of survival when acute disorders occur. Brain strokes and heart attacks are among what we have comparable figures for, and there we are significantly better than before and better than other countries.
ParlaMint-NO_2013-04-10.ana.ud394e112	Follow-up questions will be raised. So far, two follow-up questions have been asked – first the representative Kari Kjønaas Kjos.
ParlaMint-NO_2013-04-10.ana.ud394e115	The Prime Minister and the Minister of Health draw a completely different picture of the situation at the emergency reception stations than the employee, relatives, patients and a number of others have drawn. The Prime Minister says the emergency services are good. Health enterprises in Health South-East will meet next week, and they will look at development processes to enhance the competence of the first line of emergency reception, with special emphasis on the medical side. We can read that in Health South-East's last newsletter. That means they've taken these reports very seriously, and that's very good. My question to the Prime Minister will then be: Are the emergency receptions good enough, or are they not?
ParlaMint-NO_2013-04-10.ana.ud394e122	Norwegian emergency reception can be better. That is why we are constantly implementing measures to strengthen them. However, compared to other countries and compared to the previous situation in Norway, the figures we have for Norwegian emergency services are for example. survival when given emergency accommodation, better now than before and better than in other countries where we have comparable figures. That we have some of the world's highest survival rates, for example. for strokes, which is an acute disorder of which people died to a large extent before, is an expression that at least something in Norwegian emergency preparedness works, among others. in the case of specialisation – sending to a hospital with the best opportunity to get good treatment quickly, not necessarily to the nearest hospital, but to a hospital with good competence. A wide range of measures have been implemented. Several operations shall be carried out. One important measure is that we have strengthened the hospital economy. I believe one reason why we have to warn against the commercialisation/privatisation that someone is calling for is that it will weaken the public hospitals, which must be responsible for emergency reception – that is what commercial hospitals will never take. If we give money to the commercial hospitals at the expense of the public, there will be lower emergency reception and preparedness in Norway.
ParlaMint-NO_2013-04-10.ana.ud394e129	Bent Höie – for follow-up questions.
ParlaMint-NO_2013-04-10.ana.ud394e132	The Prime Minister is constantly referring to survival rates in terms of myocardial infarction and stroke, etc. But none of these reports deal with patients with such acute disorders. There are patients who have very clear symptoms, who are essentially receiving very good treatment in Norwegian hospitals, because they are moving on quickly. The reports deal with those patients who have diffuse symptoms, who stay on the emergency wards for a long time, because they may first meet a nurse, so a surgeon who has an average of six months of experience, who again summons a doctor in the rear guard, who takes time to wait. It is this type of patient that is exposed to significantly more risk than is appreciated by the Health Authority. So my question to the Prime Minister is, what has happened to improve the quality of the patient group that the reports actually deal with, and not the patients that all agree that getting a good offer in Norwegian hospitals?
ParlaMint-NO_2013-04-10.ana.ud394e138	Well, the first thing you meet is often the ambulance. There is a desire to start treatment, and there is also a starting point for the assessment of where the patient should be. 90 pst. patients are transported to hospitals according to the Ministry of Health and Health, where there are experienced doctors in place. Where there are no experienced doctors in place, which are in the minority of the receptions where the patients arrive, you have a chain, people behind you, who are being mobilized, and who will normally be in place when the patients arrive at the hospital. Significant measures have therefore been implemented, both in the 2008 business meetings and in the 2009 mission documents, including: this with measures in the fields of medical competence, emergency assessment, training and competence has been of what has been carried out and which we continue to strengthen and expand. Where we have comparable figures between countries, this suggests that Norwegian emergency preparedness is good. Norway is among the few countries that now systematically monitor and publish errors and shortcomings – not because we believe Norwegian hospitals are flawless, but because when we get the mistakes on the table, we can also do something with them.
ParlaMint-NO_2013-04-10.ana.ud394e145	Line Henriette Hemdal – to the last follow-up question.
ParlaMint-NO_2013-04-10.ana.ud394e148	For the next 24 hours, many patients who visit the emergency department will get the help they need. They want to meet a health service that extends a long way. But there are also patients who in the next 24 hours unfortunately will not get that experience. The Norwegian Agency for Acute Medicine says that the studies they have conducted show that doctors on duty in Norwegian hospitals have an average of six months of experience. They meet at the emergency wards of doctors and doctors who are being trained. They have a rear guard, but if we base the Danish experience, it is only used backwards in between 6 and 10 pst. of those cases. If you ask about the last 10 percent that the Prime Minister has not spoken about today, the small hospital that has spinal doctors, who have inexperienced doctors. 10 pst. of our emergency recipients have doctors with less than six months of experience?
ParlaMint-NO_2013-04-10.ana.ud394e155	Norway has chosen to have many emergency facilities and decentralised structures. This means that some acute recipients are small — they have less capacity to deal with complex and severe disorders than the major ones. That's also why you're exposed to a very serious accident, suffering or illness, you're not being transported to the nearest small emergency room. You get transported to the big thing, where there's a lot of capacity, and where you have a much bigger chance of survival. It is the assessment carried out in the ambulance or in the ambulance helicopter. In the case of serious traffic accidents in the East, Ullevål is often transported to Ullevål and drives past many emergency receptions on the road, precisely because Ullevål has the best competence to ensure that people survive. Where there are no experienced medical doctors on bystander, it will be rear guard, which can be called upon and mobilized. They will usually be on guard when the patient arrives, because they are mobilized when the ambulance starts to run. I do not say that everything is good in Norwegian emergency preparedness, but I say that much is good. Then what is missing still needs to be improved.
ParlaMint-NO_2013-04-10.ana.ud394e164	Then we go to the next main question – from the representative Erna Solberg.
ParlaMint-NO_2013-04-10.ana.ud394e167	The situation in the case of acute recipients gives in particular an interesting insight into the effectiveness and governance of the health care system we have today. Four and a half years ago, we received an emergency response report from the Health Authority, which said that emergency preparedness in Norway is too poor. The Health Minister stood in Stortinget and said she agreed that the report showed that this was serious and that something had to be done about it. You did something about it -- that year. Then we got three new health ministers, who didn't do anything. We have received a new health surveillance report, which shows that the situation is about the same as it was four and a half years ago. I think this is a parallel to the discussion we have, among other things. have had after 22 July the capacity of the public to make improvements and learn from the reports we have received. Health supervision has the responsibility of making sure that health businesses and, of course, political management are aware of the challenges, mistakes and things that need to be improved. But it's the responsibility of political management to ensure continuity in that improvement work. But in four years it was only the first year, under Minister of Health, Brustad, that this was followed up. The next three health ministers have done nothing – until the next week. What does the Prime Minister think about the government's executive role in health care improvements? When the media's light goes out, the interest in following up matters turns off.
ParlaMint-NO_2013-04-10.ana.ud394e176	Work has been done over several years to improve Norwegian emergency preparedness. I have referred to several of the measures that have been implemented, which have been addressed both in business meetings with regional health companies and in mission documents. It's been over years. It is now in progress, and it will continue in the future. These include: on strengthening medical competence. It is about getting even better assessment of where patients are to be transported in order to increase the likelihood of best treatment as soon as possible, and it is about more training and exercise, which is ongoing, even under this Minister of Health. In addition, the general strengthening of the health business economy, by balancing health businesses and enabling them to make large investments, also strengthens emergency preparedness. If there's something I'm worried about, it's the attempts to commercialise/privatize Norwegian health. One of the problems would then be: to deal with an economic framework, which I believe the Right Party also means, it is believed that commercial hospitals will automatically receive funding, at the expense of the public, which must do some expensive things, which the private and commercial hospitals will never do. These include: about the most complicated suffering, and it's about the chroniclers. It's also about emergency preparedness, which is expensive, demanding, and which commercial hospitals will never operate. So if you think about setting up a funding system, like the one on the right, where you're going to have automatic financing of commercial hospitals, and that public hospitals are going to deal with the framework, it would go beyond hospitals like St. Olav's hospital, Aarhus, Ullevål and others, which are just having the heavy and expensive responsibility for emergency preparedness. So we've strengthened and are going to strengthen emergency preparedness. We're not saying it's flawless, but we're saying that a lot has been done, and that even more needs to be done. But it's going in the very wrong direction to add up to a healthcare system where you give priority to financing commercial hospitals, which will then take the profitable suffering, not take the heavy tasks and not take the emergency.
ParlaMint-NO_2013-04-10.ana.ud394e185	I understand that this was an unpleasant question, since the Prime Minister chose to talk about anything other than what is his responsibility and the implementation responsibility of this government. It is such that four and a half years ago a report was placed on the table that was followed the first year. There is no trace in the allocation documents or mission documents of health businesses the following years under new health ministers that the serious report, which has been repeated now, will be followed up. It is Government's mission and management document No. 1 vis-à-vis health establishments. This is not the only area. In the field of cancer, the Health Authority issued an alarming report on the level of risk associated with cancer treatment, in 2010, to health care establishments. So it's not reported back to the government, and it's apparently not focused on what you do with it from the government. The National Audit Office has produced a report showing that in the field of rehabilitation, queues are longer, fewer are entitled to rehabilitation treatment, despite the fact that this is a high priority area. Where is the effectiveness of the supervisory reports when they are so clear?
ParlaMint-NO_2013-04-10.ana.ud394e194	The main objective of whether we have an executive role in health care is whether people get better from coming to Norwegian hospitals. The truth is, they're getting more healthy now than before. The truth is, they get more healthy in Norwegian hospitals than in hospitals in most other countries. Where we have internationally comparable figures, Norway, from around the average in 2005, in terms of cancer, stroke and myocardial infarction survival, is now at the top. There is hardly any other country in the world where you are more likely to survive strokes and heart attacks than in Norway. So while we were on the middle of cancer, we're now at the top. The main objective of the ability to implement is whether we actually ensure that people receive treatment. Then I'm not saying we're happy to be among the best – and in some areas the world's best – I'm saying we're going to be even better. But to hear that we're not doing anything is definitely wrong. So it's not to talk about anything else to point out that the Right proposes a system to fund hospitals that will undermine the public hospitals. They relate to the same economic framework, but they want to create a system in which commercial hospitals will automatically spend money at the expense of the public. It's going to have a bad emergency response.
ParlaMint-NO_2013-04-10.ana.ud394e203	Three follow-up questions will be raised – first by the representative Bent Höie.
ParlaMint-NO_2013-04-10.ana.ud394e206	I understand that it is unpleasant for the Prime Minister to discuss what most patients in Norway — regardless of system — are going to be treated in, namely public hospitals. The Prime Minister said in reply to the representative Jensen that reports are good, because ‘we are also able to do something and make it better’. But it's just the last thing that's our question, because this case shows that what the Prime Minister and his government are unable to do is do something – and do something better. In response to the Stortinget, in a separate hearing, the then Health Minister Brustad said in 2008 that this Health Inspectorate report was very serious, and that this will be sorted out as quickly as possible – as quickly as possible, five years ago! In a comment on this question, the superiors Bjørnsen and Uleberg write in The Norwegian Medical Association: ‘The structure and distribution of responsibilities in Norwegian emergency reception facilities is currently the same as in 2007.’ What has happened since 2007?
ParlaMint-NO_2013-04-10.ana.ud394e223	I have mentioned several things that have happened since 2007, including: that we have addressed this with all regional health businesses, that they have reviewed their practices and improved their practices. I have also mentioned that we are in the middle of a work to undergo specialist training. So that's what happened under this state council. A separate working group has been set up, and they will come forward with their assessment very soon. For example, if you want to do something about it, you want to do something about it. look at how this can be improved in terms of medical needs, specialist training, emergency preparedness. Things have been implemented, and there are also measures in preparation that will soon be addressed. So it's not right to say that something just happened in 2008 – something has happened since 2008 as well. The second is that the general strengthening of hospitals is also a contribution to strengthening emergency preparedness, plus that we have seen that in many areas where we can measure results of emergency preparedness, Norway has progressed and gets good results.
ParlaMint-NO_2013-04-10.ana.ud394e230	Siv Jensen - to the next follow-up question.
ParlaMint-NO_2013-04-10.ana.ud394e233	Much of this debate is about what kind of doctors are being made available to patients at emergency receptions – not if they are being transported to a large or a small emergency reception. It just shows the oversight cases that are now open. Both at Aarhus and in Stavanger, where it can't exactly be said that there are small emergency receptions, supervision has been opened because you haven't done your job properly, and because you lack superior access when the emergency patients come in. In addition, the Minister of Health has stated correctly that he does not believe it is realistic to have a superior position in all emergency hospitals. That's clear speech. However, it also tells patients and employees at the country’s emergency department that qualified and competent personnel cannot be expected to be present at an emergency reception because the government will not give priority to it. Does the Prime Minister agree that there is a proper way of manning emergency receptions?
ParlaMint-NO_2013-04-10.ana.ud394e240	I think I've been up to it several times: it's like an emergency response chain starts in the ambulance. The mobilization of necessary personnel is also started, and the patient’s place of transport is decided. 90 pst. by the acute recipients at reception where experienced doctors are present. Where there are no experienced doctors present, there are rear guards – and it is possible to mobilize them – and normally they will be in place when the patient arrives. The opening up of supervision is an expression that the system really works. Even in large and well-functioning emergency facilities, which have consistently good results, errors may occur. Then it is important that we identify the defects. Norway has more transparency — more error recording — than almost any other country in terms of health shortages, and it is precisely the faults that make us constantly improve. We're in the middle of specialist structure. Here the Health Directorate will present its recommendations before the summer, and then we will consider those proposals.
ParlaMint-NO_2013-04-10.ana.ud394e249	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2013-04-10.ana.ud394e252	We have heard that several things have happened – the Prime Minister has framed it for the past half an hour – and that we have received a general reinforcement of the hospital service. But the three oversight cases that we have now in 2013, all of which are notified by nurses, show the same story: there's a lot of patients in progress, the emergency rooms are full, and corridors are then filled, that there's a long waiting time in the receptions, and that it takes a long time before patients are sent from the emergency room and on to the department. This will be revealed in 2013. Yes, this has been revealed, and we can learn, but my question is – before we do this learning: Does the Prime Minister think it is safe to be a patient at the country's emergency reception in April 2013?
ParlaMint-NO_2013-04-10.ana.ud394e257	It is safer to be a patient in Norwegian hospitals and in Norwegian emergency services than in most other countries, and that is, according to the figures we have, safer now than in the past. That doesn't mean 100 pst. the assurance that there will never be any errors. I don't think there's a single health care system, a single term in any health care system anywhere in the world, where you could say it's 100 pst. it is certain that there is no mistake. That's also why it's so important that we have transparency about errors, and we're not trying to hide mistakes. It is good that health care employees report from, and that we get supervision cases, so that we can constantly improve one of the world's best health services. That's exactly what's our challenge: although we get a lot, and very much is very good, it's obvious that there's room for improvement all the time. Once we've asked the Health Directorate to go through, for example. The specialist structure, and that they come with their report before the summer, is part of the work that has been going on for several years, and that keeps us getting a better health care, even if it's not flawless.
ParlaMint-NO_2013-04-10.ana.ud394e264	Then we go to the next main question.
ParlaMint-NO_2013-04-10.ana.ud394e267	It's been interesting to follow this emergency debate, but I'm not going to continue with it. Someone might think that I should now ask about how the food departments work around the country – at least I can confirm that they work pretty well, from the Christian People's Party at least. It is another theme that also calls for the attention of many, and it is the working conditions of the employees of the airlines. Yesterday we saw a report related to Ryanair. There, jobs were presented, which I believe many people here and out in the country are stunned by the fact that they can be done on Norwegian soil. The employee organisation Parat has addressed the long-term situation of its employees in Ryanair and Ryanair-related issues. Vice-Chairman Vegard Einan in Parat says that Parat has regularly addressed these questions with the Norwegian authorities since 2010. According to Einan, disappointing little has happened: "Ryanair has got some kind of embassy status out there on Rygge. Labour supervision is not carried out, tax is not required. They get to do slave contracts without anyone caring." The Minister of Labour was unable to comment on this yesterday. She was at a conference on workers' rights. The better it is that we have the Prime Minister here. Very familiar he has been informed of precisely these conditions early last autumn. My question is, what is the reason for the government's inaction in these questions?
ParlaMint-NO_2013-04-10.ana.ud394e285	All workers in Norway must have good pay and working conditions. The Working Environment Act covers those who work in our country, and it is up to the authorities to contribute to ensuring compliance with the regulations and legislation. That's why we've wanted to welcome a lot of foreign workers to Norway. It's good in many industries and industries, including in the aviation industry. At the same time, there is reason why this government has been very concerned about implementing comprehensive measures against social dumping: preventing the arrival of foreigners and jobs in Norway, undermining Norwegian pay and working conditions. We have implemented two comprehensive action plans on transparency, solidarity, enhanced labour supervision and many other measures, and strengthened the Working Environment Act, and all of which have contributed to significantly limiting the level of social dumping in Norway compared to what we had had without all of these measures. However, gaps and new creative ways of trying to avoid Norwegian legislation are still being identified. Among other things, we do. Consider examples of — at least claims have been made — in aviation. That's why we've taken the enquiries we've received from Parat, LO and others, in the greatest seriousness. That is also why, among other things, In the context of the discussion about Norwegian some time ago, we announced that we would not do what was proposed, namely to reduce a public sample, because we thought it would take too long. But we started an investigation that the Ministry of Labour and the Ministry of Transport are now working on, just to look at how we can improve and strengthen the legislation on workers' rights in aviation. It is a bit complicated because there is a discussion about the membership, regulation and free movement of labour, but our desire is to have rules that ensure clean working conditions for aviation employees working in Norway, too, is quite obvious. That's why we've started that work. We have had dialogue with the organisations about that, and I also want to continue to have dialogue with the organisations on how best to ensure it.
ParlaMint-NO_2013-04-10.ana.ud394e296	It's a little surprising to hear that there's been dialogue. After the information we have, the letter that was sent well over six months ago was not even answered by the Prime Minister. It is bad that it is claimed that there is special activity in this area. But at least I expect now that those who have raised these issues will get a concrete answer from the Prime Minister. It is also the case that the Norwegian State has invested money in Ryanair. Another investment company, Storebrand, has just withdrawn its investments in Ryanair. I quote why: ‘We have ruled out the worst because they run the business we can’t afford. In other words, they have not understood what it means to manage the company in a sustainable way." Norway has invested more than 600 million through the Pension Fund. The Commission considers that the aid is compatible with the internal market and does not constitute State aid within the meaning of Article Isn't it time to assess that investment?
ParlaMint-NO_2013-04-10.ana.ud394e309	The letter in question was answered by my office on 24 September last year. In the answer it was shown that it is the Ministry of Transport that will handle this matter. The Ministry of Transport has stressed in several meetings and also in the public that they are in the process of doing so. That is also why this investigation has been initiated, because it is the Air Safety Authority that is responsible for following up the Working Environment Act in aviation. There have been meetings and contacts, but I want to make sure that they will also have new meetings and new contacts with both Parat and other organisations, including. from LO, who has addressed these themes. We have implemented two action plans against social dumping, we have now notified the third, and we have announced our own work related to aviation, so action has been implemented, and further action will be implemented in this area, too, in close dialogue with employee organisations. As far as investment is concerned, I think it's right that we follow the form that Stortinget has taken, that is, to wait for the Ethics Council.
ParlaMint-NO_2013-04-10.ana.ud394e318	Three follow-up questions will be raised – first by the representative Dagrun Eriksen.
ParlaMint-NO_2013-04-10.ana.ud394e321	In the first answer, the Prime Minister said that new and creative things are constantly emerging in this topic. But these stories we've got about Ryanair are nothing new. These are stories we've heard of for a long time, for years. My first question concerns the following: When companies that have a reputation for having an employee's unpaid employment relationship establish themselves in Norway, how does the government check this, how do you have control, and how do you supervise such types of companies? Then I also want to give the Prime Minister the opportunity to respond a little more fully to whether he sees it as at least problematic that Norway with the State pension fund abroad invests 600 million. kr in this company, which so poorly safeguards the rights of workers.
ParlaMint-NO_2013-04-10.ana.ud394e330	First to the first question, how do we supervise? The employment environment law applies. There are strict requirements for the working environment and tidy working conditions in Norway. This applies to everyone, so there is no question about it, but it is the enforcement of what is important. It is the Air Safety Authority that supervises — in addition to the supervision normally exercised by the Labour Inspectorate — and identifies matters. We've strengthened the oversight functions. Then, of course, the trade unions and the employees also report, and then there will be cases. Sometimes it can also end up in the legal system. As far as I can see, it's about here that there can be legal proceedings. Then it is the court that may have to decide. Norwegian laws are to be observed, and it is considered that they are not followed, and the courts have jurisdictions to ensure that they are enforced. As Prime Minister, I do not think anything specific about the individual cases, because it is important that we deal with them properly in terms of supervision and possible legal proceedings. But in general: we have strict legislation – we have to enforce it – and we have strengthened enforcement.
ParlaMint-NO_2013-04-10.ana.ud394e339	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2013-04-10.ana.ud394e342	The State has a tradition of investing in airlines in that country, whether through the State pension fund abroad and Ryanair or through its direct involvement in SAS, where it owns 14.3 pst. It is clear that there is room for competition in this respect too. This matter that we have been exposed to in the media is primarily related to the legislation on bases: Who is going to be taxed for? Who is responsible for the law around it? Among other things, we saw: one from the Directorate of Taxation yesterday, which indicated that it is on the Norwegian side that you are responsible. But the question is, what happens if you move these people between different types of bases – where is one then liable for tax? It is important in relation to aviation that we have legislation, so that we have equal competition between the actors. My question to the Prime Minister is this: does the Prime Minister feel that we have a good enough code to clarify these special situations around bases?
ParlaMint-NO_2013-04-10.ana.ud394e351	The reason why the government has announced that we are now going through the legislation, has announced a separate investigation – and has done so, among other things. on the basis of enquiries from several employee organisations – is it precisely that we are not sure whether the legislation is good enough today, otherwise we would not have notified an investigation. The point is that everyone who works in Norway should have good pay and working conditions and that the Working Environment Act applies to all work done in Norway. So borderline cases occur, for example. related to airlines that have non-resident employees — how many days they live in Norway, etc. Then you have to go through the legislation, first to see if it is being enforced and practiced well enough. Among other things, we do. Air traffic control to do, and the courts in the ultimate instance. Then we'll have to see if the code is good enough. Both of us do precisely because we are concerned that in Norway there should be neat and good working conditions, not social dumping.
ParlaMint-NO_2013-04-10.ana.ud394e358	Jan Tore Sanner – to the last follow-up question.
ParlaMint-NO_2013-04-10.ana.ud394e361	What the last Prime Minister says, we obviously agree on. People living and working from and in Norway must have good and decent pay and working conditions. But the core issues are linked to the follow-up and implementation of the government, because these issues that have been in the media in the last few days are not of new date. The representative of the Seven showed in his statement that this was revealed in 2010. In the NRK earlier today it was informed that this came out for approx. Two years ago. Now that changes have been made to prevent social dumping, and we have a good code of pay and working conditions, when will the Prime Minister ensure that this is done? How long is it to be investigated? How long will it take to ensure that Ryanair employees also have good pay and working conditions?
ParlaMint-NO_2013-04-10.ana.ud394e366	Firstly, the Working Environment Act is in place, and we have both a Labour Inspectorate and an Air Safety Authority to ensure that it is enforced, to oversee it. Secondly, it is the courts and the prosecution authority that are supposed to ensure that you do not break laws. To the extent that we're talking about crimes here, we have the legal system to deal with it. In these cases, legal proceedings have been notified, as far as I know. But then there's another question -- whether we need additional rules. We have carried out two rounds of regulatory tightening, legislative improvements, on social dumping – through Action Package 1 and Action Package 2. We have notified a third. In the past, we have announced a separate review and, if necessary, a strengthening of the aviation legislation, which creates some complicated border cases in terms of where people live, where people are taxed and where they have social security rights. That's because we don't want the kind of relationships that we've seen in several places, which is why we're implementing significant measures against social dumping.
ParlaMint-NO_2013-04-10.ana.ud394e373	Let's go to the next main question.
ParlaMint-NO_2013-04-10.ana.ud394e377	We've previously heard from the Prime Minister that pool should be filled up. We have seen in the government party programmes that, for example: is for 11 months of study support, while when you sit down and negotiate, you are able to negotiate all of your programme formulations. For this government, the field of knowledge has been characterised by a breach of promises and programmes that are of little value. In January, the Prime Minister and the Labour Party said that they should invest in better teachers – in more further education and training – and in the red tape of school everyday life. This is great. Everything has been proposed by the Left in this Chamber – voted down by the government parties and has received a lot of support in the opposition. The Labour Party has consistently voted down all these proposals when they have been promoted in recent years. The Prime Minister has been in charge of the government since 2005. You've seen that you haven't managed to keep past promises, especially in the field of knowledge. My question is, can we believe it when you say that you have to have more good teachers, when the government parties have prioritised completely different things in the school field over the last eight years – and voted down all the proposals from the Left in this area?
ParlaMint-NO_2013-04-10.ana.ud394e386	We have been committed to strengthening teacher training. More money has been allocated. The number of places for continuing training of teachers has increased. We have completed a conversion of the entire teacher training. Fortunately, we have now seen a growing search for teacher training, which means that, in reality, we can also make greater demands as to who is involved in teacher training. This, of course, does not mean that we should not continue to improve teacher training. We see, for example: That it's too much non-response. I believe that this is a serious problem in teacher training too. But at least it is an advantage for more applicants and for us to change and strengthen teacher training. A measure of whether we're going in the right direction in Norwegian school is what we have in international numbers. While we were low on the international reading, writing, billing and natural sciences rankings up to 2007, we have made significant progress on the PISA, TIMSS and PIRLS surveys that have been taking place since 2007, in some areas. This does not mean that we have reached levels of satisfaction in all areas, but it means that there has been considerable progress in some areas. For example, Norwegian teenagers are the best in math skills in the Nordic region. It's not good enough either, but it's an expression that things are going in the right direction in Norwegian school. So we're going to give recognition to all the school's people – Norwegian teachers, school leaders – who have done this formidable job in Norwegian school in recent years, which has meant that we're now on the right track and, in some areas, are moving from low and falling on international scores of results in school. Again: Of course, we don't think we're in the right direction, but we believe that progress is moving in the right direction. It is good to see the efforts of Norwegian teachers, which means that we now get significantly better results in Norwegian school than we did in the past.
ParlaMint-NO_2013-04-10.ana.ud394e397	This reveals a little lack of recognition of what is the biggest challenge in school: we lack so many teachers. We will lack up to 11,000 teachers in 2020 because we will not get any more through the education system. We see that the government has launched an advertising campaign to get more people to apply for teacher training. 'Do you have it in you?' it certainly says, while the challenge I think the school has is, Can you? I believe that the problem with government policy is that they have not taken over the big problem we have with recruiting more teachers. Swallow if we have more applicants, there's actually a third that ends. Then I will return to another promise. The government has said that it should have a special level of competence for the 9 000 unskilled people working in Norwegian school. This has been proposed by the Left in the past – and the Labour Party voted against. So my question is, if we propose this again, in connection with the RNB, will the Workers' Party support the proposal?
ParlaMint-NO_2013-04-10.ana.ud394e404	First of all, by recruiting teachers, we're glad that we're getting a huge increase here. From 2008 to 2012, there has been an increase in the number of qualified applicants of 57 pst, while the overall increase in higher education has been of only 34 pst. This means that there has been a sharp increase in total to higher education, and that the search for teacher training has been almost twice as high — at least significantly higher than the overall increase. So there's been a good increase there. That's good. And we've got better results, which are due not least to the good efforts of the teachers. It is a challenge that we have a comprehensive approach to proposals. We are promoting our proposals in state budgets. Many opposition parties promote very many proposals – throughout the ageing period and almost in all debates. We have a good and tidy treatment of them. This means that we do not necessarily vote in favour of all the proposals that come under document 8. We deal with them in our budgets and in our big messages and follow up on the proposals we are in favour of – and do not follow up on the proposals we are against.
ParlaMint-NO_2013-04-10.ana.ud394e411	Three follow-up questions are raised – first, Tord Lien.
