ParlaMint-NO_2013-02-06.ana.ud977e26	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2013-02-06.ana.ud977e98	It was interesting to hear the Prime Minister say that DSB has sent out a proposal to merge 110 centres at the hearing. I know there have been so-called dialogue meetings. They haven't been perceived very much as dialogue meetings, they've been perceived as DSB having decided and just said that it is, whether you want it or not. However, on 26 December 2012, the government set up a selection to go through the organisation of the fire and rescue facility, which is due to come back in December 2013 and decide on the organisation of the 110 emergency call centre. Can the Prime Minister be satisfied that 14 days after the government brings down a sample to be returned, which is to be interdisciplinaryally composed, DSB decides that they do what they want and that they do not care about the working group that the government has set up?
ParlaMint-NO_2013-02-06.ana.ud977e105	I think I have to stress the following: in terms of the number of centers, the directorate has the authority to decide. If one disagrees with those decisions, it can be appealed against, and then they will receive political treatment in the Ministry of Justice and Defence. As far as I have an overview, we have not got such a case to be dealt with so far, but if we do, of course, the Department and the Minister of Justice and Security will have to deal with it properly. The Minister will then make an assessment of this issue. So I stress again that there are many who believe that there are professional reasons to have fewer but more robust and better manned centres. I accept that someone has a different view of it, and that is why we are waiting for complaints until they might have to come.
ParlaMint-NO_2013-02-06.ana.ud977e112	Anders B. Werp – for follow-up questions.
ParlaMint-NO_2013-02-06.ana.ud977e115	There is an important question raised by the main questioner here. I understand the Prime Minister's answer to that that there are many good reasons to make these assessments. Nevertheless, it is important to ask some critical questions, because what we need in these questions is less uncertainty and not more uncertainty. Then there are things about this process so far that indicate that the uncertainty has increased and not diminished. Then the question becomes from my point of view to the Prime Minister: how does the Prime Minister consider reducing the uncertainty that many communities now experience in this process? The process has not been completed – I interpret the Prime Minister there. But the uncertainty has increased, and we don't have to experience it.
ParlaMint-NO_2013-02-06.ana.ud977e123	The aim of what is now being done is to improve preparedness and strengthen the centres. Then there are several things we are discussing. It's a question of having one emergency number. It is tried in the Drama, and I will not conclude until we have gained experience with it. Then we discuss many other questions, including: whether there should be fewer 110 centres. There's the directorate's professional assessment – I haven't gone into it – that we're going to get stronger, better centers and better security with more people on the centers, that's fewer centers, but with increased staffing. So I accept that you can have different assessments of it. The government has not gone into that question, because there is a question attached to the directorate. But then we say that if you disagree and there's going to be a complaint, it's going to be dealt with in the department. Then we have to be neat about the rules, and then we have to decide on that question.
ParlaMint-NO_2013-02-06.ana.ud977e132	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-02-06.ana.ud977e135	I am pleased that the Prime Minister is so clear that this is not a decision that has been made. What I think is important to come up with, and as the Prime Minister pointed out, is that there is a project going on, and we need to see that evaluation. The Djørv Commission clearly pointed out that we need more robust centres. We have to listen to that. That means that it might be quite right to reorganize the 110 centrals and get larger, more robust units. But it is also true that when you also discuss whether there should be a new common emergency number, it means that there are many different projects going on at the same time. Therefore, my concern is that there are both large shifts of personnel, i.e. competence, and large investments in new buildings, which are demanding – in order to reorganise in just one year, if necessary. So between Drammen, where one proposal is, and Stavanger, where the next proposal is, it is a region. We sometimes experience that the South may be a little forgotten, so I want to remind the Prime Minister of that region as well. Does not the Prime Minister really agree that it is more important to do everything together instead of doing this big grip now, and possibly a new one in a year?
ParlaMint-NO_2013-02-06.ana.ud977e146	What I tried to underline in my first answer is that in these kind of large complexes that are preparedness and various emergency centres, we are faced with a balance between looking at everything in context, waiting for all evaluations, all processes – then things will easily take time – and doing something that we think is right anyway. I think you'll never find an exact balance point there, but with regard to what we're now discussing, there's an extensive process going on in the question of aggregation to one emergency number. I stress that no political decision has been made. We've decided that we should have a try. To the second question, whether we should have fewer 110 centres, the Directorate has authority to determine it, with appeals to the Department. It's not like we've gone into the directorate's assessment. They've come with their sketch, and then you get to believe what you want about it. So it's going to be treatment in the department if it gets anchored.
ParlaMint-NO_2013-02-06.ana.ud977e153	Let's go to the next main question.
ParlaMint-NO_2013-02-06.ana.ud977e156	There are now some 270 000 people in line for health care. Many of these are in line for quite simple interventions that can quickly bring them back to work afterwards. Others wait in fear of diagnosis because their regulars have suspected that they may have cancer. What they all have in common is that they are waiting for something that we all agree on is a public responsibility, that it should be part of the public funding of the healthcare system. In our welfare model, we have agreed that those who can pay will be able to pay by virtue of their ability over the tax code, but that everyone will get back according to their needs. Because of the unreasonable waiting time that we currently have, we now see the emergence of a two-fold of our healthcare system. Last week we were told that there has been a five-fold increase in the number of people with health insurance under the red-green government. So now it's 360 000 private health insurance. Only in 2012 it has increased by 20 pst. This morning we woke up to the news of the NRK News today that it is not just for health insurance that people choose to go private. Aleris Health, who is among the biggest drivers of private health clinics in Norway, could tell that those who paid straight out of their own wallet were the ones who used them most in 2012. Their customers spent a total of 246 million. DKK on last year’s health care. The right has presented a model where the public takes responsibility for funding, but where we use the capacity in the private sector. The government claims that this will be a cost driver. My question to the Prime Minister is: As long as they are approved by the government for treatment, and that is capacity, is it that the health service queue is a saving measure for the Workers' Party?
ParlaMint-NO_2013-02-06.ana.ud977e171	What is very important is that people who need treatment get treatment, and that we take the concerns of people who are waiting for treatment, for the most part seriously. This is why we have stepped up efforts significantly within the Norwegian health system – not so that we are satisfied, but so that health services are now delivered of significantly better quality and to a much greater extent than a few years ago. 1.7 million more people are receiving treatment or investigation in specialist health services now than in 2005. The quality of this treatment, based on the international comparisons available, has increased. A few years ago, we were about in the middle of the tree when it came to cancer survival. Now we're in the top of the world. For several cancers, there is hardly any country — if any country at all — where the likelihood of surviving a cancer diagnosis is higher than in Norway. But even though we're among the best in the world, we're not satisfied. We're going to get even better. That's why we do things both in terms of quality and in terms of dealing with multiples. Anyone in need of emergency treatment comes to the hospital immediately, without any waiting time. Then it's those who don't need emergency treatment. There's someone who has to wait. All of them, most of them are treated within the deadlines set. We also use private, but what we're concerned about is that the private should be a supplement to the public, not that the private should undermine the public. We're buying services for about 11 billion. kr from private, among others from Aleris. It's a good collaboration that makes the private and the public work well together. What we are opposed to is a system in which private individuals are automatically financed, while the public has to deal with the financial framework. Then we will weaken the public hospitals, weaken the competence that is there, and not reduce the queues, but increase them because the public gets less money to treat the patients to be treated there.
ParlaMint-NO_2013-02-06.ana.ud977e182	I did not feel that the Prime Minister answered the question. After all, when people are in line – and someone is in line for serious diseases – and buys out of that queue, we actually get a two-way split of our healthcare system: those who either have an employer who can afford and who are willing to pay for insurance, or those who have money themselves, and who can buy out and get faster treatment. When it is said that a solution where the public takes responsibility for those authorised for treatment being given the freedom of choice, it is not a release for everyone, but for those authorised. When the government and the Workers' Party characterize it as a cost-effective problem that we say that the public should be responsible, then my question is: Is it actually that queue is a saving measure? Does the Workers' Party calculate that people with good advice are going out of the public sector and instead buy private services because it means less expenditure by the government? Is it the Community and health policy of the Workers' Party that we should have greater differences?
ParlaMint-NO_2013-02-06.ana.ud977e187	I fully respect the fact that you are going to be critical of the Norwegian health care system, but you have to be very careful not to talk down the Norwegian health care system and the formidable job tens of thousands of employees there do every day, and the results that are delivered there. This review of private health insurance is a contribution to creating a completely wrong picture of what is actually happening. Private health insurance is a microscopic part of the total effort – 0,14 pst. health expenditure in the country is private health insurance and the rest is publicly funded. You talk like this in a way is a comprehensive arrangement. It's not. Private health insurance covers a very small proportion of health expenditure. The big, the heavy, the serious things are the public that takes, either, and essentially, in public hospitals or by the public buying - 11 billion. kr – from private services in a clean and orderly manner. I'm very much in favour of that. So this notion that private health insurance now has a very large amount, which gives the impression that the public health service is weaker than it actually is, is wrong.
ParlaMint-NO_2013-02-06.ana.ud977e194	Three follow-up questions have been asked, and it is given a chance – first Bent Höie.
ParlaMint-NO_2013-02-06.ana.ud977e197	To show the Prime Minister that this is actually a sign of the two-part division of the Norwegian health service, I will refer to the total of 2,500 drug addicts who are among the 270,000 who are in line. They will never afford to buy treatment themselves, they will never have the opportunity to take out health insurance. Some of them feel that their local environment is starting to escalate to buy treatment, but most of them are in line. All of these have been assessed by a public admission team to need and require treatment. There are a number of treatment institutions that are private, which are approved, which also have a partial agreement with the public, and which have a free capacity, but these patients, in the Workers' Party system, are not given the opportunity to choose treatment in these places, and they are in a long queue. What is the reason why the Workers' Party can sit and see that this is the development of the health care system during their reign?
ParlaMint-NO_2013-02-06.ana.ud977e205	We have significantly increased efforts in the treatment of drug addicts, and we will continue to increase it. Right-hand talk like they're going to give more money to the health care community in total. They won't. The right has proposed the same framework – actually a little less framework – to hospitals than what we have. What they are actually proposing is that you should be able to go to a private hospital and get the treatment paid, and then the money should be taken from the public hospitals. That's the system of the Right – one frame, but where you're going to get refunded from health care companies the cost you have in a private hospital. This does not mean that more people are treated, it does not mean shorter queues, but it means that the community can no longer make the important choices about what the community is going to spend on. There will be less capacity, less quality, less resources in public hospitals with the scheme proposed by the Right. The Progress Party proposes something quite different, namely free access to the pension fund. So – what to say – irresponsible people don't have the right courage to be, but then they have to admit that what they're proposing is a systematic weakening of the public health system by getting significantly worse funding conditions than the private ones. I'm against it.
ParlaMint-NO_2013-02-06.ana.ud977e214	Kari Kjönnaas Kjos – for follow-up questions.
ParlaMint-NO_2013-02-06.ana.ud977e217	Whatever the quality, and no matter what the Prime Minister says, there have been 10,000 more in hospital queues every year under the red-green government. Private hospitals have capacity and could take away those who have waited the longest. Does the Prime Minister agree that an additional allocation would give many waiting patients a quick offer on the private market, without losing the public hospitals of resources? And does the Prime Minister then agree that ultimately it costs money to treat people, and that it's really just about appropriations?
ParlaMint-NO_2013-02-06.ana.ud977e224	I do not agree that it is just about appropriations – it is about appropriations and that we organise hospitals in an efficient and good way. I agree that if we give more money, we can treat more people. That is why this government has granted significantly more money to hospitals and treats considerably more people – 1.7 million more investigations and treatments. What I'm concerned about is that when we grant extra money, the community – the doctors, the professional competence of hospitals and health care companies – will consider: are we going to spend this on our own capacity, in our own public hospital, or are we going to buy a public service? Then we get the best use of the money. What I'm against is a financing model where you can go to the private hospitals and automatically get money, at the expense of the public. I'm against it. This means that it becomes more arbitrary, more random who is being treated, and you do not get the right priorities – everyone must always give priority – and you weaken the professional competence that must be in the public hospitals, which must be responsible for research, which must be educational, and which must not least take on the most expensive and difficult things that private people will never take. I'm too private, but I'm against the fact that the private has to undermine the public.
ParlaMint-NO_2013-02-06.ana.ud977e234	Line Henriette Hemdal – to the last follow-up question.
ParlaMint-NO_2013-02-06.ana.ud977e237	The Prime Minister said in his reply to Mr Solberg’s representative that it is important that those in need of treatment be treated and that this government has significantly increased the resources for drug treatment. Yes, but despite this, drug users are in line today. They want treatment, but there is no room in the public health service. The paradox is that there is free capacity in private and non-profit institutions, which are of good quality and which have good results in this respect in remaining drug-free. Then is my question to the Prime Minister: When you are not going to be satisfied; you are going to increase quality and you are going to increase capacity, as the Prime Minister has also said, how should drug users who are in line today notice this increase in capacity in 2013?
ParlaMint-NO_2013-02-06.ana.ud977e242	Never have so many addicts been treated in the specialist health service as today – 25 000 people. The number of daily places has increased from 1593 to 1700 in 2011, and the number of outpatient consultations has increased from 154,000 to 307,000, i.e. almost a double. So this is a significant increase in effort, and the waiting times are falling. Then we're not satisfied with it, and that's why there's going to be more money. We increase the appropriations every year, and we buy from private people, not least within the drug field. There is a need for healthcare companies/hospitals to assess what they can do for themselves, and to assess what they can do for the private sector, and to buy to a large extent from the private sector. So we're going to continue this expansion, which gives more people treatment, because it's unsustainable that people who need drug treatment don't get it.
ParlaMint-NO_2013-02-06.ana.ud977e247	Let's move on to the next main question.
ParlaMint-NO_2013-02-06.ana.ud977e250	Last time the prime minister was in spontaneous questioning, the Christian People's Party asked questions about the state council Ola Borten Moes eager to start oil drilling in Lofoten already in the fall. We thought Ola Borten Moe went too far, and the Prime Minister made an honest attempt to defend his own minister. Now, three weeks later, the roles are turned around. So now it is Norway's most oil-friendly politician, Ola Borten Moe, who thinks the Prime Minister is going too far. That's because the Prime Minister was out in Dagsrevyen and said that he would open up for consistency outside of Lofoten, the West and Senja. The Prime Minister has also said that it is hardly possible to have more knowledge than we now have about the Lofoten and the Vestral, without taking a decision. It means in clear terms that the Prime Minister is planning to open up the areas of oil business. I would like to point out that all the government's environmental services consistently refuse to operate oil in these areas. All fishing organisations say no and all environmental organisations say no. Erik Olsen from the Marine Research Institute said on NRK Monday: Lofoten and Vesterålen are an oasis both in Norwegian context, in North Atlantic context and in world samanhang. This is the site of the biological production in the Barents Sea. It is possible to imagine the type of emissions that we saw in the Gulf of Mexico, outside the Lofoten and the Western Sea. My questions are -- it's very simple: What kind of information is the Workers' Party involved? What knowledge is there that the Workers' Party does not have of the environmental professionals, fishermen or environmental organisations?
ParlaMint-NO_2013-02-06.ana.ud977e259	I think we're going to distinguish two things, and there was also a point in the previous spontaneous questioning: that's what government policy is, and that discussion that's quite natural, as part of democracy, is going on in the different parties about what is going to be their programs for the next big period. Only with regard to government policy: government policy is defined in the management plan. It clearly implies that there should be no activity in these areas, nor should there be an impact assessment. It's about this accumulation period and of course it's about to take place. In addition, it is also stated in those documents that we facilitate activities in large parts of the Barents Sea. We also distribute licenses in the Norwegian Sea, in areas where we have not previously distributed licenses, both in the Barents Sea and in the Norwegian Sea, and we have started opening processes, among other things. in the Barents Sea south-east, that is, the new areas that came from the dividing line. I think that was a very good solution, where we took care of activity in many places on a Norwegian base without doing anything in the areas of Nordland VI, VII and Troms II. Then there's a discussion about what's going to be the Workers' Party's position before the next election – it's not over. A proposal has been made by the Programme Committee, but I think we should carry out that discussion in the Workers' Party – perhaps in several other parties – and then the Workers' Party should present its position clearly and clearly when we have finished our national meeting. I just want to underline one thing: impact assessment is not the same as an area is being opened, or it's being started activity. We have examples of areas on Norwegian pedestal that are consistent and not open. An impact assessment is an instrument that provides us with systematic knowledge and that is necessary if we are to open up. An impact assessment is a necessary, but not sufficient, condition for the opening of an area. It is only after the impact assessment is available that a decision should be made on this if appropriate.
ParlaMint-NO_2013-02-06.ana.ud977e272	It is also right to say that we have never had an impact statement without the area being opened. It is not necessarily the case that all areas have been opened, but when we have had large impact assessments, we have never had it without some areas being opened. That is to say, when the Workers' Party opens up for consistency around Lofoten, the West Pole and Senja, there is every reason to believe that some of those areas will be opened. What I see as a not quite real communication from the Working Party in this matter is that one makes it so that one first has to make an impact statement, and then one has to decide if it becomes a petroleum business. But the Petroleum Act says that one should go forward in the opposite way. One should be very clear on which area you want to open, according to the Petroleum Act. Before opening new areas for the award of extractors, there shall be a balance between the different interests. Does the Prime Minister agree that the petroleum law is clear?
ParlaMint-NO_2013-02-06.ana.ud977e282	If you're in any case opposed to opening an area, it's quite right that there's no reason to be in the process of impact assessment. But if you're in doubt and you can imagine opening up the whole or part of the area, you have to be for an impact assessment. My point is not that it is guaranteed that there will be no opening if you examine the impact. My point is that there is a question we are going to address after the impact assessment. It's like that, for example. Troms II, as someone calls it – yes, Troms II [[muttering in the hall]] But I underline, when it is said that the Workers' Party has decided, that the Workers' Party has not decided. The government's policy is firm and the Workers' Party shall adopt its policy at the national meeting.
ParlaMint-NO_2013-02-06.ana.ud977e293	Three follow-up questions will be raised – first the representative Kjell Ingolf Ropstad.
ParlaMint-NO_2013-02-06.ana.ud977e296	It is interesting to hear the Prime Minister say that we have as much knowledge as we can, and at the same time point out that it is important to get more knowledge through impact studies. At least it feels like you have the knowledge, but you have to go over the last obstacle before you can open up – through impact assessments. I noticed that the Prime Minister pointed to Northland VII, which is an area outside of Lofoten. We asked Minister of Oil and Energy Ola Borten Moe about Northland VI, which is another area outside of Lofoten, could be opened immediately, without any impact assessment, since it is based on impact assessments from 1994. Away Moe said it's okay, the government can open up oil exploration as early as October 2013. Can the Prime Minister tell me why Nordland VI can be opened, with impact assessments from 1994, while Northland VII, which was also subject to impact assessments at the same time, in 1994, can't? Why do you have to have an impact assessment in Northland VII, when you choose to say that it's all right in Northland VI, with the same impact assessment?
ParlaMint-NO_2013-02-06.ana.ud977e305	Finally, this is a political issue. We're going to get information and facts, and then we're going to make a political choice. Then it's important that we do it in a neat way, according to the laws and regulations that apply, for example. in relation to the requirement of impact assessment. What is the difference between Northern VII and Northern VI — at least the outer parts of Northern VI — is that Northern VI is formally opened, while Northern VII is never open. I am concerned that we are not going to take any shortcuts, do nothing in a disputed way in the case, so I do not see at all that there are opened parts of Northern Ireland VI to the autumn. I think we're going to lower our shoulders and take the time we need. At least the Workers' Party must first carry out its process before we decide what we mean. So I think we all see that there's a high level of activity on the Norwegian base. It's a good idea to take this step by step, with lowered shoulders, instead of considering activity there for the harvest.
ParlaMint-NO_2013-02-06.ana.ud977e314	Per-Willy Amundsen – for follow-up questions.
ParlaMint-NO_2013-02-06.ana.ud977e317	It may sometimes seem that resistance to oil drilling in areas outside the Lofoten, the Vestral and Senja areas is slightly inversely proportional to the proximity of the area in this hall. When you record that there is even a proposal to protect the Lofoten, the Vestral and Senja, at least I get a little scared. I hope we can't take it literally. I was going to give the Prime Minister the opportunity to reflect a little bit on the perspective of value creation and growth in this area. It goes without saying that it can help raise up a continent in a way that you've never seen before. Jobs can be created, knowledge-based jobs, which can contribute to the development of the whole region. I wish the Prime Minister had a little reflection around it.
ParlaMint-NO_2013-02-06.ana.ud977e324	I believe that we have had a wise and thoughtful development of Norwegian pedestal over many decades. There has been a development in which we have progressed gradually, in which we have helped the whole country to enjoy the oil and gas business, but where we have also always taken into account environmental and fisheries interests. That is why we have succeeded in keeping fisheries and the environment with the petroleum industry in the Norwegian Sea, in the Barents Sea and in the North Sea. I have not taken a decision on how to handle it in these areas, but I am concerned about finding that it has had good ring-effects for the whole country. Harstad is today a growing oil city and provides services and knowledge for activities on Norwegian soil. I don't think there's one municipality, at least not in Northern Ireland, that doesn't have deliveries to the oil and gas industry in any way. It's not like you have to do business just off your own coast to enjoy it. We all enjoy the revenue from the single fund, and almost all municipalities in Norway have activities that provide services to the oil and gas business. It has great ring-effects, but it's not an argument to open any area right away.
ParlaMint-NO_2013-02-06.ana.ud977e333	Nikolai Astrup – to the last follow-up question.
ParlaMint-NO_2013-02-06.ana.ud977e336	A comprehensive knowledge acquisition has been carried out by the Prime Minister related to any future off-shore petroleum activity of the Lofoten, the Western Seabed and the Senja. The question to the Prime Minister is whether this acquisition of knowledge weakens or strengthens the environmental arguments for the permanent protection of the Lofoten, the Vestralen and Senja.
ParlaMint-NO_2013-02-06.ana.ud977e341	First of all, I would like to say that I have not had the opportunity to get involved in all the documentation that has come into my knowledge acquisition. Secondly, I would like to say that for me the question is not permanent protection – it has not been on the agenda of the Workers' Party at least. What has been on the agenda of the Workers' Party is the question of whether we should open this area, or whether it should be unopened, which is something other than permanent protection. I'm busy going through the knowledge acquisition. It will be part of the assessment we should make of whether it should be opened at any time. When I have said that we have a lot of information, that is to say there are very few other areas in which we have so much information, before we start an impact study, which will give us even more information. So the question is not whether we have enough information to make a decision to start business, but whether we have enough information to initiate an impact assessment that will provide us with more information on whether to open the business area. The first question I don't remember was – it was the question of whether we had enough information to start. We don't. But we have enough information to assess the issue of impact assessment in order to get more information – I think we are about to start having.
ParlaMint-NO_2013-02-06.ana.ud977e352	Then we go to the next main question.
ParlaMint-NO_2013-02-06.ana.ud977e356	I guess it's not surprising that I also ask about the Lofoten, the Vestral and Senja, one of the world's most famous landscapes we have in terms of natural resources and living history. The sea areas outside have unique values, such as cold-water coral reefs. We see flocks of echinoderms and large seabird colonies, and the world's largest remaining cod population spawns in this area. The government has had so-called knowledge acquisition, and I think it reinforces all the knowledge we already had. If the accident were to be out here, the disaster would be total to nature and all the renewable industries in the region. This can bring 400 jobs to Troms and Nordland, but we are at risk of 6,000 jobs in fisheries and tourism in the same area. I agree with the Prime Minister on one point and that is that all knowledge is really on the table. We have the knowledge we need to conclude. This is a natural area that is so vulnerable and important to us that we should have permanent protection. In the left, those who have won the battle for the first place in this region believe the same thing. Whether there is an area to be permanently protected at all must be this area with the important natural resources. My question to the Prime Minister is: Based on the knowledge we now have on the table, is there one area where the Prime Minister could not intend to have oil drilling? When we see that this field, which is so important in so many important natural areas and other areas, including in terms of jobs in this region, is not important enough, what is it really going to do to make it important enough to be protected then?
ParlaMint-NO_2013-02-06.ana.ud977e363	I'm busy being a little neat about roles and when we're going to make what decisions. This government has very clearly stated that we do not have activity in these areas, nor does it have impact assessment. We have facilitated considerable activity elsewhere, in the Barents Sea, in the Norwegian Sea and in the North Sea. We have seen that this has led to a lot of exploration and that new areas that were previously controversial are now available for petroleum activities, for example: in the Barents Sea. In the debate on the Barents Sea, it has been stressed that there is an area where there are large and rich fish stocks – and there are also vulnerable areas – but where we have made very strict demands. We believe that in the Barents Sea and in large parts of the Norwegian Sea we have shown that it is possible to have fishing, the environment and petroleum activities side by side. If we are going to go further in the areas of Nordland VI and VII and Troms II, it depends entirely on what may be the result of an impact assessment, and the question of whether we are going to launch an impact assessment has not been addressed by the Workers' Party – it is a proposal for the national meeting. Then I think it's right that when I stand in the main hall, I relate to what the government's policy is, and then I'll explain the Labour Party's policy when the Workers' Party has made its decisions.
ParlaMint-NO_2013-02-06.ana.ud977e370	I think it's neat for the Prime Minister to present the government's policy when he's standing in the main hall, to sail if he's on the agenda and to present something that's obviously not government or Labour Party policy, but the opinions of a private member of the Labour Party's national meeting – which I think is quite strange. What the prime minister says here is that you're not basically against drilling anywhere. You could have dug for gold on the Galdhøgg or drilled on the North Pole – there are no principles, only steps and precautions are taken and case-handling done correctly. Away Moe said he'd like to open up Northland VI, which the Christian People's Party asked about earlier. SV has called it a position that is worse than the impact assessment that the Prime Minister stands for. So my question is, does the Prime Minister think it is unproblematic to use a 20-year impact assessment to open an area that has previously been stopped?
ParlaMint-NO_2013-02-06.ana.ud977e377	I just want to be a little bit careful with answering that question, because I'm a little bit unsure about the pussy. But in addition to the jessen – that is, if you can use an old impact assessment – it is a political assessment of how old an investigation can be. Troms II was successfully investigated in the 1980s. I think it would be easy to argue that if you're going to open up Troms II, and maybe even Northland VI and VII, which are consistent, you have to have new impact assessments for that, at least for the unopened areas. All of this I believe suggests that we now lower our shoulders and take some time. I am concerned that there should be no pressure on decisions, and at least not decisions on activity in the areas, until we have carried out both the professional and legal assessments of the need for new impact assessments in areas that are impact-examined. I also believe that these are examples of areas that can be impact-explained, back in the 1980s, and not opened – so there is a difference. One reason for having a new impact assessment is that technology is changing. There is no doubt that in the 1970s and 1980s it was driving in the Barents Sea very demanding. Now it's less demanding, because you have better technology.
ParlaMint-NO_2013-02-06.ana.ud977e384	Three follow-up questions are raised – the first question is from Borghild Tenden.
ParlaMint-NO_2013-02-06.ana.ud977e387	As has been said several times, the Prime Minister has told Dagsrevyen that he recommends the National Assembly of the Workers' Party to go in for an impact assessment in that area. The left thinks it's a bad idea, given the knowledge that's already taken place. At the same time, the government has also asked for knowledge of alternatives to petroleum activities in Lofoten and there are still reports from the environmental impacts that are not available. So I ask the Prime Minister: does he think it is entirely unproblematic to recommend petroleum activities before all the knowledge that the government has asked for is on the table?
ParlaMint-NO_2013-02-06.ana.ud977e392	I will once again state: the government's policy is firm. There should be no activity in this area. What is now happening is a discussion in the Working Party and there is no discussion as to whether or not to recommend petroleum activities. No one's going in for it. However, many – or the Programme Committee – are in favour of recommending that possible petroleum activities be investigated. It is an important innovation that relates to the decision-making process. The decisions on activity are to be made after an impact assessment based on all the knowledge we then have, including the use of the knowledge we have done before the impact assessment. I've shown before that there are areas that are impact-examined, that are not open, but I repeat again: if you're absolutely against in any case, of course, there's no need to investigate the consequences either.
ParlaMint-NO_2013-02-06.ana.ud977e397	Nikolai Astrup – for follow-up questions.
