ParlaMint-NO_2013-11-20.ana.ud2544e26	The called alternate of the Eastfold County, Wenche Olsen, has taken the seat.
ParlaMint-NO_2013-11-20.ana.ud2544e100	I have to say that I am very pleased with the concern expressed by the representatives of the Workers' Party – in order to be sure to get a Emergency Response Centre up to go as quickly as possible. It's an ambition that this government shares 100 pst. These two processes will go parallel. There is nothing in the processes that is looking at alternative possible locations that will delay the ongoing process on Alnabru. We are – as I mentioned earlier – in good dialogue with the Ministry of Transport and the Railway Agency, under which this plot area is located. There has been a joint meeting at Alnabru between the relevant agencies, and the dialogue is very good. I hope we can do this in the best possible way. Regardless of whether it becomes Alnabru or – against assumption – elsewhere, the government is concerned that this should be realized as quickly as possible, and perhaps faster than the previous government did, if we manage to do it.
ParlaMint-NO_2013-11-20.ana.ud2544e109	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e112	Stand by, we're all busy. I think it's naive to believe that a National Emergency Response Centre alone will ensure that people feel it's a readiness across Norway's country. I am pleased that the Progress Party has said several times, and has called for us to have one national centre – but perhaps more regional. I know that the municipality of Sandne has purchased the Vagle camp, in order to secure the preparedness for the main rescue center, towards oil preparedness, towards health, towards Light and towards the University of Stavanger. What does the Council of State think of anchoring the primary emergency centre in Alnabru, facing the regional emergency tank that the Progress Party has had?
ParlaMint-NO_2013-11-20.ana.ud2544e120	These are two slightly different things. The National Emergency Response Centre shall accommodate the national response capacities and will have good synergies, both in terms of collaboration and other conditions, by co-location. This is why the National Emergency Response Centre is important – not just for the Oslo area, but for the whole country. It is also important with regard to the capacity that we then have to send around the country, with transport aid from, among other things. Defense. In the case of regional emergency centres, it will be part of the work we can see in the police analysis. I have previously invited the entire Stortinget to cooperate on the development and direction of the police analysis – to get the broadest possible political basis for how to organise the police in the future. Then the kind of thinking that would be, for example, The municipality of Sandne has become a spokesman for, becoming part of the assessment on how we can maximise and optimise the use of the resources available to us throughout the rescue and preparedness sector.
ParlaMint-NO_2013-11-20.ana.ud2544e127	Jenny Klinge – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e130	Before the election, more people in the government parties were asked to stop the wired process, which is currently in progress. Fortunately, that did not happen. One might be tempted to ask if that process might have been changed now. After the election and in the draft budget, the government has, on the other hand, suspended security measures by Oslo District Court. After all, it's a danger that things can be delayed. Is it that the minister thinks we have a good time?
ParlaMint-NO_2013-11-20.ana.ud2544e137	No, we have extremely bad time. One of the critical points is that we think the previous government has spent too much time on some things. The emergency network is planned to be completed during 2015 – it will be implemented according to the plan. The emergency centre is not – I want to clarify it again, even though I have done it several times from this pulpit – is about to have a fight about it. But we have to solve the challenges that the government in which Jenny Klinge's party itself participated has left to us. We have very little time, but it's actually quite a lot to do to get these processes on the rails again. The right-hand Party Government is concerned that these processes should be on rails, so that we can manage to keep the propulsion plans. Bad initial processes are processes that are never going to land well. We want to land these projects – with a realistic input and as quickly as possible. We have much worse time than the red-green government had.
ParlaMint-NO_2013-11-20.ana.ud2544e144	Let's go to the next main question.
ParlaMint-NO_2013-11-20.ana.ud2544e147	My question also goes to the Minister of Justice and Defence. Making sure our citizens are safe is perhaps the most important job we have as politicians. In recent times, our capital has been marked by a great wave of ransacks. Half of the people in Oslo say in an investigation that they feel insecure when they move outdoors. We've seen brutal ransack, whether it's from 90-year-old ladies, or it's from young teenagers. I am pleased that the government and the Council of State have chosen to take action and have taken urgent action to stop this – more visible police, not least, but also better coordination by facilitating public and volunteers to work to help those who are young criminals. Such waves as we've seen lately, unfortunately, come at even and uneven intervals. It is therefore essential that, in addition to taking immediate action, we also think in the long term – that we prevent for the future, so that it does not happen again. Today, VG presents ten different investigators, all of whom are under 18 years of age. Unfortunately, some of them are minors and thus under the criminal paratrooper. In addition, some of the mother’s stories are also presented. We have to share their despair that their sons have entered the wrong environment, and various things that have led them to become criminals. Here we see the importance of prevention. After the Progress Party came into government, the Council of State has wisely said that there are complex and complex issues related to stopping, for example. It's a wave of ransack. This shows, for example: to protect children, to focus on family policies, to combat ‘drop out’, to get good schools, to fight against drugs, etc. is important. My question is: As I said, the Council of State has taken some immediate action – but what does he want to do to further prevent young people from ending up as criminals, and to prevent those who have begun to run away from repeating the ranks later?
ParlaMint-NO_2013-11-20.ana.ud2544e164	I share the concerns of the representative, Ropstad. The wave we see in Oslo has a lot of serious facets, including. that there are many young offenders, and that there are young or very old victims — vulnerable victims who are viewed as easy targets for serious crime. As the representative himself says, we have taken some immediate action through very good cooperation with the Oslo Police, which has taken this situation very seriously. They're more visible out in the streetscape, and they're more concerned with getting the charges quick. We see that they've taken the challenge. So, of course, it's the way that you don't solve this sweep for all the future by increasing the police effort or putting people in prison. Prevention is a very important area for this government. We have also launched the term ‘early action’ in crime prevention. This is a concept we know from the education sector, where an early detection of who is at risk, and where to contribute by deploying resources early — to get him through a proper schooling. Just the same idea can be used in crime prevention. This is also the foundation of the plan we have in, for example. work on the action plan against radicalisation and violent extremism, where we need to find early-entry systems and help break criminal behaviour. In addition, I believe that the juvenile penalty will have a preventative effect by preventing repetition, which is also an important part of this. It is a general challenge that we in Norway are often on the repair page — rather than on the prevention page. This is something this government is taking seriously. All the elements that the representative Ropstad brings forward as important – both within school and within family policies – are important contributions to such a setting.
ParlaMint-NO_2013-11-20.ana.ud2544e177	Thank you for your answer. I am pleased that the Council of State chooses to be active also on the prevention page. I believe it is important that the Council of State takes a special responsibility also in terms of coordination and coordination. When there are different departments and different state councils that are responsible for the different fields and for the challenges of getting into a criminal track, it is all the more important that you have one in the government that is ‘on’. What I'm concerned about, for example, is the 10 in the VG today, all under 18 years old, who have done their first run. It's far from sure that they're going to keep going, hopefully we'll be able to turn it around. Here's a job: to know more about who's getting crooked is, so that you can get more knowledge about which actions work is also important. There is a drop out at school. What else can we do there? It concerns child protection. They have enough measures to keep young people back, which one would do if one, for example, were the parents of these? There are different jurisdictional issues. My question is: what will the Council of State do to improve coordination and coordination between ministries and state councils?
ParlaMint-NO_2013-11-20.ana.ud2544e188	Prevention is – as the representative Ropstad said – very widespread, it is taking place between different levels of government, and coordination is important. Now we have a project with this prevention plan for violent extremism and radicalisation in which we are actually implementing exactly what Ropstad is calling for. There are nine departments involved, providing input, jobs and coordinators, while the Ministry of Justice heads the working group to materialise this down also to responsibility positioning and how to implement these actions in practice. One of the challenges facing some action plans in the past is that in the long term, there will be very overall objectives to work with, and a fragmented responsibilities situation. We now have an objective in this action plan to avoid being as specific as possible. If this is a successful project, it is something we can do in other areas too, so we are already planning how to implement that kind of coordination even better in the future.
ParlaMint-NO_2013-11-20.ana.ud2544e195	Four follow-up questions are raised – first Marie Breek.
ParlaMint-NO_2013-11-20.ana.ud2544e198	Thank you for your answer regarding the ongoing wave of raids in Oslo. Unfortunately, we see that our cities are unsafe from time to time. Now we are inside a serious wave of ransack while we go into the Christmas season. Fighting, filling and violence characterizes the outdoors of the big cities in months before Christmas. Although there has actually been somewhat less nightlife-related violence in recent years, the Christmas season still makes December one of those months of most violent episodes. This trend is confirmed in both Oslo, Stavanger, Trondheim and Tromsø. Does the Minister of Justice share the concern for increased violence crime in the weeks ahead? If so, what will the government do to make cities feel safe for the weeks until Christmas?
ParlaMint-NO_2013-11-20.ana.ud2544e204	The question from the representative Breek is very good. It is true, as the representative says, that increased rates of drug use also often lead to increased violence. We see that in this wave, how many of the victims who are not very young or very old are affected when they are exposed to it. They are simply picked out as targets by the raiders, and they are thus seen as some kind of easily accessible goal because the self-defence mechanism might not work as well as the rest. It's obvious that being aware of the contexts here is important. At the same time, I believe that the most important preventive action we can take in order not to develop into more violence and trouble during the Christmas season is that we have a visible and present police force in the cities too, so that we know that the police are fast on the plate if anything happens, and that the reactions come quickly afterwards. Visibility and rapid follow-up by the police are among the measures that are important, while all of us have to think about when we're out in town and not put ourselves in such a situation that we're more exposed than what's necessary.
ParlaMint-NO_2013-11-20.ana.ud2544e211	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e214	I'll follow up on something related to the wave we've seen in the past few weeks. We think it is worrying that the Minister of Justice is cutting back on measures taken by the previous government in the area of juvenile punishment. It is important to prevent, act and implement against young criminals quickly, clearly and early, and to ensure a good and firm structure on their daily lives. It was a pleasure to hear that the Minister of Justice is in favour of measures against young people, including prevention, which he has responded to earlier here today. It is therefore strange that this measure is being cut. There are no differences in the timetable between this and the previous government in recruiting those who will work with the juvenile criminals. High interest has been reported in the media in the positions announced to put this measure in place. Therefore, I would like to ask the Council of State to explain: Does it take longer to hire people in a Right Party and Advance Party government, and why is the Council of State cutting off measures against juvenile criminals?
ParlaMint-NO_2013-11-20.ana.ud2544e221	I am extremely happy to have this question, because I have seen in the media that the Workers' Party is trying to make a political game out of the management of the regulations. The budget regulation says that you should not budget with more money than you really think you can use. That's why that money is reduced; because we can't get the employees in time, we can't budget with more money than we've spent, because Storting's budgeting regulations prevent it. It is not, therefore, a political downgrading of the juvenile punishment. It is rather the opposite – the representative Henriksen has come to realize that this government is very concerned about the implementation of the juvenile punishment, and we are also concerned about other measures to help ensure that the juvenile punishment is a good alternative for those who have been harmed to get on a criminal track. I am very pleased that Henriksen gave me the opportunity to reveal the political game I have registered that some in the Workers' Party are trying to do in the media.
ParlaMint-NO_2013-11-20.ana.ud2544e226	Abid Q. Raja - for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e229	The party of progress is the big party that has created the most myths of immigrants, refugees, minorities and Muslims over time. Prime Minister Erna Solberg has said in connection with the ongoing wave of so-called migration that immigrant parents must be on the track. I agree with the Prime Minister that parts of the key to prevention lie with immigrant parents, minority organisations, Muslim leaders and mosques. Does the Minister of Justice see that by representing the Progress Party, he has a job to do to build confidence in this environment? In the past, we know that the police have less confidence in the immigrant environment – now the Minister of Justice is from the Progress Party. We politicians are probably dependent on trust to be heard. How has the Council of State actually intended to meet this, and what concrete plan does the Council of State have to put confidence in the various minority groups that some of its party colleagues have stigmatised over time?
ParlaMint-NO_2013-11-20.ana.ud2544e236	I disagree with the premise for the question, I disagree with the fact that the party I represent has behaved in the way that the representative Raja expresses, but I will nevertheless answer the question in a polite manner. This government is concerned that we should have a proper and good dialogue with everyone in this society. This is a government that represents everyone in this society, and it is also vital for crime prevention to have confidence in all environments. I think it is both important and right when the Prime Minister says – as the representative Raja also agrees – that we must also get immigrant parents on the road in terms of dealing with our own children. It's not just about immigrant parents, it's also about everyone else, but in this wave we've seen a combination of the perpetrators that are terribly worrying. We also have to take this seriously without it being charged with stigmatizing.
ParlaMint-NO_2013-11-20.ana.ud2544e243	Karin Andersen – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e246	First, I would like to ask the State Council to talk to those young people who feel stigmatized by the statements that have come from the Progress Party. It is the recipient who decides whether or not an opinion hurts, frames and excludes. The second is that the cuts in budget prevention could have been redeployed to other important measures that it would have been possible to implement if this had been undertaken. In addition, we can go to Oslo, the city that has the big problems now, and in which the Progress Party has absolute influence. It has been cut into measures such as: crime prevention among young people, and it is also being cut in urban areas, which is to carry out the important prevention work that we all agree on. Will the Council of State address this issue with the Municipality of Oslo and advise against cutting these important prevention measures, which can prevent crime?
ParlaMint-NO_2013-11-20.ana.ud2544e253	My constitutional responsibility is quite extensive, but it does not include the budget in the Municipality of Oslo. I think we have to nuance this picture of Oslo a little bit. In fact, there is a serious increase in the number of raids in Oslo, which is very worrying, and which the police take very seriously and have taken action against, but at the same time we see a crime trend in Oslo in other areas that are quite positive, where there is a decline in crime. I think it's a little easier to challenge a government council to address a problem with a municipality that, in its cooperation with the police, is doing a lot of good preventive work. The cooperation between the police in Oslo and the Municipality of Oslo works very well and produces many good results, so I will simply not allow myself to address the somewhat simplified issue I think the representative Andersen is now expressing.
ParlaMint-NO_2013-11-20.ana.ud2544e260	Then we go to the next main question.
ParlaMint-NO_2013-11-20.ana.ud2544e264	I want to address the question to the Minister of Foreign Affairs. Within the framework of the WTO Agreement, Norway has notified the transition from a krona to a percentage duty for individual customs duties on cheese, beef and lamb with effect from 1 January 2013. This was done because the value of the customs protection had been strongly weighted as this has been linked to the amount of the crown per unit based on the 1990 value and not on the value of the day. The customs protection system, which was sufficient to protect Norwegian interests at the time it was concluded, no longer provides protection for the product types concerned. The WTO Code gives Norway full room to implement the transition from the krona to the percentage duty determined by the management of the 2013 government budget. Has the Minister of Foreign Affairs agreed that the transition from the krona to the percentage of customs duties concerned was carried out within the framework of the WTO Code?
ParlaMint-NO_2013-11-20.ana.ud2544e273	The representative of Navarsete addresses an important and broad area, namely Norway's relationship with the WTO. We are now facing an important round of negotiations in the follow-up to the Doha Round. It's going to be in Bali in December. It now appears that there is an opportunity to agree on a partial package of what was originally in the Doha Round. A consensus on this could lead to millions of new jobs globally. It may also lead to increased value creation in order to promote free trade. In the case of the individual points that the representative of Navarsete raises relating to the transition from a dollar to a percentage point, I have to get back to it. I don't know the simplicity of that question.
ParlaMint-NO_2013-11-20.ana.ud2544e282	From the answer I received, which was not an answer, I can still conclude that neither can the Foreign Minister clearly say that we are obliged to reverse the so-called customs change. I find it strange that the Foreign Minister answers as he does, as his colleague has now travelled to the EU and signaled to the EU on a unilateral basis that one has ambitions to reverse the transition to the percentage of customs duties for the so-called customs administrations, and with the weakening of the protection of the jobs of all those who contribute both to the production of safe food and to the further processing of Norwegian food. Has the Foreign Minister and the new government intended to make it a form of work to provide concessions in international negotiations without back coverage in the UK?
ParlaMint-NO_2013-11-20.ana.ud2544e291	I ask that the representative Navarsete understand that what is within the constitutional responsibility of the Council of State Helgesen and also the Minister of Agriculture is handled by them. Of course, as regards the ostetoll and this question, I fully agree with the handling that the State Council Helgesen has had of this matter. I think it is important for Norway to send a signal to our main trading partner, the EU, that we are also flexible. We in Norway depend on — more than any other nation, almost — that there is a broad consensus on a free trade policy. Norway wins in open markets. We export a lot, and we import a lot. So having a continuing conflict with the EU related to ostetoll is not in Norway’s interest.
ParlaMint-NO_2013-11-20.ana.ud2544e298	The President will open up three follow-up questions – first Knut Arild Hareide.
ParlaMint-NO_2013-11-20.ana.ud2544e301	I understand that the Foreign Minister, who is no longer responsible for EU affairs, is not aware of them in detail, and I expect that the new government will not go to Brussels and kneel down for the EU in areas where we know, as an EU agricultural commissioner said a year ago, that one should turn every stone. Now it's done without any crime found. Within the WTO, the customs profile is such today that it is only 30 pst. of the EU's non-tariff agricultural products, with a total of 45 pst. of the Norwegian agricultural products are duty-free. During the current rounds of negotiations, can the Foreign Minister guarantee that import protection will be protected and maintained? We know that is of great importance to Norway. If we compare the EU's profile with Norway's profile within the WTO, Norway will be much better off.
ParlaMint-NO_2013-11-20.ana.ud2544e308	As the representative Hareide also knows, there are many shades on this issue. Something is related to Norwegian import protection, but in a developmental policy context, which has also been strongly focused on by the representative Hareide, it is important to allow developing countries and middle-income countries to export what they are good at. There is no doubt that in the international debate and in the run-up to the Bali meeting, Norway is one of the world's highest import protection countries, and we also have large export subsidies, in fact on Norwegian agricultural products to other countries. We must then see Norwegian import protection and export subsidies in a broad context, in which we assess the Norwegian agricultural interests against the opportunities and interests of many middle-income countries and developing countries.
ParlaMint-NO_2013-11-20.ana.ud2544e315	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e318	First, I would like to say that we do not spend one penny on the state budget for export subsidies in Norway – just to have said it first. Let's take a little thought experiment – that we've got a new government in France. The first thing the French government should do in its despair of the previous one was to go to Brussels and say, 'Excuse me, excuse me!' The previous government stood up for French interests, it stood up for French food culture, it stood up for the French food industry, but I'm sorry, it was wrong, it was unwise for the French government to stand up for the French food industry. Is it conceivable? The answer to that, of course, is no. But in Norway we get a new government, and the first thing it does is to travel to Brussels to say: Excuse us for having a government that used the freedom of action we had – that was very regrettable! Does the Minister for Foreign Affairs know of a single other government in another country that has travelled to Brussels and complained of having stood up for its industry, for its interests?
ParlaMint-NO_2013-11-20.ana.ud2544e327	I believe that the representative, Mr Slagsvold Vedum, is aware that the unilateral Norwegian measures relating to ostetoll have also been very controversial in Norway. We know that we are dependent on having a robust EEA agreement. 50 pst. of our exports to the EU. One element in this is, of course, Norwegian agricultural interests linked to the ostetoll, but it is also true that if this unilateral Norwegian measure, which has been very controversial, may call into question the robustness of the whole EEA Agreement, Norway has played its cards very poorly. It is in this context that the statements of the Council of State for Helgesen must be seen in Brussels yesterday. It is that the ostetoll and a few other cases have led to a not insignificant friction in the relationship with the EU. And the introduction of this ostetoll has been controversial. It should not come as a surprise that a Right Party government is now going through this customs very carefully.
ParlaMint-NO_2013-11-20.ana.ud2544e332	Knut Storberget - for the next question.
ParlaMint-NO_2013-11-20.ana.ud2544e336	As you know, the government has now declared to the EU the aim of changing the customs regime for cheese and meat. I am not going to plague the Foreign Minister with the realities of that debate, but it is clear that it is of great importance – not only to the farmers in Norway, but also to the food industry. So we're talking about a food chain with over 100,000 jobs. It's a big domestic policy question we have to get back to. Since we have the Foreign Minister in Stortinget, I would like to ask a very simple question based on the round we have now had on the customs regime – especially on the questions of the Christian People's Party. After all, we have a broad practice in Norway to gather around a broad majority on our position in foreign policy. This is an important foreign policy issue. Has the government made sure that at least a majority in the Grand Duchy is in place before going to Brussels and declaring that the customs regime for cheese and meat should be changed?
ParlaMint-NO_2013-11-20.ana.ud2544e343	The President will recall that this is a question that falls under the constitutional responsibility of the European Minister of Foreign Affairs, so that the Foreign Minister may choose whether to answer it or not.
ParlaMint-NO_2013-11-20.ana.ud2544e346	Thank you for the timely reference. I just have a comment on the question the representative is raising, to gather a broad majority. I also believe the representative is aware that the cheesetoll and meat business did not gather a broad majority in this Chamber in spring. There was also a broad societal debate on this in Norway, and it is a fact that if we insist on keeping the ostetoll that the previous government introduced, there are also many other potentially negative foreign policy implications for Norway related to the robustness of the EEA Agreement. So those things have to be weighed up against each other.
ParlaMint-NO_2013-11-20.ana.ud2544e351	Board Vegar Solhjell – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e354	Unlike others here, I must say that I am relatively surprised if we now have a foreign minister who will not answer important European questions. When we had a Minister for Development, the Foreign Minister was responsible for the whole world, even though we had a Minister for Development. I think it would be very difficult to be a foreign minister without being responsible for Europe, which is still a relatively important part of the world, I would say. There was an urgent call for a meeting of the European Selection Board on Friday, where the first round was unthemed. We got to know the theme shortly before. More games weren't there. There came, among other things. Ostetoll up. Then the European Minister has done his thing in Brussels for us to make changes, without the changes being made to the Great Britain and dealing with them here. Is there a new practice that the government will now have in its foreign policy, that one will first notify Brussels of changes and then come to the Storting with them – perhaps later?
ParlaMint-NO_2013-11-20.ana.ud2544e365	First of all, the concern that I might not have to answer any questions related to something that is not my constitutional responsibility. I have now answered – I think it might be the sixth question about this – so I don't think you should overemphasize that concern. When it comes to consultation with the United Kingdom on important foreign policy issues, we have a good practice in Norway. It is also known that in the matters for which I have been responsible, among other things. related to the destruction of chemical weapons and similar, Stortinget has been consulted in the manner to be used. I am also very sure that it has happened through the various meetings of the European Committee, and the government naturally emphasises that we should have the necessary relationship with Stortinget in these matters as they are then about the EEA.
ParlaMint-NO_2013-11-20.ana.ud2544e372	Let's move on to the next main question.
ParlaMint-NO_2013-11-20.ana.ud2544e375	My question goes to the Minister of Justice. Yesterday, many breathed out, after the intelligence service denied monitoring of Norwegian citizens' mobile use. The last words may not have been said in this case, but what it shows is that people and businesses do not find themselves in ever more monitoring. The exposure to privacy is growing, and so do we in Europe. We see that many countries in Europe – perhaps especially Germany – take this challenge very seriously, and I have to say that I am really a little worried when our own Prime Minister is just asking people to relax. Two weeks ago, the Prime Minister in this Chamber said that the government would review the measures not implemented — she then referred to the Privacy Commission — and consider what action should be taken, if any. I don't think it's very offensive on behalf of privacy, but the most important thing is, of course, what the government does, not what it says. That's why I'm interested in hearing what the Council of State has been planning to do in its field. The field of justice is an area of constant threat to privacy, and a Minister of Justice must balance the need for privacy with the need for security for individuals. So my question is, what will the Council of State do not just to put privacy on the political agenda, but also to ensure that Norwegian citizens do not become more, but less, monitored?
ParlaMint-NO_2013-11-20.ana.ud2544e384	This is a very comprehensive question, and by the time available, I think I should limit myself a little. The e-service is located under the Ministry of Defence. That means I can't answer questions about it. Privacy issues are also not directly within the Ministry of Justice, but I understand the concern of the representative. The government is concerned with the balance of the monitoring press – not only from the secret services, but also with the ability to store and record information in the private sector that is gradually growing up in the technological world we live today. It has happened very very quickly, and perhaps we are unable on the legislative side to adapt sufficiently to the new pressure that is. At the same time, I have great confidence – if I are to limit myself a little to the secret services – in the way we organize this in Norway, where we have a strong EOS selection appointed by the Stortinget, which controls the work the secret services do on behalf of the Storting. It is a control mechanism that both gives us a stronger legitimacy to the activities of the secret services, and also gives the Storting the opportunity to follow up any findings of the EOS Committee. I mean, it's a very good way to solve it. With regard to the claim of the Prime Minister's statement of complacency, I think it was related to the fact that the newspaper ran a relatively large look today at what might well be called a bit of a wrong premise. It is also important when discussing data protection issues, that we do not allow single events, which are not fully understood, the danger of farms with them. It is important to take these issues seriously, and then you also have to know what the issues are actually about.
ParlaMint-NO_2013-11-20.ana.ud2544e395	The last Minister of Justice was here, I agree very much, and I thank you for the answer. The Minister of Justice himself was concerned that this is about technology, and when we talk about technological infrastructure, it is under the responsibility of the Minister of Transport, so I want him to answer my follow-up question. The Minister for Transport has a considerable responsibility to facilitate technological infrastructure that allows individuals to take responsibility for their privacy. Today, almost all Norwegian Internet traffic travel via Sweden. In its government platform, the government says that it will take up the Swedish law of the FRA with the Swedish authorities – a law that allows almost all Norwegian Internet traffic to be monitored by the authority of another country. So my question is this: does the government consider providing technological solutions to prevent all Norwegian Internet traffic from going through Sweden?
ParlaMint-NO_2013-11-20.ana.ud2544e406	I thank you for the question. We are very concerned about the problem that was raised by the representative. The Prime Minister has already addressed the issue with the Swedish Prime Minister. I'm going to Sweden myself in December and talk to the Swedish Minister of Infrastructure, and then this is going to be the topic. We will then ensure that Norwegian users of the Internet are not monitored or can be monitored by Swedish authorities. There's natural reasons why it's like that. It's about where the infrastructure is built, where the machines are. But once we have concluded such an agreement, which has been in force under many governments, we must ensure that it respects the interests and rights of Norwegian citizens. We'll work for that.
ParlaMint-NO_2013-11-20.ana.ud2544e414	Three follow-up questions will be raised – first Iselin Nybø.
ParlaMint-NO_2013-11-20.ana.ud2544e417	When the Prime Minister was here in oral question time, she stated that she was not concerned that the collection of data would lead to surveillance by foreign powers, and she then showed that such monitoring would be illegal. Recently, we have seen that, in part, there is widespread illegal surveillance of European citizens. I would therefore like to repeat the question to the Minister for Transport: Is the Minister concerned that any introduction of the DLD will facilitate illegal surveillance by foreign countries?
ParlaMint-NO_2013-11-20.ana.ud2544e424	The President is somewhat unsure whether this question should be answered by the Minister for Transport or the Minister for Justice. It's the Minister of Transport. The President then gives the floor to the Council of State, Mr Solvik-Olsen.
ParlaMint-NO_2013-11-20.ana.ud2544e429	We are concerned that there have been signs that there has been illegal surveillance. It's in the word that it's illegal, that means it's not going to happen. It's one of the things we have to work hard on when we're going to implement the Data Storage Directive that was adopted in Stortinget last time. We have, as I said, contacted the Swedish authorities. We have to make sure that different agencies in the Norwegian government system get an overview of what is actually happening, where the threat comes from, and how we can prevent it. There were several batches in Stortinget that were concerned about the Data Storage Directive, precisely because of the fear of data storage and the ability of others to use it. So it has to be part of the debate that Stortinget might take up again. We have to implement what the majority of the population has decided.
ParlaMint-NO_2013-11-20.ana.ud2544e436	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e439	My question also goes to the Minister for Transport. I noticed that when we dealt with the Data Storage Directive in Stortinget, Solvik-Olsen had a personal, strong and good commitment to privacy. In recent months, new perspectives have been seen in the debate on monitoring. I understand what the Minister for Transport has said in the media, that there should be no rematch on the Data Storage Directive on the ground that there is a basic agreement between the Right and the Workers' Party. At the same time, when you look at the observations that have been made, the leaks that have occurred, and the great turmoil that is surrounding monitoring and privacy, do the Council not see the need for a review and a greater debate around the Data Storage Directive in the light of the new perspectives?
