ParlaMint-NO_2013-04-24.ana.ud852e26	The representative, Robert Eriksson, will put forward two proposals for representatives.
ParlaMint-NO_2013-04-24.ana.ud852e194	I have a question for the Minister of Development. Right-wing development policy has two overall objectives: permanent out of poverty and respect for human rights and democracy. Our whole development policy will build on these two objectives. In 2011, Norway gave 40 US think tanks a total of 250 million. kr. An internal report to which the Evening Post refers today states: ‘The increase in contributions gives Norway a significant positive position.’ One of the Ministry of Foreign Affairs' many communication advisers goes on to say: ‘The projects also create important meeting places with U.S. and other countries’ decision-makers.’ It is obvious that the Ministry of Foreign Affairs is using the aid budget to buy political influence in the United States. Large parts of the system of support for American thought tanks are hidden. Money is drawn from a variety of budget lines to make transparency and control difficult. The right has so far not found this comprehensive scheme in any document for Stortinget. Does the Council of State think that spending a quarter of a billion Norwegian aid crowns annually on American thought tanks helps people to work long-term out of poverty or significantly increase respect for human rights or democracy?
ParlaMint-NO_2013-04-24.ana.ud852e213	Now I'm a little bit surprised here. Does the Right believe that there is too much research in development policy, and that we should spend less money on research...?
ParlaMint-NO_2013-04-24.ana.ud852e218	The President will state that in the oral Question Time of the Storting, it is the Council of State that answers questions from the representatives.
ParlaMint-NO_2013-04-24.ana.ud852e221	Of course! But I'm trying to understand what the criticism is. What I'm asking is whether that's how critical questions are asked for us to spend $250 million. for research into development policy. That's the first thing I wonder about. One of the things we saw when we went through this, and that actually surprised me -- it was we who ordered that report to see the total research we're doing -- was that we had actually given so much to American research. But there I can assure the representative of Skovholt Gitmark that about 128 of the 250 million go to projects or research in developing countries. Some of the organisations that Skovholt Gitmark describes as thinking thoughts are research institutions, but some of them are NGOs and other organisations that also carry out concrete projects in developing countries. The second thing I thought I would say – and it is important for me to stress – is that that report is now public from today. I think that's important, because in our follow-up to the report, which we ourselves ordered, we did several different things. One was to say that here we need a greater overall organisation of the Ministry of Foreign Affairs' research work. That's why we hired our own director, a trade director, on the research side, because some of the things that come out of the report are that there's too little coordination from the Ministry of Foreign Affairs on how the research is done, and there's too little systematic follow-up of the results that are coming. That's why we're going to follow it up both through a more systematic way of organizing this, and through a broader transparency in the time that comes.
ParlaMint-NO_2013-04-24.ana.ud852e230	Peter Skovholt Gitmark – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e233	I understand that the criticism is difficult. However, let me congratulate the Council of State on publishing the report today. I think that was a good timing both in relation to the question of the evening post and the right engagement in the matter. This has taken a long time to dig out, precisely because the Ministry of Foreign Affairs has done its utmost to keep this hidden for a long time. The internal report to which the Evening Post refers is clear that Norway is also using this mechanism to buy political influence in the United States. It is one of the clearest answers that comes out of the report. I want to go further and ask if the Council of State will help to make this system even better known, besides just publishing this, because I understand that it is politically more edible to give money in hiding to American think tanks and NGOs than it is with close contact with American decision-makers and politicians.
ParlaMint-NO_2013-04-24.ana.ud852e243	Just to make one thing clear: there's not one system aimed at this. One of the things that emerges from the report is that the different sections, the different departments on the development side of the Ministry of Foreign Affairs, are asking for research in their fields. There's no doubt that one of the reasons we're doing that is that we're going to focus more on things we're busy about. We can, for example: take the area of forest cooperation – what we do in climate and forest projects. Several of the research projects and work on the programmes we are in are acting, for example: to find out how we can manage to create markets that prevent us from being cut down on rainforests in order to replace them with palm oil production. There are research projects on that kind of thing. And there's research into ensuring sustainable management of landscapes in Brazil, as of course. help us get concrete projects that prevent deforestation. All these are concrete research projects that are being done. But it is clear that our intention is to publish this and make it more accessible to big business representatives and others.
ParlaMint-NO_2013-04-24.ana.ud852e252	Ine Marie Eriksen Soreide – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e255	It is, of course, striking that the day the criticism comes, the day the media write about the secret report, it also becomes public. The report starts in 2011 — it has been in existence for two years — but there has been no desire on the part of the Ministry to make it public. So we're talking about a quarter of a billion dollars of the aid budget. If there has been a long-standing desire by the Minister of Development for transparency about this mechanism and this money, why is it not possible to find out what the money is in the budget papers?
ParlaMint-NO_2013-04-24.ana.ud852e262	It's because we don't have one budget line called research in the Ministry of Foreign Affairs' budget, but we're asking for research on a broad front. I expect that I have the support of the representative Eriksen Soreide that it is important that we research and study some of the projects we have – i.e. have follow-up research – to ensure that part of the things we do actually work. The second part of this is that we're doing research in areas where we see that there's too little research. For example, this year we are increasing research appropriations in the health field by 65 million. kr, because we see that there is too little research on some types of drugs that are being asked for in poor countries. But then I just want to answer one thing for there to be no misunderstanding about it: the reason why this report is being published today is that the criticism is coming. It is because it is requested why this report is not public. It should have been public a long time ago. I see it as a mistake on our part that it is not public. I was familiar with the content already during the last year. I now want to make sure that the follow-up is done in a good way in line with what I say.
ParlaMint-NO_2013-04-24.ana.ud852e269	Peter N. Myhre – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e272	There may be new paces from the Red-Green Government that Norway is now also using Norwegian u-help money in the United States, whether it's research and thinking thoughts, and the Council of State has, to a large extent, expressed a strong commitment to the importance of this activity. It is at least suitable for getting the total use of u-help money up to 1 pst. of gross domestic product – which I have understood is the most important target in terms of unhelp for this government. But then I want to ask: why can't you have your own budget chapter on subsidies for American research and thinking, to make the money visible, instead of hiding it in the aid budget?
ParlaMint-NO_2013-04-24.ana.ud852e279	No, first of all, I want to say that it's because it makes no sense to make your own pot called a grant for American research, because this is research in a number of areas that are demanded based on the need we have for research. Sometimes there'll be American think tanks, institutes and institutions, sometimes there'll be completely different places. There is no doubt that we want to promote cooperation between institutions in Norway, the United States and elsewhere, and in educational institutions and universities in the south. Then I'll say one more thing. As a follow-up to this report, and because we have now addressed some of the criticisms raised in the report – which we so ordered ourselves – we are going to put forward a strategy before the summer, a strategy that is just about how we are going to use research in development cooperation, because we believe it is important to have research-based and knowledge-based development cooperation.
ParlaMint-NO_2013-04-24.ana.ud852e286	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e289	I think there are many interesting aspects to this matter. It is clear that, on the part of the Christian People's Party, we have repeatedly also been involved in the use of aid and the projects to which the aid should go, precisely to try to target the poorest, so that the aid budget does not become an area where one can commit projects that one should take over other types of budget. But the most interesting thing — and the Council of State is unable to respond to it — is why one did not choose to publish it in the budgets. An amount of one billion, 250 million. kr – is a huge amount. That one then chooses to publish the report on the same day as there is a critical look in the paper, is of course interesting. So my simple question is just, what will the Council of State do in the future to make this at least public in the future? And why hasn't it been public for now?
ParlaMint-NO_2013-04-24.ana.ud852e296	After all, we started that study, that work, to get an overview of the overall research, because research also includes support for thought, support for educational institutions and institutions working with knowledge-building and knowledge-gathering. It shall be treated in the same way as all the other aid items and aid projects. But I think that we all have an interest in making sure that what is done is knowledge-based, that we have good investigations in advance, before anything is done, for example. new crime in the forest area. My intention is that this should be more public, that we should have more publicity about this in the future. That is why I repeat: I perceive it as a mistake on our part that the report was not published. As soon as we were made aware that it was a wish for it to be published, so we that this should have been published, and that is why we published it today.
ParlaMint-NO_2013-04-24.ana.ud852e303	We move on to the next main question – from the representative of Kjell Ingolf Ropstad.
ParlaMint-NO_2013-04-24.ana.ud852e307	We were very upset when we saw Focus yesterday. It was probably a reminder of how terrible some au pairs can have it when they are in Norway. My question goes to the Minister of Justice. Most of the au pairs in Norway come from the Philippines. In Focus yesterday, we met brave Christy in 27 years, who is also from the Philippines. She dared to stand up, and she dared to report, because she felt that she was being subjected to forced labour. After two months she escaped, and she went to the police. The amazing thing in this story is that she got a new family. Now the matter is under investigation, and she has a family where she is well. But Christy is unfortunately just one of many examples that we know about where au pairs are being exploited in the most serious way. Such a Christian People's Party sees it, there is an absolute need for legislative changes and better control, for example. concerns one of the questions concerning the quarantine of the host families where one has seen that illegalities have been committed. Something else is that there have been difficulties in getting reports, that the police do not give priority to matters, or that the police themselves do not know whether the cases fall under the law of the day – and there is a lack of control. My question is, is the Council of State satisfied with today's legislation and its handling?
ParlaMint-NO_2013-04-24.ana.ud852e316	The representative Roppstad addresses a very important question. The aupair system as a means of cultural exchange has existed for a long period. I still think we are many who see that the system has gradually evolved in a way that reveals clear weaknesses. There is some background to the recent government's efforts to ensure better information, better control, better follow-up and more options for those participating in the scheme. I am not satisfied with today's arrangement. There is some background for us to come up with our own new quarantine rules in a short time to ensure further against abuse. It is quarantined for misuse of the system and, of course, long quarantine for those who have to be convicted – in the most serious cases where there is a conviction. I have to admit that to me this is a system that is now hanging in a thin thread. I think it is absolutely necessary that we follow developments closely. I link expectations to the information system that is now established in cooperation with Norwegian People's Aid and the Trade Union, and that came into place at the turn of the year. We cannot continue a system that has provided such an opportunity for exploitation as any of these examples that have emerged recently carry a bid.
ParlaMint-NO_2013-04-24.ana.ud852e323	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e326	I thank you for your answer. I am pleased that the government promises so much, that the Council of State is concerned about the matter and will make new proposals, because it is absolutely essential that it be settled in this – and that quickly. Therefore, it is also interesting to hear that the Council of State thinks so far that she says the scheme is hanging in a thin thread. I also share the opinion of the Council of State that at its best this is an excellent cultural exchange, it is good experience and memory for life, but at its worst what I would call slavery. The interesting thing is that it is said that slavery was abolished in Europe a few hundred years ago, but modern slavery, human trafficking and trafficking, lives on. As I see it, parts of the cases and the forced labour being uncovered fall under the penal code – under human trafficking. My question is whether the Council of State shares that assessment, that part of the cases is actually part of modern slavery?
ParlaMint-NO_2013-04-24.ana.ud852e333	The cases of exploitation of a scheme that could otherwise have been good are serious. We see here that we're dealing with parties that are so weak that it also gives room for exploitation, and we have to follow that closely. I expect the police to follow up on these kinds of things with the seriousness of that condition. If there is human exploitation, and if there is trafficking in human beings, it should be broken down – it cannot be excused in any way from the point of view of the aupair system. We will follow this very closely.
ParlaMint-NO_2013-04-24.ana.ud852e338	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e341	I myself was present at the Parktheatre yesterday during the presentation of the documentary, and I met there many of the au pairs and also others from the Philippine environment. It was a strong experience, it was a sad experience, it was an outrageous experience, and I sat there and was almost completely disappointed about the situation. This is human exploitation. Of course, as the representative Ropstad was in the house, it is very good, and many are doing well, but several told them that they were told by the host family that if they said so, they were sent home immediately, because they could not be in Norway without work. It is good that the information system is in place, but there is also an immediate need for a place where they can safely turn and be believed, be taken care of and not be sent home because they have no work. They must be helped further. They also need an aid lawyer to the extent that it becomes a matter of it. Will the Council of State immediately take care of this?
ParlaMint-NO_2013-04-24.ana.ud852e350	The information system I referred to, which came into place at New Year's, I think can improve both the information and the attention to the difficult conditions. Of course, we also expect the Foreign Affairs Directorate to strengthen and strengthen its information work, as explained. Several changes have also been made to the current system since last year. I think we're going to start a new evaluation of the scheme in a couple of to three years to see if the changes work as they please. This is, as I said, a system that has given room for abuse, which we must work actively to prevent, and we do not get it with the changes that have been made, I say – for my part – that the system seems to hang in a thin thread.
ParlaMint-NO_2013-04-24.ana.ud852e355	Hans Frode Kielland Asmyhr – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e358	It is good that these stories come out. At the same time, I think we should be reasonably careful from Stortinget's pulpit to hang out thousands of Norwegian families to engage in abuse of exchange students – as this is in a way. Many of us have participated in such schemes in other countries – I have done so – and have had good experience with it. I personally know a lot of these families, and I think we're going to be very careful to hang them out. At the same time, a number of facts have emerged here. Legal advice for women has made a wonderful report on this scheme, and honor them for it. Will the Council of State now help to obtain facts about this scheme and to focus more on prosecutions against those who abuse the scheme?
ParlaMint-NO_2013-04-24.ana.ud852e367	There is a research report on the basis of which the changes are now being implemented. In-depth research has been carried out on the scheme. As I said, I announce a new evaluation in a few years. I'm not looking to hang out families, as the representative referred to, but I'm looking to draw attention to the weaknesses of the system that the report has revealed, and the measures that are now being taken to prevent abuse. I think we are largely able to pay for our babysitting or the need for household care through other, ordinary channels. This cultural exchange mechanism was important in its time, but if it has gradually evolved into a system that provides room for abuse, we need to consider the whole scheme.
ParlaMint-NO_2013-04-24.ana.ud852e373	Then we go to the next main question.
ParlaMint-NO_2013-04-24.ana.ud852e376	My question goes to the Minister for Aid. Norway uses about every year. 30 B.C.E. kr for assistance and development aid. In recent times, claims have been made that aid money has been used — to put it bluntly — to reward terrorist prisoners who are in prison. It is important to reject such claims, but at the same time it is absolutely necessary to clarify that not a single Norwegian krone from Norwegian u-help budgets goes to such remuneration. Furthermore, it is important to assess whether Norwegian money, for example: to the Palestinian authorities, they are more able to release funds from other sources and to use them for such remuneration. Can the Council of States guarantee that Norwegian aid does not, either directly or indirectly, be used to pay salaries or other financial subsidies to terrorist prisoners?
ParlaMint-NO_2013-04-24.ana.ud852e385	History has shown me that you should be careful to guarantee anything. But when the representative raises questions about Palestine, I would say that it is Minister of Foreign Affairs Espen Barth Eide who has the constitutional responsibility for it. I know that a job has been done from there to get clarity in all the circumstances around it, but I can't answer for that. In general, I would like to say that we are doing what we can to ensure an overview of what money is used for, and that we follow that money is used for what they are going to use for. We have evaluations and jobs to create transparency. An innovation from our government, and for which my predecessor did a lot, was to create transparency on issues related to, for example. corruption. After I took over, for the first time, an attachment was submitted to the government budget, which the representative knows for sure, where we go through the experience of this type of business to create more transparency. In the course of the year I will also present several issues and make an effort to create more transparency about assistance, what assistance money is planned to be used for, and what they are going to be used for, so that it is more likely for large-scale representatives to verify that the money has gone to what they are going to do.
ParlaMint-NO_2013-04-24.ana.ud852e392	Peter N. Myhre – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e395	I thank you for your answer. I am familiar with the division of responsibilities that exists between the two Councils of State in the Ministry of Foreign Affairs, but the Minister of Aid therefore has responsibility for the 30 billion. kr in the budget in force for the current year. What is at the heart of my question is the extent to which the Minister for Aid has obtained an overview of whether there are cases where recipients of aid can thus release other financial sources, so that Norway indirectly participates in financing activities that we do not want to participate in?
ParlaMint-NO_2013-04-24.ana.ud852e402	It is a very clear distribution of responsibility, also for the follow-up of the money that Stortinget decides in its budgets, but from my side I would say that, yes, all the money we pay goes to the projects they are going to go to. The representative Myhre raises an interesting question of – I would say – almost philosophical character. It is clear that when we are in and we support some specific projects, there is always a possibility that governments can choose to prioritise other things in their budgets. Therefore, our policy has increasingly been to help governments increase their income through investment in some areas, by building good financial institutions and by increasing the tax revenue of countries to ensure that our money does not replace other money and is therefore re-prioritized in budgets, but instead ensures that countries themselves increase their income.
ParlaMint-NO_2013-04-24.ana.ud852e407	Peter Skovholt Gitmark – for follow-up questions.
ParlaMint-NO_2013-04-24.ana.ud852e410	There's a clear common denominator between the question that I raised in 250 million. kr to American think tanks and research institutions, and this: Wages and salaries to Palestinians convicted in the Israeli judiciary for ‘security offers’. The common denominator is openness, in this case a fundamental lack of transparency from the Norwegian Ministry of Foreign Affairs. The Norwegian Ministry of Foreign Affairs has not wanted to share the information until now in the case of the 250 million, and they have been very restrained with information related to the salary of Palestinian prisoners convicted for ‘security offers’. What does the Council of State want to do now to make this information of the Storting, which the Storting needs, appear continuously in the light? Will the Council of State change its strategy and therefore the strategy of the Ministry of Foreign Affairs to mention this type of information, not only in budgetary documents, but in other documents for the Stortinget?
ParlaMint-NO_2013-04-24.ana.ud852e417	No, I would say that we will continue our strategy for increased transparency, as we have done, for example. in corruption cases, where our government has done a huge job to get more cases in the light and to make all the information available to both the Storting and the Press. We will also do what we can to broaden the transparency of NORAD reporting – these are figures that are available to everyone through NORADS reports, which we are increasingly making available to the public – but also for all kinds of reports that are being evaluated by our own assistance. In the autumn, we will present an annex to the State budget on the impact of Norwegian aid, where we try to ensure more transparency about how the aid is used. We will also work to increase transparency about the planned use of the assistance. If you want ‘accountability’ or the ability to place people in charge — not only those we give the money to, but also a country’s population and its authorities — we believe that you need to be open about the use of aid money.
ParlaMint-NO_2013-04-24.ana.ud852e422	Tom Staahle - for the next question.
ParlaMint-NO_2013-04-24.ana.ud852e425	The Council of State said in its first response to the representative Myhre that it was important that all the aid money went to what they were going to do. But over the years, we have seen many examples of aid going for purposes other than what was intended. The internationally recognized aid researcher Paul Collier suggests, among other things: at least 40 pst. African military expenditure is financed by subsidies. We have seen examples from Uganda, a country that has received several billion dollars in aid for several years. from Norway, that the President has used these funds, including: for the purchase of an exclusive private aircraft. Does the Minister for Assistance feel uncomfortable about how aid, paid by Norwegian tax money, directly or indirectly, finances arms purchase, supports terrorists – such as in Palestine – for the purchase of expensive private aircraft and Mercedes, or goes to the financing of think tanks in the United States?
ParlaMint-NO_2013-04-24.ana.ud852e433	I don't feel any discomfort when we spend money on providing good research on assistance, and I don't think the representative should do that either. I think it is extremely important to make sure that aid money goes to what they are going to do. This is why we have given greater attention to combating corruption in aid, and we have set up our own central control unit – a group of aid sellers – that goes after misuse of aid money. We want more transparency about this, and we also make sure to include anti-corruption rules and refund rules in contracts we enter into, precisely because we have learned from the mistakes of previous governments, and because we believe it is important to ensure more transparency about this. So it will always be that one of the things I'm very concerned about is working because countries don't work out aid dependency. The best way to do this is to ensure that more money is used to create fair distribution and generate own incomes for countries.
ParlaMint-NO_2013-04-24.ana.ud852e440	Kjell Ingolf Roppstad – to the last follow-up question.
ParlaMint-NO_2013-04-24.ana.ud852e443	Assistance shall contribute to development and assistance shall contribute to peace. Therefore, funds for Palestinian self-government authorities must also be made available to create development and peace. In these cases, we have been told that it is actually such that Palestinian terrorists who are imprisoned in Israeli prison are paid on the basis of how serious incidents or terrorist attacks they have been involved in. In one case you get $8,000 a month, in another case you get $17,000 a month. There's a clear context: the more serious it is, the more pay you get. It almost seems like there is an incentive scheme to commit terrorism, which at least does not help to create peace. According to the ILO, the average salary for a Palestinian in 2011 was NOK 3 500. How does the Minister for Development feel that Norwegian aid money is going to pay a terrorist $17,000 a month?
ParlaMint-NO_2013-04-24.ana.ud852e450	It is Councillor Espen Barth Eide who is responsible for following up everything that goes of aid money to the Palestinians, so I will leave him to answer that question. I feel that's the right thing to do.
ParlaMint-NO_2013-04-24.ana.ud852e455	Then we go to the next main question.
ParlaMint-NO_2013-04-24.ana.ud852e458	My question goes to the Minister of Justice and Security. On 31 March there were 15,763 people in Norwegian asylum reception, but only 16 pst. of which, approx. 2000 people, asylum seekers waiting for their asylum application to be settled in an ordinary way. 5,116 of those sitting there are people who have finally received a rejection of their application and who should have returned to their home country. At UDI's Spring Conference, which was held a few days ago, the State Council told Faremo that we can't have it that way. The Council of State said that the aim of 2014 is to increase the number of returns by 300. This is small when there are more than 5,000 people in overtime in Norwegian asylum centres. They should have returned voluntarily, but as long as the authorities do not act and have the capacity to implement it, there is little going on. The national meeting of the Workers' Party adopted its programme, which reads: ‘The working party will pursue an active return policy which will both ensure that more people can return voluntarily and allow for forced return. This is important in order to maintain the legitimacy of the asylum institution.» With more than 5000 final rejections in Norwegian reception: What does the government intend to do to prevent the asylum institution from losing legitimacy during this process, and how many are the governments planning to return before this period is over?
