ParlaMint-NO_2013-12-13.ana.ud258e36	The representative Morten Wold, who has been licensed, has again taken the seat.
ParlaMint-NO_2013-12-13.ana.ud258e249	The Government's proposals for changes to the 2014 budget and the agreement with the Christian People's Party and the Left contain changes to the proposal of the Stoltenberg II Government, which will benefit many regions. Some examples are the appropriations for the maintenance of the railway which increase by significant amounts, the appropriations for road purposes under the State Road Administration increase by more than 1 billion. kr, in addition, the interest compensation scheme for the county roads is continued and the free income of the county municipalities is actually increased by 280 million. kr for upgrading and renewal of county roads. This government is concerned with the modernisation of the public sector. The terms of the Cooperation Agreement on the «most effective use of Community resources» shall be followed up. The structure of the Departments and Directorates shall be reviewed with a view to simplifying and red tape. The government will emphasise that structural changes should have a good regional balance. Where there are clear savings opportunities and there is a sufficient recruitment basis, the government will also consider facilitating the development of government jobs outside the press areas. Then I must say that it is not that the government has not made a political priority when we promote proposals for changes in the structure of the Directorate for Economic Management. We're based on the recommendations of the directorate itself. There, four different alternative solutions were outlined. The basis of the government’s decision relating to the potential for winnings. We looked at how we could pick up what was the most important thing, the two reasons that were considered, in order to carry out such a conversion. One was that the reduction in the number of offices was a necessary and important measure to facilitate good security, deliverability and internal control. The second was that the proposal we put forward at the end of the day to the Storting will expect a saving of 20 million. kr after conversion. This is money that can be used for other good purposes. It's close to commenting on the post of the representative Battle Violence Vedum, who could describe the blows that stood in the previous government a bit colorfully. I'm not a second in doubt that there were many blows in the previous government. However, what seemed later was that this was a blow that contributed to the failure of the public sector to take the necessary steps for significant change and to improve the efficiency of the public sector – with a small exception. Therefore, it is tempting to remind Battle Violence Vedum of the following, when he tries to create the impression that it is only this government that dares to take this type of grip: In the period 2011-2012, the Red-Green Government briefed the Stortinget that it would lay down 103 tax offices with fewer than five employees. Then it was all right with the kind of efficiency and conversion. Now, when it touches less, it's not okay. I just mention it as a little curiosity – at the bottom of the debate. Then the representative, Mr. Hagebakken, made the impression that there was an irresponsible shift in the use of oil money at this government. To that I would say that it is not. The use of oil money in the government budget for next year has been adapted to the economic situation — under a government warning significant measures to streamline, modernise, simplify and convert the public sector. This is a government that dares to ask questions, not just by what we spend money on, but by how we spend money. These are important questions to ask, because we manage the taxpayers' money. It's what this government intends to do. We intend to continue to propose the necessary and proper structural measures to modernise and convert the Norwegian economy. We will continue to propose necessary and proper tax reliefs, because it modernises the economy and provides the basis for more growth and value creation. And – we want to do what the previous government never managed to do, namely dry to cut to release money to clear priorities. I am proud that this government dares to do so, and I am pleased that we have a good cooperation agreement with the Christian People's Party and the Left, which follows this up.
ParlaMint-NO_2013-12-13.ana.ud258e264	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2013-12-13.ana.ud258e267	Just a few brief comments. First, Mr Hagebakken, who was concerned about the use of oil. The opposition – in this case the working party – is now occupied only by the number of dollars. Once you were busy with percent, now you're just busy with heads. I understand that, because then the description – the rhetorical content – fits a little better. In fact, for 2014, we add up to an oil money consumption corresponding to 2.9 pst. by the capital of the pension fund. I think we can agree that is good within the framework set by the Stortinget. And it's been a long time since it's been at such a low percentage level. It's not like the money we spend, one-sided goes to tax relief. They also invest in infrastructure – it is future-oriented, it benefits Norwegian business. We focus on education – it also benefits business and the future. We're betting on research. And if there's something that benefits the future, it's just that. I needed to give a slightly different picture than the description given by the representative Hagebakken. It was nice to hear the representative Battle Violence Vedum describe the blows in the bureaucracy both before, during and after the government change. I think I shouldn't comment on it – it was interesting to listen to at least. Finally, I do not think there was anything heretical in the Snorre Serigstad Valen advertised. On the contrary, thinking big thoughts should be done often. How we manage our oil wealth – a better theme for a larger debate in this room is scarce. It is a great responsibility for us as a country – it is a great responsibility for the government and for the Storting – to ensure that the natural conditions we now enjoy are well managed, not only for our own country, but also beyond the borders of this country.
ParlaMint-NO_2013-12-13.ana.ud258e282	The left is back in the fold – unfortunately – but I still live in the hope that one day we will be able to put our foot down against blue-blue politics. The representative Tom Holthe of the Progress Party had almost what is called a trailer in the film language about what was to come. On the way we were informed that the left had a group meeting and had turned the case around. Holthe announced that I could be disappointed. I'm disappointed, but more than personally feeling disappointed, this is very disappointing in view of the expertise that's out there, the good trade unions that are so finely decentralized across the country, and that are now to be centralized. District policy costs a few dollars, but the cost of not having an active district policy – not including that element in different contexts – is much greater for our country. I'm disappointed. I will solemnly – and it may not be more solemn than from this pulpit – withdraw the reward that I gave the Left. Siv Jensen, the finance minister, says one saves 20 million. kr. Neither do we in the Workers' Party have anything against saving money. They can be used for other good purposes – says the Minister of Finance – we need clear and clear priorities. We know what has first priority, no matter what the Syvers say. It's tax havens. This may indicate that a person is now going to seam the central government and the country for money that can be involved and finance the tax bill in the future. Then we jump off, and I hope that on one occasion the Left too will agree to put the foot down. I want to add that it's starting to form a pattern – a sort of premonition," said Serigstad Valen. I agree. What's the next thing that's going to happen? We saw what happened to regional development funds, we saw what was happening in this case. My great fear is linked to the local economy, not only to future frameworks when large tax cuts are to be financed, but to the distribution between Norwegian municipalities. I fear that the tax-deprived municipalities will be weaker and affected by the lack of distribution policy that we experience from this government.
ParlaMint-NO_2013-12-13.ana.ud258e299	I would like to use a few more words about the office structure of the Directorate of Financial Management. It is a fact that the management report came there at the end of October, and it is a fact that the additional proposition was presented only a few days later. The fact that there has been some thorough and heavy political assessment of the consequences of such centralisation is difficult to believe in with the short deadline that has been when the report and the supplementary proposal were presented, and we know that it should also be printed. A few days have passed, and then you've just knocked through what some officials want. It's also very clear in the supplementary proposition that there's a risk involved in doing that conversion. There are no savings proposals to centralise the office structure of the DFF in the coming financial year. The bulk of the population – or the majority of the population before today – asked for a new round, to take a little better time, and to look at how to streamline within the Directorate of Economic Management, but at the same time to take overall societal considerations, so that you could have the jobs in Vadsø, where four to five state jobs mean a lot. It's the same thing as having 33 government jobs in Hamar, where it means a lot, a lot more than that means adding 33 new jobs to the Oslo Centre. For some reason, the government does not have time to make such a thorough assessment, not time to look at the overall social consequences, not time to think about the whole. It's disappointing. It is a little surprising that there has now been a clear use of raw power against one of their partners to get this through, once you have also seen how representatives of the right parties around the country have done everything they can to try to stop this centralisation process. Here a used raw power has both against representatives in their own parties and against one cooperation party, because it is absolutely necessary to carry out a centralisation that is not known about the price, and for which an overall assessment has not been made. In my home country, we had two of those kinds of things. We had a thin set of health records, which could have big, long-term effects by locating a national health archive on Tynset. It also chose the government to stop. There's no doubt that it's part of a pattern. One does not want to use state jobs to create activity around Norway, and one is willing to use raw power to push it through. I think it's sad. I hope and know that in the Left Party, in the Christian People's Party and in the Center Party there are many of the same counter-cultural flows, where you want to use the whole country – so that we can still have hope for voting afterwards.
ParlaMint-NO_2013-12-13.ana.ud258e310	I have to admit that I really didn't believe my own ears when I heard what had happened, that there was a majority in a case where there has been a great local commitment – from the government parties too – to stop this centralization, which has not at all been the basis for any thorough political assessment, as the representative Schlagsvold Vedum was up and said. It's part of the government's cut policy, they needed money to finance their heart issues, which are tax havens. Then it doesn't matter if it goes beyond anyone, especially if it's in the districts. We saw that in the budget when we removed the stakes on the Central Depository and Health Archives on Tynset, an investment of nearly 1 billion. kr, which has been impact assessed, and would provide 80 permanent jobs in the districts – ‘wake up’. Now it was these jobs, and they were to be rescued by the local representatives from the Right and the Advance Party. They couldn't, but it seemed as long as the Left would do it. We were happy and happy on the left. I now understand that they are exposed to a power, a raw power, which is not very nice to look at. I also think the government parties now have to consider what kind of light they put their local representatives in, because now they are being made as totally without influence on the government and what they get at all. This government has clear signals that, for example: a state such as Hedmark is going to lose large sums, both on tax revenue, because taxes are to be eliminated, and on the local economy, where it is clearly signalled – also from the Stortinget Committee – that the distribution of income is to be weakened and that corporate tax is to be returned to the municipalities that receive it, where the head office is. We've seen those distribution tables. They show losses in all municipalities in my home country, and profits in those municipalities where especially the Right is strong. I am most amazed at the Progress Party, because they are also strong in some of these municipalities. And they're not going to have anything. They have cut the regional development funds violently – they have got back some of the money on the way. So this is going to generate the growth force. The NHO reports that the public sector in Hedmark is the engine of what is going on there. This government goes right on it and cuts at all possibilities they see. I have to say I'm worried. I am concerned about the development, and I am also concerned about the climate of cooperation that I see developing.
ParlaMint-NO_2013-12-13.ana.ud258e321	First, I would like to thank the committee leader, Syversen, for looking forward to the idea debate in Stortinget. That's very good, so do I. Then I'm going to jump from the idea debate to the really small details. I noticed in the representative Syversen said about oil money. As the oil fund increases and increases in value, the percentage used of the value of the oil fund will have less and less to say, really. When the representative Syversen boasts that only 2.9 pst. of the value of the pension fund is used, it is only half the truth – at best. The number of dollars we spend, most of all, is for the simple reason that the oil money use as a share of the mainland economy has never been bigger. Next year, even more oil money and an even greater share of the mainland economy could be spent on tax cuts and expensive election vows, while boasting of following the rules of action and using a low percentage. I would like to invite Mr Breivik's representative to bring his greetings to his big group. It's that there's real jobs, that real people have enjoyed being able to keep, because they thought the Left had got them a majority in the Biggest. Being a party on the tip of the head gives rise to a considerable amount of responsibility. It gives less room for wings than the one traditionally known to the Left. Here, the Left has winged, while the government has demonstrated its willingness to whip and humiliate a cooperation party – not to ensure a major reform, not to get through a whole, but because without proper investigation, you absolutely have to put down district jobs. As I said when the supplementary proposition was put forward, this actually demonstrates that the government is fully capable of prioritizing, it's just that what it chooses to prioritize is crazy politics. It's a terrible shame that the Left at one moment agreed to stop some of it, and then at the very last moment has turned around, when all these people it's about, probably thought that their jobs were secure. This is not the way a powerful party that is on the tip of the Stortinget should act.
ParlaMint-NO_2013-12-13.ana.ud258e332	First, I would like to say that the interpellation to which the representative Snorre Serigstad Valen has alerted is also pleasing to the Progress Party. I have to say that I have a little difficulty getting to grips with what the representative Serigstad Valen actually means, because on the one hand he is concerned that the use of oil money is too great, and on the other hand he is concerned that the oil fund owns more and more in the world. It is that if we had used less oil money, one would have had to buy more axles and own more and more. When it comes to competitiveness, it is a fact that from the additional proposition that has been put forward until it is now dealt with in the Stortinget, the krone price has fallen and the competitiveness of Norwegian companies has strengthened The second issue that has been raised here today is the Directorate of Financial Management. Now it's a fact that Norway has one of the largest public sectors in the world. He's developed negative under the red-green government. It's a development that can't go on with the growth we've seen. Then the cooperation parties, the four bourgeois parties, have seen this on the agenda. One will have more efficiency and red tape. Now, in the first case, we're going to be able to save $20 million on the Directorate of Economic Management, with the grips being taken here. kr per year. This is an example of one going the right way, and one has many other directorates where one should take similar steps. I believe this debate has shown that Stortinget does not own itself as the arena to take this kind of discussion about efficiency and red tape. I am overestimated that the grips taken when it comes to improving the efficiency of the public sector will result in a reduction in the number of both central jobs, state jobs, and district work places. It is a development that is necessary. This is not about centralisation, it's about streamlining and slimming the public sector. It's necessary to do that. I hope there will be more of that in the future, and I'm also overestimated that it will be. When we listen to the representative Tore Hagebakken, it seems that the former red-green government's form of district policy was state jobs in the districts.
ParlaMint-NO_2013-12-13.ana.ud258e351	I understand the red-green disappointment of not being able to get a majority against the government in this matter. But when the representative Snorre Serigstad Valen says that the Left is tricking real workers and real people, I just want to remind the representative Serigstad Valen that what was in the proposal was a closer investigation, not a promise to cement a structure. So to the representative Hagebakken, who had hoped, and hopes that the Left should put down the foot of a blue-blue policy. Then I just want to remind the representative Hagebakken that the Left was part of the Bondevik II government. And if someone really demonstrated the ability and willingness to use the competence of the whole country by moving out state jobs, it was the Bondevik II government, of which the Left was part. To Battle Violence Vedum, who comes with accusations from this pulpit, about ‘raw power’, abuse of power, to get through this: in fact, I think that’s pretty strong words – both to expose a party to this and to accuse others of practicing that kind of abuse of power. I just want to remind you that here we are talking about important elements, both to be able to save 20 million. kr per year after the conversion has been completed and to release funds for other purposes. We are talking about focusing on security, on quality and on internal control in key government services, as one looks is better cared for through fewer offices. That the left in this context has changed my mind, I think I serve the left to honor, because there are enough things in this society that we need to spend money and resources on. Then we can at least go ahead as a good example and streamline the public sector in a way that allows us to release funds for other good purposes.
ParlaMint-NO_2013-12-13.ana.ud258e360	Let me first solve some obvious errors. So there are no random officials, as Battle Force Vedum called it, who have been beaten through this. This is a proposal that the government has put before the Stortinget and which is now supported by a majority. This is based on an assessment — carried out by the directorate itself — of four alternative solutions to improve the efficiency of the establishment. I would like to remind you that the previous government carried out the change in the tax rate to which I referred in my previous post, the government wrote the following: ‘A structure with still many small offices, however, is challenging both professionally and costly. In order to ensure a satisfactory service offer to all taxpayers, including the uniform treatment of equal opportunities, and efficient resource use, the Government has authorised the Tax Directorate to close tax offices...». [[...]] It was a change that would give a saving of about 20 million. kr – ‘cut policy’, as Karin Andersen calls it. We've done this because we think it's right. We've done this because we went to the elections to streamline, simplify and red tape. We went to the elections – that's why the government changed. I think it's okay that red-green parties disagree with this. So we made a choice on this -- now we're doing it. But to make claims that we have used raw power against the Left or the Whisper and humiliated them, as Serigstad Valen called it, I think is a very unnecessary use of language. It is a perfectly honest thing that you disagree with the proposal the government has put before the Storting, but this has been a tidy process, and we have had good dialogue with the cooperation parties in Stortinget. This is based on a good, thorough review and assessment, which has now led to a majority in the United Kingdom to implement this. It's okay to disagree, but that's what the majority has decided on. What I want to say in conclusion is this: this government is going to promote a wide range of proposals for the Storting on more efficiency, simplification and red tape. That means it's not the last time we're going to have a debate on these questions. It's not an overall goal for this government to centralize. There is no natural link between simplification, efficiency, red tape and centralisation. However, the consequence of making more efficient use of taxpayers’ money in a more sensible way means releasing funds for other purposes. That's what this government is going to do.
