ParlaMint-NO_2013-11-08.ana.ud198e22	The representative, Mr Jørgen Bekkewold, will put forward a proposal for a representative.
ParlaMint-NO_2013-11-08.ana.ud198e340	Nor is the representative of the Hagesetter opposition politician anymore, so the President will pass the floor on to the representative Hans Olav Syversen.
ParlaMint-NO_2013-11-08.ana.ud198e343	Thank you for that, and for the sake of order, I have to make it clear that I am an opposition politician – a constructive one. Congratulations to the Solberg Government, which has now presented its addition to the budget, and to the Minister of Finance in particular. I saw it in a newspaper headline: "There have been some nights where I am lying and worrying about the great responsibility." I note that we have received a responsible finance minister quite quickly, and I must say that Gjermund Hagesetter's praise to the Ministry of Finance also came very quickly. Never has the rule of action been more uplifted in this room than in the speech of the Minister of Finance. We're happy about that. I think I can see that Siv Jensen wants to keep order in the Norwegian economy, in the Norwegian economic house. I do not agree that the government came to any covered table. The number of persons employed between 25 and 54 is now 3 pst. during the period before the financial crisis came in 2008. It's a strong signal of danger. Unfortunately, productivity is on its way down. There is every reason to change the budget of the Stoltenberg government. We have a cooperation agreement. We see many tracks, again, in what was now presented – infrastructure, road and rail and research are given priority, care for the elderly is strengthened. We are very happy to give priority to drug abuse, rehabilitation and psychiatry in the health care community. A strengthened justice sector, I believe, is now necessary. I also noticed that the finance minister – I was about to say – almost said ‘morn’a’ at the inheritance fee. She didn't say it that way, but I realized that it was an extra pleasure to be able to say it, and we'll see to what extent it becomes a complete'morn'a' at that exact fee when we're done. We are facing this budget with a constructive attitude. I can just say that taking from the poorest to give to the richest is not the Christian People's Party's policy. Nor is it to increase the tax for 150 000 people in this country or to contribute to a severe need for care under the age of 67.
ParlaMint-NO_2013-11-08.ana.ud198e366	Then the President will give the floor to the Council of State, Siv Jensen, for a comment of up to 2 minutes.
ParlaMint-NO_2013-11-08.ana.ud198e369	I must be allowed to thank the representative Syversen too much praise for the additional proposition. This is a budget where we have made some clear priorities. I fully recognize that there are still a wide range of areas where we can make even more and clearer improvements, but this was what the government found room to do during the short weeks we have had the opportunity to work with the government budget. At the same time, we look forward to the cooperation that will now take place between the four cooperation parties in Stortinget. Hopefully that will make the budget even better, if I know the Christian People's Party and the Left Right. I also want to say that this is a growth budget. Sometimes, when you hear the social debate after a government's budget presentation, you can get the impression that it's not, but this is a growth budget in line with the growth estimates of the Stoltenberg government's budget. In fact, the government has done a lot of repriorities because we want to put some clear bets ahead of others. It's about better health and care, it's about faster and more efficient development of good infrastructure and transport, it's about a better knowledge society and it's about more security. These are important bet areas for which the two government parties have been involved in a long campaign, and for which we now see the results. Then it is that tax reductions are important if we are to improve conditions for growth and value creation. Major parts of Norwegian business are now facing significant challenges. The two-way distribution of the economy is a fact. Then we need to create conditions to secure jobs and make it possible to make investments for the future as well.
ParlaMint-NO_2013-11-08.ana.ud198e382	We are definitely going into discussions to look at tax relief. But we have great problems in understanding that a government from the Right and the Advance Party also comes with tax austerity to ordinary people – let's call them the'most people' – for example. a minimum pensioner who is married to an employed person, who is in tax class 2. What is the reasonableness of their combined tax consolidation of NOK 10 000 to NOK 12 000? This is something we would like to discuss more closely with the Right Party and the Advance Party. We will discuss why the Right Party government has maintained the unsocial cut of the Stoltenberg government in the support of those who are heavily nurturing under 67 years of age, a cut of over 200 million. kr. We also want to discuss how to get a better and greener tax change than what it's added up to. And I think, as I said, that both the Right Party and the Advance Party know the Christian People's Party so well that they know that it's high on our agenda to avoid cutting to the world's poorest. We look forward to the negotiations. We have the goal that Erna Solberg and Siv Jensen can say, after the negotiations are over: a good budget has become even better!
ParlaMint-NO_2013-11-08.ana.ud198e391	The great words, the beautiful promises, and all the clear proposals made by the great representative Jensen have become many adjustments made by the Minister of Finance Jensen. In many areas, we in the Centre Party are very pleased that not all of these proposals are being implemented, but in other areas it is directly harmful, namely when you create an impression of a change in tax that changes behaviour directly, and it is not implemented directly. The proposal to introduce tax deductions for an additional measure, contained in the Sundvolden Declaration, is a good proposal and changes behaviour. However, when we read the budget document now, there is no proposal for a modification of that document, and it will stop theincrease measures completely, it will affect individuals who intend to make an increase in their housing, and it will affect entrepreneurs who are setting rates for an increase in housing measures. If you notify tax changes that result in behavioural changes, you will need to implement tax changes immediately. Another such measure is the proposal to impose capital taxes on the sale of property. This is also a constructive proposal, but what happens when the government announces this in the Sundvolden Declaration, but does not follow it up in practical policy? What happens then is that the trading of property will stop, because people think that the government might come with the next year. You get the opposite of what you want – you don't get any more sales, you get less sales, and you put individuals, businesses and communities in a very big fix. A responsible government must follow up the clear promises it has in respect of taxes. If you don't create behavioral change that's of the negative, and that's not how a government can act. Another anti-business intervention in this draft budget is all the cuts made in innovation and district policy. Support for those who have new ideas and better solutions around Norway – for those who have new ideas and better solutions and who want to create new business activity but need a small helping hand from the public. Support for these is cut. A good example of companies hit by this type of cut is the Moods of Norway, which got a little start-up help through the innovation tool. The type of appropriations to be committed shall be reduced. I think it's unwise, I think it's a shame you don't want to bet on those people around in Norway who have good ideas and better solutions. Now I have to be a little positive in the end, because I see the Minister of Finance getting a little messy, and then I have to say that last year it was the complete crisis when we made this customs change – it was both a national crisis and an international crisis. I am pleased that politicians can change their positions, so that what last year was a crisis is now the Right and the Advance Party's policy.
ParlaMint-NO_2013-11-08.ana.ud198e402	I must say it is quite gratifying to see that the red-green field has released the roof of the representative Battle Violence Vedum! Calling for even more tax relief than the Right Party government has been able to do in this budget suggests that we can have another potential partner in the Storting in the years to come. I just want to mention that the sum of the tax reliefs proposed by this government is about the exact same size as the tax scarfs implemented by the Stoltenberg government eight years ago. So there's two arrows going in each direction, and it tells us one direction. I'm very happy that the Center Party is now looking for even more. With regard to the proposal from the Sundvolden platform on an additional measure, I can assure you that this is a proposal the government is working on further. It's also referred to in the supplementary proposition as a proposal we're working on. Similarly, we work with a ROT deduction, which we believe is also important to clarify. So Battle violence Vedum can only rejoice – there will be more in the next budgets.
ParlaMint-NO_2013-11-08.ana.ud198e411	It is good that we find something to rejoice about, but what I do not enjoy is unpredictability of taxes. When you notify tax changes, you have to implement it immediately. Therefore, tax – when you work with budget – is the area you have to be most careful about, precisely because you know that it causes behavioral change. Once tax changes have been notified, for example: in the case of an additional measure, nobody will invest in heat pumps if they believe that the following year they can receive a tax deduction. And who's hit by that? Yes, the entire industry and all the entrepreneurs who have invested in this and who have invested in predictable frames from government and big business. In addition to tax changes, on which we always have to make some adjustments, one of the most important things we can do as a magnification – and you as a government – is to create predictability, and what you have announced now is not predictability, and it is going to create many losers. Then there's one more thing that I want to comment on. I had the pleasure of being part of the previous government, and I remember the comments about last year's budget on transportation, where we got the impression that it was a crisis, and the Progress Party made a huge effort. And I remember the comments that were to the national transport plan. Also there we got the impression that there was a crisis, a lost bet, and the Progress Party was going to increase the budgets by 450 billion. kr in relation to what the previous government presented. And what's going on in this budget? There's maybe a five to six kilometers more by highway to be built next year. You have taken out the smallest toll project you could find. At home at the bar we would call this a little'magaplask'. I won't call it this. You'll have to assess it yourself.
ParlaMint-NO_2013-11-08.ana.ud198e418	Initially, I had to congratulate the Minister of Finance and the government on the additional proposition. We know that there is a lot of work and coordination gymnastics behind, in a very short time. The proposal contains several tangential and colliding changes to the alternative government budget proposed by the Left this year. The starting point for the negotiations that we are about to enter into, ending with an even better result in Stortinget, is quite reasonable. At the same time, there are despondent things that are deficient – not least on areas such as climate, environment and public transport. We also find a cut in the extra proposition that disappoints groups that had hoped for greater changes and greater willingness to take a big hold. The students are one of those groups. Unfortunately, the government has – almost in good red-green tradition – removed what one was for in the election campaign: 11 months of study support. The left will fight for the Storting to take it back into the negotiations that we are now going into. Unfortunately, too, there are not too many traces of a large-scale commitment to the fight against poverty. And when the government also chooses to pass on the proposal to the Stoltenberg government to remove tax class 2, it will most likely lead to an increase in the number of children living in poor families in 2014 – if not when the Left gets an impact on the proposals in the alternative state budget, for example. free core time in kindergartens for children in low-income families. I'm also a little surprised that the government doesn't reverse the incomprehensible cut of the Stoltenberg government made in the arrangement for resource-requiring users of municipal care services. The government has inherited a major problem from the previous government: a heavy maintenance run on roads, school buildings, churches and not least the railway. The left, of course, welcomes the government's proposal to allow more money for railway maintenance, but 100 million. kr is not in the vicinity of being sufficient. Compared to the need, we're a little surprised that the government was no longer reaching out to fulfill a very important point in the cooperation agreement. The left proposes 2 billion. extra for the operation and maintenance of the railway in the alternative budget. It is absolutely necessary and will be a priority area in the negotiations over the next few days. Finally, a little bit about the tax regime: the left believes that the proposal to reduce corporate tax and reduce the deduction of interest on debt should have been postponed pending by the Scheel Committee's report. However, I am pleased that the government is now removing the inheritance tax and reverses the proposal on the income tax on dwellings. Here one in the Left is immediately ready to give the government support and provide a needed multiple. On the other hand, we are less pleased that the government is reducing the small, green tax change that the previous government proposed. If the climate agreement is to be strengthened, we now have to do a job in Stortinget.
ParlaMint-NO_2013-11-08.ana.ud198e441	The left well defines itself as an opposition party, and then the President will give the floor to the Council of State, Siv Jensen.
ParlaMint-NO_2013-11-08.ana.ud198e444	Thanks for the good feedback on the additional proposition, also from the Left. I am sure that the four cooperation parties will be able to make good changes when the negotiations begin in Stortinget, which will also put a Left and Christian People's Party footprint on the final result. I would like to make a comment on the subject of education: there is a budget that is heavily devoted to education. We give the students a record boost in education support. I think you should notice that, because it's a strengthening of the students' financial situation, compared to the current year. This will make the students feel better and not worse next year. In addition, there is a strong commitment to the education and research sectors, which together provide good growth for the next year. This is one of the areas where the government has invested and prioritised. It is probably possible to do even more and make it even better, and I am sure that the Left will use the opportunity to also influence the education and research budget in the forthcoming negotiations with the Right and the Progress Party.
ParlaMint-NO_2013-11-08.ana.ud198e455	That's what the Minister of Finance says. There is no doubt that they are doing a lot of good in the field of education, and there are several of the proposals from the Left's alternative government budget that we can find in the constitution of the government: a lack of skills for teachers, which she was committed to education, increased research efforts, increased maintenance of the national road network, and not least a monthly increase in the commitment to care for Russians, to name a few. In all of these areas, however – if the Minister of Finance has studied our alternative government budget – we are going to go beyond what the government is doing now, and of course we have ambitions to get the government to join in on a stronger initiative in the Stortinget. I am also pleased that the Minister of Finance – at the beginning of the year – addresses the two-part division of Norwegian business. It's one of the really big challenges in the future Norwegian economy. But here, too, we're using a much stronger lye, which we think is absolutely necessary. Targeted measures are necessary to counteract an increasing two-tiered Norwegian economy in Norwegian business. If we're going to be able to reverse those developments, there's a number of tools that are not captured in the additional proposition, which we're now going to include in the negotiations in Stortinget.
ParlaMint-NO_2013-11-08.ana.ud198e464	When you have to assure the Storting that you're not a special interest agency, I'm a little worried. I think that's the first time that's happened. The government is demonstrating with this budget that they are willing to sacrifice quite a lot to give tax relief to a few. Although the government has been sitting only a few weeks, the right parties have had many years to show their priorities in their alternative state budgets. So when the time has now come to be short – as the Minister of Finance is quite right – we get a good picture of what the Right and Advance Party really think is the most important priority, and I can almost hear all the way here to the staging room, all the champagne corks that pop up in the Holmenkol lock. This is done at the expense of some others: families with children throughout the country have been looking forward to more kindergarten admissions this year, with the predictability and security it provides, and students have celebrated the impact of what a massive majority of the Grand Duchy is for, namely, 11 months of student support. None of this has given priority to the Right and Advance Party. Even with more oil money available, the right-hand side takes advice on the implementation of education for families with children, students, knowledge and the environment. For years, the right-hand side has been talking about red-greens not being a priority, and they themselves are increasing the use of oil, without new prospects in the Norwegian economy to finance tax havens – not investments, reforms and new welfare offers. It is also cut in what is perhaps the biggest contribution Norway makes in the climate struggle, namely the rainforest bet. And 1 pst. The aid target, which has been a pole for eight years, is now gone. I think the Minister of Finance is quite right: what is most important to the government has come first. Therefore, the entire inheritance tax — one of the main taxes on redistribution and cohesion in Norway — is removed. The wealth tax is reduced, and the government is getting high and dark and saying that ordinary people also get tax breaks. That's right: ordinary income gets a few hundred grand in tax bills, while those who make over 200 million. kr per year, will receive more than NOK 40000 in tax vouchers. There's someone who's paying for this. There is not only an increase in the use of oil: Fewer refugees are allowed into Norway. Alone caregivers get less. It was cut in the back of the child. It was cut in the parental leave. The maximum price for kindergartens is going to go. I want to give the Minister of Finance just one thing: she has made important changes. That doesn't necessarily mean they're good. Some groups will be very pleased with this state budget, and I won't be surprised if it turns out to be a certain coincidence between these groups and those groups that contributed most to the Right and the Advance Party election campaign.
ParlaMint-NO_2013-11-08.ana.ud198e500	I think it would be wise for the representative Serigstad Valen to read the supplementary proposition even a little bit more thoroughly, before he concludes what the government has actually proposed. This is a budget that is growing, so to speak, all areas from this year to next year. It's a growth budget. It's wrong to claim that children's families and students get worse with this budget. You'll be better off with this budget. They get better framework conditions for next year than they have this year. The students receive increased support for their studies. Children's families can benefit from broad tax relief, so there's also a claim I want to refute. This government has a tax arrangement that gives tax relief to everyone. I would like to remind you that the Progress Party and the Right have actually gone to the elections to reduce the tax burden in Norway. We said throughout the campaign that we would reduce taxes and charges. Now let's do that. We have said through the election campaign that it is necessary to reduce the strange wealth tax. Now let's do that. We do it because it's important that we secure Norwegian jobs in the future, and that's what this is all about. It is therefore true that the enterprise by enterprise after enterprise around this country – including small ones – has asked for relief from taxes on wealth so that it can secure the conditions for its employees so that they can make it possible for them to continue to make new investments for their own future. I am pleased that this government keeps it under law and has taken the first steps to provide broad tax relief both to business and to households.
ParlaMint-NO_2013-11-08.ana.ud198e509	Some have tried to explain to the Prime Minister that the property tax is not very important for how Norwegian companies do it, and when they tried it, the sound of her phone stopped working. If the Minister of Finance is very satisfied with the efforts of the students, she can talk to the head of the student Ola Rydje in the hiking hall afterwards. There is a broad gap between rhetoric and actual policy in the budget that the Right and the Progress Party have presented. Making kindergartens more expensive is not investing in the future. Cutting back on support for families with children and single-parents is not giving people opportunities. And sending more women back to home, as the government actually says outright on page 143 of the proposition -- it's assumed that more women stay at home as a result of the changes the government is doing -- it's definitely not forward-looking. And having it means that ordinary people get a lot of the tax credits when ordinary income gets a few hundred patches, while those with million income get more tens of thousands, that's not very accurate. In short, the Minister of Finance has provided a budget that will increase differences in Norway, and that is as simple as that.
ParlaMint-NO_2013-11-08.ana.ud198e518	The Green Party strongly hopes that the new government and the civil four-party cooperation will pursue a better policy than the red-green government has done. The best thing that can happen to developments in Norwegian policy is if we get a competition between the right and the left that actually forces both parties to develop their policies forward and not sideways. That is why, in the short time we have had, we have read the budget as well as we could, we have listened to the Minister of Finance, and we find good intentions in the new budget. We are committed to research, which is essential for this society to evolve in the right direction. We are committed to knowledge development, which is necessary for new business development. And we find many examples of the most important thing, namely that even the Right Party and the Advance Party now see the need to introduce measures that move Norway in a sustainable direction, into their budgets. We see promising efforts on health care and on national health and hospital planning. We appreciate an increased investment in the elderly, and we find a good investment in the development of public transport. We also find individual measures that, in isolation, will facilitate the creation of new businesses in new industries. For example, cuts in inheritance may also contribute in that direction. We even find good environmental measures, such as maintaining the commitment of the previous government to increased forest protection, and we find an increase in the greenhouse gas tax. On the other hand, we are rather concerned that a budget that is primarily concentrated on increased Norwegian welfare is cutting our already minimal hospitality towards refugees from the disaster in Syria. In a completely different field, we see that environmental protection management, which is to take care of the natural basis and the basis of life in this country, is cut into a number of items. We see that the Food Authority, which is to safeguard the welfare of Norwegian farmed animals and other domestic animals in Norway, is being severely cut. And we see that the government later cut hard into one of the most important new international aid measures that Norway has launched, namely the great rainforest campaign. It also appears that strong cuts have been made in the efforts to cooperate with developing countries on renewable energy.
ParlaMint-NO_2013-11-08.ana.ud198e529	I'm afraid the time is up. The representative will have two more minutes, but first the Siv Jensen Council will have the floor for a comment.
ParlaMint-NO_2013-11-08.ana.ud198e532	I'm sorry. Thank you. It was a rookie mistake.
ParlaMint-NO_2013-11-08.ana.ud198e537	Let me first thank you for the rose that came from the Greens. I thought that was nice. Let me also clarify some misunderstandings. So it's not like the government cuts the number of Syrian refugees, but what we're doing is reducing the number of quota refugees in total. In addition, we have the challenge that there are many people in reception who are to be settled around the country, and the sum of it is a demanding challenge that the government has tried to give some answers to in the supplementary proposition. Then I also hear the claim that the government cuts in aid. So the 2014 aid budget is growing by over 1 billion. kr in relation to this year. It is true that the 1 pst target in relation to GNI has now reached 0.99 pst., but the aid budget is therefore growing by over 1 billion. kr. When referring to the changes that have been made, I notice that several of the reviews are about changes in relation to the submission from the Stoltenberg II government, but you have to measure the changes in relation to the current year, which is what we measure the changes in relation to. Then this is a growth budget. It is a budget that provides more funding for the cultural sector, the aid sector, the education sector, the transport sector, the health and care sector and the justice sector. Yes, almost all areas experience growth with the budget that has now been submitted. I'm glad. I am pleased with a government that has managed to make some clear priorities, and at the same time has found room for absolutely necessary tax relief.
ParlaMint-NO_2013-11-08.ana.ud198e546	The Minister of Finance places considerable emphasis on growth. The Minister of Finance even stresses that the clearly most important thing for this government is increased growth in Norway and increased welfare in Norway. We live in a country that has already distanced so to say the whole world in terms of growth and well-being, while basing that growth and well-being on a business that everyone now recognizes to contribute to increasing global warming and thus undermining the life base of people around us and people who come after us. Is it the view of the Minister of Finance that in Norway we should continue to base the development of this country on such an activity, which we therefore know we cannot defend internationally and globally? Is that what is going to be the growth base of the welfare society we are going to have in the years to come, or will we reach this, or at least in the future budget, see a dramatic commitment to sustainable business that we are going to have to live on in just a few decades, if we are to listen to the United Nations Climate Panel?
ParlaMint-NO_2013-11-08.ana.ud198e553	We have come to the end of the debate, and then the President will open up that either the Prime Minister or the Minister of Finance will have an intervention limited to three minutes. – It seems that Minister of Finance, Siv Jensen, is going to have the three minutes.
ParlaMint-NO_2013-11-08.ana.ud198e558	Thanks for a good preliminary round of feedback from Stortinget. What is important for this government is that we now have a situation in which many of the important discussions and conversations are moved back to this room. We have behind us eight years when few, if any, decisions were made by the national parliament of the country. Now the decisions are to be taken by the national parliament of the country, and that's good. That is good for democracy and it is good for public debate. It is an important contribution because the government will thus listen to recordings coming from the opposition – it can be a good input, which the government will consider separately and collectively. It is a step forward for democracy, and I am pleased that we now have the opportunity to do so. I am proud of the budget presented today by the Right Party Government. We fulfill many of the promises we have made. We've taken some important steps towards the promises we made through the Sundvolden platform, and we've managed to do it in a very short time. It is only the 2015 budget that will be an entirely Right-wing-Fremskritsparte-budget. The work on that budget is going to start soon, but I believe that through these few weeks we have been able to turn the use of money in the direction we ourselves have announced that we are going to do, turn the use of money into future-oriented and profitable investments that our business is completely dependent on in the time ahead. We have done so through an offensive and comprehensive tax system, through a stronger commitment to transport and through completely necessary and proper measures to strengthen people's security in everyday life in terms of their own health, education and security for the absence of crime. There are many important and correct steps. I am very pleased that the budget as a whole has received a fairly good reception in Stortinget.
ParlaMint-NO_2013-11-08.ana.ud198e565	The President will propose that the Minister of Finance's statement on changes to Prop. 1 S and Prop. [[2013-2014]] [[2013-2014]] 1 LS on the State budget in 2014 is out for treatment in a subsequent meeting. – No objection appears to have been raised, and it is deemed to have been adopted.
ParlaMint-NO_2013-11-08.ana.ud198e640	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
