ParlaMint-NO_2013-05-22.ana.ud309e26	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2013-05-22.ana.ud309e117	Svein Fleet – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e120	When the Council of State presented revised national budgets, he spoke of ‘building scandals before the war comes’. That is what the government did when they presented a growth package for the two-track economy during the Røjre national meeting – on a white Sunday morning – which included not least appropriations for research. But in its revised budget, the Finance Minister cuts over 100 million. for research. This is quite striking when, a few days before, research investments have just been used as an emergency medical tool — to put it that way. Now, the Council of State of the Advance Party initially says that they have taken the right action in a timely manner. Is it to cut so much in the research appropriations correctly in time?
ParlaMint-NO_2013-05-22.ana.ud309e128	The revised national budget is primarily a revision of the budget to check that things are going as planned and that there is consistency between what is actually needed and what is to be allocated. What happens, among other things, in research appropriations, there is a decrease in quotas for EU-funded research projects. That's the main reason for the numbers that the representative Fleet now mentions. At the same time – just to draw attention to it – the government has now announced that it will join Horizon 2020, a major research programme on the education side to be launched by the EU. This will mean that we will have to pay for an increase in the EU quota in some areas, but this is simply an estimate change in the sense that EU quotas are falling. If the opposite had happened, we would have had to grant more in the revised national budget to meet our obligations towards the EU.
ParlaMint-NO_2013-05-22.ana.ud309e133	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e136	Fog talk or fog prince – I really think it was quite informative what the Minister of Finance said. What he said was that you suddenly got 3 billion. kr more because you close some tax holes, and then you had to give tax letters to someone. It's very interesting that two parties in the government, who might be sitting in front of us here, haven't had much to say in this. It could be, for example, It has been decided in the Ministry of Finance that there will be 3 billion entering the hospital, research or drug users who need treatment. kr more in tax, and therefore tax relief must be given to others. This means that this government has an action rule for fiscal policy, and that is the level from 2004 – from the Bondevik government. My question is, is what is governing what priorities you are doing, also in the revision?
ParlaMint-NO_2013-05-22.ana.ud309e143	This government gave a tax promise when it came to power in 2005, and that was to continue the level of taxation in 2004. That promise has been made by this government. When you close a tax hole, as we do through the proposal that is now being consulted, we get about. Three billion. kr more into tax revenue. It has to be applied to measures on the tax side – this is the tax liability. This is not something the Ministry of Finance has invented on its own, it is the government's decision, and the revised national budget is the government's document. This is the whole government behind it, and the tax promise is the whole government behind it. So it's that priorities on the expenditure side are part of the ordinary priority debate, both in government and in the Storting, but this is tax exchange. There are increased tax revenues that go against reduced tax revenue in other areas, and we have been clear about that in this package.
ParlaMint-NO_2013-05-22.ana.ud309e150	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e153	The left is also of the opinion that something needs to be done now, because we should take action right now. As we see it, policy and strategy should rely more on reducing public costs and on improving efficiency and innovation. The left considers that it is necessary to strengthen the mainland industry and business with tax incentives, targeting the public sector, increased capital input and a real commitment to research and education. I will repeat the main question: why does the government not see that these measures would work?
ParlaMint-NO_2013-05-22.ana.ud309e160	What was presented to business in the context of the revised national budget is a powerful package. There we provide relief for business, including changes and improvements to the TaxFUNN scheme, start-up write-offs and a reduction in the corporate tax rate from 28 pst. until 27 pst. It is an important measure that has been very well received in business. And then we have to deal with other questions. We will continue to invest significantly in research and education, but there are things that we will come back to in the ordinary state budget that will be presented on 14 October this year.
ParlaMint-NO_2013-05-22.ana.ud309e165	Let's move on to the next main question.
ParlaMint-NO_2013-05-22.ana.ud309e168	The Minister of Finance may stand still. There is an interesting debate on the two-wayness of the Norwegian economy, on how we can secure Norwegian jobs and strengthen competitiveness, which was promoted now in the previous round of questions. When the government presented its growth package, the Right reacted with – I kept saying – pedal flaps. We were pleased that the government recognised that tax relief is important for securing Norwegian jobs and strengthening the competitiveness of companies. But as this debate has gone on, I have become more and more in doubt about what the government really means, because now the Minister of Finance said that it was necessary to reduce the company rate for companies by 1 pst. because you got some extra tax revenue by closing a hole. It is a little similar to when the government has increased the trade union deduction, but sent the tax bill to the companies, has increased the agricultural deduction, but sent the tax bill to the households through increased VAT, and lowered the tax a little for some pensioners, but sent the tax bill to other pensioners. Last week, the Prime Minister also created full confusion as to what the government is thinking in the future. In 2005, we had a tax reform where there was the same rate of labour and capital. The Prime Minister has now announced that the tax reform may be a fall. Does this mean that the government will reintroduce the bureaucratic sharing model that was removed in 2005? That question hangs in the air. The Prime Minister also refused in the previous Question Time to answer who is going to pay more tax, when others are going to pay less tax. When Sigbjørn Johnsen was Minister of Finance in 1992, he was for tax relief as a very necessary instrument for implementing the tax reform. Why do we now suddenly feel that there is no need for tax relief when implementing such a comprehensive reform?
ParlaMint-NO_2013-05-22.ana.ud309e179	Let me start with the beginning -- to say it that way. There is now a very strong debate on the international tax adaptation of multinational companies. Last night, there was a big look-up in the Financial Times about Apple. There are two things happening in the international context. One is focusing on what you call intra-corporate transfers – the possibility of moving tax bases from one country to another. More and more countries are now committed to protecting their tax base. That is why we sent this proposal to tighten the interest rate deduction at the hearing. The second thing that happens internationally is that several countries reduce their corporate tax rates. Two of our neighbouring countries have done so, both Sweden and Denmark. On that basis, we've put down the Scheel committee, which is going to look at this in a slightly larger context. When we sent the proposal for restrictions on the interest deduction to be consulted, I was very clear that the revenues we received as a result of that proposal would benefit Norwegian companies. That is the proposal we put forward and announced in the context of the revised national budget, that the proceeds from tax evasion, i.e. a tax exchange, should be used in Norwegian companies. We could theoretically have applied it to other reliefs for business, but we would suggest lowering the tax rate by one percentage point. Enough about the story. Then there's the bigger thing that's necessary to figure out. That is why the Scheel Committee has been set up, and they have been given a very clear mandate. They shall consider both the international development and the relationship between taxes on general income and taxes on companies. That sample will be submitted on 15 October next year. In its wake, there will be a broad political debate and, hopefully, also a broad majority in the UK that will support a new tax reform.
ParlaMint-NO_2013-05-22.ana.ud309e188	It is good that the government has proposed to reduce the corporate tax by 1 pst. It partially compensates for the fact that the government has doubled the tax on working capital in the last eight years, which has affected Norwegian enterprises and Norwegian jobs. After tightening the tax, a certain tax relief is now proposed. That's good. You're going in the right direction now in the last round. But what the Prime Minister chose to do last week was tell something about the direction in which the reliefs were to go – before the Scheel Committee report comes. Then the question arises: if you are going to make tax changes that could amount to $10 billion in tax reductions, who is the government and the red-green parties going to send the tax bill to? In the case of the Workers' Party, there is a doubt on its tax promise that the tax level should be the same. So who's going to pay more? Are those the pensioners? Is that the homeowners? Is it the social security fee to be paid or is it the employer's fee to be paid?
ParlaMint-NO_2013-05-22.ana.ud309e196	The point one is that well-being is to be paid. Therefore, we do not promise a lower tax level, but we say that we want to close tax gaps, expand the tax base and look at the possibility of using it to reduce tax rates, and in this context we have concentrated on corporate taxes. In other words, we do the same thing we did in 1992 – expand the tax base and reduce it by rates. We have also not announced any reliefs in the personal tax; these are the corporate taxes we have now concentrated on. Then we have set up the Scheel Committee – with a very broad and comprehensive mandate – to look at corporate taxes in both a Norwegian and an international context. I have been involved in this before – I was involved in the tax reform from 1992. Before we got there and made the good decisions in Stortinget, there was a comprehensive investigation: three investigations, reports and a good treatment in Stortinget. I'm adding up to a pretty similar treatment now, when we get the Scheel Committee report in a year and a half.
ParlaMint-NO_2013-05-22.ana.ud309e203	There will be three follow-up questions – first Gunnar Gundersen.
ParlaMint-NO_2013-05-22.ana.ud309e206	I almost have to say: Minister of Finance, this is not going to happen, because the Prime Minister has in principle concluded with regard to the Scheel Committee – two months after it was set up. He has said that the company tax was going down, and then he discovered that much of the tax system in Norway is based on the fact that it should be equal to taxation of capital and labour, and thus also the taxation of persons had to be reduced. It's signaled. It's signaled that this is the start of a larger conversion. We're talking about 15 billion. kr per percentage unit, where the tax rates decrease. When the tax level is going to be kept constant, we can't talk about what's going to happen. When the Minister of Finance is so ready to criticise others for not explaining the discovery, the government must also begin to explain who is going to pay more. Or is it the way Kristin Halvorsen describes in his book, that in 2009 people knew that the house tax would be lifted, but they didn't say anything because they knew it was unpopular?
ParlaMint-NO_2013-05-22.ana.ud309e211	There's a tax proposal on the table. It is a tax proposal to reduce the rate of corporation tax, both for limited liability companies and for self-employed persons, by one percentage point – from 28 to 27 – plus the other measures. It'll cost about 3.5 billion. kr. It is covered in heads by an extension of the tax base. There have not been any notices of relief in the personal tax. On the other hand, we have put down a sample, such as: shall consider the relationship between the corporate tax rate and the general tax rate. Today, this is similar – it came about in the context of the 1992 tax reform – and what will happen in the future, the Scheel Committee must now have the opportunity to work on it. However, there is no indication of any relief in the personal tax, and therefore there is no need for detection in that area either. On the other hand, we have made the need for corporate taxation visible, and we are proud of that proposal, and that proposal lies there.
ParlaMint-NO_2013-05-22.ana.ud309e218	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e221	First, a little adult education: the Progress Party balances its budget, and it finds the Minister of Finance in our alternative state budget. I think it's sad that you say you haven't seen this, when, after all, we've dealt with this in Stortinget, but it's got to be your problem. So to this tax case, the finance minister says he's reducing corporate tax because he's found a three-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion-billion. kr which causes a tax In today's Business, the head of the Financial Committee, from the Workers' Party, admitted that this figure is most uncertain – it can swing up and it can swing down. Then my question is: now the government has announced tax reliefs of 3 billion. kr, which is covered by closing a 3 billion tax hole. kr. But if the tax haven turns out to be just 2 billion. kr, he will guarantee that the tax relief of 3 billion. kr is at work, or which of the tax reliefs that he has notified, will he begin to withdraw?
ParlaMint-NO_2013-05-22.ana.ud309e230	Now I think the Solvik-Olsen representative meant three billion, and not ten?
ParlaMint-NO_2013-05-22.ana.ud309e241	Yes, I said three – ‘Tri’. I'm rolling on the r. [[The President clubs.]]
ParlaMint-NO_2013-05-22.ana.ud309e246	Just so we're clear, it's a The proposal that is now being consulted — and with the best estimate the Ministry of Finance can make, based on, inter alia, tax statistics – is 3 billion. kr, with the proposal now in place. So I can assure the representative of Solvik-Olsen that we will propose 1 pst. the reduction in corporate tax, and this will be fully financed by changes in this interest deduction plus what we have announced of base extensions in the property tax. So this proposal stands by law, and it comes under the 2014 state budget.
ParlaMint-NO_2013-05-22.ana.ud309e253	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e256	Then we have at least been told that there is a certain difference between the Hedeland dialect and the rogaland dialect! Now the Council of State says that there has never been any notification of any personal tax. But now the Prime Minister has been at a lunch seminar, even in the Workers' Party, and the record from there is as follows: ‘Minister of State Jens Stoltenberg opens up to follow up the next cut in the corporate tax with a corresponding cut in the passenger tax’. Then I just have to ask: is this taken completely out of the loose air, or does it have any substance in it?
ParlaMint-NO_2013-05-22.ana.ud309e269	Now I want to say that both rogalands dialect and hedemark dialect are unusually nice dialects, but this was probably not the case itself. The main point is that we have not announced any reliefs in the personal tax. The prime minister pointed out that the sample now employed has been mandated to look at the relationship between general income tax and the corporate tax rate. I'm pretty sure the sample will do this in an excellent way, because there are two other important premises on the basis of this sample. The first is to ensure that the level of taxation is maintained overall — or ‘maintains the proceeds’, as it is called in the professional language — and the second is to provide for distribution purposes. This is also at the bottom of this sample. So that's where we stand, and I look forward to the discussion we're going to have about the Scheel Committee's report in the next big time.
ParlaMint-NO_2013-05-22.ana.ud309e276	Let's move on to the next main question.
ParlaMint-NO_2013-05-22.ana.ud309e279	My question goes to the Minister of Oil and Energy. Throughout the 2000s there has been work on a new power line between Ørskog and Sogndal. In this region, in central Norway, the capacity has been blasted, and in cold, dry periods the electricity price has galloped, and security of supply has been threatened. In 2011 the joy was great when the government finally decided to build the power line. In the press release of the oil and energy minister, he writes that it is «a great day for Sogn and Fjordane, Møre and Romsdal and the Trondelagsfylken». He also writes: ‘Now everything is at the ready for the power line to be completed by the end of 2015.’ But the Council of State misjudged itself a little, because he changed the path that the trade union, the NVE, had granted the concession, into a nature reserve. Now I am not going to speculate on the reasons why this was done, other than that I have registered a clear accusation in the media, but I have also not least registered that the Civil Ombudsman has been scratched in his criticism and said that there is no justification for the decision. But the consequences of moving the line were at least that the countyman has twice said no to the power line being allowed to go through the nature reserve. The Directorate for Nature Management has now said no to its review, and the matter goes to the Ministry of Environment. Last week, Statnett sent out a press release. They regret that the power line does not come in 2015, and write: ‘The fact that the project is not completed in the planned time due to circumstances we do not have is regrettable.’ Those are strong words. We thought the power situation had been resolved. We thought the power line would come in 2015. Now there's a lot of uncertainty, and my question is, how is it possible to get in this situation?
ParlaMint-NO_2013-05-22.ana.ud309e302	Let me take that from the beginning. In December 2011, the Ministry of Oil and Energy granted a concession under the Energy Act for the construction of the line from Ørskog to Sogndal. It is not in central Norway, as the representative Ropstad suggested, so it is in a stretch between Sogn and Fjordane and Møre and Romsdal. However, it will be a very important step to ensure the supply of electricity to a region that has had too poor security of supply over time. The construction of the line is in full swing. Statnett announced last week that it had to be calculated a year’s delay. It is of course regrettable, but it is also possible to understand that it is a large and complicated project. It's almost 30 miles of 420 kV high-spent line. The fact that the ministry deviates from the recommendation from the underlying agencies, in this case NVE, as far as the final trasé selection is concerned, there is no drama in it. It is simply an ordinary political process. It is at this time that the government and the political level come into the process of dealing with where to lay the important and large lines. If you remember the criticism that my predecessor Terje Riis-Johansen got related to the line and line elections in Hardanger, we know that the Stortinget was very concerned that you put the line where the trades union recommended – that is, that you followed up the trades union without independent political judgment. Statnett already said in his application that if one chose this route through Bremen, one had to have a derogation under the Nature Diversity Act. Statnett has applied for that. This derogation is now pending in the Ministry of the Environment.
ParlaMint-NO_2013-05-22.ana.ud309e313	In any case, the consequence of the decision of the Council of State to change the route of the power line is that it will be a postponement and that the power situation will still be threatened. But one thing is that it is serious that it is a good alternative, and that you then choose to put the line through a nature reserve, but what I think is perhaps even more serious, also describes the Minister of Environmental Protection in a chronicle of the NRK Opinion yesterday entitled «Do we protect Norway in its entirety?». There he writes: ‘It has become a policy trend to be responsible for nature protection. But we do not protect ourselves in all things. We are not protected in Norway." Both the County and the Directorate for Nature Management are clear that the line should not go through the nature reserve, and the Directorate for Nature Management says that parts of the nature reserve, or perhaps all of it, must be averted if it is to go through. Now the matter is at the Minister for the Environment's table. I suppose he might not say so much about that matter, but I want to ask him in general: should there not be very serious reasons to avert a nature reserve?
ParlaMint-NO_2013-05-22.ana.ud309e327	The President now assumes that it is the Minister for the Environment to answer this question, and will then give the floor to Mr Vegar Solhell. – For a moment, because the computer system did not realize that it had changed the State Council.
ParlaMint-NO_2013-05-22.ana.ud309e330	If that's okay, I can start to answer.
ParlaMint-NO_2013-05-22.ana.ud309e335	Yes, then the Council of State may begin to answer.
ParlaMint-NO_2013-05-22.ana.ud309e338	The computer system will try to follow me as best it can. Yes, there must be compelling reasons for dispensation to build something in a nature reserve or other protected area. That's why it rarely happens. But it happens once in a while. For example, exemptions previously granted relate to power lines. When it comes to this specific matter, the Minister for Oil and Energy took care of the background for her. Statnett has now applied for a derogation. It has been dealt with in the underprivileged countries and has been dealt with in my department quite recently. I put forward a quick procedure and came back with the evaluation of that application.
ParlaMint-NO_2013-05-22.ana.ud309e347	Follow-up questions are raised – first by the representative Øyvind Håbreek, who might be so kind to say which of the councils he wants to ask follow-up questions to.
ParlaMint-NO_2013-05-22.ana.ud309e350	I'll do that. The follow-up question goes to the Minister of Oil and Energy. That's how the power line we're talking about here has been seen as the solution to the challenge itself with the strained power situation that we've had in Middle Norway, and that this year, with a little too little rainfall, we'll notice the consequences of – although perhaps not today is the day you notice it the most. But then, when we got into this situation described by the representative Ropstad, many of us think back on the day when the oil and energy minister established this concession and produced it as if the situation had now been resolved, now it was just building and finishing. So the question to the Minister of Oil and Energy, which I think many in the region in question are now asking, is there more equal in the cargo, or can we now expect that the line is actually being built and finished?
ParlaMint-NO_2013-05-22.ana.ud309e358	Let me start by saying that I think we should all respect that this is – point 1 – a big project, but it is also a project that affects many people. It's close to where many people live. It represents a great natural intervention. And of course, in a democratic country there are plenty of opportunities to protest about it. We have to take that into account and expect people to make use of, and do, to defend what is their own interests. There is nothing new, and I think you also have to see that will happen in the future, and I believe that the decision taken by the Ministry of Oil and Energy under the Energy Act was well justified. Nor are there any conflict-free alternatives to pulling lines through the Myklebust Valley. And of course, a lot of this line is going to be done in 2015. It will contribute significantly to ensuring the supply situation in Central Norway. Together with significant expansion of new renewable energy, energy savings and more capacity to exchange to Sweden, it looks much better in Central Norway now than just a few years ago. [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2013-05-22.ana.ud309e365	Anyway, speaking time is over. Then are the next follow-up questions from Siri A. Meling – who will also underline which state council she wants to ask the question to.
ParlaMint-NO_2013-05-22.ana.ud309e368	My follow-up question goes to the Minister for the Environment. State councillor Ola Borten Moe said in the questionnaire today that there was no drama in that change in trasé elections that made the line now to be laid through a nature reserve. As the Minister for the Environment certainly knows, nature reserves are the most stringent form of protection we have. If we are to protect, it is important to ensure legitimacy, not least among the local population, landowners, etc., and many are asking enough questions by simply changing the trajectory choices right into a nature reserve. This testifies in many ways to what we will call internal chaos in the government, which causes us to get these delays because chaos causes little implementation in the government. My question to the Council of State is: is the Minister for the Environment and the Minister for Oil and Energy speaking together?
ParlaMint-NO_2013-05-22.ana.ud309e377	All the time – and our departments are working together on a lot of things because environmental protection and energy are very close together. I believe that the representative Meling basically knows that there is a close dialogue on many of those issues. It's true, as I said before, that there are strict conditions to obtain a derogation for example. construction of a power line and other things through a nature reserve. It shall and should be, because it is a strict form of protection and a good way to protect pristine nature. But in some cases, and in this case that was the case, there are different concerns to be met, and different options that also follow nature in a slightly lucky way. In this case, an assessment was made, and the government proposed to build it through the Sørdalen area. Then one had to have a democratic process afterwards, with an application for a waiver. It is now being treated by me, and I will go into the matter carefully and evaluate it in a thorough and rapid manner.
ParlaMint-NO_2013-05-22.ana.ud309e386	Let's go to the next main question.
ParlaMint-NO_2013-05-22.ana.ud309e389	My question goes to Minister for the Environment, Board Vegar Solhjell. We have a constant debate, which is going back and forth in the media, which is about whether there is a basis for any debate on the issue of man-made climate change. That's why I wanted to focus the Council of State on a very interesting report that came from SINTEF just a few weeks back. It is a report produced on request from the Norwegian authorities. Let me draw attention to a small part of the summary of the report. Sintef writes, in my translation, the following: The report concludes positively that an alleged almost unanimous scientific consensus on anthropogenic global warming, that ‘science is determined’, is exaggerated. The report finds a robust, critical, scientific discourse in climate-related research and underlines that a ‘consensus-oriented’ approach to science can represent a political and unscientific belief in science – a belief that conflicts with the ideal of ‘normal science’. This report calls for a continuing problematic, critical and unorthodox public debate on man-made global warming, and for a clearer distinction between science and politics. Does the Council believe that the research institution SINTEF has been purchased and paid by the oil industry, or does it share the SINTEF conclusion, which clearly states that there is still a need for a debate on this issue?
ParlaMint-NO_2013-05-22.ana.ud309e404	First of all, I have to say that I think maybe it's the first time that I can remember that the word'science' has been spoken in quotes from the Great Britain's pulpit – or perhaps in a serious debate at all. Science doesn't seem to be in quotes. Science is the basis for policy in almost all areas of society, not least in the climate field. I am a strong supporter of debate in the scientific environment and in the research environment on climate. That's for several reasons: first, because there's a lot of things we don't know well enough yet, second, because there's a development that makes you need to figure out why it happens. An example of this is the new reports that have been published, which have gained some attention, about climate sensitivity and how high or low it is – very important knowledge. And also because it is important in itself that there is a debate about scientific method and scientific results. But it's a big leap from there to doubt the scientific conclusions that have an extremely heavy and wide range of professional support. It's not our job as politicians to conclude science, but to use it and act on it. There I mean that while I'm basing on the most comprehensive scientific work in the world in this area, and perhaps in the whole, simply the United Nations Climate Panel, as a basis for action, the representative Amundsen spends a lot of his time doubting it. So I would say that it would be useful now in this round about the representative Amundsen would clarify about – yes, he is in favour of debate, but if he will now also clarify that – anthropogenic climate change exists, and establish the IPCC, the international climate panel, as our leading authoritative source of action and policy action.
ParlaMint-NO_2013-05-22.ana.ud309e413	Let me first underline that the quotation mark refers to ‘science is decided’. That's exactly what SV – Solhell, the party leader and others from SV – has gone out in the media and said. They will almost put the whole debate to death and say that there is no basis for an ongoing debate on so-called man-made climate change. The party of progress has been clear and clear about people influencing the climate, but the question is, how much does it amount to in relation to the natural variations that happen around us anyway? That is where the debate lies. It's SV that acts unscientific, when you sort of try to stop the debate, when you say that all the debate around this is unscientific. No, that's exactly what I've been illustrating right now. Sintef says clearly that there is room for debate; there is room for continuing to challenge the natural politically adopted truths. And I'm still challenging the Council of State to answer that question. Does he agree with Sintef's assessment or not?
ParlaMint-NO_2013-05-22.ana.ud309e420	Kaoset seems to me to be complete in the Progress Party now, because in the same sentence, the representative first says Amundsen ‘man-made climate change’ before he says that they never doubted that they were man-made. Now, the Progress Party needs to find out whether they are basing their primary international scientific work on which all other countries in the world are mainly based. It is something like 192 countries that are members of the United Nations Convention on Climate Change, and therefore it is based on it. All other countries in the Western world base what the Progress Party has a seminar with itself on whether to base their policies, or not – and which maybe Siv Jensen will clarify during the national meeting if they are based. SINTEF is a serious and good research foundation. I don't know that report - he's probably an interesting contribution. I hope there is a lot of debate between researchers about science on how to understand climate change, but that anthropogenic climate change contributes to a temperature rise and is the main cause of the temperature rise we have experienced, and that the most important scientific basis is found in the United Nations Climate Panel, which I believe is the basis for policy.
ParlaMint-NO_2013-05-22.ana.ud309e427	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e430	I think this was very clarifying, because here the Minister for the Environment also admits that there is an element of both parts, both natural changes and man-made changes. This is in line with what the Progress Party wrote in a document we promoted in the 2007 Stortinget, Document No. 8:97, where we say it's a relationship. The Progress Party takes seriously the warnings from the Intergovernmental Panel on Climate Change. That is why we are promoting measures to cut CO2 emissions, but at the same time we reserve the right to stimulate debate. The reason why we do this is that at the 2007 SV national meeting, former party leader Kristin Halvorsen chattered in his national meeting that there were people who questioned the Intergovernmental Panel's forecasts. They had to be bought and paid by the oil industry, was Kristin Halvorsen's statement. That is why it is a point for us to show that this debate is going on, not because one should not do anything at all, but to stimulate scientific debate and not stigmatise those who ask questions. When Cicero publishes a press release on a day of Pentecost that there are changes to the forecasts, the Minister for the Environment should also be pleased that this debate is being stimulated. Do the Councils agree?
