ParlaMint-NO_2013-03-07.ana.ud1208e36	The representative, Kari Henriksen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2013-03-07.ana.ud1208e394	Stortingsmeld The Norwegian sports model can be a very important document for Norwegian sport. It recognises the importance of the sport movement as an important factor in Norwegian society. However, I note that the sport is disappointed that for three-quarters of a year now work has been targeted towards Stortinget, meeting at hearings, making proposals to put in place important principles – but there has not been any results in this setting. We pointed out that it was important to look across departments, that there are challenges. We should also be able to discuss this possibility. These are challenges in building some installations, such as: swimming pools. Today, the government has power and great control over how this is to be solved, which may seem very, very incomprehensible. The Ministry of Health and Welfare has a responsibility for adult health and adult education. The Ministry of the Environment is responsible for outdoor life. The Ministry of Knowledge is responsible for schools. The Ministry of Agriculture is responsible for horse racing. The Ministry of Industry is responsible for industry — yes, sport has become an industry. The Ministry of Foreign Affairs and Defence is responsible for shooting. It's clear that this is difficult and bureaucratic, and it can be very unwieldy. Here we have some challenges that we should address. I brought up the 26-year-old state council for disabled people. A limit of 26 years has been set – I do not understand why it has ended in 26 years – just to be able to get equipment, transport support and accompaniment arrangements. You say everyone's going. The focus is that no one should stand outside. We have made proposals on this today, for which the government parties have the opportunity to vote. That proposal states – and it is absolutely undramatic – that a better system is to be explored than it is today. Instead, state councils say we're taking new rounds in the department. It's not taking everyone seriously. This could improve the ability of disabled people to combine education and sports careers or simply strengthen their ability to participate more and more in sport. New target groups and new objectives shall be included in the State sport policy, referred to in the Communication, and new actions and objectives shall be financed by means of instruments. But who and how? For the Progress Party, this appears to be very unclear. It may involve major changes to the system of the game and, as sport itself says, ‘less resources for organised sport and the objectives which sport itself prioritises’. The sport itself is concerned when you are not more clear than what you are in this message. The majority say nothing about the typing key challenges, either through games held by foreign companies or through the possible introduction of new games through the distribution key. Nor does it respond to the direct challenge of sport: the proportion of construction costs that the State sees fit to cover. The Communication wants to merge the arrangement for ordinary games and the community scheme, which the sport itself says is very unfortunate. The attitude leaves a strong impression that Norwegian sport is good, and that all efforts made are important both for the community and for the community. I fully agree with that. The recognition of the intrinsic value of the sport movement is clearly described, and that is very good, but there is no impact on the choice of the device. As sport says, the opposition appears through its comments as the strong champion of sport. Most of the sports recording has been included in minority comments, and it is understandable that sport is very, very pleased with it. But it leaves the impression that it's very regrettable that we can't cross-politically agree on what goals we have for sport, that at least we listen to sports when we ask for advice. That's the least we can do. I hope that the government will consider supporting the proposal for a 26-year-old age limit.
ParlaMint-NO_2013-03-07.ana.ud1208e424	The Committee notes a brilliant example from my county, Telemark, and the work of the Telemark Sports Circle to train and recruit young leaders. This is a concept called Active School 365, and they've had this as a high priority for the sports community over the last nine years. They have been working systematically on training and leadership for the elephants between 10 and 19 years of age. The sports team has implemented competence enhancement measures for teachers and added to the SFO, and they have implemented sports schools in the SFO. I think this work has great value both for the target group, for the sport movement and also for society, and I think there's good reason to notice this. In 2012, there were 270 young leaders and 26 schools in this concept, and this year there are already 70 new young leaders and 7 new schools with them. This leads to nearly 400 new young leaders and around 10,000 children and young people who each week are involved in this project in Telemark. This is important to meet the challenges of inactivity, which many have mentioned in the debate today, and it creates great sporting joy. This example is not only important because it is good for the recruitment of sports themselves or leads to increased and better activity in the school age, but it is also very good inclusion work. When the Minister of Culture and I were visiting the Telemark Sports Circle in January, they told us that they taught Bjørndal's method of how young learners should work with activity in an inclusive perspective. This story is about teacher Bjørndal who had a class where a girl in particular was exposed to gross bullying. One day this teacher took four elephants out of the classroom to talk to them. These weren't the students who bullied this girl, these were some others. To them the teacher said, 'No, it's none of you who bothered 'Else', it's not the ones who rattle with her when she has to read loudly an hour or push her or comment on what she looks like. It's Rune and Egil. But your responsibility is that they don't do anything to stop it. They have it in common that they are the most respected of the classes: best in gym, best in English, good in football, or just popular among all. No one has greater power than you in this class. But they use this power to sunbathe in, not to prevent Else from getting bullied, and not to make sure she gets involved, be with. It's pathetic, and I'm extremely disappointed in you," said the teacher to these students. He also said that he expected that they would take special responsibility for stopping it. The young leaders who are part of this concept have a great potential not only to contribute to more and better activity for those who do not feel like part of the community but to all participate. Students and youth themselves are often the best people to do just that – better than adults. One has also, through this project, motivated and inspired elephants and young people who have never before dared or could expect to rent anything. They build self-confidence, create inclusive joint activities in schools, and they recruit widely for the children's and youth sport in Telemark. These students become a resource for the school, for their middle class and for the sport team. I also want to praise sports throughout the country that are active in so many arenas with an active inclusion work. The inclusion perspective is central to the Workers' Party's sport policy for children and young people. I found the concept of Telemark to be a very good response to several of the important challenges we face when it comes to public health and inactivity issues — the importance of recruiting more and wider, recruiting more young leaders, and not least working to get everyone involved.
ParlaMint-NO_2013-03-07.ana.ud1208e443	I want to take from some of my own experiences of the reality we experience in sports. I have been involved in starting a common club forum for nine sports teams in the Groruddalen, where we help each other with some common problems – or what we politicians call challenges. In particular, problems have been encountered in developing the provision of sport to young people aged 13 to 19 years. For example, in football, which is our biggest sport, we have unfortunately seen that many teams have been laid down in recent years. The reasons have been ranging from disciplinary problems — to some serious ones — to the cost of being involved. We have had to set the activity fee up to NOK 3 500 per player. When there are more members of the family who are included, plus the quota, it can be too expensive. A third moment is a lack of leaders and trainers. Because the layers have small resources in terms of coaches and game developers, it has happened in several layers that the best players of very early age are picked up at top clubs like Vålerenga. The motivation and stimulation fall easily among those who remain. What we have focused on in this club forum and in the sports teams in Groruddalen is how we can develop more leaders, trainers and responsible people around the teams that can help prevent the problems we have seen, and develop a more positive trend. We see that in some places in Oslo – that is probably the case elsewhere in the country as well – the differences are great. In areas where we have a more ‘resourceful population’, parents and others are often in line to develop as, and become, leaders and trainers, and there is also good access to sponsorship. Elsewhere, as in the areas I know, we have a lot of problems recruiting managers, trainers and other responsible people, and we also have a lot of problems getting any of the sponsors. As a result, large differences in supply are likely to occur. To illustrate concretely, we are going to have the board meeting in Grorud Sports Act tonight. We have NOK 300,000 in activity and administration support, and for 1000 members we have to run A teams, wide-ranging, physical activity for children up to 3 years, and especially bet on them from 13 to 19 years – for NOK 300,000. This requires, of course, that we develop more voluntary resources, and that we have competence, for example. to resolve cultural conflicts, disciplinary problems, and to drive player development, etc. to attract young people between the ages of 13 and 19. Then I think we have to realize that these resources are very difficult to find in the areas where they are most needed, where the prevention of sport may be the most likely to lead to positive development – in areas that I mention, the cities of the Oslo East. In order to reduce the differences in supply and to develop sport in all areas and in all parts of the country, I strongly urge that, in the years ahead, what is called mainstreaming or big-town drugs be increased far beyond what is today’s level. I call for these funds to be targeted, above all, at providing and developing leaders, trainers and responsible persons in the sports teams, helping to build up the glue and decisive factor that they are – more than anything else – and providing these grants for integration, and big cities, as far as possible directly to the sports teams and avoiding their disappearance in project teams and bureaucratic planning. In the years ahead, of course, investment in installations, but also on the human factor, is still important to develop that part. To put it simply that it gets the layers fixed themselves by betting on the volunteers, and don't see that there are very big, different challenges in terms of that factor, I think is dangerous. I believe that that part of the effort on sport – leaders, responsible persons, trainers – and putting it in a different focus from what we have done now, will be crucial for our success on a broad front, something the sport has done here in the country until today.
ParlaMint-NO_2013-03-07.ana.ud1208e456	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2013-03-07.ana.ud1208e459	I have to divide my post into two posts because I only have 3 minutes, so I will come back later. Today, we are dealing with the first sports message of almost 12 years, focusing on how the state should best facilitate how to participate in sport and physical activity at all levels of our society. It is about providing a good framework for all the teams in the country, and it is about the independence of sport and not least the peculiarity of sport. I am pleased that the Councils of State, both Anniken Huitfeldt and Hadia Tajik, have shown a great deal of commitment in the preparation of this communication to this day, not least in the field of sport – at hearings and in consultation – in this process. The Norwegian sports model describes both the foundation of sport and the local democracy we have in Norwegian sport. Norwegian sport is the greatest movement of people we have today, with over 2.1 million members, and with 12,500 sports teams, which exist in all the municipalities of the country, where thousands of volunteers each day do important work in our communities – for the benefit of children and young people. We see it, among other things. with all the fires that are nominated for the sports gallery, where the people are with and vote for the good ladies and gentlemen who every day do such a valuable work. In order to support the great voluntary work, it is important that we have good framework conditions. When I hear Right in this debate, it sounds as if nothing has happened in these years. However, since 2005, we have received a VAT compensation for goods and services that the government has stepped up to 950 million. kr in 2013, which shall be up to SEK 1,2 billion. kr in 2014. It's a system that benefits local teams and associations when they're going to do their business. Then we also have VAT compensation for the construction of sports facilities, which for this year is about 64 million. kr, where local sports teams can apply for compensation for the VAT costs they have. Most have received 100 pst. follow-up every year since the scheme was introduced in 2010, 2011 and 2012. The red-green government has also decided to change the key from 45 pst. to 64 pst. This means that approx. 600 million. kr more will go to Norwegian sport, either through local activities or for the construction of sports facilities, and to sport, top sport and public health measures, when the scheme is fully implemented in 2015. These aren't just promises, we do this every year and every day. We are introducing new measures that benefit Norwegian sport. This has also been done through other charging schemes, whether it is an employer’s fee or the pay limit for various volunteering tasks. You could think it's the state that's contributing all the money in a way, but I have to remind you that the municipalities are also contributing 5.1 billion. kr. I will come back to the rest of my next post.
ParlaMint-NO_2013-03-07.ana.ud1208e483	The health report presented yesterday points to challenges for the health of the North. Other countries pass us in our lifetime. Children wear mentally and overweight. Each year, child and adolescent obesity increases by 1 pst. Many youths sit 45 hours a week in front of a screen. It is from the age of six to seven that children become more passive. We have to moderate the impression that we are world champions in health, said the director of the Health Directorate, Bjørn Guldvog, yesterday. He urged us to keep a closer eye on the health of children and young people in Norway. Sport is an important actor in this very image and suggests that people are physically active. The government’s overarching goal of sports policy is summarised in the vision: sport and physical activity for all. Any person wishing to do so should have the possibility to participate in sports or to pursue self-organised physical activity. That's a good vision. The challenge is that the desire to engage in physical activity is unevenly distributed among the population. The degree of physical activity is related to socio-economic conditions, such as education and income. That's why we also get social health differences in Norway. There is always a danger that the sports policy may unintentionally lead to active ones becoming even more active, while the inactive ones remain inactive. The government announces in the Sports Communication that both inactive and young people and young people will still be the main target group for State sport policy. From a public health point of view, this is a wise and necessary priority. Outdoor activities and self-organised activities are examples of low-threshold services that need to be provided even in the future. We know that the level of activity falls into juvenile wounds. It's a public health challenge. It is positive that there is a particular focus on developing youth provision in the sports bulletin. I would like to add that the sport itself also has a responsibility to prevent the drop-out in youth by focusing on the transition between childhood and youth sports in the various sports circles and in different sports teams. I have great faith in giving children the opportunity to try out several different sports subjects, for example. in the form of sports balls. Letting children know and develop sports pleasures, often in several sports disciplines, is perhaps the most important preventive approach we can take to prevent juvenile ulcer withdrawals. For example, young people seem to be football is no longer fun, then they stop. It's a fact that the plural numbers end, but that the commercial training centers capture many of these. I actually found it positive that the commercial training companies contributed to it, because the option is that the young people like to use even more hours in front of the screen.
ParlaMint-NO_2013-03-07.ana.ud1208e494	Many have mentioned the challenge of inactivity, so now I thought it was time to give those who are a little too inactive a voice in today's debate. A lot of nice things have been said about sports. It's in its place. I agree with all the roses and all the pretty things that have been said, except what Jan Bøhler said that Vålerenga is a top layer. There is an incredible amount of good in Norwegian sports both in width and on top. The plant situation is completely different if we compare ourselves with our own growth – for the better. Let's admit it, and let's end up with the black paint. It has, for example, struck me that today's youth hardly know what it means to play football on the gravel track. It was our everyday growing up. We kicked football – the kids are playing football today. We kicked football in the summer and went skiing in the winter. Today, youth plays and trains football throughout the year, even in winter. And they practice skiing all year round – on snow in winter and on roller skis in summer. I live in a region of the country with strong population growth. With more kids, more young people and more adults, we need to build even more sports facilities for the future. The vacuum system is formidable. Recently, I was in contact with Akershu Sports Circle. It was a useful and constructive meeting. They dealt with issues of economics, finance and the construction situation, but they also addressed the role and function of municipal sports councils. The impression from the meeting was that there is something different about how it works from municipality to municipality. They asked for firmer organisation and firmer forms of the work of municipal sports councils. I think it's something to remember. Then the huge lack of proper swimming facilities around, especially in Lower Rome, was raised to take my own district – an area of 150 000 inhabitants. It is very expensive to build a modern, decent swimming facility with today's requirements and standard. This is a type of installation which is neither a community, municipal or national installation. One single municipality does not have the ability and ability to build a modern swimming facility – and now I am talking about municipalities with both 50,000 and 30,000 inhabitants. So here it has to work together, both locally, regionally and nationally. [[President clubs]]
ParlaMint-NO_2013-03-07.ana.ud1208e511	Now the representative must come to an end – speaking time is up!
ParlaMint-NO_2013-03-07.ana.ud1208e514	It's a pleasure to see the broad and big commitment to sports policy that's in the hall across the board. That's said very wisely, but at the end of the debate I'll still mention a few things and clear up a few terms. It could be useful. It is important to see the relationship between public health policy and sport policy. At the same time, it is important to recognise that they have different objectives and tasks. Public health policy has several instruments, and an active sport policy is one of them. At the same time, sport policy must be based on a premise of the self-esteem of sport and recognise the independence of organisations as voluntary organisations. Sport policy, for its part, has more positive effects and side effects, and improved public health is one of them. It is said very well about Norwegian sport and the movement, and it is well deserved. One can almost get the impression that the whole country is running around in a exercise suit seven days a week, but there is also a significant challenge of non-response, especially among young people, in the message. More than half of young people between the ages of 13 and 19 are not members of a sports team. Here we have a significant challenge. I would also like to mention that it is a major challenge to facilitate much better sports for people with disabilities than what we can do today. The majority of these interventions have highlighted the importance of giving disabled people the opportunity, for example: to train with a so-called sport contact. Norway has at least been a leading country in some areas, but we have major challenges left. Finally, I would like to point out that seeing older young people and inactive adults as a challenge to people’s health, it is important to facilitate low-threshold services, to provide facilities and infrastructure that make it easy to be active in everyday life. In this area, outdoor life has a unique potential, and I am pleased that there is a broad consensus that outdoor life and its efforts should be strengthened. But I think there is reason to stress that outdoor life should be given special attention to the escalation that is now to take place in the future, and get even more support than what we have so far signaled, because here is perhaps the greatest potential for reaching those groups – as many have mentioned – that are extremely difficult to reach.
ParlaMint-NO_2013-03-07.ana.ud1208e532	Also when the Norwegian sports message is to be discussed, we record that representatives from the opposition are bringing out the black paint cost. When the representative of Hofstad Helleland is standing here on the pulpit and claims that the government is holding a damp hand over Norwegian sport through its sports policy, I respond. The Communication points out several places that the government respects the autonomy of sport, and something else should be lacking. The government contributes through the State grant to the organised sport and facilitates the activity. From here on out, they take over the sport, and they do a real and good job in that area. The representative of Hofstad Helleland is also wrong when she from this pulpit claims that sports facilities cannot be operated by sports teams because the government denies them. It's done in many places. All sports facilities in Alta are run by sport itself, and they are given the means to play. The great banner of the Left and Advance Party is the lifting of the monopoly of games and the release of all free market players on this arena. The representative of Korsberg says it's going to be played for 7 billion. NOK other than Norwegian Typing, and he may be right about that, and he claims that a large proportion of this money will be Norwegian sports. I think it's just a wishful dream that that's going to happen. We have examples from Denmark, as the Council of State stated in its answer, that we are actually talking only about small amounts of money – in many cases only those tax dollars that are taken in for Danish sport by the employees. I have no faith that Norway is able to negotiate contracts other than the Danish sport was able to obtain. I do not understand that the Progress Party and the Left want to help reduce the important contribution Norsk Tipping has towards Norwegian sport – that they dare, I would almost say. Many of us who have stood on the platform have talked a lot about sport and its significance. There is no doubt that it contributes a lot, and it also carries the sporting message off. But I don't think we should forget that other actors are important to create activity either: the Free Air Association and the Free Air Councils are doing an incredibly important job of creating activity in a little different venues than where we take time and measure length and height. So a great deal of thanks to them and the efforts they make, because it is important that they are also mentioned when Norwegian sports are discussed.
ParlaMint-NO_2013-03-07.ana.ud1208e543	In my article instead, I was talking about public health, but I didn't mention mental health. In our modern society, too many people are struggling with mental problems. Physical activity is important in that way, but I want to point to the social aspect of sport, because there are many ways to participate in sports. It means a lot to many people to participate as volunteers or simply as spectators, where you enjoy following the performances of our top athletes or local actors. Sport is about participation in a community and is for many their most important social arenas and main identities — yes, for some it may be the very purpose of life. The Committee agrees very much with this report on sport, but there are also dividing lines here. The Right Party and the Progressive Party propose in their comments to vanquish the Norwegian sport model. They clearly believe that money should be spent on self-organised sportsmen without any organisational requirements. They only propose to allocate funds in relation to the estimated number of persons involved in an activity. Who in the world is to manage these funds, and how is it to be managed? It seems that the organisation of sports is just looting and embezzlement. In my view, teams and organisations are the very foundation of the Norwegian sport model and are the basis for why a small minority such as Norway can claim internationally, as we do. I also want to point to another area where there are differences between the political parties, and that concerns the relationship with Norwegian Typing. The Progress Party wants to grant licences to foreign gaming companies to play games in Norway. That's worrying, because the model we have with so-called nice games has actually led to a decrease in the number of game addicts. It shows both the number of requests to the Guide and research in this area. Experience from other countries shows that there are only pro-mills of turnover that will be transferred to sport, including the representative Simensen. These nearly eight years of red-green government have done a lot for sports – teams and associations. Yes, it is almost such that the sport itself has received a premium here, because the grass root fraction in 2012 was 340 million. kr, and the VAT compensation scheme is close to 950 million. kr and shall be increased to SEK 1,2 billion. kr, as has been said earlier. It is the largest investment in the voluntary sector over the state budget ever. Last, but absolutely not least, we have the changes in the key. It means a strong stepping up of grants for sport. The red-green government has delivered to Sport-Norway, and I really hope and believe that we will continue that work even for the autumn, for the benefit of sport and the many active and volunteers in this country.
ParlaMint-NO_2013-03-07.ana.ud1208e556	Back to the Council of State and not least Øyvind Korsberg's posts related to Norwegian Typing and gambling monopoly: our experience from this hall is that Norwegian sport wants to ring the ring around Norwegian Typing and the gambling monopoly we have, which ensures local sports teams throughout the country a stable funding. We see that the results in Norwegian Typing, from having had a negative trend, are now moving in a positive direction, which means that Norwegian sport gets a greater share also through the key and the surplus of gambling. There was also criticism of this with the herbal remedies. In 2012, 340 million were paid. kr through herbicides for local teams and associations, and the pot, that proportion, is increasing for each year, thus increasing the contribution of more teams, more members and more clubs through that proportion. So for events: this sports message is not written in stone. Now we have seen a number of international events in foreign arenas, but Norway has great experience in international events in Norway, for example. World Skiing Championship in Oslo in 2011, World Skiing Championship in Trondheim in 1997, Olympics in the Lillehammer region in 1994 and Youth Olympics, which will come in 2016. Now we also see that a new process related to OL 2022, which is very exciting, where it is about the reuse of facilities in this region. At the same time, we have the VM in freestyle at Voss, we see that Bergen is working on getting the World Cup in bikes, and we have the Arctic Race of Norway, which one in a way has also been funded, the bike ride in North Norway. There's a lot of positive happening on the sports front through international events that create enthusiasm and increased activity around the country. Therefore, it is important that we look along the way at the opportunities to participate and support this important work that sports teams and special associations do every day. The equipment system is also important, as some people pointed out, that a Norwegian sport includes and prioritises funds for applications from clubs to equipment for local teams and associations, for good activity, and for children and young people to lose large proportions. Otherwise: Public health measures are absolutely necessary – increased physical activity. I just want to remind you that Stortinget has its own sport. We've put an activity card in all the shelves – a speaker Storting, so I hope that big business representatives will also take advantage of the good measures and contribute to better public health for everyone – both employees and inmates here in the house.
ParlaMint-NO_2013-03-07.ana.ud1208e569	It was today's challenge to this house.
ParlaMint-NO_2013-03-07.ana.ud1208e572	So far, this debate has really been a Norwegian championship to celebrate sport. I think I'm going to be careful with making a ranking, but Asphjell did go well in his last post the longest in that way, where he boasted of the amazing bike ride Arctic Race of Norway, where, therefore, the government has not contributed a single crown, but he is rude enough – forgive me for the statement – to take credit for it. I think it says "respect." It's been said a lot, and the red-greens have defended the grassroots pretty well. I find that a little strange, because there is a system that, to those degrees, is abused by individuals and also organisations, actually so much misused that the government has finally taken an initiative to change the legislation. I'm glad. There's money going to support clubs for Hell's Angels, to promote beer, to use those who have gambling addictions to get them to support their organizations, so there's a black middle. The grass root fraction is not a system that creates more funds, it just redistributes the same funds in a completely different way. Then there is probably a lot of consensus, and the representative Kjersti Toppe showed in this regard the importance of sport to public health. Then it is just so bad that the same representative cannot support the proposals of the Progress Party in one hour more physical activity in primary school and our proposal on money for youth, similar to the State guarantee for the Youth Olympics. It's quite strange to me. Then it is a well-known case that the Progress Party has a fine way of getting more money for sport by allowing foreign gaming companies to establish themselves in Norway through a licensing system where the State can participate in and determine the framework conditions. We say that part of that turnover – not the profit, but the turnover – is due to sport. The turnover is not a number you can trick away. Today it's played for 7 billion. kr abroad. Anyone can use their own calculator and put in the percentage and see how much money would have fallen into Norwegian sport if those funds had come to Norway. It's an interesting exercise, and I recommend more. The most important thing for me is not to fight Norwegian Typing, but to provide more money for Norwegian sport. It deserves Norwegian sport. I think it was quite interesting the answer that the Council of State gave me in the line exchange, where she said that there was broad support for the scheme, including among sports. I am aware that many sports circles are looking at this and want foreign gaming companies to be allowed to establish themselves in Norway. So I look forward to the next sport, where you might see the sense of it.
ParlaMint-NO_2013-03-07.ana.ud1208e585	At the bottom of the debate, I have just a few comments. Firstly, it concerns proposal 9. The right will vote in favour of proposal 9, and we should have really been involved in that proposal all the time. There's been an incursion here. So a few comments to Stokkan-Grande, so he can keep the night sleep. No, the right is not going to want to wind up the grass root fraction, but we think there is every reason to look at the scheme, given the irregularities described by the representative Korsberg, and I understand that the government is also aware. It is a very important point that we do not refer to grassroots proportions as means that we politicians or states – what we should say – should sunbathe in, as I experienced that, for example. The representative Grøtting did. So this is money that's common tips in and out, but that's redistributed to another key, and that gives a biased distribution, which should also worry. But now the scheme is once so that those who get the money notice it, and those who lose it don't notice it, and therefore no one feels cheated. In the same way, there is a redistribution of resources from poor parts of the organization to the resource forces, which can get many trailers into the system, and so it's not money that neither the Center Party nor anyone else can really sung in. This also applies to other tipping agents. I noticed that the Council of State was out and distributed 10 million. kr to swimming facilities the other day, which is also a residual pot of tipping agents. It is also a freeway to attention, but I admire her in and on it, but reminds me that there is no money allocated over any government budget. Then, in this context, my concern was also to comment on the legislation on construction. The reality is that, if combined, the legislation on VAT as well as drugs is currently in the way of flexible concepts both in terms of plant development and for more complex financial instruments, but it also stands in the way of full coverage of the creative forces and contact networks for which sport itself is responsible, in terms of mobilising for the construction of sports facilities. I also think there is reason to look at the low threshold system, and refer to the points that Skei Grande had about bowling halls.
ParlaMint-NO_2013-03-07.ana.ud1208e597	The representative, Jorod Asphjell, has spoken twice before and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2013-03-07.ana.ud1208e600	To the representative of Øyvind Korsberg: If he listened carefully, I said that this message was not written in stone, but that one must look at the possibilities of how the public can contribute much more in terms of international events. As far as Arctic Race of Norway is concerned, they have, among other things, fully financed it. through support from counties and municipalities and not least through A.S.O., which is the tour de France tour organiser. At the same time, local sponsors have contributed greatly. It is also the way sport finances different events on a daily basis. I also want to deal with this with the rules for toys. It can't be like we've seen, that when sports halls are built, the sports halls are used for concerts, fairs and various things that have nothing to do with sports, but at the same time they get funding through the gambling pot, which is supposed to contribute in a way to sports facilities. Therefore, it is important that we have a limit on how to use the games after the games have been paid out.
ParlaMint-NO_2013-03-07.ana.ud1208e607	I would like to thank you for a good, exciting and engaging debate on the sports message. I'm excited that there's such a big, general, cross-political consensus about many of the measurements, even if there's disagreement between us. I just want to say two quick things to the representative, Olemic Thommess. That's $15 million. kr, not 10 mil. kr that has been set aside for the swimming facilities to which this is referenced. It is cost-effective swimming facilities. The invitation came from Norway's Smömmebund. They saw the need to build reference facilities that could make it easier for other municipalities to build cost-effective facilities. Such facilities are not only cheaper to build, but it could also have the consequence that they are cheaper to operate. It is one of the challenges one sees that many municipalities are struggling with, that installations are cost-intensive to operate. For us, it is an important goal that more swimming pools are built and that the swimming skills of Norwegian children, young people and others are improved. Finally, a cheerful remark to the same representative: there is no reason to be dissatisfied with the remark he himself receives. On the other hand, he was able to get attention in the VG because during the last five months he only asked me three questions.
ParlaMint-NO_2013-03-07.ana.ud1208e616	In Denmark, it is said ironically that ‘what the leaves say is true’. VG’s reference, to which the Council of State referred, must also be written – if we are to be willing with VG – in the incurrency account. It was not the representative Thommes VG had spoken to, but it was the representative Thomsen they had spoken to. I've never talked to VG about this. I think the representative Thomsen can confirm that it actually writes from a conversation he's had with the VG, where he's been annoyed that the Council of State is little to see in different contexts. I'm sure I'll join you on my own, but we'll be careful to focus on everything. A little comment also to the representative Asphjell, who thought it was so stupid that you could use sports halls for several things. Let me use a very specific example. The dice arena at Elverum I think is a great project. It's realized through a collaboration between the University of Hedmark, the Defense, I also believe Elverum municipality to some extent, and some private interests – not all the world, but some are. A fantastic sports facility has been realized, which during the Festival Games in Elverum – and probably sometimes also during the year – can be converted with simple grip into a concert hall with up to 2000 seats. That's an example that's probably worth looking at, and it's probably worth working on that kind of concept. If I'm going to end this debate with something positive, it had to be encouraging the Council of State to launch some pilots for that kind of experiment. Because it's something we're sure about, it's that the money for construction is not too many, they're rather too few. And whoever in this room is going to be the nicest to pull up the checkbook and grant in the east and west, it's not going to be enough. We have to work on finding new grips that realize projects that we can all agree on. I think the dice are a very good example of that. I don't think anyone would think it's a great project, and I think it's the potential for more people around the country.
ParlaMint-NO_2013-03-07.ana.ud1208e623	The President assumes that the representative meant pilot projects. Several have not asked for the floor on case No. 1st@item: inlistbox At the request of the Committee on Foreign Affairs and Defence Policy, the President will propose that the matter be referred to the Committee on Foreign Affairs, Security and Defence Policy. 2 and 3 are treated together. – It shall be deemed to have been adopted.
ParlaMint-NO_2013-03-07.ana.ud1208e652	At the request of the Foreign and Defence Committee, the President will propose that the debate be limited to 1 hour and 30 minutes and that speaking time be allocated as follows: Working Party 35 minutes, Progress Party 20 minutes, Right 15 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to six lines with replies after contributions by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
