ParlaMint-NO_2013-12-18.ana.ud2341e26	The representative of Ms Olug V. Bollestad will present a proposal for a representative.
ParlaMint-NO_2013-12-18.ana.ud2341e110	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e113	I really hope it's not some kind of new practice that you walk out of the pulpit if you're not satisfied with the answer that's being given. I think it's right, as the Prime Minister says, that we should give priority to those who need it the most. These include: was the problem with the maximum price, was that the families with the worst advice got a more expensive kindergarten, while those who had the most to go with, actually got the biggest price cut. The budgetary agreement concluded by the Government Parties and the Christian People's Party and the Left states that we should look at that very question: how to ensure lower child care rates for them with the worst of advice? How does the government view the follow-up of that?
ParlaMint-NO_2013-12-18.ana.ud2341e121	I fully agree that with regard to the distribution perspective in the discussion about what kind of support we provide, the picture is probably quite different from that the maximum price was what gave good distribution. For example, even if you have to disagree with cash support, you have to. admit that cash support is more targeted distribution policy than, for example: children's gardening space is initially. I believe that freedom of choice between them is important in any case. It is important that we also look at the bottom of what happened when we introduced the max price. In very many municipalities, this meant that there was a price for all kindergartens, and that many with lower rates received higher prices. That is why the government agrees with the Christian People's Party and the Left that we should introduce a regulation on differentiated kindergarten prices. Then we have to find room for that in the budget, because that means we have to compensate the municipalities for the lost income resulting from the introduction of a differentiated regulation, and a right to differentiated nursery prices – with the aim that those with the weakest economy actually get a better chance to pay for a nursery place.
ParlaMint-NO_2013-12-18.ana.ud2341e128	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e131	The words «New ideas, better solutions» were chosen on the right. In the budget, the more expensive kindergarten became for all, including those with lower incomes, and the two-yearly admission rate was eliminated. Are more expensive kindergartens and less flexibility to start using kindergartens, which the Prime Minister defines as new ideas and better solutions?
ParlaMint-NO_2013-12-18.ana.ud2341e136	No, we have better solutions than that. We've said that we're going to work for municipalities to make a continuous recording, but we've also been very clear in this election campaign on what we prioritized, both the four parties behind the government, and each of us. It was a very clear message for the voters – they have, after all, voted for us on the basis of that message – that we should give priority to knowledge initiatives, that we should build more and faster in road and public transport, that we should provide better competitiveness for Norwegian businesses by reducing taxes, that we should ensure that hospitals are treated more in Norway, and that we should give priority to the weakest. It is not so strange that a government starts with its priorities – what we voted on, and asked for support for – so we have prioritised that in the budget that has been adopted. Then it means that the priorities that the red-green politicians did in their budget were actually not governing how we prioritised, because we have a promise to our voters. We do it every day, and we do it first, and I think it's important to do it as a politician.
ParlaMint-NO_2013-12-18.ana.ud2341e143	Torgeir Knag Fylkesnes – to the last follow-up question.
ParlaMint-NO_2013-12-18.ana.ud2341e146	The kindergarten field is the field where there is the greatest difference between the measures taken by the government and the rhetoric they use. The kindergartens eventually became the big loser in the budget – along with the students – 649 million. Kr was cut in the kindergartens. Nevertheless, the government is running a very offensive rhetoric, where they are in favour of running recording, better quality, etc., while they are cutting. I have previously asked the question to Solberg, I have asked it to Sanner, who is responsible for the municipalities, and to Røe Isaksen, who is responsible for the kindergarten – and that is: When do Norwegian children get kindergarten when they need it, without going beyond the number of adults and pedagogues per child or the dishes they add?
ParlaMint-NO_2013-12-18.ana.ud2341e151	It's a question I can't answer, because we're going to get back to every single year. We're going to build more capacity. It is incredibly important to remember that the previous government has not been able to build enough capacity on, or train enough, pre-school teachers or bet on quality in the last eight years. You were most concerned with the expansion. We are concerned that we should get both quality and continuous admission and expand kindergartens, but we are also concerned that we have other priorities. As I have repeated in my previous answers: we have gone to elections in some important areas, and they start the government with. I think it's important, once the voters have voted on parties, that we deliver on what we've promised the voters that we should do, and that becomes first priority. So it's not like the students aren't going to win with our budget. They actually become significantly more winners next year: 2014 is the first time it has happened in some budget that regulation has gone over the usual price increase. That means that the students in 2014 get a significantly better economy with what we put up, and the majority of the Stortinget have adopted, than what was red-green policy.
ParlaMint-NO_2013-12-18.ana.ud2341e158	Then we go to the next main question.
ParlaMint-NO_2013-12-18.ana.ud2341e161	I could ask follow-up questions about the previous question as well, as I am very busy with kindergartens for the next year, but I want to ask a main question. Now we are in the middle of Christmas, and then it is very difficult to be sorry that we have Sunday-open shops. But the question is, do we want it like this all year? The Norwegian people say yes to Sunday-open shops in Christmas, but they say a clear no to Sunday-open shops all year round – yes, it's only 26 pst. in the November survey, which says yes to it, and a total of 58 pst. says a ringing no. I also believe that those who have now decided to work Sundays in December are very happy that it is not like this for the rest of the year. In Denmark, the introduction of Sunday-open shops has resulted in both concentration and significant closure of local shops. If we sum up this, we see that the Norwegian people are against Sunday-open shops, the NHO is against, the working is against, the LO is against, they are against, the industry is against, the consumers are against, the costs of society will increase, and we also know that we need the human resources in other areas in the future. So my question to the Prime Minister is, will the government listen to and take advice from the many like this before the government comes to a final conclusion?
ParlaMint-NO_2013-12-18.ana.ud2341e168	It was an interesting speech. I think we could have had the same reading in many areas, over many of the changes we've made in the past – not least the fact that the trade movement and large parts of the Great Britain were opposed when we liberalized working hours and left the shops open longer. But no one's ever thought about shutting them down again afterwards, and why? Well, because people feel that it's a good thing they've got. The entire freedom revolution that took place during the Willoch government is perceived as a good one. But there was one deficiency in the reading, and that was the fact that at the election the voters voted in favour of a majority on the Stortinget which was for Sunday open shops. It's in our programs. So we essentially have a change that the voters have agreed to in the election. It counts for me heavily – as it does in many other areas – what you have promised in a campaign. Then we've said we should have a process with the parties. We've said we're going to talk about how we're going to solve this. It is not that it is not possible to mobilise more labour to, for example: Sunday-open shops. There are still many students and other young people who want to work more. But we've said we're going to go round with the parties and discuss how we're going to implement this. Personally and on behalf of the majority who have been elected on the programme that has this, I believe that all the preserving forces that are always opposed to change tend to slow down – and then people experience that it is a welfare good. There are different models for this. You can regulate so that everyone is allowed to have an open Sunday, you can give the municipalities the opportunity to regulate so that they are allowed. There are many conflicts in municipalities that want to have Sunday-open shops – especially in the summer months – because they are tourist resorts but are defined by the county officials as not just tourist resorts. That's why they don't have to be open. Even with today's law, there are some barriers and challenges.
ParlaMint-NO_2013-12-18.ana.ud2341e181	I want to thank you for your answer. I am pleased that the government will run a process using these tools. But I have enough experience that the Prime Minister has already made up his mind in many ways. That seems to me to be a great pity. What I think is very special, is that just this point has the Solberg government included in the chapter on simplification. One very well writes about how one should streamline, how one should use the resources of the community even better, and how one should reduce administrative costs and unnecessary red tape. But we know that if we introduce Sunday-open shops, we give business and shopkeepers extra costs. So they get extra costs – without increasing their turnover. I look forward to the dialogue with the government, and I hope that it actually gets into the problem.
ParlaMint-NO_2013-12-18.ana.ud2341e193	It is now the case that once batches have adopted programmes, they have decided. It's part of party democracy, when there's been issues where the party has made a decision. During the process, we need to listen to the parties – to hear how we can implement this. I want to say that this can mean more costs for some shops and others, but it can also mean more freedom for people – the ability to do something else, the ability to prioritize and organise their everyday lives a little differently. I am concerned that that freedom is also important. I know that e.g. In the drama, where you have worked a lot to get this done, there is only one Brustad-bu over 1,000 traders every Sunday. This suggests that there is a need for people out there to go shopping on a Sunday.
ParlaMint-NO_2013-12-18.ana.ud2341e202	It opens for follow-up questions – first Geir Jørgen Bekkevold.
ParlaMint-NO_2013-12-18.ana.ud2341e205	People can get freedom to do things in a slightly different way. Today is not Sunday one day – Sunday is a slightly different day for most people. That's what many of us think has a value in itself. Many of us think it's a good thing for everyone to have a different day at the same time – that it's good for family life, and that it's good for public health. To what extent is the Prime Minister aware that this could change for many of us if there were Sunday open shops, as mentioned in the government platform?
ParlaMint-NO_2013-12-18.ana.ud2341e214	I agree that everyone has a good day's rest, a day off. The question is whether everyone needs to have it the same day – whether this is something that each family can decide. One third of all women in Norway work outside the normal working day. A lot of people in our community work Sundays, working Saturdays. There are a lot of people who are already in professions where you don't have the same days off. This may well have a little to do with the difference between the parties in the confidence of the individual – who will decide things in one's own life, and how much social design you're going to make out of these questions. I think it's a good idea to go on a Saturday. I think it's nice to take a breath and enjoy yourself with the family on a Saturday. For some families, this may be as simple as on a Sunday, for then Mom – and in some cases Dad – is going to work. There are a little more mothers than dads who are working on Sundays. This freedom should be enjoyed by the families themselves.
ParlaMint-NO_2013-12-18.ana.ud2341e225	Trond Giske – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e228	Solberg has gone to a very interesting way to respond to challenges from both Fylkesnes, Stoltenberg and Hareide – whether in the case of smaller kindergartens, more expensive kindergartens or on Sundays: We have a majority. We won the election. That's why we're doing it. It's better to go into the substance and answer what Hareide asks about. The business operators fear that they will be forced to keep open on Sunday – because others do – that they will earn less, and that they will get more money. This is a reduction in productivity. Families fear that they will be forced to work. You lose the freedom to be with family, spouse or girlfriend on Sundays. People lose the freedom to have Sunday as a different day, a day when you let go of the shopping party, a day when you can use the center, the cities, in a different way than the rest of the week. Is it just ideological pedigree that makes the Right move on with a proposal that reduces productivity, takes away the freedom to be with the family, destroys Sunday as a peaceful day and breaks with Norway's cultural heritage and history?
ParlaMint-NO_2013-12-18.ana.ud2341e239	To a party that spends a lot of time saying that this government doesn't deliver it that promised, it might be a good idea that we sometimes correspond to delivering exactly what we promised. The fact that I answered Jens Stoltenberg as I did was because there were strikingly few questions about what we promised, and what was important in the election campaign, in relation to areas where the red-greens have had promises – promises that we are not against, but that do not have such a high priority. Therefore, I think it is quite relevant to answer that we do what we promised, we do what we said to the voters in advance. On the other hand, I must say that I do not believe that I lose freedom if others get another freedom. I don't think that the concept of freedom needs to be defined from top to bottom, and that everyone else has to do what I have prioritised. I understand that there is a fundamental difference between red-green policy – the Workers’ Party – and a Right-Fremskritsparti-politik. We believe that it is possible to have a different day, even if others want to shop groceries that day.
ParlaMint-NO_2013-12-18.ana.ud2341e246	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e249	It is strong to hear that the Prime Minister strongly argues that all days should be quite the same – there should no longer be a difference between Sundays and weekdays. It's called social design, that we're opposed to change, that arguments are read out mechanically. It is strong to hear such things – after all, there are 370,000 people employed directly in the trade in goods. Many are employed in related industries. So this includes hundreds of thousands of people’s everyday lives and family lives. There are many common, practically good female labor ants in the trade in goods. Should we not treat those who work in the trade in goods as other industries – not take away Sunday-free when it is desirable on the part of the government?
ParlaMint-NO_2013-12-18.ana.ud2341e256	I believe it is quite real that there must be a discussion about what are employee rights and questions, and about what are common consumer and citizens issues. That is why we have said we should have a round with the parties about how we implement Sunday open shops – in what ways we can do it. It does not change the rights under the Working Environment Act. It does not change the working time arrangements in any area. And it's likely to aggregate more jobs to people who can work part-time today and who want to work part-time, for example. students and others. When I hear many of the arguments, they remind me very much of the arguments we were met with in the 1980s, when we expanded the opening hours, from the fact that all the shops closed at 1 p.m. 16.30/17.00 in normal days, and that they were allowed to open until 1 p.m. 19 a.m., maybe until 7 p.m. 20 – on Thursdays. This was also a challenge for the family life of employees and others. But no one today wants to reverse this system – they see it has given more freedom.
ParlaMint-NO_2013-12-18.ana.ud2341e265	Karin Andersen – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e269	I agree with the Prime Minister that it is a good idea to go on a Monday. But it is very difficult to shop if it is closed. What we're experiencing now is that large chains of stores say that if they don't get to join up, shops are closed down. When the government says they are going to introduce Sunday open shops, the commercial industry says that then we have to close shops, because the calculation does not go up. They get higher expenses, but there is very little to suggest that people will then buy more heads of cabbage, bread and peas in boxes. That means that profitability goes down, and the store's death increases. Then it's a paradox that this government, for example. will introduce the Postal Directive, where the post office will not even go out on Saturdays, but you will have to introduce Sunday open shops, which will reduce the freedom to go shopping at the store, because many shops will be closed. Is that the government's goal?
ParlaMint-NO_2013-12-18.ana.ud2341e276	If you are going to have postal services on Saturdays, it is a purely national issue within the Postal Directive. It's a question of how much money we want to spend on subsidising that the bills are also sent in the mailbox on Saturdays, not just five other days a week. It is not the case that the Postal Directive entails anything else. Our main challenge with this is that people send so much less mail. You use e-mails and text messages and everything else to give messages, and letters have become a special sight. So it's not relevant as a comparison, I think, on this issue. If it's going to be the closure of stores, we'll see. It depends on what regulation we have in the future. It's quite possible for shops to have only open six days a week if that's what's profitable for those shops. If you think people will give priority to not doing so much on Sundays, they won't miss that much trade either. It is up to each store to assess whether there is something they want to exploit. There is no requirement for opening hours; there is a possibility of opening hours in Norway.
ParlaMint-NO_2013-12-18.ana.ud2341e283	Then we go to the next main question.
ParlaMint-NO_2013-12-18.ana.ud2341e286	At the six-month press conference yesterday, the Prime Minister, according to Today's Economy, warned that we could be on our way to a period of lower growth. Then it is a paradox that the budget procedure of the harvest has so far offered alarming signals from the government regarding the mainland industry. Fortunately, the proposal for changes in CO2 compensation and permitting legislation was reversed in comparison with the Left and Christian People's Party, but nevertheless many significant cuts remain in important measures against the mainland industry such as the forest industry, the food industry, fisheries, the whitefish industry, district-based travel and rural industry, through regional development funds. The mainland industry is important. It employs tens of thousands of workers throughout the country. In view of this, there is also a need to ask what will be the government’s future industrial policy course and whether the government considers active and targeted measures to be important to the mainland industry.
ParlaMint-NO_2013-12-18.ana.ud2341e296	The budget presented by this government to the Stortinget announced a significant shift in the pace of the things that contribute to the competitiveness of Norwegian industry and business in the years ahead. We did so in the areas that must be the most important in the future; innovation and innovation. That is why we also increased the funds associated with the innovation programmes to ensure that Norwegian businesses will become more competitive in the future. This is why we took care to address the two major areas that lead to strange expenditures, such as: by providing more money for road and road transport investment. It contributes to lower costs. For large parts of the goods-producing Norwegian industry, transport costs are among the areas that lead to increased costs for enterprises. In addition, we know that the strange tax on national, Norwegian ownership helps to confuse and change Norwegian ownership and makes it more expensive for a Norwegian to own an enterprise. What we know from previous reports is that Norwegian private ownership is more long-term also through difficult times than the quarterly capitalism is. Therefore, I believe it is important that we have a tax system that does not stimulate quarterly capitalism, but which, on the other hand, ensures that national, long-term ownership is part of the mix of ownership in Norway. Therefore, our changes in the tax system help to do so. There are many single programs, some of which have an effect, while others do not have such a good effect. Our big grip is just about more competitive; it's about making sure that mainland Norway's industry and business can face a future with more competitiveness.
ParlaMint-NO_2013-12-18.ana.ud2341e305	I thank you for your answer. It was not so surprising in itself. The government's turnover has been significantly oversold. In my county, Nord-Trøndelag, only the reduction in regional development funds for business will amount to 30 million. kr i k cut. The increase in county roads is 7 million. kr. It's a significant downturn for a lot of states. In terms of taxes and tax systems, I see that the government is concerned about it, but my question was really whether the government is also concerned about an active and targeted industrial policy. Is one also concerned that the part of the mainland industry which employs tens of thousands of people, especially in the districts, should also have good and targeted arrangements, as we have seen that the red-green government, for example. proposed to the forest industry in our country, which is also important for, inter alia, food industry, marine industries and also agriculture? That was the question. Does the Prime Minister not see that in a – possibly – demanding economic period, especially in relation to the district industries, she should be investing more and not less in the important parts of the mainland industry?
ParlaMint-NO_2013-12-18.ana.ud2341e316	This government is also focusing on targeted instruments, but we are betting more than that. It is important to focus on the instruments that are not only for existing industry but also on the new ideas, the new environments, where new products can go out. It is very important for Norwegian competitiveness in the years to come that we also have space and funds related to innovation programmes that contribute to raising the whole new ideas. Our biggest challenge with regard to oil dependence is that almost no industries produce as much returns for a society as the type of natural resource harvesting industry that oil industry is. This means that we also need to have, in the future, alongside good framework conditions for those we have, mechanisms that help us to raise our innovative strengths, so that we get even better returns on existing and new industries in the years to come. That is why we have chosen to give more priority to innovation and research. That's what we see is most forward-looking.
ParlaMint-NO_2013-12-18.ana.ud2341e323	Then it opens for follow-up questions – first Tryful Battle Force Vedum.
ParlaMint-NO_2013-12-18.ana.ud2341e326	Taxes have been an important part of the government’s explanation of why it is more legitimate to reduce the allocations to the mainland industry, as proposed by the government. However, in the government’s structure — which has been sub-communicated — there are direct tax increases for industry. The industry that grew last year — the only industry that grew last year — the food industry — was charged increased fees. The construction industry is subject to a historically high jump in the diesel charge. On the budget day, the removal of the inheritance fee was a great joy, but the consequences have been forgotten – the majority of the population have decided to investigate the consequences later. How does the Prime Minister feel that the budget has increased the direct tax burden on large parts of Norwegian business?
ParlaMint-NO_2013-12-18.ana.ud2341e333	In the agreement between the Christian People's Party, the Left and the Government, we have said that we should strengthen the climate agreement. We have said that we must ensure that we also get a tax shift towards a more green tax regime. This includes, inter alia: that part of the major points of emissions in Norway will be subject to higher charges. We have increased the mineral oil tax in a strategy against what is in the climate agreement, that we are actually going to phase out in 2020, for example. oil boilers in Norway. It's natural to increase incentives early so that people start that work, and that we don't get a 'breast round' around 2020. I understand that some of the business impact proposals are not liked, but it is a consequence of a policy by a broad majority in the UK that we agree to strengthen the climate agreement. In fact, we also need to increase some of the charges that have an impact on emissions.
ParlaMint-NO_2013-12-18.ana.ud2341e340	Else-May Botten – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e344	We have been signaling some warning lights from business lately. The government has made clear priorities, says the Prime Minister. Yes, in the position taken by the Food and Agriculture Committee, we have seen in the autumn that government parties have significantly cut off instruments aimed at industries such as tourism, fisheries, agriculture and forestry, which are important continental industries, and many jobs. Does the Prime Minister see these cuts as part of increasing the two-way distribution of the Norwegian economy and contributing to unforeseeableness and passive industrial policy? I also wonder whether we can expect an active industrial policy, which has been asked by previous questions, with targeted action packages for industries that need it in the future, as the Stoltenberg government did with the shipbuilding and equipment supply industry, the wood industry, and not least growth packages?
ParlaMint-NO_2013-12-18.ana.ud2341e351	I'm concerned that we have to be able to do two things at once. One is that we must ensure that we have a good framework for Norwegian business for the future. We need to make sure that industrial policy has a long-term generation perspective, so that we maintain competitiveness, and that we develop jobs, which are safe for the next generations as well. We have had a great deal to do with research, development and cost reduction – i.e. the instruments I have already mentioned. We also want an active industrial policy, but it cannot be that we believe that we are solving the competitiveness problems of the future by just having selective instruments for individual industries. In fact, the most important thing we do for the future is to make sure that we further develop the industries of research, the base of competence, and that we are involved in the new technological paradigm shifts. That's why we also have a high priority on these types of instruments. It will make the fishing industry, the woodworking industry and other industries more robust for the future. The previous government chose packages, we choose good framework conditions.
ParlaMint-NO_2013-12-18.ana.ud2341e360	Let's move on to the next main question.
ParlaMint-NO_2013-12-18.ana.ud2341e363	When Left went to elections to get a new bourgeois government, one of the main reasons was that we need a more offensive environmental and climate policy. We also have a cooperation agreement with the government, where we say that the Nature Diversity Act is firm, in which there are also the intentions behind it, and also that we should strengthen the climate agreement. From the left, it was a little surprising when the government presented its platform, that climate and environment were not one of the eight main priorities of the government. But now we're assuming that we're going to relate to what the government is doing, and not necessarily what it's written. Although we have a good environmental budget for next year, negotiated in the Stortinget, the government's initiative in the field of classical environmental protection has largely been to facilitate the release of snowmobiles, there are signs that soil protection can be reduced in the future, and the plan department has been moved from the Ministry of Environment to the Ministry of Local Affairs. All of this is left critical. In the case of climate action, we need to have an enhancement of them. With regard to the climate agreement, by 2020 we will reduce Norwegian emissions by five million tonnes, i.e.: approx. four times Oslo's total emissions. Then my question becomes to the Prime Minister: What new measures does the Prime Minister see the government going in and out to reduce greenhouse gas emissions in Norway, not just by five million tonnes, as the climate agreement says, but by 2020?
ParlaMint-NO_2013-12-18.ana.ud2341e374	We can't go into it in detail now. We've said that we're coming back to Stortinget with a review of how we're reinforcing the climate agreement. I believe that what we have done in the budgetary agreement with the Left has helped us to go further. I believe that what we see from results, for example. in the passenger transport sector, lower emissions are at present. This is due, inter alia, to: that we have very good framework conditions for electric cars in Norway, which are now beginning to come up for discussion because there has been a policy debate on distribution around the new, fine electric cars. I think we have to stand firm on these questions. We have to be allowed to work through it. First of all, there are many things that have not been implemented. For example, we have to do this. phase out oil boilers by 2020. We have to have a good strategy to get it done. We need better energy-efficient construction. We need a good strategy to do that. We agree on that in today's conciliation. Then we come back with suggestions that help to reinforce it. In the transport sector, some of the important things are to ensure that we have a good plan for collective development around the big cities. I know that the soil protection issue is always difficult, for example. related to it. There is a target dispute in Norway between taking care of the land around the major cities and building effectively close to residential areas with a high level of public transport. We are faced with that dilemma every day, and part of the transformations that the government has made in terms of soil protection are just about developing the big cities. One of the environmentally friendly urban development premises is to ensure that it is easy to deploy a collective network at the same time. Take, for example: Akershus County, you can see that where it is allowed to build, there are all the places where there are no collective solutions today. There's a dilemma that makes us have to allow a little bit more construction somewhere, and make sure that we get more people who choose public transport to work rather than traveling by their own car.
ParlaMint-NO_2013-12-18.ana.ud2341e385	I note that the Prime Minister refers to the budgetary agreement with the Left and Christian People's Party when she refers to the offensive climate policy instruments in next year's budget and not to the government's original budget. The left will definitely take further responsibility to ensure that we have an offensive climate policy in Norway. Now the government is facing a decision on electrification of the Utsira height, including the Sverdrup field. Without electrification, this means an increase in emissions of 1 million tonnes. Then my question becomes: does the Prime Minister at all see that it will be possible to achieve Norway's ambitious climate targets without ensuring that the Utsira height is electrified?
ParlaMint-NO_2013-12-18.ana.ud2341e392	We need to see these questions in the context of how the web is structured, what becomes alternative sources elsewhere and what the total is also going to be in relation to it. But we're working on the assumption that we're now going to conduct electrification of the height of Utsira. That would be a good environmental contribution. Then we have to put in place all the different assumptions for what it means in the years to come in relation to other objectives of climate policy, and also that good grid capacity is to be expanded in the years to come. So to this if I see it's possible to achieve the goals. If we can't get to this, of course, we have to extend other targets. But the starting point for the government is that we should follow this up, in line with the big decision that exists.
ParlaMint-NO_2013-12-18.ana.ud2341e399	It opens for follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2013-12-18.ana.ud2341e402	There is a great responsibility on this government and on us who are going to make budgets with this government in the future, I hope, to take long-term action both for the climate and for classical environmental protection. We see what challenges we can face if we do not reverse climate policy. We've seen that through the weather reports of what's coming across our country in the last few months. It's also important to take care of the classic nature around us. Just before we entered here today, one of the largest children's and youth organisations in Norway, namely the youth of the Norwegian Tourist Association, had action outside the Stortinget. We have seen that almost all non-governmental organisations working in the field of nature have committed themselves strongly to the government in terms of the so-called trials on snowmobiles. Is this taking care of Norwegian nature for future generations?
