ParlaMint-NO_2013-04-17.ana.ud827e26	The representative of Laila Davøy will present a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e325	It was an interesting church meeting to be allowed to attend. Fortunately, the Church meeting has also introduced new forms of communication. It was possible to follow the Church meeting, even if one did not sit in Kristiansand and followed the debate directly from there. I agree that it is great that the Norwegian Church has a good reputation among the population. I think we all saw that after the tragic situation on July 22, 2011, many people searched for the church and used the church rooms as good places to be in a demanding situation. It is such that every year the government presents its budget in October. In addition, we will review the budget in May, if there are things that have arisen that make it necessary. Then we have some other venues to present our long-term plans. The national transport plan is such a case, which we have now submitted, and which – as many have already mentioned here – has been well received. What an economic framework The Norwegian Church will have in the state budget for 2014 and in the future, we will present it at that time. But I can promise the representative Dagrun Eriksen that we are still going to bet on the Norwegian Church – make sure that we get the religious training out to all parts of Norway. Then we also have to look at how the Norwegian Church is organized. We have to look at whether the proste reform has worked as intended, and we have to look at some other arrangements. This is obviously work that we are going to complete in the years ahead we are going to sit in the government offices.
ParlaMint-NO_2013-04-17.ana.ud827e336	It could be an interesting campaign if all the election vows from the red-green end and everyone just comes to say that they can't say anything – they're waiting for the budget in October. It's a big challenge. The Council of State noted that due to other methods of communication, the debate at the Church meeting could fortunately be followed. That is perhaps one of the major challenges facing the Norwegian Church. They can get to the streaming of the Church meeting, but there are major challenges in ICT and the way to communicate with the rest of the country. The Council of State referred to faith training. There is no doubt that there is great frustration in the Norwegian Church, both because the government took a break in the budget for 2012, and that there are still many congregations that have not been allocated any of the funds that they were promised ten and eleven years ago. When does this come from the government?
ParlaMint-NO_2013-04-17.ana.ud827e345	It is correct that the Stortinget decided that we should have a stepping-up plan related to the training reform. We're not done with that yet. When we present the future budgets, we will deal with how we will complete the financing of the faith training reform. I have challenged the Church meeting – with which the representative Dagrun Eriksen is known – that I am also concerned that we need to look at the content of the religious education reform. When we have a reform of faith training, it is to replace the teaching of Christianity in school. It is then important that the content of the reform of religion also reflects that responsibility. I think it is important that we ensure that we have a reform of faith training that meets the objectives set by the Stortinget for its allocation.
ParlaMint-NO_2013-04-17.ana.ud827e352	Three follow-up questions are raised – first Geir Jørgen Bekkevold.
ParlaMint-NO_2013-04-17.ana.ud827e355	I live in Skien. For many years I worked as a priest at the Gjerpen Church, an ancient medieval church from 1153. During the 850th anniversary, we experienced the tragic fact that the church was burning. Just a few years ago, they experienced the same thing in the neighbouring municipality of Porsgrön: the Eastern Porsgrön church burned down to the ground. I mention this because the government in the 2013 budget chose to remove the interest compensation scheme, which would stimulate municipalities to have greater pressure on securing and maintaining church buildings. Only in the case of fire and safety, 1 billion is needed. kr. The maintenance run is also included. My question is, why does this government focus so little on preserving the important signal buildings and cultural wearers that the churches represent?
ParlaMint-NO_2013-04-17.ana.ud827e364	I do not agree that there has been little focus on this. Through a strengthened municipal economy, we have contributed to a significant increase in the maintenance of churches. The municipal sector is responsible for the operation of the local church and for the maintenance and construction of churches. Since we joined the government, the appropriations for church purposes have been more than doubled in the municipal sector. It shows that the government has provided more money for the maintenance of the churches both by providing municipalities with a good economy and through the priorities of the elected authorities. We were in the situation before Christmas last year that we had funds left for the post we had for the interest compensation scheme. It didn't seem like it was interested in the system, and then it's quite natural that you think it's a superfluous system. Then we are in a situation now that, after the scheme was terminated, new applications have been made, and then, of course, we will look forward to the budgets we are going to present in the future.
ParlaMint-NO_2013-04-17.ana.ud827e371	Bente Thorsen – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e375	The party of progress has taken the Church's economic situation seriously to preserve the Church. We have proposed to strengthen the Church's economy for religious education, ICT, the services of the past, maintenance and fire protection of church buildings. Some of the most important and beautiful buildings we have in this country are actually the churches. They have great value and importance both in religious practice and as an important part of our culture. Too many people also have great significance for the content and availability of the Church. With this government we experience that many of our old, beautiful churches are about to rot. Church members experience reduced access to both the church room and to priests. It is clear that the Church and the Council of State have a very different view of the Church's economic situation. The question is, what does it take for the Council of State to meet any of the Church's needs?
ParlaMint-NO_2013-04-17.ana.ud827e380	I believe the government has met many of the Church's needs, and I do not recognize myself in the description by the representative Thorsen here. I meet many church organs every week, I meet great activity and people with optimism, and I don't share the black paint representative Thorsen here. We have increased the appropriations for the Norwegian Church considerably. We have also increased the appropriations for the maintenance of church buildings – as I said – by providing municipalities with a strengthened economy, and this has resulted in many church buildings being rehabilitated. New church buildings are being built and churches are being rehabilitated in large monasteries. Only lately have we opened an amazing cathedral in Alta. I was in Bodø on Sunday, there was the dedication of a new organ. There is a lot going on in Norway on the church front because municipalities have been given more money, and through it the joint councils have also been given more opportunities.
ParlaMint-NO_2013-04-17.ana.ud827e387	Svein Harberg – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e390	I have to go back to where Dagrun Eriksen was in his question to the Council of State. The council said that in some areas there are long-term plans and that's not the way it is here. Well, belief training was such a long-term plan, it's just that that plan has been drawn out in time, and it's stopped. There, the Council of State has something concrete and long-term she could relate to. After attending the Church Meeting a couple of days, I can underline the despair, which is combined with a great commitment and willingness at the Church Meeting. It was nice to see that the Church has taken seriously its new situation, is committed to democracy and has the will to do something – and then the frustration of the lack of resources. As far as ICT is concerned, the Church is required to do a job. They have prepared it, obtained a tender, and then the money did not come. The last time limit for making use of the tenders they already have has been revised. I think I'll give the council a new opportunity for a slight leak.
ParlaMint-NO_2013-04-17.ana.ud827e399	I guess no one has ordered the Norwegian Church to make the concrete solutions they have made, but we have contributed money to a preliminary project. It is important that a complex organisation such as the Norwegian Church, where it is both local level and central level in a rather demanding form of organisation, create schemes that have sustainability over time. If an ICT solution for the Norwegian Church is to be sustainable, we need to ensure that the local councils also connect to the solution. I believe that there is still a need to go a few rounds before we are absolutely sure of that. It is also the case that every organisation has the opportunity to redeploy funds within its own budgets, and we have had a dialogue with the Norwegian Church on other funding methods. Much of the ICT effort is now being deployed will be financed by loans, and there are also opportunities to do so in relation to the parts of the ICT initiative for which government funding is sought. There are no leaks from the audited from my side today.
ParlaMint-NO_2013-04-17.ana.ud827e404	Then we go to the next main question.
ParlaMint-NO_2013-04-17.ana.ud827e407	My question also goes to the minister of the church. Many people want and need the pastor to be available in his most vulnerable and important situations in life. The pastor also has many important tasks, such as providing mental care, going on sick and home visits, being a resource for volunteers in the congregation and otherwise engaged in public service activities. I record that there are now some places where a relatively new queue has been created, and that is actually within tombs. In an increasing number of cases, people have to wait several days beyond the scheduled time before being buried, despite the recent decision by the Stortinge that the deadline for funerals has been extended from seven working days to no later than 10 working days after death. The majority also considered that the extension of the deadline should give greater opportunity to meet the wishes of the relatives and take human considerations both in the case of early burial, and in the case of those who need a little longer time. Today's situation with waiting and cooling is not at the request of relatives, but simply because of lack of performance. When you have such choking, it goes beyond the other important tasks of the clergy toward the congregation and the members of the church. One of the reasons for this is not least that Norwegian priests have more than 1 000 members per pension than their colleagues in Sweden and Finland. The Progress Party wants to help church members get a level of service with just Sweden and Finland. Does the Council of the Churches share the concern of the Party of Advancement for the link we are now receiving feedback on? What will the Council of State do to get away from the tomb and avoid this becoming a permanent practice?
