ParlaMint-PL_2020-09-11-senat-15-2.u1	I'm reopening the session. [[Mr. Marshal...]] Yes? Senator Mammoths.
ParlaMint-PL_2020-09-11-senat-15-2.u26	Thank you very much, Senator. It's a formal matter. Senator Wind reporting.
ParlaMint-PL_2020-09-11-senat-15-2.u27	Mr Marshal, I would very much like to ask the marshal to waive part of the senator's question concerning the Ombudsman's person, because this has nothing to do with this report. I'm not going to talk about cultural aspects anymore... [[Excuse me...]] ...that question, awkward. But it doesn't have anything to do with it. And I ask you, Mr. Marshal, to waive this part of the question. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u28	Mr. Senator, I'm not breaking that question. And it wasn't a formal application, your application isn't in the catalogue of formal applications. [[Of course it is. Proposal for a way of conducting the proceedings, Mr Marshal. The relevant letter of the relevant paragraph of the Regulation. Thank you very much.)]] This was not about the way the discussion was conducted, it was about the substance of the statement. There you go, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u29	Thank you very much. [[There you go.]] Mr. Marshal! High Izbo! Dear Senator, I will refer, Mr. Senator, to these comments, and it will also refer to the question of Senator Chybick's question concerning experts working in the office and working in the office. There are various aspects of the rights of the child, the activities of the Ombudsman, and that of everyone, including my predecessors. Shouldn't a lawyer be a spokesperson? Of the forty-several advocates of children's rights in Europe, 27 are probably lawyers, lawyers. That's one thing. Secondly, some of the experts I have in my office What's more, not only did I take them over with the office after my predecessor, but they've worked with me so far, they're lawyers, lawyers. Because lawyers, lawyers, are most often the last of the children's rights, the basis for representing the child in court. The Ombudsperson's Act does not restrict the profession, such that only the teacher is the best advocate of the rights of the child. Moreover, one of the spokespersons for the rights of the child was Paweł Jaros, a judge. So these comments, I think, are not correct. [[I'll ask your spokesperson, if you don't mind, right now.]]
ParlaMint-PL_2020-09-11-senat-15-2.u30	In a moment, Senator...
ParlaMint-PL_2020-09-11-senat-15-2.u31	But I don't mean, Mr. Ombudsman, that a lawyer can't be an advocate for the rights of a child. Of course he can, the bill allows it. The problem is that a lawyer, as few people do, is obliged to comply with the laws. And the lawyer entering the competition, applying for any position probably much better than any of us can read the criteria that apply to take this position, i.e. the criteria that allow for the competition. You did not comply with the statutory requirement of 5 years of working with or for children, and yet you applied for the position of an ombudsperson. That's what I asked.
ParlaMint-PL_2020-09-11-senat-15-2.u32	In a minute. Mrs. Senator, of course, I'm writing you down, but please speak up, not in response. [[The Ombudsman misunderstood, so...]] There you go, Mr. Spokesman... [[I wanted to explain.]] I see. It's... [[I'm sorry.]] That would be something else. There you go, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u33	Thank you. Mr. Marshal! High Izbo! Dear Marshal! These issues have been resolved, presented, proven, demonstrated, which lawyer takes care of children's rights for how many years. Both chambers of this Parliament have also confirmed this issue. So this is an evaluation issue that can be discussed in a public debate. Speaking of which, my deputy... Maria Urmańska was involved in the rights of children, for example as a foster family, and foster families were awarded the Honorary Badge for Merit for the Protection of the Rights of the Child, also by my predecessor, so that life and experience predestinated her so that I would appoint her as an alternate! but this could be said in the past time to be called for specific tasks related to education and upbringinging. So this is certainly the issue of authority, all the skills and competences she had and has, and for this I thank her very much from this place. Another thing, a similar question about the protection of children, the views, the issues with which children come to me, whether non-heteronormative children come to me. That's the new word that comes along. Whether children come from in vitro or others come to us with complaints. Like I said, I don't differentiate children. Every child, every man is to me the one to be protected, to be protected most by me. I stand up for everyone. I gave an example of a march where my father was standing in front of a police cordon with a baby on his hands. It was a gathering blocking one of the rainbow marches. I took the case, too, because I think it's wrong. This father had to be properly prepared before the family court to continue his parental functions so that he would not do such things. And regardless of the colors... So that here the issue of communication, assistance, violence against children and the demand... [[Voice from the room: Optional...]] Yeah, optional national strategy. National strategies and various types of upper-flying issues are very important, they are simply in us as a natural law. But I'm also moving on to my actions, Senator Dear. Here, for example, is the legislative activity related to the unanimously adopted and in this House, and in the lower chamber the anti-violence law was, it seems, April, May this year, which introduces the possibility of immediate protection of the family from someone who abuses it, exposing a delict for a fraternity from the house. It wasn't there. Here are specific tasks, powers that now enter into force, among others. in the Police Act. I was involved in the preparation of these provisions 2 and 3 years ago, while still in the Ministry of Justice, with the idea that there would be a specific tool, and not just upper-floor words that would not be implemented later. This is a tool for the police and this is the implementation of individual children's rights to protect against violence. These are the concrete forms of my business as a spokesperson. As regards the formal issues, I know that the reports will contact the secretariat of the Senate Office and my office on the clarification of the 2018 report and its appearance in public form. It so happens that the previous year was the year of the change of term and not all cases were completed at that time. That's what happens, unfortunately. I'm sure this will be completed. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u34	Thank you. Senator Bogdan Klich.
ParlaMint-PL_2020-09-11-senat-15-2.u35	Thank you, Mr. Marshal. Mr Ombudsperson, of course, you, like every man and citizen, have the right to have your own views on all matters, but as an Ombudsman, you are to defend and protect Polish children. In the meantime, you're going crazy, and the sexual education issue is the case where you've probably gone the farthest way, into ideological polemics. And that's the mistake you made. In this famous conversation on TVN, unfortunately, you misled the audience by giving false information, simply creating fake news. That is why, in this House, we expect you to correct, not to explain, why, whether, when the prosecution will explain this, just to correct the words you have said. You said, I quote: Mr. Editor, and will you guarantee that we will let sexual educators into 20,000 schools and they will introduce such content as in Poznań, where they capture the child somewhere shaky, neglected, and to whom they give you educators with these funds You said about an event that did not take place in Poznań schools. So that's what you should correct. I would like to ask you about the educational opportunities of Polish children, because today you said about the teacher strike of April 2019 that he excluded several million children from education. I would like to ask you if you intervened, and if so, how you intervened, in the Ministry of Education and in relation to the government that was responsible for this strike, that on the first day of the strike it struck 75% Polish schools. Did you intervene so that the government wouldn't fake it, but negotiate with the strikers? Did you urge the government to behave honestly and responsibly towards Polish teachers who, in various media controlled by the government, in particular TVP, were humiliated and insulted? What did you do about it? How did you act for Polish teachers and therefore for Polish children? Please provide a concrete map of your actions on this matter, that is what we expect of you.
ParlaMint-PL_2020-09-11-senat-15-2.u36	Thank you, Senator. There you go, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u37	Thank you, Mr. Marshal. High Izbo, Dear Senator, to the question about last year, the strike of teachers and the actions I have undertaken, I will answer in this way. When we remember that turn of March and April, the time before graduation... The round table was very important after that. When did I propose mediation? Well, I proposed a round table for all of the education system then the minister was Anna Zalewska, i.e. all teachers' unions and parents' organisations, and it was January 15, 2019. In the second half of January, it seems that two such meetings took place in my office. The point was to counteract it, to prevent... to hear what everyone's right is. It was January last year. There was a minister and a former trade union except one trade union. I'm sorry, I'm At that time, I tried to get an amicable, mediational explanation of the case so that there would be no strike, and even then such threats would fall. I participated actively in the meetings of this main round table, in explaining and negotiating. At that time I also attended these meetings, also personally. The only ones who haven't answered my questions... And that comes from the bill, that's the power of the spokesperson of the bill. Every institution in Poland, every organization must answer my questions, in accordance with the law. And I was just asking about the postulates and the stage of the work. The only organization that didn't answer those questions was the NSA. All other union centers, local governments were also involved... For example, yesterday, Mr. President of the Polish Towns Association was also... These representatives took part in these meetings with me and there was a discussion. But not everyone wanted to take a specific, substantive part in it. So that I took such actions then, I took part in mediation meetings within the round table To give children the right to study. However, the important and very good demands are the decent, rising earnings of all social groups, but in the compilation of these rights... I uphold the right of children to learn, to fulfil the State's obligation to ensure that children are taught during a given period. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u38	Thank you, Mr. Spokesman. You're asking Senator Benjamin Godyla.
ParlaMint-PL_2020-09-11-senat-15-2.u39	Thank you, Mr. Marshal. Mr Ombudsperson, I would like to raise two points here and raise questions with them. First issue, NGOs. How do you fulfil your statutory obligation to cooperate with non-governmental organisations? What organizations do you work with, and what does this cooperation involve? How do you choose the organisations you work with, what are the criteria for this choice? Do you cooperate, for example? with youth city councils? That would be one thing. The second issue concerns institutional care. What steps have you taken to ensure that there are no children under the age of 10 in institutional care? Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u40	Thank you, Senator. There you go, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u41	Thank you, Mr. Marshal. High Izbo, Dear Senator, NGOs... Yes, this cooperation is a duty, but also such a natural formula of the Ombudsman's activities. I totally agree with that. I took over some of the activities of my predecessors so far, and these organizations were in my office and various kinds of initiatives... Most of the time, it involves patronage, presence support, lecture support, such activities were. Like I said, patrons. Last year I gave more than 180 to non-governmental organisations, and this concerned a very wide range of organisations. I have been at meetings on the fight against violence against children, they are held every year in the Palace of Culture and Science as part of the good work of the Foundation.We give the Children Power, and this has been happening for many years, even before I became a spokesman, I took part in this. But also great organizations, such as scouting, ZHP, scouts, ZHR, as I was talking about, support for this youth, this formula of upbringing, and patriotic, and personal simply, participation in the great rally of Scouts in Mazury... This type of activity is and this type of activity will certainly continue. As for institutional care, second, short question... I'm aware. We also discussed this with the senator at the joint committee meeting, and I absolutely confirm it. The system is not yet perfect and does not work as it should with regard to institutional care. Children should not, and certainly the youngest, stay in the children's homes. We must strive to develop foster care, to mobilise foster families, that is obvious. But there are situations and places, such as in Łódź, where in fact there are such deficiencies and the house of a small child still functions. It is very close to me, believe me, even personally, for various reasons. That is why there have been and there have been actions in this area, there are my speeches to the Minister of the Family, to draw up rules that will enable them to function efficiently and at the same time allow children to be brought up in such conditions as to replace the family.
ParlaMint-PL_2020-09-11-senat-15-2.u42	Do you want a written reply? [[Child Rights Ombudsman Mikołaj Pawlak: May I ask you another question? I'd just like to ask.]] Well, well, well.
ParlaMint-PL_2020-09-11-senat-15-2.u43	Do you have any record of how many children under the age of 10 are in children's homes? Maybe not the exact figures, but at least the percentages.
ParlaMint-PL_2020-09-11-senat-15-2.u44	Mr. Senator, these are also data that are constantly changing... Allow me to reply in writing, it will be up-to-date, concrete, so there will be no mistake. As long as I have the data I've collected, I'll give it to the senator. [[Child Rights Ombudsman Mikołaj Pawlak: Thank you very much.]]
ParlaMint-PL_2020-09-11-senat-15-2.u45	Thank you very much, Mr. Spokesman. And Senator Beata Małecka-Libera is asking a question.
ParlaMint-PL_2020-09-11-senat-15-2.u46	Thank you very much. Mr Ombudsperson, my two short questions are primarily based on the reading of the open letter you wrote at the beginning of this report. Well, in my opinion, this letter is open and expressing its views, the world view is absolutely important to you as a person, to Mr. Nicholas Pawlak, not to the spokesperson. After you have adopted the role of the Ombudsman, you should not write in an open letter, because, after reading this letter, we can clearly say that you are a defender for only part of the children, and that you, as an advocate, should stand up for everyone and be guided primarily by knowledge and respect, that should be the most important values. And you're actually denying these values by saying that the scientific advances of knowledge or wise men, as you write here, are of no interest to you at all, which makes me very sad as a medical person. And I have two specific questions. First. Are you really a defender and spokesman for only part of Polish families, or everyone, and all the children who are raised in different families and are different children? And my second question is: what is your position on sexual education and the introduction of this subject into schools, what has the medical community been calling for for years? Is there anything you've done in this area? Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u47	Thank you. There you go, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u48	Thank you, Mr. Marshal. High Izbo, Dear Senator, in an open letter I would not write in the language of the law and like a lawyer, because it is not to be an appeal against a judgment. An open letter is the translation of the law into a common language. This is the law of the Constitution, the Convention on the Rights of the Child and the Act on the Ombudsperson of the Rights of the Child in Poland. The rules show that the natural environment of the child's development is a family. Such passuses fall also in the Convention on the Rights of the Child and in the Constitution of the Republic of Poland. So I do nothing that is not based on Polish law. I'm reminding you of some of the fundamentals of the law. They might be redrafted. The creator of the Convention on the Rights of the Child, Prof. Smyczyński, when I talk to him about what was at the heart of this document, what was the thought of what was the idea, also mentions the right to have parents, families. It's the right of the child. That's why I'm standing here defending the rule of law. If I hadn't, I wouldn't have done my job. As far as sexual education is concerned, it's a subject that's very up-to-date. Sexual education in the form of an approved program is in Polish schools. These are items approved since a quarter of a century by regulations. There's forms for it, there's a whole program. I'm talking about raising people to live in the family. What is an accepted democratic standard is in schools. I often stand up for my children and my parents, standing together with them in one line, along with those whose voices were not heard. They do not want behind their back the content which is not introduced by the democratic standard, as part of the educational programme, the program that is in force and to which tens of thousands of teachers are prepared in substance, to be introduced. I'm doing this not because I can ideologically disagree with this content, but because if the school principal introduced a person who doesn't have pedagogical or teaching powers into school, he would have disciplinary action. And the question is, do educators have that kind of authority? If they do, you're welcome. In a democratic system, the curriculum can be changed and the content that is now being created can be introduced. I'm saying, and it's just like that, it's a provision of education law, regulations. That education in this area is available to all. Thank you. [[Senator Beata Małecka-Libera: I'd like to ask, Mr. Marshal.]]
ParlaMint-PL_2020-09-11-senat-15-2.u49	There you go, Senator.
ParlaMint-PL_2020-09-11-senat-15-2.u50	So I understand, Mr Ombudsperson, that in your opinion, what is now sufficient is enough. Yes?
ParlaMint-PL_2020-09-11-senat-15-2.u51	I said there's an education program. [[Senator Beat Małecka-Libera: But I asked your opinion.]] Whether it is sufficient or properly presented, given, is, of course, a matter for discussion. The question to consider is whether it is up to date, for example because of social development since the quarter of a century... But I ask your opinion all the time. It's all under discussion. Surely you should listen to the voice of experts here in the right manner. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u52	Thank you very much. Mr. Spokesman, now I'm asking the questions. A paedophile commission has been set up, to which you have addressed your representative. Has she started work yet or not? That's the first question. Two. Under applicable law, parents decide to raise their children. Tell me... Well, there could be conflicts. Children over 15 have their own views, 16 years old have their own views. You met with such situations that there was a conflict of views between children who were about 16 and 18 years old and their parents. Suppose they demanded to go to church or forbidding to go to the temple, and the children had different views. Have such conflicts and problems reached you? Another thing: tell me what the situation is about the possibility of raising children according to parents' views on ethics lessons. Because there's a recipe that says that if a parent doesn't want to send a child to religious classes, he should send them to ethics classes. What is the situation with ethics lessons? What is the implementation of this provision? And one last thing: do you do or do boosters? If so, I'd like to know how... Because boosters, no very harmful means, are addressed to children and young people. What does the number of children under the age of 18 who use boosters look like? This is a serious problem, and I would like to know if you have taken care of this problem when it comes to children and young people. And so I'm asking what it looks like. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u53	Thank you. Mr. Marshal! High Izbo! As for the commission on paedophile acts, just to remind and indicate the stages... On July 24, the committee vowed, the Sejm elected the chairman. As far as I know, this is the creation of an absolutely new office, for which there was not even, apart from the budget reserve, of the paragraph mentioned, we as representatives of the offices are aware of what these are important issues. According to the information I have, last Friday was published in the Official Journal of the Prime Minister's regulation concerning... This is the first piece of legislation that stands, it seems, for workers. This is a statutory requirement from the bill that Parliament has passed. It is prepared from what I know, and I say this on the basis of the information I receive from the committee circles a place that will be an office. I think that's the point. A week or two weeks that these basic things... Because you had to put on a NIP, a REGON, even make a seal. As far as I know, funds from the budget reserve for the committee will be transferred in the coming days, because the simplest, most banal things are involved. If we can build this office within this month and a half, I think it will be a great achievement of the chairman and the members of the committee that they have built the committee office from scratch within a month and a half. I think that in September it will formally start working and inform the public about its address, because even this portal gov. pl must rise for the committee. Administrative activities are already underway. I know there's gonna be more activities in the day. That's the line. Dear Marshal, High Izbo, the answers to the second and third questions will be combined because they concern education and education. I would like us to be aware of the terminology and meaning of the words "education." Raising is a priority for parents and family. It comes from the constitution, the convention and the law. Education, that's the transfer of knowledge methodically. This duty rests with the State. Sometimes there are various kinds of disputes or doubts at the interface between the education to be carried out by the State through the school system and the upbringing that is reserved for parents. So that this distinction I very much want to emphasize and apply, because it is very important for a full and correct understanding of further doubts or explanations. It is very important that there are matters, especially concerning, for example, moral or worldview issues, which I am drawing to the attention of the Senator, directly by virtue of the rule. They're entrusted to the family. Children's rights are sometimes dealt with in criminal law. For example, in the case of offences against children and certain sexual acts, age is limited to 15 years of age, i.e. what is allowed for a teenager over 15 years of age, it is not allowed to do to a child under 15 years of age. The question of the distinction between religion and ethics. Like I said, this law has been in force for a quarter of a century. We are already naturally accustomed to the fact that at the beginning of the year these classes or other activities are chosen in schools. This involves making a statement by parents. In the case of older students, they are often made by the pupils themselves, and in high school adults who are before graduation can make such decisions individually, it is simply their citizens' right. That's why about this... There have been cases like this, I'm signaling. I'm not gonna tell the marshal at this point whether it was three cases or five cases, but a few cases in the field of child dispute, a student, a teenager and her parents about whether or not to attend these classes have happened. Most of the time... it's always this way, and it's always me, too, that we're trying to explain this dispute between parents and the student, to make both sides aware of these aspects of human freedom, and at the same time there's never any encouragement to one or another. This is information and something, you can say, like explaining and meditating, encouraging good relationships. Because a child for his parents, no matter what faith he will have in the future, or what views he will have, will always be a child. The point is to remember that these matters can never disrupt their family relationship, their most intimate, mutual love. I'm always trying to keep things quiet in this field. Thank you, Mr. Marshal... Oh, and the boosters, I'm sorry, it's a matter of boosters. If such cases arise, they are immediately notified and the health services and the justice services, because these are simply criminal acts and these are addictive measures for children. When it comes to the number of receiving children, it is difficult to talk about numbers, because not all cases are recorded. Unfortunately, despite some solutions that were adopted years ago, this market is still open. However, we can talk about certain statistics when it comes to children, young people, whom we call corrupt in some part, whether we refer to as the one who falls into the arms of the courts when acts of corruption or criminal acts occur. Often, one of the elements that did not demand to raise these children was that they were addicted to various kinds of drugs or drugs. These children are supported in various types of centres, and in youth education centres, and in correction facilities, which also have a base of assistance for these children. As far as numbers are concerned, I can tell you how many children are currently in correction facilities. When I left the Ministry of Justice and took up the role of spokesperson, there was, apparently, 600-800 children in these establishments. These are the toughest cases, but I'm not exactly equal to every case of a kid like that using boosters or drugs. These are the numbers. In MOW, there were about 5 thousand children in youth educational centers at that time. These numbers are getting a little smaller, they're moving. Nevertheless, these are estimates. But, of course, there are also children who take such drugs and who have not yet entered the aid scheme in this regard. So that's a big problem, and I'm sure every time the health services, medical services or the justice system have to be notified, because this plague has to be combated. I absolutely agree with the marshal here. All child addiction measures should be eliminated, and this phenomenon must be combated. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u54	Thank you. Senator Marek Plura, remotely.
ParlaMint-PL_2020-09-11-senat-15-2.u55	Mr. Ombudsperson, a few moments ago, you made a constitutional accusation against the teachers who were on strike. You don't have to be a lawyer to know that it's the constitution that puts it on the state. Not on teachers. The obligation to secure and enforce the right of children to education. The state, in particular the government and the local government. A teacher is a special profession for which, I believe, a specific vocation is needed. But by calling, man will not feed and feed his children. Teachers, teaching and raising other people's children at low salaries, at the same time hurt their own children, often unable to secure their basic needs. We have exemptions in the Polish law on the application of the law, also the right to strike among employees. The groups covered by these exemptions are certainly policemen or soldiers. These specific regulations do not include the work of teachers. I am convinced that if a teacher strike were to threaten some serious consequences, they would also be banned from strike. That's why the question is, doesn't it seem excessive to you? [[The meeting is chaired by Deputy Marshal Michał Kaminski]] [[Mr. Senator, we have a minute to ask, and you're already speaking two minutes.]] Thank you kindly.
ParlaMint-PL_2020-09-11-senat-15-2.u56	You're welcome.
ParlaMint-PL_2020-09-11-senat-15-2.u57	Dear Marshal, High Izbo! Dear Senator, I have pointed out the question that the Court could dispel for certain, and I have pointed out a contradiction that many have identified with which their parents have applied. I have pointed out that this form of strike does not deprive the right of another, more important or equally important, it is for everyone's decision... From my perspective, from the perspective of the ombudsman, children's rights to study in the system of a country that includes teachers... I thank them for their very energetic and creative approach to the situation this year, when after a few days they started in most cases a remote education supported by hundreds of millions on computers, on the Internet... I mean questioning and signaling a problem that appeared in many thousands of Polish houses. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u58	Thank you very much. Yes? You're welcome, with a formal request.
ParlaMint-PL_2020-09-11-senat-15-2.u59	I observe that not only questions are repeated but also answers to questions. For this reason, I would ask you to close the list of people asking questions. [[I'd like to report before closing...]]
ParlaMint-PL_2020-09-11-senat-15-2.u60	Then I'm writing down Senator Marek Borowski. Are there any other senators who would like to enroll in the question? Senator Plura again. Then I'll close... Ah, Senator Brejza. I'm closing the list of senators who want to ask questions. I would like to remind you that there is a possibility to speak in a discussion that will take place after the questioning phase. I ask you to ask Senator Mark Plura for an additional question. You're welcome, Senator.
ParlaMint-PL_2020-09-11-senat-15-2.u61	Thank you, Mr. Marshal. Mr. Ombudsperson, for several years in Poland children, pupils with disabilities have not been allowed to pursue individual teaching in the school. This is how we took our education system back to the times of the Polish People's Republic, when it was... In the 1970's, I studied only at home. And living with my peers, I couldn't learn integration until I was in college. I have a question: have you done something, and if you haven't, are you going to do something concrete to restore children with disabilities to their right to education at school, also in their individual classrooms? Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u62	Thank you very much, Senator. You're welcome, Mr. Spokesman.
ParlaMint-PL_2020-09-11-senat-15-2.u63	Thank you, Mr. Marshal. High Izbo, Dear Senator, yes, the problem of children with disabilities is noticed in the office. Starting with such things, you'd think small things. But they're unfortunately permanently present. Like bringing children to schools with specialized means... I'm not even talking about the fact that there's even a problem with getting the kids to school. And the problem of school education, the problem for some extra, and for children with disabilities I will also point to the Minister of Education in the near future. Because the topic of combining schools, combining classes, closing units is very important. And in this respect, my speeches are prepared. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u64	Thank you very much, Mr. Spokesman. I ask you to ask Senator Michael Sewerinski a question.
ParlaMint-PL_2020-09-11-senat-15-2.u65	Mr. Marshal, I'd like to ask you if you're getting complaints from your parents about the activities of external sex educators at school. But that question had already been raised and there was an answer. Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u66	Thank you, Senator. Senator Jan Filip Libicki. You're welcome.
ParlaMint-PL_2020-09-11-senat-15-2.u67	Thank you very much, Minister. The Lord places great emphasis on what is written in the Life Protection Act from conception. That's the case. I'm close, too. I share your position. I'd like to thank you for that. Nevertheless, I have the following two questions. Question one. I already talked about it at the committee meeting, but I'd like to make it sound like it's here. I have been approached by the Belgian Ambassador with such information that there is a dispute about the child. This is a public matter. There's a Belgian court order. And that ambassador's charge was that you didn't respect that sentence. I would like you to state your position on this matter. This is the first question: what is your position? The second question is the following. Indeed, you are presenting the whole issue here. as if from a legal point of view, as a lawyer. There was also a question here that your deputy has no pedagogical, psychological education. I'd like you to describe your team. Because indeed, a pedagogical approach, a psychological approach, is extremely important in the exercise of this office. If you're not a psychologist, a counselor, and your deputy, how do you, so to speak, work in this area and what kind of people? Thank you.
ParlaMint-PL_2020-09-11-senat-15-2.u68	Thank you, Senator. You're welcome.
ParlaMint-PL_2020-09-11-senat-15-2.u69	Thank you. Dear Marshal, High Izbo! Dear Senator, Yes, the Ines case because in this case we can, due to the media nature of the case and even the consent of all participants, speak directly about the girl It is international in nature. This is the case concerning Dad's will, Belga, to contacts, to pick up his daughter, in a situation where he and his mom were in a dispute, and mom died and now the girl is under the care of her grandmother here in Poland. Unfortunately, there is a very far-reaching dispute between adult carers. I ignore that this is one of the most complex legal cases. Meetings on this issue were held at the highest level. Yes, I've also been seeing the ambassador. I've been dating, too. And thank you so much for coming to see me. 3 weeks ago, with the spokesperson for the rights of the children of the French part of Belgium, Mr Bernard de Vosem. I'll probably see you next week to continue our conversations and prepare this family to settle the dispute. It is important that we ease the disputes of parents, carers. Because children have the right to grow up in peaceful conditions. Regardless of the complicated legal situation in this case, I've been asking... And that's the first thing I've talked to all the participants personally about in this case, which unfortunately not all the law enforcement authorities have done. I wanted to stop the escalation of unnecessary decisions and the involvement of the state, the execution of police officers, probation officers, because it's bad for the baby. We've all seen these actions taken in the presence of cameras. That shouldn't be the case. And that's why I also asked your ambassador, your spokesperson... In many cases, we were most in agreement with your spokesperson. We agree that Ines, as a Pole and a Belgian, should learn about the cultures of both countries, so that she could have contact with families on both sides, and that neither side would stifle on the other side, attack, that's what we're going to do. I hope that the time we now have to calm down after the decision of the Constitutional Court, which stopped this escalation of judicial decisions, is the time for agreement. We are scheduled for the first meetings, as I said, something like mediation will also be possible in my new office, which I cordially invite you to visit. There's a special meeting room for the baby, for talking to the baby, and I think it's the best place for this family to finally start talking to each other to set a good example for Ines. So it's the Ines case. The matter of the expert team... That's how it is, the spokesperson first was the author of the bill, then the spokesperson was the judge, then the pediatrician doctor, Marek Michalak was the educator, now there's the lawyer again. Yes, we are not omnibuses, we are using experts, we are using the voice of others, we are taking advice, because so it is necessary to consult to find the best position, because the situation of the child presented in the complaint, in writing or in the media message is often shown unilaterally. It needs to be highlighted and explained from many sides. I use, support specialists who worked in the office for many years, long-time employees, educators, lawyers, lawyers, but also specialists in education and pedagogy. For example, the Director of the Team. Education and Education is a teacher who also served as director of various schools. Therefore, this experience in the aspects covered by the various departments of the Ombudsman's activities is assured. As far as the scope of social, medical, social matters is concerned, the director of the relevant team also used to work at the Office of the Ombudsman. I use and eat from experts in particular fields. And the role of the spokesman, as a little bit of the author's office, function, is to collect these cases, analyze them from various aspects... Because it is so that the teacher, that someone, so to speak, from the medical field will always continue in his direction, and the role of the child's protector is to look at the child and his situation in many aspects, because perhaps in this complaint something is not said, somewhere on the margin there is a request for something else, and then you have to act. really in a lot of ways. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u70	Thank you very much. I ask you to ask Senator Jerzy Czerwinski a question.
ParlaMint-PL_2020-09-11-senat-15-2.u71	Mr. Marshal! High Izbo! Mr. Spokesman! Two lines. The first is actually not a question, but an offer. You have called for an increase in the powers of the Ombudsman in criminal proceedings involving children as victims of child abuse. But in order to make the longest march, you have to take this first step, there has to be a legislative initiative. You don't have one. It can be done by the Ministry of Justice, but also by the Senate. The Senate is well suited for this type of initiative. The request to simply make an appropriate proposal for an act, as I understand it, changes to the c.p.k., send it to the family committee or to the human rights committee or finally to the Legislative Commission. I'm on this committee, and I'm gonna fly it. The second issue concerns the rights of Polish children residing abroad. It's a broad topic, and in a few places, it appears here. There is your speech to the Minister of Foreign Affairs to provide detailed information on the situation of Polish families settled in the UK, Germany and the Netherlands, with attention to the interference of foreign authorities in the parental rights of Polish emigrants; there is a request for a meeting with the spokesperson of the rights of the child, but I understand that it is also a matter of cooperation in this area; and there is a problem whether it is a question of placing minors of Polish citizens in foreign cultural foster families in which they did not have contact with Polish culture and language. This is a whole conglomeration of cases, but I'm sure it's easier for you to talk when there's a spokesperson for the rights of a child, or your equivalent, in a country. But these are the countries you mentioned about Germany In which the Ombudsman is not present. What do you do then? So, in general, how did these issues end? And secondly, who are you talking to, if there's no spokesperson in the country on the other side?
ParlaMint-PL_2020-09-11-senat-15-2.u72	Thank you very much, Senator. You're welcome.
