ParlaMint-PL_2020-01-22-sejm-04-1.u1	I promise. So help me God. Mr Jacek Kurzepa.
ParlaMint-PL_2020-01-22-sejm-04-1.u12	Thank you, sir. I would like to remind you that this matter was discussed at the Bureau and Senior Convention. There was a government bill that we adopted at the previous session of the Sejm on supplementary pension and pension valorization. Besides, I will not put this proposal to the vote because it is not related to the agenda, as you know. Thank you very much. I ask the Secretary to read the messages. Sorry, I didn't notice. Mr Andrzej Szejna, Left, with a formal request. You're welcome, sir.
ParlaMint-PL_2020-01-22-sejm-04-1.u13	Mrs. Marshal! High Izbo! On the basis of the article. 184 of the Rules of Procedure I request a break in the proceedings, a convening of the Seniors Convention and supplementing the agenda with information on the Minister of Justice and the Minister for Foreign Affairs concerning the draft resolution of the Parliamentary Assembly of the Council of Europe declaring a gross violation of the rule of law in Poland. On Tuesday, 28 January, the Parliamentary Assembly of the Council of Europe will hold a debate in Strasbourg on the functioning of democratic institutions in Poland and will adopt an appropriate resolution. In this resolution, it will compare the situation in Poland, the situation of democratic institutions, with the situation in other undemocratic countries of the world. Therefore, I believe that the request for information from the Minister of Foreign Affairs and the Minister of Justice is justified at this time, because this debate, this resolution, may be another blow to the Government of Law and Justice, but above all in the Republic of Poland. Thank you. Thank you, sir. Firstly, the proposal is irregular, and secondly, Mr President, I understand that the application to check the rule of law in France should also be considered, right? If it's not... The proposal is non-regulatory. Thank you very much. I'm not putting him to the vote. Mrs. Marshal! But there's a request for Poland, not France...
ParlaMint-PL_2020-01-22-sejm-04-1.u14	Mr Grzegorz Braun, Confederation, with a formal proposal. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u15	I bow down. God bless you! Oh, my God! Formal request for a break to convene the Senior Convention and to put on the agenda an urgent process on a citizens' proposal called popularly: stop 447. Come on. Citizen project. Over 200,000. The signatures have affected your Marshal's hands. For the first time since time immemorial the Polish Parliament has a chance to act actively, not reactively. It was supposed to be paid in November. The Sejm of the Republic of Poland has the chance to mark the position of the Republic of Poland on the matter of property called by some without a fall, by others - inheritable, Jewish property on the territory (the bell) of the Republic of Poland... Thank you, sir. ...before the U.S. Department of State presents a congress report on this.
ParlaMint-PL_2020-01-22-sejm-04-1.u16	Mr President, I would like to inform you that the proposal is, firstly, irregular and you should know that, and secondly, at the moment, a citizens' request has actually been received and is formally checked in accordance with procedures at the Sejm Registry. According to the regulations, he'll find his finale within three months... [[Speech Off the Microphone]] No, sir. He'll find his finale here in the Seym. Thank you very much. Signatures will not be disclosed. Please, Mr Maciej Gdula, Left, with a formal proposal.
ParlaMint-PL_2020-01-22-sejm-04-1.u17	Dear Marshal! High Izbo! I submit a request for a break and a call of the Senior Convention on the information of the Prime Minister and the Minister of the CBA Special Services Coordinator. This is an extremely important issue, disgusting public opinion. The public wants clear information about what is happening at the institution called for the fight against corruption. Today there is embezzlement in an institution that is called upon to fight corruption. This can't be right. [[Applause]] that there are different amounts. The highest amounts that appear, please countries, account for 7% the budget of the institution. We can't tolerate that. The Prime Minister and the Minister should tell us what's going on at the CBA. We should be clear. Thank you very much. [[Applause]] Augias' stable.
ParlaMint-PL_2020-01-22-sejm-04-1.u18	Thank you, sir. As you know perfectly well, in the service, not everything can be public. I will repeat this once again: this issue will be dealt with by the Commission for Special Services. This proposal has already come to an end, so that I thank you, Mr President. I ask Mr Wiesław Buż of the Left for a formal request.
ParlaMint-PL_2020-01-22-sejm-04-1.u19	Mrs. Marshal! High Seym! I'm asking you to order a recess and call the Senior Convention. I propose that a point be placed on the agenda concerning the submission by the Minister of Finance and the Financial Supervision Commission of information on the restructuring of the bankruptcy of the Podkarpackie Cooperative Bank... It's already been done. ...and to inform the High House of what this new project was put in place to restructure this bank. The Financial Supervision Commission and the Banking Guarantee Fund have applied a precursor, little known restructuring method. Please present this method to the High House and indicate its location in banking law, as there is no pattern for saving banking with this restructuring path. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u20	Thank you, sir. I do not think you have noticed that you have repeated the proposal that has already been made in this House. So listen to each other, because sometimes we repeat ourselves unnecessarily. Ha, ha, ha! Finally, with a formal proposal by Mr Michał Szczerba, the Civic Coalition. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u21	Mrs. Marshal! High Izbo! I would like to request that the sitting be adjourned by noon. 11 and during this time, you have prepared information by the Marshal on the situation related to letters of support to the National Judicial Council. [[Applause]] Ladies and gentlemen! We have a very clear judgment of the Supreme Administrative Court, which concluded that the letters of support are to be made public. We also have a verdict from the provincial administrative court, which said that GDPR regulations do not apply when certain documents are requested by the court. Ladies and gentlemen! Yesterday we were dealing with a panic decision last minute of the President of the Olsztyn regional court Maciej Nawatki, a judge in his own case, who wrote at home on a piece of paper... What was he supposed to write on? ...the order of the President of the Court concerning the cancellation of the delegation of Judge Paweł Juszczyszyn. Scandal! Ladies and gentlemen! This is a situation that shows that judges may not be on the phone (the bell), the judges may be on a text from the Ministry of Justice. Thank you very much, sir. They are de facto blocking the execution of the administrative court's judgment. [[Applause]] Breaking the law, Marshal.
ParlaMint-PL_2020-01-22-sejm-04-1.u22	Thank you for your request. The proposal is non-regular, which is why I'm not announcing a break. On the other hand, I would just like to say that the Marshal of the Sejm is not a party. Please tell the Marshal of the Sejm from the Sejm Chancellery. [[Joy in the O.R., applause.]] But the marshal won't prohibit... I would very much like to ask the Secretary to read the messages. It's all trouble, President.
ParlaMint-PL_2020-01-22-sejm-04-1.u23	I would like to inform you that the following Commission meetings will be held today: - Public Finance - hour. 10.30, - to Energy and Treasury - hour. 10.30, - Infrastructure - hour 11, - Culture and Media - hour 11.30, - Special Services Affairs - hour. 12, - for Petitions - at 10 p.m. 12, - Maritime and Inland Shipping - h.m. 12, - Communication with Poles abroad - hour. 12, - Administration and Home Affairs - hour. 13, - to the European Union, at 3 p.m. 13, - Senior policy - h.m. 13, - for Petitions - at 10 p.m. 13, - Public Finance - hour. 13.30, - Education, Science and Youth - hour 14, - Physical Culture, Sports and Tourism - hour 14, - Protection of the environment, natural resources and forestry - h.m. 14, - to the European Union, at 3 p.m. 2.30 p.m., - Rules of Procedure for Parliamentary and Immunity Affairs - hour. 15, - Public Finance - hour. 16, - National Defense at 5 p.m. 16, - Economy and Development - h.m. 16, - Health-- hour. 18, - Public Finance - hour. 19. The following parliamentary teams will also be held today: - the Podlaskie Parliamentary Team - at 10 p.m. 10.30, - Parliamentary Group for: Africa - hour 11.30, - Parliamentary Group for: Oncology - hour 13, - Parliamentary Group for: Development of the Central Pomerania - hour 14, - Parliamentary Group for: Vaccinations and Promotion of Health - h. 15, - Parliamentary Group for: Volleyballs - hour 16, - Parliamentary Group for: Fair Energy Transformation - hour 17, - Parliamentary Group for: Protection of the Greater Poland Lake District - h.m. 18. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u24	Thank you, Member. We proceed with the examination of item 1 of the agenda: First reading of the parliamentary draft law on amending the Law on the departments of government administration and some other laws (prints No 158 and No 158-A). I ask Mr Jarosław Krajewski to present the reasons for the bill. [[Game in the O.R.]] Ladies and gentlemen, please, let us begin point one. I ask those Members who are not interested in this project to have conversations in the clowns, because it really bothers them. I would like to ask Mr Jarosław Krajewski to present the reasons for the bill. You're welcome, sir.
ParlaMint-PL_2020-01-22-sejm-04-1.u25	Dear Marshal! Prime Minister! High Izbo! I have the honour to present a bill amending the law on government departments and some other laws. This is a very important amendment, which we can define a systemic and complementary improvement in government work. This amendment, which we have presented to the High House, will first and foremost lead to the creation of two new departments of government administration: the first department - state assets and the second section - climate. These two general amendments, which are contained in this draft law, will also result in changes which will be made in almost 100 other laws. This shows in particular how a number of proposals that have been included in this amendment, in our view as applicants, will contribute to improving the administration's activities and meeting the new challenges that I will talk about in a moment. Since we are talking about government administration, it must first of all be stressed that a strong and efficient state is largely an efficient and effective government administration. And in this direction we aim as representatives of the applicants - to address these challenges that have arisen and which were included in the exposé of Prime Minister Mateusz Morawiecki, in the programme of Law and Justice and the United Right. The idea is to organize the work of government administration so that in four years it can be said once again that the Law and Justice kept their word to Poles, that first of all our identification mark is credibility. But in order to achieve that, we need to make these changes. This project is based on the three pillars and the basic objectives pursued by the applicants. First, optimization, second, rationalisation and third, increasing efficiency in management. It is also worth noting that a strong and efficient country is one that can respond effectively to new challenges. This project can, of course, be seen as a natural change, which also stems from the experience of the 4 years of the rule of law and justice, but also from reaching conclusions that are intended on the one hand to strengthen the management of state assets and, on the other hand, to improve the efficiency of climate policy, energy policy and environmental policy on the other. In a few details, I would like to provide the High House with basic information on these two divisions: state assets and the climate. According to the justification, in order to ensure the rational and efficient use of state property, which is worth emphasising - the increase in its value and the achievement of the state's most important economic policy objectives, we propose the separation of state assets. Here we want to focus primarily on the scope of the management of state property, the exercise of property and personal rights, the State Treasury, as well as the protection of the interests of the State Treasury. We want to achieve this by increasing the coherence of actions in these areas. So it's about those priorities that we want to pursue as a government of law and justice. At this point, we can talk about the concentration of these powers within the remit of the Minister for State Assets. However, in order to pursue an effective environmental policy, an effective climate policy, we propose to separate the environment of the new section - climate. This is, of course, a response to the growing interest and new challenges of climate policy - both in national terms, the increasing perception of citizens in climate policy, but also in cooperation with the European Union and international cooperation. It is worth recalling the recent climate summit in Katowice, this Katowice declaration. I think that Poland here has a lot of challenges, which must also result in strengthening the climate department. In this area I've been talking about, it doesn't fit either... This also affects foreign policy issues. Here we propose provisions which make changes in matters covered by the Republic of Poland's membership department in the European Union. This is also a clarification of some of the powers of the Minister in charge of this department. I will talk about this in a few sentences, so that the High House can be sure of the direction we are taking as the applicant of this project. If we're talking about... I'll be back in state assets for a while. This section covers matters relating to the management of state property, the exercise of property and personal rights held by the Treasury and the protection of the interests of the State Treasury, except those which will remain in the jurisdiction of other departments under separate regulations. The Minister responsible for State assets will represent the State Treasury in the management of state property. As far as climate is concerned, it covers climate issues and sustainable development. These proposed rules define the specific tasks to be carried out by the Minister for Climate Affairs, such as the implementation of the European Union's climate policy, the system for managing greenhouse gas emissions and other substances, and the trade in greenhouse gas emissions, waste management, energy efficiency and the development and use of renewable energy sources. As part of the proposed amendments, we also define the scope of matters belonging to the Republic of Poland's membership department in the European Union. This section is being moved to the foreign affairs department on information and education activities for the dissemination of knowledge about European integration and the principles of the functioning of the European Union and on the policy of the Council of Ministers in this field. It is also worth informing the High House that, for example, in the context of these proposals from the applicants, we also want to save the protection of the interests of the Republic of Poland in relations with the institutions and bodies of the European Union and clearly indicate the monitoring of the execution of judgments of the judicial authorities of the European Union. If we go back to a few more issues that I think are important, if we look at the tasks within the State's asset division, it is worth reminding that this project includes, among other things, the project. a solution which obliges the Minister responsible for State assets to be the competent authority to consent to the purchase or construction of real estate for the purposes of government administrations. Of course, with regard to the proposed changes, the fundamental ones that are relevant to the proposed reform of the management of state assets, it is worth recalling that this proposed amendment envisages gathering these competences mainly in the capacity of the Minister responsible for State assets compared to the current situation, when both the President of the Council of Ministers and individual ministers are responsible for certain entities of the Treasury. If we are talking about this project, it is also worth recalling that part of the amended legislation is the implementation of European Union law. In this respect, the Energy Law or the Environmental Law should be indicated. Some of the changes, as I mentioned at the beginning, are editorial in relation to the separation of two divisions of state assets and climate. But it is also worth it - and I think we will work on it in the Committee on Administration and Home Affairs - to work on a number of substantive solutions that are aimed at efficient government administration and to guarantee optimisation and rationalisation and increase the efficiency of government administration. I would also like to mention the self-correction made to this project, which provides that the government's proxy for equal treatment will be the Secretary of State at the office serving the minister responsible for family affairs. I am in a hurry to inform the High House that today it is the Secretary of State of the Chancellery of the Prime Minister. If we are talking about vacathio legis, because I think there will also be questions about it, we propose that the law enter into force 7 days from the date of the announcement with the exception of two articles which enter into force on the day following the day of the announcement. These are issues related to the order to inform employees within 7 days of changes in their employment relationship. If we are talking about vacathio legis, I would also like to refer to the appeal which was led by Members of the Civic Platform or the Civic Coalition who called on the government to adopt the law on departments as soon as possible. When we go across the street, we propose as an applicant that this term vacatio legis reduce to 7 days. I hope that Members of the opposition will help to ensure that this law is carried out efficiently in Parliament, so that it can be undertaken in a complementary, comprehensive manner to the priorities of the Government of Law and Justice and the rule of the United Right. Finally, it is important to emphasise once again that every Member who will vote on this law, on this project, should remember fundamental issues. And so I think that our goal as applicants, and mine as the representative of applicants, is to achieve optimisation, rationalisation and efficiency and efficiency of government administration. Please accept the project. Thank you very much. [[Applause]] [[Chairman of the session includes Deputy Marshal Ryszard Terlecki of the Sejm]]
ParlaMint-PL_2020-01-22-sejm-04-1.u26	Thank you very much. The Sejm agreed that in the discussion on this item it would listen to the five-minute statements on behalf of the clubs and the circle. I'm opening a discussion. As the first Mr Zdzisław Sipiera, the Law and Justice Club.
ParlaMint-PL_2020-01-22-sejm-04-1.u27	Mr. Marshal! Prime Minister! High Izbo! The draft law on the amendment of the Government Departments Act presented today at first reading is a very important document concerning the ordering of what is important in the administration, i.e. the adequacy of what is due to the needs and what is happening around us, as well as the needs that the government sees in the course of its management, and for which it is concluded that such changes should be made. In this law, the main issues are two large divisions created and mapped, i.e. state assets and climate. State assets collect from many fields and from many departments of competence. Taking into account the experience that has been and has been in place so far, it seems that this particular design element is very important and very important, because it organises and places in one place the most important functions that the Minister responsible for State assets will have. This is supposed to be rational and efficient management of state property, increasing its value. It is very important, it is the essence - supervision not only in the sense that companies dependent on the state exist, but also in order to increase their potential, their value. Implementation of the State's economic policy as well as the exercise of property rights and protection of the interests of the State Treasury. In one place, in one hand and under one direction. These changes concern many areas, many elements of public functions and competences which are now ceded as ministers. These are issues such as opposing the decision to liquidate state enterprises, supplementing the membership of the Export Insurance Policy Committee, strengthening supervision of public assets of special economic spheres, filling additional representatives including the board, role in matters of banking law, foreign exchange law, public aid to entrepreneurs, control and supervision of concession obligations, increasing the number of members of the Board of Bank Gospodarstwa Krajowego, responsibility for breaching the discipline of public finances. Crisis management involving the Minister of State Assets, his representative as well as the Minister of Climate Affairs. This is a very important thing, it has often happened, these disasters occur, there are various kinds of doubts, now it is and will be ordered in the scope of this law. Acquisition of shares from the State Treasury in the process of consolidation of companies in the electricity sector. Increase the share of ownership supervision through two representatives in Poczta Polska. The Consultative Council - also there, the Minister for Assets will have a representative. Decommissioning body of the budgetary unit. This is a very important thing, the decision was in different places, at the moment it will be in one - in the hands of the Minister of State Assets. Diet, set aside and spread out on installments. Granting consent to the purchase or construction of real estate for the purposes of government administrations. In one place - specifically it will be the Minister of State Assets. Participation in issues related to the state monopoly on gambling. And a few other competences - very many, in one place, in a large combination. That's a very good solution. And what has already been said, as also mentioned by the rapporteur, Mr Krajewski, the climate. Here's the separation of two functions. We believe that this is also a very important thing, and there have been many discussions on this subject. Climate is an important element not only in Poland but also in the European Union. This is to sanction the fact that, in terms of effective environmental, climate, energy policy and the increasing role of these problems in the international dimension, the implementation of the European Union's climate policy and environmental protection and development will be part of the new climate minister. The proposals put forward by Members in this bill are very concrete. Ladies and gentlemen, this is almost 100 laws that need to be amended, so that this is a very deep law, although mostly clarifying and sanctioning these two new departments. On behalf of the Law and Justice Club, I would like to ask you to support this request, which, as I said, we believe is a very well-prepared, well-thought-out and ordering proposal for the functioning of the public administration. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u28	Thank you very much. On behalf of the Civic Coalition Club, Mrs Gabriel Lenartowicz. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u29	Mr. Marshal! High Izbo! I, following the rapporteur - who forgot to sign up for this project - appeal to the Prime Minister this time. There are fundamental things. One of the fundamental issues is good governance and management of the most important executive body, the government. And here we are dealing with the situation that since the establishment we have a de facto government of extortion, not to say: the bankruptcy mass of resorts, which are either gone, e.g. technology and entrepreneurship, energy and the Treasury or the environment, or in fact there is not yet, because without the assignment of specific competences. It's mostly climate and state assets. However, since November, we have only announced the preparation of such an act by the government. And what do we have? Nothing. Today, we are looking not at the Prime Minister's proposal or the government's proposal for a device of executive authority, but at the nightmares that PiS has declared. The amendment has 58 pages, concerns dozens of laws, while the original law is half as extensive. So let's take a look at how somebody in the prime minister's office is holding a government. Because in a group of Members - supposed authors there are neither coalitionists nor members of the government concerned. Even the rapporteur, as I mentioned, forgot to sign his name and had to add that he also supported it. There is also no Member of the Council of Ministers waiting for a briefcase, a minister named Wosia, whose Prime Minister, in the regulation, committed to preparing the scope of tasks to be dealt with in the Ministry of the Environment of the hull. Unfortunately, in this project against climate assurance There isn't, either, because it's not enough to name something that's gonna happen. From the Ministry for Climate Policy, there was a name, i.e. what was already in the environmental ministry, plus the hull RES, because not even all the competences in this area. Of course, without the most important climate issue strictly, without energy policy, which is allocated to Minister Sasin in the section. It seems that the climate issues of the PiS eventually lead to smog and trash and the simplification of Brussels and draw money from the Union for this purpose. This is not surprising, because in the national environmental fund, which remains the responsibility of the Minister of Climate, the money is almost gone, because it seems to be going to other things either to Torun or to self-government roads, and this is not the environment. And the resort, the environmental department? It has been hypothetical supervision of the state in the state of State Forests and hunters, as well as extremely difficult cases, because conflicting GMOs, conflicts with the European Union against the Vislane Land and outstanding conflicts about the Białowieża Forest, among others. from UNESCO, and conflicts with NGOs. To sum up, as far as the environment is concerned: no power, no risk, so no wonder that the Minister's signature is not there. Finally, the most important state assets, i.e.: everything we have, Sasin will be given back, of course, by depriving the coalitioners of the fructs, and the Prime Minister himself by limiting the impact. Looking at the Prime Minister's regulation, as well as the Decree of the Minister of Assets, which concentrates power over all gold-bearing companies, in terms of jobs and money, companies of the Treasury in one hand, we can see that - one regulation of the Prime Minister on the list of companies which appeared in December, the other right now, Minister Sasina, even before this law, which we have only just started to process today - over 200 entities, companies, institutes will be subject to the resort of state assets. And a division is proposed for vice-ministers. Of course, the biggest companies, energy in the hands of the Deputy Prime Minister. The whole illustration is well illustrated by the philosophy of ruling the PiS: chaos and division of spoils. Someone, Prime Minister - you are not here, this is not a fundamental thing - is the government. Do you know if you want to avoid responsibility? However, Prime Minister, governing the state is too serious. So we call for this project to be rejected at first reading (the bell) pending your offer, Prime Minister, and your responsibility for the fate of the state. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u30	Thank you. Now Mr Wiesław Szczepański, the Left Club, has the floor.
