ParlaMint-HR_2018-12-05-0.u101849	Thank you, time. Mr. Marko Vučetić on behalf of the Independent Representatives Club.
ParlaMint-HR_2018-12-05-0.u110928	Good morning, honourable MPs and MPs. We'll start working. Based on Article 247. Rules of Procedure, the Legislative Committee has proposed to the Croatian Parliament that 33 points held today be held in the debate, because they are all related to the Final Proposal of the Law on the State Inspectorate, which is in the second reading, as you know, P.Z. No. 459. All of these remaining points are, in fact, only in a way, related to the minimal changes in other laws so that these other laws comply with the Final Proposal of the Law on the State Inspectorate. Of course, I have to ask if you're okay with it. Here you go, the first man to raise his hand was a respected representative.
ParlaMint-HR_2018-12-05-0.u110929	Thank you very much, Mr. Vice President. We disagree with this proposal because this is about order of the Croatian Parliament to one party, one person. Today we should discuss lex chair, lex Mikulić, lex earlobe, meaning one function and the Croatian Assembly should be 33 points, 33 laws to unite to create a single function for its member, Andrija Mikulić So it is not something that is of interest to the Croatian Parliament and we invite you to discuss each point in person and invite you, if there is no time, unless there is time individually, ok, the lapus happened, it is a really big tragedy, means each point individually, if you do not have time today, I invite you not to take a break 15.12. and a month we go but to continue to discuss these points as well. [[Thank you very much, we understand.]] So I'm asking you, not the Parliament, the highest institution in this country to submit to HDZ, And I told Andri Mikulic, and I told the lex chair, the lex ear. [[Intruder Reiner: Thank you.]] Thank you very much.
ParlaMint-HR_2018-12-05-0.u110930	Thank you, we understand, thank you very much. Honorable representative of Sladolev.
ParlaMint-HR_2018-12-05-0.u110931	Thank you, Mr. Vice President. We at MOST also disagree with a united debate because we believe that here one man is given Pharaoh's power, that the law is made only for one man and that this trade coalition in the Zagreb Assembly is therefore humane and that the citizens of the city of Zagreb must not be hostages, that the Parliament has become the vote of law only because of one man and we ask that individual debates be held.
ParlaMint-HR_2018-12-05-0.u110932	Thank you very much. Since there is, of course, no single position on this, then we must vote on this proposal. I ask you then to approach the vote on this proposal, so who is for the proposal to unite 33 points that I repeat all related to the Final Proposal of the Law on the State Inspectorate and it is literally minimal changes, almost in some just one word to comply with this law. Please, who's in favour, we'll vote manually, who's in favour of a united debate? Please, please... [[Intruder Bull: Not manually, you have no quorum.]] [[I don't know what you're talking about.]] Please, please, please, please, let's not yell. [[I don't know what you're talking about.]] Please nice, please nice, don't yell from the bench. [[I'm looking for a quorum check.]] We can talk normally without yelling, without yelling at each other, etc., right. So, for a situation like this, the need for quorum is not foreseen... Let me read you Article 247. Part 3 applies to this situation. [[I don't know what you're talking about.]] ‘On the proposal of the Chair of the Working Body of the Legislative Committee, in particular here or club representatives, on two or more points of the established agenda, a joint debate may be held if the majority of the representatives present agree on this.’ You know that I strictly stick to the Rules of Procedure, therefore, colleague Maras, if you really think that the Rules of Procedure is injured, I will, of course, approve it but don't abuse it.
ParlaMint-HR_2018-12-05-0.u110933	Let them warn you, there's nothing at all controversial. This is scandalous. You can't gather in the assembly most of the MPs...... An article that defines the decision-making process has been injured, most MPs are required to make decisions at the meeting of the Croatian Parliament. [[I don't know what you're talking about.]] It's hurt, so it's a matter of voting logic and the functioning of the parliament, so you can't vote with two MPs on the issues that you want. So the majority should be present at the session.
ParlaMint-HR_2018-12-05-0.u110934	Thank you very much, thank you very much. Comrade Maras, you are, I have read you the Rules of Procedure, I have read the provision of the Rules of Procedure which speaks exactly about this situation, you have nevertheless raised a breach of the Rules of Procedure, I have to give you a warning because I do not know, either you have not understood or you are not up to it to understand, I do not know, if I read you something and you speak yours. Dear Representative Domagoj Hajdukovic, please.
ParlaMint-HR_2018-12-05-0.u110935	Thank you very much, Mr. Vice President. So the article you quoted was injured because it does not say anywhere here that most of the votes of the representatives present decide, says what you quoted, so on the proposal of the chairman of the home working body, the Committee on Legislatives or Clubs of Representatives of two or more points of the established agenda can be held a united debate, a point, the end of the quote and the end of the article.
ParlaMint-HR_2018-12-05-0.u110936	Read next, read next I'm sorry, I don't know which Rules of Procedure you're reading, but I've read you the current Rules of Procedure. [[So, I don't see it.]] Uh, maybe you old Rules of Procedure are reading, I don't know. Comrade Bulj, you will remain in breach of the Rules of Procedure, please.
ParlaMint-HR_2018-12-05-0.u110937	Thank you very much, Mr. Chairman. So here we see what kind of Rules of Procedure has been passed that it doesn't really take most of the Parliament to be a majority. So, this Rules of Procedure has been passed exactly adapted to do whatever you want, however you want, for parliamentary deputies to vote. 247. The Rules of Procedure are not democratic, you have brought not democraticly this Rules of Procedure, You have brought no need for most.../ Intruder: colleague Bulj, I am giving you a warning/...in Parliament, and that you can do whatever you want [[Aggression: A colleague]] Well, you've brought it in. [[Intruder: because you cannot interpret the Rules of Procedure whether he is democratic or not]] Nicely done by the Parliament. [[Intruder: So you will begin for every law etc., not this plaque, this is HS nevertheless]]
ParlaMint-HR_2018-12-05-0.u110938	.../Intruder: I'm giving you a warning and this, please, we're going to vote... Well, we can do it electronically. We can electronically, come on, organize, please, that electronically, if it makes you happy, we'll electronic. Who's in, please? Okay. Who's against it? So, uh, it's unanimous with one vote, excuse me, one vote against, you get a second warning from your colleague Maras, and I forbid you to speak any further today, please.
ParlaMint-HR_2018-12-05-0.u110940	Dear Vice-President, I agree with you on this, about the way the vote was determined, means, on the agenda, most of the representatives present, but in order for the vote to be held in accordance with the Rules of Procedure, we need to know how many people voted, so I ask you that the professional services of the Assembly determine how many people voted, meaning, for this proposal on a united debate, how many were present and how many people voted in favour of a united debate. No, not all of them, not all of them present, and I'm present, I didn't vote, no, I didn't sign up. It's my right. [[Intruder: Please]] I agree. [[Intruder: Please nice, let's not yell first]] Please, dear colleagues, please calm down the tensions, determine the number of people who voted, so for a united debate and continue the debate. [[/Intruder: That's how we start.]] There's no need for tension [[/Intruder: That's right, I agree.]]
ParlaMint-HR_2018-12-05-0.u110941	We have the number, please, as long as it was Z and one was against it, here you go. So, please, can we please, please, calm down now, we've done everything right, right, colleague Grumoja, don't you agree with me that we've done as correctly as we should be, therefore, please, now we're going to have a debate, uh, and, here you go, colleague Jovanovic.
ParlaMint-HR_2018-12-05-0.u110942	On behalf of the SDP Club, I'm asking for a break to consult whether we're going to take part in a debate on these points in view of the unseen, undemocratic, and let's calm down a little, what is it, what are you nervous about? Give everyone a warning, what you're nervous about, you'll vote, you can do anything [[Intruder: Come on, please, let's calm down, let's let colleague Jovanovic normally say what he wants to say]] you can do anything in the interest of HDZ, you don't care about the interest of the Parliament, the integrity of the Parliament, the interest of the citizens, it's important that Lex Mikulić votes, that a man sits in a chair and does what he wants. [[Agreement: Here is my colleague Jovanovic]] Shame on you. Every day you tear down Parliament's dignity, this vote, so that's, that's a cartoon of democracy, so why didn't you at least raise 76 votes to vote, so embarrass yourself and this Parliament. I'm looking for a recess so we can consult on the follow-up.
ParlaMint-HR_2018-12-05-0.u110943	Is that what you want? We're not on you, and we'll never be with those guys. I'll never be on you.
ParlaMint-HR_2018-12-05-0.u110944	Thank you very much, Vice President. So, on behalf of the Living Wall and Power Club, I'm looking for a break of 10 minutes to consult within the club on a situation where we have to discuss 32 points today, which is precisely scandalous because it's known that only a proposing person has to talk for 30 minutes, and only then the MPs should come in line. So, you're cutting down some debate that would only take 16 hours to explain, and all to give a position to a man who is deeply involved in potential illegalities, which points to the 2016 State Audit report, which clearly indicates that mining concessions in the Republic of Croatia have been awarded in a non-transparent way, guessing a company and guessing a circle of friends around Mr. Andrija Mikulić. You have this State Audit report, too, but no matter what, you want to give this man the authority of the Deputy Prime Minister and even in some way the Deputy Prime Minister, who will assign jobs to those who are party-like in Croatia, and all those who are professional and who want to do their job fairly will be persecuted and destroyed like those poor people you charge 10 thousand fines for several kuna extras in the register. According to this, we believe that, because of the interest of the Croatian public, this debate must be conducted gradually and therefore the reasons why we are looking for consultations in the club.
ParlaMint-HR_2018-12-05-0.u110945	Thank you, dear representative of Nikola Grmoy.
ParlaMint-HR_2018-12-05-0.u110946	Dear Vice President, I have deliberately asked for votes to be counted and to show all the hypocrisy of HDZ and the ruling, so I'm looking for a break on behalf of the MOST Club to consult. Namely, when it suits you, you refer to the Rules of Procedure, although it is obvious that most of the opposition and most of the parties are against what you have proposed in the Croatian Parliament here to discuss these numerous points unitedly, and when you have another situation when you have on the Committee on Foreign Policy violated the Rules of Procedure to impose a certain conclusion on you, for example. At that time, you do not want to invite dear colleagues to the Committee on the Constitution and Rules of Procedure. I'm up to a number of complaints, waiting for the delegation to go to Marrakesh, and you don't want the Rules of Procedure Committee to meet. Your hypocrisy is revealed today, so stick to the Rules of Procedure when it answers you, and when it does not suit you then don't stick to the Rules of Procedure, so that this man here who is tense as a rifle is just waiting to fly into the chair means the chief state inspector and this store of yours, the trade of HDZ, Milan Bandić, the image of the situation in Zagreb here to the National Assembly or to the Croatian Parliament is absolutely unacceptable to us. So now we're going to think very carefully about whether we're going to participate in this debate, and I ask you as vice president of the assembly, to take up my complaints about where the Rules of Procedure has been broken, which is an urgent debate between the Committee on the Constitution and the Rules of Procedure, don't do that, don't call on the Rules of Procedure when it suits you, and when it doesn't suit you then break it.
ParlaMint-HR_2018-12-05-0.u110947	Thank you very much, this I, of course, will meet and discuss, there is no doubt about it, the board has to discuss it. Uh, the esteemed representative of Jelkovac.
ParlaMint-HR_2018-12-05-0.u110948	Thank you very much, Vice-President, I request a break on behalf of the HDZ in order to point out once again to the club members how the legislator proposed this by the legislator, in accordance with the current Rules of Procedure, and I would like to point out once again that this conclusion was reached unanimously by the Committee on Law, which means that they participated in the vote and representatives, members of the opposition representatives. So, precisely because such a proposal is justified because in these 32 draft laws, changes are of a technical nature and there is no need for each to be discussed individually because the changes are practically identical in each of them. That is why we have proposed that a joint debate be discussed in order to discuss all of this at the same time, because we have had such examples in the past when the government of the SDP, or their coalitions, was also uniting over 30 laws, it is in accordance with the rules of the Rules of Procedure and there is nothing that should require such sketches in the assembly. These sketches are purely for political reasons, and in the end those who propose and disagree with this proposal do not want to take part in the vote. That's ridiculous. Thank you.
ParlaMint-HR_2018-12-05-0.u110949	Thank you very much, of course, given the request for a break, I'll take a break by 10 and 3 minutes. It's 9:00 P.M. CONTINUED AFTER THE MEETING AT 10:05 P.M. Dear colleagues and colleagues, here is our break time, so please take your seats. But before we go to the debate, let me welcome the galleries of students and students of the Petra Preradovic elementary school from Pitomaca. Here. Here you go, colleague Maras.
ParlaMint-HR_2018-12-05-0.u110951	Thank you very much, Mr. Vice President. I just wanted to let you know one thing, so the SDP Representatives' Club will not participate in this political soap opera created by Mayor Bandic and Prime Minister Andrej Plenkovic, where one man was affected by the chair of the chief state inspector and where you personally subordinated the Croatian Parliament to this ambition,...
ParlaMint-HR_2018-12-05-0.u110952	Thank you very much, uh...
ParlaMint-HR_2018-12-05-0.u110953	... where 33 laws we're discussing this one,
ParlaMint-HR_2018-12-05-0.u110954	Thank you very much, but you can't talk to a colleague.
ParlaMint-HR_2018-12-05-0.u110955	... all of a sudden, where you made an amnesty from the Croatian Parliament, 46 MPs were present and here on that side I would just like to inform you about that, that the Club of Representatives in this
ParlaMint-HR_2018-12-05-0.u110956	We'll, uh, start with a point and first I'll ask you to let you know that the motionary of the Government of the Republic of Croatia is based on Article 85. The Constitution of the Republic of Croatia and Articles 172, 204 and 206. Rules of Procedure of the Croatian Parliament. On the occasion of the agenda, we accepted the proposal from the motion that these legislative proposals be discussed in accordance with Rule 204 of the Rules of Procedure. The emergency procedure shall combine the first and second readings, and the amendments may be submitted by the end of the debate pursuant to Article 197. Rules of Procedure. The debate was conducted by the Committee on Law, the Committee on Agriculture, the Committee on Economic Affairs and the Committee on Health and Social Policy. The Government has submitted amendments to all those acts, except for the Final Proposal of the State Inspectorate Act, II. reading, PZ No 459, and they become an integral part of the Final Proposals of the Law. Please. Would the proposing representatives like to give an additional explanation? Yeah. Minister of Economy Darko Horvat. Here you go.
ParlaMint-HR_2018-12-05-0.u110957	Dear Vice-President of the Croatian Parliament, appreciation and respected parliamentary representatives and MPs. After a parliamentary debate in the first reading in October of this year, today we have a final proposal for the State Inspectorate Act. The adoption is the State Inspectorate Act, the Government is an obligation stemming from the National Reform Programme for 2018. The National Reform Programme has identified measures to strengthen the competitiveness of the economy and improve the business environment, including the pooling of inspection services. As you have previously learned, this Law unites inspection affairs from the jurisdiction of 17 inspections currently formed within 8 ministries. We are talking about the Ministry of Economy, entrepreneurship and crafts, work and pension systems, tourism, environmental and energy protection, agriculture, except for the fisheries inspection, health, construction and spatial planning, except for the supervision of state-owned buildings and part of the customs administration of the Ministry of Finance, which were in the area of the State Inspectorate before it was abolished. The text of the Final Proposal of the Law has been completed by respecting the observations made by the parliamentary working bodies, then making observations and proposals through the parliamentary debate, and by respecting the opinions of the resolutions from which those inspection tasks are taken over. In particular, one of the remarks made during the first reading parliamentary debate concerned the division of inspection operations in the area of construction. The point of reference is accepted and the final proposal of the Law defines the part of the construction inspection in a way that the State Inspectorate takes over the complete inspection tasks of the inspection building. Furthermore, through the parliamentary debate, it was also proposed to define the issue of cooperation between the Chief State Inspector and the Minister of Defence, i.e. the Minister of the Interior. In this context, additions have been introduced regarding the performance of operations in the department of State Inspectorate for the purposes of the Ministry of Defence or the Ministry of Interior. These are provisions contained in certain applicable laws governing inspection operations undertaken by the State Inspectorate. An objection on the possibility of legal protection of inspectors, i.e. the Chief Inspectorate, will be accepted in the event of the conduct of criminal proceedings against an inspector who is initiated by a private prosecutor in relation to the conduct of regular affairs and tasks in the area of the State Inspectorate. However, the same costs will subsequently be charged by persons who are obliged to pay them in accordance with specific regulations. As regards the conditions for a forest inspector, it was also accepted in a way that a certified expert examination for a forest inspector, a senior forest inspector and a senior forest inspector was required. An additional part of the energy inspection has been arranged, and specific provisions on joint inspections in the field of energy have been added. A part-round inspection of the protection of nature has also been carried out and a new provision has been added concerning the handling of the request for search warrants by the competent criminal court. A new date for entry into force of this law is also proposed, i.e. on 1 April 2019. It is necessary, in parallel with the adoption of a new law, to adopt the Law on Amendments and Supplements to the Law on the Construction and Circular of Ministrys and other central authorities of the State Administration to establish a State Inspectorate. It is necessary to implement, in particular, legislative activities already under way which will comply with the provisions of the State Inspectorate Act, in particular in the part of the provisions on jurisdiction to carry out inspection controls. It is also necessary to take preparatory action to start the work of the State Inspectorate. For this reason, at the meeting held on 22 November 2018, the Government decided to set up a working group to prepare the work of the State Inspectorate to coordinate and prepare all necessary activities. The Ministry of Economy, entrepreneurship and craft has so far received proposals from members of the working group from almost all the competent authorities and the working group will start working next week. We will try to plan for the first meeting of the same task force to be held at the beginning of next week in order to make all the necessary proposals for the sublegal acts necessary for the start of the work of the State Inspectorate in due time. In addition to legislative activities, it is necessary to carry out a number of technical preparations for the start of the work of the State Inspectorate, in particular taking into account the number of inspections to be combined. And that is one of the main reasons why we suggested that the law enter into force not from 1.1. but from 1.4 next year. During the parliamentary debate, an objection was made to a provision authorising the building inspector to collect personal and other data in a person’s home without prior consent if the home is also a construction site. We have considered the objection and decided not to accept it for reasons that the exception applies only to the case where inspection supervision is carried out on a building which is also home to the party. Therefore, the purpose of this exception is to enable the exercise of inspection supervision, the building inspector in the situations in question. With regard to the internal structure of the State Inspectorate, we continue to believe that this law does not require the establishment of the headquarters of the district offices and facilities, as these issues will be regulated by the Internal Design Regulation of the State Inspectorate. On the basis of the data collected on the capacity of individual inspections, their structure, economic needs and other specificities, it is precisely the regulation that will finally define the number of district offices and facilities that are optimal and functional for the future functioning of the State Inspectorate. I would also refer to the debate in part of the coordination of work and the uniform conduct of inspections throughout the Republic of Croatia and the conditions of work of inspectors. It is in the future State Inspectorate to ensure, through internal procedures, such a way of working to ensure effective coordination of controls between inspections in the inspectorate system and uniform treatment of inspectors and proper application of the principle in the conduct of inspectors in carrying out all necessary inspection tasks. By reducing the degree to which I say repression, i.e. pressure on supervised economic operators, it will allow for the creation of a proactive relationship with economic operators in cases where irregularities have been identified to remove already during the supervision or within the time limit for the elimination of the irregularities in question. I do not agree here with the view of individual parliamentary representatives that such a possibility is not possible in the way it was proposed by the Final Proposal of the Law. It is the provisions of the applicable law on economic inspections that have regulated the application of the principle of opportunity under the Criminal Law in the manner proposed by this final proposal of the law. The application of these provisions in practice shows that supervised economic operators act upon request by the inspector and remove identified irregularities already during or within the time limit given by the inspectors for the removal of detected irregularities. Of course, such a possibility of not processing cannot be applied if the supervised economic operator is in the return of the infringement and if serious infringements are involved. Finally, we propose to the Croatian Parliament to adopt this law that will regulate inspection operations in a more functional manner, because they will be carried out within one single body, which means better coordination between inspections, adequate planning and enforcement of controls in the application of the rules, uniform treatment of economic operators, other words more effective in carrying out inspection tasks, which will allow for better protection of citizens and a greater level of legal certainty for all economic operators. From all of this, we propose that the Croatian Parliament adopt the in question, the Final Proposal of the Law on the State Inspectorate. Thank you very much.
ParlaMint-HR_2018-12-05-0.u110958	Thank you very much. We have a pretty long list of replicas, so we need to start right from the beginning. The first one was, the fastest one was Honored Representative Miranda Mrsic.
ParlaMint-HR_2018-12-05-0.u110959	Thank you very much, Mr. Vice President and Minister. Definitely this is a law called Lex Mikulić and there is no doubt at all we will be surprised if there is someone else at the head of that institution, but also, it is a law that is pre-election, because then the inspectorate of those whose HDZ grudges will touch them a little more than those whose HDZ does not mind. And at a time when HDZ swears to unload the economy, when the HUP scor is one of the lowest in the EU, a new inspectorate is created, with new people, where you will hire your new HDZ, 100 or 200 new people, 1800 chairs, computers and everything else, smells like corruption, which was very much present at the state inspectorate during HDZ.
ParlaMint-HR_2018-12-05-0.u110960	Thank you, Minister Horvat's reply.
ParlaMint-HR_2018-12-05-0.u110961	Thank you, honourable parliamentary representative on this replica, in which I must confess, a lot of flat and incorrect data has been presented, and I must admit, that at least I am not, perhaps somewhere in the center of town it is mentioned, but the number of 1800 has been said today for the first time, and I'm afraid that the number of 1800 has been deplaced the figure we're talking about today. And to call the Law on State Inspectorate lex and something, I can actually only determine the material, for all of us here who are present, therefore, by introducing or uniting 17 inspections, suddenly the central state body, aims to coordinate between inspections, adequate planning and enforcement of controls for the application of regulations, uniform treatment of control entities, in other words, more effective conduct of all inspection tasks. And through every line, I'm going to read this sentence, because that's my final conclusion.
ParlaMint-HR_2018-12-05-0.u110962	Thank you. The next replica is the respected representative of Tomislav Liposčak.
