ParlaMint-HR_2018-03-02-0.u66330	Dear comrade Grmoya, here you go.
ParlaMint-HR_2018-03-02-0.u66348	Thank you very much. My colleagues and colleagues. I'll repeat the request almost an hour ago. This doesn't make sense. This is a rape of democracy, this is harassment not of us here, but of people who work in the Croatian Parliament. I will warn you, Vice Presidents of the Parliament and Mr. Bukarica, Deputy Secretary of Parliament that people, officials, must not work in continuity for more than 16 hours. Since I've seen some people here at 8:00 in the morning, then after two hours, people shouldn't work anymore. It's a violation of the Labour Act and through a collective contract that officials have. So don't bully people, employees, employees just because Mr. Rainer and Bacic imagined it had to be today. That's all! Well, it's not Mr. Reiner, so this isn't yours, this is the Croatian Parliament. These people aren't yours at a private company employee. They have their basic labour rights, they must not work longer than 16 hours in any variant. You can't bend your wish now, your desire, and your demand to discuss it now, you can't sort it all out. I'm begging you don't do it, don't do it, no matter how much fun it is to the Shuker who smiles there. So seriously with this kind of HDZ, everyone would have problems because this has nothing to do with common sense, that at half-one just because that's how you want to discuss the Rules of Procedure so that you can drive it out the way you want to, and that people do 16 hours in continuity just because that's how Bačić and Reiner came up. Is that normal for you? Do you have a problem, Mr. Shucker? You obviously don't have a problem, but not everyone's here because of you. ... So keep your mouth shut, please. [[The intruder doesn't understand.]] This is where we should work as colleagues, as representatives' clubs, to negotiate. You shouldn't have one club of MPs doing whatever they want to do at the expense of everyone else. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66349	I thank my esteemed colleague Maras for the reason of the break and I am glad that he has empathy for the employees of the Croatian Parliament, but don't worry, your colleague is all in line with the Rules of Procedure and the law, and the work inspection will do his job if something is wrong, and you won't be responsible but someone else. And whoever's harassing, let's leave it to the Croatian public to assess it. Dear colleague Pranic, please.
ParlaMint-HR_2018-03-02-0.u66351	Dear Vice President, I'm looking for on behalf of the club MOST independent list break and I'm going to talk about the state of the public right in Croatia. Thank you.
ParlaMint-HR_2018-03-02-0.u66352	Thank you very much, dear colleague Maras. Here you go.
ParlaMint-HR_2018-03-02-0.u66353	Thank you very much. I'm looking for a break just like 10 minutes to talk about the problem of non-democratic standards in the Croatian Parliament.
ParlaMint-HR_2018-03-02-0.u66354	Thank you. Dear colleague Pernar, please.
ParlaMint-HR_2018-03-02-0.u66355	I would like to point out that it is impossible for MPs to fulfil their duties if the working hours from here are 9.30 a.m. to who knows how much in the morning. Simple That's what I'd like to talk to you about. [[Intruding Brkić: A colleague of Pernar!]] Stanku, yes.
ParlaMint-HR_2018-03-02-0.u66356	Did you ask for a break or what? So you asked? [[I did, I did.]] Thank you very much. Anyone else? I'm setting up a break and we'll continue our work in one hour and 50 minutes. MEETING IN 01.35 HOURS
ParlaMint-HR_2018-03-02-0.u66357	[[CONTINUATION AFTER MEETING IN 01.50 HOURS]] And the first will speak on behalf of the Club of Representatives of the Most, a respected representative of Pranic. Here you go.
ParlaMint-HR_2018-03-02-0.u66358	Thank you, Mr. Vice President of the Croatian Parliament, colleagues and colleagues. Here we will talk about the state of public administration of Croatia and some exact data. Although for 2017 we don't have full data but what we have is by the end of September. We have 233,000 866 people who are civil servants and subsistence officers in public and state bodies. So 233,000 866 people. At the end of 2015, the figure was 230 thousand 72 and in 2016. 232 thousand 240. This means that if we compare September 2017 and 2015 we have an increase of 3814 people in the public administration of Croatia. So in two years it's been in love and employed, however we take the term of 3 thousand 814 people. Since the state did not increase borders, since it did not increase the number of people, however, reduced the number of people, this phenomenon is abnormal unless it was the result of these elections that took place in 2015, 2016 and various election promises about employment in the state services. But more than that, the next fact about public administration is that we have an average rating of civil servants in all ministries for 2016 at 4.05 and in all management officials was 4.63. This means that we are doing very well by the ministries, and we are doing very well by civil servants. And here we had in this day a debate on a law where we couldn't identify and analyze 3,700 apartments to define a clear factual state to discuss this law. On 14 December 2016, the Government of the Republic of Croatia adopted an Action Plan for the implementation of public administration development for the period 2017/20. The Minister of Public Administration was then Mr Ivan Kovacic. The same means the action plan applied. In February 2017, we were approved by the European Commission 880 million kuna for public administration reform, which is now in the drawers of the current minister of administration because, with the basis of the analysis, i.e. the basic postulate of public administration reform, it would be digitisation, depolitisation and rationalisation. But what exactly do we have in Croatia now? We have an HNS critic who also criticises HDZ in Dubrovnik to be employed in Croatian waters. We have an example of the former mayor of Split-Dalmatia County being awarded the same place in Croatian waters, so the deputy former Varazdin mayor of HNS is now employed by the state-owned underground gas storage company. So the former HNS director of Đakova Vodavod will be employed again in Croatia's post office. The high school is becoming general consuls, former Benkovac mayor and the HDZ parliamentary representative becomes deputy county road management. A former SDSS representative without a competition gets a job as an adviser to the director of a state-owned company, the same underground gas storage facility. Apparently, the underground storage of gas and Croatia is run by the main soft spot for entanglement of party personnel that did not show up in the local elections. But what kind of picture do we send to young people? We send the picture catastrophic so it is no wonder why 150 people leave Croatia daily, they will leave even more. Why isn't digitization going on? Or Minister Kuščević does not talk about digitisation, about certain segments of digitisation, which would mean that there should be no re-employment but employment at the same time. Digitalization, this process of the entire public administration should reduce cadence, relieve when and we see that we have an increase of 3 thousand 814 people. I told you about depoliticization, there's no need to talk about rationalization. The secretary, secretaries, various systematicisations only to take care of the party staff and while taking care of the party staff who will certainly do during the next elections the basic task of bringing all of their friends to the polls. Other people who are not given these circumstances, or all possible benefits, go to Ireland, go to Germany. So we have the first generation of students who on average are the best and they're leaving, the ones who are the worst and are employed by state firms, and then we wonder why our situation is in the state. Thank you.
ParlaMint-HR_2018-03-02-0.u66359	Thank you. Now, on behalf of the SDP Representatives' Club, a respected representative, Gordan Maras, will speak. Here you go.
ParlaMint-HR_2018-03-02-0.u66360	Thank you very much, very much, very much. Thank you very much, very much, very much, very 01.56 minutes in the morning in the assembly is our turn and by the number of six-tiers from HDZ I see partly Branko Bačić and you who are leading the session And it continues, and Shuker continues, the violence of the parliamentary majority continues. [[Intruder Reiner: You don't see well, you don't see well.]] And now I warn another chairman who should be responsible for the people in the Croatian Parliament when there is no meeting president, they work from 8 a.m. That's how I can count fast 16 hours uninterrupted. So people in general, I've read now the collective contract of officers from 8 to 12 hours except for emergency overtime which could be interpreted as this, but it can't be a rule and it can't be more than 16 hours. At this point, people are working 16 hours and probably shouldn't be working at all tomorrow after they finish work here today. So you take care of employees in the Croatian Parliament when you are not already taking care of how you behave in a normal parliamentary way. No, no, I'll speak as much as I think I should talk, and if it were a normal situation we would agree and continue the debate tomorrow morning. There would be no obstacle and no rational reason why this would not be done, because of HDZ people in the Croatian Parliament work 16 hours uninterrupted. I'm not talking about MPs, it's our job to be here if we have to, and we'll be here by morning, and if we have to, we'll have a debate open by the time we can agree to continue the debate. But there's no problem, if there's no reason for HDZ to reach such an agreement we're going to continue the debate and very simply calculate that after every debate of us here, the fifteen of us are going three breaks, that's to tell you about 25 minutes times 15, that's seven hours. There's no problem until nine, half past ten in the morning we'll be here and they'll argue again. And of course I forgot the word plus 15 minutes off, so about if we take that kind of rhythm we'll be here with this debate by eleven, half twelve. So what we've offered you to do is we can do it this way, but take care of the people. Because of your unreal and intolerant behaviour people at this time work 16 hours uninterrupted and not one, not two, but one 20, 30, 40 people in the Croatian Parliament who are here because HDZ rapes democracy and harasses employees in the Croatian Assembly with its intolerant behaviour and does not wish to agree and to continue the debate at half ten in the morning, just for that reason only because they thought it had to be so. There's no other rational reason. Why don't we stop the debate now and continue at half past ten? Here's someone to tell us, what's the reason not to do it? What does that mean to HDZ so much that it ends in two, three or five hours if it can't end from half ten to half twelve? There's no reason to be harassing people, harassing the public and harassing the opposition now with their rape of democracy. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66361	Thank you. The next club is the Living Wall in a name to be spoken by the esteemed representative Ivan Pernar. Here you go.
ParlaMint-HR_2018-03-02-0.u66362	Dear ladies and gentlemen. I could understand that we have to sit at this time that by any chance it's a matter of budget, that we're short in time or war, God forbid we're attacked by aliens, and now what we're going to have to do is either the Russians or the Chinese, etc. However, no one is attacking us, the budget has long been passed, there is no reason for this kind of debate. Discussing at 2:00 a.m. on amendments to the Rules of Procedure is absurd to me because it's not about any law that's crucial to the state. And if we vote tomorrow, it'll only be eight days after the publication in the People's Newspaper will come into force. So we really don't see what this haste is, what a desire to go for it quickly goes for this procedure. So I propose a gentlemen's solution socially sensitive to both employees and to ourselves that we just go home and just move on tomorrow. Because if this debate lasts, and there are indications that it could take up to four, five, six in the morning, then my people who will come to the vote tomorrow how you will endure. Because I can leave out the vote I don't have to hold the quorum for you, but what will happen to your people who hold the quorum that is worthy of you here will come to them with fatigue material. God forbid one of them gets sick. Well, this isn't normal for us to do this. And he told his colleague Maras that 16 hours' working hours is the top, so we're gonna be here for 16 hours for what? What good does the Parliament, the state, the people, the voters, Plenkovic, HDZ, I don't know I don't get it? And I think if we don't stop this midnight debate policy or after midnight people will shoot easily, here I see that people are tired of taking this nowhere dear. And I suggest we postpone this session once more for my health and for all of you who are present and what they do in the congregation services. I'm told by man one, here's what Ivan told me what if a woman cheats on me, and I can't go home. I'm telling my friend what's in there, what's in there is nothing, you got to be there. And he says I'm going to go now, that's it. They're all hostages, actually we're all hostages here in the Parliament who are currently one man, one man. What man? So the man who's chairing the sessions. He can tell the girls now and the boys let's all go. No, but he says we're staying until the firefight, we go to the end, and I remember when they spoke from HDZ that the party couldn't be that of one man. Well, the whole Parliament can't be the hostage of what one man would like to lead the debate right now. And I don't know what this debate is all about at this time. It's not clear to anyone. Here, ask these people. Ask Mrs. Taritash what this is about. Mr. Hrelja, Mr. Bauk, why this debate at this time? There's no reason. Yes, ladies and gentlemen. Mr. Bacic, you're an expert, you run the club, you can only stop this. But I see that there is no will, no political will to stop this debate, which means it continues. If it doesn't stop, it continues. Mr. Shuker until when? Until morning, by morning.
ParlaMint-HR_2018-03-02-0.u66363	Thank you very much. Here you go.
ParlaMint-HR_2018-03-02-0.u66365	Thank you, well-respected chairman, on behalf of the representative of the Independent Lists Club, for asking for a break on the topic of banana prices.
ParlaMint-HR_2018-03-02-0.u66366	Honorable representative, Dark Taritash. Here you go.
ParlaMint-HR_2018-03-02-0.u66367	Dear Vice President on behalf of the Glas and HSU Club, I am asking for a break so that we can discuss the problem of waste in the City of Zagreb.
ParlaMint-HR_2018-03-02-0.u66368	Thank you. Here you go, pal Pernar. ... Please, let's let our colleagues tell us. [[The Intruder doesn't understand]] Here you go.
ParlaMint-HR_2018-03-02-0.u66369	I'd talk about these winters that are strong.
ParlaMint-HR_2018-03-02-0.u66370	The winters that are strong? Here you go, pal Maras.
ParlaMint-HR_2018-03-02-0.u66371	... I demand a break to discuss the inability to work in the Croatian Parliament. [[the speaker is not turned on]] Thank you very much.
ParlaMint-HR_2018-03-02-0.u66372	Okay. If you think we need a break, then we'll take a break in three and five minutes. ... Comrade Bull, I'm still gonna talk, not you, from this place. [[STAMMERING, I DON'T UNDERSTAND]] We're meeting in 2.53 hours. [[STAMMERING, SHOUTING]] [[CONTINUATION AFTER A MEETING AT 3.03 HOURS]] First, on behalf of the Club of Representatives, the Mosta will speak to the esteemed representative Panenic. Here you go. About bananas.
ParlaMint-HR_2018-03-02-0.u66374	Thank you very much. Honorable MPs, esteemed MPs! Probably every one of us in the family enjoyed exactly the bananas we've loved since we were little, but the idyll we've enjoyed so far has passed. If you've noticed the bananas have gathered. The price has increased by 46% that you must admit for sure that the data that we would not want for any items in particular that we often consume to happen to collect for that amount is now moving somewhere between 12 and 14 kuna per kilogram. What are the reasons? They say political instability in Croatia is the reason. Excuse me.
ParlaMint-HR_2018-03-02-0.u66375	Now, fellow colleagues, look at each other now and let the people watch us.
ParlaMint-HR_2018-03-02-0.u66376	Here, if I may continue, I apologize. They say that the reason for the political instability in Croatia caused by the replacement of an extraordinary commissioner in Agrokor is also one of the reasons that is said to have affected the weather problems that hit the region of Dalmatia, causing delays in the field and problems with port logistics. And why is this really important? It is important because Croatia, according to export indicators, exports bananas worth about $3 and a half million. So that's one of the items that makes up a significant component in our exports and exactly the uncertainty that I've cited about climate change of price shock that has shaken us, is actually making us understand the true value of bananas in our "banana republic". It is the name "banana Republic" and it is related not to bananas but to a politically unstable state, whose government holds a corrupt group in which corruption, crime, mafia, nepotism, state-based enriching, all of this standard description. It also marks the reverse and incompetence of our country's economy in relation to our neighbours because we stagnate and lag behind, and it is an indicator of our National Statistics Office, all indicators of production, agricultural production as such are falling. Many likely associate the term "banana republic" with Costa Rica, which was a concept but it is not, however, there, after researching the happiness coefficient is twice as high as in our republic. So basically this problem that has been related to price growth is actually going to mark our entire economy and let's not let what happened to bananas turn us really into a "banana republic" but rather make sure that our economy deserves better management and a better availability of all good ones, as well as such an export, significant export product, and also an article that consumes our families. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66377	Thank you. On behalf of the Club of Representatives of GLASS and HSU, a respected representative of Anka Mrak-Taritash will speak. Here you go.
ParlaMint-HR_2018-03-02-0.u66378	Thank you very much, Vice President of the Croatian Parliament. Dear colleagues and colleagues. We in this assembly that we're sitting here are different, we're also using a break to talk about certain topics. I am one of those who tries really not to abuse this pay phone, but there is a theme in the City of Zagreb, and I rarely talk about the City of Zagreb because I am a representative in the City Assembly, so I think the problem in the City of Zagreb is that I should talk there and talk there. However, when you try to respond to a mess, then the time has come for me to talk from this pay phone about the problem of waste in the City of Zagreb. The problem of waste even in Croatia, Europe and the world is the problem we will be dealing with safely this century and different countries and different cities solve it in a different way. The whole of Croatia can solve the problem in an adequate way of waste in Croatia, but if the City of Zagreb does not solve what is realistic and the City of Zagreb and the Republic of Croatia have foamed and it is no longer something that is dangerous but it is indeed something that will be unfortunately in one time and reality. And now what's going on? The Regulation on the need to define how waste is to be disposed of, i.e. primary selection and selection of households, this Regulation is in force. Since the City of Zagreb did not adequately do so when it was necessary we managed at the last session of the City Assembly not to make one decision, but does not mean that we will not go to the next. The mayor of Zagreb has a good custom, which is if he fails at one session of the Assembly to another. And what's this about? It is about the introduction of cages into the city of Zagreb. So the cages are usually used for animals and are kept in cages in the zoos of lions, tigers or dangerous animals, and in the city of Zagreb it is suggested to hold waste bins or waste containers no matter what we call them. Why? So where it can be solved, where it's closed people will have their buckets locked for a simple reason because it has to be prevented that a neighbor in his can, or in his container throws his garbage bag. But in the city of Zagreb it is not possible to solve it in the most important part of where they are, where they are old houses and old households. And today, when you walk around town, you have the opportunity to see in Ilica or at the nearest center that cans are on the sidewalks. Now, the idea was that the more they're on the sidewalks, the more they're not like that, the more they're on the sidewalks, the more they're not like that, the more we have cages and they're cages in cages, so we're gonna unlock those cages so we can throw waste inside. And not only that, it's going to be a couple of kinds of cages like we have several kinds of columns, so these cages are going to be certain people who can work these cages, so these cages are going to be different dimensions, different shapes, different colors. But what's most to you they'll stand on the sidewalks which in other words says the next fact that there are sidewalks on which citizens will no longer be able to walk because they will be prevented by cages, not to say that the problem is how a fire vehicle will come, that the problem is how an ambulance will come, and God forbid and some hearse vehicle. But that story goes on. Imagine Zagreb has indeed become in terms of tourism, tourist mecca. It is very tempting on the map of the EU's main cities. There's as many tourists coming. I'm sure those cages that are in the Upper City or the cages that are on Ilica will cause quite an interest in tourists, so as here are the parliamentary representatives and we do selfie and paint here at two in the morning, then at three in the morning the tourists will paint cages and say they were in the city cage. Thanks to the very unusual relations of power in the City Assembly, we managed not to vote in the last City Assembly. However, our mayor's tenacity will go in that in the end we will probably achieve most of it, and the result will be that we love to pay everything twice in the city of Zagreb. Once we pay the tanks, twice cages, and imagine that it's decided as some other cities to pay only once so that there are containers, or containers or these waste cans, so they're chipped. In the city of Zagreb, such cans would be, they would only pay once. But since one plus one two and two is more than one of our mayors has decided on cans and waste plus cages.
ParlaMint-HR_2018-03-02-0.u66379	Thank you. The next stop was reported by the SDP club, a respected representative of Gordan Maras. Here you go. Excuse her! Order, my bad. In the name of the Attorneys' Club of the Living Wall and the SNAGA's esteemed representative, Ivan Pernar.
ParlaMint-HR_2018-03-02-0.u66380	I'd like to say that this winter is causing literally winter into the bones of our citizens, and that the government is actually supporting the fear of people from winter and that it's a shame that the government doesn't cut the price of special electricity because we have strong rainfall, there's enough electricity in the hydrocentrals to produce yourself. The state should simply act on the price of energy and not act. As a result, many have cold homes, avoid winter, or are condemned to winter, even though they do not want winter. And this problem that winter will increasingly show its teeth will become more pronounced. And otherwise, since Croatia is an exporting country of bananas, this winter will actually have a devastating effect on the production of bananas in Croatia, which could actually be one of the reasons not only for the accumulation of bananas but also for the decline of GDP, i.e. the expected growth of GDP is smaller than it was, and it would have to be all to ask why and if this winter had anything to do with it. But I don't think that this question in the House is being asked, or until tonight it hasn't been asked, and it's important that this subject is being touched here. The more he is, they say that winter is the strongest before morning. Because it's always like that in the summertime, if you remember the cycle before dawn is the coldest, and that night when the sun goes down, it's still actually hot. And I think it's actually a good time to talk about those strong winters. And all the time it's news on TV. I don't know if you've seen the journals? People complain about winter, about snow. But what's another problem in winter, which is fatigue. People are tired, they want to go to sleep, but part of people thinks it's simple to work out what, up, they want to drain people like they say the limit. And that's what this government is doing to our citizens, exhausting to the limit, working to fatigue and actually suffering. And it seems that even we in the House are no longer spared, that this House of Highs is also condemned to day and night. The one from the merciless to the unloved, morning to tomorrow. And as the Montenegrins would say "tomorrow", "tomorrow" both in winter and in ice and in snow, there is no easy thing to surprise us. I think it's -50 to keep the session going. In whose interest is it we can only ask, and I wonder, is it possible that this is such an important topic of the agenda that we are now here at this time discussing it? I don't think so. And I don't think you should be. And why is some imposing as an important topic? Why do some insist on discussing this winter, this night? I don't know. That's a question for everyone. And how in the world will the MPs come to work tomorrow after that winter so tormented, tired of coming to work, how? Nobody knows that. Nobody knows. I don't know. And to tell you the truth, I am tired, but I will not let this fatigue overcome me, that this winter breaks my spirit and I give up. No more fighting until the end, we will defeat winter, fatigue and all the other troubles and natural and human beings that have been put before us. And I want to invite you all to continue to the end and not to stop in this debate because this is an important topic. Thank you.
ParlaMint-HR_2018-03-02-0.u66381	Thank you very much. The next SDP club on behalf of which the respected representative Gordan Maras will speak. Here you go.
ParlaMint-HR_2018-03-02-0.u66382	Thank you very much, colleagues and colleagues. First I will welcome 237 faithful viewers on the Internet YuTube channel of the Croatian Parliament who are looking at us in their homes at the moment, people go to sleep. Unfortunately, it's the only thing I can tell you right now, given that HDZ is committing a kind of violence, we have to show that we're not going to give up here we'll be here by morning. It's a matter of principle now, a question if you want to so honor yourself more or less, but the question now is to show that in Croatia you can't do what you want, whether you have power, whether you have a majority, whether you have 78 or 86, you can't do what you want and what you want. And to me, this sleepless night is a symbol of me showing that I don't agree to this kind of work and that I will never agree to it as strangely as it may seem to anyone. And it may seem strange to some of our colleagues who are now sleeping at home. But it doesn't seem strange to me, and it doesn't seem to me in vain how much I'm going to succeed next time I don't think of a HDZ-like situation again in the same way. Well, I guess now he sees Branko Bacic that this is pointless. Of course, it would be nice if you showed pride and that ego wasn't so big and said – never mind we made a mistake, we can continue tomorrow. But apparently HDZ thinks he can't make any mistakes, that they're infallible. If they hadn't made a mistake, they might not have made a mistake with Ant Ramljak. It's just that it just happened to go away. And as long as there is no responsibility in Croatian politics that man can understand that he has made a mistake, and the mistake is to discuss it at 3 a.m., we must show that there will always be someone who will say that it is not allowed and that we do not agree to it. As funny as that may seem to someone and maybe tomorrow the media and the public will react in the way that once it happened again to the circus, the excess in the Parliament, etc. It is not our fault, it is our fault that those responsible are the ones who impose the rhythm, who impose the subject, who propose the Rules of Procedure, etc. You will not succeed next time again, whatever the subject is, we will be standing up again and I can only promise that next time there will be more, because this is the first time that happens in the Croatian Parliament. It is for the first time in the Croatian Parliament, and I promise you it will happen in the future. The HDZ and its Rules of Procedure will do so in the future. What I can say once again is that I am glad that we have shown and that we will endure this violence of HDZ, that there are representatives in the Croatian Parliament who are able to resist it, which will lead this debate to morning. Which at this moment since it is 3 and 25 in the morning, I can tell you that everyone who is now in the assembly attends the historic moment, this is the longest session of the Croatian Parliament since history and the first constitution of the Croatian Parliament. So, the Croatian Parliament has never sat for more than 3 and 25 and you all. Congratulations, Mr. Reiner, and you are a participant in the historic session, for the first time the Croatian Parliament has been sitting this long. And, of course, the greatest honor of all of us is President Brkić who runs the session and who will enter the anals as he who led the longest session of the Croatian Parliament. If we were in America by chance, we'd be making Wikipedia by now.
ParlaMint-HR_2018-03-02-0.u66383	I thank my colleague.
ParlaMint-HR_2018-03-02-0.u66384	And all MPs who participated in the longest assembly would already be listed So I congratulate you all and let's move on. [[Upadica Brkić: I thank my colleague Maras.]]
ParlaMint-HR_2018-03-02-0.u66385	Thank you very much, fellow Maras for the explanation of the break. A colleague, Miro Bulj, answered his word. Here you go.
ParlaMint-HR_2018-03-02-0.u66393	Thank you very much, Mr. Chairman. I'm looking for a break on behalf of the Most Club for 10 minutes, and the topic is the government's relationship to the Dalmatian Zagora. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66394	Thank you very much. You want a replica or what? ... Here you go. [[The intruder doesn't understand.]]
