ParlaMint-HR_2018-01-18-0.u65678	I'm looking for a break on behalf of the Most about the current political situation.
ParlaMint-HR_2018-01-18-0.u67355	Thank you very much, Mr. President of the Croatian Parliament, esteemed MPs and MPs. Here is the Law on State Property Management, and when it comes to the property's relationship to the property mirrored the state because as we treat our own property, so we treat our own state. I have said several times in public that if one word only associated us with a relationship to state property on an institutional and subjective relationship with state property, that my first association would be abandonment. When I went deeper into this problem, then my first association was bizantism and then even more wastefulness. And why is the relationship to the property important? Because property and crazy are the fundamental attributes of the state. Without property and people, there's no state. The existing legal framework has proved to be unspeakable, ineffective, lifeless and actually dysfunctional. This best illustrates the state of state property, the state property managed by the State Department. No contracts, no invoices. Where it was invoiced, there was no charge. Thousands of illegal users and hundreds of illegal users. In order to give just a closer picture one, here at the center of the bank, one business space, in the heart of Zagreb 125 square meters, it is empty for years, which can be rented at least for 20, 30, 40 000 kuna per month, stands empty for years, and after it is apparent that a one-room apartment is private where the neighbor penetrated the wall of the opening of 2.5, 3 meters, 3 meters, and connected it with that business space to himself. It's just one picture, it's all almost Croatia. Why hasn't anyone reacted for years, that's another thing, but we've finally responded, we've overloaded, we've separated both central and central and heating and electricity, it's all together, it's all in the same number. Everybody knows that, and nobody's done anything about it. I think it's also a felony, even though I'm not a criminal expert. There are such works and misdemeanors all over Croatia, and this is an image, but this area will soon be in the competition, and offers are coming. And even the situation with apartments, garages, and islands, cottages, celebrities. A total of one powerlessness and one chaos. That is why it was necessary to approach the creation of a new law that would replace the existing law and it had passed the most serious procedure. We are preparing for 10 months, through a public debate in June last year, and more than a month ago delivered to the Croatian Parliament. So one may even be an unusually good procedure. It was open to all suggestions, there were more than 200 suggestions in the public debate, most of them were accepted and any suggestions that came from no matter who or what made the law better and clearer, more effective, it would be not only considered but also accepted. In the task force were all relevant, all involved, no one was excluded who was in some way in contact with this, from institutes, colleges, academic community, all ministries, DORH, trade unions, employers. Everyone was involved and everyone could and contributed to this law. The main changes affecting the existing though confusing when the State Property Act is said, then it is thought that the State Property Ministry is managing its state property. No, the State Property Act only manages the assets or works of the Republic of Croatia. Of course, if we were to manage all the assets then we'd have to change all the other laws but that's impossible, then we'd have to manage both foreign reserves and forests and water and objective defence ministries and everyone else's and that's impossible. Therefore, the concept of what assets will be managed by the Ministry of State Property is clearly defined, and one of the biggest changes is to remove the Committee on Real Estate and the Committee on Strategic Society. It may be appropriate, in a certain period, to some structure or institutional framework, to the needs of society, but as circumstances change, although these commissions have not proved effective or effective enough, this proposal is that they are abolished because it is both unnatural and non-lifeless and inconclusive that the commission decides instead of the Government, that the commission decides instead of the ministry, to transfer the powers of the ministry and the Government to the Commission. And just not to say how much and what it looks like, for example, one activity done by the Committee for Strategic Society. The resolution ministry is proposing to the state property ministry that a tender be opened. The Ministry of State Property writes the text of the tender, has to send a resolution ministry to agree on a resolution ministry with the text, and sometimes it takes months to agree. Only when the resolution ministry agrees on the text will the Ministry of State Assets announce the tender. And then the competition can be for board members, supervisory boards, companies, and then there's a competition, talks. And when the Resort Ministry, says who is proposed by the Committee for Strategic Society or the selection of a member of the administration, the President of the Administration, then the Ministry of State Property, on a proposal from the RES, forwards the Committee for Strategic Society, which is sitting and then forwards the proposal to the Government of the Republic of Croatia. And it takes months, instead of the restoring ministry proposing solutions to the government, as this law now provides. So, the resolution ministry will propose everything from its section, directly to the Government of the Republic of Croatia. Likewise, the Real estate commission, will not make decisions instead of the government, the increasingly important decisions will be made by the government of the Republic of Croatia, and those of lower value will be made by the Ministry of State Property. It also changes the legal framework compared to the camps. So far, the four authorities of the state administration have managed the camps, depending on where the camp is located, and that also resulted in one situation that cannot look like the biggest one I can say for sure an economic defect when it comes to the impact on the budget of the Republic of Croatia, when it comes to interest. And by amending the law, we will allow other camps, no matter where the Ministry of State Property is run. There were yesterday words that these camps should be managed by the local self-government unit, so there are also Croatian forests managed in part. Imagine when you read, the text of a contract for a camp, which says, that the owner, by chance, of a company that is from a neighbouring country, will receive a camp for use, long-term size 100, 200 thousand square meters by the sea for the reason he uses, to collect leaves and dry branches and not pay any compensation for years. Here, such contracts were, and I hope, that when this law comes into force, that such contracts will not be possible at all, no one will even sign, let alone exist. Of course, there have been camps where no one has ever paid a dime in years and still has. The state property ministry in last year turned out to be a invoice for 7 camps, 6 million kunas. In the last year alone, 25 years ago, no... It also changes the concept of a strategy, i.e. a deadline for the adoption of a strategic plan, for the management of state property, which was foreseen for 4 years, is now at 7 years because I come about the strategy, it contains the foundation of a set which is long-term. [[The speaker doesn't understand.]] But we can't talk about long-term, if it's a minimum of 4 years, it takes 7 years. The composition of the CERP Governance Council in Article 26 is also foreseen, and we have also raised one illogicality, that the Minister, responsible for energy, is not at all in the CERP Governance Council. It is now 7 ministers in the CERP Management Council and are no longer state secretaries, i.e. deputies, but ministers, to give even greater importance to the decisions of the administrative... the Board of Directors of CERRP. [[The speaker doesn't understand.]] This law stipulates that no one can sign a sublet and sublet on behalf of the Republic of Croatia. In fact, by analysing 800 used spaces in the City of Zagreb, it is almost not for any user to have a contractual relationship with the Republic of Zagreb. Almost all users either have no contract at all, or have a business cooperation contract, with those who, in some other way, may have wrongly entered that business space. So I think it will be introduced with this amendment quite a foundation, all decisions will be an assessment of the court's expert and public tender and public announcement of all decisions made by the ministry. I also saw signs that the Ministry of State Property would not keep a register of their property. That title isn't right. The Ministry of State Property will keep records of the assets it manages, and it is in the making of both the parallel and the Central Register Act, which will run all the assets of the Republic of Croatia, which will run the Central Bureau of Digital Society and where all rightholders will enter the property into that central register and the property managed by the Ministry of State Property will be an integral part of that register. This law solves a non-annual one, but literally the 27-year-old problem of apartment owners, who bought flats on land from which a local self-government unit was sold, and this land was bought by local self-government units, by someone else and entered as owners. The fee turned out and there are cases all over Croatia, that it owns the land on which these buildings were built, these apartments, ownership of the Republic of Croatia, and then no one is aware of who is suing, cities and municipalities in the Republic of Croatia, Republic of Croatia and towns. This law allows for a solution to this, and why this happened, it is most often known about the question of land that did not enter the core capital during the conversion and privatisation, and then the cities were registered or the municipalities, which was built on buildings and buildings. It was subsequently found that it was not in core capital, it became the owner of the land and then sued the city, residents sued the municipalities, guards they bought from. These apartments can't be mortgaged now, they can't be registered, and that's at 1,000 such apartments, this bill will finally solve this problem. Otherwise, the units of local self-government and regional self-government receive many properties in their territory through this proposal of law, which took place on 1 January 2017 in the nature of schools, homes of health, hospitals, graves, monuments, parks, playgrounds, sports-recreation facilities, sports playgrounds, social homes, firehouses, memorial homes, markets, all markets in all municipalities and cities of the Republic of Croatia will become the property of these municipalities and cities of the Republic of Croatia. This will finally make a little bit of decentralisation in the work, which means constantly and persistently insisting on local self-government units, and we think it's a good proposal, and here we'd like to see this proposal come to life and come into effect. This law goes in two readings. First reading and serving to hear all opinions, to record and write all objections, to remember, to think about them and to make all that will improve the legal framework to be accepted. But I guarantee this law is not a law of encrypted intent. This isn't party law, this isn't ideological law, this isn't a law of interest or cartel law. This law is not a product of lobbyists, it is systematically prepared and gives an answer to doubt whether we are going to take a serious step towards property or not. We need to change the relationship so far, but we also need to know that one law cannot affirm, anti-cipirate, and other laws obstruct and disable. We therefore prepare two laws at the same time, it is the Law on the rental and purchase of business space by amending that law and preparing to amend the Law on Tourist Land because it is so, it was passed, I think, 6 7 years ago but did not result in almost no effects or effects so that it must be changed. But we also need to emphasize a few things when someone usually says so that there's a million squares near the sea, by the sea, and it's been 30 years, no one, what kind of ministry is that it's impossible to activate. I'm talking about those other laws right now. We are prohibited from the availability of real estate in an area where there is no limit to maritime goods. The maritime goods border is not determined by the Ministry of State Property, but it is still wondered how it is not prohibited for a natural person to dispose of the property until, and no border of maritime goods has been established, and no competition has been announced, but to sell to a neighbor, friend or someone unknown or to an investor, and the Republic of Croatia cannot sell its property and the same limit of maritime goods has not been established. A completely unnatural relationship, an unnatural attitude. If one particle is in where thousands of particles are in return, the return has not yet been made, the verdict has not been reached, the lawsuit has not been resolved, all hundred million squares have been blocked. So the situation is too complicated in many places. Not to mention deposed land, not to mention legal disputes and different court practices. In the same place, in the same location, courts differ in judgments. There's a return in the money somewhere and there's a return in nature. So I think for an even more serious step, we need to change many other laws. We will therefore amend the Law on the rental and purchase of business premises and the Law on Tourist Land from the Ministry of State Property, and we have agreed with the Ministry of Tourism to prepare it together and it is already in preparation. It's an impression and I still have to say it because of these other laws, I'm making an impression because it's not just an impression with me, but it's practically proved to be so, but I'm telling you that the impression that in the Republic of Croatia property is less protected than illegal property. And that's one huge... In a better position, he's a formal illegal owner than the owner, and we all have to ask ourselves that question and see how to solve it. [[The speaker doesn't understand.]] When the Republic of Croatia finds out someone broke into her property, then we get a claim for trespassing. And we're blocked. You know how many there are? Thousands. That's why so far they're reapers who haven't sown and where they haven't sown. By applying this law, I hope that this practice will stop and that this law will be against such practice. I understand in advance any interest in improving this law and this curiosity and thinking will be seriously included in the second reading. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67356	I thank the minister. We've got 17 replicas, our first turn is Comrade Sponza, here you go.
ParlaMint-HR_2018-01-18-0.u67357	Thank you, Mr. President. Here, Mr. Minister, I have two specific questions for you, so I would kindly ask for an explanation. The first is why you do not transfer through this bill the conceptual land within the general urban plan to the ownership of local self-government units. Secondly, I would like to ask the reasons for Article 68 in particular of the provisions in paragraphs 5 to 9 of which, of course, if I read correctly, all units of local self-government which, at the time of the availability and tender for sale of land, have been registered as land-book owners now under this bill, I repeat, if I have to read well, the revenues to the state budget. Thank you.
ParlaMint-HR_2018-01-18-0.u67358	Here's your answer, Minister.
ParlaMint-HR_2018-01-18-0.u67359	Thank you very much. The esteemed representative in the first part of your question reminds me of that story about fingers and hands. Why? If only one finger is enough, why not the whole hand? As for this second part, the legal framework provides for a solution to this problem. In this way, with financial compensation on a long-term basis. The Ministry of State Property is willing to consider a different option, but we must get agreement and other institutions first of all the DORH. And if the DORH agrees with this different modality, we will accept that proposal. However, this is exactly the definition that is in line with the DORH. I understand this problem very well, and it can be solved in other ways, i.e. by a little change of these provisions, but this is how it is foreseen. If it succeeds in finding the definition that it is possible without financial compensation we will consider that possibility until the second reading. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67360	Let's go to another replica, dear colleague Glasnovic. Here you go.
ParlaMint-HR_2018-01-18-0.u67361	Dear fellow Maric, I congratulate you on your brutal honesty, but all these smoke curtains. I've been listening to this for years. Who will come to the country where 5% of the land data is correct? And for years! I listened to Miss Taritash's presentation yesterday. So you were all part of those two parties sitting here, longer in power than Saddam Hussein was. Yesterday I listened to Mr. Tolusic here and he's talking about the chaos in agriculture, that 2.5 million kuna was spent, nothing was digitized. You have 114 employees, don't you, in your ministry, I think. This digitization office is 47. What were you doing for 20, 30 years? When are we going to ask the right questions that's the first question? How is that possible? And we're still here today, we're like Guatemala just have more color television. And there's a better situation with land books. What's that bridge saying? This other character, and when did they talk about it? What's causing these problems? Who adopted social property. They're sitting here, they're stealing. What's in that chaos when you prescribed social property into this in private, etc. How many unions did they steal? SCOY-Ewes? One sitting here has 13 apartments in Zagreb, is a great man for human rights, a fighter. What about SuBNOR, KPH? Where's the database? How many people were taken away from their property? If you don't know how to work, hire a private company that is totally independent of former communists, SCOY-Eviets, UDBA-shima. As it's possible for people to copy into other people's particles, it's unimaginable out there. You have a system, you have geodetic data, you have satellite footage and you get a PIN and no one can do St. John the Baptist rewrites to my land. And we're sitting here telling ourselves fairy tales here. And when we end up saying that the cause of all this is a criminal organization called KPH, communism where the total concept of private property has been annulled. And that's where the heirs sit... [[Intruder President: Time of fellow Glasnović.]] [[The speaker doesn't understand.]]
ParlaMint-HR_2018-01-18-0.u67362	Comrade Glasnović, you've been through a lot. Replication response. Yeah, yeah, minus 13 seconds was over. Here you go.
ParlaMint-HR_2018-01-18-0.u67363	Thank you very much, esteemed representative Glasnović. A little of what you've been saying is about the case and a concrete bill, so I can't accept one comment on how to improve this law. But I understand your position, I understand your observations, and at least, not least, I have nothing to do with what you're talking about, about former communists not personally but in the tenth generation. Thank you very much. ... [[/Intruder Glasnović, you don't understand.]]
ParlaMint-HR_2018-01-18-0.u67364	Comrade Glasnović, please. Now it's my friend Bulj's turn. Third replica, please.
ParlaMint-HR_2018-01-18-0.u67365	Thank you very much. Ministers, I would agree that the government of powerlessness and chaos in the matter of state property, that in privatisation, of course, and war profiting, a lot of things ended up where it shouldn't have ended. But here's what I'm going to do for a while. I'm going to comment on article 69. You state that under the ownership of the Republic of Croatia in the field of local self-government and regional self-government units, much can be entered. However, not valuable property such as former military facilities, military facilities, and you listed health homes, graves, parks, which is mainly owned by regional self-government. And these military facilities become and former military facilities become mostly a communal problem because of these unresolved property-legal relations, and local self-government has no influence and cannot plan to build something. Therefore, I would ask you in the first reading to include it necessarily in the second reading, a good thing that goes in two readings. And another very important thing asked you DUUDI, so far he's had a million kunas, to decide up to a million kunas in state property. However, you have raised yourself to 7 million kunas with this law, with the appraiser and you determining. First, you estimate up to 7 million. So you've raised by 6 million, your right to state property and the possibility to be used and related ties, the possibility, I say, as in the case of Brodosplit, the building, excuse me, Brodomerkura in Split, that famous subject, and you know what this is about. So why did you increase yourself to such power, Pharaoh's literal authority, from one million to seven million? Thank you.
ParlaMint-HR_2018-01-18-0.u67366	Thank you. Here you go, Minister.
