ParlaMint-HR_2018-07-12-0.u78396	The following will be spoken by the respected representative Željko Glasnović, please.
ParlaMint-HR_2018-07-12-0.u92057	Thank you very much. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate, Mr. Miro Totgergeli is first in front of the HDZ Representatives' Club.
ParlaMint-HR_2018-07-12-0.u92058	Thank you, Vice President of the Croatian Parliament. Dear Secretary of State with associates, colleagues and colleagues, we have two laws in front of us. energy law packages. First, I'm going to say a little bit about the Energy Regulation Act. So, in these past 17 years, since the first law was passed in 2001, we have practically developed the agency from the then Energy Regulatory Council, which was not actually able to function independently, but has helped in the work, the Hrvoje Pozar Institute, to a respectable agency that, once it adopts this law, will function independently from the government, from the ministry, so we practically ensure that it works independently from any political influence. In 2012, when the Energy Regulatory Act was adopted, it was thought that it had fully complied with Directives 72 and 73 of 2009 and Regulation 713 also from 2009. However, in 2017 we received a warning from the Commission, i.e., the Commission drew our attention to the irregular transposition into the Croatian legal order of that specific directive, which concerns the independence of the work of the Energy Agency. Accordingly, this amendment to the laws is proposed to amend the provisions and independence of the regulatory authority, i.e. HERA, in terms of decision-making independently of any political body. Although Article 22 of the existing law and in a similar form, this formulation also appears in the '94 law. The Agency shall define that the Agency is independent in the taking of all organisational and other measures necessary for the smooth performance of operations and the fulfilment of obligations under this law and of other energy laws referred to in Article 1(1). 8. which defines that the agency is the only one responsible for the work of the Croatian Parliament and these articles are not changed in the proposal for this law. Most of the doubts about the Agency's work on any political body in the government are challenging an existing Article 36 which says that the Agency's work surveillance is carried out by the ministry and there is an art. 7th paragraph 5 which devines that consent to... The agencies are being given by the government. [[The speaker doesn't understand.]] The proposed law, such a formulation, the supervision of the agency's work is deleted, and the agency is only obliged to submit once a year to the Croatian Assembly a report on its work, as so far, in terms of the existing article 33, which does not change in the draft law and suggests that consent... The Croatian Parliament gives the government instead. [[The speaker doesn't understand.]] This proposal also introduces a regulation laying down the conditions to be met by professional leaders and their rights, responsibilities and responsibilities. Between the first and second readings, the Proposer accepted the suggestion, and in the article. In addition to what is changed in paragraph 1, it has changed in paragraph 4 so that it has in some way equated natural and legal persons, which in any way, have an impact with energy in what their obligations to HERA are but also on what their rights to HERA are. This law also suggests that the court is a independent body affected by decisions of the national regulator, i.e. the Agency, to which each party is entitled to appeal or action. The ministry has decided on these cases so far. And what may also be of the same importance through the debate in the reading process, therefore, this fear, who will now oversee HERA, so HERA will be supervised by the Croatian Parliament, there are independent bodies, and as far as the choices of the people who run HERA are concerned, the directive offers to be between 5 and 7 years of the mandate people choose. For 7 years, it has been moving, so that different parliamentary majoritys in different years, choose the people who lead the HERA, and thus further strengthens this independence of HERA from the influence of politics. This second law relating to the electricity market. Therefore, the proposer has initiated these amendments, above all, based on the Commission's opinion that they have been incorrectly transferred to the Croatian legal order relating to the certification of transmission system operators in relation to third countries. Then those definitions, which relate to the data confidentiality requirement for transmission system operators, but also to their owners, are in this case for us HEP, in relation to HOPS and the specifics relating to... the system operator’s administrations which include the right to appeal to regulatory bodies. [[The speaker doesn't understand.]] So this is now further regulated by these amendments and additions, and I think these two high-quality bill proposals, which on the one hand will enable HERA to function independently, and on the other hand give the CAPS independence as an operator in the transmission of systems. And I think that when we bring them in that their functioning will be even better in the relationship that has been so far and therefore the HDZ Club will support these two draft laws. Thank you.
ParlaMint-HR_2018-07-12-0.u92059	Thank you very much. There's no one else registered by traffic lights. I'm closing the debate and we'll vote tomorrow. All right, I'll give you five minutes off, and we'll wait for the proposer. Let's make sure, 10:00 and 10:00. Break at 09.52 hours.
ParlaMint-HR_2018-07-12-0.u92060	Final proposal of the Act on Amendments and Supplements to the Energy Regulation, second reading, P.Z.E. No. 343. The motion for an act is the Government of the Republic of Croatia, the debate is closed. The amendment was submitted by the Committee on Legislatives, so I would like to ask the proposing representative now, with us the State Secretary at the Ministry of Environment and Energy Protection Ivo Milatić to show about the amendment submitted.
ParlaMint-HR_2018-07-12-0.u92061	Thank you, Mr. President, distinguished parliamentary representatives and MPs. That amendment is not accepted by the Government in view of the fact that the set of legislation in the field of energy, i.e. related laws and in no way is affected by any other area of activity and as such the content of Article 11 is subject to a European Commission pilot who must be respected in order to ensure that energy legislation is fully harmonised. Given the new energy regulation that is in the EU process, it will also have to be implemented through the amendments to the Energy Act and will be expected to be harmonised in 2019. Thank you.
ParlaMint-HR_2018-07-12-0.u92062	Apparition of the representative of the Committee of colleagues Jelkovac. Here you go.
ParlaMint-HR_2018-07-12-0.u92063	The President-in-Office, given the explanation, I'm giving up the amendment.
ParlaMint-HR_2018-07-12-0.u92064	Thank you. Thank you, Secretary of State, and I am voting on the Final Proposal for a Law on Amendments and Supplements to the Energy Regulation Act, please vote. I find that most of the votes, 113 for, 2 abstentions and 2 votes against we passed a law on amendments and amendments to the Energy Regulation Act.
ParlaMint-HR_2018-07-12-0.u92065	[[CONTINUATION AFTER MEETING IN 10.10 HOURS]] And you're here, okay. [[I don't know what you're talking about.]] Please don't throw it off the bench. ... Don't throw you off the bench either. - Proposal for a law on amendments and additions to the Penal Code, first reading, P.Z. No. 244 The proposal shall be made by the HDZ Representatives Club on the basis of Article 85. [[I don't know what you're talking about.]] The Constitution of the Republic of Croatia and Article 172. Rules of Procedure of the Croatian Parliament. So it's about first reading, the debate was conducted by the Committee on Law, the Committee on Justice, the Committee on Family, Youth and Sports. Does the representative in this case wish to give an additional explanation? Mrs. Irena Petrievcanin Vuksanovic, please.
ParlaMint-HR_2018-07-12-0.u92066	Thank you very much, Vice President. I'm sorry about earlier. Here, we have long waited for this bill to come into the parliamentary procedure and first of all we should thank the president of the club and the minister of justice for showing great understanding of this sensitive social topic and for this proposal that has very good intensities to regulate this piece of legislation. What's important is to say that cases of child abuse terrify us all and we can consider them the most terrible crimes. And after every such case of child sexual abuse, we could only be more gunned down. Each such case is a case of tragedy for itself, and that is why it is not good, nor would it be good for politics to wait, for example, for some worst tragedy such as the death of a child due to such abuse and then react. Unfortunately, nothing and nothing can bring back to the victims what has been taken from them by this crime, but what we can and what we have done, we can improve the laws and thus let it know that we condemn these crimes. It is more than positive that this topic will be discussed this way for the first time in the Croatian Parliament. The criminal law was adopted in October 2011 and entered into force on 1 January 2013. This Penal Code, which is valid in itself, contains so-called “the Law of Penalty. ” Special Chapter 17 entitled Criminal acts of sexual abuse and exploitation of a child who, in fact, has been fully incorporated into Croatian legislation within themselves by the Council of Europe Convention to prevent sexual abuse and exploitation of a child, and thus the following offences are listed in the current criminal law. Sexual abuse of a child under 15 years of age, sexual abuse of a child over 15 years of age, satisfaction with a child under 15 years of age, cheating children to meet sexual needs, undermining children for pornography, exploiting children for pornographic performances, getting to know children with pornography, and ultimately severe acts of sexual abuse and child exploitation. Chapter 17 of the Penal Code, i.e. Articles 158 to 166, will be completely subject to this bill, which is now before you in the first reading, to change what is a major change. This is where we included Article 81. KZ and Article 302. Very short on everyone. So it is known that in the parliamentary procedure as the HDZ Club on 26 November last year we sent this proposal to amend and supplement the law, the aim is to more adequate sanction but also to prevent sexual abuse and exploitation of the child. According to the current KZ, which is organic, the prosecution of the committing of crimes is becoming obsolete depending on the amount of the prescribed penalty for a particular criminal offence. According to this proposal, the law would want to amend this, so in Article 81(2), which is now starving, “punishment does not go out of date. ” We would change it in a way that, for serious crimes of child abuse and exploitation, Article 166 would be joined here in a way that, as for serious murders or as with crimes against humanity or as for genocide and the like. Major offences do not have a statute of limitations, so they should not be out of date for the most severe crimes of child abuse and exploitation, so Article 166 is the most serious criminal offence where the maximum range of penalties in our KZ is prescribed, and such crimes may include the death of a child. It is then proposed to prohibit the exercise of activities or duties for persons who are legally convicted of sexual abuse of children, that is, Article 71. KZ. According to the latest changes made by the KZ, the judge is at will, from now on, should be bound by these offences, so what is no less important is the increased penalties for sexual abuse and exploitation of children but within the range of KZs. Obligatory check in the Register of Criminal Records, if a person appears for work in an institution, in which he regularly comes in contact with children, for example kindergarten, school, welfare center, sports clubs and even the job of a nanny. The establishment should, as part of the tender documentation other than that of the usual application, also request an extract from the criminal record or so on. a pedophile register being conducted as a separate application by the Ministry of Justice within the criminal record. Moreover, now such law enforcement officers convicted of these crimes should no longer be deleted after the so-called expiry date. a period of between 6 and 40 years, rather than a permanent record of legally convicted persons for these offences. It is proposed to introduce the application in a way that is in Article. Article 1(1) changes and says: who knows that a criminal offence has been committed for which a sentence of at least 10 years or a criminal offence of child sexual abuse is prescribed, and does not report it, although such a report would allow or significantly facilitate the detection of the offence, it will also suffer consequences. What is very important is to point out that it is not just sanctioning one of the crucial measures. It's about prevention and education. What can be done under the criminal law is enhanced security and safeguard measures. These amendments and additions to the criminal law regulate that the protection measure following the full execution of the sentence of imprisonment in the delicacies of sexual violence and gender delicacies should also be implemented against those convicts who, even less than two years, have spent on the maintenance of the prison sentence. That's an art. 76. Penal Code where an article should be amended. 1st and 1st Article. 2. It is also necessary to extend the time to check protective supervision after the full execution of the prison sentence for the conduct of acts of sexual abuse and child exploitation. Why? Because examples of countries, such as Great Britain, France and some others, show that those who are convicted of parole, easier crimes of sexual abuse, the exploitation of children where the penalties are milder, less than two years after the execution and usually commit a second offence regularly, which they deserve more punishment, so to avoid that repeated repetition should increase the protective surveillance which is also proposed by these amendments to the Law. Also, the question was asked why not a special law? So a comparative analysis of the criminal legislation of some EU Member States shows that the crimes of sexual abuse and exploitation of a child are contained in the criminal laws of those Member States, not in secondary specific laws other than, say, Serbia and some other exceptions, which further indicates that the applicable Criminal Law of the Republic of Croatia follows the existing standards of EU Member States in relation to the protection of children from sexual exploitation and abuse. However, as I said, some countries have a special law, so there is a need to further explain. For example, the Republic of Serbia has a special law that is so-called Mary's law has its full name, so I don't read it. However, this Law does not contain the descriptions of criminal offences or impose sanctions on them, but in fact, in that part they call for criminal law, or other words, they have a separate law, but that is so-called law. referring to the law because it actually points to their criminal. So what we need to say, for the education and awareness of children as the dangers lurk, we see here particularly the possibilities for action and civil society and, of course, state bodies, but they are not subject to an amendment to this Law. Here's so much for amending the law. I think I've covered everything and I'm at my disposal for everything else.
ParlaMint-HR_2018-07-12-0.u92067	Thank you very much. There's only one thing I can think of. I'm wasting a moment just being here, being able to abuse, I shouldn't. But there is one more thing that is not contained in the Penal Code and I don't know that it can be done now and that's child abuse for politics, propaganda, which in some international documents stands very explicitly not to be allowed. So think about it later. And now you have two replicas. Mr. Rechimer Varda.
ParlaMint-HR_2018-07-12-0.u92068	Thank you very much, Mr. Vice President of the Croatian Parliament. Dear Members of the Council of Europe Convention 12. So whoever knows or has the information that a crime of abuse, sexual violence, etc. has been committed, you have provided for these amendments and additions to the Penal Code for such persons up to 3 years in prison, but only for the more serious crimes under this Act. And what about the people who have this information and haven't reported these minor crimes precisely for prevention? Thank you very much.
ParlaMint-HR_2018-07-12-0.u92069	Thank you. Answer, please.
ParlaMint-HR_2018-07-12-0.u92070	Thank you very much. Dear Representative Varda, you have noticed this well, in conversations and in consultations we have come to the conclusion that it is best to change in this article. 302. The penal law relating to this area of St. 1 and we have incorporated it into this proposal for first reading. Of course, it can be considered for a second reading and your proposal, although I say it depends on the working group and whether this proposal will then be passed on to the working group. I think what you're proposing has gone too far.
ParlaMint-HR_2018-07-12-0.u92071	Thank you very much. The second replica, Mr. Glasnovic.
ParlaMint-HR_2018-07-12-0.u92072	Do you colleagues have any information as to what percentage of these child abuses occur in the family? You have globally maybe statistics that 80% more of the family circle, others are sports clubs, etc., scouts. And I would also say that the comparison of our system, our legal system with England, etc., is not in place because when a pedophile, a sex sadist or a snitch goes to prison, they put themselves in protective custody. It doesn't happen here, because that's where their life is worth 15 minutes. Second, I'd say more, I worked, I was the boss... The teams in federal prison and paedophiles, the hardest thing to do is to treat them because they've never been, says rehabilitation, they've never been rehabilitated. [[The speaker doesn't understand.]] Nor is chemical castration the answer because that instinct is in them and it's hard to take it out. Repeating those acts of what you said was quite often, I saw it on my skin, I saw it, in that system, not just paedophiles but sexual sadistics come out after serving the sentence and repeat the deed again. Just a brief thought about it.
ParlaMint-HR_2018-07-12-0.u92073	Replication response.
