ParlaMint-HR_2018-02-13-0.u66031	We're going to take a break. Here you go, Mr. Alexic.
ParlaMint-HR_2018-02-13-0.u66043	Thank you, dear Vice President. Dear colleagues and colleagues, some of the believers, and these little believers are in violation of the executive law. What's this about? The most recent amendments to the Implementing Law have prescribed restrictions on enforcement below average salaries and these restrictions apply retroactively. By amendments to the Implementing Act, it is stipulated that Article 173(2) shall apply to all executive procedures, regardless of when the exercise takes place, no matter when they are launched and no matter when they are completed. However, individual creditors, on the basis of statements by the debtors, that they will allow the full income to be made, make full receipts. And that's to people who have below average income. Therefore, under the average income under the Implementing Act, the whole must not be carried out, regardless of what such a declaration exists, because Article 173(2) is so prescribed, as amendments and additions to the Implementing Law are thus prescribed where it is declared that Article 173(2) is applied retroactively. However, because some of the believers do not apply the Executive Act, and the smaller believers, I will not mention them here that I am not destroying their ratings, these are some smaller banks, the Franak Association sent an open letter yesterday to the Minister of Justice and the President of the Croatian Parliament. The Minister of Justice is required by a spot-on response and a statement that it is clear from the executive authority that all such credentials who violate the law are no longer allowed to violate the law in the future. And the President of the Croatian Parliament, Mr Jandrokovic, is required to put the proposal to the agenda for supplementing the Implementing Law, which is on the agenda but is not yet in any session of the agenda, and neither has the Committee on Legislatives passed. Therefore, I also appeal to the chair of the Legislative Committee to put on the agenda the final proposal to supplement the Implementing Law because the Implementing Law is currently unconstitutional. It is unconstitutional because paragraphs 1 and 2 of Article 173 are contrary, and they are contrary because paragraph 2 is valid for below the average salary not to be completed whole until paragraph 1 applies to all other salaries and receipts which may be made whole if the debtor has signed a declaration by June 2008 that it may do so. Therefore, I appeal from this place to the Minister of Justice to issue a statement, to the chair of the Committee on Legislatives, to put the final draft of the Executive Law and to the President of the Croatian Parliament on the urgent agenda, to discuss this proposal and finally to adopt and end the non-constitution of Article 173(1) and (2). The law of law. The second topic I want to talk about is Romania's latest court ruling in Cluj. So the Romanian court in Cluj has ruled with power that the CHF currency clause in Romania's loan is unfair and harmful. It is unfair and harmful because the bank is a professional financier who has not notified the laika debtor of all the risks that can be caused by the negotiation of the CHF currency clause. In addition, it said that there is no rational explanation that could explain that wars are normal for them to grow twice as much as they do in the early wars. In addition, it is respected in any case that the judgment of the EU Court of Justice C 186/16, in which it was declared that national courts, in determining the unfairness of the currency clause, must be careful whether the bank has warned about all the risks and consequences of the settlement of the currency clause, whether the bank has warned that such currency that can be negotiated can increase enormously, whether it has warned of all relevant facts that exist at the time of the negotiation of such credits. So Romania is the seventh EU country to declare the CHF currency clause unfair and worthless. I expect Croatia to be the eighth country, the High Court of Commerce to make its decision as soon as possible, and finally 120 000 debtors with the CHF currency clause get a wide open door for their private court processes and for full compensation. Thank you.
ParlaMint-HR_2018-02-13-0.u66044	I thank my esteemed colleague Goran Aleksic. On behalf of the Independents for Croatia, dear colleague Željko Glasnović, please.
ParlaMint-HR_2018-02-13-0.u66045	Dear colleagues, I've been talking here for a long time about the education system and how it comes out of that system, what we get, what students. I'd just say that our students don't just know anything but live in total historical darkness, information darkness. There comes two classes a day here, those young heads know nothing. When you ask them some basic things that everyone might know at this global level, what general knowledge is, when you ask about Hanktington, for example. When you ask this for the French school of sociology, you get a look, they look at you, they look at you, they look at you, they watch the monkey watch, they know nothing. When we talk about social sciences, political sciences, nothing, total failure, why we're surprised at that. Uh, there's a Wolf here, it's us, it's us, it's us, it's us, it's us, it's us, it's us, it's us, we need... In six months. [[The speaker doesn't understand.]] Well it's already done here, we're past... All that '45 analysis. You don't have any analysis in any field, from history to economy to today. [[The speaker doesn't understand.]] And if they do an analysis, it's prevented in... The media, who run the editorial policy. [[The speaker doesn't understand.]] You'll see that we've given up exactly the same country as before, except for two factors. We have a sort of... plural democracy, I said that before, and you don't have hyperinflation, it's the same character with the same metal set. [[The speaker doesn't understand.]] And that's the taboo theme of that heritage I was talking about last week. Look at the mine policy around us in... The media. [[The speaker doesn't understand.]] What's going on out there? You have the Evening List, a nonstop coming Mr. Josip Juratovic who escaped here in the 1970s, '80s. Now he's sitting in Bundestag and he's honking on us about the former state. If it was so wonderful why he ran off to Germany, why are we honking all the time about going young? It's gone since the 1960s, '72, a million and a half people from this country, most of the Croats, which is from the first eviction. They are the same Argentina, each third Croat had an academic title and who came here. They came in with two grades of elementary school. They put state-owned companies in charge and you got a total collapse of one system, civilized. False diplomas, false names, economic failures, and the collapse of all moral and ethical values. That's what I'm talking about. Here, other countries, post-Communist countries, have formed committees for reconciliation and truth. You have such commissions from South Africa to Poland. What's up, Croatia? You haven't even met once, and who's sitting on that committee? All mostly frames from... The regime that will rehabilitate the largest criminal organisation west of the Urals over the Soviet Union, it is the communist party of Yugoslavia. [[The speaker doesn't understand.]] You have centres to preserve national memory in Estonia, the Baltic republics of Poland, Germany, Hungary, was tried by former communist personnel, who came here on the indictee's bench, for hundreds of thousands killed, for kidnapping, why no one has a list of seized property after '45. Ten thousand companies, small-store farms, and that's why we're where we are. There's no catharsis. Here,... The magazine, this month, says... [[The speaker doesn't understand.]] The past,... [[The speaker doesn't understand.]] Rehabilitate in Russia, Mao Ce-tung in China, and that's the biggest criminal mega killer. [[The speaker doesn't understand.]] There's no catharsis without historical truth, as far as it has to go, here's just a play here. We're losing... plural democracy and we keep our mouths shut. [[The speaker doesn't understand.]] The air-conditioning voice has a rope here. We should put Lenin's mask here and Marx and they'll come here, everything will be fine. Without facing the past, we won't go far. And we got the Croatian state, without Croatian cultural space. That's proof, young people don't know anything, that's where we always honk about something future. Let's say we develop the greatest democracy in the world, the most modern technology. If we lose cultural space, what kind of state are we going to have? We'll have a country like this, a hollow state, where there's no historical truth or justice, nothing but lies and deception. And why are we surprised? We're staying, and these young people, who come here, we're left with a violent society, who doesn't know anything about themselves or anyone else. And why are we surprised at that? What kind of character do we have in school? At the university of philosophical, political science. What is the purpose of economic colleges to still study... Lenin and I are surprised. [[The speaker doesn't understand.]] In a healthy civilized state, these teachers, there would begin the illustration, with them and in the judiciary, unfortunately having... And it's our destiny. [[The speaker doesn't understand.]]
ParlaMint-HR_2018-02-13-0.u66046	I thank my esteemed colleague Glasnović. On behalf of the SDP Representatives Club, respected colleague Bojan Glavasevic. Here you go.
ParlaMint-HR_2018-02-13-0.u66047	Thank you, Mr. Vice President. Dear colleagues and colleagues, Croatia was humiliated yesterday. Yesterday and today in our country is Alexander Vukic, a man who is proven not to be our friend. Who proved no good intentions towards Croatia, a man whose only honest intention is to be seen in his Hague speech in occupied Clay in '95, and then in the Serbian Parliament in 2000 when he spoke of changing internationally recognised borders of Croatia according to the great Serbian fantasies. He never pulled those words back. This is the man who today is friends with the rightful convicted werewolf executioner Veselin Sljivancanin and is appointed as his defender. Such a man was invited by our president to Croatia, without the consent and knowledge of the Croatian Prime Minister and treated as a distinguished guest. That's where the humiliation of a colleague and a colleague lies. Croatia's president, put the interests and pressure of the international community ahead of the country's own interests. And she did it the most embarrassing way. About media freedoms on Vucic's Serbia or rather lack thereof, everything is well known. It is also known that our president does not like public interest and journalistic issues. But the fact that yesterday, just yesterday, the Croatian president, banned journalists from asking Alexander Vukic about his large-serb Hague speeches, is a humiliation and spit-in-the-face of every victim of the Homeland War, every one. In Croatia, Vukic brought home books from the Court to the Union, and the president presented this as a huge and important gift, progress in our relations. What about the protocol at the werewolf hospital? What about the data on the sites of mass graves, which are well known to be documented in the possession of Serbian intelligence services? That would be a significant gesture. The only thing that's clear is that the president, who swears to the community, has caused our country's disunity and humiliation, and all of this is under cover of peace. There is a way to reconciliation between colleagues and colleagues, but people like Vukic and Kolinda Grabar Kitarovic cannot lead us on that path. Only good people who testify to their lives about dedication, co-existence, and understanding can guide us, if we enable them to do so and help them. The reconciliation doesn't start with the exchange of paper, it starts by helping people on both sides of the border to get to know each other. There is no Serbian literature in Croatian schools, there is very little music from Serbia on our radio stations. And how many Serbian schoolboys had a chance to read for example "Hotel Zagorje" Ivana Simic Bodrožic, how many had the opportunity to fall in love with astronomy while listening to Korad Korlovic talking about the universe? Why don't we help change that? In order to strengthen friendship, we must view things and similarities as what brings us together, not as a source of hostility while we fight for the right to say that something is just ours and not theirs. Its president may not be a friend of Croatia, but Serbia certainly is a friendly country today, and friendships must be strong enough to survive the efforts of people like Vukic and Kolinda Grabar Kitarovic who would tear it down, instrumentalise for their political goals. Reconciliation can begin those who are hungry for peace and friendship, not those who are hungry for power. For Alexander Vukic, it's been clear for a long time which group he belongs to, and if it wasn't clear to anyone by now which group he belongs to, then he should have been. Thank you.
ParlaMint-HR_2018-02-13-0.u66048	I thank my colleague Glavasevic. On behalf of the bridge of independent lists, dear colleague Miro Bulj. Here you go.
ParlaMint-HR_2018-02-13-0.u66049	Honorable MPs and MPs. I asked a forbidden question yesterday, a legitimate question in the square to the president of the Republic of Serbia, Vukic. The issue of all issues, the issue of peace, the issue of Serbia's democratisation, the issue of Croatia's relations with Serbia that should be much better, the issue is simple and short, and everything comes from it. Wolfie, when are you going to Croatian Clay? Let's remember '95. the year when the people of Serbian nationality were trying to go to war at the borders of Greater Serbia, Karlovac, Karlobag, Virovitica, let's remember these speeches with Chetnik Seselj. At least what Vukic should have done when he came to President Kolinda's house, he should have gone to Glin to apologize to the people of the Serbian Nationality who forced him to do evil, crimes, them and Croatian citizens of their neighbour, Hrvatta. Alexander Vukic, Seselj and those who invited people to go slaughter, arson and create great Serbia are responsible for the slaughter. The minimum dose of courtesy of Vukic was to apologize to Croatian citizens. Of these questions I asked him yesterday on the street here on the square, culturally, clearly, a short-limited issue in the Office of the President of the Republic of Croatia, which is embarrassing for the democratic system, raised issues. In Serbia, I'm declared Ustasha media. Gentlemen of the Serbian media, I live with the people of the Serbian Nationality, with many and fought, nine thousand people of the Serbian Nationality defended Croatia as a Croatian defender while Vukic urged grenades from their countrymen to be thrown at them. Yesterday, in the early hours, I was on my way to the square in the Parliament of a blocked city. The legal protest of Croatian widows from the Homeland War and their families has been banned for the first time since Mark's square was approved for protest. For what? Why is it forbidden for those who gave the most, their family members, their fathers, their husbands? Why are they forbidden to protest legitimately? At least what the President of the Republic of Kolinda Grabar Kitarovic should have asked is a question, Mr. Vukicu, when you will be in Croatian Clay. I ask him this question again from this pay phone in Croatia, let the direction of Glin go, and let him apologize first to his countrymen to whom he has inflicted great evil. He's guilty of the crimes that took place in the Republic of Croatia, he's guilty. So the minimum courtesy would be of the man who was hoarding that poor girl to create a big Serbia to apologize, to minimum what it should be, not to throw into the wires of our widows, sons, parents who wanted to protest yesterday, and only what I'm saying now and order their differences with Colinda Grabar Kitarovic who declared them marginalists. The marginals declare those who gave their lives and theirs. No matter what rhetoric it will be, the protest is a democratic expression in accordance with the law. It is necessary to be ashamed, of the whole system, of the MUP, of all those who have made a political decision to ban protests for the first time on people, of widows who have lost their loved ones. And the protest was reported in accordance with the law. Alexander Vukic, I'd like to send you a message: "The Emperor is naked". Reply to people of Serbian nationality in the Republic of Croatia, respond to Croatian defenders, citizens of the Republic of Croatia when are you going to Croatian Clay?
ParlaMint-HR_2018-02-13-0.u66050	I thank Mr. Bull. On behalf of HDZ, dear colleague Miro Kovac. Here you go.
ParlaMint-HR_2018-02-13-0.u66051	Thank you very much, Mr. President. Dear colleagues and colleagues. It is true that Mr. Vukic, the president of Serbia, is staying in Croatia. Yesterday he was at the Office of Presidents in the Croatian Government in the Office of Presidents of the Croatian Parliament, in the Croatian Parliament. However, whoever chose Mr. Vukic, whether or not Mr. Bulj may have chosen him as president, did not choose him, neither Mr. Maras nor my smallness, nor Mr. Bacic, was elected by the citizens of Serbia. Mr. Vukic was elected president of Serbia and we in Croatia took note. So he was elected by Serbian citizens and we with the legally elected president of Serbia need to talk if we want some things that concern the legacy of war against Croatia to be resolved. We remember very well in '91. The years, the rocketling of the Ban Courts, we had the other day, three months ago and the anniversary of October 8, '91. year after that, President Tudjman, who was the target of the attack, was called by President Gorbachev in Moscow. The talks also included Mr Tomac as deputy prime minister of national unity and foreign minister of Yugoslavia. Mr. President Tudjman went to the talks after Milosevic tried to kill him along with Stjepan Mesic and Ante Markovic. President Tudjman negotiated with Milosevic in Geneva even though he knew that Milosevic had previously been sent to Croatia's death squadrons. It's a reality. What do I mean by that? We don't choose foreign representatives, officials, they're elected by their citizens, their citizens. And we're talking to them. There are others who receive the wolf as president of Serbia, not just us. He was in Austria with Mr. Kurz,... Also received Vice-President Strache in Belgrade, others are receiving him. [[The speaker doesn't understand.]] Therefore, we will talk to him too, we are talking to him because he is a representative of Serbia, president of Serbia and if we want to address open issues concerning the legacy of war, aggression in Croatia, we can only deal with him, with whom will we solve it? With the opposition in Serbia? We can't. Only with those who have power, he has power and we expect him to use his power to solve the question of the legacy of war. The missing, Croatian minorities in Serbia, the victims of war, the question of campers, we have to solve all of this, and we will deal with it. And here we have two channels, Channel A are the relations of Zagreb-Belgrade, Channel B are the EU-Serbian relationship where we have these criteria that are embedded in this famous chapter concerning justice and fundamental rights. And until this is settled, we will act as an accountant, not only us but also our partners in the EU, until these issues are resolved, our neighbours will not be able to join this European family. It's in their interest to resolve it and Mr. Bulj felt the climate change yesterday when he threw Mr. Vukic here in front of the Parliament why he didn't go to Glin, he was still showing himself, why? It still bothers him. He's not happy, he's still talking to you, so he's aware that he was mistaken, that he was in a mythomanic delusion, but it's not our job to get some excuse out of someone, it's up to him, he has to decide himself whether he's going to publicly manifest himself when it comes to these delusions, it's his personal matter. What is much, much more important for us in Croatia is that we begin to address the issues of the legacy of war because when it starts to be resolved, when Croatian citizens see that our people are treating Croats in Vojvodina normally, as well as Hungarians in Serbia, when we have shifts in the area of finding the fate of the missing, when our campers receive compensation for their "stay in Serbia", then we will finally be able to work together with Serbia as the French and Germans do today, turn to the future, have some normal relations that we want, of course. And before that, we will resolve the question of the legacy of war. Thank you very much.
ParlaMint-HR_2018-02-13-0.u66052	I thank my esteemed colleague, Miri Kovac. We now move to debates on the agenda, united by all five points of the agenda. Dear colleague Maras, please.
ParlaMint-HR_2018-02-13-0.u66081	I am looking for a break on behalf of the club for ten minutes to talk about an affair of consultants and Andrej Plenkovic who decides eight days about what is clear in Croatia in 15 minutes. Thank you very much.
ParlaMint-HR_2018-02-13-0.u66082	Thank you. Dear fellow Boric, please.
ParlaMint-HR_2018-02-13-0.u66083	We're also looking for a ten-minute break on the same subject.
ParlaMint-HR_2018-02-13-0.u66084	Thank you. Anyone else? Thank you very much. I'm setting up a recess. We'll be back to work at 10.50 hours. It's 10:00.35. [[CONTINUATION AFTER MEETING IN 10.50 HOURS]] On behalf of the SDP Representatives Club, dear colleague Gordan Maras. Here you go.
ParlaMint-HR_2018-02-13-0.u66086	Thank you very much, colleagues and colleagues. For the sake of the Croatian public and for the sake of justice, we here are obliged to warn about some things, and one of these things is what happens in Agrokor and what Plenković Andrej does, or does not work, around Agrokor. Croatian citizens must know who brought Ante Ramljak to Agrokor and here is a picture of this person, namely Ante Ramljak and Andrej Plenković, 10.4.2017. So there's no Martina Dalic story, of course there is, but there's not one that's decisive. There are also stories about Borislav Skegra probably, but there is not one who is decisive but is decided by Andrej Plenkovic, to bring Ante Ramljak to Agrokor and appoint him as an extraordinary commissioner. Last week, another picture of two of the same winemakers, 5.2.2018 meeting Plenković Ramljak in Vlada, Ramljak brings documentation related to consultants Andrej Plenković. So, it is evident that colleagues cooperate, exchange information, that Plenkovic placed it there and that he has now received information from him about consultants in Agrokor, meaning 5.2.2018. What's going on? Today is 13.2., 8 days have passed since Andrej Plenkovic received the documentation, 8 days have passed since the day he can no longer say he doesn't know, but he didn't do anything. You know what happened in those eight days? Texo Management and two other consulting firms have made up 600 thousand kuna in these weeks. This is the product of Andrej Plenkovic's work. So since after he got the information last Monday, by this Monday there were still 2 invoices per 250, about 250,000 kuna and another invoice under 100,000 kuna. It means 600,000 kunas to us now or, Agrokor, but since the state passed the law and stood behind Agrokor and Commissioner Ramljak pays for it, Agrokor costs the inaction of Andrej Plenkovic. And now we're wondering why? We have an unsatisfactory response from the government of the Republic of Croatia that the diameter had an intense week. What does an intense week mean? He didn't have time to check the paperwork? It's like he's going to do his own analysis, like he didn't say it himself last week when he was in Strasbourg, that he's given professional services to check out what's clear to the citizens, everyone in the Republic. There's no such thing as this, it's not normal, that your friends, acquaintances, etc. You are engaged in Agrokor, and after 10 days, they are taken by the consultant you have chosen, that they are such fees, such as those companies in Croatia have never received, it is not normal and everyone knows it, you from HDZ and you from HNS and colleagues from Most and from the rest of the opposition. We all know that, all the citizens of the Republic of Croatia but don't know Andrej Plenkovic. And now I ask once again, how many men who have brought there Ante Ramljak, who have allowed these consultants to be employed in Agrokor and make 250,000 kunas a week, how much that man will still think, analyze and do nothing. Or what we suspect in the SDP is that Andrej Plenkovic is behind those consultants. If Andrej Plenkovic were behind those consultants, because it wouldn't be funny for Bačić and Boric, that three companies earn nearly 600,000 kuna in a week, as well as 500 people who go to Konzum every day, do their job fair 8 hours and earn their bloody bread. Then Bacic and Boric wouldn't make fun of it and think they can do what they want from the position. It shouldn't be in the Republic of Croatia like that, ladies and gentlemen. And that's why once again, Martina Dalic, okay, we all know everything, Shkegro, we all know everything, but this man brought in Anta Ramljak and made it possible for a law that at this point, these consultants make almost 250,000 kuna a week, and I say, those 3 companies almost 600000 kuna. How long till Plenkovic?
ParlaMint-HR_2018-02-13-0.u66087	I'd like to thank my colleague Maras for the explanation of the break. On behalf of the HDZ Representatives' Club, respected counterpart Josip Boris. Here you go.
ParlaMint-HR_2018-02-13-0.u66088	Thank you very much, Your Honor. A colleague of Maras, listening to you and following your work in this House, but also outside of the Assembly on social networks, recently I saw that you cried out to Croatian citizens that you wanted to be a better representative and that it is important that they tell you that you would be a better representative in the Croatian Parliament. So here I am, and as a citizen, but also as a politician, a representative, I'm going to say that this may not be the best way to be a better citizen, i.e. A better representative than he is, because the fact is that this persistent calling of some people on one subject, from week to week, day to day, doesn't help you, not to the citizens, not to Agrokor. It's the only thing that can be measured from all your discussions. And this force of yours in an excuse, not impressed, here, simply neither the color of the voice nor anything else, which you've done today, here showing these few images and speaking the lie. It is simply that your poisoning of the debate on Agrokor does not contribute to the citizens or Agrokor or employees or to those who today work hard to keep this system alive after what we witnessed at the 4th month of last year when that big system got into big trouble. You in your Bundes league, i.e. in the SDP you have a lot more problems I think than Agrokor and you're simply obviously trying to transfer what's going on with you to another area. It's Agrokor or this assembly, but it won't work because we'll answer your lies every time. And you brought them up in your debate, primarily accusing the prime minister of the Croatian government of showing some images when we all know that most Croatian MPs voted in favour of the law in this House, that this law allowed normal functioning in a situation that was difficult for both employees and young people to supply both for the OPGs and for the large ones and that, unfortunately, yours apparently in the SDP, was successful. I am now rightfully wondering if you promised someone in some time that you wanted to break up this Agrokor or everything that's going on and every day talk about it to achieve some opposite goal because we can't forget that there are stakeholders who might not be the goal of having that story with Agrokora end in the best possible way. Maybe there's some truth there, too. As far as the government commissioner's story is concerned, he is not the government's commissioner, he was appointed by the Trade Court and named by law by an extraordinary commissioner. And I don't know why you want to suggest to citizens that the whole story is run by the government, and it's not true. And it's not true that thesis. The extraordinary commissioner is the choice and works in favor of the religious and religious council. And they make a decision together, we hear the thoughts of a religious council about his work, what little suppliers think, what those who depend on his work think. In order, everyone praises him. It means that by replacing the thesis, you're trying to suggest to the citizens that the whole story about this Agrokor is being led from the government, that taxpayers' money is being resolved by the situation in this Agrokor and that taxpayers' money is being paid by consultants of this or that. That's not true. And for a hundred times we've repeated here, not one single kuna of taxpayers has entered the whole story in the past 10 months. What are we politicians going to do by arbitration between relations that rule within certain business groups that deal with business? Maybe it's a bit of a political point. But we won't solve the situation, especially this way. And it is not correct of you to suggest to citizens opinions that do not stand. And you're accusing people who clearly said, as the prime minister said, when I analyze everything I got, and if I had to get it, I'm not going to do it with a text or a message or a phone call, then I'm going to show myself what's going on there. That your impatience may continue a little longer so you will be aware that you have been in error as you have every time.
ParlaMint-HR_2018-02-13-0.u66089	I thank my colleague, Boric. In the opening part, you did not present the club's point of view but rather expressed your subjective opinion about your colleague Maras and his presentation, and I do not think any of us are invited here to appreciate the work of parliamentary representatives, but you will appreciate it when the time comes and I ask you to stay away from such a way of debate in the future because again, in the context of the break, you must present the position of the club. Likewise, do not belittle any of the parliamentary representatives and MPs. Here you are, Mr. Maras, a breach of the Rules of Procedure.
ParlaMint-HR_2018-02-13-0.u66090	Thank you. 238., you have already done one piece and you have pointed it out and that is why I give you once again here a public commendation that you are the best host of the plenary session of the Croatian Assembly, you are way off from everyone else but Mr. Boric will probably not listen as he has not listened to any of them so far. With what he was insulting with the "trouble" epithets, etc., he didn't even stick to it, so he didn't announce that he was going to talk about me and then he said some pictures. So these are pictures here's one more time I'm going to show you, that's the picture where Plenkovic promoted Antu Ramljak. So people need to know that Andrej Plenkovic promoted Anta Ramljak, and on that side why is that unacceptable to you? So I think you should commend Plenkovic for putting Ramljak there and allowing people to make $250,000 a week. And you're talking and suggesting it's right, and I'm going to say it's not and what's the problem? Thank you very much.
ParlaMint-HR_2018-02-13-0.u66091	Thank you, Mr. Maras. Introducely you set off nicely, then you transferred to the replica, so please don't abuse the institution's injuries to the Rules of Procedure. Injury of the Rules of Procedure, dear colleague Sabina Vosovac, come in.
ParlaMint-HR_2018-02-13-0.u66092	Thank you, Mr. Vice President of the Croatian Parliament. In one piece, you have already warned Mr. Boric in a violation of Article 238, paragraph 5, where he has demeaned or insulted other MPs, in particular in his opening work he has dealt with a colleague, Maras, unaware that he can kill a messenger but cannot be the truth. In the second part, however, he insulted all SDP representatives when he said we were on some sort of mission to break up Agrokor and avenge the plan to rescue Agrokor. I have to make it right, it's a notorious lie and a lie. Our only task is to save Croatian citizens from potential potential damages and to pay the debts that some of your others have made, I will not say comrades but comrades, it is our only task. So what you said is a ludicrous lie. I personally am not on any mission and I work in the interests of the citizens of the Republic of Croatia and no other stakeholders.
ParlaMint-HR_2018-02-13-0.u66093	I thank my colleague, Voter. Same answer as Mr. Maras. Thank you very much. We're moving on to the debate. Honorable MPs and MPs, good afternoon to all. We're moving to a debate on the agenda planned for today. Since the following legislative proposals are about the same amendment, I suggest that if you agree to conduct a joint discussion of five points of the agenda: - Proposal for a Law amending the Law on patents, first reading, P.Z. No. 271; - Proposal for a Law amending the Mark Act, first reading, P.Z. number 272; - Proposal for a Law amending the Act on Industrial Design, first reading, P.Z. No 273; - Proposal for a Law amending the Code on Geographical Origin Tags and designations of origin of products and services, first reading, P.Z. nr. 274 i - Proposal for a Law amending the Law on the Protection of Topography of Semiconductive Products, first reading, P.Z. Number 275. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. The Constitution of the Republic of Croatia and Article 172. Rules of Procedure of the Croatian Parliament. Is there anyone who doesn't agree that, just a little bit about the break, is there anyone who doesn't agree that we have a united discussion on these points? There isn't. Thank you very much. We're going to take a break.
ParlaMint-HR_2018-02-13-0.u70555	I would like to thank the Honorable Vice President of the Parliament, the Honorable MPs and the MPs. So it's about five laws that I'm going to explain here, all five of a sudden because there's no point in every single one because the changes are the same in all the laws. Therefore, the existing laws governing the recognition of the right of industrial ownership, i.e. the Law on patents, the Law on Industrial Design, the Code on Geographical Origin and the designations of origin of products and services, and the Law on the Protection of Topography of Semi-Horizonal Products, are laid down among other things by the Institute of Appeal for Decisions of the State Institute for Intellectual Property in the first degree procedures of recognition of industrial ownership. The patent law is also prescribed by the Joint Institute of Appeals in the field of industrial property rights as well as by the second-degree body in all industrial property recognition procedures under the jurisdiction of the State Intellectual Property Institute. The applicable amendments to those laws are in line with the General Administration Act and the State Administration System Act in such a way that decisions of the State Intellectual Property Institute as the central authority of the State Administration are no longer subject to administrative dispute. In this respect, it is proposed to abolish the institution of the appeal and hence, after the end of this transitional period, to suspend the work of the Board of Appeal in the field of industrial property rights as the current independent second-degree body, which decides to appeal to decisions of the State Institute for Intellectual Property. The proposed amendments are prescribed as a legal remedy for these decisions by the Administrative Court in Zagreb and its resolution by an urgent procedure. Prescribing the jurisdiction of only one administrative court, i.e. This Administrative Court in Zagreb, of the 4 general administrative court, seeks to ensure the possibility of economic and effective specialisation of judges by the most highly complex and specific cases in the area of patents. That amendment seeks to ensure greater legal certainty and efficiency of the protection and exercise of industrial property rights in relation to the review of decisions of the State Intellectual Property Institute. The proposed amendments will also reduce the duration of the first-degree review procedure, in administrative cases for the recognition of industrial property rights, to power, to reduce the degree of review of decisions, from the current 3 to 2 degrees. In view of the fact that a two-stage administrative trial has been initiated since the establishment of the 2008 appeal procedure, there has been no justification for the existence of as many as 3 stages of review of decisions of the State Intellectual Property Institute and further slows down the legal certainty for the parties in the third party's proceedings, with the said non-compliance of the formal status of the Boards of Appeal and their members with the system of state administration in practice continuously creating problems that hinder their effective action, and on several occasions such problems markedly caused long-term interruptions in their work and caused legal uncertainty regarding the validity of industrial property rights. These drafts of the proposed law in question, which are referred to in public opinion to competent and relevant state bodies, have been held public debates and all observations received have been included in the final texts of the draft law or have been duly removed. For the amendments made to that law, it is not necessary to provide additional resources in the state budget of the Republic of Croatia, as well as in the budgets of the units of local and regional self-government since we do not expect it to have an impact on the overall state budget. Thank you.
ParlaMint-HR_2018-02-13-0.u70556	I thank the Honorable Secretary of State, Mr. Matko Gluncic for this explanation. Do you think maybe the committee reporter would like to take his word for it? No, I don't. We have one replica, dear colleague Gordan Maras. Here you go.
