ParlaMint-HR_2019-10-31-0.u148232	Here's your colleague, Sagar.
ParlaMint-HR_2019-10-31-0.u168134	Thank you, dear fellow Bull. Answer, dear colleague Maria Jelkovac, please.
ParlaMint-HR_2019-10-31-0.u168135	Thank you very much. We don't talk about what you're talking about here, we're talking about the possibility of giving a credible interpretation or not according to the Rules of Procedure, so there's no reason for us to give a credible interpretation. Reliable interpretation is not given to extend the legal provisions but when it is not clear what the legislator wanted to say in this case is not so. Thank you.
ParlaMint-HR_2019-10-31-0.u168136	Thank you. I'm opening a debate. On behalf of the HDZ Representatives Club, respected counterpart Josip Križanic. Here you go.
ParlaMint-HR_2019-10-31-0.u168137	Dear Vice-President of the Croatian Parliament, dear colleagues and colleagues, State Secretary. The HDZ Club will be against the proposal to provide a credible interpretation from the article. 29 The Law on Agricultural Land submitted to the Croatian Assembly by MP Tomislav Žagar. The Committee on Agriculture of the Croatian Parliament discussed the proposal for a credible interpretation from Art. 29. The agricultural land law and, also after further clarification, the Ministry of Agriculture rejected the proposal. Nedoumice is related to the adoption of a programme for agricultural land, which brought the municipal or city council to the mayor's proposal, with the previous opinion of the county and the consent of the ministry, or for the city of Zagreb City Assembly of Zagreb, for its area with the consent of the ministry. The proposer on the water is not clear whether the council should adopt a programme before the delivery of the programme with accompanying documentation to the County or the consent of the Ministry, which would be part of the accompanying documentation, or if the Council will adopt a programme at its meeting and after receiving the prior consent of the County and the consent of the Ministry to have the agricultural land owned by the State available on the basis of a programme of agricultural land owned by the State. The programme brings the municipal council or city council to its territory on a proposal from the mayor or mayor, with the previous opinion and consent of the ministry or the city of Zagreb City Assembly of Zagreb for its area of consent. The proposal for a programme is made by units of local self-government or the city of Zagreb for their territory. The proposal for a programme shall be made public for a period of 15 days in the seat of the municipality or city or city of Zagreb which is submitted by the programme. Following public insight into the proposal for a programme, the mayor or mayor shall refer to the municipal or city council of objections from public awareness of the decision of the programme's proposal for adoption. After adoption, on the municipal or city council, the text of the programme is no longer a proposal for a programme but constitutes a programme which is in accordance with the provision of the Article. The 29th paragraphs 2 and 9 of the law delivers its opinion to the county and the ministry's consent. The units of local self-government or the city of Zagreb cannot dispose of agricultural land owned by the state prior to the submission of the programme on which the ministry has given its consent. Therefore, it is doubtless to give a preliminary opinion to the county and the ministry's consent leaves a programme that has been adopted. I note that the Ministry gave sufficient instructions to units of local self-government on the basis of which the JLS acted and there were no problems on the ground when making available to agricultural land. Finally, I point out that paragraphs 9 and 12. 29. talks on a programme for the availability of agricultural land owned by the State and not on a proposal for a programme, and it is clear that it must be adopted previously by the Council. So HDZ won't support this proposal, thank you.
ParlaMint-HR_2019-10-31-0.u168138	Thank you, we move on to the next debate, on behalf of the Club of Representatives of the Independent Lists, dear colleague Miro Bulj, please welcome your colleague.
ParlaMint-HR_2019-10-31-0.u168139	Thank you very much. Here we see that this is a very important topic because in the chaos created in the Republic of Croatia is land management, the management of agricultural land is visible that it is targeted chaos, that it has shifted from local, regional, state-owned self-government in essence, we have in fact today as I said, 700 000 ha of unprocessed land and agriculture that should be the main development branch and survival of people in the regions of the Republic, today we have this chaos and I do not think that fellow Žagar is right in this work where it is required that public, transparently, the opinion of the Croatian Parliament body is created because such chaos in the agricultural land, in the Republic of Slovenia from Slavonia to Dalmatia is not known who assigns state land and in what way it is available because the policy of the Ministry of Agriculture is clearly the aim to welcome 1.1. and that finally foreign natural and legal persons buy agricultural land and certainly the village has been evicted, targeted as well as a matter of the city in which is not necessarily needed in terms of law, but in terms of agriculture, and in terms of justice, which in terms of land. The inspection findings that came out, they gave frightening results, that's what the media said, that in the Republic of Croatia, the correctness of food that should be most important, the demand of all of us consumers is essentially that the State Inspectorate last year, i.e. The controls that have been made essentially show that the deception of customers, false declarations, are essentially just looking at the noise of oil more there are sunflowers and basically we have areas that are empty, we have meaning of the dairy industry that is in decline, today we have karst areas, for the assignment of pastures in karst areas that are assigned to hectares of people who have no cattle, and in fact those who are dealing with the production of cattle and who are dealing with dairy production cannot in the karst areas either in my Ceti region or in all 8 regions of the karst area. People who do cattle can't get but get those who don't have cattle but get neat incentives. For example, we have one in Benkovac, I've been with one man these days,... Man holds 100 and some cows, he can't get a hectare of land in the karst area because if Slavonia is good for cereals, so the karst areas are mainly seen to have more and more burned and areas where cattle should be grown, today we have a problem with what the land is issued i.e. they don't even know what a cow looks like. [[The speaker doesn't understand.]] And that's why we have a problem today that last year in the Republic of Croatia 10.5% less dairy products were produced in the Republic of Croatia, 10, and less than that is 16.5 in the family farms. When we look at just how many incentives there are, here's the minister might say, how many incentives are divided, and we see that in everything there is a fall and that we have on our market means in stores with fake declarations we buy milk that has nothing to do with milk or, we buy oil, here, when I read everything there is, olive oil that simply false declarations, which are acidic, they have a residue and they're not well marked. We're buying bad food. And now we're surprised, that import, mostly imported, harmful food that we import, that are falsely declared, the declarations are false, we buy it while our agricultural land lies. For what? It's the chaos. For washing Pilate's hands. And I think, here is my colleague, Žagar, that he has well asked the question, that once publicly speaking, who is responsible for the allocation of land, agricultural land owned by the state and the chaos that you have made targeted in the ministry because the ministry is obviously not a problem of weeds, is not a problem in fields or weeds or everything we have, which we have to contain, is the biggest problem of weeds in the ministries, and mainly the Ministry of Agriculture. I don't know how much the paying agency has given so far, and who it's given it to, that it's now to see how many incentives have gone and who's gone, and we're reducing production and we're boasting with, so look, Slavonia is definitely empty. I'm sorry the secretary didn't come here, so here we are. I'm interested in the questions, how much has been given for cattle, for pastures, and do people who really have cattle get that? I guarantee you, here, I will soon go to Benkovac to the man who has 100 cows, no more than 100, so cattle, no hectare of land, but in his neighbors he must rent private land, and while people are given land pastures that have no contact with cattle, he knows neither cow nor bull nor ox, absolutely no contact. She doesn't even know how many cows she's got. Absolutely not, they still think the chicken wears two eggs a day and they're raising incentives, dear secretary. And that's what this is all about. So if it's an interpretation, the legal interpretation must be given to HS then let's give it. Let us define it, regardless of what is created in the local self-government and county which is otherwise the problem of Croatia, Pilateski always washes his hands, not only in terms of agriculture, but here, irrigation, the county is the role of irriminating, my Sinjsko polje is not alleged, 2019, Split-Dalmatia County and does not care, except for pre-election purposes mainly at the time when the campaigns then the ministers come. Here before Tolusic, I remember when there was a campaign for local self-government and regional, Tolusic visited every barn where there was a chicken and a cube. But it's not enough, it's not enough. We must not stop people who want to deal with livestock and agriculture, both agricultural land, and so in the karst area, and that is, we know, 8 counties, it's a huge area. So Croatia currently has only 16% processed agricultural land. 700 thousand acres is unprocessed land. And once again, my dear secretary would ask that the Ministry of Agriculture be renamed i.e. Here, I'm giving my colleagues to call the Ministry of Agriculture Destroying the Republic of Croatia, all indicators say we're importing over now, coming up to 3 billion euros in food, increasing imports, reducing production. We see that tourism, as we boast, is growing, although it is questionable, so you will see how much we import food, whose food we produce, you haven't solved the irrigation systems, the county doesn't care about it or care about it, the same way I said with waste management until today they can't get rid of them, of course they remember in Sinjsko polje to dump along the river Cetina, they can remember the waste, so it's promised, here's fellow Shipić to attend a meeting, a colleague... will address this problem last week of waste disposal where it has caused enormous damage to Vrgorac and the Cetina region, however, the question of irrigating the Sinj field, which is already the best time for the next year when it is pre-election year, there will be promises, and since so many promises have been made, and I have promised, for all these promises, I will lay down a cornerstone for them, one part I have managed to lay down, I can't do all, I can't find the foundation on the Stonestones as much as I have to keep those promises. [[The speaker doesn't understand.]] So, you've compromised agriculture, you've compromised the assignment of state land, you've created chaos, you've destroyed livestock production, you've destroyed the village, you've destroyed the peasants, our citizens are buying bad food, you've made a catastrophic food that's been falsely declared on shelves, which is what the inspection finds are, you know that well. So that's why we have an increase in safety and disease because that food isn't faked or healthy, we have honey that absolutely doesn't have any honey, it sells honey that doesn't have any honey ingredients. Not even a bee had anything to do with it. That was on our shelves. Out of 10 products, 8 are fake. For what? Because you purposely and deliberately destroyed domestic production, targeted. Because of this chaos and when legal interpretation is to be given, then we are against legal interpretation to make a somewhat reasonable decision. E, but the legislator prescribed the responsible local self-government. Who's responsible for the pastures? Here, I'm asking the secretary. Who is responsible for the karst areas? Secretary, will you be able to answer me? Who is responsible for the karst pastures, how much do you give money, money, yearly, dry money for pastures, for incentives by hectare? Well, here's the thing about my understone work. The Stonestone doesn't have people involved, they got it, they had nothing to do with beefing. Here, Šipic will confirm how many they got, my colleague, and they don't have a thing, they haven't seen a cow or what it looks like. And that's a fact, we have to tell them the truth about things, so they're questions for the DORH. Well, the battles are fought. Conflicts are being fought, shoes are being invented in a piece of ass or no hoots in those conflicts. Well, you've destroyed Croatia worse than during all the occupations, so the Dalmatian Zagora is currently Slavonia, all the occupiers who have passed long ago, from Turks, fascists, Nazis, communists, all who have passed, now have less to do with the behaviour in these areas because of the policies that are being implemented, and this part that is most important because mainly the cattle grounds when we talk about Dalmatian Zagora and the farm in Slavonia and this work, it's all empty, for what? It's the incentive. Those who receive incentives, have absolutely nothing, here is counterpart Djakic to confirm the same thing, you will all here confirm, all who come, neither have seen the cow, nor know what the calf looks like and receive incentives in millions, in billions. And when legal interpretation is given for this part of agricultural land, the allocations given by local self-governments, which local self-governments assign to the land that cannot be defined, is local government, and there is no such thing as that deep state. That's the money that both parties and campaigns finance, from these incentives, and that's how the system works. It's an amazing network. I can't imagine that people who have 100 cattle, don't have one square and live in that area, let's say Bankage, I was with a man, I'm going to go to him if I have time today because he called me, he can't get a pasture for use, he can't get a pasture for use, but they've got those who have absolutely nothing because he'll get incentives per hectare. That's it. A simple formula and a pair of mud and cows nowhere. No cows and how many moved them from the barn to the barn... From one area to another, we would be able to talk about it so that what our colleague, Sagar, has opened up, we should give him legal interpretation, we should not invalidate even opposition proposals because the opposition proposals if they are good, we should give them good, I believe that this decision on legal interpretation who, what, around state land, and once again at the end I will warn you, distinguished secretaries, all MPs and the public that since 1.1. As of next year, the agricultural land that has been abandoned has grown into weeds will be very welcome for the organic production of foreign and natural legal persons who can buy agricultural land while the Croatian citizens in the EU we call on cannot buy it in Hungary. [[The speaker doesn't understand.]] Why such inequality towards Croatian citizens and farmers? Now that you've evicted all of Slavonia, the Dalmatian Zagora, now the foreigners' power will come cheaply to buy that land and then our children will dig on their grandfather for foreign land owners. If that's the formula of the Ministry of Agriculture, remove it. Thank you very much.
ParlaMint-HR_2019-10-31-0.u168140	I thank you, we move on to the next debate, dear colleague Tomislav Žagar on behalf of the Club of Representatives of HSU, SNAGA and Independent Representatives and New Politics, please.
ParlaMint-HR_2019-10-31-0.u168141	Thank you, Vice-President of the Croatian Parliament, the Honorable Secretary of State, colleagues and colleagues. In fact, just to say in the introduction, someone might now say that we are discussing last year's snow because most units of local self-government programs have been brought in, these programs, most of them have been given the consent of the ministry but on this topic should be addressed for several reasons. The first is that in this procedure at the time and my submission of requests for credible interpretation I noticed on the ground that in fact the units of local self-government, those who decide, the municipal chiefs, the presidents of the council were asked for because they were not aware of how they should act, what is the procedure of adoption, so making correspondence, everything that precedes the final act or act in which the municipal council brings a programme of agricultural land, there are various forms of verbs, grammatical forms of verbs, is there, and there are variations in the law, I am not a lawyer but I know something about logic, so I am also taking logical models here only to begin with a logical puzzle as an introduction, which is the whole point of this story. In fact, at one crossroads there are two brothers, one of them is always lying and the other one is always telling the truth, you don't know which one of them is always lying and who is telling the truth and one of them is leading to the swamp one time, another time leading to the city. You can ask such a question that with certainty you can know which way leads to the city if you don't go to the swamp, that question would say what your brother would say if he asked him which way leads to the swamp, in which case both would point to the city. It's one logical mechanism. Namely, it is also called in logic and a set in which the false truth always gives a lie, so it takes two truths or both the switch must be turned on to make the light light light light. Why am I saying that in this part? In Article 29(2), however, says: “The programme brings a municipal or city council to its territory on the proposal of the mayor or mayor, with the previous opinion of the county and the agreement of the ministry. ” So here is the ally and. Once again I will read "The programme brings a municipal or city council to its territory on the proposal of the mayor, with the previous opinion of the county and the consent of the ministry", it is clear that here it warns the previous opinion of the county, and the agreement of the ministry is not said before, that is true, but it is sought with this ally and. So it can be assumed that at that time it also needs the previous opinion of the county and the consent of the ministry to adopt the programme on the proposal of the Commissioner. Item 5 introduces a new concept, which is the very proposal of the programme, it is clear by supporting documentation that is exposed to public insight for 15 days in the seat of the municipality or city of Zagreb which brings the programme. And then it's still a key article 12. "The units of local self-government or the city of Zagreb cannot dispose of agricultural land owned by the state prior to the adoption of the programme on which the ministry has given its consent." And now the ministry is either like this, I couldn't ask a negative question what the government would say that I'm saying I shouldn't give a credible interpretation... positive, so this answer is that I don't need a credible interpretation of the same answer. Actually that's what I've got a credible interpretation of by answering that you don't need to interpret it crediblely. So, the programme was adopted when the municipal council at its session adopted the programme, following public insights with proposals and sent it to the ministry and the ministry agreed. Now that's where the second part of the problem comes in, so we got the interpretation, that's a chance to discuss that part now. What's the consequence of all this? And I asked the deputy minister then, the current minister she was on the Committee on Agriculture and she said very clearly and I asked her and I asked her to enter the minutes, so the ministry takes responsibility for everything else that happens with that programme, so with the call for tenders and everything that happens in that procedure except, of course, that the local self-government units have to conduct a competition under the law, but in case someone complains that the programme has not been adopted in accordance with the law. And another thing, this way to units of local self-government, indeed, is that now the former minister has claimed that they have been returned to agricultural land, but the ministry has taken the final decision. In other words, the ministry confirms that units of local self-government have brought in. It's a little unacceptable to me because municipalities and cities can't serve as administration to the ministry, so they're not for it. We have the European Charter of Local Self-Government. So, the ministry is like that funny video where he says and where the seal is. In fact, the ministry must now hit the final decision, given consent. And the program has already been passed on to the municipal council. I think this solution would be better if it required a credible interpretation that once the ministry agreed that the municipal council then brought its final programme. One of the reasons in practice that seems to me even though my colleague Bulj spoke a little awkwardly about it, and it is about buying land that will enable the purchase of land in the Republic of Croatia, it seems to me a little more dangerous and that is also in my community case, I don't know how many municipalities are cases. The municipalities placed something on agricultural land intended for sale, the ministry warned of removing it from the programme. You know why? That correspondence went on the phone, it didn't go in writing, of course, because the ministry is going to write in writing when it finally gives what I have to say a blessing because they haven't provided enough land to return. In the area of my municipality, watch the data now, the unofficial data from the then State Office in the county of 3000 and some hectares as many municipalities as 1600 are required to return, almost half the land. And we in Article 30 of the Law have that the municipality can sell up to 25% of agricultural land. And of course the ministry reacted and said, so you don't even have this return, it was put somewhere around 300 acres. That's a huge problem. I don't know how many Slavonian counties and how much land is scheduled to return, but it's a lot of land. So, finally, let me get this straight. I think that by refusing to give a credible interpretation, it was actually given a credible interpretation, eventually it was done, so the municipalities had no choice. They adopted the programme and sent the programme to the ministry for final consent. This led the ministry to assume responsibility in the event of competitions being opened when certain OPGs or agricultural holdings were given the country according to the competition, if the complaint was not handled, then it is responsible in that case. We hope that these cases will not be, but you never know because this kind of rejection of credible interpretation can happen because it's only the procedure, the legal procedure that happened. Thank you very much.
ParlaMint-HR_2019-10-31-0.u168142	Thank you. We're moving on to the next debate. On behalf of the SDP Representatives Club, dear colleague Allen Prelec. Here you go.
ParlaMint-HR_2019-10-31-0.u168143	Thank you, Your Honor. Dear Secretary of State, colleagues and colleagues. I understand my colleague Sagar, but I really don't see why we didn't get a credible interpretation. But the fact is that we have some laws that are rather vague and ambiguous to us, multiple times in this case you need to be a farmer and a lawyer to interpret well. I'm here as head of the local self-government unit and I have my own legal service in the community, I have a good lawyer, and I've really asked around about this, he says, so it's clear to me, but you have to be a top lawyer and I really have a great lawyer in the community, do all the municipalities and all the cities have top lawyers, that's a question, but here's a reason why here we didn't get a credible interpretation so there wouldn't be some things unequivocal. The fact that we have a problem with all this together when we look at this Agricultural Land Act, who is ultimately responsible? If something's not going to be right, is the county responsible, the ministry, the municipalities, who's responsible and who's responsible multiple times with us is a very, very important thing. We used to have socialism and self-government, all responsible for everyone and nobody. I think it's actually very important that we know who's here who's making what decision and who's responsible. Here I have to say that after talking and interpreting my lawyer, this is much clearer to me but I'd like to write a little clearer but I'd like to write a little clearer law that is unequivocal and there's no possibility of a deviation from it. Here is one of the proposals, for example, my proposal for an amendment would be on this point 2. which should read the programme brings municipal or city councils for its area on the proposal of the mayor or mayor while the same entry into force as it comes into force means this supplement would mean that it would not be ambiguous, meaning as the same comes into force, according to the County and the consent of the Ministry, or the City of Zagreb of the City of Zagreb, for its territory, with the consent of the Ministry. So that's one small thing about these 3, 4 words. As long as the same goes into effect in the present opinion. It would be much clearer for anyone who might be in doubt about this. The units of local self-government, or the city of Zagreb, cannot dispose of agricultural land owned by the state prior to the adoption of the programme to which the ministry gives its consent, means the programme adopted by the municipal council and the agreement of the ministry is finished. So until it's won, the municipal council brings a programme, puts it in the process, but it hasn't been adopted until the ministry gives its consent. I say, it would be good if we had unequivocally unequivocal laws where we're simply not really in doubt whether we have to do it one way or another and if we know who's bringing it and who's answering when it's not good and it's not good, there's definitely gonna be big complaints, there's gonna be a farmer who's going to complain about it, I'm just looking at it, here's an inscription in some newspaper and I'm going to read it, and here's "The chaos in Croatian fields, worked hard, lived happily until the new law comes." I will refer or say whether this law is good or bad after a certain time. Maybe it's a little early to say he's good or he's bad. I wish it was good, if we could make a really bigger step available to Croatian pastures and Croatian countries, however, here I am somehow always skeptical about these laws that we are making new ones because they might sound nice on paper, in theory, through the window of some bureaucrat who participated in writing the law and then in practice it's something else, I would really like this law to be good. We also have examples of where wars have begun. We have an example of a garlic producer who found a bomb in his backyard, will a new war begin for the country in Croatia? It would not be good, and that is why I am sorry that here, the Croatian Agricultural Chamber I believe that it participated in writing this law but if we had tried really to do everything possible to comply with farmers, with lawyers, with the chamber and that this law was really a step forward and a good law. The long-standing impotence of the system is well known but also the lack of political will to make fair words the problem of renting a state country. I believe it's behind us, that in the future we will have a fair division of the country but that we will allow all farmers to live from that country and not war. Here is again the latest example that the head of a small municipality in Slavonia is charging for the approach of agricultural land. All these are ways as here, perhaps local self-government leaders try to bring order into agriculture and the availability of agricultural land, and some cases of disorder. I'm not saying that everyone is sinless and that everyone is well-intentioned but the fact that we have chaos at this point and how it's going to be with the law when it comes to 1.1, we'll see. I've said several times that unfortunately some laws, I'm not going to say that it's this one, they write and some bureaucrats who look nice out the window and never really face the problem, it's not agriculture, maybe even the least in agriculture, but in many, many other things. We're here to pass the right laws, the right laws, the unequivocal laws, but when a parliamentary representative is not sure about the interpretation of the law, then I think one whose job is not to understand the laws has even more doubts. And that's why I'm saying, I don't see why here's why we didn't get an unambiguous interpretation, as my colleague Sagar wrote, to implement this credible interpretation of the law, there's no need to provide additional resources in the budget of the Republic of Croatia. And we could put here, clearly, unequivocally interpreting this law and I don't think there would be any doubt, thank you very much.
ParlaMint-HR_2019-10-31-0.u168144	I thank my colleague Preleco. We move on to the next debate, on behalf of the Club of Representatives of the HSS and Democrats, dear colleague Davor Vlaovic, please.
ParlaMint-HR_2019-10-31-0.u168145	Thank you very much, Vice-President of the Croatian Parliament, colleagues and colleagues, dear secretary of state. On behalf of the HSS Club, I must say, it is a good thing that a credible interpretation of the implementation of the Agricultural Land Act has been requested. Why? So when we bring laws here to the Croatian Parliament, then we expect them to be just, that they are enforceable and there are no doubts in the field about the application of them. This request came to seek out several units of local self-government because they were in the dilemma of how to implement the Agricultural Land Act. And you remember when the law was passed that I was saying that it was illogical to pass the law, to come into force and pass the obligations to local self-government units within 6 months. they have made available programmes for state agricultural land, and at the same time in that law, it states that the ministry, has an obligation, has its own task, to adopt the rules within a year, and some 19 regulations concerning this law. Among other things, the regulation on how to look for a programme of state-owned agricultural land, which should be contained in it, etc. The mayors of the municipalities and the mayors simply resorted to the model to send any information in that regard according to the information they had available, according to the Ministry of Agriculture, knowing that they would be returned to do so because at that moment they did not have all the knowledge of what they had to do, what they could do and what needed to be entered into that programme of availability to the state agricultural land. And that I am right to say the information that the ministry sent me in response that 410 units of local self-government have so far applied for the consent of their available programmes and 205 have received consent. 205 means 50% still in processing. Why is it being processed? So precisely because of the uncertainty and application of the regulations, because the ministry remembered then, together with Croatian forests and Croatian waters, that everything that is run on a forest-economic basis cannot be in the programme of availability to state agricultural land even though it has been for 10 years, so is what is being led that it is public-water good and serves to protect against the harmful activities of water, it cannot be in the programmes and it has been in the programmes and that it should be thrown out of the programme. And the answer from the ministry is that they realize it's a problem and now here are the databases that will be online and where municipalities, e-citizens etc. will be able to do so. make an insight and modify your available programs. Here is enough talking about insecureness in the preparation and application of laws and units of local self-government are which are now required under the law to do so even though the regulation is unclear and in this section where it says that a programme for the availability of state agricultural land should be given the preliminary opinion of the county and the consent of the ministry. I said on the Legislative Committee that we should give a legal interpretation of the implementation of this regulation because I do not want the mayors and mayors who implement the regulation to come into the position that if a lawsuit occurs and believe it is of great interest to the state agricultural land and to be seen each point in the competition and in selecting the most favourable bidder, whoever does not win the contest, who is dissatisfied, will surely sue because he wishes to remain in possession especially if he is the former owner. He wants to stay in his possession, and if the court orders that no one can be taken out of his possession and brought into possession until the trial is over, he will practically remain in possession and simply stop the law and apply these positive rules. My proposal was if the law was already unclear and to install in the interpretation a clause, to suggest to the units of local self-government that once they get consent to the programme by the ministry, they once again give it to the council to confirm it. In this way, we would avoid this confusion because if the programme was adopted without the previous opinion and consent of the ministry, and most of them are the ones who sue, I believe that the court is watching what is written in the law and not what will stand in the interpretation of the ministry, by the instructions of the units of local self-government, explain the Ministry of Agriculture. It is not possible for the court to judge in favour of the one who is sad and who is dissatisfied, at least I think so, and the majority of the commissioners, and therefore they have asked for a credible interpretation and it is not good that the regulation in this way was the same that in the process of adopting consent, giving consent to the programmes, we introduce new rules and our proposal from the HSS, and it was my personal that everything that was in the programmes of the state agricultural land that was conducted in the records of the Croatian forests is at the forest-economic base of theirs and in nature is agricultural land, that it remains in the programmes, that they remain in accordance with this law of that unit of local self-government, also as regards Croatian waters, that everything that does not serve in terms of water protection and so far in the programmes is available, I do not see the reasons that the principles of this rule of Croatia will have to go beyond the rule. It is not good that our agricultural producers who have had such particles in their contracts and in the ARCOD registered for payment of direct payments, that we are now in a situation that they have to pull it out, is it our goal as a state to achieve greater production, to have more attracting funds from the EU through direct payments and production-related payments through other measures, or to reduce it, that our producers get less? So I think that you should be interested in getting more and not getting less and that it is unfair now towards and units of local self-government and also according to these OPGs who used such land that they now have to get it out of the programme of availability and it will no longer go into competition through units of local self-government but also through Croatian forests or Croatian waters and it is often such a competition as I hear from the field when it sets out Croatian waters for such a country, that it is not quite transparent, that it is getting land in use according to some strange criteria and that often the competitions are not public enough and that if you have a membership card, it is known to whom you can come to this country, and to be absurd even here Croatian water on one occasion in the municipality of Davor have broken the contract with the user of one such state agricultural land, although it has paid all of its obligations only because it was not politically susceptible to this country’s economy, which is clearly proposed against the principles of the Croatian economy, which is clearly proposed by the Croatian economy. Here is how this state land policy is implemented in the way it is now in the Ministry and Croatian waters, which is certainly not good and will certainly reduce the production potential of our family farms, nor can they plan their production because this has passed almost here 2.g. There are still no competitions, only 10th, 15 municipalities have opened a tender of these 205 that have received consent to the programmes, State Secretary you said about 20th that it has announced, but which are all municipalities, it would like you to publicly tell me what the municipalities have called for and for which areas for the availability of state agricultural land is because if everything goes as fast as I was a parliamentary representative waiting for the 4th month to get an answer, then it is certainly not good, because here I was in the 6th month asking for an answer to how much state agricultural land we have in the Republic, I received a response at the end of October, a total of 890 000 hectares of state agricultural land according to the data of the Ministry of Agriculture. And what is still the information that surprised me that the ministry does not have data until 2013 how much state agricultural land was sold, leased or in concessions, because they had until then local and regional self-government units, and from 2013 to 2018 it was sold through the Ministry or the Agency for Agricultural Land 346 hectares, renting 97 723 hectares and in concessions of 55,000 hectares, that's about 150-152 000 hectares, and what about the rest of up to 890 000 hectares, who has that data if the ministry doesn't have one? And you remember when I said the law was passed, it's good to have units of local self-government doing it again, but you have to hand over a clear state of how much state agricultural land is total, as much as it is in lease, in concession, how much it's sold, who pays, who doesn't pay, so the chiefs can enforce the law. Apparently, they were returned all of that without the right indicators because it says this answer that the ministry has no data until 2013. We started the Agricultural Land Agency for that, obviously she didn't get to do it all because, in the meantime, she was suspended for reform, for savings, so we see that she was almost 2 years old. It is necessary for the ministry to agree on 410 state-owned agricultural land programmes, meaning that the ministry is not as efficient or as efficient as when the agency was alone, it is not good, especially if there is no savings,... Even the increased cost of the ministry or people deployed within the ministry, someone needed to be head of the department, someone needed to get another post, they increased their wages which is good, and so we only have a bigger cost, and there is no real reform or savings, and we see in the implementation we are even slower. [[/The speaker doesn't understand.]] And what is crucial is the question that all agricultural producers ask when they will finally tender for state agricultural land so that they can plan production, that their programmes that prepare for rural development programmes can run, that they can round up their property and increase production or preserve that production on the ground. There is no answer, there is still 205 programs to get consent and only then will there be tendering and this procedure will last you know for at least a year, a year and a half, and in the meantime for those who have expired contracts, what with them, what with those who do not have a contract, and it is required to provide any evidence of use, and many with two witnesses have entered state agricultural land and are receiving incentives on the basis of it, so I ask you if we have any real information on who it is and which two witnesses have entered into the state agricultural land and whether it is really being processed and who is going to do the land audit, I think that this, and the problems we have to solve and not leave all that hot potato to the mayors and mayors in municipalities and cities. And here, I'm going to take the chance since it's a state agricultural land to remind me of another problem, which is that we should have applied as a state for another 3 years. the moratorium for the sale of state agricultural land to foreigners. In the 6th month, we sent another 20 MPs from HS to come to the Ministry, the Minister of Cooperation, and to explain at what stage we are at because we have not yet submitted a request to the European Commission and the Council, we have information that this is what the right information is doing, that it is only when we have started to work when we have submitted the interpretation that it has been such a while, and I think we are all aware that we need to submit that request and get another 3 years. the least moratorium for the sale of the country to foreigners because our Croatian village, Croatian agriculture, and from this data we can clearly say is not ready for the European competition of all European agricultural producers who are interested and for the state agricultural land in the Republic of Croatia, because in their countries they do not have enough and have such quality as we do, so I ask when we will get it in the HS debate, the Secretary of State may know, and if I do not get the answer, I will try to collect the signatures together and ask that this is a hasty matter to be put into debate in HS because I think that in this way we would even strengthen the position of the Ministry of Agriculture in the negotiations and the Republic of Croatia if we are in the assembly, I believe that it would be a unanimous decision that all of them, to ban the sale of state agricultural land to foreigners as yet 3.g. And to strengthen the position of the Ministry of Agriculture in the negotiations, I don't see why they're afraid of it, is that because it comes from the ranks of the opposition, if we're going to look at it that way then it's not, it's not the right approach. And here's why, because of our agricultural producers who are certainly watching this, the minister announced at the opening fair in Gudovac that in October she would start with an advance on the payment of the incentives 31st today whether or not she left? If it isn't, isn't it? When people are already in the final stage of sowing, you know, if they don't have the money that they can't even go with maximum investment through imputants to fertilisers, protection and quality seeds, they sow as much as they can from their own sources or be in debt. I don't think that's good if it was announced that it was meant to go before sowing and sowing that people could sow qualityly. And there are also a number of complaints here from the field that I get information that some over 180 OPGs get from the paying agency to return the extra payment and I think you need to see what it is and that the OPGs are rightly insecure, because according to the data they had in their records, they filed their claims and they think they have properly filed their demands and expect the Ministry of Agriculture to sit with them and to solve it, not to go with the lawsuits against the Ministry of Agriculture and the paying agency. Thank you very much, but I think we should have given a credible interpretation here for all the commissioners who asked for it. Thank you.
ParlaMint-HR_2019-10-31-0.u168146	Thank you. We're moving on to the next debate. On behalf of HSLS-HDS-HDSSB Representatives Club, respected colleague Branko Hrg. Here you go.
