ParlaMint-HR_2019-01-23-0.u123900	Now it is the independent representative of Hrvoje Zekanovic's turn, please.
ParlaMint-HR_2019-01-23-0.u123911	Mr. Zekanovic, Hrvoje Zekanovic will speak as an independent representative, so individually. Thank you.
ParlaMint-HR_2019-01-23-0.u123912	Dear Vice President of the Parliament, dear colleagues, dear colleagues. I will talk about the protection of life, I will talk about a law that the Croatian government does not dare put on the agenda and it is about the law on abortion. We wrote it, put it in a legal procedure, didn't call it an abortion law because our law protects life, so we called it the Life Protection Act. But I find it interesting that none of the HDZs are here right now, that they've all left the Assembly, that everyone has escaped from hearing what they belong to. And none of them wanted to sign the bill I offered them to protect their lives from the beginning. Not one. And you all know that HDZ is being declared a party of Christian Democrats, as a democratic party and no one wanted to sign it. And they have a chance, they have a chance to put him in the process, I guarantee we will have enough hands in the Croatian Parliament but they do not have the courage. Why don't they have the courage because a lot of things are more important, their priority is the party, the seat and democracy or Christianity obviously in the 3rd, 4th or 5th place, it's not that important. The law is simple, it is actually a constitutional provision that I must implement in Croatian laws. This is an article of the 21st Croatian Constitution, item 1 which says every human being has the right to live. Not born or unborn, but every human being. And science is that clear, no scientist, biologist, anthropologist, whoever, is going to say that life starts sometime later than inception, the life of a new human being begins at the moment when sperm fertilizes the ovary and becomes a zygot. And it's a new human being. And the Croatian law says that human life is protected. And we deny it. Not only that, today's government is denying another very important thing, which is that the Constitutional Court has given the deadline of 2 years and the deadline has begun to run in March 2017 to pass a new law, they have called it about abortion, I call it about protecting life because that's what it should look like to no one. Recently, our President of the Croatian Parliament, Mr. Jandrokovic, wrote to the Constitutional Court and said who your haircut, who you plums, will not honour your decision, will not honour the decision of the highest judicial body in the Republic of Croatia because we don't care, he doesn't care, I care. Why? Because this Prime Minister Plenkovic, the Prime Minister, is not pragmatic, he wants to be a Christian and does not want to pass Christian laws. He wants to take Christian votes but does not want to pass laws according to what he is declared to be. And it's upside down. And I will repeat, here I would like the camera to record, no member of the biggest party in Croatia, the HDZ is currently in the assembly. And I'm going to repeat the other thing, not one of my colleagues, unfortunately I'm going to say, he didn't want to sign the life protection bill. However, I will not give up because I am sure that sooner or later, there will be enough patriotism in this House, and I will say in humanity and godly devotion, which is precisely this or similar bill that protects life from its beginning, and that is the origination of it. And all those who did not sign and declare themselves as such should be ashamed of them, let them actually think about who they are and who they are. Although I know this won't have an echo because it's not pragmatic. Some topics simply are not wise to open, it is not wise to talk about the beginning of life, it is better to talk about some right to privacy, who knows what it is.
ParlaMint-HR_2019-01-23-0.u123913	We are now going to the 9th Club of Representatives, it is HDS, HSLS and HDSSB and respected colleague Branko Hrg, please.
ParlaMint-HR_2019-01-23-0.u123914	Thank you very much, Mr. President. Last year, same in this business opportunity on behalf of the club I was talking about the need for discussion and the adoption of certain legal frameworks related to a workless Sunday. We are witnessing in this time that certain units of local self-government have started self-initiating negotiations with trades in their own areas or other business entities, in order to become units of local self-government without working on Sundays. It's mostly about shops, it's about two municipalities in Koprivnica-križevci County, so it actually encouraged me to present a few thoughts and attitudes, primarily us in HDS. These municipalities have made a commendable move, there are likely to be more such municipalities, there are such municipalities throughout the Republic of Croatia. But of course this will not solve the issue of free Sunday for Croatian citizens, especially those who work in malls, shops, where women, younger women, women who have children, and who say that it is actually the hardest thing for them to do when they go to work on Sundays, leave their children and family because they should all be together and devote themselves to their family, and then this measure has a strong impact on the overall demographic situation in the Republic of Croatia. Looking at all this together and pointing to this problem before, therefore, the view of the HDS absolutely needs to be passed by the Unworkable Week Act that we can do this very simply by looking at examples of such practices from developed countries, in the area of Austria's example, it is free to do something like that which is good and to simply start this story debate and make such a decision. I am pleased to read in the media that the government has launched certain activities in the analysis of the problems and analyses of the effects of introducing a workless Sunday, I hope and believe that this is on the trail and the way that we really come to Croatia to have a jobless Sunday, dedicated to families that young mothers, primarily young parents, can plan for some of their trips, trips to nature, and not to shopping centres. Because today in Croatia it has become fashion and modernism that family is actually performed and those who do not work Sundays at malls without thinking that there is a counter in these shops, in shopping malls are doing the same mother or fathers, but most mothers who want to be with their children that day, take their children along with their life partner, with their husband, husband and wife, somewhere on a trip to nature, to be expensive, to be at some family lunch, to deal with their children in the circle of their family. And we, as a branch of the HDS Koprivnica-Kryzeva County, launched an initiative, sent an open letter to the units of local self-government in Koprivnica-Kryzeva County and the management of the county to consider the possibility and further such initiatives as some units of local self-government have already made to include as many units of local self-government as possible and thus effectively stimulated the solution to this problem as quickly as possible. What is important and important, we listened to the voice of the public after this initiative, and I must say that we came across very little criticism that in principle the comments and thinking of the people who followed these events were positive and that in most cases they supported it. Here I hope and believe that soon we will have such proposals for amending the law and become a state that cares for the family.
ParlaMint-HR_2019-01-23-0.u123915	Thank you. Now he should have spoken to a respected colleague, Pupovac, on behalf of the Club of Representatives of the SDSS, and he's not here and he's losing his right to speak. So we move on to the main speaker, which is a respected colleague Branko Hrg on behalf of the HDS, HSLS and HDSSB Club, please.
ParlaMint-HR_2019-01-23-0.u123917	Thank you very much, Mr. President. I have, on several occasions, pointed out the problem here and also some colleagues and colleagues of devastation of private forests, stealing in private forests, destroying the environment by cutting down private forests, avoiding likely tax and non-reaction of the system in the protection of the owners of these forests. I have a very specific case, asked by a man that if it is possible to present this case here in the Croatian Parliament, that in some way try to run a state mechanism, that something about this is finally starting to solve. On Sunday, I was with hunters there in that sub-kalic neighborhood, so several people showed me the problem by also citing their examples where their forests were cut down, they were sold, they were driven away, they had no protection, they had no one to turn to, they couldn't compensate for their damage, let alone return the cut forest. This case I'm talking about happened in the woods, it's called the Cučevac in k.o. Oil, it's somewhere around Gareshnica, it's been cut somewhere around 3 a.m. in the woods, it's been exported, probably sold, the owner reported it to a competent inspection, the inspection practically did nothing, they just called the police, the police told the owner that he had to make an assessment of the forest and then report the theft, if it were found who exported it, that then he had to go to a private lawsuit to settle his damage. The same case as I said I heard on Sunday where a man said it was, they cut my woods, they took my wood, I found who did it, the man told me it was some neighbor who sold it to him, I didn't know whose forest, I can't tell you anything anymore. Sue me or sue him. What will sue him when he doesn't have to pay him at all, there's nowhere to charge from and nothing to anyone, he ate a donkey wolf and it happens every day throughout Croatia in these private forests. It is amazing that there is no system in Croatia that would stop the theft of nature, which would stop tax avoidance, which would in some way protect citizens because this particular example that is happening throughout Croatia points to an inefficient system in the protection of citizens and their ownership. I really call on the state institutions to look a little bit at this direction, to simply launch the processes, that if it is necessary to propose amendments to the laws that will stop such a thing, which will sanction people and people who do such damage and such thefts, alienation of property, to settle this damage because in this way, we will soon practically not have any more private forests. People have forests, they move from these parts, they don't go into those woods, they don't look at that forest, of course they don't see it every day, they come in, they look at it, there's no forest, there's nothing. and nothing to anyone. When it ends in court, we know exactly what it looks like. There's no justice, there's no compensation, you're being ridiculous to yourself, in the end you have expenses to pay, and you have the damage that's been done to you. And indeed, a very serious appeal and an invitation to make certain amendments to the law and to begin to protect people and their property.
ParlaMint-HR_2019-01-23-0.u123918	It is now up to the respected counterpart Branko Hrg, the HDS, HSLS and HDSSB representatives' club.
ParlaMint-HR_2019-01-23-0.u123919	Thank you very much, Mr. President. These days, the results of last year's success in sports are being summed up all over Croatia. And encouraged by just one such event, by the beautiful event in my town of Križevci, I want to present today several thoughts, related to sport, to the gathering of young people, to the organisation of sports, especially in the local environments throughout the Republic of Croatia. I think we pay little attention to this extremely important subject, an extremely important role in the development of a healthy man. Especially in rural areas, in smaller towns, in smaller areas. The establishment of a central state sports office, along with the Croatian Olympic Committee, along with local communities and regionals, certainly opens up one greater width, creates some better, greater conditions, for more attention to this extremely valuable, extremely valuable activity in society, creating conditions for sports. Why did he encourage me? Because I attended the award for the best athletes and athletes, collectives, in the town of Križevci and here today I actually want to congratulate the public, young people who are mentioned there, who you probably have never heard of and if I hadn't been there, I probably wouldn't have heard of it either. So, the names I will now say are unknown in Croatia, and you will hear what these people are, Veronica Drljačić, Ida Šimunčić, Marcela Gudić, Neven Krulic, Fired Mergon, Rudolph King. Young people, excellent students, successful students, excellent athletes, athletes, representatives of Croatia, multiple national champions. Young people who are engaged in enthusiasm, volunteers, who organize athletic sports in the town of Križevci, in the athletic club Križevci. I will say here that behind them are excellent coach Drago Palici, multiple Croatian Olympic Branko Zorko and that there is another Olympic named Nino Habun. But, they train in impossible conditions, we did not create conditions for them to achieve, significantly better results, and I call here to ensure that all these institutions that I have talked about and the central state sports office and the Croatian Olympic Committee and the local community, try in the coming times, as much association as possible, together provide as much resources as possible, in order to edit sports sites throughout the Republic, in order to enable young people to be more active in sport. And students, based and secondary schools, even kindergartens, have the right conditions for this kind of activity that is of paramount importance. Now there is already such an initiative and the central office and the Croatian Olympic Committee have the means to invest in local sport, but it is not good and it will not be good and will have to be here in the Croatian Parliament, when both these bodies and the Government are provided with substantial larger funds, connect these funds with local self-government, and also with sponsors and create much better conditions, with congratulations to all of them and all the others in Croatia, let this be one call for more investment.
ParlaMint-HR_2019-01-23-0.u123920	The next Club of Representatives is that of HDS, HSLS and HDSSB on behalf of which the respected representative Branko Hrg will speak, please.
ParlaMint-HR_2019-01-23-0.u123921	Thank you very much. I was actually invited by today's debate on the prevention of drug abuse, so I'm thinking about what preventive measures could be used more to prevent addiction in young people often in children in Croatia and, of course, always returning to sports in that part. He returns to the organisation of sports, returns to the way in which the wide layers of children and young people and sports activities are included. It actually occurs to me that an organization that has been organising thousands and thousands of children throughout Croatia for over 20 years and outside of Croatia in other countries and fills in that space that we are not really dealing with enough in the system. Mostly in school sport, I think that there is a huge space empty and that we could actually do an extremely big job if a little more institutional attention was devoted to involving children and young people in the system of education in various sports activities and that then reports on the prevention of drug abuse would be quite different and with many more positive elements. Sports games of young people act, as I said, throughout the Republic of Croatia, outside the Republic of Croatia, and I am very familiar with this activity, I know that they encounter great support in the countries to which they come. They also have certain support in the Republic of Croatia, in particular having support from certain units of local self-government that are also included in the programme. I think that such activities should actually be where and where they are more significantly supported, that they need where and where more significant and more invested and that we can make a big step in curbing any addiction. I recently talked about the need to invest in sports at local levels, today I will only mention it and say that we have the opportunity through the Central State Sport Office, through the Croatian Olympic Committee, so through the state budget and national sports organisations and through the budget of the local self-government unit to create even better conditions and to install it all in the strategy against drug abuse. One example is how much it costs to treat someone who bowed to drugs, to invest that money in sports at local levels, to cover wider masses of children, to save and prevent dozens of children from being treated by one, a fallen person who has succumbed to that evil. And it is absolutely a message and a recommendation to all of us, our country, our leadership, for the next period, to provide for more significant means of sport, to support organisations of this type, which do not include club sports in training, but which include a wide range of children and young people such as sport games of young people, and thus to make this one step in which I could very well be saying, anti-addiction triggers.
ParlaMint-HR_2019-01-23-0.u123922	Thank you very much.
ParlaMint-HR_2019-01-23-0.u123923	The third debate of respected counterpart Branko Hrg on behalf of the HDS, HSLS and HDSSB, please.
ParlaMint-HR_2019-01-23-0.u123924	Thank you very much, Mr. President, today, of course, Oily is the main topic, but I'm not going to talk about it because we're talking about regional things and Oily is also often mentioned as a regional story unfortunately bad. I'm just going to say that I'd like to see those who were about 15 billion kuna somewhere, 15 billion kunas of budgetary taxpayers that are missing, no one answers, no one is guilty, and today they're still looking for the state to keep giving money. Well, I think it's time to say enough and it can't go like that anymore. But I asked for a statement on behalf of the club for one other thing, the other day I think it was 5.3. Minister Tolusic said in Slavonia that every student who enters the Faculty of Agriculture in Slavonia after the first year will receive 10,000 kuna from the state budget for each year next year. I just can't believe the Minister of Agriculture said that, and I still can't believe he means it anymore. Because I ask myself a question, to whom it is being helped, whether it is helping Slavonia, reviving Slavonia, in this way discrimination against all other agricultural higher schools and universities in the Republic of Croatia. Not to mention all other universities in general, who guarantees that people who will study at the Faculty of Agriculture in Osijek will live in Osijek and Slavonia, whether those students who come here from Križevci, Međimurje, from Varazdin to Osijek, will study because of this good scholarship annually, whether they will then stay there and will not, in 99% of cases, return to their own parts, but will destroy the Faculty of Agriculture and higher education throughout Croatia. And I am locally affected by this statement, coming from the town of Križevci, a city where the oldest agricultural school in this part of Europe has been operating since 1860, the Križevci High School of Economics is a school from which some high, high colleges have actually formed, in the extreme case of colleges in agriculture. That school is going to fail this way. Is this neighborhood around the Crosses, around Bjelovar more developed than Slavonia? It's not. I'm not for Slavonia not to be helped, there's no one who won't help, but not to the harm of others, not to the harm of others. What kind of help is it if you take one to give it to another, it's not help, it's a hurtful flow of money. I call on Minister Tolusic, but also the whole council for Slavonia, to consider this decision, if we want to help already, and obviously this government wants to help Slavonia, and we all want to help Slavonia, then if we want to develop agriculture, if we want to revive this failed agriculture in Slavonia, then let's go find solutions to help further young farmers who will work in Slavonia, rather than go on a variant of how to destroy agricultural colleges that are not in Slavonia. I don't understand that approach. It's really a shame, I'm really asking and asking for it to be considered and stopped. This way it can't go. It's not a good policy, it's a policy of destroying the rest to help someone, such help to no one is welcome.
ParlaMint-HR_2019-01-23-0.u123925	4th is a respected colleague, Branko Hrg, on behalf of the HDS, HSLS and HDSSB. Here you go.
ParlaMint-HR_2019-01-23-0.u123926	Thank you very much, Mr. President. Last year we passed a third change of tax laws in that tax reform package, it referred to a reduction in VAT to a wider range of food supplies. At that time, the question and question of the effects of this measure was already raised, which has been well impoverished to say the state budget, and the question was also asked whether it would actually be better to focus those funds collected from VAT on some additional charges and some incentives to raise wages and in fact leave the VAT as it was on food or perhaps go to some general VAT reduction, VAT rates in total rather than just certain foods. We are now at the end of the 3rd month, it would be okay if the finance ministry with state bodies at its disposal to analyse the effect of reducing the VAT rate on food to see what happened. How many traders have reduced food prices, how much of it has been earned by the citizens of the Republic of Croatia, how much the domestic budgets of Croatian families have increased. According to the data available in January, this was not happening. The price of food didn't generally go down. Some decreased meat prices by 1.7%, some other products, generally a 0.8% reduction in food and a 13% reduction in VAT. And now I ask myself whether to let it go on and keep these millions, or billions of kunas, in the account of merchants, or make a new redesign, and simply find a solution to how this money if we already direct it towards Croatian families towards these families. I don't think it should wait too long to really make these calculations very quickly, see how many traders in the Republic of Croatia profited, how much more money they had left on their accounts and make some moves in legal solutions that would make it impossible for them to give to Croatian citizens, Croatian families. I don't think we've achieved that target effect, the merchants haven't broken down too much, and they've taken off their prices faster and made them so competitive, but things seem to have been arranged too quietly, so they've left the prices and continued to work on the same. The state ran out of billions of kunas or two, no more to the citizens' home budgets, no more to the merchants' accounts. Here is our club calling on the Ministry of Finance to really do one such analysis, to get to know the public and to react immediately, to stop this trend and do something with these money to direct the citizens of the Republic of Croatia, to families and not to traders. Thank you very much.
ParlaMint-HR_2019-01-23-0.u123927	On behalf of the HDS, HSLS and HDSSB Club, dear colleague Branko Hrg, please.
ParlaMint-HR_2019-01-23-0.u123928	Thank you, Mr. Vice President, colleagues and colleagues, the other day I read a title in the media Krah reform, the Minister Divjak gives up the purchase of pills for each student, and in fact, it encouraged me to present on behalf of the club some thoughts on the subject, because in the adoption of a new Law on Primary Schoolship, we were just pointing to this problem and opposed the introduction of pills for lower-class students, because all the profession that deals with child development indicated that it was very harmful for the development of the child. And the fact that the minister, after a short time, has given up the introduction of pills for every child in the lower grade of primary school, we actually welcome and consider it to be wise treatment, not for saving money, not for saving money, but solely for the health of children and the development of children. And I think there should be more of those examples. If someone starts something, if he sees what he started, doesn't go in the right direction, so they can have harmful consequences, it's better in time to give up, than go further, on the wrong path. We also welcome the reintroduction of the sex and the names of the mother and father in the testimony of the children. It was absolutely one clumsy and reckless decision, unnecessary and really as people, as a club, as HDS in the end, we welcome that both the child's sex and the mother's father's name return to the testimony. We believe that these examples will be further, that when other ministers go into some process, some implementation of a new law or regulation, they will see that it is not going well, that there are no effects to be achieved, that they will react and intervene immediately, and that will change it, like, the case of effects, the reduction of VAT on food. I believe that this practice of making mistakes like this, which were obviously not in any bad sense, but they showed up, proved to be bad and should be changed very quickly. What's wrong, better to change than to keep doing what's wrong. Thank you very much.
ParlaMint-HR_2019-01-23-0.u123929	I'd like to thank my colleague, Hrg.
ParlaMint-HR_2019-01-23-0.u123930	We are going to the 10th SDSS Representatives' Club debate, a respected colleague Boris Milosevic. Here you go.
ParlaMint-HR_2019-01-23-0.u123931	Dear President of the Croatian Parliament, distinguished colleagues and fellow MPs. I'm going to use this time of free speech to say something about a subject that is life-threatening and concrete, so I'm not going to talk about spy affairs that are now shaking the public or about the purchase of warplanes or the situation in Vukovar. I will not talk about strengthening the Chetnik movement in Croatia nor about the state of the HRT which, as a public service, is suing its own journalists, which I do not consider to be a good phenomenon. This particular life situation refers to citizens of the Republic of Serbia who have old foreign exchange savings, so those who have had old foreign exchange savings in banks based in the Republic of Serbia and who are ahead of a situation where the right to do so could be achieved, so the payment of old foreign savings has bureaucratic problems, lies ahead of a certain bureaucratic wall. It is clear that all countries so that even Croatia is not willing to pay the citizens compensation from some past transition times, so they are not willing to make a return to real estate, or even when there is a payment or a refund, then it will be in amounts that are ridiculous. Many of our citizens had foreign exchange savings during the former Yugoslavia in banks based in countries or other republics. Let's just remind ourselves of the problems and the case of the Ljubljanska banka where citizens have long struggled with Slovenia and the legal sequence of the Ljubljanska banka in order to achieve their savings in order to reach satisfaction through the European Court of Human Rights. 4.5 years almost, here, last year the data came out that the citizens of the Republic of Croatia, therefore, were paid to the citizens of the Republic of Croatia on the basis of the old foreign exchange savings they had at the Ljubljanska Banka 160m euros, so 160m euros. It is not negligible money at all, so it is money paid to the citizens of the Republic of Croatia. The Republic of Serbia has such a similar verdict. For the sake of the European Court of Human Rights' ruling, the Republic of Serbia had to pass and pass a law regulating its obligation to pay money to savings from former ones, so others, who are citizens of other former replicas, would be SFRY and the headquarters of these banks were in Serbia. So money is paid for them, those savings and it's about 310m euros somewhere, 310m euros. All countries except Croatia have made a decision in time to issue a certificate on the basis of which savings will be proved not to have received any right in their country, i.e. payment of money or any other right based on old foreign exchange savings other than Croatia. So all Slovenia and Macedonia and BiH and Montenegro. That is, Croatia did so at the end of last year, so last year, somewhere on 20.12., the Ministry of Finance of the Republic of Croatia was informed, and a few days later it was done on the website of the Ministry of Finance, that the certificates will be issued by Zagrebačka banka, Privredna banka Zagreb and the Croatian Economic Bank which is in bankruptcy. So which is not actually liquidated, just because it has an obligation to liquidate, that is, the South Bank legal sequence has an obligation to solve this problem. Citizens still have a problem getting confirmation from both Zagreb Bank and Privredna Banka Zagreb, especially from this bank in bankruptcy. And it will happen that the deadline, and the deadline is 23.2. so next month, in about a month, that citizens will not exercise their right to red tape.
ParlaMint-HR_2019-01-23-0.u123932	Thank you. Now it's time for a respected colleague, Milorad Pupovac, to present the position of the Club of Representatives of the SDSS, please.
ParlaMint-HR_2019-01-23-0.u123934	Dear Mr. President, dear colleagues and colleagues. A stand-alone Democratic Serb party's club read the news of an announcement by education, science and sports ministers that primary school students under a mandatory programme will be obliged to visit the Jasenovac area once a year. ... to the fact that last year 2017, so last year, only 9 schools visited this terrible site from the second St. The war. [[The speaker doesn't understand.]] Such a fact, as well as the fact that last year, in 2018, more visitors were from the Republic of Italy, than from the Republic of Croatia, was extremely worrying, especially in the context of everything that is happening around us that children do not know what is right, which is not, whether the greeting "For Home Ready" is allowed or not, whether the enlargement of the constitution is allowed or not, such an announcement by the Ministry is a significant step and I hope that there will be another step in order that in the fourth month all together, all of us who need to be in the same column on the day of memory for the victims of Jasenovac. I announced myself because of one topic, it's a question of freedom of the media that partially wants to choke out of here from these benches of some of our colleagues, who are working journalists, in this case a journalist, a newspaper that does professionally its work, not wondering what circumstances they're working under, not asking whether this same owner properly respects the rights of journalists. It turns its conflict with the owner into a conflict with journalists, inconceivable and inadmissible. It would be about as if you were punishing a worker for working with a bad employer. I'd be no socialist then, dealing with a worker, not an employer. It is necessary to protect the journalistic profession, as well as the profession of a parliamentary representative, to protect the profession of a judge, as well as to protect the profession of teachers and teachers, and if there is something wrong with the system, then it is necessary to attack a place where it is wrong in the system. Another particularly worrying fact that the public media, whose founder of HRT, which we created the assumption, can be an independent public service, a public subscription system, a system of public donations, a system of privileged positions when it comes to advertising in relation to commercial media that only live out of it. We're getting the fact that in the last month we have 33 lawsuits against other media, the good part of which lives off the market. Why? Is it because they fought false news? No, I don't. Was it because they were fighting speech, spreading hate speech? No, I don't. The charges were filed not because someone noticed that there was someone spreading false news or hate speech or unprofessionally doing his job, but because someone noticed that in some cases there are elements of censorship. So where would we colleagues and colleagues be able to get our, our, our parties, our clubs, each and every one of us, something that's written in the media, then go to the point of defending our honor, our reputation, as HRT does. 33 charges in two months, that's why I and my club will think about banning the same HRT from mentioning our names and asking us for any statement because it's unfair what they're doing and inviting you to the other MPs and MPs when they're not already able.
ParlaMint-HR_2019-01-23-0.u123935	Thank you. Now a respected colleague of Dragana Jeckov's is on behalf of the Club of Representatives of the SDSS, please. You speak to 10.35.
