ParlaMint-HR_2019-09-20-0.u148156	Sweared.
ParlaMint-HR_2019-09-20-0.u149065	So I think this, we need to distinguish GMOs from pesticides that are used and used in the daily production of agricultural products. It's not the same, and there's a big difference, and I wouldn't be so easy to identify myself for some scientific data that we've never heard or seen anywhere but rather based on those proven effects and effects, mainly pesticides that have been proven harmful to the human organism, cause a whole series, first of all, malignant disorders and malignancies. As far as I know, there is only one product in Europe that is registered for GMO use.
ParlaMint-HR_2019-09-20-0.u149066	Mr. Križanić.
ParlaMint-HR_2019-09-20-0.u149067	Thank you, Mr. Vice President. Mr. Secretary of State, on the very trail of what my colleague Jovanovic was saying, and I was a participant in and hysteria that has been going on since before the adoption of this law and given the legitimate interest of the Croatian public in any change of such a law as regards GMOs, I am interested in whether, is it always thought that the attempt by some new law is quietly legalized by GMOs in the area of the Republic of Croatia. I wonder if the direction is even after this law, I think it is still important for Croatia to remain a GMO free country as far as sowing is concerned, that is what it is important to say. And we'll elaborate the rest later.
ParlaMint-HR_2019-09-20-0.u149068	Dear Secretary.
ParlaMint-HR_2019-09-20-0.u149069	As for the introduction of GMOs or prohibition of use for the agricultural purposes of GMOs, we have so far had the law and this directive which we have adopted from Europe to this very objective and strives to prohibit any country that wishes to prohibit the cultivation of GMOs and modified agricultural plants. Without the introduction of this directive, we would not be able as an EU member to apply the law at all. We often need to know, however, in our address that we are part of the EU and all the laws that rule in the EU must in some way apply in Croatia. Therefore, there is no legitimate fear that the EU will allow the uncontrollable use of particularly agricultural products to be introduced by GMOs that can potentially be dangerous to all EU population.
ParlaMint-HR_2019-09-20-0.u149070	Thank you very much. And now Mrs. Dark Taritash.
ParlaMint-HR_2019-09-20-0.u149071	Thank you very much, Vice President of the Croatian Parliament. Dear Secretary of State. In your presentation you mentioned something that I appreciate is extremely important, which is a way of gathering information and having real-time information, so not only is it happening in Croatia when it comes to GMOs but also at EU level. So at a time of digitization at a time when we have really a bunch of information, I wonder how it works? Are there really opportunities for you to see what's going on at the same time, what are the things that we have programs, what applications can come up with? And it seems to me that it's always good that it's open to both public and citizens because this way when you don't have information, you're actually dealing with different information and we're scared of each other. And on the one hand, we don't need to be afraid, but on the other hand, we need to know the real situation. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149072	Dear Secretary of State, please.
ParlaMint-HR_2019-09-20-0.u149073	In this way, there is an extranet GMO network at EU level and all data must be entered into that network and at the same time all EU countries have information on all the consequences, results and possible negative developments using any form of GMO. This is today I would say the most common way to spread all this important information at the same time among all EU countries.
ParlaMint-HR_2019-09-20-0.u149074	The last replica, Mr. Lovrinović.
ParlaMint-HR_2019-09-20-0.u149075	Thank you, Vice President. Dear Mr. Secretary of State. You've brought us a bill of law and you say, we'll then prescribe procedures for protection, traceability of food, etc. That is why I see this and the party Let's change Croatia as a Trojan horse in introducing GMOs to a small door. It has already been introduced, and it is large in Croatia. Instead of passing a bill on organic food, on organic products that must be on the shelves of the trade chains taken over by the foreigners, you have practically brought this to our agenda. Dear God knows how many thousands of tons of meat we've broken from European warehouses, South American food here in Croatia. We don't have the food sequence now, and you say they'll write what's from GMOs. Everything you say, you said recently 67 too... will destroy the pension system, and now you're not gonna say everything's okay. You're lying. It's just that this government is lying to the people.
ParlaMint-HR_2019-09-20-0.u149076	Thank you. Dear Secretary of State, please.
ParlaMint-HR_2019-09-20-0.u149077	Thank you very much. We're a little bit insinuating the traceability of GMO products, regardless of their etiology and their biological activity from drugs and beyond the Food Act. The food law is something else, and that's basically not what we're dealing with right now. We are now strengthening the traceability of all GMO products by this law. This law is not to be a Trojan horse, it does not bring any gifts, it only strengthens, provides at all control and traceability of all products regardless of the etiology and their biological usability from placing on the market or in any form of use of these medicines, and until the time when these products or consequences of the use of GMOs are required to destroy. Therefore, this is only a law that serves all stages of monitoring the traceability of use, use and effects on the human organism of GMOs that do not always have to be both exclusively and negative.
ParlaMint-HR_2019-09-20-0.u149078	Thank you, Secretary of State. He asked for the word Mr. Bull.
ParlaMint-HR_2019-09-20-0.u149079	Thank you very much. I'd like to ask the vice president on behalf of the MOST club for a 10-minute break on this point because it's a very important bill. We are witnessing that I have given the law banning the full ban on GMOs except for medical purposes which most MPs unfortunately did not accept. And we need to know that in the Republic of Croatia. in the EU of 60 and one product imported by GMOs from other countries that half has been poisoned i.e. that is resistant to lisofate. We need to know that we import a pig a billion kunas that use soy and that's cheap on shelves, and what's a GMO 100% product. We have to protect all the mayors, all the counties are against GMOs, and we here every two, three months from you some new legal initiatives that don't protect our organic production because of this we have a decline in production is the harmful GMO food that has been poisoned with Monsant's herbicides and their products and the overdomination of Monsanto both on seeds and on production throughout the world is now a predominance and a struggle for food. We exclusively have to deal with domestic production, protect ourselves from GMO products that Monsanto pushes through his lobbyists, through all governments and now it's a struggle, the fight is too great, we need to know that Austria has already banned glyphosate as a compound that is '74. Mr. Pushed Monsanto, it's a cidocor that's for weeds, you know what it is and it's connected and the same side of the GMO medal and that production, absolutely the same side. And we must not be experimental rabbits and not only that, but also the World Health Organization has said that the products that are treated with this are dangerous to lives and people, thank you very much.
ParlaMint-HR_2019-09-20-0.u149080	Mr. Bull, time, thank you very much. I'll give you 10 hours and 5 minutes, thank you. It's 9:55 p.m. We continue the debate, but will the committee's rapporteurs take the floor first? [[CONTINUATION AFTER MEETING IN 10.05 HOURS]] No, I'm opening a debate. First it's the clubs. Anka Dark-Taritash, please.
ParlaMint-HR_2019-09-20-0.u149082	Thank you very much, well-respected Vice President of the Croatian Parliament, a respected secretary of state with an associate. We have before us the Law on genetically modified organisms. To begin with, you should always say some things and, among other things, you have decided not to go back into some change but to do it after a series of changes that have been made, a new law and we appreciate it and we think that this is a better model, a better way of doing it, a better way of doing it, a better way of getting along, and for all of you who are doing it under that law. When we talk about this law, then we really need to make a few decisions and these are the decisions that you need at the level of one country's policy. One country needs to decide and there is an opportunity to pretend that everything that happens in the world doesn't exist, to pretend that climate change is not facts like fact, like some respected officials, so even the President of America pretends that climate change is not a fact but does not need to be an expert, it doesn't need to be an analysis to see it actually happening. Likewise, GMOs are a fact. The point is how a country will treat it. There is a possibility that certain countries are treated in a way that there is no such thing, that you should ban everything and what does the ban bring? It leads to no matter the secret channels, the smuggling, in different ways, to come here and you won't be able to control it or decide it and you say okay, we'll pass the law, we'll be very careful, we'll take care of it, we'll create all the conditions, the mechanisms, the ways to control it together. So what do we all think is going to happen together? We Brexit are looking out there, there's something going on with some big Britain, there's some Brexit going on, that's a lot of fun for us, and Mr Johnson has a Parliament or no Parliament. The fact is that the UK will be because Great Britain was an integral part of the EU, the fact is that this Brexit will happen sooner or later and the fact is that from the good relations of Great Britain and America, a series of things that are not acceptable to us and to them because of their good relations with America will be acceptable. So, we have to make protection mechanisms, we have to take care of it but not in a way that we say in Croatia is all inadmissible or it will be acceptable. I can only tell you one example very well, I always like to tell examples. My good friend has lived in the Netherlands since the '90s. Normally, it deals with horticulture, agronomics and the house there and it has a beautiful garden but of course long before we had a series of organic products, these organic products were in the Netherlands and of course those roses were full of ears and I don't know what not and when I was coming, I asked her what you want me to bring you, she says bring me all those pesticides that are in Croatia, so it was somewhere in 2000 because I in the Netherlands already can't have them and with these ears I can't handle. Of course, I went to the most normal herbal pharmacy, said there give me everything I need, bring it to the Netherlands, and suddenly her roses were the most beautiful in the whole part, but also the most beautiful, so eventually she was still carrying the neighbors. So these are facts, there are no Chinese walls, there was a Chinese wall, there were no Chinese walls, everything that's happening to you in the environment, it's happening to you. Everything that's going to happen in some other EU countries will happen to us too, they didn't want to, but what we have to do, we need to know what we want. So on the one hand, of course, that any debate that anyone will have in terms of GMOs, no, no, in a way that they can't, these are debates that cause you much more interest, but let's let my people try this country to be reasonable. Let's see that every ban leads to no matter what ban I used to carry pesticides to the Netherlands where there weren't going to be someone from the Netherlands bringing something here, that's a fact, it's all a real state. So it's incomparable to know what we want, to know what we're going to do, to know how we're going to do, to have good control criteria, to have these control criteria at the same time that something's going on, to really use some comparative advantages, to really have, so we always read everything about agricultural production there. So those who deal with their farm that's GMO free, that's the product that the Republic of Croatia boasts about, that's the product that you can go out with, that these are products that are somehow basically one story that we have and that's our comparative advantage. So let's try to take advantage of comparative advantages, and in situations where it's supposed to be, let's be reasonable. I'm many years old, and I've learned that any exclusion results in a bad situation. If you're in any story exclusive, it'll never do you any good. So there should also be several branches, several options, of course, that all of us especially when it comes to food are very careful. We're careful because we really have experience of not knowing what we're eating. So anything about agriculture really needs to be careful. I think caution is extremely important. I didn't accidentally ask the Secretary of State how it is with the information, the information is being obtained in real time, the information is extremely important, it needs to be opened, and it really needs to be able to come real fast to all the data. To come, to sort of define these basic issues that are defined by this law, it seems to us at the GLAS Club that the law is well structured, there seem to be some things that may still be defined between the first and second debates, and that is what our obligation is, and that is to elaborate all the procedures of the first placing on the market both in the EU and in the Republic, we think that there should be maximum caution and see when something is placed on the EU market what it means for us. It is absolutely necessary to bring it right out of this law, and these are the customs of all the laws that we have a series of regulations because I have seen that all those rules that were in force in accordance with the former laws will be in force until new ones are passed, but there is always a need to really keep an eye on and what's most important, we can have great law, can be perfectly prescribed, it is important to follow the law regularly, it is important that the public is truly informed, that when something happened that should not have happened at the same time react because otherwise we will have the fact that we will have a law that will be correct, with which we will be able to praise, but that we really have a different situation. The Republic of Croatia has a series of comparative advantages. We need those comparative advantages to be used. These comparative advantages are especially in agriculture which can indeed be shown and be GMOs free, but in the world where we live there are no boundaries in which you will close, no conditions that you will close, it is much better to be open, but to be careful and to control the situation. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149083	Thank you, too. It is now in front of the HDZ Representatives' Club, Mr. Josip Križanić, please.
ParlaMint-HR_2019-09-20-0.u149084	Dear Vice-President HS, I am sorry that there is no colleague Lovrinović and some colleagues, so that we can, so we can, so I called for an individual debate, so that we can discuss it, too, too bad there is no replica on behalf of the clubs. So, we have before us a proposal for a law on GMOs that brings national legislation into line with the new acquis of the EU and sets out the legal and official and inspection aspects of business with GMOs. The GMOs were also discussed in previous conferences of this HS, and I think we've always discussed a lot on committees and on the Mother's Committees and on the Committee on Health and Agriculture and Environmental Protection, and I think we've always had some agreeable attitudes on these committees, and then when it comes to the plenary session, there are dissonant tones, and I'd like to say it in person. The analysis of the applicable GMO law found that this existing law does not constitute an appropriate regulatory framework for the implementation of European legislation in the area of GMOs or for the placing on the market of GMOs and products containing GMOs. On 8 March 2018, The EU Commission Directive 2018/350 of 8 March amending Annexes 2, 3 and 4 to Directive 2001/18 of the European Community, with a view to simplifying the overall process and authorising GMOs, has been necessary to coordinate the collection of information among all stakeholders in the EU authorisation process, and thus also in the Republic of Croatia. The application and use of GMOs for the purpose of scientific research in the context of limited use of GMOs in a closed system of procedures for the purpose of introducing GMOs into the environment, different placing on the market, authorisation of the use of medicinal products containing and consisting of a GMO procedure for placing on the market, restriction and prohibition of cultivation and traceability and labelling and handling and transport and packaging of GMOs will be subject to harmonisation of the provisions concerning the authorisation and obligations of official and national reference laboratories for GMOs will develop criteria for the inclusion of closed systems, limited use of GMOs in different levels of danger, prevention measures, ways of handling and other conditions for the work of a closed system of restricted use of GMOs. In advance, a risk assessment system will be developed for the introduction of GMOs into the environment, an evaluation mechanism will be created, both in the short and long-term effects of GMOs on the environment, human health, animals and plants. The procedures for the application of the first GMO market, both the EU and the Republic of Croatia, will be developed. Provisions will be made regarding clinical studies of medicinal products, advanced therapy medicinal products, consisting of GMOs containing GMOs or a combination of GMOs. An obligation will be introduced to establish a written process for the traceability of GMOs on the Croatian market. The responsibility of responsible inspection services for carrying out official controls will be further developed. Violent provisions will also be developed for both legal and natural persons. Let me just elaborate on the situation with us and on the official controls that have been carried out so far. From 2007 to 1.4.2019 until the national monitoring of the presence of GMOs in food was guided by inspections, it now passed, we know, from 1.4 to the inspectorate, in 2018 was sampled by the sanitary inspection at the Ministry of Health 185 food samples. Only 6 samples found a contamination of 0.1% of the mass share, indicating technological contamination. In the first three months. In 2019, 92 samples of food, soybean, meat products, food supplements, wheat products, confectionery products, rice, rice products were sampled by the Ministry of Health inspection before going to the State Inspectorate. All the samples were negative for GMOs. The Ministry of Agriculture conducted the monitoring of GMOs in seed and green mass in 2018. Agricultural inspectors sampled 30 samples of plant seed in 10 legal persons. All the samples were negative for GMOs. Agricultural inspectors conducted official controls on corn, soybeans, rape oil at plant production level in 50 subjects, taking 50 samples. Not a single sample was found of GMOs. By 1.9.2007, the EU Commission authorised the placing on the EU market, and hence, the RH 69 GMOs of plant culture intended for use in animal feed, and this was approved. So 30 GMO corn, 20 GMO soybeans, 13 cotton, 5 oily tails and 1 sugar tail. So, that should be very clear and loud to people, that they would not lie, that in Croatia is allowed, as well as on the EU GMO food market for animals, and that is, later on I will be very happy to elaborate in my personal debate, but these are the things that are so. For the time being in Europe, it is important to say, that is why we have asked our secretary of state, approved only 1 GMO, Monsanto 810, according to the EU Commission Implementing Decision 2016/321 cultivation of the GMO corn Monsanto 810 is prohibited in the Republic of Croatia because the Republic of Croatia has requested the exemption of Croatia's territory from possible cultivation of GMOs. So, the HDZ Club will support this law, we are very clear and consistent when we talk about cultivation, we are against breeding in the Republic of Croatia, but we are for it, as well as the environment, so that under control of the declaration we are working and can feed animals with GMO products, as is the whole environment of the Republic of Croatia. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149085	Thank you. Now it is Mr. Zeljko Jovanovic, who will speak for the SDP's Club of Representatives. I'm sorry, Mr. Bull, that I forgot you had to talk. Here you go. Mr. Miro Bulj in front of the Representatives' Club of the Independent Lists Bridge, I apologize.
ParlaMint-HR_2019-09-20-0.u149086	Thank you very much, Mr. Chairman. Dear secretary with a co-worker. My colleagues and colleagues. The Croatian state was in 98th, this parliament passed a law in which it was directed, meaning the law that Croatia would be without GMOs. Of course, it was the best law, however, under the influence of EU entry, we changed those attitudes, so I don't see at all why we are passing any laws when this Parliament passed the law in 98 years, and in this law it is said that GMO crops can be combined with organic production, which is impossible because they can't be planted GMO corn product, 100 m or any other seed that Monsanto forges and pushes, of course it's a monopoly and dominated by these companies that have done great damage to and from countries like Croatia, our children have actually made test rabbits and we see an increase in various diseases, and the World Health Organization has also said that crops treated with chemicals. The herbicides produced by Monsanto mean, carcinogenic and other numerous causes of the disease, and we need to know that the Republic of Croatia imports, for example, only a pig, I said a billion kunas that sow feed, and that's why the product is cheap, and that's why our pig farming was destroyed, our agriculture that is now under the weeds and, of course, it follows from the 1.1th law, i.e. that we are going to sell land to foreign, natural and legal persons who will buy it for small money and of course there will be planted products that match Monsanto's team and their lobbyists. And science is really, scientists here face that GMOs, not GMOs, but it's not the GMO that's been dealing with 10,000 years, it's a fruit vaccination or what my Dalmatia says is a fruit loading. That's not it. It's not that, it means one process and the procedure is to dominate the rule of seed, of course unhealthy food. We already in the Republic of Croatia have about 400 products of GMO foreign products that destroy our agriculture and create uncompetitive farmers. I'd be happy to have pomidores or tomatoes on our markets to sell our grandmothers, but when we see the importing ones by me and tomatoes can be 3 years, you can hold them, they're always the same. Now which are the reasons, Mr. Križanić said earlier to me that it was because of me, explain these reasons why pig farming failed or whether GMO seeds eat and whether we eat that meat that these animals eat GMO seeds and which are import meaning pork. Is that the cause, that import, is that the cause of the destruction of our eco-production, of our Slavonia, of empty fields. And we know that grains, mainly soybeans, are 90% GMOs and are treated with chemically-treated glyphosate, which Austria has already banned. That the EU is breaking and saying in 2023, Germany already, other countries are in favour of stopping the monopoly of these corporations, which are likely to have a huge impact on scientists who often do not want to sign. And once again, the Croatian State, I gave that law and amendment and what the Parliament voted '98. I gave that amendment and I'm still standing in front of it, then I said that the ban on breeding, transport and trade in the Republic of Croatia and everything else is, we're test rabbits, science still faces, we have a scientist who said that it was OK to eat Monsanto forsy, of course because they're powerful, they have money they can influence, they can influence even scientists. And now it's a conflict. There are other thoughts, and it will always be a conflict. But it is still at the level that Croats are test rabbits. Everything that's on GMO drawers we're test rabbits and I'm behind it. Because everything I read, asked for, talked to experts from Croatia, read foreign experts, statements, faced. So here I have a lot of material that I've been extracting, and I see that it's a huge problem and a huge influence of corporations. Even Monsanto in America loses huge litigation with huge amounts where the disease of people we have here has recently been in our media and published an article in Free Dalmatia by a man who has suffered from their chemical agent glyphosate which means glyphosate which means he has been ill and millions have lost because of this influence. So that's what they're treating and research says that this compound is carcinogenic. And that's what the World Health Organization says. So are we the test rabbits then? Are we for organic production, for domestic production, to buy in our grandmothers in the markets, me who comes from the village, with my grandmother, I sold it, in the markets of my Sinj, others are in other markets, but there's no more. No, now vice versa, now it's invaluable to produce domestic products for GMO products, foreign and of course that now even by vans... by the villages, by the road, you produce GMOs instead of the other way around. [[The speaker doesn't understand.]] We used to go to the markets, sell, probably even on the Zadar market there were domestic products, now very little. So we have to make a political decision. That's why, as I did seven and eight months ago, I rerouted the law, the bill on the ban on genetically modified organisms, except for medical purposes, because it should be passed by the Ministry of Health, they're the most competent because where life depends, of course, that's where the waist should tell its own. And these discussions are good, they're good debates, but somebody say pork that's GMO-fed soy, it reaches great weight in the short term. And you see by the trade chains the neck of the pork 10 Kuna being and this is not possible for our domestic producer in organic production to reach. And what we're instigating now, are we instigating, Mr. Križanić, you said earlier, this isn't like, this is now communication, I know that you've made a huge failure by regulation that you can't replicate to me, but it's not a problem for Mira Bulja, it's this majority that passed the rule that can't be replicated on behalf of the club, but I wish you could replicate to me whether it suits you to import GMO pork. And does when we eat that meat do we eat GMO products? Whether we, we didn't mean what pork ate soybeans, tons of soy buckshot pump up in a couple of months, it's gonna be harder than our whole pig for a year. That's why we don't have Dalmatian prosciutto because more people don't make pork, so they don't grow it, they bring it into the freezers of GMO meat. That's one example. I am sorry that in my Sinjsko field we do not grow organic production, which in 2019 did not quote the Sinjsko polje. Why? Because it doesn't pay for GMO products the sides are cheaper, more resilient. They don't need a freezer at all, they don't need anything. We're the ones who need to decide and all the county said that against GMOs, imports, transport, trade and we know that our people, farmers, don't have enough resources like these multinational companies and that these multinational companies are their seeds, their herbicides, and everything they have simply creates a monopoly on both their seeds and our people. I will repeat once again, as science cannot agree, so I say once again that we are trying rabbits, that GMOs have terrible damages, terrible effects on Croatian agriculture, on human health, and that is the conclusion that I am giving, and that is why I have referred to the procedure this time, last time 90 MPs were against it. But if we are going to be a state within the EU, every legislation has the right, why it has the right to bring every parliament. Why don't we just make organic production and it would be our brand, to be our brand, to know that in the Republic of Croatia, organic production is produced throughout the Republic of Croatia. Was that some kind of problem? Of course, we would find it hard to defend ourselves from their money from those syringes that people earn in health. But I think we have to fight that as Assembly representatives of HS we have that right and propose. I gave it, I said this proposal, this law of yours, with changes I respect, but the fact that it's contradictory, that you're saying that the sea is both organic and GMO production together, impossible to be land in the field one GMO, and on the other, I can't, it's just the wind carrying, nature, you can't, when the storm is smoking seeds, means you can't influence that you can't. We must determine ourselves, so vote we are for GMOs and crops, but if you do so then you must always know that the counties have brought that against GMOs and that HS, always keep in mind, '98. voted that the Republic of Croatia had no GMOs, production, imports, transport, trade. It's up to us now. Of course, colleagues and colleagues that I'm going to mention are going to mention whether this cidocor or pesticide that our peasants are spraying the fields, it's carcinogenic and poisonous, so it's proven that the treated soils are these herbicides which are produced by Monsanto and the fact that scientists who have done research have proved that in the urine in the EU 40% of citizens have oriphosphate, meaning simply since '74. When Monsanto kicked out that product he grew to, a huge number, a lot, hundreds and hundreds of times used more and in agriculture, and in us more used for weeds, you know what when you reach weeds, weeds, there is nothing behind it, there is nothing behind it, and when it is treated of course to affect health and that is the World Health Organization and said, Austria has already banned that compound, it has made a decision, other countries prohibit it, there has been a struggle in the EU, they say until 2023, but there is too much influence by multinational companies, Bayern, now and Mosanto, they, the triba speak openly, together they want both power over the seeds and agricultural production and the dependence of agricultural and state about them. We have to keep our domestic production, but more and more are losing it, simply people no longer have the will to do so, and that it is forbidden and that we are fighting for organic production and that we pass the ban law and that the Republic of Croatia is free from the Republic of Croatia, believe me, it would be a brand, believe me, it would be a brand. If we have the strength to fight today that ours, so as not to be a guinea pig, I respect those other views that will say and colleagues who spoke behind me and before me, however, this body must make a political decision. I know they'll be watching from all aspects of co-worker what she could have just said, we can't be a Chinese wall, but we can't even be open to our children being test rabbits and us. We just can't let that happen, we have to look at all aspects. And once again, I've given the esteemed secretary of the GMO ban, I expect you colleagues, I know that the government will refuse this law if it rejected it 7-8 months ago, but I still see that some of the shifts you make, because of the pressure of the public you try to get away with, and simply the European directives that affect this, but I expect that we will not allow the use of GMOs, limited use, that we will limit the full use of it, and that is all because of the preservation of our agriculture, because of the health of our people, it is our obligation to protect health as the basis of the social policy, which is our real. We will also protect the Croatian economy and agriculture, our farmer and cattlemen, and once again I am personally against GMOs, imports, transport and production. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149087	Now it's Mr. Zeljko Jovanovic's turn in front of the SDP Representatives' Club, please.
