ParlaMint-NO_1999-12-07.ana.ud560e97	The representative of Terje Johansen, who has been on leave, has once again taken his seat.
ParlaMint-NO_1999-12-07.ana.ud560e422	The cord shift is over.
ParlaMint-NO_1999-12-07.ana.ud560e425	In order to replicate back to the last post, I would say that I think there will be very many municipalities that have heard a promise from the Government that the taxpayer – not the tax revenue, but the taxpayer – would increase, and that there would be a lasting increase, so that the distribution between the framework transfer and tax would be maintained at about the same level as it was before removing the corporate tax. The right-hand approach to the local economy is described in the recommendation of the Financial Committee. I want to review some of the main principles and the reasons for them. We have seen that the development following the implementation of the Rattsø has resulted in no improvement in the economy for the Rattsø winners. This is due to two things: there has not been a particular increase in the free revenues, so that the pot that should have been used for the distribution of framework transfers has not been increased in particular. It is due to the relationship between earmarked grants and free revenues. Secondly, it is because we have been backed up by a loss compensation scheme in the system, which had nevertheless made it possible that almost all the winners would not get more than half of what they would get under the new criteria – a loss compensation scheme that illogically means that those who were given an unreasonable amount will still get an unreasonable amount in relation to the objective criteria underlying it. The right has addressed this relationship several times, and I am glad that in our own case, we were able to get an insight into the future of the loss compensation scheme in the municipal economic proposition for next year. It must be remembered that the basis of the loss compensation scheme was primarily the Workers' Party's principle that no one should lose on the conversion in the sense that no one should receive less money. When you do not get more money in free income, it makes the situation particularly difficult for the municipalities that expected to receive higher income through the income system. In addition, we have discovered that the distribution of the discretionary frameworks to be passed on to municipalities is based on so-called historical principles and specific discretionary frameworks. In practice, the counties that were given more of the old frames of discretion still get more, and that part of the municipalities that have problems because they used to have little frames of discretion to pick up from the county, are still having problems because the county council has small frames. We're glad that we're both getting this into focus in our community economics proposition, and that we're getting a review of Rattsø. We think it's stupid that you can't base any principles on development, but we accept that one step on the way is at least getting the numbers and the development on the table, and then we get to move on in retrospect. Another issue that we think is important from the Committee's point of view is that this free trial, which is now to be carried out, is a real experiment from which we can learn something. Unfortunately – as the committee chairman also said – it does not seem that the premises are currently making it very new that will come out of this effort if nothing more radical is done than what the government has proposed. For our part, we have, together with the Labour Party, the Progress Party and the SV, pointed out that it may be more radical to integrate into this free trial the attempts of the Committee made in connection with the budgetary position of the last year, namely the attempt at freedom from State sector legislation. So even though we're conservative, we want the Council of State to do something radical in this area, and that the ambitions and test drive must be greater than that all sectoral interests are allowed to determine the framework to be laid for this. Our principal proposal in this budget area had meant that we had a lower framework at our disposal than what we have actually received. We have chosen not to create a «toy budget» where we referred to major priorities in areas such as integration or housing policy that we had not had room for in our own principal budget. It would seem that we were creating a 'toy budget' that had no purpose. We have therefore chosen to base the broad lines of the budgetary agreement between the Labour Party and the intermediate parties, although we disagree on the appropriations for some of these points, but when we first have to spend all the money on a proposal, we do not think that we should pretend that we would have money for other areas – with the exception of two essential pieces in terms of housing support. One piece is integrated in our principal draft budget and is concerned with the fact that we think it is one too radical and for the rapid phasing-out of the compensation granted for the change in the minimum pension in the coordination of the two housing aid schemes, to which it was very much linked, in the spring of 1997. With the coordination of the two, which was opposed to the other right, the majority left the basis for a number of pensioners who are at the minimum pension level, plus 30 pst. by a minimum pension, would get a radically worse personal economy because they had got from both schemes. After being aware of the unfortunate consequences, Stortinget decided to make a compensation scheme. Then they chose to make a slowdown over several years. Last year we were in a slightly faster phase-out. At the time, we were strongly criticized by the Workers' Party for that. But the government is adding to this budget line a cut from below and a cut in compensation, and we have said that we agree that we can phase out those who are paid less than NOK 3000 per year. years. But for those who have had an additional housing allowance of more than NOK 3000 per year, which is, after all, a group with incomes of up to NOK 100 000, and who mostly live in rented dwellings in a difficult housing market, we think it is too strong to cut this to half. And that's what we've done. So to the second part of the housing support system where we think we have to make changes. We believe it is unreasonable to the pensioners that the electricity charge increase is not taken into account in the template that has been submitted for electricity. We've proposed it. We have also said that when the ministry is starting to introduce new principles, namely energy saving, even in relation to old people who, after all, do not have such great opportunities to change their housing, among other things. Because of the difficulty of borrowing, it is considered unreasonable that the real costs of electricity are not taken into account – when the Government believes that the template should be under-adjusted for energy-saving reasons. We agree and are pleased that a new review of the entire asylum and integration policy has now been requested. There are obvious bottlenecks in the application procedure, such as the problems of residence and the signals from UDI towards municipalities of forced residence. All of these things require us to take a round in the Storting both on how we can make the public apparatus in the form of the state apparatus better, but also on how we can look at the forms of compensation for settlement. But I want to say that in the middle of the day that we were about to give the adjustment, there was a little message on the Nettavisen about the small municipality that had got money on the book because they had a successful integration, they had got all their refugees in work, and therefore they also made money on the integration grant, and they actually put a few million kroner in surplus. This means that if you get into integration, it is possible that the grants that are good enough. The problem is that, when integration is not achieved, and refugees and asylum seekers go on as social clients, municipalities are not covered by the expenditure. Then we also need to discuss whether we should give a full blank authorisation in relation to such expenditure, or whether we need to consider stricter requirements for the integration arrangements to be implemented. The Committee is also responsible for reviewing and managing district policy. In this area, the Right has completely different priorities, which will be reflected in our primary budget. However, we have chosen to move in and have opinions on some priorities in the field of regional policy instruments. Among other things, we do not disagree, for example. in the introduction of so-called incubators, but because we had prioritised giving 260 million. kr more to the seed funds, we found out that it was our tool towards about the same group. When you first introduce e.g. Incubators and commercial parks, in our opinion, need to be seen as measures to improve the growth base of mainland Norway in the future, and this must not be narrowed to be confined to areas of regional policy. I will take up the Right suggestion, which is referenced in the setting.
ParlaMint-NO_1999-12-07.ana.ud560e453	Erna Solberg has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e458	The representative of Solberg was not very much involved in labour market policy in his speech, but I need to ask in that area. The right-hand side is distinguished by the fact that fewer labour market measures are needed, in a situation where the government is alerting higher unemployment. In the proposal for a State budget, the government shows that action is effective, that people who are given the opportunity to take action when they are available have a greater chance of getting to work. But the Right writes in its comments: «In a labour market where there is a shortage of labour, an excessive level of labour market measures, combined with a comprehensive day-care scheme, will contribute to unemployment higher than is necessary.» There is then reason to ask whether it is right to interpret the Right so that they believe that people choose leave, that they think it is appropriate, that they disagree with the Government's claim that action works and actually gets people to work. Does the Right believe that it is good for Norway that unemployment is increasing – that it is good for the well-contained majority, while some then get even worse, both in terms of daily allowances and opportunities for action? It is such that otherwise the right also has a rather high profile in terms of competence building and training. They want to appear like a party talking about school and education and such things, but it seems as if this should not apply to those who are unemployed. It's a pretty fundamental question, because this is about our national wealth, that people who are here can also contribute to creating not only a better everyday life for themselves, but actually values for society as well. Does the Right not see that there had been a lurking investment for society and that it had not at least been far more fair that those without a job had come up with measures?
ParlaMint-NO_1999-12-07.ana.ud560e468	On the right, we believe that we should have labour market measures, but we believe that the level should be lower than the government's estimate. We have therefore said that we believe that on average we can have a labour market measure plan that is approx. 6 000 p.a. years. We have also made it clear that long-term unemployed, young people, immigrants and older workers are to be given priority. So this applies to the long-term unemployed, and that's a very important part, because long-term unemployment is largely achieved after half a year. Unemployment rates are fairly stable in Norway and have not yet turned off in any increase. The increase may include: in my home district, where there are highly skilled workers who in that case become available, and who are likely to need, to a lesser extent, such conversion measures as, among other things, labour market measures have been. So when it comes to whether labour market measures work, last year the budget referred to 15 pst. more likely to get a job if you had taken labour market measures than if you hadn't done it. We don't think that's a particularly convincing description that it works very well. We want, as I said, to concentrate our resources on those groups that have been long-term unemployed. We believe the level is good enough. We fully agree that conversion and re-training are necessary for long-term unemployed groups, but we do not believe that labour market measures produce particularly good results when introduced in large quantities. As regards the issue of the day-to-day pay system, we have not proposed any changes to it. However, in terms of high unemployment, we have pointed out what our experience from the 1990s is, that the combination of measures and high daily allowance, which we all have in Norway, weakens the mobility of jobseekers and stops some structural changes that are necessary to reduce long-term unemployment. I think the most important thing for us is that we make sure that people might get the little puff that's going on for them to get into a new job permanently, so that they don't relive and experience periods of leave.
ParlaMint-NO_1999-12-07.ana.ud560e478	Right comments are made in the setting that municipalities have a high savings potential if they are willing to consistently suspend competition. Is the right of the view that service provision could have the same quality as such a consistent competitive environment? Is this possible in municipalities of all sizes, in all districts, where there are no enterprises that can meet this challenge? And do all municipalities and all serve themselves for a consistent competitive postponement? Would you like this to lead to an increased administration, more control and more follow-up to see if the outsourced tasks are followed up and resolved in a way that is acceptable to the municipality? How does a local self-government and the ability to adapt to local conditions ensure that local authorities are required to consistently outsource their services to competition? The second issue concerns rural policy. Right will give priority to regional policy, inter alia: improving road construction and better framework conditions for small and medium-sized enterprises, while proposing to reduce the path to local and regional economic development in order to finance a strong investment in road construction. We know that resources for the development of nutrition are very important, including: for women who have started a new activity and, in general, to facilitate the development of a broad income base in the districts. Here at Stortinget, we get a lot of calls from small businesses in the districts that will have the necessary government assistance with such funds in a start-up phase. Is it not advisable, then, to cut this to finance a road construction that is not known where to find its place, or does the Right promise that road construction will take place in municipalities that are strongly influenced by deportation?
ParlaMint-NO_1999-12-07.ana.ud560e485	We have quite clear evidence that competitive outsourcing leads to cost savings. We can only look at Denmark and Sweden, where this is not such a politically heated area as in Norway, where not only has good results been achieved on the economic side, but good quality results have actually also been obtained. I think it would have been a strength for the municipalities if you had spent more time checking and quality assurance their services and less time running them. The most important thing will be to ensure that care for the elderly is good, that it keeps a decent level, and that we do it at the lowest possible price within the given quality requirement. It can be found out through competitive outsourcing. Sometimes it means that private individuals will be able to operate the services, sometimes it may mean that they are able to switch to a public sector that allows the public sector to operate them itself. I believe that the entire competitive outsourcing discussion we have is contributing to efficiency, although it is not necessarily private providers who win on a tender. So in terms of district policy. We give money to the founders, it's in our budget. We agree that it should be possible to grant grants to women's founders, as the majority will do, and that is one of the items that we haven't cut down very much in relation to the items that we have zeroed out. But that's a choice we have to make. The question is whether we want to spend money on various measures to help make it possible for new businesses to come and finance them through weakened framework conditions for the companies that already exist in District Norway. I remind you that the agreement involves halving the depreciation rates for commercial buildings in the districts. That means, if you think of a business building, an increase of 50 years in lifetime to get the whole building written off. It is quite a lot, and it has quite a big impact on the business community in the districts as well. – This is just one example.
ParlaMint-NO_1999-12-07.ana.ud560e492	I feel that I have to keep almost the same type of posts to the Right as I kept to the Advance Party. Erna Solberg said that the whole of Højre's profile in the municipal economy is in the financial position. That's probably true, because there's very little here. And the Right stays within the agreed framework. In the financial situation, the right-hand side proposes to cut by 7,1 billion kroner. Then it's a little bit interesting for us other people to see where they cut. Among other things, they cut the sick pay scheme, which primarily affects workers, where they have a saving of over NOK 3 billion, which will hit District Norway and Municipality of Norway. They remove labour market measures, which were the subject of the previous reply. Erna Solberg was in his speech concerned that we should succeed in integrating immigrants. We are also in the Labour Party. But then it's a little strange that the Right is opposed to funds for labour market measures. For it has been proven that in order to get our new countrymen into work — and there is a greater unemployment among immigrants — it is important for municipalities to receive grants for labour market measures. But this is the right-hand side. I'm a little concerned about whether Erna Solberg can say a little about why Right wants to cut 1,500 action places in the A-etat and cut the sick pay scheme, remove the housing allowance, remove the waiting pay for those who have it in state enterprises. It might be a little interesting to hear where the NOK 7.1 billion to which the financial position refers is.
ParlaMint-NO_1999-12-07.ana.ud560e503	In this reply, it might be tempting to refer to the answers of the Right-wing Speakers to all the lines taken in the financial debate. In previous debates, we have systematically reviewed the reasons for each of these cuts, and the representative Leif Lund knows that very well. We believe that the health pay scheme is too good as it is. That's the only welfare system we have that gives us 100 pst. compensation, and we believe that that is not right. When you know that this scheme is going to cost our society $40 billion in total, it's time to look at it. We are a little surprised that the Workers' Party, which in the 1990s has been a bit critical of both disability and all other welfare schemes — single dependants, etc. – total protection of the sickness pay scheme. I think that the moderate changes in the health pay scheme proposed by the Right, which will basically be so that each of us who are a little sick sometimes, get a little less back, are of the things we can carry. But for groups that are far weaker and with poorer economies, the Labour Party in government has been in front and wanted to cut more. I think it is a bit surprising that the Workers' Party does not see that we who do not have the close partnership with the LO, will not necessarily protect the LO's favourite protected areas as strongly as they do. We don't have a cut in the municipal economy, just to underline it. Our changes involve a difference between the framework and tax and a higher compensation for input-driven funding to hospitals compared to a framework transfer. We're going from 50 to 60 pst. in compensation. In the case of labour market measures, we believe that immigrants can be given priority within the 6,000 areas of action we propose. It is interesting to note that once the Workers' Party has reached a settlement that increases labour market measures, there are no measures against the weakest groups in the labour market, those now mentioned, but it is against them in the offshore industry, which, after all, have quite good competence as a basis.
ParlaMint-NO_1999-12-07.ana.ud560e514	The cord shift is over.
ParlaMint-NO_1999-12-07.ana.ud560e517	An active district policy is one of the main policy tools for achieving good social development for the Centre Party. The main objective of rural policy must be to maintain the pattern of housing and to bring about a positive and healthy development of society throughout the country. A stable settlement is a prerequisite for achieving key societal objectives related to resource use, the environment, well-being and well-being. The centre party believes it is important that the municipalities get the best possible elbow room to rule in their own house. It's important to realize that equivalency is not the same as equality. On the contrary, it is important that we, on a central level, respect the diversity of our country and facilitate local communities to choose their solutions to policy tasks. I would like to underline the Government's objective of facilitating the best possible space for action in the economy of municipalities. In this context, it is important that municipal appropriations are not overly tied up by statutory tasks. I look forward to the government's announced proposal to include parts of the earmarked grants in the income system for municipalities in the context of the municipal economic proposition for 2001. It is also important to follow closely the developments in individual municipalities after the differentiated employer’s fee scheme is adapted to the EU rules on transport aid. In this context, the local economy must also be followed up. Centralisation leads to the impoverishment of districts. The potential for value creation is reduced and environmental and welfare problems are increasing in the key areas. It cannot be repeated too often that a good rural policy is also the best policy for the central regions and for the country as a whole. I think it is important that we become aware of the relationship between the high level of activity in several sectors in a limited geographical area and inflation and negative displacement patterns. The activities must be distributed throughout the country. By doing so, we will both ensure sound economic development and facilitate a greater degree of future value creation. I am pleased that a majority of the committee, the members of the Workers' Party, the Christian People's Party, the Centre Party and the Socialist Left Party, say that "a living District Norway has great self-esteem". The same majority also points out that the main challenge in the fight against housing patterns is gradually becoming the ‘combat for skills’, and that there is therefore concern when research shows that the number of employees with higher education is significantly below the average in districts. In this context, I think it is nice to be able to draw up a positive example of a district measure in a small municipality in my own county, Northern Ireland, which has developed much more positively than anyone could dare to guess at the beginning of 1994, where a company has attracted the highest competence at university level and today contributes to the value creation of 40 jobs in a municipality with only 2,500 inhabitants. Since its establishment, Ärran – the Lulesamian Centre in the municipality of Tysfjord – has evolved into the municipality's third largest job. In 1994, there were 10 employees, today there are 40. The Greier Centre to realise the required development will continue its positive development and may have a further 10 employees in a few years. Such a successful project has an invaluable impact on a small outlying municipality. Norway is today a multicultural society. It should be seen as a enrichment. However, the increase in the number of asylum seekers who have come to the country in the last few years is also a challenge. The members of the Committee from the Christian People's Party and the Central Party support the Government's main objective of a regulated immigration, the protection of refugees, equality, participation and integration into a multicultural society. These members have noted that the settlement of immigrants and, in particular, the settlement of minors will be a focus for 2000. These members point to the need to reduce the waiting time for the first asylum questioning and are satisfied that the Government has asked the Stortingen to grant more funds in order to intensify the asylum questioning process. Our refugee and immigration policy must be based on humanity and be based on the individual's self-esteem. Racism is destructive and destructive in every way, and it is important that we work against all kinds of this.
ParlaMint-NO_1999-12-07.ana.ud560e532	It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e535	The budgetary position largely reflects the budgetary agreement concluded between the Workers' Party and the Government Parties. Nevertheless, it is enough that in many ways more distinguishes these groupings than is apparent from the budgetary position. The representative No qualifiance was in his post strongly concerned with running an active district policy and being able to run in ‘own house’. Now, overall social developments are somewhat distorted in terms of housing patterns — we have migration flows across and across the country, as well as between parts of the country. Not all move from the districts into the central strata – people move from the central strata and into the districts too, even though the main gravity is on the first. In a special note in the budgetary position of the Christian People's Party and the Central Party linked to district policy, it is sought to present the district policy of the Government as the ‘district policy reversal’. It would in many ways be interesting to get a slightly more precise description of what this reverse operation involves. I know that the Council of State Enoxen was challenged on this in connection with a radio program for a while back, where he was to give examples of the government's social governance. It's not easy. However, I would urge myself to challenge the Representative No Qualifying whether she has examples of active social governance in these two years of government functioning, which substantiates the claim of a district policy reversal.
ParlaMint-NO_1999-12-07.ana.ud560e542	It is true, as the representative Eriksen says, that the seas of the Workers' Party and the Government's parties cooperate on the budget and have many common comments in this budgetary position, there is a lot of difference. Thank you for that – it is when we discuss and take a slightly different view that we often get the best solutions. But when Eriksen asks me to point out concrete things that have led to a better district policy, I have to say that it is not that simple. The district policy that gives the best effect is what we call the broad rural policy, that is, what is happening in all sectors. Just as we say that all roads lead to Rome, all political decisions lead to or from the districts. We can make it so complicated that it becomes impossible to live in Foreign Norway. In that context, I want to point to one of the good things the government has started. It is the project they call ‘Simplifying Norway’, in order to simplify legislation in order to make it easier to adapt to different situations. I gradually learn that psychology is very important in politics. If we're still going to hear that we're living on the outskirts, we're just being dirty, we don't mean anything, we're clinging to the foot, yes, then we don't get very good faith in what we stand for ourselves. The most important thing this government does, I think, is that it is quite clear that it has a goal of turning the movement flow. And it's not just going one way, it's going to pulse, people are going to move and move both ways, and it's going to have to be facilitated for a greater degree of return. The centre party has embarked on a project involving both women and young people, to facilitate their repatriation. That is, to a certain extent, a concrete thing. My wish is that this government should continue to send these signals and its active policies to the districts.
ParlaMint-NO_1999-12-07.ana.ud560e553	The representative No Gulf of the Center Party started the tradition of believing in talking about district policy, settlement, finances in the municipalities and local self-government. So it's probably in a debate like this one to do nothing but to take a line on the Central Party on District Policy. And maybe they should be happy about that. Let me refer to a recent statistical central agency research report, which concluded that the government's efforts to turn the movement flow into cities are completely useless. Of course, it's not funny to hear from the Center Party, because the lot is marginalized as the movement flow from the villages moves. Anyone who moves from the villages threatens the existence of the lot. Norway is perhaps the country in the world that spends the most money maintaining housing in the districts. But here we get a research report that states that the heavy centralisation trend will continue no matter what politicians have to do. I'm going to give the Representative No Quail Bay a liberal challenge, if she can explain what she will do to make the towns more attractive for the move of people from the cities. Maybe we could get a recipe for that. What's the problem today is that the villages are hermetized for people from the cities. We have nobility laws, concession laws, soil protection -- a lot of things that make people from the cities who want to establish themselves in the country actually have almost no opportunity to do it. It's an obstacle, and it's a challenge for those who want to reverse the movement flow in this country.
ParlaMint-NO_1999-12-07.ana.ud560e566	It cannot be a more grateful task than to answer a question of district policy from the Progress Party. Then it's really nice to debate. The research report by the Statistical Central Bureau, to which the representative Torbjørn Andersen referred, only supports the need for this government's policy, the reverse operation of this government in district policy. Because what this report said was that if we don't introduce new measures, the moving flow will continue to the same extent. And even though we can't stop or reverse the movement current, I see it as an important goal to slow it down and also get a little bit more movement the other way. As I also said in my previous answer, I think it's important to have circulation. We have the best and freshest water in the world. It's the same in society. It'll be freshest if we have circulation. People are going to move, but it's going to be wrong when some areas are being emptied. It weakens the country's capacity for future value creation, as, after all, resources have spread throughout the country. What I also think is important, and as I pointed out in my post, is to facilitate a greater degree of activity. We're talking about that we're afraid to put too much money into new, big businesses because it could ruin the economy, lead to inflation, weaken the crown and weaken our trade balance. But it's not just of importance how much money we put into society. It's equally important where we put the money. And what I think is very important now is that we look at how we can use economic instruments and, for example, how we can use economic instruments. start up new large-scale construction projects in those parts of the country where workers are licensed and where the machinery is located. With that, we're going to reverse the movement rate. We want to slow the flow, we want to reverse the flow, and we get a healthier and better economy.
ParlaMint-NO_1999-12-07.ana.ud560e581	For SV, the local economy is very important. Is that for the Center Party, too? We now experience that the local government sector has the largest deficit in ten years, and the Central Party is in government. In the Adult Declaration, the Centres promised to reduce the difference between the tasks of the local government sector and the money that was sent. So now it's the third year of this period, and if the government's going to achieve its goals, it's going to have to do a solid reverse operation next year. Is this right? It must be an explanation problem for the centre party when the party's own rapporteur in Jölster, Gerd Dvergsdal, in Firda Avis in Sogn and Fjordane now warn that she is taking the initiative for a rapporteur's insurrection, because, as she says, we must make clear how hopeless the economic situation in the municipalities is. What does the Center Party think about this? The second issue relates to one of the main regional policy instruments that is the differentiated employer’s fee. In the United Nations on Thursday, Prime Minister Bondevik admits that he cannot guarantee that Norway will maintain this important regional policy regime after 2003, as the scheme needs to be re-notified. The whole scheme is known to be illegal by the EFTA Court, illegal as commercial aid, and it is a temporary continuation we have now received. What is the reason why the Central Party now, together with the majority, has such an ostrich policy in relation to this issue and does not want it to be fully elucidated on a fundamental basis and that we should have a comprehensive review that can ensure a similar level of support, a corresponding differentiation, as proposed today by SV?
ParlaMint-NO_1999-12-07.ana.ud560e590	To take the last one first. The central party is also involved in the majority opinion here in the budgetary position, which states that for the 14 municipalities that come under the highest tax rates, it will be important that the government in the revised national budget comes ‘proposals for various compensatory measures to improve infrastructure, enhance the skills of local businesses and promote regional development in the context of a higher-charge transition’. In this context, I said in my post that the local economy must also be followed up. Now we take one thing at a time, and then we see how far we're going. For the time being, we have received approval that part of the differentiated employer’s fee can be interpreted as transport aid. Then we'll hope it goes on. However, we know that we are facing more and more such problems in relation to the European Union. That was the reason why the Centre Party was at the forefront in the fight against EU membership. Today, we have to deal with many EU regulations because we are EEA members, but it could be much worse if we had been EU members. It could also be a lot worse if we hadn't had this government that's so clear and active in relation to these questions. On the other issue, Norway is not a revolutionary society. Things take time. It was about the local economy. Yes, the municipalities have too bad finances. The reason for this is that in recent years municipalities have been entrusted with many major new reforms and tasks in the field of care for the elderly, which actually represent some form of ear-marking. It has to be done before much else can be done. At the same time, the Centre Party has now worked to ensure that Section 8 of the Power Taxation Act is not implemented. It will provide a better economy for a good deal of municipalities. It would be worse for the municipalities if we led an economy that would give a high level of interest rates than we've run the safe economic policy we've done after all. As I said in a previous answer, we need to see all the policy measures in the context.
ParlaMint-NO_1999-12-07.ana.ud560e602	The cord shift is over.
ParlaMint-NO_1999-12-07.ana.ud560e605	The Norwegian economy is freshly reported and better than for a long time, but unfortunately the local economy is ill reported. That's $4.9 billion more in deficit in the last year, and that's the biggest in the last ten years. Tasks and wage costs increase, and transfers do not keep pace with them. In contravention of the Waksenå Declaration, there is now a gap between the tasks and the financial possibilities given to the municipalities. The gap between attitude and action is becoming far too big now. I feel that the municipalities have given up taking up the municipal economy on a general basis. Now they come up with individual issues, very important ones such as financing the education of refugees and especially resource-intensive users, etc., but it is the overall community economy that is too poor and causes problems to emerge in the area by area. For SV, the local economy is a pillar of the construction of society. Now the challenges are many. We need to get a forward-looking commitment to school and education that allows us to see the 21st century safely in a meeting, both as individuals and as communities. We have to have a distribution where the differences are decreasing, because now there's a dithering message that shows that the differences are increasing. What we know is that the municipal sector and the common good are one of the most important things that can help to reduce the differences. In addition to adopting very good and correct reforms, which have been agreed upon in the Stortinget. If we look at what it requires of staff, both in school and in health, there are 85,000 new year's work. There's no room for that in the local economy we have today. In this context, a whole new and different understanding of the importance of the local economy is needed in order to carry out such important reforms. The municipal committee has now reached an agreement on a comprehensive approach to asylum and refugee policy. This is important, because there is a lack of both the system and the money. For example, the KUF has shown that there are no 270 million. kr only for teaching in the municipalities. It's, if you can compare it, more than the total school package that the government parties put into their budget proposals. In particular, the focus has been on unaccompanied minor asylum seekers, and their costs range from NOK 10 000 to NOK 15 000 to DKK 300000 to DKK 400000 per year. years, according to the kind of measures they need and get. There are very different needs and reimbursement schemes for actual expenditure, as they do in Sweden, can be a solution. This must happen quite quickly, because the consequences of years in reception are huge and unfortunate. It is important to do something about this, so that the totally unacceptable proposal presented by the head of the UDI in the media the other day is not implemented. In addition to that, there is one area in which I believe the Storting should already make a decision, and that concerns the particularly resource-intensive users. These must receive state top finance. This is a form of price financing, where the money follows the patient. To my great surprise, for example, follows. This is not a proposal which should, of course, be a proposal in the spirit of the Progress Party. So today, in fact, it is SV who are promoting such concrete proposals, and the Progress Party that is voting against. As far as district policy is concerned, we are now losing control of the instrument by means. The EFTA judgment has established that the differentiated employer charge as State aid is illegal and is only provisionally authorised until 2003. These are fundamental and fundamental changes. The order has been removed from our hands. Yesterday there was a press release from the Ministry of Local and Regional Affairs on the reduction of aid rates in SND for grants and loans. The EU has decided that the rates should be lowered, and we must stick to them. I feel that the majority ignores the seriousness of this and leaves it to themselves. When Bondevik said at a press conference on Wednesday that he cannot guarantee that we will keep the system of a differentiated employer's fee after 2003, I have to say when they vote down SV's proposal today to have this investigated: that you are dry! To hope, as the Center Party does today, is to say mildly not good enough. Then to the housing question. The shortage in Norway is a rental sector with enough housing at a low price. There's a need for money, and there's a need for land. Various providers have made cheap offers. The question is whether we, as a crowd, are able to follow up with enough appropriations, so that people who have bad advice have a choice. I refer to SV's suggestions, which have been included in the setting.
ParlaMint-NO_1999-12-07.ana.ud560e624	Karin Andersen has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e629	The representative, Karin Andersen, began by saying that the municipal economy was ill-reported and the private economy freshly reported. The SV representative is convinced that justice and distribution – distribution to municipalities for that matter – can only be created through more taxation and increased political and bureaucratic control and management of most of it in society. Some have designated SV as museum guardians, but I am a little uncertain whether the representative Karin Andersen belongs to the so-called museum guards in the party. We can try to clarify this through the following questions: How large does the representative Karin Andersen think that the public – and municipal – sector should be? Is there any optimal balance between the public and private sectors? Should it be that the public forever should be reserved for an absolute exclusive right to carry out welfare tasks, such as care for the elderly and to run schools, even though these offers are nevertheless financed 100 percent of the public – that is, ‘free’ for those who are going to use them – just as they are today? Should there be certainly public servants who will be allowed to care for the sick or to teach the children at school? It has to be allowed to ask about this. The answer I get, I guess I can imagine what it's going to be like, but it's always exciting to hope that in SV too, there's some progress in the vision of how society is to be organized and managed in the future.
ParlaMint-NO_1999-12-07.ana.ud560e641	This becomes a matter of whether the welfare state is modern or immature, whether it is new or old-fashioned. We in SV believe that we actually have evidence to say that the welfare state is a product of a modern era. It's almost new, and it's unfinished. The system advocated by Mr Andersen of the Progress Party is, after all, the old-fashioned system, in which each one, far more than today, must be vacated, his own wallet, his own abilities and opportunities to move forward. The welfare state has grown slowly. It came in response to the fact that the system advocated by Andersen of the Progress Party was a system that created unbearable differences, and that did not help society to exploit all the resources that each human being has inside it, in a good way, because it created madness, it created unemployment, it created too many differences, and it couldn't manage to exploit them. So it's probably a question of whether it's not the Progress Party that guards the old systems. Then the proportion of public expenditure in Norway has fallen significantly in recent years. In the 1980s, Kaci Kullmann took Five, I think it was, in order for public expenditure's share of GDP to drop to 50 p.m., and it became a very ramsy in the Right around it. So now the government expenditure share of GDP is 46,5 pst. So it is below the EU average, and it has fallen significantly. The Norwegian economy is very good, and it's increasing, but it's the distribution between the common goods and the private consumption that's now gone wrong. The government has also documented in the dithering message that it is the way it goes. In this respect, SV considers that it is not very forward-looking to use the economic opportunity to secure Community goods.
