ParlaMint-NO_1999-03-04-lower.ana.ud2401e37	The representative Sverre J. Hoddevik will present a private legislative proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e163	The setting refers to a correspondence with the ministry, where the problem is linked to any decision on urban renewal held against a fixed-term lease. To put it simply, the answer to this problem is from the department that origning, or e.g. propriation, is the key that in this case can bring about urban renewal. Now, in our eyes, these are relatively strong and time-consuming measures, and the minority have a proposal that the tenant cannot oppose rehabilitation, which may end up in retirement. I would like to right the case spokesperson's view of this expropriation requirement held up against the competing one that does not have multiples.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e170	We have not accepted this minority proposal from the Right. We feel that the proposals and points of view that came from the department are covering and will be a good way to carry out a necessary urban renewal in many areas. We see it as a useful tool, and believe that it can be a practical way to organise it. It's clear that expropriation is initially a heavy tool as one in the longest way to use, but sometimes one comes up in situations where one has to have a little heavy tool, especially when this applies to many parties.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e177	The majority are in favour of lifting the house lease regulation provisions, both the strict and the mild. The mild one has been discussing very little. I could imagine hearing Mr. Gedredem's reason why you couldn't imagine keeping it, precisely with the background of the recordings we've received from Husleienemenda in Oslo, which shows that this provision has been useful to very many people who have poor advice, and that it has in no way prevented rehabilitation and, consequently, the increase in rent, for those who have dealt with the legislation and applied for it, have also received it. The reason for lifting the rental regulations is that Gedrem is that they are not very targeted, and it is not difficult to find examples that it may not be the most needed. But I could also imagine asking Gedrem if he does not see that the injustice is being replaced by the fact that there are actually more people who get problems on the housing market if we do this now. So finally, a very specific question. We know that many people live in these regulated apartments who have spent quite a lot of their own money cleaning them up, so that the appreciation of the dwelling has become quite large. How should the capital increase now be allocated between the owner and the tenant in such a relationship? And can it actually end up so that tenants have to pay extra rent as a result of the appreciation they have paid?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e186	After this evening, we probably have one of the most liberal laws in the Western world in this field, so it's clear that there are some question marks in the path ahead. But we've assessed it this way, as I said in my first post, that the regulations we've had have been small-scale, and that some kind of market-free supplement with an active investment in housing, especially for vulnerable and disadvantaged groups, will be able to solve a situation that will be problematic for larger groups. Whatever action we take will cause problems, but I don't think they'll be bigger than being able to deal with them. With a targeted grip on housing construction and a sensible alignment of public tools to groups that need it, I actually have great faith that even if it leads to a suspension of house rental regulation, it won't get that strong results, especially because we've given the strict regulation a ten-year run. Then there's the problem with those who have cleaned up their own homes. I myself was with another representative and visited a dwelling that was furnished for NOK 100000 20-25 years ago. Then the monthly rent for a relatively large dwelling was about NOK 2,000. That's very cheap. On questions I received from tenants, I said that despite the fact that he invested NOK 100 000 in 1972 – that is a lot of money – he still had a cheap dwelling when looking at the entire life cycle. At least there were some tenants. So I think most people who have invested in a rented housing in the form of refurbishment have got this again. I think there are few who feel tricked.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e193	Replicate cord shift complete.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e197	Let me first give recognition to the case rapporteur for the way he has managed to work on this setting. The rapporteur has also explained the main content of the law and the setting in his article in a good way, and I therefore find no reason to repeat what he has said, just to clarify that it is mainly the Workers' Party and the government parties that agree on this setting. In other words, it's at the intersection of the Workers' Party and the Centre's premises for the House Rental Act. In the Workers' Party, we are therefore pleased to have managed to shake the government parties out of the claws of the Advance Party and the Right in such an important matter that affects housing and living conditions for very many families. I would therefore just like to touch on a few main issues in the law. The most difficult political issue is clearly the question of repealing the Housing Lease Regulations Act. This applies first of all to the mild regulation, i.e. Chapter 3 of the House Rental Regulations Act and includes the rental of private dwellings in Bergen, Bodø, Drammen and Tromsø Municipality and all private dwellings in Oslo and Trondheim that are not subject to strict regulation. I would also like to stress that it is a unanimous House Rental Act committee that recommends the lifting of the mild regulation. Secondly, the rental of dwellings in houses listed before 8 April 1940 in Oslo and Trondheim, with certain exceptions, i.e. the strict regulation of Chapter 2 of the Housing Lease Regulations Act. On the part of the Workers' Party, we agree to repeal the Housing Lease Regulations Act. The political issue has been the extent to which the repeal of the law would lead to an unreasonable increase in the rental price of these dwellings. For the Workers' Party, it has been important, on the one hand, to protect those living in the dwellings covered by the repeal of the House Rental Regulations, for a sudden increase in the rent, which too many will be insurmountable, and, on the other hand, to contribute to the greater possibility for the lessor to maintain the properties, all of which are listed before World War II. The Workers' Party agrees with the Government that a transitional period of 10 years should be established. We are also pleased that there is a majority in the committee, and therefore in the Stortinget, so that the rent can be increased by a maximum of 20 pst. per 1 % years in the first nine years. But I also want to make it clear that when the majority of the vote refers to the rent, we mean and assume that it's the rent, that is. rent minus municipal charges. On the part of the Workers' Party, it is also assessed that the rental regulation is to some extent in breach of the principle of non-discrimination, because the corresponding non-regulated public-owned dwellings are increasingly rented at market prices. It may therefore seem unfair that a small group of private owners are affected by the regulation. The second main issue I want to address is the deposit system. The Workers' Party agrees with the Government that the deposit should bear interest and that this is money which is initially owned by the lessee and which should therefore be placed financially sound. However, I would like to stress that for many lessors financial liabilities through loans, combined with non-payment of rentals, constitute a significant uncertainty factor. In order to mitigate this uncertainty, the Workers' Party believes that, in the event of unpaid rent, the owner can be paid out of the deposit without written consent. A third issue is housing housing representation. The Housing Law Committee has proposed rules to ensure that residents have a certain influence on the management and operation of property. Swedish and Danish house rental laws provide for participation rights for tenants in common rental properties. A majority of the House Lease Committee has proposed that the lessor deliver both accounts for properties and an operating budget showing revenue and expenditure in the current year on the basis of the requirements of the trusted obligations. The government proposes that tenants in houses where the lessor has rented five or more dwellings should be able to choose a trustee. However, the Government proposes that the trustee should have an advisory function first and that neither the trustee nor the residents should have access to the lessor's accounts or budget. The Workers' Party supports the Government's proposal for housing rent representation, but believes that the Government must come back to Stortinget with a case that ensures that residents' representatives are legally entitled to influence. This is also in line with what the Leieboerforeningen and Landsorganisationen mean. On that basis, I would like to raise proposal No. 1 in the settings. The last issue I want to mention is the introduction of a dispute resolution body. The working party is pleased that, through the work of the Committee on this position, a majority has been set up in order to set up a probationary system with the host Membership Committee in Oslo. However, I would like to stress that it is the Workers' Party's assumption that the cases dealt with in the Housing Lease Committee should be exempted from the legal proceedings in the Conciliation Council, in order to avoid duplication of treatment. I would recommend the setting.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e218	The representative Odd Eriksen has drawn up the proposal he himself referred to. It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e223	It is such that, among other things: The Workers' Party notes that as far as possible leases should be temporary because one considers that the purpose of fixed-term leases is to avoid the protection of denunciation. At the same time, the Workers' Party will have leadership at the rental level by allowing one after two years and six months to require market rental adjusted to so-called rentals. In my view, this will mean that fixed-term contracts will be the rule rather than the exception. So first one wants the tenants to get leases for an indefinite period, and then to put in place a plan where, after two and a half years, tenants can demand rentals that are reduced to rents, which one must expect to be lower than market rents. Is it strange, then, that the lessor will ensure that the rental income may fall, by always entering into contracts for at least three years or a year? Then the rules say that you can start market rental again, which you have to expect is something about rent. That is to say, the wish of the Workers' Party that as many contracts as possible should be indeterminate has no content whatsoever. How can the Workers' Party believe, in such a situation, that most should or will enter into leases indefinitely? I find this strange, and I would like to hear the representative Eriksen's answer to that very thing.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e230	I think we should at least clarify the starting point for the different positions on the kind of agreements we are discussing here. For the Workers' Party, it is important to reach a balanced agreement, an agreement that takes account of different interests, which was also explained by the rapporteur. If you take one side of the equation and don't want to undermine both parties' interests, you'll always find an imbalance. That's what's the starting point for our comments and our attitude to the rental law. It is not that the rent will in any case just go up. We can actually imagine cases where the rent will have to go down. It is also a matter that needs to be taken into account in the assessment of whether time indefinite contracts should be held. So my answer to Andersen's representative is that what we've been thinking about is that we should have a balanced agreement that takes into account the interests of the parties, and we're assuming that it's the parties that are initially planning the agreements in terms of rental.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e239	When SV has assessed the removal of the rental regulations, we have assessed: Who is affected by the regulations now? And who is affected by a deregulation? The rapporteur was just up here and said that we are now getting one of the most liberal housing laws in Europe – and we will do that. What we know then is that the rents will rise, even though you've now made a way to do it that will dampen the worst. But that's after all 12,000 homes this is all about in Oslo. Is not the Workers' Party concerned that we have not yet started this non-profit rental housing scheme, that there is going to be a major imbalance here? And has the Workers' Party some overview of how much in increased expenses it becomes, for example. social assistance and housing support for deregulate now? Then I have another question for the Workers' Party. We're occupied with housing security, everyone should be able to have it. Even if a tenant or owner is required to have security of dwelling. In the provisions on fixed-term contracts, as they are now, we fear from SV that at the end of the deadline a tenant will be cancelled despite the fact that the landlord will continue to be hired out. We have then proposed that if the property should continue to be rented on the open market, you should have the right to rent again. I wonder why the Workers' Party could not be with SV on this proposal. It would ensure a home security for people, so you don't have to move around. If the dwelling is still to be rented on the open market and is not rented or used by a close family or similar, the person who has the rental contract should be entitled to continue to extend the rental in this housing in order to avoid being exposed to a nomadic life. I have not understood why the Workers' Party would not be involved in this.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e246	In Oslo, I guess it's about. 20 pst. by the residents of the dwellings to which the deregulation applies, which are so-called older tenants. This is the approximate number. It is clear that different considerations need to be weighed against each other, as I also said in the article, and we have done that when we have gone into deregulation. On the one hand, as I said, we are going to secure those who rent out the dwellings, an income that will enable them to maintain the dwellings in a satisfactory way. We're going to remember that these are homes listed before World War II. At the same time, some work remains to be done to ensure that those living in dwellings are not unduly affected by an increase in rent. We've done this by setting the transitional regime to 10 years, and maximizing the base rent increase to 20 pst. But I repeat that there is still some work to be done, especially for the elderly residents, to ensure that the increase in rent does not increase the uncertainty of living. We have arrangements in this society that resolve that kind of issue, and I'm going to assume that the Council of State is also concerned about. With regard to the possibility of staying in the dwelling after the cut-off, which Karin Andersen, the representative, was concerned with, my assumption and my starting point are that the owners of the house are very much concerned with stable tenants, and that this is therefore essentially not a major problem.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e257	No more words have been asked for.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e260	The proposal for a new house rental law under discussion in Odelstinget today has been the subject of extensive and demanding work in the Committee. The Committee shall, for the purposes of the matter, inter alia: have visited both Finland and Sweden to obtain relevant information and knowledge in the work on the proposal for a new house rental law. The result has been a relatively extensive law to replace both the former house rental law of 16 June 1939 and the house rent regulation law of 7 July 1967. The main basis for the Committee's work has been based on the Committee's decision-making procedure, NOU 1993:4 Law on rental contracts, which has been on a thorough consultation round since 1993. At the same time, the comments made by the Ministry and the Hearing Officers on the suspension of the Husleielov committee have been assessed and examined in the Committee. The purpose of the law is to regulate rental conditions between the tenant and the lessor. In most areas, the Progress Party broadly agrees with the majority on the content of the law. However, in some areas covered by the law, the Progress Party has not been able to agree with the majority. Thus, to the present proposal, the Progress Party has some comments and amendments that we believe are necessary in order for the law to contribute to the creation of a well-functioning rental market and thereby fulfil important objectives of Norwegian housing policy. For these reasons, the party to the progress has shown, in its general observations, that the law provides for extensive and detailed regulation within the rental market for dwellings, with the result that private and non-professional landlords may feel that their right of access and control over their own property is being weakened or reduced. In this case, more lessors may become skeptical about renting, which can contribute to a reduction in the total number of rental dwellings, and this will in turn contribute to increased pressure in the rental market, with increasing prices as final results. The Progress Party has the following objections – seven pieces in total: 1st@item: inlistbox We will continue to have fixed-term leases without limitation for a minimum period of one or three years in terms of the duration of the lease. In other words, we want to keep the law as it is today in this area.2. The party seeking freedom of contract for the purpose of determining the size of the rental is, for that reason, Chapter 4 on the protection of rental prices. 3rd@item: inlistbox The party to the proceedings opposes the reversal of the burden of appeal in the event of a disputed termination from the lessor to the lessor and will maintain the law as it stands in this area, so that there must still be tenants who have to go to court and demand termination.4. We are opposed to Chapter 6 on resident representation.5. We will abolish the house rent regulation law over five years.6. We will maintain the current 14-day rule for tenants' right to complain about the defects and defects of the dwelling that this person is moving to7. We want a somewhat stricter limit on how many people can move into a rental dwelling without requiring the agreement of the lessor. I'll get to comment on some of these points in more detail. In the case of fixed-term rental contracts, I believe that several lessors will reserve the right to rent in their own homes if you know that they have first received rentals, you are usually bound to let rentals stay for three or one years in your own house. The Progress Party considers, as stated, that temporary leases should not include any provision for the minimum duration of the lease. The Progress Party will then also oppose the provision that fixed-term rental contracts must be concluded for at least three years in landlords and one year in private dwellings. However, even if fixed-term leases under the new law have been provided for a minimum period of one or three years, such temporary leases will probably become the rule rather than the exemption, because it will be reasonably possible to adapt to the exceptions referred to by the law in order to obtain fixed-term leases of a shorter duration than the general rule requires. There are exceptions that allow you to have a temporary lease shorter than, as I said, the general rule of law says. The Committee has stated that all leases should preferably be non-scheduled. Here the committee will hardly get its wishes met. Because when we know that after two and a half years, the parties can demand the original market rental adjusted down to the so-called rent, all the lessors will arrange their contracts all the time to obtain market rental, which is likely to be higher than the rent of the assembly. There must then be no longer than three years lease terms, as market rentals and refurbishments are likely not to be identical. What would be the point of this provision? Therefore, upon the conclusion of new contracts, the lessee will be able to adjust the rentals to market rentals, which must be assumed to be higher than the rentals. In order not to lose rental income, then, a lessor is forced to use fixed-term contracts to adjust the rentals to market levels every three years. There may be a lot of work to do in terms of fares and legal devices that we could have been spared if we had followed the proposals of the Progress Party to let the parties themselves agree on the rental. For the Progress Party, full freedom is sought between the parties to agree on what to pay in rent. I find it strange for several reasons that the majority operates with a rental relationship starting at market rent, but that after two and a half years it should be possible to adjust it down to so-called rent. Therefore, the forwarding party opposes Chapter 6 on the protection of rental prices and justifies this view that the rental price is, in practice, also currently pure market prices in normal rental conditions. So we don't see any reason to deal with what people are going to pay in rent. Another news in the law that could contribute to less willingness to rent out is that those who, for some reason, consider it appropriate to cancel the tenant will experience this as very problematic if the lessee opposes such termination. For the lessee, within one month of receipt of a written notice and even possibly a reasoned notice, the lessee may inform the lessee that the notice is not accepted — even without justification. He can thus become a resident as before. Under this law, the lessor will now have to go to court to confirm any cancellation. So the new thing is that the tenant can very easily oppose the cancellation and become a resident as long as he wishes, until the court has confirmed that the cancellation may be valid. When we then know that the law provides for a very strict cancellation protection for the tenant, that a cancellation must always be justified in substance, and that ultimately it is up to the judicial system to decide what is the cause, the lessor is faced with a very stressful and frustrating situation. A lessor who has had to go through such a case, rarely hires another one. He would rather leave the dwelling empty to avoid discomfort. This means that there will be a skepticism in some people to rent out vacant land in their own home. This, in turn, leads to poor use of the total Norwegian housing stock. For these reasons, the Progress Party has found it appropriate to vote against the third sentence of the first paragraph of Section 9-8, which requires the lessor to take action within three months in order to approve a cancellation. Nor do we have any faith in the eagerness of the majority to set up a sample of resident representations in larger rental conditions, where residents will formalise their cooperation in a body together with the owner of the house. We have absolutely no faith in this. So we're going to go against the entire chapter 6, where this is included. The Progress Party has also proposed to abolish the obsolete house rent regulation law over five years, not more than ten years, as proposed by the majority. In this context, it is natural to refer to Finland, where this law was repealed over an even shorter period, without any problems being recorded for that reason. Like the Ministry, the Progress Party has not seen it as particularly important to support the creation of a housing lease committee. To create even more organs to deal with some problem as long as there are already good enough bodies, we think it is unnecessary. In addition, the creation of such a sample requires extensive work and organisation. I also refer to what the Ministry has said in this area. But overall, the law has legal rules for several important aspects that determine relationships between lessor and tenants of the highest importance. It is also true, then, that the Progress Party largely supports this law, with the exception of the areas to which I have just referred. With those words, I will conclude, and address the suggestions contained in the vote on behalf of the Progress Party.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e320	Torbjørn Andersen has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e325	The contribution of the Progress Party to the work of new house rental laws can be defined as follows: most of it should be up to the market to be determined. It is in so far as it is in accordance with the ideological foundation of the party – in so far as such a foundation is present. The representative Torbjørn Andersen assumes that, as soon as he has got hold of a tenant, the landlord will throw the tenant out as soon as possible. But that this was to take care of the interests of the little union people, I'm quite sure that's not the case. This is most clearly demonstrated both by the fact that the party will vote against the Chapter on the protection of rental prices and by the proposal that transitional arrangements for the winding-up of the regulations be reduced to five years, without restrictions on the increase in rent during the transitional period. I would therefore like to ask the representative Andersen whether he is not concerned about unnecessary high consumption of taxpayers' money to help those who have financial problems by increasing their rent faster than that, for example. The majority will move in favour of the option.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e332	I find it strange that the Workers' Party has such a fundamental belief that everything is going to be as good as possible, only it will be regulated. As long as you make laws and regulations, only politicians get their say, everything gets so much better. I don't share that view. As far as we want market rental and full contractual freedom between the parties are concerned, there is nothing particularly remarkable about it. It is otherwise for all possible conditions in this society, largely, that it is the market, the parties themselves, that sets prices, depending on supply/demand. That we need a supervision of free competition, and that the rental market is something special where politicians have to go in and instruct what is lawful and not allowed, and detailed control of such a banal and simple thing as the rental price, I find quite strange that someone can claim. Price is best formed in a free market without too many interference from politicians. Politicians must ensure that it is full and effective competition. It stops the politicians' tasks. If the lessor screws up the rental price unfairly, he will not rent out the dwelling he wants to rent out. In a well-functioning market, we do not need price regulation on rentals, and in practice, today the market price is the case. There is no doubt that what is market rental today is a real market rental – there are prices in terms of rental conditions that have been fully agreed between the parties. So there's nothing strange about the Progress Party in this context.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e340	The President will ask Torbjørn Andersen a question. When Torbjørn Andersen took up proposals presented by the Progress Party, does it also include the proposals where the Progress Party is proposing with others? The President sees it this way.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e343	I want to use this opportunity to stress that as politicians, we should have respect for our position and our craftsmanship and not mention the degrading work that we are going to do on behalf of the people. I have a little problem understanding that, as representatives of a democracy, we should not be able to have independent opinions and implement some regulations to balance and try to mitigate conflicts. What politicians operate on is conflict. That's why it's a very nice craft, well developed, if you respect it and you want to pursue a policy that is respected, that people most accept. Therefore, I would like to warn against some kind of political contempt where one stands on the side and says that the politicians are not capable of doing this. So a few things about the contents of Torbjørn Andersen's articles. I had the impression that the price adjustment was to the detriment of the landlord. We had a situation for approx. 10 years ago with a price crack. It was a different situation. According to the article, the impression was that the amount of the rent was already going up - continuously upwards. But in the situation now in Oslo, I'm pretty close to seeing a situation where rent will go down, if one power to build more dwellings. So I feel that this is a little bit too one-sided. I would also like to stress this with confidence-building measures – not underestimating it. Contact between parties averts many conflicts, and I don't think we should underestimate the amount of a countermeasure that this would mean.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e352	First of all, as the representative Gedrem said, it's my view that politicians should put the big framework around what's going on in society, and not necessarily take care of everything in detail. I think it's important. In terms of price and rent, i.e. the level of rent, it is clear that the competitive element is important – i.e. offer/demand. It's quite elementary. Today in the big cities we have the situation that there are too few homes and too many people who want to rent homes, and then get a price squeeze. Thus one comes to the conclusion that of course we need to build more dwellings. As we have discussed earlier today: If we can increase the rate of student housing construction, it will help relieve the overall pressure on the housing market, for example. in Oslo and other major cities. So here's a challenge that embraces the entire Norwegian housing and housing policy. Here's a challenge to meet. To achieve a market balance. And then it's going to work with free pricing in an excellent way. For that matter of resident representation: it's completely unclear, for me at least, how this should be arranged. I believe that the trust between the individual tenant and the lessor is more important than a kind of threatening housing organisation, which is going to demand power and influence over the owner's right of disposal and the use of own property. Such a body is not prohibited. It could be created on a voluntary basis; it does not have to be enshrined in a separate law. I believe that such a body is completely superfluous, and that the conditions which must be dealt with in such a body can be resolved informally.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e363	The housing policy of the Progress Party is like the policy in most other areas, they swear that it is a free market to apply. And on the free market, the strongest right, we know – especially when the imbalance between supply and demand is high. The rental market in the case of housing is not special, says the representative of the Progress Party. Yes, it is. The housing market is special, because the housing market is about a very basic need for people. We're not talking about a car or a milk carton or a bread. That's not what we're talking about right now, we're talking about the very basic need that everyone has: the ability to live. If we are to ensure that everyone has a place to live – that it is not the strongest right that should apply – we actually have to take responsibility for it as politicians, and make some driving rules that protect the weakest party. And then we're probably going to have to contribute money, because those who don't have purchasing power in the market will never be able to be met by a private offer. In that case, that would also be unreasonable. I wonder if the representative of the Progress Party has not listened to the head of Husleienemnda in Oslo, Eivind Eckbo of the Progress Party, who just describes how this housing market works, and who says that there are people who do not have any folk or stomach problems at all, or take any consideration of those to whom they are going to rent out. So this free market will gain more power. How, in fact, does the Progress Party believe that people who have poor advice – and no greater problems than bad advice – should be able to solve their housing problems?
