ParlaMint-NO_1999-02-23-lower.ana.ud266e25	Councillor Peter Angelsen exceeded 1 kg. proposition [[see Unit]]
ParlaMint-NO_1999-02-23-lower.ana.ud266e223	The articles of the Council of State require clarification. The Council of State presented the Government's proposals in respect of the exemption rule in Section 6 of the Act of Participation and indicated that, in accordance with the provisions of the Department, there would also be an opening to grant exemptions for other parts of the sea fishing fleet, in so far as there are no active fishermen in the area in question. The Committee did not vote in favour of this restriction. The Committee has demonstrated for several purposes that it considers that the issue of a derogation needs to be assessed in relation to it and that these are the objectives to be considered when the issue of a derogation is relevant. In my speech in a debate in Stortinget earlier today, I found reason to stress that the Committee has not agreed that there is a premise that there are no active fishermen. On the contrary, it is important for the Workers' Party to stress that the objectives of the exemption have been clarified. The request for dispensation must then be assessed in relation to these purposes. It will therefore be a general derogation where each application has to be assessed. So the Council of State has got a slightly wider access than what he initially founded. I assume that this clarification, in line with the setting that exists, will also be taken into account by the Council of State, and that the statements of the Council of State were merely an explanation of the initial proposition. I assume, of course, that the Council of State will take note of the clarification made by the Committee here, which thus provides a more open basis. It will continue to be up to the Council of State to assess each individual application. So that's how the committee's attitude must be understood. A general dispensation does not depend on the absence of active fishermen, but each application has to be assessed for different purposes mentioned in the submission. I would think that it was useful for all parties that the Council of State specified that he would follow this understanding, even though he naturally pointed out in his statement what was the proposition's premise when the proposition was made.
ParlaMint-NO_1999-02-23-lower.ana.ud266e238	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-02-23-lower.ana.ud266e241	I noticed the posts that the representative Schjøtt-Pedersen had in connection with the processing of the message. Now we're dealing with the bill proposition. What I've referred to in my post is reflected in the bill, and I can't tell from the wording that the committee disagrees with what it says. I take note, of course, of the views expressed by the Labour Party in this area, but it assumes that the department has the freedom of action granted by the proposal and the suspension in order to assess the waiver applications available. What is the starting point is that we have a formulation in the talk in the proposition that there is a derogation when there are no buyers qualified under the law. The reason for that is to keep the allowances in the region, not to experience what has happened before, is that the allowances are, for example, sold out of Finnmark. Finnmark is the county that has suffered the most damage in that area. This has led us to grant a derogation, at least in one case, to a small trawler to preserve the rights in East Finland. I hope that the representative Schjøtt-Pedersen can agree to such a policy when there is strict regulation in this area. Let me just say right away as regards stability for the fishing industry: apart from those factory ships which have the concession and the right to produce on board, and some autoline vessels which have a certain processing of the catch on board, perhaps represent onboard production in cod fisheries. 15 pst. by Norwegian quotas. The rest, 85 pst., are the fishermen and those who own the fishing vessels obliged to land as raw material, and it will be available to a total Norwegian fishing industry. If this means that during periods of the year there are fish industry holdings that do not receive enough raw material, it is because there is too little fishing capacity to land in that part of the year. However, those problems actually only reveal the seasonal fluctuations in fisheries, which will not be possible in the context of regulation. And such a situation, that there will be seasonal variations in the fisheries, we will always have. But if some industrial enterprises with capital were to have the right to buy up a fishing vessel the size of which would be covered 100 pst. All year round, there are other industrial companies that would be more vulnerable, and I'm not sure it's the right way to go. I believe that the cooperation and regulatory arrangements you have must ensure that all operators in the fishing industry are equal and equal. I think that's the right way to go, and it's a continuation of the policy that's been taking place in Norway for many years.
ParlaMint-NO_1999-02-23-lower.ana.ud266e250	State Council posts require one to ask for clarification. It is not quite the case that the law is identical to the law in this area, but if it is the case that the Council of State must have its view clearer than what has emerged in the big debate today and in the debate now in Odelstinget, the Council of State should know that the Right Party and the Advance Party are more liberal in this field than the Labour Party. If the Council of State can't now confirm that it will follow the intentions set in the Storing Message when applying for a dispensation, i.e. that it is not decisive whether there is an active fish or one, to grant a dispensation, then we will take the matter back to Odelstinget.
ParlaMint-NO_1999-02-23-lower.ana.ud266e255	I noticed the threat, at least in the body language, but also in some of the words that were uttered by the representative Opseth. Let me just remind the representative Opseth that the government is governed by the law. In the case of an application for exemption in the case of a change of ownership of a fishing vessel, if there is a purchaser qualified under the law, it will never become a matter for the ministry if he is able to purchase the vessel. There is a permit given by the directorate in Bergen, and it is stated by the law that this is the case. However, in the case of applications for a derogation, for a licence to acquire and transfer concessions to the ministry, the situation is not such. It is then necessary to decide whether to grant a derogation and, if so, for what reason. Therefore, we have said that when there is a situation where there are no buyers, you have to go further in the exemption. It is liberalisation in relation to previous practices, so we have already introduced a more liberal practice. But the department can't deal with a matter that doesn't come to the department. That's what I expect the representative Opseth to realize.
ParlaMint-NO_1999-02-23-lower.ana.ud266e264	If the debate continues, the President will threaten the evening meeting.
ParlaMint-NO_1999-02-23-lower.ana.ud266e267	I think we should come to a clarification relatively soon. Of course, the department has to deal with the law. However, the Act states that the Ministry may, in specific cases, when it is justified by economic and regional considerations, by individual decisions, derogate from the requirement in the first and second subparagraphs of previous activity in fishing or fishing. It is not the case, therefore, that it follows from the legal text – neither in the proposition nor in the setting set here – that the exemption cannot be granted if the active fisherman has applied for. So the council says that if the active fisherman seeks, he will automatically get it. That's not what the Workers' Party's clarification is about. The clarification of the working party is that there should be a full opportunity for the Ministry to grant a derogation to another applicant, even if in the present case it is not a fresh fish trawler, and even if there are applicants who are active fishermen. In other words, the purpose for which the exemption application is to be assessed has been clarified. It gives the ministry room to evaluate. For its part in today’s debate, the Labour Party has made it clear that the delimitation initially adopted by the Ministry — which means that, in the absence of fresh fish trawlers, the derogation shall only be granted in the absence of active fishes — that delimitation does not have Odelsting as its starting point. This means that the Council of State has more powers than he has asked for. And it would be useful for all of us if the Council of State would acknowledge that he would base upon the understanding that the Workers' Party has clarified, by the representative Opseth and myself in this debate, and not least by myself in the debate in the Stortinget earlier today. There's no question of approval for active fishermen that's the theme, so in so far as it's a misunderstanding between the Council of State and the Workers' Party, we're going to write it on the cover of misunderstandings. It is essential that the Council of State recognizes that it does not have a delimitation as regards the possibility of granting exemptions for vessels other than the freshwater trawls if it is an active fisherman who had notified his interest. As is well known, more people are given the right to acquire and have the opportunity to purchase such vessels.
ParlaMint-NO_1999-02-23-lower.ana.ud266e280	It's possible that we're talking past each other, and I'm going to try to explain it differently from what it says in the proposition: The starting point is that if an active fisherman qualified under the law seeks to obtain a licence and transfer concessions when buying a fishing vessel and is able to finance it, and the seller wants to sell it to him, this is not a matter for the ministry. There will be a case for the ministry if there are no active fishermen who are applying, while others who are not qualified apply, or an active fisherman who is applying are unable to buy the boat, to finance it. That's what the wording is all about. Then the law is clear, then the department can grant exemptions to others. And we've actually done the same thing that the representative Schjøtt-Pedersen explained in his post during the processing of the message in Stortinget, so here we're talking a little bit past each other, so to put it that way. I guess that's what this is about. But let me just refer from Innst. S. No 93 for 1998-99. Of course, we have to deal with the majority in the committee in the vote that today's dispensation practices have to be continued. We have actually continued the dispensation practices that have been in the past, and clarified it in the lecture in the law that is being dealt with today, that when it comes into force, we must grant dispensation and the reasons that we have had for it. And I'm counting on, as it's given expression for, among other things. by the representative of Schjøtt-Pedersen, that there is really agreement between the ministry and him, although it is expressed in a slightly different way.
ParlaMint-NO_1999-02-23-lower.ana.ud266e289	The scheduled time for this morning’s meeting is now at hand. If the debate is to continue, the President will almost dare to propose that the meeting be cancelled, but he will not. On the other hand, he trusts that this debate will now have to come to a conclusion. The President, based on the presentation of the debate, will ask for a brief answer.
ParlaMint-NO_1999-02-23-lower.ana.ud266e294	I agree that we should come to a clarification on this issue, and let me try. It is quite obvious that if there is an active fish searching, the directorate must say yes to the law. However, if there are also fishing industry companies seeking and anchoring, the Council of State has now been given an extended framework for granting exemptions. That's what the discussion is about. If we're not sure about that, we have a problem. On the other hand, if we are some people about it, this is a debate that is a misunderstanding If the Council of State agrees with what I have now outlined, he can only nod, then we will not have more debate.
ParlaMint-NO_1999-02-23-lower.ana.ud266e303	: Just two words.
ParlaMint-NO_1999-02-23-lower.ana.ud266e311	The president had hoped for a nod, but it did not come. Mr Schjøtt-Pedersen has asked for the floor.
ParlaMint-NO_1999-02-23-lower.ana.ud266e316	I'm not going anywhere.
ParlaMint-NO_1999-02-23-lower.ana.ud266e323	As regards the exemption, I fully agree with what Opseth said in his last post. I figured we've had that dispensation access all along, and we've actually been practicing it. What we want to clarify is that a ship can be sold without the ministry getting to know it, and we can't do anything about it. That's the law.
ParlaMint-NO_1999-02-23-lower.ana.ud266e330	Several have not asked for the floor on case No. 1st@item: inlistbox [[Votation, see below]]
ParlaMint-NO_1999-02-23-lower.ana.ud266e338	Odelstinget then goes to voting.
ParlaMint-NO_1999-02-23-lower.ana.ud266e344	Two proposals have been put forward during the debate. That is proposal No. 1, by Terje Knudsen, on behalf of the Party of Advancement and the Right, and there is proposal No. 2, from Terje Knudsen on behalf of the Progress Party. Proposal No. 1, from the Party of Advancement and the Right, says: ‘The ruling asks the Government to assess the consequences of removing the activity requirement of the Participant Act. [[§ 6]] The government is asking the government to provide such an impact assessment to the Storting in an appropriate manner. ‘... Proposal No. 2, from the Progress Party, says: ‘The Government asks the Government to present a separate case to the Stortinget with a view to terminating the Participant Act. ‘... Both proposals will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-02-23-lower.ana.ud266e440	The Progress Party and the Right have announced that they will vote against the first paragraph. So we're going to vote first over the first term.
ParlaMint-NO_1999-02-23-lower.ana.ud266e451	It is then voted on Section 6, second, third and fourth paragraphs.
ParlaMint-NO_1999-02-23-lower.ana.ud266e787	It is then voted over the title of the law and the law in its entirety.
ParlaMint-NO_1999-02-23-lower.ana.ud266e794	The Law Decision will be sent to the Lamentation.
