ParlaMint-NO_1999-03-11-lower.ana.ud381e37	Representative John I. Alvheim will present a private bill.
ParlaMint-NO_1999-03-11-lower.ana.ud381e239	The left joins the changing majority in this case with one exception. I would like to comment briefly on some of the points in the setting. The left is pleased that both the ministry and a unanimous committee refuse to introduce rules of professional secrecy for elected representatives, stressing the need for transparency and respect for democratic principles in this context. The Administrative Act takes account of the need to preserve confidentiality in the interests of human resources, privacy and critical private interests. The Left agrees that a review of the Administrative Act is being carried out and that professional secrecy in relation to the protection of heavy public interests is being assessed in this context. The left shall join the majority of the Committee in respect of the changes made to gender equality requirements. The Progress Party again demonstrates a lack of understanding of gender equality and the measures that have made us in Norway so far, despite all that we have in this area. In the setting, the lot says: ‘Requirements for gender representation basically mean that skill and fitness for a position must give way to sex. ‘... This reveals that the party has not fully understood the basic point: knowledge and suitability are equally shared between the sexes, but men and women represent different experiences, which must be part of the policy. Without awareness of it and without understanding of the mechanisms behind centuries of gender discrimination, gender equality is not achieved. The left is sceptical about the requirements for continuous representation and about the committee model as a municipal organisational reform. This has helped to restrict local democracy and to bring together power and influence on fewer hands. Many people with commitment and a desire to participate are left out, because their desire for action in a limited area and with limited time use has not been met, as many municipalities have organized themselves. We welcome the Committee's emphasis on the fact that no batch can be forced to implement requirements for comprehensive representation even if a majority adopts such a principle. The left subscribes to the minority's view of changing the requirement of a 2/3 majority vote for the introduction of parliamentaryism. The extent to which a drastic change in the form of the administration of a municipality or county municipality should be based on a broad consensus. The majority, the Labour Party, the Right and the Advance Party point out that a minority cannot stop a majority. Well, there is such a reason to believe that a scarce majority should not be able to put aside the interests of a minority in such a case, where the working conditions of the elected people are substantially changed, not least by the minority. Norwegian municipalities do not have two sets of administrations. It must be a precondition for a parliamentary form of government that the opposition also has access to a good administrative apparatus. In my opinion, parliamentarism in small municipalities can lead to increased bureaucracy and the misuse of resources in relation to other important services to be provided by the municipality. The Presidency principle is well-tested and represents a fundamental good form of democracy. It gives all elected representatives the opportunity to influence policy through arguments and constructive participation. In the local everyday life, this principle gives high legitimacy to political decisions, and is better than creating artificial bilaterals in local policy between a parliamentary majority and a minority. This does not mean that the Left is in principle opposed to parliamentaryism in some large municipalities and county municipalities, but so drastic changes in the form of government should not, in our view, be adopted by a narrow majority. We will therefore vote against the amendment of the law on this point, but we will otherwise join the majority vote.
ParlaMint-NO_1999-03-11-lower.ana.ud381e261	I'm very pleased with Innst. O. No 47, and will praise the Municipal Committee for a forward-looking work. However, when I ask for the floor, it is to comment and to the extent debate a municipal parliamentary system. I believe that a parliamentary system is very correct. It is a necessity to vitalize the rule of the people in the state and in the larger municipalities. For what is happening in the political systems at municipal and county level? The elected representatives feel that they do not have real political power, but are governed by directives and circulars – and not least by a comprehensive and highly educated and competent administration. The question arises as to whether the elected representatives have been overrun, and have not had time or legislation that has allowed them to take control back. In the Presidency system, it is the administration that promotes matters, with an attitude. In the parliamentary system, it is a political position in which the political parties that support the Council must express their political position. A sheep kind of hung the bell on the cat. One hears where the cat is. In the presidency system, the cat sits around without telling us where it is or what it wants. I understand that the smaller parties are not fighting for the introduction of a parliamentary system. The possibility of political horse trafficking is diminishing, and the possibility of always taking a populist position is decreasing. In a parliamentary system, the position and opposition are clarified, and everyone has to take responsibility and choose side. It is illogical when the Government believes that 2/3 majority is to be required to introduce a parliamentary form of governance and a simple majority to return to the Presidency system. One can, by a simple majority, actually lay down the entire municipality or join the municipality with another municipality. Isn't it more dramatic than introducing parliamentaryism? I believe that what is important is that you have confidence in the local People's Government and that every municipality has to choose the form of governance that suits it. In East Agder, the county council has had a difficult investigation of a parliamentary system. There's now a round in the political parties – I don't know the details, but I think it's already on its way to treatment in the system. In Arendal, the City Council has already decided to empower the new City Council to set up a parliamentary system. I believe that with the changes in the law that Odelstinget is now being invited to adopt, many states and municipalities will discover that the law gives them the possibility of political governance in a much better way.
ParlaMint-NO_1999-03-11-lower.ana.ud381e277	I just want to make a brief comment on the changes in the municipal law that go on with gender representation. Gender equality can be fought in many arenas — one of the arenas is the political arena — through the devices of the law. But in principle I would say that there are those, for example. a woman, only by virtue of her sex, shall take precedence over political positions, while others, such as: a man shall experience his gender as being discriminated against in terms of his ability to conduct policies is a remarkable thing. It is not very democratic either. It is well that there is only a small click with women women who believe that women's desire to participate in the policy is increasing if they can force themselves to positions on the basis of these sex quota rules. In my view, such rules also give women a kind of psychological disability, where they feel inferior and have to have some kind of artificial breathing equipment in order to be able to conduct politics. Does anyone really think this increases women's interest in politics? Some people's uninhibited desire to and eager to fight for equality in all possible areas of life is almost beyond limits, and in particular, the gender equality struggle in politics, a major issue for a great many, looks like it. But many women have gradually become afraid to stand on the electoral lists, as some do not want to be pushed to a perhaps prominent political position against their own will, or when it happens alone, on the basis of the law, which imposes strict demands on gender representation. You can ask questions about what is in the changes we are dealing with, about whether it is right to go down on the lists, as Section 16 of the law says, and get women to meet the requirements of gender representation in the law, if it is such that the woman herself does not want this in any way. Such a kind of sex quota will force the woman into a position she may not want, and with such prospects, many women will reserve themselves against participating in the policy and, if necessary, still on electoral lists. Then I'd like to say a few words about Innst. O. No 44, on the preparation of the local delegation regulations. This case concerns the cases where the local government or county council has delegated the power of decision to the permanent committees. In such cases, no Presidency or County Committee shall be able to intervene and reverse a decision taken in a fixed sample, even if the Presidency or County Committee disagree with this Decision. The Committee agrees with the rapporteurs on almost all points and supports the points raised. The Committee agrees that § 10 paragraph of the Municipal Act. 2 needs to be made clearer, as the proposers point out, and it becomes quite clear that it is the municipal board that is the only overall body for the fixed sample sizes, and not the county committee or Presidency. It is regrettable that the Committee does not see the practicality of making this amendment as proposed here, but rather believes that the Ministry should, on an appropriate occasion, send an information letter to the municipalities and state that the legal text in Section 10 paragraph. 2 in the municipal law is being practised exactly as the proposers' intention has been. I believe that the clarification and clarification on which the Committee agrees with the proposers should be made clear in the law itself, and not only be the subject of a circular from the ministry. Such circulars also tend to be forgotten as quickly as they are read. That we have clear and understandable laws is important, and it is therefore strange that when there is a proposal to make a law clearer and clearer, in order to bring forward the intentions of the law in an easily understandable way, the majority of the committee says no – they are not actually concerned about this. We're just going to take note of that, and we're going to have to put our trust in the fact that this circular, when it has to be sent around, is read in the municipalities. But circulars are not the same as a legislative change, and the Committee should be more concerned about helping to create a precise and clear law when the occasion arises. It is all right that the majority of the Committee supports the content and intentions of this proposal, but it is all the more strange that not the same majority wants to get this consensus into a clear legislative text, which, after all, would be the best solution.
ParlaMint-NO_1999-03-11-lower.ana.ud381e294	It's going to be line change.
ParlaMint-NO_1999-03-11-lower.ana.ud381e297	The entry to Andersen's representative made me ask for the word in reply, because it's one of the greatest shows of historylessness and lack of respect for one half of the population that's been a long time since I've heard, even though I've heard the tendencies of many from that party. I think the post was revealing. I think it reveals that the Progress Party has no respect for women at all, at all, does not take seriously the competence that women hold, and it was a long defense for why he does not want women with it. I think that the representation of women in the Group by the Progress Party illustrates the view of the Progress Party on Women and Gender Equality in general. I would like to say that gender quotas have actually been one of the most important means of getting women into politics in most parties. I'm going to say that has led us to a better policy, and we've also got a better society, because I think, unlike the Progress Party, that the sense is fairly evenly distributed between women and men. Therefore, at least the Labour Party sees the value of both women and men being involved in political work. I want to ask the Progress Party and Andersen: why is the Progress Party so afraid of getting women's skills and women's knowledge into politics? Why are they so afraid to make things easier for them to happen, and not just for men with special opinions to determine the whole evolution?
ParlaMint-NO_1999-03-11-lower.ana.ud381e306	To what Sylvia Brustad brought here, I would say it's very incorrect the way she makes it. When it comes to respect for women in our party, it's absolutely high-ranking. We want women to be involved in politics, but that does not mean that they must be allocated to political spheres. We want equality between men and women on a natural basis, without special laws and special provisions for any gender. I actually think it is that many women themselves do not share the views expressed here by the representative Sylvia Brustad. I actually think that they want to be equal to the man in all areas of life, including politics. You can actually get a feeling of inferiority vis-à-vis the other sex if you have to resort to the law to manage to get there. So, in my view, quotaing that is gender-related is clearly unlucky. As I said, I think, in fact, yes, I would say that a majority of Norwegian women are so confident and themselves so conscious that they want to avoid these special provisions that are going to transfer women into politics. I just don't think democracy and politics are worth it. I think man and woman must remain silent. Regardless of the areas in which they are concerned, they should act as closely as possible. I just have to say that we are fundamentally disagreeable. I have nothing else to say besides that. We're going to have a lot of fight for the points of view that we had to have on that occasion.
ParlaMint-NO_1999-03-11-lower.ana.ud381e318	I asked for a line because I got a little confused. The representative, Lodve Solholm, said that he and the Progress Party agreed, but that there was a factual disagreement about the funds. When the representative Torbjørn Andersen spoke, he spoke about artificial breathing and discrimination against men. Is this the vision of the Progress Party or the representative of Torbjørn Andersen? As I see it, men need women's competence. Men need women's experience, and men need women's participation. That's why it's necessary for men with allowances, so that we don't, with our usual greed, demand all the places for ourselves. We need quota to avoid being overrepresented. This would be unfortunate for local democracy.
ParlaMint-NO_1999-03-11-lower.ana.ud381e323	It's obvious that gender equality gives rise to a broad commitment. As I said in my previous answer, I think it is important that a participant on equal premises, that regardless of gender – whether male or female – we should relate to the same legislation, the same laws, and not have special advantages laid down in a law. That's what's my message in this context. I remember that there were some unfortunate results after the previous municipal and county elections, at least when it came to the county elections, where some men who had been asked for positions and positions were demolished because of this with gender quota. And many of them – including workers’ parties – regretted this law. So there are many in most of the batches that have concerns about the rules that now apply to sex quota.
ParlaMint-NO_1999-03-11-lower.ana.ud381e330	The representative Torbjørn Andersen represents a vision that is probably very special. I hope that it is also especially within his own party. I'm almost counting on it. When society tried to create a system where the experience of women, the history of women, the knowledge of women and the tradition of women were to contribute to social development, there was no idea. Now, if you're going to start to reverse this and actually end up in a situation where you give up this knowledge and this competence, I have to say that it's so original and so little thought that it's almost strange that it's being presented from this pulpit.
ParlaMint-NO_1999-03-11-lower.ana.ud381e337	I have to say I have little sense for the last line. My vision is nothing special. I actually think my view is shared by a majority of the women in this country. I actually think I have a cover to say that. To the extent that social development depends on the existence of gender-to-sex quota rules, I would like to ask: Where does the representative have this remarkable view? I must say that I fundamentally disagree with the views expressed in this chair. I stand by what I have said earlier in this debate, that gender equality must be formed as a natural interaction in society between men and women, and not as a result of a law that I deeply disagree with.
ParlaMint-NO_1999-03-11-lower.ana.ud381e344	Several have not asked for the word for a line.
ParlaMint-NO_1999-03-11-lower.ana.ud381e347	Let me start by saying that this replication caused me to feel put about 30 years back in time. Many of the views that have emerged here were fairly widespread at the time, and I do not overlook the fact that some of the points of view that have emerged now also historically will prove to be as polite to read as the debate that Stortinget took on whether women should be given voting rights in Norway, where men – that is, only that at the time in the Grand Duchy – stood out in a row and said that women themselves did not want to vote. But then back to the matter we're going to discuss. Municipalities and counties are living organisms and organisations. It is not surprising, therefore, that a new set of instruments such as the municipal law we now have needs to be regulated – or voted, in order to use a nice word – once in a while. The first round of adjustments to the Municipal Law of 1992 was adopted in 1997. This time I come to the Stortinget with proposals for amendments on three points: the rules on leave, the rules on equality – which have given special attention – and the rules governing municipal parliamentarianism. Let me first say a little bit about the permit rules. I am pleased that the Committee is in favour of adopting the proposal to extend the right of the elected representatives to leave from their general work of caring for the position of the People's Party. We hope that this can help improve the recruitment of this type of job. So little about the parliamentary rules. The proposal includes an overall review of the rules on parliamentary governance. There are many elements of this form of governance that cannot be governed by the application of legal rules – the political dynamics between the Council and the local government/communities cannot or should not be governed by a law. However, it is important to have the most clear and consensual rules for, among other things. changing the form of control and changing from one advice to another. This was the main point of view of the proposals. I note that the majority of the committee is somewhat more impatient than the government in terms of fully aligning parliamentary governance with the Presidency model. I am thinking, then, of the majority proposal that only ordinary majority voting should be required, even in the case of the introduction of parliamentary rule. I see clearly the points raised by the majority of the committees, but I sincerely believe that it would be of great importance for a municipality that chooses to move to parliamentary governance, that there is a broadest possible majority for it. But, of course, I take note of what the majority is now in favour of. So a little bit about the equality rules. I am pleased that the majority of the Committee supports the Ministry's proposals for changes to the equality rules. The fact that both municipalities and county municipalities have considerable creative resources is hardly anything new. But they were going to find so many ways around the equality provisions in the municipal law, was more than I had been prepared for. The result is, of course, a hollowing out of the intentions behind the equality rules. Therefore, in the proposition some proposals have been made that are intended to seal these holes. Firstly, it is proposed to introduce a change in the rules which may strengthen the right to decide that the election of members of municipal bodies should be based on a comprehensive representation. If there is an overweight of men in the local government — that is, unfortunately, what is still the most common — the horizontal representation could result in the imbalance being transferred to all other political bodies in the municipality. Unless legal representation is provided for, the proposal provides only for the practice of complying with the rules on gender balance. The proposal also proposes that all municipal bodies be treated in the same way as equality rules. There are also proposals to regulate who should be entitled to submit lists. The aim is that political groupings should not split up in order to deliver more lists and thus circumvent equality rules. In the case of supplementary elections to elected bodies during the period, the possibility of improving the gender balance shall be used. Optional questions are complicated, but I'm going to make a little effort to clarify them. Elections to municipal samples take place either by majority or proportional elections. Multiple choices require unanimous decisions on the local council. In majority voting, you vote for candidates, not on lists. The candidates who receive the most votes are elected. If not both sexes are represented by at least 40 pst, the under-represented sex – and in some cases it may also be men – should move up until balance is reached. The result of this procedure is that there will be an even distribution and balance of the body selected. The problem is that majority voting cannot guarantee proportionate representation between the parties. The party that has most representatives in the local government will easily take all the places in the selection. Proportionate representation is an important and incorporated democratic principle underpinning our entire political system. It's not that it's just the largest parties that have to say anything. Therefore, according to the municipal law, no more than one representative of the local council is required to choose ratios. In the case of proportional selection, the places are allocated to the different groupings according to a separate distribution key. The choice is made by each grouping presenting its own list proposals. The municipal law has rules that it should be at least 40 pst. representation of each sex on the list proposals. After calculating the number of places to be included in a list, places shall be distributed as widely as possible between male and female candidates on the list. Where appropriate, candidates are brought up in the individual list. Representation by at least 40 pst. by both women and men, if there are two, four or more places to be distributed. But if the list only gets one place, it has to be 100 pst. of one sex. If the list gets three places, the percentage distribution can never be evener than 33.3 and 66.6 pst. There will be an inevitable imbalance that will reproduce further to the sample. I just think that we have to realize that the principle of equal representation is not entirely consistent with the principle of proportional representation. I am, for my part, of the opinion that the principle of proportionality should weigh more heavily. Let me also comment on what several representatives have had to say, namely the gender equality rules and intercommunal companies. Let me make it clear that when the municipalities make elections to the intercommunal authorities under Section 27 of the municipal law, the same rules apply as when they choose bodies within the municipality. An inevitable imbalance in each municipality will continue to flourish to the intercommunal government. The Storting has recently passed a law on intercommunal companies. Such companies must be segregated from intercommunal governments established under the Local Government Act § 27. Governments established under the municipal law are, of course, governed by the municipal law. An intercommunal company established under the law on intercommunal companies is a separate company form and regulated by this law – not the municipal law. Otherwise, I have noticed that the majority's concern that elected representatives of municipalities who practise comprehensive representation are subject to a heavy workload. I share this concern. I want the attention directed towards it in the future. In my opinion, however, it should have to be found to have very negative consequences before I want to initiate a restriction in the form of legislation on the ability of municipalities to use a comprehensive representation. The principle of local freedom of organisation is one of the foundations of the municipal law. Moreover, as the majority points out, the individual parties are not bound by the majority’s wish for such an organisation. Let me also make some comments on Document No. The 8th motion by the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, I have noticed that the majority of the committee wants to reject the proposal. I think that's wise. I do not believe that we have served to supplement the municipal law with explanatory supplements, when the legal text is already clear and comprehensive. I am afraid that such a lawmaking technique will create confusion rather than clarify what is in force. There may be a need to make the municipalities better aware of the current situation in this area. When Stortinget has treated Ot.prp. No 20 with proposals for amendments to the municipal law, the department will inform about the legislative changes in a circular. Here, too, the issues underlying Document No will be addressed. The 8th proposal. The relationship between the Presidency and other fixed selections is likely to change in many municipalities. Increasingly, the right to stand before the local government is added to bodies other than the Presidency. A development in such a direction may help to revitalise the work of other samples and make the function of the sample more equivalent to that of the Presidency. Opinions that the Presidency is self-written as a committee of the local government are probably about to be abandoned in many places. Some municipalities also choose to maintain a traditional model with the Presidency as the sole instigating body of the local government. I see no need to seek to influence the development in one direction or another. In line with the principles set out in the Local Government Act, each municipality must itself identify the form of organisation it sees best served. In this context, in my view, it would be a wrong signal to seek to regulate these mechanisms more closely in the municipal law. Finally, let me make it clear that I will of course follow up the law in line with what I have outlined in the letter sent to the committee. It was specifically requested, I think, by the rapporteur on the matter. I would like to take this opportunity to thank the rapporteur for his good work.
ParlaMint-NO_1999-03-11-lower.ana.ud381e413	It's going to be line change.
ParlaMint-NO_1999-03-11-lower.ana.ud381e416	I believe that the Council of State and the Labour Party are equally concerned that we should have a good local democracy. And I believe that the Council of State and the Workers' Party agree that government control and control of the municipalities should be reduced. In any case, the Council of State has expressed it many times, not least in the last one and a half years she has been a municipal minister. And the 148 rapporteurs of the Central Party are very concerned about local self-government and that they can decide as much as possible. We know that there are problems with electoral participation. The Council of State is also concerned about this, and many proposals have been made which may lead to an improvement in electoral participation. However, on one point – the introduction of parliamentaryism, and the requirement of a simple majority – the Council of State does not agree that there is one way to get more people to go to the polls. Is it not the case that it is important to make the political decisions responsible, and that voters often have great difficulty in knowing who is responsible and who makes both the good and the bad decisions? Does not the Council of State think that the introduction of parliamentaryism can stimulate the electoral interest? We know that political processes are becoming more and more complicated, and that it can be difficult to have a clear overview. If we get to a city government or a county government that is responsible for what is being done, with an opposition that can help place responsibility, doesn't the council believe that there will be a significant change in getting up the election?
ParlaMint-NO_1999-03-11-lower.ana.ud381e421	I'm busy with local self-government. I am also concerned that we should give municipalities and county municipalities such freedom of action that it feels both interesting and meaningful to spend time on this work. I think that's a prerequisite for us to be able to recruit engaged and skilled politicians to both municipalities and county councils in the future. But I'm in doubt that by introducing parliamentaryism, saying with a pen stroke, we will solve all the problems. Actually, I don't think it's that simple. I think it's right, as Signe Eye says, that very many common voters who are not particularly concerned with politics, often are not aware of who is in the local government or county council. However, if these politicians become more clear in the media by introducing parliamentaryism, I am somewhat uncertain about it. I believe that it will be the leader, whether it is the county rapporteur in the traditional role and model – or the rapporteur for that part – or whether it is the mayor or the rapporteur, in the system we have in Oslo. So I am not as convinced as Signe Eye is, clearly, that by introducing parliamentaryism we will increase the interest in municipal work and municipal government. I think it has more to say that from the collapse and government, we end up with much of the detailed regulation we are dealing with, no matter what form of government – parliamentary or other – the municipalities have.
ParlaMint-NO_1999-03-11-lower.ana.ud381e428	No more words have been asked for.
ParlaMint-NO_1999-03-11-lower.ana.ud381e431	The representative, Gunnar Halvor, from the Workers' Party, has, in my opinion, made a very good contribution to parliamentaryism, but he left the impression that small parties – and unfortunately no large party – are against parliamentaryism. That's not right. We want to keep the implementing rules as they are now, and I have argued for that. I believe that the possibility of increasing political governance in municipalities and county municipalities is greater in parliamentaryism. I think that in the long term, politicians in the municipality in position or opposition will be able to become clearer in such a system, but not exactly when you're going to introduce it – right in the phase when you're going to decide whether to have it or not, it won't contribute to it. But one problem has not been mentioned today. What is different in the municipal sector than in the Storting and the system at national level is that local government has significantly less means of overcoming sea pollution than is the case, for example. has in Stortinget. There's more to it than that. The municipalities are run a lot, and the county councils are, in my opinion, very overrun and have few options for seafaring to choose so much. It is a problem, because if one is to say in a way that people are going to see who is responsible for how things stand in this municipality, and then one-sidedly pointing at the Council or the rapporteur, it is, in my view, wrong, because there are so many assumptions made by others, and especially by the Stortinget. We also know, we who sit here, that there are some people who also put some leads for us that sometimes make our gambling space more limited than we want, and that makes it impossible for us to take a hundred percent responsibility for absolutely everything that happens, because we simply don't have the means and the ability to control everything that happens. So I'm a little afraid that you're going to make this a debate that it's just the local government or just those in the county who are responsible for everything that's going on. It's not like that. So I'm just going to say a few words to the Progress Party, which has been up again and talked about equality. Clearly, it is not on their hearts at all. The representative Torbjørn Andersen is talking about a natural interaction between the sexes, which is supposed to make gender equality possible. Then you just have to look at the story, look at all the countries around the world, and see if in any country that has let the natural interaction that I then understand is going to unfold is such that it has contributed to women having a legitimate share of representation, power and influence. The answer is unequivocally no – it has not happened. Then there's only one question left: Does the Progress Party think it's okay? Is it the way they write in their comments, that they believe that those women who do not get into this competition, who are so different and so uneven, are actually not suitable or of the qualities to which they are going? It seems that the Progress Party is trying to produce it as if it's a bit fluttered with quotaing. I might agree that it might be a little awkward -- it must be embarrassing for a society that you can't sort this out another way. But we really have not made that clear! So this is a way to make everyone look the same. That's what this is about. This is one of many instruments that must be used to keep the same, because as it is now, the women do not actually let go of it, because, as the representative Torbjørn Andersen said, there are some men who feel they have passed by and think this is too bad, so we can't have it that way. I could therefore imagine addressing a specific question to the Progress Party: do they think that when women are not represented in important positions, that's the way society is and has been organized, because they simply don't possess the qualities needed to hold them? If the Progress Party does not mean it, will something be done with it at all? Or are you going to keep using the same methods, which have always shown that women do not get the influence that they have in their number, their wits and their senses, and that the whole society will benefit from?
ParlaMint-NO_1999-03-11-lower.ana.ud381e445	No more people have asked for the floor to speak on the matter. 1 and 2. [[Votation, see pages 373 and 377]]
ParlaMint-NO_1999-03-11-lower.ana.ud381e459	I only want to show the configuration from the committee, where there is a minority supporting Document No. The 8th proposal. There are two errors that need to be corrected. On page 1, the first paragraph to be referred to is not 69, but 60. The same applies to page 2. The first paragraph shown in the second column should also be 60, not 69, as it says. The majority believe that the new municipal law provided for a management audit that requires a high level of knowledge of local administration, and concluded that the municipal audit should be a secretary of the control selection. We have also reduced the audit district from 208 in 1991 to 85 in 1998. These are so many changes that the majority in the committee think this should work over time before any adjustments – adjustments that it might be appropriate to make. I would also like to point out, as stated in the setting, that the NIBR and the Municipal Auditor's Association have regular assessments of the scheme, so that we may be able to provide a review of the municipal audit system later.
ParlaMint-NO_1999-03-11-lower.ana.ud381e472	The representative Olaf Gedrem has informed about the corrections made to pages 1 and 2.
ParlaMint-NO_1999-03-11-lower.ana.ud381e475	In this case, the right has promoted a proposal for greater freedom for municipalities to choose audit, including private ones. The proposal is a natural follow-up of the Right's desire to give municipalities greater autonomy. Today's municipal law § 60 nr. 3 indicates that audits are to be carried out by the municipal or county audit itself. The right, together with the Progress Party, opens in the setting to allow for the purchase of private audit services. The right hand party and the Progress Party refer to the competence of the municipalities themselves and should be given the opportunity to choose audit solutions, as long as the legislation on municipal audit and the requirements on audit professional competence are followed. The right has recorded that the Ministry argues against the proposal by letter to the Committee, partly because it is claimed to be a complex reform, partly because there is an evaluation of the system of municipal self-control — well and mark outside the ministry. For its part, the right cannot see that this is a heavy enough argument to justify a ban on the autonomy of municipalities in order to assess these conditions. The right will show that the schemes are not tested in comparable countries, but that freedom of choice is actually practised in both Sweden and Denmark. The right notes that for the majority of the Odelstinget, the Workers' Party and the government parties, the goodwill towards municipal autonomy is high in non-committal contexts, but the follow-up is weak, as this attitude is an example. I am referring to the fact that, in the course of last year's deliberation of the Mayor's statement on local self-government, the right was given a majority for the following formulation: ‘The Government asks the Government to draw up a specific programme for the revision of all sectoral legislation that imposes detailed requirements on municipalities. ‘... The Government presented in the 1999 Community Economic Proposition on page 129 for the follow-up to this proposal. For the first time, the Proposition referred to the Declaration of Adults, under the heading ‘Local Maritime Administration’: ‘The scope of retail regulation should be reduced, inter alia: by simplifying laws and regulations. A real municipal maritime administration means that municipalities can choose different solutions according to local needs. However, national standard requirements will be necessary in key areas. ‘... This is made more concrete in the Waxenås Declaration to apply, inter alia. the health and social sector, environment, education and equality. Secondly, the same proposition shows that on 5 March 1998 the Government laid down guidelines for the operation of State legislation. And in those guidelines, point (d) states: ‘Bundes rules on the performance of municipal or county services production or management shall be available only in areas where legal certainty, equality or other national considerations so require. Departments and Directorates should use, as far as possible, guidance and dissemination of good examples as a method. ‘... The right cannot see that the Government's guidelines have been followed up in the Ministry's recommendation to the Municipal Committee in this case, either in the government parties' positions in the vote. Our disappointment is especially directed at the Christian People's Party, as at the treatment of the Inner East. O. No 95 for 1991-92 on new municipal law was in agreement with the Right and the Progressive Party on a proposal similar to that dealt with by Odelstinget in this case. The attitude of odelsting is disappointing, however, because the Right notes that the majority of its comments do not object in principle to allowing the municipal autonomy to include the freedom to choose audit. I take this up on behalf of the Right and the Advance Party the proposal referred to in the vote.
ParlaMint-NO_1999-03-11-lower.ana.ud381e508	The representative Lars Arne Ryssdal has drawn up the proposal he referred to. No more people have asked for the floor on case No. 3rd@item: inlistbox [[Food, see page 377]]
ParlaMint-NO_1999-03-11-lower.ana.ud381e518	The odelsting shall vote in case No. 1 - 3.
ParlaMint-NO_1999-03-11-lower.ana.ud381e524	Three proposals have been put forward during the debate. It's: proposal No 1, from Lodve Solholm on behalf of the Progress Party and Right-wing Proposal No. 2 and 3, by Karin Andersen on behalf of the Socialist Left Party The suggestion has been entered in the setting.
ParlaMint-NO_1999-03-11-lower.ana.ud381e597	The Progress Party and the Right have warned that they are going against it.
ParlaMint-NO_1999-03-11-lower.ana.ud381e615	The Christian People's Party, the Center Party, the Socialist Left Party and the Left have warned that they are opposed.
ParlaMint-NO_1999-03-11-lower.ana.ud381e695	The President will now refer to voting § 29(3).
ParlaMint-NO_1999-03-11-lower.ana.ud381e711	Here the Progress Party has notified that they will vote against it.
ParlaMint-NO_1999-03-11-lower.ana.ud381e721	The President will then vote on the rest of the points in Section 29 and on Paragraphs 36 to 38.
ParlaMint-NO_1999-03-11-lower.ana.ud381e788	The Progress Party and the Right have warned that they are going against the referenced paragraphs. Before we go to voting on the vote, the President will vote on proposal No. 1 and 2. Proposal No. 2, from the Socialist Left Party says: ‘Section 36(1) is replaced by the following:The choice is made on the basis of pre-submitted lists with proposals for candidates. Batches or batches of groups represented in the selection body may submit only one list proposal each. The list may contain up to twice the number of different names to be chosen for members. Candidates from a lot or group of parties who make their own list proposals or who submit joint list proposals together with other lots or pairs of ten groups may be listed on other list proposals. However, this applies only if the list proposal for the lot or group of lots to which the candidate concerned belongs meets the requirements for equal opportunities laid down in the Local Government Act. ‘...
ParlaMint-NO_1999-03-11-lower.ana.ud381e806	The President will then vote on proposal No. 1, from the Progress Party and the Right: ‘Section 37 of the Community Act. the third paragraph is deleted; No. 4 becomes a new paragraph. 3rd@item: inlistbox ‘...
ParlaMint-NO_1999-03-11-lower.ana.ud381e822	The referenced paragraphs, § 29 to 38, are then rejected. Here you have the Progress Party and the Right, notifying you that they will vote against it.
ParlaMint-NO_1999-03-11-lower.ana.ud381e984	The President will then vote on proposal No. 3, from the Socialist Left Party, to the law of intercommunal companies. The proposal reads as follows: «The law on intermunicipal companies makes the following change: § 6 new fifth paragraph shall be replaced by the following:In municipalities and county councils with parliament taric form of government, the local government or county council itself may provide for the appointment of representatives by the council. ‘...
ParlaMint-NO_1999-03-11-lower.ana.ud381e1012	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1999-03-11-lower.ana.ud381e1019	The law decision will be sent to Create the thing.
ParlaMint-NO_1999-03-11-lower.ana.ud381e1026	During the debate, Mr Solholm presented a proposal on behalf of the Progress Party. The proposal reads as follows:
ParlaMint-NO_1999-03-11-lower.ana.ud381e1056	It shall be replaced by the opinion of the Committee and the proposal of the Party of Progress.
ParlaMint-NO_1999-03-11-lower.ana.ud381e1070	During the debate, Mr Ryssdal presented a proposal on behalf of the Progress Party and the Right. The proposal reads as follows: ‘Law on amendments to the Law of 25 September 1992 No 107 on municipalities and counties [[municipal law]]
ParlaMint-NO_1999-03-11-lower.ana.ud381e1124	Alternative to the advice of the Committee and the proposal of the Party of Progress and the Right.
ParlaMint-NO_1999-03-11-lower.ana.ud381e1140	There is no record available.
