ParlaMint-NO_1999-12-09-2.ana.ud2610e26	We start with a line chord shift after Thore Aksel Nistad's posts.
ParlaMint-NO_1999-12-09-2.ana.ud2610e215	I can say that I agree with the representative Eirin Fallet that there is reason to rejoice at the agreement that has now been established between the centre and the Workers' Party. I also understand that both the Centre and the Workers' Party have an intention to facilitate the development of transport in the districts as well, and that we agree that it is important to focus on collective solutions in central areas, and to facilitate road construction in District Norway. Then it is quite right that the representative Eirin Fallet also points out that air traffic is very important for District Norway. And I am quite sure that the representative Eirin Faldet is also aware that the offer that was subsequently made was not found either in the department offices or on the table of the Minister for Transport. The entire structure was in close contact with the individual counties. I also assume that the representative, Eirin Faldet, is aware that there is a significantly greater amount of funding today than ever at regional airports. With regard to the fact that the counties were not allowed to join the last bit, I assume that the representative Eirin Faldet understands that not everyone can be allowed to look in the cards when you are going to submit a tender document where several tenderers are to submit. It's just an impossibility. Essentially, the signals we get from District Norway are that they are satisfied with the offer they receive today in regional aviation.
ParlaMint-NO_1999-12-09-2.ana.ud2610e224	The representative Jan Sahl took up the zero vision, and that the mobile phone ban was the way to go. He might not be able to imagine that there are other things than cell phone that also represent a danger on the road, among other things. there may be quarrelling kids in the car or other things that interfere. It is the meeting accidents that are really the problem. Can't the representative Sahl imagine that separating four-field roads physically with middle parts will improve the safety of our roads? Because when we read almost daily about meeting accidents on the roads with a fatal outcome, I think separating traffic is the best thing. The budget of the Christian People's Party and the cooperating parties does not bear the mark of improving road safety. To that, too little funds have been put in. And there will also be no zero vision of a mobile phone ban. Sahl was concerned with improving the county road standard, and mentioned in that connection Bjørvika and the road conversion there. But if you're concerned with improving the county road standard, you can only go to the budget, you can see what the budget of the cooperating parties is going to increase that item. It's $25 million. kr, while the Advance Party had 150 million. kr to improve the county road standard.
ParlaMint-NO_1999-12-09-2.ana.ud2610e233	I note that the Progress Party and the Centre share a common desire to increase road safety. I also understand that there may be other things than the mobile phone that may seem disturbing when one is out driving a car. I don't have that much experience with quarrelling wives, but with kids who can make a little life in the backseat, I have so much experience with and can understand. Now it's not that easy to do something about it in the law, so we might have to look at other solutions first. I can agree, to the extent that I agree with the representative Stensaker on this with the middle parts on the four-field road. Making that happen is a question of economics. But that is an important measure in road safety work, we can agree on. We can also agree that meeting accidents are a major problem and that, among other things, road markings and sound-producing mid-strips are also shown to work well. Otherwise, the government is working on a road safety plan to be included in the national transport plan, where we look at the overall picture in relation to what can increase road safety. Then, too, such things as speed limit and point improvement are effective means of improving road safety. I am pleased that the Progress Party is also concerned about this. This means that, together, we can find ways to increase road safety in the future.
ParlaMint-NO_1999-12-09-2.ana.ud2610e242	The representative Sahl spoke warmly about the coast, security and fairways, that this was a priority and an area for which the Christian People's Party has great care. They state in their comments that they are ‘occupied with ensuring safety and accessibility in Norwegian waters and ports’, but in the name of truth this must be said to have been poorly followed up in practice. An overall committee notes that there is a clear lag in actual appropriations compared to what was adopted in spring 1997. In fact, the fixed installations are very poor, and this threatens the safety of those who travel on the sea. Now the government is pressured from all sides to increase the appropriations for this important purpose, and the Right is very happy that the Workers' Party has helped to increase this somewhat. But what surprises us is that you choose to pick up money to secure the fairways from the Rescue Company. What kind of priorities are these? Cooperation with the Workers' Party has the strangest consequences. Together with the Workers' Party, a boat register has been established that has so far cost 55 million. NOK 13,5 million. kr a year to run, and then you will get money from the Rescue Company to secure the fairways. Is it more important to watch out for boats than to watch out for people who travel on the sea? That's my question. Why don't you get the money from there? Can you imagine putting down that boat register and re-prioritising that money to safety at sea? I'm going to promise that it's going to get Right's support.
ParlaMint-NO_1999-12-09-2.ana.ud2610e249	I am pleased that there is a cross-political consensus in the Committee on Transport on working to increase safety along the coast. I am also pleased that the Minister of Justice has seized on this matter and wants to see how to achieve stronger cooperation between the various bodies that can help to strengthen safety along the coast, and that can also be involved in a rapid response when the accident has occurred. The Committee has stressed several times that the funds allocated to brands and beacons want to be used primarily for maintenance. With regard to the last funds now available in the budget, we also want to use some of them to continue the observation in waters where there are no marks, in order to avoid coastal accidents. Here I think we must be able to say that there is a cross-political consensus that the roofs that it is now necessary to take, among other things. in order to bring the map up-to-date and to provide a closer look at the location of the dangerous points along the coast and to establish the marking, there is a strong desire in a joint committee to seize and provide funds. I also have a strong understanding that the Minister for Fisheries is concerned about the same problem.
ParlaMint-NO_1999-12-09-2.ana.ud2610e256	The cord shift is over.
ParlaMint-NO_1999-12-09-2.ana.ud2610e259	Communication is, as many before me today have been, a very important factor in the development of business. Good communications are also at the bottom of successful district development and building across the country. That is why we are debating a very important budget area. The 2000 budget for trade is a tight budget. We can read that out of the government's budget proposal, which has also pointed to the many challenges and tasks that remain unresolved in the transport sector. Also in the 2000 budget, the transport sector has taken a large part of the cost of creating a government budget that should not have a negative impact on interest rates, employment, etc. In the road sector, there are major commitments due to earlier projects. This has been the situation for the last few years and will continue for a few years. This means that the main effort in the construction industry will be to complete the start-up phase. I am pleased that the budgetary agreement with the Workers' Party resulted in a slightly greater commitment to society. The majority of investment funds for national roads have been allocated to installations that are being run poorly rationally or have stopped due to a lack of permissions. In my opinion, this is the most reasonable way to use these extra funds. The objective must be to operate the facilities rationally and efficiently. Urational operations lead to the exploitation of the projects, and it is only to establish that in 2000 there will be more projects that are still being driven in a more rational way. The budget for 2000 is the third budget for this four-year period. The overviews of the distribution of rickshaws between different counties and also the distribution of funds between different tribal routes clearly show that there will be a disaggregation relative to the percentage distribution that was the intention of the Roadmap period. A number of the Committee pointed out the importance of following up the intentions of Norwegian road and road traffic plans, and therefore called for a smoothing of the funding uplift as far as this was possible without leading to an increase in the level of rational plant operation. The budget proposal states: ‘In recent years it has not been possible to maintain the capital of the road with the maintenance appropriations made available.’ This is a description of reality. Poor maintenance creates difficulties for business, leads to great wear and tear on running clothes and often poses a direct risk to life and health. I thought it was bad that this should be the situation. In the rail sector, 1998 figures show an increase in passenger traffic by rail, while in the freight sector there was a decrease. For the railway, analyses show that there is a need for substantial commitment to maintenance in order to maintain a satisfactory transport standard on existing networks. I share the Government's view that operations and maintenance must be given priority in 2000. This is one of the things. an important commitment to the full impact of the roll-out-related investment measures on the Sørlands-, Bergens- and Dovrebanen. On the railway side, it is a pleasure to note that the tilting train bet has received a good reception, and the same can also be said about the traffic speech for the Gardermoban. In some budget chapters of the Ministry of Fisheries there were also additions to the budget agreement with the Labour Party. The addition opens up for increased effort on the premises ports and the lighthouse and tag service. A number of local, municipal and county plans have been developed on the port side. Many of the port development plans are very important for fisheries and industrial development. The extra funds are therefore very good use. Electronic maps, cargo services, lighthouses and beacons are an important means of ensuring safe conditions for coastal maritime traffic. Even if the budget agreement allows for increased effort, the trust for more means on both the maintenance page and the extension page for fire and brand is still large. These are areas that should be of high priority. It's like every time we experience an accident at sea, we're reminded of the value of having a well-marked lease. In the budget setting last year, the Committee asked the Ministry to arrange for a review of the quality of the service. I have noticed that this review has been carried out, and I expect this to be presented to the Stortinget in its own form.
ParlaMint-NO_1999-12-09-2.ana.ud2610e292	It's going to be line change.
ParlaMint-NO_1999-12-09-2.ana.ud2610e295	There was one area that the representative Ringstad was not concerned with, and it was about racial protection. In August this year, the Government presented a separate action plan on racial protection. There, the Council of State wrote that initially, strict frameworks have been established in the years to come. He further writes that if we are to invest specifically in one area, it will have to be at the expense of other important road policy considerations. The conclusion that this can be subtracted is that there will be no extra effort on the road in the years to come. Then it's added that 2 billion kroner are to be invested in racial protection. If you sum up the projects that have been submitted, it turns out that there is not 2 billion kroner in addition to what is in the framework of the Roadmap. In addition, a separate heading for racial protection has now been established. The majority of concerns are that this leads to states failing to give priority to racial protection in the context of remedial projects pending their centralisation. In other words, you can create false expectations and actually rational plant operations. When the centre parties drive this forward with racial protection as an important tool, I sit back with the question: Is not the representative Ringstad afraid that what they think is an important tool, just becomes the enemy of the good?
ParlaMint-NO_1999-12-09-2.ana.ud2610e304	The representative Røtweg said that there was one area that I had not been in, i.e. racial protection. That's right. I didn't get time to come in on everything in a five-minute post. I was also not in the post, telecommunications, aviation, just to name a few other areas. I would like to have a longer speaking time, both to go into the individual topics more thoroughly and to bring everything with me. The representative Red Road states that it is not really the big sum that is the amount of racial protection that one at first sight can get the impression. It is true that in the concrete sums in the item for racial protection, there is an increase, but it is not as big as I think both the representative Ola Røtweg and I myself would like to. But it's a certain increment. It is also stated in the established racial protection plan that, in addition to the funds in the special item for racial protection, it must be used by the ordinary means. If we travel around and look at the racial protection project, we see that there's a lot of means of racial protection there, but there's also a lot of other things that come into the same projects, so it's natural that there's a balance between what we have from the means of racial protection, and that one has to take off the ordinary resources. The idea behind what has been presented is that there should be an interaction between what goes into concrete racial protection and what is needed to carry out a project, and as one must take off the ordinary resources.
ParlaMint-NO_1999-12-09-2.ana.ud2610e312	We are constantly hearing about districts and good roads, and the general comments to the Centre Party in this setting say once again that there will be good and safe roads in the districts. I'm sure that even though I'm going to sit on the Stortinget for 30 years, I still want to hear the same thing. In the past, the Centre Party pledged a massive increase in its efforts in terms of road investment. It was the famous road package that was worth a total of 5 billion kroner. How much has it come up with? So far, it's not a single district that's seen a single crown of the huge increase they promised. The medicine of the Progress Party for developing the country is to increase significantly road investment and maintenance. If we're going to get people to bet on the edge and they prefer to stay there, the Progress Party believes that the petrol should cost $7 a gallon. We should have more reasonable cars, and we should definitely have good roads, so that both timber, fish and milk, of which the centre party is very busy, come out to the markets at a reasonable price. Is the Centre party of the opinion that the transport policy outlined here by the Progress Party is so terribly bad for the districts, as the Centre Party now embraces the Workers' Party so violently?
ParlaMint-NO_1999-12-09-2.ana.ud2610e323	The representative of the Progress Party has observed quite correctly when he says that the Center Party is one of the parties on the Stortinget that are occupied by districts. And my impression is that there is a plurality on the Stortinget that is busy with district development, because in the districts, very much of the value creation is happening in the country. So if we are to take care of the value creation that is, we have to take care of the districts, but we also have to take care of the more central and big cities. There is no contradiction here. If you want value development to be kept, you can't ignore what's happening in your district. Then the Progress Party shows its willingness to increase road investment significantly. Now, for two years, the central government has cooperated on the budget, among others. The party of progress. In the alternative budgets presented by the Progress Party, there have been large sums of money – that is quite right – but when the Progress Party was to give priority to all its wishes, there were no roadways at last. So the two years of central government have cooperated with, among other things. Progress party, there has been no extra means of transportation. This is why I also said in my post that I am happy that the cooperation agreement with the Workers' Party provided extra means of transport. But we didn't achieve that the previous two years when the Progress Party was one of the partners.
ParlaMint-NO_1999-12-09-2.ana.ud2610e330	I notice that the representative Sahl did not answer the representative, Stolt-Nielen,’s question about strengthening the safety on the coast by cutting the loops of the Rescue Company, and I wonder if the representative, Ringstad, is calling for an answer to this. The representative, Ringstad, also said in his contribution that she was very concerned that the intentions of the Roadmap, when it was due to the distribution of funds, had to be followed up. And then I thought there was a reason to ask if it might not be interesting to follow up on the intentions when it applies to the overall frame of the Roadmap. When the Road and Road Road Road Plan was adopted just before this period began, the Centre Party, together with the Right, entered for a sharp increase. Jorunn Ringstad himself has previously stated that she is not happy with what has happened. In the nation on 15 June she calls it a “breakup” and says, among other things,\t\t You can change the settings of the grid. \t\t \t ‘The majority of Stortinget will invest more in transport. It is not useful when the government is not involved.’ She also says: ‘There is a great deal of unrest in the party. Not many years will pass before there will be an uprising.» Two days later, the same representative receives a reply from the parliamentary leaders of the central parties, which: ‘I promise Ringstad better times next year’ — which we are now entering — ‘if interest continues to fall and the economic outlook remains good’. The same paper says that Johan J. Jakobsen ‘emphasises that 1999 is an exceptional year’. Then there are two questions I would like an answer to: Is the representative Ringstad still firm about his criticism? It's the one. The second is whether it is possible to get a closer timing of when the road uprising that the representative of Ringstad has previously notified will come.
ParlaMint-NO_1999-12-09-2.ana.ud2610e356	First to the first question, about the cut off in the promises of the Rescue Company. I would like to admit that I am not happy that the promises of the Rescue Company were cut. It is one of the areas that also listened within what goes on safety at sea, and I hope that the Government on the next crossroads will consider it supported by the Rescue Company. I only want to make a few quotes directly from the proposition when it comes to road purposes. It says on page 69: ‘In recent years it has not been possible to maintain the capital of the road with the maintenance appropriations made available.’ It goes on to read on page 71: ‘However, in recent years the appropriations for road purposes have actually fallen.’It goes on to say on page 79:‘Calculations show that today’s maintenance slowed down by a total of 8 billion. kr. It has to be set at about 700 million. kr more per. years of maintenance beyond the current level in order not to increase any further.’» The budget proposal for the current year, which we discussed a year ago, said that there were no 800 million. kr in order to operate installations efficiently. I feel like the government and I are in line. The government's proposition has pointed to the challenges that lie there. They've used words like this, they've used words that it's missing, and that it hasn't been enough means to fulfill what should have been done in the road sector. I want to say in my words that it's too little money. I don't feel that the government and I are on a collision course. The government has also said that they have given priority to a number of other areas. And prioritizing is letting something go lead something else. I hope that the government will look closely at the next crossroads.
ParlaMint-NO_1999-12-09-2.ana.ud2610e379	The cord shift is over.
