ParlaMint-NO_1999-11-24.ana.ud542e27	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1999-11-24.ana.ud542e146	For the third time in our lifetime, Russia is now running massive massacres of civilians in Chechnya. In connection with that, I have two questions for the Minister of Foreign Affairs. The first is, how brutal can a regime go against parts of its own population before it loses its right to rule them? And the second is, how do the Russians behave in Chechnya in relation to their obligations as members of the Council of Europe?
ParlaMint-NO_1999-11-24.ana.ud542e155	Finally, I must say that it must be the Council of Europe that decides. I now understand that the Council of Europe will visit Chechnya, and then I assume that there will be a report that will address Russia's relationship with the Council of Europe. With regard to the first part of Godal's question, unfortunately, there are no limits to how brutally you can go forward. If we look around the world, you can think of Africa, some regimes have unfortunately also gone a lot worse than what we see in Chechnya today, even though this is serious enough. Nevertheless, they continue to rule their countries, so there are no objective criteria. But it does not deprive us of the other responsibility to just focus attention on this, make demands and say that this is unacceptable. We will do that both bilaterally and within the OSCE.
ParlaMint-NO_1999-11-24.ana.ud542e162	Erik Solheim – for follow-up questions.
ParlaMint-NO_1999-11-24.ana.ud542e165	I have also reported questions about this to the ordinary Question Time, and I will then come back to some of the humanitarian aspects, what we can do, for example. with collections under the direction of the Red Cross and other measures. Now taking the political side: One of the reasons why the West is cautious in its criticism of what is happening in Chechnya – one sees it in relation to how serious the situation is there – is, of course, the fear of triggering a new cold war, a new division and a new tension in relation to Russia, and that if that happens, one will be less able to influence the Russians in the long run. Then I will bring in another aspect, because this is from all the central actors also part of the big policy. To what extent does the Minister for Foreign Affairs see a link between what is now happening and the decisions taken around oil pipelines in the area? There is a danger that decisions such as those taken and which give the Americans very much influence – among other things. at the pipeline through Turkey, which can be seen very easily in Russia as being put on the sideline – can it contribute to what is now happening? And in that case, what can Norway do to make sure that we don't become part of an American game that seems negative to the Russians?
ParlaMint-NO_1999-11-24.ana.ud542e174	This can easily be seen, and I guess you shouldn't be pushing too much out of the Greatness's pulpit. But I would think that what is now happening to the pipeline, and the recent decision in Turkey, in many ways more, is a consequence of the Chechenia conflict than a cause for it, because the Chechenia conflict just showed that this area is so unstable that it is not possible, in the short term at least, to imagine stable oil supplies. In this way, it should be in the interests of the Russians to achieve a lasting solution. We have said both from the Norwegian side and from the OSCE that it is only through a political solution, political dialogue, that a lasting solution can be found, so it should be an incentive for the Russians, so that that region can also be used in terms of oil supplies. It can hardly be said the reverse that the oil pipeline is a cause for the Russians' attitude in Chechnya.
ParlaMint-NO_1999-11-24.ana.ud542e182	Let's move on to the next main question.
ParlaMint-NO_1999-11-24.ana.ud542e185	I want to ask Åslaug Marie Haga a question. The lot of progress has recorded, both in the past and – not least – in the harvest, several deficit reports and, among others. economic root of some publicly subsidised theatres. In fact, it has gone so far that the department asked for a new government in the Nordland Theatre. They had a deficit of a total of 3.2 million. SEK of a budget of 16,3 million. kr. What will the Council of State do to clean up these and similar matters? And in the future, the Council of State will make stronger premises for grants, among other things. to our theaters?
ParlaMint-NO_1999-11-24.ana.ud542e194	It is true, as it is said, that we have had considerable problems with the Nordland Theatre. It was a totally unacceptable regime that was run in relation to financial management there, and the ministry therefore chose to intervene by asking for an extraordinary general meeting. That general meeting will take place on the 30th of this month. The reason why we intervened so hard is that it's totally unacceptable that the institutions don't have their economy in order. We both wanted to address this specific matter in order to make it quite clear where the responsibility for financial management lies, and of course we also wanted to send a signal with this matter to other institutions that economic order in their house must be in place. We also follow up the other institutions very closely. We follow them up through the reporting required by the institutions in relation to the ministry, and we are very aware that there are also other institutions that have not had full economic order in their house. That's why it's a priority matter for the ministry to go into the reports and the accounts that we get.
ParlaMint-NO_1999-11-24.ana.ud542e202	I thank the Council of State for the answer and for the promise of clean-up, which the Progress Party has wanted for many years. If the Council of State considers it appropriate that the public, i.e. Do the taxpayers subsidise each audience with a total of 721 kr for the regional theatres in Møre and Romesdal, Nordland and Telemark? Do not the Council of State – like the Progress Party – believe that these large sums of money could have pleased many more by, for example: voluntary teams and organizations, struggling with a small pot of money, but nevertheless enjoying and employing very many, especially children and young people, had done much more if they had just received these funds, or at least parts of them?
ParlaMint-NO_1999-11-24.ana.ud542e209	I am concerned that we should have a varied cultural offer throughout the country. This means that the different forms of cultural expression should be able to benefit everyone, whether they live in Oslogryta or live in more remote areas. I am concerned that people in the districts should also have access to professional theaters, to operas and to the cultural expressions that many associate with the central strata and cities. There shall be no contradiction between investing in the institutions and investing in voluntary organisational work. I am concerned that we should be able to take care of both of these aspects of our cultural policy, and believe that this is necessary in order for us to be able to provide a broad and good cultural offer to all.
ParlaMint-NO_1999-11-24.ana.ud542e216	Let's move on to the next main question.
ParlaMint-NO_1999-11-24.ana.ud542e219	I have a question for the Minister of Transport. We hear about people out in the districts who have gotten several kilometers to go to pick up their mail. The new concession for the Item states that the item is to be produced at the place of residence of the recipient unless exceptional circumstances or geographical circumstances exist. How will the State Council interpret this derogation, and does the new concession for the Post involve a change from the past?
ParlaMint-NO_1999-11-24.ana.ud542e228	The adjusted concession for the Post is a result of Storting's treatment in ours and the relationship with EU postal directives. This means, in other words, that the wording used and now quoted is consistent with what is used in a number of other countries. At the same time, it has been explained to the Storting that, following the assessment of the Post and Telecommunications Authority, we do not see the use of the assembly stands made in previous years as a breach of the concession. With regard to the interpretation of the concept itself, it is up to the Postal and Telecommunications Authority to follow this up. Infringement of this interpretation will have to be reported to EU supervisory authorities when they occur. It's the Ministry of Transport that does it, and it's natural that we do it every year. If there's a question of whether this is a tightening compared to the previous one, then the wording is a tightening.
ParlaMint-NO_1999-11-24.ana.ud542e237	I thank the Council of State for the answer. Can I then perceive the Council of State in that way that there is really no change in the concession provisions themselves, but that it is only in the wording, and that this will not lead to a better offer for people out in the district?
ParlaMint-NO_1999-11-24.ana.ud542e244	There are significant changes to the adjusted concession. This is one of the points mentioned. There are also significant changes on the financial side. This has been demanded by the Post and Telecommunications Authority for a long time. When it comes to meeting the special point that was asked about here, the interpretation of distance in deliveries – it is particularly in the West this has been a problem and a challenge – I will await the contact of the Postal and Telecommunications Authority with the Post before we proceed with the matter. But it is clear that in this context, the Post Norway BA is a separate company that carries out the postal policy of Stortinget and the Government. It is this house that determines how the postal policy in Norway should be, and Posten Norge BA are the ones who are going to do the job, so there is a significant difference.
ParlaMint-NO_1999-11-24.ana.ud542e251	There will be follow-up questions – Eirin Fallet.
ParlaMint-NO_1999-11-24.ana.ud542e254	i is well aware of the situation in Post BA, and the Council of State has also pointed out that there should be no worse offer to people. I can mention examples that people have to go six or seven kilometers to pick up their post on a assembly stand. The discussion doesn't go on the assembly stand, but whether it's reasonable that people who may be bad at the legs have to go six or seven kilometers. That's what this is about. My question is therefore whether there is any possibility of letting people around in the districts who are pensioners, sick or old, get their mail closer than seven kilometers away. That's really what people are concerned about.
ParlaMint-NO_1999-11-24.ana.ud542e261	It's not fair that you have to go six or seven kilometers to pick up the post office. This is my immediate assessment. When I say that I want to wait for contact with and control from the Post and Telecommunications Authority in relation to Post Norge BA, it is because this follow-up and control have been suspended until the adjusted concession came. Now is the time to get to the goal of this. It is also the case that there are exceptions and opportunities to make local assessments. The post Norway BA is a service company, should act as a service company and do the job that this house requires them to do.
ParlaMint-NO_1999-11-24.ana.ud542e270	Karl Eirik Schjøtt-Pedersen – for follow-up questions.
ParlaMint-NO_1999-11-24.ana.ud542e274	I need to ask an additional question, because I got a little confused. Now the Council of State says that the wording of the concession has changed. I interpret it as not necessarily changing the reality, but clarifying it by the Post and Telecommunications Authority. Just after the concession was formulated, the Director of the Consumer Council, Per Anders Stalheim, sent out a press release where he struck his chest and said that he had got an impact on all his demands. And the press release says that assembly stands are still to be used, but they have to be located near the customer's residence, not at several kilometers away. I perceive the Council of State that this is not necessarily a consequence of the concession given by the Council of State, but it may be a follow-up. Is it not the case that the Council of State today concludes that this is the case?
ParlaMint-NO_1999-11-24.ana.ud542e283	This is partly due to the fact that, as a supervisory body, the Post and Telecommunications Authority will have the opportunity to do the job assigned to them. Governments may have strong and clear opinions on this point. He'll keep it to himself for another while. When it comes to the question of whether this is a tightening relative to the previous one, the answer is yes, it is. The previous handling of assembly racks has not been interpreted as being incorrect or illegal, but it is the future follow-up that is a tightening of past practice. The answer is yes.
ParlaMint-NO_1999-11-24.ana.ud542e290	We move on to the next main question – Erik Solheim.
ParlaMint-NO_1999-11-24.ana.ud542e293	It hardly surprises me that my question goes to the Minister for Foreign Affairs. Tomorrow, the central leaders of the Serbian opposition will come to Norway, and the question is briefly what the Minister for Foreign Affairs has to offer them, because after nearly 10 years of war and conflict in the Balkans, the situation is not particularly bright. No one really sees any ‘grand design’ that can solve the problems, but if one were to point out one element that would at least dramatically reduce the conflicts in the Balkans, there had to be a democratic development in Serbia. As I see it, the key link itself is. The dilemma is that the means we have used to strengthen the Serbian opposition, sanctions against Serbia, they don't believe in themselves, so we're helping them to say against their will. I know that Norway has started some less relief in the sanctioning regime, but the question is whether it is now possible to imagine a far wider opening in this sanctioning regime before winter. It would facilitate the humanitarian situation in Serbia, and as the Serbian opposition sees it, it would also help them.
ParlaMint-NO_1999-11-24.ana.ud542e300	It is true that we will have prominent leaders for the Serbian opposition to Norway tomorrow. In the first place, there aren't so many questions about what I want to offer them, like what they want. Then I'll listen and see how I can follow it up both as Norwegian Foreign Minister and as Chairman of the OSCE. One of the areas that I think we should look at is the area of sanctions. But it is very interesting that we have just received reports from our embassy in Belgrade in connection with this visit tomorrow, after they have had conversations with a number of opposition politicians, including some of those who come tomorrow, where the view of sanctions is not as clear as the representative Solheim is now expressing. There are, among other things: express the fact that the sanctions now – not just the lifting – will be released, just to be recorded in Milosevic’s hands. This is something we need to discuss tomorrow, because I think it is very important that we here do not do anything that the opposition will feel like going against their wishes. However, some of the things they point to, which has been our approach, that of supporting the cities of the opposition, are questioning some of them. They say that it's not so clear which cities the opposition has control of, and where Milosevic has control, and that it can be exploited, if one looks at it from a humanitarian point of view, that here we take political considerations. The problem with Serbia is, unfortunately, that the situation is very diffuse, very complex, and there is a weak opposition that does not agree with each other. But we have to listen to them, we have started humanitarian actions, they will continue, including oil deliveries, and then we have to see what we can do to follow up the process of democratisation politically.
ParlaMint-NO_1999-11-24.ana.ud542e309	I consider the answer to be essentially positive. The situation of the population of Serbia has two sides. One is the humanitarian side, which is hopeless. There are hundreds of thousands, I don't know exactly numbers, of refugees who are victims of the policy of their own political leadership – from Croatia, Bosnia, Kosovo, etc., and they need help before winter. It is a humanitarian aspect that is independent of what we think about the Milosevic regime. Then we have it politically, and there is no doubt that the sanctions were launched without really listening to the Serbian opposition. Now, if you get into a track where we're actually listening to them, they're still weak, and go into a dialogue with them about the design of this, so that they can at least believe that this contributes to the democratization of Serbia, it's going to be a new and positive phase. I would encourage it to be laid down further. We have tried to boycott a number of countries in the world, and looking at Iraq, the seventh and last most of us have come to the conclusion that it has strengthened the dictatorship rather than weakened it.
ParlaMint-NO_1999-11-24.ana.ud542e314	I agree with the representative of Solheim that it is important to listen to the opposition, and I think it is a way to promote the process of democratisation that they are made visible as active participants in a political process. There was some background to me being the OSCE President at a meeting held in Istanbul, where very prominent opposition politicians from Serbia, and also President Djukanovic from Montenegro, were given a platform to present their views to the participants at the summit. The initiative came from President Havel. I think it is very important that we in the European countries now commit ourselves to facilitating conditions, supporting the opposition.
ParlaMint-NO_1999-11-24.ana.ud542e319	There will be follow-up questions – Dag Danielsen.
ParlaMint-NO_1999-11-24.ana.ud542e322	I thank the Foreign Minister for a reflected and balanced response on his view of the use of sanctions. My follow-up question concerns this with the role of our allies. While it is clear that the role of the opposition is of great importance in the assessment of such a question, it is equally important, in the view of the Progress Party, that Norway also attaches great importance to the role of our allies in the application of sanctions. What I would like an assurance of is that the Minister for Foreign Affairs, to the same extent, and perhaps to a greater extent, also places emphasis on what our allies, not least in NATO, say on the issue of the use of sanctions – this is also seen in the light of the point that the sanctions have already been imposed. Removing the sanctions at this point is probably the craziest signal you can give.
ParlaMint-NO_1999-11-24.ana.ud542e327	I can assure the representative Danielsen that we are in close contact with our allies and also with other countries that are active actors on the issue of the use of sanctions. It has been believed that if Norway imposed sanctions, the bad regimes fell to the fore, but this has proved not to be the case. It is also of very little importance if Norway, as the only country, were to lift some sanctions, it would have very little effect. Here we must stand together, here we must have a common position. It's just the way it'll have an effect on Serbia, and also as a support device on the Serbian opposition. Of course, it is very important that we constantly assess what can support democratic forces and what supports the Milosevic regime, and we do so in close cooperation with NATO, the EU and the United Nations.
ParlaMint-NO_1999-11-24.ana.ud542e332	During the Kosovo action, the most important weapon that NATO had, a cohesion in the alliance, was that it was not the slightest resort to division between NATO countries. The current situation is completely different, and in my view there is also room for more debate between the various European and US partners on the future in the Balkans. I fully agree with the Minister for Foreign Affairs that unilateral Norwegian actions are not current, but Norwegian initiatives may be relevant to change policy if one thinks it is necessary. If the opposition in Serbia, and then I would say the democratic opposition, would gather around a strategy to lift sanctions in certain areas, it is not appropriate to remove sanctions against Milosevic and his people, but if one were to gather about such a policy, then I assume that it would be relevant for the Norwegian government to take such an initiative. I then distinguish between the democratic opposition and the opposition in the former Yugoslavia with which we have no contact.
ParlaMint-NO_1999-11-24.ana.ud542e338	We will absolutely listen to what the opposition says and in the light of it evaluate our attitudes and our initiatives. Now we've already engaged. The forthcoming oil deliveries to at least two cities in Serbia are just such an initiative. And we've been lying in front of some other countries. In connection with a visit I made to Greece, I also discussed with the Greek Minister for Foreign Affairs the issue of lifting the flight ban. I have later launched it in environments that have greater impact than our own on this issue, because I believe that it might be a way of promoting contact. And then we can use the visa regime to control who's going to get out of Serbia, so we'll actively look at how we can also use sanctions to promote democracy.
ParlaMint-NO_1999-11-24.ana.ud542e345	Let's move on to the next main question.
ParlaMint-NO_1999-11-24.ana.ud542e348	To the Minister of Transport: if there is no large-scale development of public transport in the capital area, the traffic in the area will increase sharply over the years to come. That was the reason why the Stortinget asked for a plan to be drawn up for the development of public transport. The plan has been drawn up by State and local authorities. It was presented to the Government two years ago. The government has not yet submitted the matter to Stortinget. It is totally unacceptable that the country's main transport policy measures are floating around without political governance. Can the Council of State assure that the matter will be brought before the Stortinget before Christmas?
ParlaMint-NO_1999-11-24.ana.ud542e355	I fully agree with the representative Karl Eirik Schjøtt-Pedersen that Oslopakt 2, which is the name of the project, is the most important collective effort in the Oslo area ever. Therefore, it is so sad that the description given by the representative is not quite correct in time. There is no overall plan from two years ago. There is only one recording of a proposition in February of this year. We are missing, as explained in the proposition, important decisions from Akershu County and Oslo. Therefore, the Government and the Ministry of Transport have not taken the opportunity to await these local decisions, but have already anticipated the events by entering text into the proposition for next year under the title ‘Resourced public transport development in Oslo and the Akershus region – Oslopaktor 2’. The requested project is mentioned on pages 94, 95 and 96 of the Ministry of Transport's budget proposal. It's for treatment in Stortinget. Under the heading ‘Public transport measures’, the T-banaging is addressed on pages 115 and 116. The government has added money to both of these projects, and is ready to trigger them when we get the necessary decisions. We now need the decisions to present the financing part of Oslopackak 2 to the Stortinget, as we have announced this November. The decisions of the local level are still missing. In accordance with the requirements of the Storting in respect of user payments, they shall be adopted locally before they can be promoted. We've been praying for three months after summer and four months before summer to get this. We have the belief that this will be resolved not too long, but on the part of the Department and the Government, we are ready to promote the financing part as soon as we have these decisions.
ParlaMint-NO_1999-11-24.ana.ud542e362	An overall plan was presented in the autumn of 1997. If I don't remember completely wrong, the work was led by the road manager in Oslo. If the Council of State does not have the document, I shall be allowed to produce it. In addition, I must be allowed to stress that I have no problems reading the budget. The problem is what's not in the budget, or what's in it. It says that it will be difficult to present a proposition in the autumn of 1999. Here we're dealing with the dog and tail. The State will not commit until the municipality has done so, and the municipality will not commit until the State has done so. Would it not have been a good idea for the Council of State and local authorities to sit together and come up with a mutual commitment, which can then be presented both for magnification, for local government and for filling up? But leadership is required. We cannot continue with a situation where the municipality owes it to the state, and the state owes it to the municipality. This is a matter that requires political leadership. And isn't it a major problem here that the Council of State does not exercise the leadership necessary to bring this matter forward?
ParlaMint-NO_1999-11-24.ana.ud542e371	I don't think that's right. There have been a number of meetings, and it is now only on a formal decision, which the Stortinget has always called for when user funding is to be determined, namely that local decisions have been taken. Everything else on the financing side is in place. In addition, it is important to point out that the proposition states that the municipality – in this case the municipality of Oslo – has responsibility for the building and development. There's these two points that are left over. We're ready and we've put money in. We are ready to contribute to the state road safety in the T-banning project. In other words, the amounts lying there and the good will to move forward are signalled in the budget despite the fact that Oslopack 2 has not yet been dealt with in this Chamber. We, on the part of the Government, would simply not be waiting for the decisions. If they came after New Year's, it would be too late.
ParlaMint-NO_1999-11-24.ana.ud542e380	Let's move on to the next main question.
ParlaMint-NO_1999-11-24.ana.ud542e383	I will be allowed to ask a question to the Minister for Transport. Last winter Gardermoen had great problems with ice and some snow. It was a long time during a normal winter. It was due to the fact that the airport was new and that there were major entry problems. Now winter has begun. The other day we had a few inches of snow, and there was a little rain that froze on the ground. The fact that the ice remains on the track has now repeated several times. The planes go back and forth in the air – a few days ago it was probably an hour and a half they had to float up there. Was it never assessed when the aerodrome expansion was at the level stage, that you had to put heat cables on the runway? It is common in all other countries in the same latitude — even further south.
ParlaMint-NO_1999-11-24.ana.ud542e392	I cannot explain to what extent thermal cables on the runway were assessed, so I ask the representative to understand that I have a handicap. On the other hand, I recognise that we have had challenges – very major challenges – during the Gardermoen drive-in period – it is visible to everyone – like many other airports in an entry-in period. If you subtract what is common entry problems, we are left – I would stress – with problems that we need to be better at dealing with. This is added up to now in winter. Big investments have been made for the winter coming, to avoid what happened last winter. However, we have a few difficult areas. It's hard to predict the weather, and one of the problems we're experiencing today is fog. Fog we had at Fornebu, and fog we have at Gardermoen. It slows down traffic. We don't have to close the airport, but the distance between the planes has to be greater. From 1 September we got another approach system in place that makes us better off now than we did last winter. In the case of snow-removal equipment, we are well on track. We want it in place – with increased capacity – after New Year. In other words, a lot of work has been done for the winter coming, a lot of money has been laid down, and everyone is doing their best to ensure that the Gardermo will work maximum. Then, of course, I finally admit that the weather does not belong to the Ministry of Transport. It means, in other words, that this challenge is the Council of State not capable of taking.
ParlaMint-NO_1999-11-24.ana.ud542e403	I don't live so far away, and we've been aware that being at the Gardermo is the way it is, so it shouldn't be a surprise for anyone, nor for a government council. But what's common practice at other airports is that you're a little better prepared than you've been here. It's a very ordinary thing to put thermal cables on runways in other countries at these latitudes. So now you have to solve the same problem you had last year, bought even more new, big machines to take the snow, and you've hired even more crew. Has there never been any calculation of what it costs in delays for people, versus having so much crew?
ParlaMint-NO_1999-11-24.ana.ud542e412	Continuous calculations are made. Let me now correct a negative impression that is constantly spreading about our new main airfield, namely about regularity. We are one of the peaks in Europe in terms of regularity at the main aerodromes. The Gardermo can be proud of the regularity of the last quarter. Then we're facing the challenges in winter. We're going to make it better this winter than we did last winter. If this means that heating cables are the solution, I do not dare have the final answer to today. If I get to pass this on to the airport management and get back to Stortinget with a concrete answer to this question, it will be done within a reasonably short time. But I think we are much better able to deal with winter conditions at the Gardermo now than we were a year ago.
ParlaMint-NO_1999-11-24.ana.ud542e420	There will be follow-up questions – Jan Johnsen.
ParlaMint-NO_1999-11-24.ana.ud542e423	Can the Council of State brief us on what improvement measures will air passengers benefit from this winter?
ParlaMint-NO_1999-11-24.ana.ud542e428	It's a number of things. This applies, inter alia, to: exit de-icing, i.e. at the ‘gates’, better snow clearance, better de-icing access and the use of better approach and landing systems. In other words, the sum of this makes us ready in a completely different way than we did a year ago, and in sum, the solution should be good. I again make reservations about the weather, which we cannot do so much in Norway, nor in Gardermoen. It will be an obstacle to us also to the winter coming – both on the fog side and a little on the winter side.
ParlaMint-NO_1999-11-24.ana.ud542e435	Then we take off for the next main question. [[Laughter]]
ParlaMint-NO_1999-11-24.ana.ud542e438	I am going to relieve the Minister for Transport of the weather, it has ridden the Ministers for Transport before. I want to address the issue of postal services, or the failure of postal services, and remember that when the Stortinget passed a new postal law in 1996, both the Ministry of Administration and the Competition Authority stated that the best thing for consumers was that there was competition in all postal services. The party of the Council of State, and the majority of the majority of the population, then chose to oppose the Competition Council and to ensure that postal services should be ensured in other, better ways. At no time has Post been in the vicinity of achieving the degree of delivery promised by the majority at that time. Nevertheless, I understand that the Council of State is still a strong opponent of opening up competition and purchasing services, as is done in a number of other countries. Can I get the reasons for why buying services in this area is so much more difficult than what you do in other areas, for example. in aviation?
ParlaMint-NO_1999-11-24.ana.ud542e447	The item is exposed to enormous competition today. The exclusive right is left only in a small segment, and it's by letter up to 350 grams, essentially. When I say essentially, it's because this exclusive area and the revenues there, along with what the government pays for unprofitable postal services, are going to be involved in ensuring that we have a comprehensive postal system in the country, which covers the whole country and provides satisfactory postal services. So the question is, doesn't the Council of State believe that free competition in all areas will provide equally good services? The majority of the population has not considered that all parts of the Post should be put out to competition. I share that view, because at country level we need to get a coverage that reaches out to all parts of the country. In competitive areas in the postal sector, it turns out that those competing are concentrating on people-rich areas, focusing on profitable segments, which are naturally competitive. They don't need to think nationwide, and they don't need to think the whole segment. In addition, due to the fact that the Post has received and retained this exclusive area, we have been able to oblige the Post to have a fair coverage of newspaper supplies across the country – I could mention a number of things more – in other words, some of the requirements they have to fulfil as a result of their exclusive rights in the letter area up to 350 grams.
ParlaMint-NO_1999-11-24.ana.ud542e454	With the reasoning described by the Council of State, it will also be impossible to pay for short-distance services, but it is not. It's quite true, as the Council of State says, that it's clear that you're not paid for it, you're competing for the profitable segments. However, buying services that are considered necessary by the public is an accepted practice in Norway and a number of other countries, just not in this area. Why is it that the EEA Directive actually requires universal postal services to be available every working day, and at least five days a week, while the Council of State cannot promise the same throughout the country? My question is: why has the Ministry not dared to notify the ESA postal service in Norway and the new concession scheme, as has been done in other areas? In other words, it is likely that ESA will come back later and say that this is not consistent with the directive.
