ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e73	The representative of Ursula Evje will make a private bill.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e214	The Christian People's Party welcomes the fact that the police now have an extended access to investigate whether people carry guns in public places. The temporary law amending the police law to be adopted today is a new tool for the police and is intended as the main purpose of preventing criminal offences. The proposal for a visit could be an important tool in the fight against certain forms of urban crime and also where planned actions may have a specific mole as security-creating and preventive measures. With the development of the rest of the law on the tightening of weapons laws and a knife ban in criminal law, this extended visitation home is a natural follow-up that can help to increase the possibility of detection of illegal possession of weapons. The law shall apply for a period of three years and evaluation shall be carried out in order to gather experience gained along the way with the new provision. Following a series of serious abuses, the Government took an initiative in the summer of 1998, and former Minister of Justice Aure invited measures against violence. It was on this basis that the national lawyer made his proposal in a letter of 1 July 1998 to extend the scope of investigation into whether persons carry weapons in a public place. There were then two proposals: primarily a provision on the investigation provided for in the Criminal Procedures Act; alternatively, a provision on the visitation provided for in the Police Act. In a subsequent letter, in August 1998, the Rikslawyer concluded that the most appropriate approach would be to design a visitation rule under the police law rather than a search clause under the Criminal Procedures Act. Ransacking is a criminal tool and is used as part of an investigation into a criminal offence. The visitation rule is given as a precautionary measure as part of police efforts to maintain order and order. In this case, it is precisely the maintenance of order and order that is the main purpose, and it is therefore natural, as the committee majority has indicated, that a change should be made here with a new section 10a of the police law. The relationship with the European Convention on Human Rights is very important in this matter. Just because increased access to visitation is an intervention in the private sphere of the individual, access must be justified and limited in such a way that it cannot be affected by privacy interests and the Human Rights Convention. The Court of Justice has called for the legislation to have mechanisms to ensure that the intervention does not become arbitrary. Here, the Christian People's Party believes that it is very important to include in the provision that authorisation to conduct a visit must be given in advance by the police chief or his deputy, and that a visit can be made in a specified area and period of time. If, in other cases, a police officer finds reason to visit a person, consent must be obtained on a case-by-case basis before the visit is carried out and the consent must be recorded in writing. Specific training is a prerequisite for a police officer to carry out visits in compliance with this provision. It is important to ensure that access to the visit is provided with the intended effect. The relationship with individual groups must be taken into account here, and an evaluation should consider whether this law has had effects which indicate that individual groups have been disproportionately burdened since the entry into force of the law. It is also necessary to safeguard the interests of minors and to ensure that this group can develop a good relationship with the police. Children and minors must perceive any intervention in their presence or directly against their person as a measure designed to protect their interests. This requires a deliberate attitude on the part of the police, also in view of the fact that fundamental rights under the UN Convention on the Rights of the Child are not violated. Some have stated during the consultation that it is doubtful whether an extension of the law is necessary. The current rules of the Criminal Procedures Act and the Police Act are then considered sufficient for the police to conduct a visit. I therefore believe that this must be included in the checklist when evaluating this scheme, but would point out here that it is important that concrete action be taken to reduce destructive trends in society. Such a temporary extension of the law as referred to here is a constructive attempt to find effective working tools. The issue of violence is complex and cannot be solved with a few measures. It is the whole and the overall measures that can reverse the negative development, and this is one of many steps that are being taken in the work of a safer society.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e240	The issue we are dealing with today, with proposals for a temporary law amending the police law, is directly caused by serious cases of violence in public places. Fighting violent crime has been on the political agenda for a long time, and all parties on the Stortinget have been concerned about how one can mobilize to stop this unfortunate development. Several of the cases of violence have been related to the fact that the perpetrator is in possession of the firearms or punitive weapons put into service when a situation arises in which they react negatively for some reason. A central theme that has been addressed in the fight against violent crime has been whether the police have had sufficient legal basis or instruments to intervene. In the summer of 1998, the National Advocate-General proposed an extended access to investigate whether persons carry weapons in a public place — a change in criminal proceedings law, which was subsequently amended and incorporated into the police law. Various Document Nos were also promoted. 8 proposals with corresponding proposals for amendments. In the wake of the media debate and not least the opinions of some justice politicians at Stortinget, where the current government was almost accused of opposing extended access to visitation, it came as a surprise that Oslo’s chief police officer so unequivocally concluded that under the current provisions of the police law §7 and §10, police can visit persons arrested in connection with the fear that the person would disrupt public order. The police officer stresses that these provisions give the police wide access to investigate whether a person carries weapons. She goes on to say in the Oslo police district hearing response that it is only in exceptional cases that the suspicion criterion in the police law is not sufficient. We are also aware that other police officers have a different opinion as to whether the legal basis is sufficient, but I choose to attach trust to the head of the largest police district in the country in relation to using the home of the police law sections 7 and 10 for an extended visit. In the Central Party, we are pleased that there is now a political majority in favour of the Government's proposal to extend access to the search of persons in congested environments to search for knives, firearms and other items that can be used to harm people, this being that such access will give an important signal effect and could itself be positive and preventive. By providing such extended homes as have been proposed, one shall also be aware that there is a risk of abuse. Persons will undoubtedly be subjected to search/visitation without possession of weapons. It is therefore important to prevent the risk of abuse by means of complaints and subsequent controls, as well as the necessary instruction and training of police officers. Finally, I would like to commend the Department for good political craftsmanship, and for the prompt manifestation in Ot.prp of the signals that have come from professional and political teams. No 79 for 1998-99, with proposals for which the vote shows that there is a great deal of support. It makes visible, in my opinion, the government's will and the power of action in relation to the important task of combating violent crime. In the end, the representative Simonsen has excused me, but I trust the chief of Oslo's police when she states that according to the police law, §7 and 10, plus the proposed changes that will get a majority here today, she has the tools to do the job that we all want her to do. The representative Simonsen's description of the situation, where he says that he doesn't believe Oslo's chief of police when she says that the means she has are sufficient, I think it's more an expression that the representative Simonsen and his party have recently felt that they are on the defensive in terms of having the hegemonics in the criminal policy debate, and that they feel they have to do something dramatic. I think that's the background of the picture he's trying to create.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e268	SV wants the police to be able to enforce effectively the laws and restrictions that exist in relation to both firearms and firearms. If it is that one today does not have legislation that adequately provides these opportunities, then we are also of the opinion that one must be able to try new measures. If a person with new measures can reduce the use of violence and get more effective seizures of illegal weapons, it will be important for the population to feel safer out in public space, both in the daytime and in the evening. At the same time, SV is concerned to point out that the police officer in Oslo in his statements of January this year says that according to the current provisions of the Police Act §7 and §10, the police can conduct a visit to persons arrested in connection with the fear that the person will interfere with public order and order. These provisions allow the police to investigate whether a person carries weapons and, as is currently the case, this provision can often be used by police officers in Oslo, also for prevention purposes. The Oslo Police Internal Directive on the active enforcement of the knife ban has resulted in a significant increase in knife seizures in the last half of 1998, and the law enforcement force provides feedback that the applicable provisions will normally be satisfactory. When SV will now support the proposal for the temporary extension of the right of visitation, it is also based on the fact that the legal paragraph is to be temporary and limited to three years. The adoption of a temporary legal paragraph will make it possible to see the effect, while at the same time promising follow-up and evaluation of the new provision. During this three-year period, SV wants to assess the benefits of increased access to visitation against the experience of the Oslo police force today using the police law §7 and §10. We are also concerned with the views expressed in the hearing opinions of the Contact Committee between immigrants and authorities, the Anti-racist Centres, the Centres against ethnic discrimination and the Organisation against Public Discrimination. These organisations point to the danger of abuse and that minority groups in Norway feel that police force is being exercised with less legal certainty for them than for the rest of the population. In this respect, the exercise of the legislative amendment must be carried out in such a way that no report is given to the minority groups that they feel particularly hung or persecuted. SV is also strongly concerned with the limitations in relation to Article 8 of the European Convention on Human Rights and, in this context, demonstrates the hearing opinions of the Ministry of Foreign Affairs. It points out that it is crucial for the law’s view that guarantees against abuse have been incorporated in terms of the possibility for authorities to conduct a visit. This has been added to the new paragraph and must be followed carefully. With these clarifications, we will vote in favour of the setting.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e284	Law on temporary change to the police law — extended access to visitation — which Odelstinget is now examining will extend the police’s access to investigate whether persons carry weapons in public places. The new provision of Section 10a of the Police Act is proposed to apply for three years. The fight for a safer society and against crime is one of the main areas of government intervention. It is a particular challenge here to identify instruments such as: may face violence in public places, especially in some urban environments, where weapons are used. In this way, the law will be an important part of the general government’s work to prevent and combat crime. In the summer of 1998, on the basis of several serious violence episodes, the Government took the initiative to bring a broad set of measures against violence. As part of this work, Minister of Justice Aud-Inger invited Aure to take action against violence. In this context, the national lawyer proposed an extended access to investigate whether persons carry weapons in a public place. On 5 February 1999, the Ministry of Justice sent a proposal for a new provision in Section 10a of the Police Act concerning extended access to investigate whether persons carry weapons in a public place. The bill was based on the national lawyer's proposal, with some adjustments. The hearing bodies have been broadly in favour of the legislative proposal. Several have pointed out that there will be a need to extend the current scope of visitation in order to detect weapons. However, a number of hearing bodies have raised questions as to the need for extended access to the visit. Increased access to visitation is an intervention in the private sphere of the individual, which must be justified and limited. In order to safeguard these considerations, it is important to lay down certain restrictions in the scope of the law, and also to lay down formal requirements for its implementation. It has also been important to carefully consider privacy considerations and that the proposal does not conflict with Article 8 of the European Convention on Human Rights. The new provision of Section 10a of the Police Act is inter alia: a new tool for the police in the pre-planning of actions to detect weapons. This applies in public places, in situations or in places where violence is easily perpetrated by experience. There is reason to stress — and not least after the speeches in the debate today — that the design of this provision has not meant to distort the provisions already in place today, either in the Criminal Procedures Act or in the Police Act. The new provision is intended only as a useful supplement to existing legislation. The Ministry has also found reason to stress that the practice of the provision needs to be set up in such a way as to ensure that the public's concerns are best taken care of, in order to fulfil the purpose of the law, and that the practice is in accordance with it. The Ministry of Justice's proposal for a new regulation in the Police Act is based on the bill sent to the hearing, with some adjustments. Adjustments have been made in the context of the consultation round and apply in relation to the concept of weapons and the decision-making authority. The Ministry of Justice's proposal for a new provision of the Police Act can briefly be summarised as follows: Police may search for persons in a public place — in situations or in places where violence is easily experienced — where there is reason to examine whether the person is in possession of weapons. The visit shall only be carried out by technical means in such cases.The visit may only be carried out when the police chief, or the deputy of the police officer, has agreed in advance that the visit may be conducted in a specified area and period of time. The Ministry of Justice has found it appropriate that the provision be given as a temporary act. The period of validity has been proposed for three years from the date of entry into force. During this period, experience will be developed, both in terms of the practice of the provision and in terms of its effects. I am familiar with the position of the Judicial Committee and the various comments there, and will point out that the majority on page 4 of the vote is based and agree with the Ministry that the proposed law does not conflict with Norway's obligations under the European Convention on Human Rights. Since then, however, the majority of the Committee has proposed two amendments to the draft law on pages 5 and 6. I do not refer to them here, they have been referred earlier by the case rapporteur. I want to say the following: I take note of this, I accept it, and I perceive it as adjustments to the bill. In conclusion, I find it appropriate to mention that the Ministry aims to carry out an evaluation of the provision after it has been in operation for some time – this in order to assure me that the new legal provision will have the effect we want and will not have any negative results. So I would generally say that after many years as a big city politician, especially in this city, and after many years of experience, among other things. in the fight against organised crime, in broad contact with the Oslo Police – inter alia: the sitting police officer – was somewhat surprised that the police were going to be as unimaginable as it appeared in a previous post here. It is clear that the police themselves, according to current legislation, believe that they have the means to use them if necessary to ensure public order and security. Section 7 of the Police Act and Section 10 of the Police Act provide such homes. I can assure you that if, in the time that comes, this is an assessment that does not extend, we will, of course, act on it. I would also like to point out that this case was sent out at the hearing in February, and it is being discussed in Stortingen now, in June. It shows that a solid majority in this Chamber is able to act when necessary to set the limits in the fight against violence, to ensure that violent perpetrators are stopped and that violence is prevented. I'm so happy!
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e333	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e336	It became absolutely necessary to answer Jan Simonsen's attack both on the committee and on the right. Jan Simonsen's description of the police's helplessness when two criminal gangs stand on Karl Johan and they cannot intervene, either with search or other methods, becomes simply pathetic and faulty. The Oslo Police Chamber makes it crystal clear in consultation with the Committee that the officials at the Chamber perceive that in such situations they have the legal basis they need. It's important to clarify. Nevertheless, Oslo’s chief of police said that there are some situations where there could be useful additional provisions, such as: in the event of large events, in the case of crowds and in the case of situations where one may benefit from obtaining a prior consent in order to carry out a mass visit, e.g.: with metal detector. The description given by Rogaland's self-appointed Oslo expert is therefore ripping mad in relation to the description of Oslo's highest police authority and the description of Oslo's officials. With regard to police-Norway signals, there has been a crystal clear support for the bill, but some of our politicians, among others. in the big cities, have pointed out something they could have liked to adjust – and it has been adjusted by the Justice Committee and the Ministry of Justice. Because the Procedural Party is obviously so disappointed that the National Advocate has changed course, it is appropriate for Jan Simonsen to mention the First Letter of the National Advocate, but not the Second Letter of the National Advocate of 14 August, where he says quite clearly that the National Advocate has come to the conclusion that the proposal can be qualified in such a way that the danger in relation to the EMK is further reduced without any reduction in efficiency. That is why the national lawyer himself proposed, among other things: use of metal detector, a proposal which the Committee has softened further by incorporating the word ‘preferential’ use of detector. So, with regard to the concerns of Police Norway about a too narrow description of the time and place, the lack of the word ‘preferably’ in terms of the use of metal detector, the difference in the use of ‘person’ or ‘one person’ and the fear that the training conditions could become too complicated and too ineffective, the Justice Committee has thus corrected it in full understanding with the Ministry of Justice. But the frustration of the Progress Party over the fact that the majority of people actually take responsibility and do something, and try to get collective majority solutions, is so significant that one chooses to go to extremes that do not even have the support of the State Attorney. It is sad that it should be so, but there are lots in this room that prefer demonstration rather than result. Thank you and the price is not the basis for the majority's view, because then the police would not have had the improvement they need.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e353	I noted that the representative, Mr Devold, believes that the proposals of the Progress Party represent extremes and that the representative, Mr Nymo, felt that the proposals of the Progress Party were dramatic. So let me remind you that our proposals have been put forward as a follow-up to an initiative by the Attorney General, and that our proposal for changes to the Criminal Procedures Act, except our definition of weapons, is otherwise identical to the national attorney's first proposal in a letter to the Ministry of Justice. Our proposal for an amendment to the police law is, in fact, almost identical to the first proposal of the national attorney, but without the restrictions that are now regrettably the result of the lack of willingness of the Right and other parties to follow up actions that would work effectively for the police. When the Attorney General returned to the Ministry of Justice with a new order, it was because the Minister of Justice rejected the first proposal of the Attorney General. So he had to come back with a new and moderated draft. When the former Minister of Justice rejected the proposal, it was with two main reasons. First of all, she thought it would be uncomfortable – it says in the letter from the Minister of Justice to the State Attorney, for the dark-skinned youth to be stopped by the police. That's a pretty amazing argument. It must be far more uncomfortable for these young people to risk getting a knife in their backs, so they obviously have the same interest as all of us because it's being cleaned up. Secondly, the Minister of Justice held that there was doubt as to whether the first proposal of the national lawyer was contrary to Article 8 of the European Commission on Human Rights. But the national lawyer argues relatively strongly against such a point of view. In fact, Oslo police use an authority and opportunity that they have under the police law §7 and §10, but then it is required that there is a fear that a person will interfere with public order and order. With the example I used, where youth comes quietly walking down a street and they are suspected of having an illegal knife, but they can hardly be suspected of wanting to disrupt peace and order, it becomes doubtful if you can use that home, and if you do that, you stretch your home as far as you can. The Right really should respond now — and if they do not respond to it now, they will at least try to respond to it during a long campaign — is what is the purpose of this restriction for the extended right of visitation, which is to limit it to places where violence is easily perpetrated by experience. Why should one not be able to visit elsewhere when encountering these young people in places where violence is not actually easily practiced? It is expected to receive a reply from the Right.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e366	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Footage, see page 748]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e380	We have had a debate on this in Stortinget. Now the proposal will not be any better if we deal with it in Odelstinget, but to the President's briefing, SV will vote against the proposed position.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e385	The President has already registered that. Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 749]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e401	We are now discussing a position of the Financial Committee on the abolition of the beer law and amendments to the alcohol law and the inheritance tax law. Let me start by saying that in the case of the beer law, the proposal is primarily a statutory clean-up, with only one exception. The exception is based on the law that when the alcoholic strength exceeds 7 % vol., it could not be called beer. EFTA, or ESA monitoring body, pointed this out in an open letter dated 10 September 1998, which states that the prohibition in Section 17 of the Beer Act on the importation and placing on the market of beer with an alcoholic strength of more than 7 % vol. is contrary to the EEA Agreement. And it's a unanimous committee that joins the setting at this point. With regard to the deduction of the document fee from the inheritance tax, a large majority of the committee also concluded that amendment, namely that the document fee as an heir or a donor pays on commercial property, is now to be deducted from his inheritance tax. However, I state that this change does not entail changes to the rules on the document fee, and I am attending a larger mention of the document fee and the inheritance fee from the department at a later date. In particular, this VAT amendment is mentioned in other comments and proposals, where the Progress Party has taken up proposals specifically related to VAT and the adverse effects it has on competition in air traffic in Norway. We from the Workers' Party and the Right have made it clear in this comment on the VAT amendment that the Progress Party has addressed, that as long as the Government has not at present been able to provide a necessary basis for the treatment of VAT changes in relation to the neutrality of the aviation industry, we are not prepared today to address it in substance. But let it be quite clear that we are strongly committed to going in now and looking at these distortions of competition that are in this case. We had also hoped that the government would come to Stortinget with this case, so that we could have finished it before we took a vacation on June 18. So it hasn't happened, but we want to make it clear that we need a little bit more material before we can get a hold of it. I would also like to point out that we have now actively joined the majority that went away from the seat tax and passed on to the passenger fee. We are now also involved in the decision in the vote on the revision, where we include. will remove the investment fee for aviation from 1 July – in workshops, among others. – so that we are prepared to make the adjustments that are necessary for this part of our industry to have the right competitive conditions. With this I recommend setting.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e416	It is good that a right of deduction for the document fee in the inheritance fee relating to permanent commercial property should now be adopted. However, such a right of deduction should also be extended to several groups, and I take this into account the proposal made by the Progress Party in the vote in that area. So for the tax discrimination between airlines. I record that the representative Nordtun on behalf of the Workers' Party expresses a significant degree of willingness to do something about this. But on purpose, you actually need to vote and press the button. It's a bit of a shame, I think, that here you could do a pretty simple operation to solve this problem, and this is also based on a proposal that the government has had out on the hearing. It is clear that we agree that it is unnecessary that this has not yet come from the Government, but the Storting could have done something about it. In this way, I think it is a pity that such a proposal is being voted down. Because it is clear that competition is a major disadvantage for some Norwegian companies on the market today, and this may lead to the fact that some companies may be flagged out. It means lost jobs, that means lost tax revenue, yes, that also means lost professional skills. And that would perhaps even compensate for the possible proceeds from this by making changes in VAT legislation. What is gratifying is that there will be a majority when we review the revision of at least removing the investment tax bit. That's what we think we're happy about. I allow myself to address the proposal that the Progress Party has made in this proposition, but I must also refer to the letter sent from the Stortinge Office to the Financial Committee, which discussed the possibility of taking up this type of legislative amendment through the examination of the revision. A little dependent on the Presidency's assessments and recommendations, we'll consider coming back to that question later.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e427	Siv Jensen has addressed the two proposals she referred to.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e430	Very briefly: I will first address the proposal that is referred to in the setting from SV, which is initially not part of this odd thing proposition. The reason for this was also referred to by the representative Jensen, namely that this is the document that was available to us to promote tax proposals, although there is no separate tax proposal from the Government. I also understood that was a question that might come back to, but this is where the proposal is addressed – a proposal that otherwise affects the greatest unfairness in our tax system, and which hopefully more people will join. With regard to the other proposals, SV supports the repeal of the beer law, we do not support the proposal to deduct the document fee from the inheritance fee – we do not give priority to that type of tax relief, without any further justification for this. With regard to the proposal from the Progress Party, it is a proposal that we do not support either.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e437	Øystein Djupedal has taken up the suggestion he referred to.
