ParlaMint-NO_1999-10-20.ana.ud802e27	The called alternate of the Nordland County, Lisbeth Holand, has taken the seat.
ParlaMint-NO_1999-10-20.ana.ud802e156	I believe that the representative Hedstrøm himself, even in due course, will understand the insinuation of the question. The government's announcement of ownership and the government's policy are, of course, an expression of a desire to preserve a comprehensive Norwegian business life, and we do, in fact. In addition to some major enterprises, for which the representative Hedstrøm mentioned examples, Norwegian industry consists primarily of a undergrowth of small and medium-sized enterprises, which is the overwhelming number of enterprises in Norway, and the Government pursues an active policy towards small and medium-sized enterprises. We're also doing that in relation to larger businesses. In the case of Kværner, the company has had its special problems that are not primarily due to the state – I think the representative Hedstrom is aware of this – and that what would come about reorganisations was all prepared for. In the case of Dyno, it's way too early to say what the outcome is. It may well be a Norwegian owner. As far as high technology is concerned, we agree that we should have it to Norway, although we may have some concerns about how the representative Hedstrøm has thought in this way in Fornebu.
ParlaMint-NO_1999-10-20.ana.ud802e167	Rolf Rekvam – for follow-up questions.
ParlaMint-NO_1999-10-20.ana.ud802e170	My question is how the state exercises its ownership. According to Dagens Næringsliv Saturday, the Norwegian Bank, which is Norway’s largest bank, is owned by over 50 pst. by the Norwegian State, decided to grant a loan to one of the shareholders, so that he can purchase the entire company. The goal is, among others: to sell it out or, where appropriate, to slaughter it. So my question is: is this a good way to exercise state ownership, and should this possibly have consequences for those who exercise state ownership in this case?
ParlaMint-NO_1999-10-20.ana.ud802e179	The state ownership or ownership of major Norwegian banks is not exercised in such a way that the state sits and decides to whom loans are given and how much. Of course, day-to-day business operations must be managed and managed by the bank. It would be completely impossible to deal with a state ownership if the State were to sit and decide on current loan requests, as the representative of Reikvam set out in this example.
ParlaMint-NO_1999-10-20.ana.ud802e184	Admits Gabrielsen to follow-up questions.
ParlaMint-NO_1999-10-20.ana.ud802e187	We are in a situation where more and more companies are being bought up, and more are likely to be. One of the reasons for this is, of course, that the conditions for Norwegian ownership are not competitive compared to those for foreign ownership. And we know that the Labour Party's policy is suitable for more and more people to come into a situation where they can be bought up. The Prime Minister referred to the announcement of ownership, where the government strung out a course that I think might have a lot to do if you follow it up through the annual decisions. Because it is actually the case that we had followed the Workers' Party's proposal last year about NOK 2.1 billion in increased taxes on Norwegian ownership, of course the situation would have gotten even worse, by increasing taxes on ownership, by sharing model, by shipping tax, etc. What does the Prime Minister think could be the consequence of, for example, further worsening the framework conditions for Norwegian ownership by, for example, a billion or two in this year's budget?
ParlaMint-NO_1999-10-20.ana.ud802e194	With regard to the part of the relevant proposals of the Workers' Party mentioned by the representative Gabrielsen, the government parties have also had their clear objections to them. Now we are in negotiations with the Labour Party on a possible budget line for the year 2000 and are discussing tax and tax issues in this context, and therefore I do not want to comment on them in detail now. However, the government parties and the Government have the clear general guideline that changes in the tax regime should not be of such a nature as to pose a serious threat to businesses, and thus to jobs. I do not ignore the fact that it is possible to collect any more tax revenue from people who have large capital incomes in Norway, without affecting businesses and jobs. Finally, consideration is important. Now we have a high level of employment, and we have to take care of it for the most part.
ParlaMint-NO_1999-10-20.ana.ud802e199	The last follow-up question will be from Steinar Bastisen.
ParlaMint-NO_1999-10-20.ana.ud802e203	I have registered through the press that the government is entering into the agreement to incorporate the Multilateral Agreement on Investment, called MAI, into the WTO negotiations. Does the Prime Minister see that by incorporating this agreement into the WTO, the country is open to even more purchases from foreigners, and does the Prime Minister see that this can be a problem?
ParlaMint-NO_1999-10-20.ana.ud802e208	After the information I have on the preparations for the Seattle WTO round, it is not relevant to include in the WTO negotiations what was being discussed in the context of the MAI Agreement, in the form it had in connection with MAI. In the case of any investment agreement, there is a much more limited arrangement now under consideration. The Minister of Foreign Affairs, in Stortinget, has stated that the Government sees clear contradictions towards involving investment in the forthcoming WTO negotiations. I understand that representatives of parties representing a majority on the Stortinget have had a different view of it. We've taken note of that. What is crucial is how this is handled in the context of the WTO, and how one here can take care of important concerns, such as: labour standards, developing countries' interests, etc. This is now being worked on in the context of the preparations for the Seattle WTO round, and the Government will, of course, withdraw the Stortinget at a later stage.
ParlaMint-NO_1999-10-20.ana.ud802e213	Let's go to the next main question.
ParlaMint-NO_1999-10-20.ana.ud802e216	I also have a question for the Prime Minister, but this is something quite different, namely the financing system for Norwegian hospitals. The Prime Minister boasted in the election campaign of the good results with effort-based funding. In addition, we have, through negotiations, inter alia: with the Progress Party, obtained by the fact that this is an allocation which shall be an estimate. However, the Government has now changed unit prices and put a ceiling on the number of operations paid with input-based funding at fixed rates, and has also reduced the framework appropriations, so that hospitals are now in a worse situation, and effort-based funding is changed and discredited. Will the Prime Minister provide a review of this system and also put in place a mechanism to negotiate with hospitals about changes in the funding system, so that we avoid these sudden negative effects on Norwegian hospitals and hence patients?
ParlaMint-NO_1999-10-20.ana.ud802e225	It is true that one has made certain adjustments to the arrangement, but – in the government’s opinion – not with the negative effects expressed by the representative Hagen. On the contrary, it has been intended to achieve a system that is more consistent with the intentions of the input-based funding system towards hospitals. But the Ministry of Health is in a rather continuous dialogue about this with the hospital owners, i.e. the county municipalities, and is of course willing to discuss the experiences and views of the county municipalities. We have no desire to make this system worse or more unpredictable for the county. On the contrary, we have positive experience with the input-based funding system and want to further develop it, but we also need to have a balance between what is paid through this scheme and what is paid in other ways. Because it is not every service within the hospital that it is appropriate to enter under this system. That is why today – as far as I remember – it is a percentage of 50 in terms of input-driven financing, and we believe that it is a reasonable point of balance.
ParlaMint-NO_1999-10-20.ana.ud802e230	I must say I disagree with the Prime Minister. The signals and clear statements from the hospitals – I am not talking about the bureaucrats in the county office, it is the hospital directors who are responsible – indicate that there is a unison perception that adjustments or changes have now been made that are very negative compared to what was the main purpose of the input-based funding, namely that the more operations a hospital carried out, the more revenues it received. You should have the same payment for an operation, regardless of the roof and stuff. It is where these adjustments effectively put an end to increasing the activeness of necessary operations. What I'm asking is to get a system where there is a kind of negotiation and agreement with the hospitals, and that it is the basis for making proposals for the State budget for the Stortinget, so that the Storting automatically learns in the documents what the hospital directors claim the consequences of proposed changes are, so that the Stortinget gets a proper basis and not just the ministry's one-sided view.
ParlaMint-NO_1999-10-20.ana.ud802e235	It is clear that the Government and the Ministry must deal with the county municipalities as owners of hospitals, but also of course obtain information and views directly from hospitals through hospital directors, chief doctors, etc. We are willing to discuss views and experiences on this if there are some unfortunate results, but I cannot see that the adjustments that have been made now have such dramatic consequences as the representative Hagen says. What I remember from the debate on this earlier this spring was a dialogue between the ministry and the county councils on whether there were bills written in connection with the input-based funding system that really didn't belong there. It got you into a system, and I expect that if there's any disagreement now, you'll have a dialogue that allows you to come up with a system.
ParlaMint-NO_1999-10-20.ana.ud802e240	There will be follow-up questions – Asmund Kristoffersen.
ParlaMint-NO_1999-10-20.ana.ud802e243	The funding system may be an important clue to more patient treatment, but after two years of the scheme, we see results that are very worrying, among other things. rewards the system that one actually does the same thing from one year to the other. It is also apparent that hospitals are looking after ‘lighter’ patients and putting them ‘bigger’ on the waiting list. It seems to be the situation over there. The adjustments now made to the State budget do not seem to affect this. It is rather that the economy of hospitals seems to be getting worse, after the reports I have received from a number of hospitals in the country. I therefore have to ask the Prime Minister: Is he willing to go in quite quickly and look at the system errors that may lie in the system, which make the system unpredictable for hospitals – that one year after the treatment has been carried out, he gets involved in his expected income – and then that one also has to adapt the system to «bigger» patients?
ParlaMint-NO_1999-10-20.ana.ud802e250	The examples mentioned by the representative Kristoffersen are to the extent that the input-based funding system does not capture all the needs of a hospital, and that it is therefore appropriate to have a combination of such a system, which has largely worked positively, and framework transfers. It is clear, as I also said in my reply to Carl I. Hagen, that when there are reports that show the need to discuss adjustments in the system, the Government is more than willing to do so, because we want to have a funding scheme for our hospitals that is primarily for the benefit of patients, so that as many patients as possible get the healthcare they require. Let me add that now the State budget is being dealt with in the Stortingen, and of course we also welcome the views of the Social Committee and the Stortningen on these issues, as explained in the budget.
ParlaMint-NO_1999-10-20.ana.ud802e257	Last Follow-up Questions – John I. Alvheim.
ParlaMint-NO_1999-10-20.ana.ud802e261	The input-based funding has so far been very effective and responded to expectations regarding reduced waiting lists in particular. The current state budget, cut in unit prices and a non-payable activity requirement, of SEK 480 million. NOK, gives the consequence that hospitals will receive SEK 480 million. for the treatment they had to carry out in the year 2000. My question is similar to that of Asmund Kristoffersen: Will the Government be willing to enter into negotiations with the county councils and hospitals at the beginning of 2000 in order to try to correct these distortions, so that patients can be treated more effectively in the year 2000?
ParlaMint-NO_1999-10-20.ana.ud802e266	As I have already said, it is clear that the experience with the system and the adjustments to the system is the Government's intention to have a dialogue with the county council and hospitals about, so that the system can work as well as possible. The greatest possible number of patients shall receive the best possible health care, and efficiency shall increase without compromising quality. I agree with the representative Alvheim that this system has largely worked positively, efficiency has increased. There has been a need to make some adjustments, we have to look at their impact and assess them. We also welcome views on this from the Storting Social Committee and the Stortinge in the course of the state budget treatment now in the autumn.
ParlaMint-NO_1999-10-20.ana.ud802e271	Let's go to the next main question.
ParlaMint-NO_1999-10-20.ana.ud802e274	My question goes to the Prime Minister. In several articles recently, he has been very deserving of the rapid pace of change in Norwegian society and globalisation, and says, among other things. in the evening post today very right that we need the will and ability to innovation to keep pace. The more surprising it is that in his articles he does not say very much about what this means in political terms, and there are particularly two areas that amaze me. One is that once again he omits to talk about the clear improvements that are needed in the Norwegian school system in order for us to have this capacity for innovation, and the other is that he makes the issue of value creation almost a matter of betting more on the SND. Is the last thing that he actually takes into account that, in budgetary terms, he has to swallow tax changes that are detrimental to businesses and jobs?
ParlaMint-NO_1999-10-20.ana.ud802e279	As far as budgetary negotiations are concerned, I think the Right-Leader is aware that they cannot be conducted through the Parliamentary Chair. Nor was it done the previous two years when we had negotiations with the Right. But, of course, we do not want changes in the tax system, which are a serious threat to Norwegian businesses, and which could lead to job closures. On the contrary, it is now important to take care of the high level of employment. But we're discussing possible action with the Workers' Party, so that we get better distribution effects from our tax system, and so that those who had to earn unreasonablely and pay unreasonablely little taxes, should not continue to do so. The two needs I think for my part it should be possible to combine, but one should proceed gently. As regards innovation, the Government has included in the State budget, and also by other means, proposals for action in the education sector to contribute to this. One of the areas of activity within the school budget for 2000 is a very strong increase in the allocation of education in information and communication technologies, which may be the most important in terms of innovation. Furthermore, as is well known in the State budget proposal, increased efforts have been proposed in the field of secondary education and the development of the teaching role. Finally, I must point out that the proposal for a new research budget for the year 2000 represents one of the strongest efforts in research that has taken place at all. Among other things, we do. received a significant reward from the Main Organisation of Industry. This is an increase of approx. 650 million. kr. The research fund has increased, and the budget is increasing by over 7 pst. So I don't want to accept the statement that the government doesn't take action to increase innovation.
ParlaMint-NO_1999-10-20.ana.ud802e286	What the Prime Minister now says about research, I can also say positive and pleasant things about, but that's not what I asked about. I asked for improvements in the Norwegian school system. And then there's one challenge that's more obvious than anything else, and that's that we have to do something serious about the failure that we have in the teacher recruitment. Then my question is to the Prime Minister: how is it that the Government is postponing and postponing its proposals to improve this recruitment? Otherwise, I have to say to the tax question that the point must also be clear on what you don't want. I think the Prime Minister well remembers that last year's Right expressed very clearly, also from the Storting before the negotiations, that we would not have tax increases. Now the Prime Minister is considerably more vague as to whether it will be possible to accept that we will receive tax changes that are detrimental to businesses and to jobs. And there is another question that arises after what the Prime Minister said: Does the Prime Minister really believe that it is possible to hit the business owners without affecting the companies as well?
ParlaMint-NO_1999-10-20.ana.ud802e293	To take the last one first, it's quite a matter of what tax measures you're going to take. Some tax measures could also affect businesses. They have therefore been negative to the government. I think it's possible to find other measures that primarily have a distribution effect, and that work in relation to those that have unreasonably large capital incomes without benefiting business, and that's what we're looking for in that case. The fact that the right and the centre parties have had a different view of tax policy and taxation is nothing new of the year. That has been the case before. We believe that the private sector must also contribute to the necessary cooling of the Norwegian economy, not just the public sector. When I allowed myself to mention research, it's because it's very important in terms of innovation. With regard to the recruitment message, it is better that it be good and that it comes after a dialogue with the teacher organisations than that it comes first and foremost quickly. But it will be promoted in a relatively short time.
ParlaMint-NO_1999-10-20.ana.ud802e302	There will be follow-up questions – No pay.
ParlaMint-NO_1999-10-20.ana.ud802e305	The Prime Minister referred to the growth of research appropriations in the budget. But if you're going to get the right idea, you have to see the relationship between university appropriations and research institutions and research posts. Then my guess is that at best it's a zero budget, i.e. a zero-growth budget. But what is even more worrying is that the draft budget does not propose a single new recruitment position for the entire Norwegian university system. I want to ask the same key questions as the representative Petersen raised: is the government at all concerned with the recruitment of people to serve the Norwegian school and the Norwegian research system?
ParlaMint-NO_1999-10-20.ana.ud802e312	The last question should probably be a little unnecessary to ask, because I think the representative's pay is perfectly aware that the government – as much as his own party – is concerned with a better recruitment to the Norwegian school and to the teaching profession in particular. Firstly, in the Government’s draft budget, the proposed measures are intended to play a part in developing the teacher’s role: increased access to leave schemes, increased access to business support schemes to draw on useful experience from them, attempts to develop the teacher’s role, among others. where other staff are more involved in the school in order to relieve the teacher of non-pedagogical tasks so that the teacher can learn more. The recruitment message comes, and it will also come as a result of a dialogue with teacher organisations. In the case of universities, we get to take the budget debate there when the budget debate comes. Of course, with regard to the proposal for funding, it has something to do with the search for universities, which in some areas is too downward due to falling youth unemployment.
ParlaMint-NO_1999-10-20.ana.ud802e321	Karin Andersen – for follow-up questions.
ParlaMint-NO_1999-10-20.ana.ud802e325	I'm a little startled by the Prime Minister's waiting and watching attitude in recruiting and retaining teachers in school. It's almost as risky for Norway's future as humming with the state's wealth as you do on the owner's side. My question to the Prime Minister will then be: If KS were to make a salary settlement this year that is good for other groups to be recruited, and the government would also have to see the salaries of teachers increased, is it so that the government is prepared to follow this up in the revised national budget? The warning lights now flash strongly on many teaching rooms around, where teachers are blinking in the newspapers and looking for other positions. Is it so that the Government is bidding on it? Or will the government wait until the recruitment message comes, and maybe it'll be another year and the classrooms will be even more emptied for the people we need to have there?
ParlaMint-NO_1999-10-20.ana.ud802e332	First of all, I would like to reject the fact that the government has a waiting and seeing attitude. Even if that statement is repeated, it's not correct for that reason. The government, like the parties at Stortinget, is committed to strengthening the recruitment of the teaching profession. That is why we are in a dialogue with teacher organisations, which is why the recruitment message is promoted, and therefore, of course, we are concerned with the forthcoming salary settlement, both in terms of teachers and other professional groups where there is a need for enhanced recruitment. There are also a number of other such groupings, including: in the health and care sector. A responsible government must also handle wage negotiations responsibly. It's up to this government to do. But it is clear that the economic consequences of the spring wage settlement will have to come back to the Stortingen to the extent that the government budget has not taken sufficient account of it.
ParlaMint-NO_1999-10-20.ana.ud802e337	The next main question is asked by Jens Stoltenberg.
ParlaMint-NO_1999-10-20.ana.ud802e340	I also have a question for the Prime Minister. It is linked to the fact that any fair tax system is the characteristic of paying taxes according to their ability, i.e.: that those who have much pay more taxes than those who have little. Unfortunately, there are many examples of the failure of the Norwegian tax system. The last examples we got before the weekend, when a large number of celebrities with high incomes, some million incomes, were highlighted, and that by organizing themselves through limited liability companies they reduced the tax to 28 pst. This means that we have examples that people in liberal professions – lawyers, consultants, artists, dentists – can easily organize themselves to get 28 pst. tax, while nurses, bus drivers, teachers and others pay up to 50 pst. tax. These adjustments are due to changes in the tax system implemented in recent years, which has made this type of adjustment easier. Does the Prime Minister think this is a problem for tax and social morality?
ParlaMint-NO_1999-10-20.ana.ud802e347	Yeah, I mean it is. Therefore, there is reason to consider adjustments to the tax system. There is a broad consensus that we should have a tax rate on capital income that is not so high that it drives the capital out of the country. That was some of the background to the tax system we introduced in 1992. So it's important that someone doesn't throw out the baby with the bath water. One shall be cautious when making changes to the tax system so that it does not have unintended effects on businesses and jobs. Therefore, the government parties do not simply jump on all the amendments proposed by the Workers' Party in terms of the tax system, but we are willing to engage in a dialogue – which we also have in these days – on whether it is possible to find a way to make the system more equitable without affecting businesses and jobs. I guess the Labour Party will also be interested in keeping a high level of employment, as we now fortunately have.
ParlaMint-NO_1999-10-20.ana.ud802e352	I am pleased that the Prime Minister is concerned that we should maintain a high level of employment and avoid hitting Norwegian businesses, but first of all, it is a problem that one of the proposals presented by the Government is proposals for increased general tax. It hits absolutely all Norwegian businesses in the billions class. The second proposal from the Government is to increase the top tax on ordinary Norwegian employees – tens of thousands of employees with around NOK 270,000 in income will then receive 13 pst. tax increase by going from 35 to 50 pst. taxes on overtime or extra income. What the government is doing is the very opposite of what the prime minister says. Indeed, companies are being taxed more in the proposals they have made, and the tax on ordinary employees is being increased. Does the Prime Minister see that this is a problem?
ParlaMint-NO_1999-10-20.ana.ud802e357	If the impact of our proposals had been as negative as the representative Stoltenberg now gives the impression, there would have been a problem. But as usual, it's painted with a fairly one-sided brush. To take the top tax first: in fact, the entry point of the top tax proposed by the Government is a little higher than it was when we introduced the tax system in 1992, under the Labour Party regime. It is true that a lot more people have come out of work in these years, so that there are now more people paying top taxes. But the real value of the point of entry is actually not reduced. That's about. 2 000 kroner higher than was the case with the Labour Party's proposal in 1992. With regard to the proposal we made last year to increase the capital tax from 28 to 29 p.m., it is fully possible to shield employees against such an increase in the general tax rate. It can be done by other tax measures, so that the increase occurs on capital income, but the Workers' Party has so far not been willing to discuss it.
ParlaMint-NO_1999-10-20.ana.ud802e366	There will be follow-up questions – Hill-Marta Solberg.
ParlaMint-NO_1999-10-20.ana.ud802e369	It is always interesting to hear what the Prime Minister thinks about the principle aspects of the tax system, regardless of specific budget proposals and regardless of negotiations. When it is now revealed that there are obvious possibilities in our tax system for major adjustments, can one understand the Prime Minister's reply to Stoltenberg today so that, in his view, it is not intended that there are aspects of the system that are not desirable and that have not been intended when one has politically opened up such opportunities?
ParlaMint-NO_1999-10-20.ana.ud802e374	I believe that not only the Government and government parties, but also the Labour Party and others, should be willing to look at their own proposals and the effects of the tax system on which there was quite a broad consensus in 1992. It's clear that when we can read that artists and others are actually making wages through a dividend from a corporation and thus dropping a much lower tax rate than the usual employees are doing, I think it's clearly an unintended effect of a system that we're willing to discuss adjustments to, but not in such a way that it can affect business, businesses or jobs and thus threaten the high level of employment. I hope we have a common interest in not happening.
ParlaMint-NO_1999-10-20.ana.ud802e379	The next main question will be from Øystein Djupedal.
ParlaMint-NO_1999-10-20.ana.ud802e383	My question is also to the Prime Minister. In a previous succession here, it was found that the government has a rather passive relationship with what goes on in ownership. And a result of that is the merger between Telenor and Telia in these days – a merger that the Christian People's Party as late as the election campaign in 1997 was opposed. It confirms that the friar standing in the yard, and not the government's will, determines the agenda in a way. Now I see that the government claims that this is a balanced agreement. It remains to be seen how things evolve. Let me ask you a specific question. Many of the important business areas of the merged company are undecided in terms of location, both mobile and Internet, which are two of the fastest growing areas in terms of telephony and telematics. My question to the Prime Minister is: What opportunity does the Government have for the government to ensure that the positive effects of this type of head office position remain in Norway, that they do not just go abroad, and that the positive effects are therefore also felt abroad?
ParlaMint-NO_1999-10-20.ana.ud802e392	Firstly, it is not more correct if the representative Djupedal also repeats that the government has a passive relationship with the issue of Norwegian ownership. It is and remains incorrect, even if the representative Djupedal repeats the claim. Secondly, I think that Telenor-Telia was a very poor example of so-called inaction. Because there's one thing the government has been active for up to the last second and actually overtime, it's in the merger between Telenor and Telia. The government was in the process of taking care of Norwegian interests and ensuring that a balanced and equivalent agreement was reached. And I understand that the political environment, too, has given the government a back cover for that. My opinion is that the agreement is balanced. We get a Norwegian boss, you get the head office in Stockholm, but we get the international department in Norway. In the other areas of business, this shall be discussed on an ongoing basis by the management and board of directors of the new company on the basis of commercial principles and within the framework of specific integration principles. This, I think, is natural for the company to do, and that everything is not managed in detail by the two state owners. In my view, it is also important to have sound, strong Norwegian enterprises with head offices in Norway, because it is crucial in terms of knowledge of Norwegian conditions and of Norwegian business to which such financial institutions are to serve. It's also going to be a guiding principle and an important criterion for the Government when we put these questions before the Storing in the credit statement at the end of this month.
ParlaMint-NO_1999-10-20.ana.ud802e399	With respect to reporting, the Prime Minister talks a long way to go. As far as I remember, this government hasn't put down the foot of a single merger so far, which the government almost put together was contrary to the time it was in opposition. It's just to take the whole line away from Hydro to bank shares and to what else you might want, and Telenor-Telia joins in the same pattern. One of the most important points of ownership in an increasingly liberalised world is ensuring that there are ring-effects to the society that has built up the company. Telenor is built in Norway by Norwegian subscribers and telephone users for many years. Now I'm not going to go into whether the merger as such is balanced, but my point is, as the Prime Minister did not want to go into more detail, how we ensure that the balance is maintained by adding important functions to Norway. Or is it that the Government has no control over the further development of the company at all? It is very important for the Norwegian research community and to ensure that the country has the positive effects of this, for example: The Internet and mobile phone are added to Norway.
ParlaMint-NO_1999-10-20.ana.ud802e404	Now I think for the first representative, Djupedal, creates a contradiction between two things that don't necessarily have to be the opposite. Mergers in business are not necessarily contrary to national ownership. In an economy that's open like ours, we're a globalized economy, which the representative Jagland was in at the beginning of the spontaneous questioning, the business pattern couldn't be static. It's going to have to change, and we're going to have to decide on those changes. In the case of the Norwegian-Swedish telecommunications company that is now being established, the representative Djupedal knows that the Norwegian State will be one of the heavy owners of the new company, also represented in the board of directors. We have also secured the company's top manager. Consequently, it is in the nature of the case that Norway has a significant influence on the development of this company, including the location and allocation of business lines. If not, we would not have entered into this merger agreement.
ParlaMint-NO_1999-10-20.ana.ud802e411	Let's go to the next main question.
ParlaMint-NO_1999-10-20.ana.ud802e414	My question goes to the Minister of Social Affairs. In the national budget, the Government of Bondevik announced restrictions on the contractual pension scheme. To NTB, the Minister of Social Affairs has said that she believes that access to early retirement through a contractual pension is too expensive, and that she wants changes that make it less attractive to retire early. Income policy cooperation has been one of the pillars of the positive economic development we have had in this country in recent years. My question to the State Council, Kleppa, is: What is the Government's view of tariff matters and tariff agreements?
