ParlaMint-NO_1999-06-08-lower.ana.ud224e91	The representative, Kenneth Svendsen, will make a private bill.
ParlaMint-NO_1999-06-08-lower.ana.ud224e180	When someone enters into an agreement, there is initially a matter between the parties that do. But for some time, however, society has had some sort of regulation, and not least a review of the terms of the agreement. Already in King Christian The Fifth Norwegian Law of 1687, we have rules on null and void agreements, and provisions from them are still considered to be the law in force. Since 1918 we have had our general contract law. But it has shown little suitable for regulating the more specific agreements. That's probably one of the reasons why banks and financial institutions, up to the present day, have basically made progress that they want in relation to their customers. Lack of laws regulating agreements between banks and customers has allowed banks to spare themselves at the expense of the usual consumer. The use of services from financial institutions has increased dramatically. Hundreds of contracts are made every day. Without any rules of the game, all experience shows that it often becomes the strong and professional party, the bank, which can dictate the conditions to the amateur in the field, the consumer customer. We already have special laws on contracts for the purchase of credit, the purchase of movable property and the purchase of real estate, and finally we are dealing here in Odelstinget with the most necessary regulation also of financial services agreements. I think that the new Financial Contracts Act will be suitable to tame the banks and put customers in a much better position. The Committee agrees with the Government that with this law we will have a more balanced relationship between financial institutions and customers. The legal situation becomes clearer and, hopefully, competition will become more effective. The Committee broadly endorses the Government’s proposals. The majority just add a couple of adjustments that we think will make the law even better. The need for such a law is still documented through stories about, for example: people who suffer significant financial losses because of the unscrupulous misuse of bank cards, the pension law enforcement couple who have to leave the house when the security liability is asserted, about loans that should never have been granted, and about the banks that legally steal interest income from the customers. Since the parties to a financial agreement are very rarely equivalent, the financial institution, as the strong party, should have a very special responsibility for acting fairly and cautiously, and should ensure that the customer really knows what she is signing. Therefore, the new law introduces disclosure rules. Before concluding an agreement between the bank and the customer, the bank must provide all information in writing about the agreement. For example, an account must be created: the bank shall disclose the effective interest rate, all costs incurred in using the account, guarantees and responsibilities. The same terms and conditions must be included in the contract in writing. I would like to stress that it is important that this information is provided in a way that is understandable to an ordinary consumer, and that the banks are aware of both the form of presentation and the use of language in it. One thing banks don't specify the size of today is the much criticized fleet revenue. The way in which banks calculate interest income means that an amount of money transferred from one account to another does not, for a given period, bear interest neither for the payer nor for the payee. The banks themselves take the interest income. This period is called the float period, and the banks take their float income. It's hard to get any closer to organized theft. Until now, financial institutions have been fully entitled to provide and to decide for themselves how many days they could do so. The new law now sets a settlement date. Until that date, the payer shall receive the interest income from the amount and from the settlement date the payee shall receive it. With today's technology, it only takes one key pressure from the money has moved from one account to the other. When the money was transported around the country by a man on a horse, it was correct for the payment agent to say that the money was outside the system for a few days and thus not bearing interest. Today the money is not moved physically, they're just numbers on a computer screen. No one knows how much fleet revenue the banks provide, but the estimates are several hundred million dollars, maybe into billions of dollars. Since fleet revenue is a hidden income, it is also difficult for a customer to know how much interest income she loses. In addition, it stimulates less efficient payment systems. The longer the financial institutions spend on transferring the money, the larger the fleet revenue they calculate. Technology has made money everyday easier for both customers and banks. The bank card makes banking services much more accessible and has become indispensable to many, but unfortunately it also gives thieves greater access to other people's account. Many card users have experienced losing thousands of dollars on the misuse of the card by others. If the bank believes you are charging for the abuse, you will not get the money back unless you file a case, either for the bank complaint subject or for the court, and prove your innocence. This is going to be turned on the head of the new law. Now it becomes the bank that immediately has to return the stolen amount, or raise a case if it believes that the customer has done something reprehensible. In addition, restrictions on the liability of the card user are imposed. Although you have been grossly careless, e.g. with card and code and left both parts in the same place, you should not lose more than what was available in the account, and in any case not more than NOK 8 000. Liability beyond that can only be imposed if the carder himself has actively participated in the abuse or has actively contributed to it. In the case of loan agreements, the majority of the Judicial Committee, in addition to the obligation to disclose information, also agrees that banks should be subject to a non-advisory obligation. The Bank shall advise a client in writing not to raise a loan if the bank has to assume that the customer's financial standing or other circumstances indicate that the borrower should seriously consider not taking up the loan. If that obligation is neglected, the borrower may discharge all or part of his obligations. Financial institutions have knowledge, experience and judgement in relation to whether it would be appropriate for a borrower to raise loans, which are available to the fewest borrowers themselves. Then it is natural that the bank takes a greater responsibility than today. For this reason, the majority of the Committee considers that it should be a legal obligation for banks to give such advice, which is also happening in practice today. For loan customers, it still dumps into the mailbox letters from the bank about raising the interest rate on the loan. The justification for this lifting is very often vague and there is also a high level of discrimination among customers. It may seem like a paradox that a customer with payment problems such as punishment often receives even higher interest rates and thus even greater payment problems and less ability to discharge his obligations. There is now a requirement that interest increases made unilaterally by the financial institution should be legal only if they are granted prior access to it in the loan agreement. In addition, the reasons for the change shall be given in writing in a concrete and factual manner six weeks before the initiation of the cancellation. General terms with references to your or your daughter are no longer enough. Unwarranted discrimination against customers is also not permitted. This means, of course, that individual assessments are still available in relation to the setting of interest rates, but there must be justified and factual discrimination. Some customers experience that their loan has suddenly received a new owner, an owner who may not even be a financial institution, and who acts much more offensively, perhaps even more aggressively, than the bank in which the customer in its time took up the loan. Restrictions are now placed on the ability of financial institutions to transfer the receivables. The customer shall not be in a worse position after the transfer. The transfer can only be made to another similar financial institution because the borrower must be able to expect to relate to the same type of institution throughout the loan relationship. In addition, the customer shall be informed that such a transfer is to be made so that he can redeem or relocate the loan if he so wishes and finds it possible. The majority of the Judicial Committee also opens up to the customer, in any form whatsoever, the right of pre-emption of his own loan in the event of a transfer. The Workers' Party believes that this is a point that should be examined in more detail and therefore asks the Government to come back to the Stortinget immediately with proposals at this point. We mean immediately. We hope that when we now adopt this Financial Contracts Act, it does not reach old age until we introduce a pre-emption point for the borrower. However, the Right Party and the Advance Party feel ready to go on a legal text already today in Odelstinget. Tragic reports say that it is often the guarantor who knows at least what obligations she has taken on and who is unfairly hit when security liability is invoked. This is why the law contains more rules that impose better information on banks to the guarantor and that limit the bank's ability to squander the self-suspector. The obligation of renunciation also applies to the guarantor if his financial standing must be considered to be too weak. Then she is also to be discouraged in the same way as the borrower. The guarantor shall also be disclosed if the bank has not advised the borrower to take up the loan, while it is nevertheless being taken up. The liability of the guarantor is further limited in several ways. She shall not be liable for more than the amount agreed upon at the time of conclusion of the contract. Liability shall be reduced as the loan is disbursed and the liability shall not exceed 10 years. The banks also have a completely different obligation to disclose any default and change in the loan agreement, so that nothing can be surprising to the guarantor, and also to enable the guarantor to intervene with the borrower or otherwise contribute to the loan relationship. It is also very important that more demands are made on banks to try to recover their money from other assets of the borrower before the bank becomes aware of the guarantor. Rules that protect the customer and provide it with better legal protection are particularly important for ordinary individuals. Therefore, it is not generally possible to derogate from the rules of the law voluntarily through contracts where there is a consumer who is the one party. However, in business, some of the rules may seem both bureaucratic and heavy-weight in everyday life. It is not the intention of this law to make everyday life more difficult for our many businesses. Moreover, it is not always as clear that it is the customer who appears to be the weak party, for example: if the customer is a large enterprise. It is therefore possible to derogate from many rules in the field of business. But it's not about rules that it's of public interest that we now get, like removing banks' fleet revenues. I'm glad that through the Financial Contracts Act, we're now putting our hands on the banks. The Banking Law Commission has done a thorough job as the admission to this law. In this article I have just jerked off to give a few tastes from all the new regulations in the law. Overall, a number of measures have been discussed and most of them recommend the adoption of the Odelsting Committee. Then it is time and practice that will show whether adjustments are needed in the law to ensure, in particular, reasonable conditions for the consumer in his contracts with the financial institutions.
ParlaMint-NO_1999-06-08-lower.ana.ud224e240	Is the representative of Mr Tömerås to make proposals?
ParlaMint-NO_1999-06-08-lower.ana.ud224e243	I'd like to do that. I would like to take up the proposal in the vote that the Labour Party is behind.
ParlaMint-NO_1999-06-08-lower.ana.ud224e248	The representative, Mr. Timberås, has taken up the proposal she referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e251	The Financial Contracts Act which is being discussed here contains radical improvements in terms of clarifying contractual relations between financial institutions and clients. The main aim of the proposition is to create a clearer and more transparent legal status, balanced contractual conditions for customers and effective competition. It should be noted that none of the hearing bodies has objected to the introduction of legal rules on financial agreements and financial operations. The comments of the hearing bodies are based on some of the proposed rules. On behalf of the Progress Party, I would like to touch on some of the points of the law that we believe are essential to highlight. It is important to ensure that the customer has a full overview of the terms and conditions prior to the conclusion of an account agreement. Written information should be provided, inter alia: the nominal and effective interest rate, the cost of using the account, any restrictions on the use of the account, responsibilities and the applicable deposit guarantee rules. It is worth noting that there are objections that the system is becoming difficult in business terms, so that the rules can be waived in this area. The current interest calculation practice implies that amounts transferred from one account to another, such as: the transmission system, today for a certain period, is not an interest-bearing one, neither for the payer nor for the payee. This period is referred to as the float period. It is currently the banks and financial institutions themselves that lay down rules for the calculation of interest in respect of deposits, withdrawals and transfer of payments. The number of float days for form-based transmissions is estimated from two to four days. The Progress Party considers that a legislative change is required to the maximum in this context. The current interest-rate accounting practices of financial institutions are tightened up to substantially limit their access to the calculation of fleet income, i.e. an improvement for customers, so that they do not lose interest on their capital in the case of transfers. The main principle must be a float-free payment system. The proposal will not significantly impair the competitiveness of Norwegian institutions in relation to foreign institutions operating in Norway. Foreign institutions will initially be subject to Norwegian contract law rules for their activities in Norway. With regard to the misuse of an account, the question arises as to whether the institution or the account holder should bear the loss and, where appropriate, the burden of charging the abuser for the amount. Today, this problem is essentially not regulated either. The credit purchase law of the day applies only to certain types of payment cards. The objective liability of the card holder is currently limited to 500 kroner. With today's electronic services and many possibilities for accessing an account, it is very important, in the opinion of the Progress Party, that the customer can be sure that the money will not be misused as long as you are not grossly negligent. The liability of the account holder is conditional on the legitimacy of the person who committed the abuse and on the fact that the burden has been possible as a result of deliberate or gross negligence on the part of the account holder. The starting point is that he must wear the entire wallpaper. Furthermore, the Progress Party is of the opinion that provision should be made for a non-advisory obligation in cases where the financial institution has to assume that a borrowing would be irresponsible. The Progress Party and the Workers' Party agree that rules should be laid down in law aimed at preventing consumers from making bad borrowings, and therefore propose a rule of non-advisability now. The rule should be that if, prior to the conclusion of a loan agreement or payment of the loan to the consumer, the lender has to assume that the financial capacity or other circumstances indicate that the borrower should seriously consider refraining from borrowing, the lender shall inform the borrower in writing. If the lender fails to do so, the borrower's obligations may be relaxed to the extent that this is reasonable. This relationship I now outlined is to be found in section 47. In the case of the applicable law, the financial institution has no general obligation to advise a guarantor from issuing a surety promise where questions can be raised as to whether it is advisable for him or her to bail. In too many contexts, several people have had to leave the farm and land on bail. The Working Party and the Advance Party also agree at this point that the institution should be obliged to inform the guarantor of that fact if it has advised a consumer borrower not to take up the loan. The lawfulness of information failure at this point shall be such that the responsibility of the guarantor can also be reduced here, if reasonable. The same applies where the institution has negligently failed to discourage the borrower and thus the guarantor. I then aim for sections 58, 59 and 60. With regard to the fixing of the borrowing rate, the Progress Party does not share the view that if information on access to interest rate changes for loans are not provided prior to the conclusion of the loan agreement, the agreed interest rate cannot be changed to the disadvantage of the borrower for the first three years. This cannot be in accordance with the rest of the legal system, and such a sanction, as proposed, will arbitrarily be suspended depending on the interest rate trend, see. Paragraph 48. Therefore, the Progress Party will vote against the first sentence of the fifth paragraph of Paragraph 48. Furthermore, the Progress Party does not wish to require that changes in the money market rate be significant if the institution is to be able to increase the lending rate to the consumer by less than six weeks. We would also point out that today's consumer advance warning requirements for interest rate increases on loans are based on guidelines developed between the Consumer Ombudsman and the banks. This does not require a significant change in the money market rate. Experience has shown that interest rate adjustments are particularly relevant if a change in the money market rate has a certain duration and also when the Bank of Norway changes its interest rates. We're making suggestions for a new second sentence to Section 50, third paragraph. Furthermore, a majority of the Committee wishes to protect the borrower further. The borrower should have the opportunity to purchase the receivable on its own account when it is presented for sale by the lender. We share the Ministry's assessment that the claim may appear to be sold at such a low amount that the borrower himself could have had the opportunity to repay the loan at a similar amount. It would be reasonable for the borrower to be offered to purchase the receivable on the same terms as the lender is willing to sell the receivable to a third party. I would also like to stress that the majority would like a statutory right to purchase – it would make it less attractive for financial institutions to sell out parts of their consumer loan portfolio – and believe, in line with the Consumer Council, that a right to purchase would make it more attractive to obtain good debt restructuring arrangements directly with borrowers. I should like to refer to the proposal of the Right and the Advance Party, Section 45, which reads as follows: «In the case of a transfer, the consumer borrower shall have the right to pre-empt the claim at a price consistent with that agreed between the lender and to which the claims are transferred.» With reference to the paragraphs I have been dealing with, I address the proposals in the vote.
ParlaMint-NO_1999-06-08-lower.ana.ud224e289	The representative Stang has taken up the suggestions he referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e292	The Banking Law Commission in NOU 1994:19, Financial Agreements and Financial Assignments, states that there is a current legislative need in relation to financial agreements. The government's bill argues in Ot.prp. No 41 for 1998-99, covers important areas which have so far been only slightly regulated. The rapporteur has carried out a broad review of the content of the draft law, and I am therefore not going to go into all the individual points. For whom is the law applicable? The law is intended to apply in relation to both consumers and traders. When the customer is a consumer, the proposed rules cannot, as a general rule, be waived by contract. On the other hand, the proposed rules could, as a general rule, be derogated from by agreement. An important point is that this legislative proposal should also apply to foreign financial institutions acting as Norwegian market operators vis-à-vis consumers. So what do we want to achieve by the law? Indeed, the idea is that contractual relationships between financial institutions and clients should become clearer and more balanced and safeguard the interests of the party that must be regarded as an amateur in the contractual relationship. Most people would like to welcome the proposed rules on interest calculation by crediting and debiting the account. Many have asked themselves who receives the interest income in the period when an amount is being transferred from the payer to the recipient. The answer is that the interest income goes to the financial institution. The longer it goes from the money apparently leaving the payer's account and until the recipient has the amount inside, the higher the interest income attributable to the financial institution. With the rules we adopt today, institutions' ability to achieve these so-called fleet revenues will be significantly reduced. We believe that this is correct, because it is the payer's money until the transfer takes place, and then the money belongs to the recipient. The financial institution is paid for the transaction itself and does not own the money at any time. The Government has cross-political support for the vast majority of the proposals presented in Ot.prp. No 41. The bodies consulted within the Committee also expressed general satisfaction with the content of the proposal. But there are some areas in which the Committee shares with a majority against the Government's proposals, and I would like to comment on them. First, the question of whether a financial institution should be required to advise a client not to raise a loan when the institution has to assume that a borrowing would be irresponsible. The Labour Party and the Advance Party agree to legislate this obligation. When the Christian People's Party does not want lawmaking now, it has to do with more relationships. Firstly, it can already be said that there is an obligation for financial institutions to withdraw from a client to borrow where there is a significant risk that the customer will not be able to operate the loan. Furthermore, no proposal has been made by the hearing bodies on specific legal effects in the event of a breach of a statutory non-advisory obligation. That's why we don't think that lawmaking will bring about any change in reality. And secondly, we think it would be natural to evaluate this issue together with the Banking Law Commission's Sub-Investigation No. 5th@item: inlistbox If we now legislate for a longer period of time, we will tie up the partial investigation at this point. We think that would be unfortunate. The next issue is the transfer of the lender's claim, where the majority of the Committee will initially go further in protecting the borrower than the bill has proposed. The Christian People's Party does not oppose the best possible legal protection for borrowers. However, when the majority of the Committee believes that the borrower should have the opportunity to purchase the claim on himself when it is made for the sale of the lender, we believe that this could cause practical problems or consequences that we do not have an overview of at present. This issue has also not been discussed with the Hearing Officers. Our primary position is therefore that we maintain the Ministry's proposal in the proposal, which involves substantial measures to prevent the purchase of debts with unreasonable results for the borrower. When we find that we are in a minority on this point and that alternative proposals are being put forward by the Labour Party and the Advance Party/Right respectively, we will consider, as a subsidiary vote, to support the proposal of the Workers' Party. This, after all, gives the Government some time to prepare and evaluate different aspects of the borrower's right to purchase. The third and last area in which the parties to the government are not in the majority position is the obligation to disclose information and to advise against bailiffs. The minority, made up of the Christian People's Party, the Right and the Center parties, share the assessment made by the Ministry when it is recommended that the obligation to discourage the guarantor should be linked to cases where the lender must understand that there is a significant risk that the borrower may fail to fulfil its obligations. In this context, I will address the proposals made by these three parties in the vote.
ParlaMint-NO_1999-06-08-lower.ana.ud224e322	The representative Marthinsen has taken up the suggestion he referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e326	The joy of this bill is essentially the consensus expressed both by the financial world and by consumer teams when we had consultations in the committee. It was highlighted from both sides that Norway is a country of first-hand origin which provides consumers with more protection in a serious way. I think we've all learned some of the experiences from the late 1980s and early 1990s. Political authorities saw that we might have behaved differently when it came to framework conditions that were given, the financial institutions were too far off with loans, and the consumers acted as if purchasing cards were some sort of winning card from some lottery. These experiences together showed that there was a need for a change in the law, something that we have received today. It is particularly on two points that there has been a debate. One applies to bail arrangements. I think it is positive that this is being asked of the financial institutions that in some cases they should advise against bail. This is not least because the bank will often have information about the borrower that the guarantor does not actually have. Not least, we remember from the 1980s crisis that the bailiff was not even told that the borrower had stopped paying the instalments and interest on his loans, and that things were piled up, and in many cases the bailiff was charged amounts that might have been twice as much as he had originally bailed out. That there's going to be a change here, at least it's positive. Then we're dealing with the non-advisory in loan terms. There it stands out a little differently, and there the Right Government supports the fact that in many ways we have an unregulated deterrent today that it is important to bring to the attention of financial institutions. But extending this to a formal non-advisory obligation in this law can in many ways weaken those borrowers that many of us want to help. In many smaller environments, where a bank and a borrower know each other, there could be cases where a potential borrower enjoys great confidence in the local environment, no doubt he will put his honor in paying back what he owes, but he may not have assets enough to provide collateral at the time he applies for a loan. I think that a statutory moratorium here would make the banking and financial institutions so afraid that in many cases they would not give loans they would otherwise give to people who should have received them. Here it is important that, in particular, people with ‘drive’, entrepreneurs and others whom we want should dare to take risks in their local environment, do not lose this opportunity by the fact that the banks are only occupied with securing themselves by distributing loans to those who – I kept saying – strictly may not need it. The second point of conflict is related to the right of pre-emption in the case of the sale of loans. Here, practice has evolved to some extent so that banks have dumped some loans on cheap sales to a third party, which then has gone in to recover this loan many more actively than the bank did. Not least in view of the adoption by the Stortinget of a law on debt regulation, and the Stortinget actually also granted money to the banks after the banking crisis to help them, there is reason to recall that some of this involvement by the Stortinget was, of course, justified by the fact that some of the borrowers would benefit. We thought it was a debt division between the borrower and the lender, and it was shown that the Storting was willing to contribute. When these loans were then just dumped to a third party, the bank had gotten its money far on the way, it is clear, as the Consumer Council points out, that the banks' interest in giving up part of the loan to some of the consumers was not as large as we might have expected. It is also very important to stress and make sure that when you enter into an agreement with a professional party, you have chosen to whom you want to sign the agreement. If I choose to raise a loan in the Saving Bank More, because I trust the guys sitting there, it's not the same thing as taking up a loan in some kind of AS Torpedo Knoll and Tott. I have simply chosen whom I as a consumer would like to have an agreement with. There is a minimum requirement that both information is provided to the borrower if the bank intends to sell the loan to others, and then that the borrower is given the opportunity to actually take over this loan, or redeem the loan, at least at a similar price to that offered to the third party. It is no more than fair and fair and it is an important enhancement of the consumer’s safety. A side effect of this will probably also be that banks put little more work into their debt restructuring, so that the sum can quickly be both that the bank gets in more than it would get today, and that the borrower gets out better than today. Then we've achieved an important goal. I am pleased that both the Right Party, the Labour Party and the Advance Party agree on the content of what I have now affected, attached to the pre-purchase right. Then there's a little different conclusion about whether we're going to propose the exact legal text now, or whether we're going to ask the government to evaluate it and come back with a legal text. Of course, the right will support the Workers' Party's proposal subsidiaryly, i.e. the proposal that the Government should come back with the final legislative text. I will also give tribute to Finn Kristian Marthinsen of the Christian People's Party, who announced that the Christian People's Party is also prepared to support the Workers' Party's proposal subsidiaryly, because then we have actually reached a quite broad agreement to strengthen the consumer in this case as well. Against this background, I would recommend the Financial Contracts Act that we have now arrived at. I am pleased that this debate is not marked by the major conflicts, but on the contrary by the consensus that we have taken an important step here to protect the interests of consumers, a step which will probably be noticed in Europe and which may lead to the copying of this legislation in several European countries.
ParlaMint-NO_1999-06-08-lower.ana.ud224e347	On behalf of the Left, I would like to express my broad support for the draft law that is now being presented to the Odel Sting, with shades on a few points where it is in the committee. The law that will be adopted means an important protection for borrowers, and in particular for borrowers who are perceived as consumers and who are outside more professional loan conditions. It's a right and necessary law, because we've had a growth out of lender institutions that makes this gradually become a much more widespread business with lending. Getting a loan in some contexts gets more like buying an item. You have a different market than you had 20-30 years ago. To some extent, this law implies imposing on financial institutions the responsibility that I believe most banks actually managed, if we go back 20-30 years in time. In this sense, there is legislation that in many ways responds to a part of what may have happened in particular at the end of the 1980s, and is important, because it has to protect against similar situations at that time. In particular, there may be grounds for highlighting security conditions and having clear legislation that strengthens the situation of depositors. Hopefully, it will have the effect, in particular, that some persons do not enter into insurance obligations when the guarantee obligation will easily result in a liability that they had not planned in advance and that they have not really wanted to take over, precisely because they calculate that this is a responsibility that should never be taken into account. Some of the nature of the guarantee is that the person accepting the obligation does not have the same level of consciousness related to the possibility that it might become a reality. In particular, the issue of the protection of bailiffs is therefore of particular importance. Another point is the question of admissibility. There may be good reasons in particular for considering this issue carefully. There's a certain point in sticking to the borrower's responsibility, and that it doesn't have to go so far that borrowing becomes something to which one can somehow get too light a relationship, because there are others who will in that case advise against it, beyond what is practical today. On one point, I would suggest that the central parties should consider their vote a little further: if, first, a provision is adopted on the obligation to discourage the taking of a loan, it is a question of whether it should not also be informed of that obligation to discourage the guarantors. Now there is much to suggest that this would result from the current law, but there is still a question that might need to be considered a little further. If a non-advisory rule has first been adopted against the borrower, a guarantor entering into the relationship should be made aware that the borrower has been advised not to raise a loan here. Then the situation is a little different than if you don't have such a rule. In this case, with the transfer of claims, I can join in what Finn Kristian Marthinsen said. But I think maybe we should look a little bit closer to the question. In fact, my intuition is that what we are about to do here is to introduce a debt regime institution outside the debt regime law, and that this should have the perspective that the debt regime law imposes on the debt regime.
