ParlaMint-NO_1999-06-03-lower.ana.ud1370e59	No one has asked for the floor. [[See page 581]]
ParlaMint-NO_1999-06-03-lower.ana.ud1370e181	Several have not asked for the floor on case No. 4th@item: inlistbox
ParlaMint-NO_1999-06-03-lower.ana.ud1370e195	No one has asked for the floor. [[See page 583]]
ParlaMint-NO_1999-06-03-lower.ana.ud1370e203	The odelsting shall vote in case No. 1-5.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e240	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e247	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e320	The party of progress and the Right has announced that they are against it.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e331	It is voted over the title of the law and the law as a whole. The President assumes that the Advance Party and the Right will also oppose this.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e342	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e394	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e401	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e407	During the debate, Mr Zazzera, on behalf of the Progress Party, put forward a proposal, which was included in the vote.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e433	The second paragraph of Section 3 and the new Section 3a are presented with a different proposal from the Progress Party. The proposal relating to the second paragraph of Section 3 is first contested. The proposal reads as follows: « the second paragraph of Section 3 The obligation of care shall be replaced by the following: the person who manufactures or introduces the product is obliged to acquire the knowledge necessary to assess whether it may give rise to the effects referred to in Section 1, hereunder, under consideration whether alternatives which result in a lower risk of such an effect can be obtained. ‘...
ParlaMint-NO_1999-06-03-lower.ana.ud1370e449	The President will then alternately vote between the appointment of the Committee to new Section 3a and the corresponding proposal of the Progress Party. The proposal from the Progress Party reads as follows: ‘New § 3a Substitution obligation shall be replaced by the following:Activity which is the end-user of the product containing chemical substances which may cause effect as referred to in Section 1 shall consider whether there are alternatives which present a lower risk of such an effect. In that case, the entity shall choose this option if it is possible to do so without undue cost or disadvantage. ‘...
ParlaMint-NO_1999-06-03-lower.ana.ud1370e478	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e485	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e560	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e567	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e576	There is no record.
