ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e15	The representative, Bjørn Hernæs, will make a private bill.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e216	Mr Bjørnson or not, I have to say that the four health laws that the Government has put forward, and on which this is the final stone, have actually received the approval of the Storting on all the main points. On the issue of the right to health care, the government parties together with the Workers' Party have found a solution in consultation with the Government that I have given my consent, and that I have not been attacked in any context. What I have warned against – and I stand by it firmly – is going too far in the direction of letting the pussy take over the governance of health policy. It is my sincere belief that the proposal presented here today does not. That is why I can give it my approval, and that is why I want to implement it as best I can. The representative of Höegh has used a lot of strong words about the Christian People's Party in this debate that I honestly think we could have been spared. We have gone into this difficult matter with the aim of strengthening patients' legal position in Norwegian law. We have followed up point by point the play that the Christian People's Party went out with in the election campaign in 1997, except for the law fixing the waiting time guarantee. After all, all the other parties have left. That's why I think the debate had served one here had recognized that most of the parties have actually been looking for what is a good expression of the law of patients' rights. I am convinced that we have found a good balance in and with the position of the majority.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e226	These are two issues I would like the Minister of Health to comment on. One is attached to Section 2-1. What you are concerned about here is whether there is a ambiguity in relation to the right to health care with the wording ‘within the limits set by the capacity’. I see that there are patient organisations involved in this formulation and what to put in it. It could be interesting to hear the Minister of Health deepening it again. Otherwise, I have to say in relation to the representative Annelise Höegh, who believes that there should be clarity with the option proposed here, namely ‘within an individually prescribed medically justified period’, which the individual doctor will set, that an obvious consequence of this would be that if the doctor in a hospital so that we have limited capacity here, only the deadline should be postponed in time. It's quite illusory to think that it provides a guarantee for a scheme that gives rights on a general basis. So I've registered that some people in retrospect, after the committee's treatment, have said in terms of the patient care system, which is a strength to get the right confirmation, that it may be a weakness in the system that it includes the specialist healthcare service, but not the psychiatry and primary health service. Does the Minister for Health have any views on the patient Ombudsman scheme when it is to develop over time, as to whether it would be natural to consider whether the scheme should also cover parts other than it currently does?
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e235	As regards the question of the rules on which the majority proposal is based, they will have to clarify the criteria on which the medical/professional assessments are based. They should create predictability for the patient, increase the possibility of uniform practice and reduce the need to try out the content of the trial. The general criteria underpinning the prioritisation of patients in public health care are a political issue. The professional evaluation must consist in assessing whether each patient meets the criteria set for prioritisation. The majority then propose to build on the principles of priority for which the Wage Committee has been involved. With regard to the capacity limitation that lies there, I understand that it has to do with the limitations of personnel, equipment and available resources. But I see, like the majority, this in a clear context with the capacity escalation plans, on which the Storting has committed itself. In the case of the Patient Ombudsman scheme, the patient representatives, whom Ballo had in mind, shall include the specialist healthcare services both within the scope of psychiatry and somatic medicine. The bill assumes that all agents are able to also care for the interests of patients within the psychiatric community. I would like to say without delay that in the longer term it would be desirable for the scheme to include the municipal health service. However, there are a number of questions about responsibilities and funding, about availability, etc. as there is reason to consider further when we have gained more experience with the scheme.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e246	The Minister of Health is right that I have used strong words about the Christian People's Party here today. If I were to be more specific, I might have emphasised more strongly that there is, of course, a difference – there are different opinions also in the Christian People's Party, and it is really the Minister of Health I am most surprised at, and most annoyed at. For the Christian People's Party representatives in Stortinget, at least we have helped to get a legal right to treatment, which, as I also said in my post, is at least a small step in the right direction. What I'm responding to is that Christian People's Party representatives both in the Government and in the Stortinget by saying certain things, at the same time give the impression that they stand for something that and re does not. The representative Åse Gunhild Woie Duesund said that the Christian People's Party is «realistic and honest». I guess you don't feel the need to say it if it's everybody -- then there's something to make them different than and re. The Health Minister has just said that the four health laws that the Government has put forward have largely been fully endorsed. Yeah, that's right. But it's not surprising, because it's the Storting that has taken the initiative in all of these laws, and we've had treatment for many years, through big shots and settings, that have formed the basis. It is true that the government has submitted the legislative proposals and joined them, but it is not the government that has invented this by itself. There has been a slow process in Stortinget where all parties have contributed to a greater or lesser degree. Then he says that the Christian People's Party has not broken any promise, at least nothing more than everyone else, because no one is going in today to legalize the three-month guarantee. No, that's also true. But at best that's only half a truth, for all of us have actually suggested a new and a better formulation. The Minister of Health did not do that, but now the Christian People's Party has helped to get it.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e257	The accusation of half-truths is not daily food from Stortinget's pulpit, and I must say that I do not stop to be surprised at the characteristics of the representative Höegh in this matter. It is a fact that the Christian People's Party has followed up – both the Christian People's Party here in the Chamber and the Minister of Health – the right to judgment, the right to information, the right to participation, the right to permanent residence. That promise has tried to get us to break and go away from it, but we actually stand by it, and we have followed up the right to free hospital choice in line with what we have agreed with the Right Party and the Advance Party about here in the Chamber. However, as Minister of Health, I have not found it possible to go in for the Valgerd Svarstad Haugland in August 1997 on a legalisation of a three-month waiting period guarantee, because we have actually had some experience since August 1997 on how that scheme works. On the other hand, I have put forward a proposal for the Storting, an overall package, which collectively strengthens the patient's rights, and I have contributed to the changes in the Government's arrangements that get a majority in this Chamber today.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e262	There is no reason for the Minister of Health to appear so politically hairy in relation to the replicant Annelise Höegh. The Health Minister accused me a moment ago and said that I now had to choose – and know – where I stand in health policy in connection with the Law of Rights. What I said in my first post was that I was happy that we now get a right law in the name, but it is not the way it should be. I think – I can't say it more strongly – that if it hadn't been for the sake of the Minister of Health and Government parties, the law we are adopting today would have been far better, and it was, I think, also, basically from the Labour Party. But the government parties and the Minister of Health have, in my opinion, helped us to get a legal text that can be interpreted in all directions and that is not satisfactory for the users. It has been expressed today by user organisations, and I think we should listen to them far more than to the ministry and politicians.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e267	I noticed that the representative Alvheim and I have different perceptions of what is a good patient rights law. This concerns in particular the question of the right to necessary health care, and I respect that it is possible to see it in different ways. But I have to remind you that we actually agree on all the other important proposals in this law that help to strengthen the legal position of patients. We must not underestimate this either with regard to user organisations or with regard to the Norwegian people. It's actually the case that we're in on a rather historic decision today, and it's not like there's a dividing line through this hall between some who are in favour of patients' rights and some who are against. There are issues of a substantive disagreement about what is a enforceable patient rights law at the point of entitlement to health care, and I believe that when there is actually a capacity limitation e.g.. in the psychiatry triangle that makes it impossible for us to tell psychiatric patients with a serious diagnosis that you have a right to treatment tomorrow in any case, then it's really true to say that this right applies within the limits that capacity sets, but we commit ourselves to escalating that capacity so that justice becomes real.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e272	So the chord change is over.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e275	First, allow me to comment briefly on the last loophole and also on previous lines in this debate, where it has been claimed that the limitation of the majority proposal – ‘within the limits set by capacity’ – is an expression of special honesty or honesty. I think it would have been in favour of both the honesty and the cleanliness of the Christian People's Party instead of having just changed their position since 1997. What is crucial is not whether or not the guarantee or right is linked to a three-month period, the decisive difference is whether or not there should be a right that triggers legal effects if it is not honoured. That was what was unreservedly promised in the 1997 election campaign. And that promise has been abandoned today. It seems in the real world that you have to break promises, but I think it's in the best interests of cleanliness that you admit that that's what you do – to break a promise. What also surprised me a little bit in the Minister of Health's reply was that if I understood correctly, he justified the wording 'within the limits of capacity' and defended that this is a good wording with the reference to stepping up capacity. It's an amazing form of logic. To see that no decision had now been taken to escalate the capacity. Then probably the need for such a sanctuary would have been even greater. It cannot, of course, be allowed to escalate capacity, which makes it natural to legislate that rights exist only within the limits set by capacity at all times. When the so-called Wage II Committee in 1996 gave a partial position on the so-called ‘wait time guarantee’, we made a reasonably balanced balance between the strengths and weaknesses of the use of waiting time as an instrument in the priority. What was then fully agreed in the sample was that there is a fundamental problem related to the use of words such as ‘guarantee’ and ‘right’, and it is that most people perceive these words in a rather clear and unambiguous way. Politicians and lawyers, such as the representative Hove, can, of course, discriminate between relative rights and absolute rights. But in general, daily Norwegian, there is an unknown distinction. And what we pointed out from the sample is that the important thing about legislation is to avoid creating unwarranted expectations in people. If people believe that they are granted a right, they obviously believe that if that right is not fulfilled, it must have some effect. And if it's supposed to have no effect, you shouldn't use words like right or guarantee. Then you should communicate with people fairly straightforwardly and clearly, and say that there is no individual right here. I do not know Norwegian laws in and out, but I know that it is not common in legislation, neither in health matters nor in other areas, to choose to legislate a right at the same time as saying – in the form of the law – that it only applies as far as you can afford to enforce it at all times. I would probably think it would be more appropriate to use words other than right if that's the message you want to communicate. What, in my opinion, is the benefit of the minority's proposal for the wording of Section 2-1, is that it is actually based on what we have a long tradition of in the medical law, namely that all medical treatment given to patients in that country should be sound. In the safety criterion, there are at least two things: that treatment should maintain professional objectives in relation to those of current medicine and that treatment should be given at the time when it is expected to provide the best possible result for the patient. That's actually what the minority proposal takes the consequences of and tries to formulate. It does not help a patient to receive a good professional treatment if the treatment is given at such a late stage that it no longer has reasonable prospects to benefit the patient. The criterion of accountability is a much higher criterion than a mechanical deadline, whether six months or three months. On this point, I believe that the proposals of the minority are a major step forward.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e288	The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e291	I will be allowed to correct a mistake in proposal No. 2 §4-9, as the representative of No Wage made us aware. The proposal shall be replaced by the following: ‘The patient is not entitled to refuse to receive blood or blood products or to refuse to interrupt an ongoing hunger strike. ‘... It goes towards the end of this debate, and I must say that I agree with the representatives from the Right that the Government and the Government parties have come out relatively badly in relation to this point about the right to treatment or the right to health care. It was not suggested in the proposition, but it has come after strong pressure from the Workers' Party, fortunately, and of course from us in the other major parties, although we have another bill. What I would like to repeat is that I have a distressing feeling that the legislative proposal we are about to adopt would have been much clearer and more precise if we had not been negotiating with the government parties and got the starting point as reduced professional and legal security as the case now is. Capacity and resources have only been included in the debate, and we wonder where the Progress Party is going to take the resources from to give a full right to treatment for seriously ill people. We have our principal funding, that's popular security, which is our health insurance company, and there should be an equally sunny right to get funds for treatment like it's getting sick money, pensions, unemployment benefits, etc. It was a paradox in the bill that one should have the right to review, the right to review, but one should not be entitled to treatment. This is actually not related, and it is more than I have said, and more people with significantly greater competence than I have in this field. So a little visit to the Christian People's Party. This is the case under emergency law and refusing to accept blood products and refusing to accept treatment in a hunger strike situation. I must say I am amazed that the Christian People's Party has taken the opposite position of what the Progress Party has done, namely that in such situations health care should be provided. Several have been involved, and I repeat it: it is a mystery to me when I now register what health policy you have, and what credibility this party has lost lately.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e313	The President took note of the corrections made by the representative of Alvheim.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e316	So much bitterness and despair on the part of the minority about not winning out, I guess you haven't heard in a while. We have good training in it in SV and are still in a good mood. I have to say that some of the strength of this law is just that no one has got it exactly as you would. This has not been exactly what the Ministry proposed, and it shows that the committee's consideration of the legislative proposal has been real. The government parties have probably not got it exactly as they would, nor the Workers' Party, no parties have it. But the sum of that is that a number of objections that have been raised have been taken into account – it is from patient organisations or from the various political parties. In this way, SV believes that this has actually become a better law than the proposal that initially existed. I would also like to believe that the Right Party and the Advance Party in certain fields have been heard for their thoughts. However, it is clear that if one were to lay flat here in some constellation, the government parties, the Right Party and the Advance Party, which has had a bad tendency in this Chamber in the course of budgetary proceedings, this would have gone completely wrong. An example of this is the proposal for transfusion and hunger strike. Here the Progress Party initially had a legislative proposal: ‘The patient does not have due to: serious convictions to refuse to receive blood or blood products or to refuse to interrupt an on-going hunger strike. ‘... It introduces a form of obligation involved in all rights, whereby having a serious conviction is to ensure that you are given blood transfusion by force, or that any hunger strike is to result in coercive feeding. Then comes the Progress Party with a new, processed proposal: ‘The patient is not entitled to refuse to receive blood or blood products or to refuse to interrupt an ongoing hunger strike. ‘... It is difficult to imagine that voters from the Advance Party or representatives in this Chamber from the Advance Party who were hospitalized and who really did not want to eat or did not want to have a blood product would find themselves in this kind of totalitarian, dictatorial approach to something called a Patient Rights Act. I would like to say that there is an extremely strong force, both in the social committee and in this Chamber, that we are not going to take in any proposals that might come from a minority, and then we are going to bow down to them. The next thing would be, in relation to the proposals of the Progress Party, that 17-year-olds should walk around this community and be treated as minors, both parents should be called in to the office of the doctor, or the doctor should call them home to tell them that they had now written out contraception or given advice regarding an operation. It's a kind of state that I think this society is a little bit serviced. Not least, the Progress Party would be very little served by the fact that this kind of proposal was made bare to the Norwegian people. It is therefore a strength that some of the proposals that come from the minority today are not adopted.
