Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e28	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AWN	Wisløff Nilssen, Åse	F	1945	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e312	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e326	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.MN	Nybakk, Marit	F	1947	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e354	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e369	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e377	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e383	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e402	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e746	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e764	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e781	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e808	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e816	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
