ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u14	Thank you. Thank you very much, Mr Sánchez i Llibre. I get it. He spoke of voluntary tax regularizations, those of article 179.3 of the General Tax Act, and called for a plan to combat poverty. I agree with you. It will have been possible to see throughout this legislature that the main priority of this Government has been the fight against the crisis and, within it, the fight against poverty is a fundamental objective. That requires action in many ways and in many sectors. The first and most important thing to effectively combat poverty is job creation, which has also been a key objective throughout this legislature. Fortunately, employment is beginning to be created in our country after many years of its destruction. Secondly, it is crucial to effectively combat poverty to maintain the welfare state: health, education, pensions, unemployment and social services policies. We've done it, too. Thirdly, one of the most important decisions taken by the Government in this area has been the National Plan of Action for Social Inclusion. It is not those amounts to which you referred in your speech that the Government has devoted to combating poverty, have been much greater. I can first of all refer to aid to local authorities to cover the agreements and transfers owed to them by the Autonomous Communities, which are precisely to combat poverty. We have approved the Children's Poverty Fund, the Plan with local corporations, social canteens, day centres, shelters and wards, the Food Payment Fund, subsidies to social programmes through income tax and economic aid to families at risk of exclusion. We have extended the Preparation Plan and family deductions in the IRPF also have as their fundamental objective the fight against poverty. We have reached an agreement with the unions at the end of last year to help those who were unemployed and in a situation of greatest difficulty, we have adopted the Child Protection and Energy Act and we have also taken decisions. Many decisions have been taken by the Government, but we are ready to listen to your group and all contributions you make will be welcome. Another of the main objectives of this legislature, which was to begin to fight effectively against inequality and poverty, is already reflected in the indices. Both the Gini index, as well as the 80/20 index, and the Arope index, all from Eurostat, the Statistical Office of the European Union, begin to say that poverty and inequality are beginning to decrease in our country, which comforts us all and encourages us to continue working in the same direction. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u15	Thank you very much, Mr President. - OF THE DEVELOPED PEDRO SÁNCHEZ PEREZ-CASTEJON, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE PRESIDENT OF THE GOVERNMENT: HOW DOES THE PRESIDENT OF THE GOVERNMENT VALUE THE DISABILITY EXISTING IN OUR WORK MARKET? [[File number 180/001287]]
ParlaMint-ES_2015-04-29-CD150429.u16	Question to the President of the Government, by Mr Pedro Sánchez, by the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u17	Thank you, Mr. President. Mr Rajoy, I would like to know what opinion you deserve from inequality in the labour market in Spain.
ParlaMint-ES_2015-04-29-CD150429.u18	Thank you, Mr. Congressman. Mr. President.
ParlaMint-ES_2015-04-29-CD150429.u19	The main inequality in the labour market is that between those who can work and those who cannot work, so the main objective of this legislature has been the fight against unemployment. I will give you a news, which is important and of which you are sure you are happy: last year, 2014, for the first time since 2006, in Spain increased employment and decreased unemployment. Thus there is a turning point, 440,000 Spaniards have found a job. It is absolutely insufficient, but we are already starting to walk in the same direction. The data from the beginning of this year 2015 are positive. At the end of March we knew that, compared to March last year, 536,000 Spaniards had been able to join Social Security and therefore work. The forecasts for this year 2015 are good. We're gonna grow up. Our country is the most likely to grow in Europe, 2.9%, and our forecast is that more than 500,000 jobs will be created. I repeat, there is nothing worse for equality than that difference between those who can fortunately work and those who unfortunately cannot. It has been the great objective of this legislature, they begin to produce results and that encourages us to continue working in the same direction. Thank you. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u20	Thank you very much, Mr President. Mr. Sanchez.
ParlaMint-ES_2015-04-29-CD150429.u21	Thank you, Mr. President. Mr Rajoy, you call recovery to 700,000 jobs destroyed since you were President of the Government until today. You are going to be the president of the government remembered for three things: tax amnesty - non-tax regularization, pay attention to your vice president of the government, tax amnesty - labor reform and social adjustments. With regard to the tax amnesty, I would like to say the same thing again, Mr Rajoy, we Spaniards have a right to know and I therefore demand that you publish the list of names and surnames that have been taxed before 24 May, I repeat, before 24 May. [[Applauds]] Mr Rajoy, with regard to your labour reform, I will tell you that what you do is condemn millions of Spaniards to job insecurity. Last year - you were referring to it - nine out of ten contracts were temporary, with an average duration of fifty-four days, and one out of four jobs had an average duration of less than one week, and that is what you call it following in the right direction. Mr Rajoy, with your labour reform you do not create employment, what you are doing is turning stable employment into precarious employment. If we look at the number of hours, since you have ruled, the equivalent of 1.4 million occupied in our country has been lost. You have condemned, Mr Rajoy, that the wages of the workers are the same as they were twenty-five years ago. Today one in three workers in our country earns the interprofessional minimum wage, i.e. EUR 648 per month, Mr Rajoy, and half of the workers earn less than EUR 950 per month. That for you, Mr Rajoy, is that you must continue to persevere on that line, as I heard you say a few days ago in a famous videoblog that you posted on the website of La Moncloa. Mr Rajoy, as a result of your employment reform in Spain, ten million hours a week are illegally worked. You call that quality employment; I call it like most Spaniards, like normal human beings, Mr Rajoy, labor exploitation. [[One Member: Very well!-Applause]] Mr Rajoy, do you know what all those Spaniards think when they listen to you and your Government talk about good unemployment data? That you, also in labour policy, have done what you have done has been to disappoint the Spaniards. I pledge to all of them to adopt a Workers' Statute, as soon as there is a change of parliamentary majority from the general elections, which recovers the labour rights lost by labour reform. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u22	Thank you, Mr. Congressman. Mr. President.
ParlaMint-ES_2015-04-29-CD150429.u23	I'm sorry, but I don't accept that you're giving me labour market lessons. [[Protests.-Several Members: Oh!-Applause]]
ParlaMint-ES_2015-04-29-CD150429.u24	I pray silently.
ParlaMint-ES_2015-04-29-CD150429.u25	I'll explain why. Between 2008 and 2011 in Spain you destroyed 3,345,000 jobs. You are not in a position to teach anyone any lessons. When we reached the government by the end of 2011, unemployment increased by 9.6% per year; today unemployment is decreasing by 7.2% per year. I do not tell you to punish yourselves unmercifully by saying how badly you did it in your day, but at least you could recognize that the work of this government has led to the creation of jobs in our country for the first time in many years and that more than 500,000 jobs will be created in Spain this year. [[Applauds]] I don't know if you guys are upset, but it's the facts. Mr Sánchez, if you read the latest published EPA, you will have seen that what is being created in Spain is indefinite employment and full-time employment; see the EPA. [[Rumors]] The timing in Spain today is 23.6% - when you were ruling it was 29% - and part-time employment is 16.3%. There are very important data, such as starting to correct - there is still a lot - youth employment or the number of households with all their unemployed people. We're working well, we're going in the right direction, we're creating jobs and from there what we have to do is persevere. What you did was take it to Spain... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u26	Thank you, Mr. President. - OF THE DEVELOPED ROSA MARIA DÍEZ GONZALEZ, OF THE PARLIAMENTARY GROUP OF PROGRESS AND DEMOCRACY UNION, WHICH FORMS THE SEMINAR Vice-President OF THE GOVERNMENT AND MINISTRY OF THE PRESIDENCY: DOES THE VICE-President OF THE GOVERNMENT FOLLOW THAT "THE RATE CASE" IS A PARTICULAR MATTER? [[File number 180/001286]]
ParlaMint-ES_2015-04-29-CD150429.u27	Questions to the Vice-President of the Government and Minister for the Presidency. Firstly, she asked Mrs Rosa Díez, Member of the Progressive Union and Democracy.
ParlaMint-ES_2015-04-29-CD150429.u28	Thank you, President. Madam Vice President, who appointed Mr. Rato president of Caja Madrid in 2010? Mr Rajoy, President of the People's Party, appointed him. Now that the National Court has just confirmed that Bankia is a state problem, supporting Judge Andreu's thesis and recognizing that there are sufficient indications of crime to investigate Bankia's departure to Bolsa when Mr. Rato himself was president of that entity; now that Mr. Rato is also being investigated for serious crimes, such as raising property, tax fraud and money laundering; now you say that Mr. Rato's is a particular matter. Tell me, Madam Vice-President: Have all the individuals who have taken up the amnesty to the prosecutor informed the government in advance that they were going to do so, as Mr. Rat said he did? Is the theme Mouse a matter as particular as the B box of your party?
ParlaMint-ES_2015-04-29-CD150429.u29	Thank you, honourable Member. Madam Vice-President.
ParlaMint-ES_2015-04-29-CD150429.u30	Thank you very much, Mr President. Mrs Díez, this government respects the investigations carried out by the Tax Agency regarding the fulfilment of tax obligations and treats any person, regardless of the position he has held, with the same equality, because we are all subject to the law and to respect for the decisions of the prosecution and the courts, both the executive branch and also, Mrs Díez, the legislative branch to which you represent. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u31	Thank you very much, Madam Vice-President. Mrs. Díez.
ParlaMint-ES_2015-04-29-CD150429.u32	Justice must be defended and respected, and the general interests must also be defended, Madam Vice-President. To be a particular matter, you - you, the government - have taken it very seriously to protect Mr Rat's interests, almost as seriously as he has taken it, who tried to evade bail - requested, by the way, by the Progressive Union and Democracy and agreed by the investigating judge - by concealing his capital. You have taken it so seriously that you have helped everything you have been able to, at least for what we know; we have also discovered something else. The prosecution and the FROB - that is, you, the government - opposed the bail and, when the judge ordered it, both the prosecutor and the government - the FROB, which is the government - appealed it. Even the National Court has had to draw their attention and has had to remind its Government - the FROB - that it is not there to defend Bankia's interests; that it is not there to represent Bankia's interests, not even Mr. Rato; that it is not there to defend the particular interest - it has no legitimacy for this, because the Government has not been harmed - but it is there to defend the general interest. He told you until the D.A.'s office. Too much public work, Madam Vice-President, to defend a particular matter from a particular gentleman. Madam Vice-President, do your job, the work of the Government: defend the people who have been swindled by Mr Rat. Please earn your salary, because you are paid all those citizens, as you are paid to us, and not Mr. Rat. [[Rumors]]
ParlaMint-ES_2015-04-29-CD150429.u33	Thank you, honourable Member. Madam Vice-President.
ParlaMint-ES_2015-04-29-CD150429.u34	Mrs Díez, I thank you for saying here that you respect the prosecution and the courts, because from your mouth it has come out that the prosecution in this country is a shame. They seem to me to be very narrow terms for talking about the institutions of the State and, since the courts of the National High Court so defend their actions, it would be good for all Members to know that you have accused the judge of now defending naivety, of using fallacious arguments and of causing harm to you, perhaps because of your excessive zeal in defending what you call a particular accusation. They have also accused the prosecutor's office of an entrepreneurial cynicism, of committing legal aberrations and very suspicious actions, although I am not surprised that he speaks of the institutions as he speaks of himself. [[Rumors]] Secondly, Mrs Díez, in this government and in this country, the FROB has acted much more diligently than you, because it is precisely in twenty cases, rather than the Progress and Democracy Union itself, which is practically dedicated to its activity. If ninety irregular proceedings have been detected it has been because it has acted FROB, and because it has acted FROB there are twenty proceedings opened in the courts. That is to say, this government and the FROB are working. Thirdly, Mrs Díez, this government has restructured the financial system as it has not done in the last parliamentary term, in which you did not ask so much. We've had to fix that and put a stop to the prefernts. Mrs Díez, do not come to me here calling for democratic regeneration, because you have not supported one of the measures that this government has adopted. Do you know why he loses credibility on jets? Because you voted against what you say you're defending. Mrs. Diez, you're seeing too much of the plumer. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u35	Thank you very much, Madam Vice-President. - OF THE DEPUTATE OF ANTONIO HERNANDO VERA, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE VICE-President OF THE GOVERNMENT AND MINISTER OF THE PRESIDENCY: DOES THE VICE-President CONSIDER THAT THE GOVERNMENT EXACTLY DISTINUES BETWEEN PUBLIC AND PRIVATE INTERESTS? [[File number 180/001288]]
ParlaMint-ES_2015-04-29-CD150429.u36	Question to the Vice-President, by Mr Antonio Hernando, of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u37	Thank you, Mr. President. Madam Vice-President, after the last Council of Ministers, you have given a thought - I am sorry to say - to how we get the citizens interested in politics to participate, after a professional experience in the public or private sector, in the exercise of politics, to enrich the exercise of politics, to open it to the citizenry and not to limit the situation of politicians - I close them. That is why I ask you whether, after that reflection, you agree with what your group has said, that we must broaden the compatibility of Members and establish a more flexible regime that makes this activity compatible with other private activities. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u38	Thank you very much, Mr Hernando. Madam Vice-President.
ParlaMint-ES_2015-04-29-CD150429.u39	Mr Hernando, the Government is working for the general interest of all Spaniards, and the best policy is also the general interest. You do not distinguish well between the responsibility of the Legislature and that of the Executive and want the Government not only to do its job but also its own. Whatever you want to propose, propose it in this House. It seems that he is very much in agreement with all that this Government is doing because he is coming here to ask me to address the situation of Members of Parliament and not the task of Ministers, so his question shows that it seems to support the management of this Government. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u40	Thank you very much, Madam Vice-President. Mr. Hernando.
ParlaMint-ES_2015-04-29-CD150429.u41	Madam Vice-President, we are going to talk about ministers now. Another dialectic dance not to answer my question. I'm going to ask you five questions about a collision of public and private interests. Is it enriching the policy to run an arms manufacturing and sales company and then be at the head of the Ministry of Defence, which buys arms? Is it enriching the policy to be the most responsible for strategic planning of the largest fertilizer company and then to be at the head of the Ministry of Agriculture? [[Rumors]] Is it enriching the policy of having been Mr Aznar's finance minister, then setting up a fiscal advisory with his collaborators in the ministry and then running the ministry again? Is it enriching politics to be one of the bank's most responsible ones who unleashed the most important financial crisis of the last fifty years and then to be at the head of the Ministry of Economy? And fifth and last question, Madam Vice-President, do you think that charging 5,000 euros for verbal advice in coffee shops to a public-sector contractor is available to everyone or only to the informed Members of the People's Party? Some of these things may be legal but in any case they are immoral, because they are what they seem and are also outrageous to many workers who charge less than 10 euros an hour and who cannot match two jobs because they don't even have one. And what there is no right is for the Vice-President of the Government to reflect after the Council of Ministers to see how her deputies make their professional careers more compatible with politics, when what the citizens demand is that they make politics absolutely incompatible with corruption. [[One Member: Very well!- Prolonged applause]]
ParlaMint-ES_2015-04-29-CD150429.u42	Thank you very much, Mr Hernando. Madam Vice-President.
ParlaMint-ES_2015-04-29-CD150429.u43	Thank you very much, Mr President. Mr. Hernando, enriching the policy is catching a country that left with 28 billion tariff deficits... [[Protests]] Do you want your group to answer you or would you prefer me to sit down?
ParlaMint-ES_2015-04-29-CD150429.u44	Please, I beg your silence. As there has been in the question, there must be in the answer.
ParlaMint-ES_2015-04-29-CD150429.u45	Mr Hernando - a great defender of private interests - we took a country where they left 28 billion electricity deficits that harmed the consumer and we ended the tariff deficit; we took a debt of 23 billion in the Ministry of Defence, because you did not reprogram what you ordered in armaments, and we restructured it to be able to pay; we paid for the multimillion dollar infrastructures that you left in charge in the Ministry of Development, which I do not know who designed them but who has been in court for that. Mr Hernando, to enrich this country is to take the deficit - you have left Spain almost in ruins - and to put Spain in the situation in which we live today; to enrich the policy is to grow to 2.9 % and generate employment. What is not enriching politics, Mr Hernando, is that you resign for surrenders, is that you cling to the post not out of ethical respect for this Parliament but to see if you agree on another. [[Rumors]] To enrich politics, Mr Hernando, is simply to reflect on how we regenerate democracy. Do not talk to me about incompatibilities because this Government has done its job. When we brought to this House the status of the high office, which hardens the incompatibilities, he said no; when we brought in the Transparency Act, he said no. I work to regenerate democracy, like this government, and you every Wednesday, more and more, degenerate into demagogy, Mr. Hernando..., I insist, degenerate into demagogy. [[Protests]] Mr Hernando, you can laugh all you want but one thing is very clear to the public, the only thing you're an expert on is corruption is the only thing you talk about and the only thing you know. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u46	Thank you, Madam Vice President. [[Rumors]] Mrs. Lopez i Chamosa, silence. [[Mrs López i Chamosa utters words that are not perceived.-Pausa]] For the times you've spoken and I haven't told you anything. I'm so sorry. [[Laughter]] - OF THE DEPARTMENT OF SAURA GARCIA PEDRO, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE MINISTER OF AFFAIRS AND PUBLIC ADMINISTRATIONS: SHARE THE MINISTER OF AFFAIRS THAT "THE GOVERNMENT HAS DONE A TAX AMNISTIA"? [[File number 180/001290]]
ParlaMint-ES_2015-04-29-CD150429.u47	Questions to the Minister for Finance and Public Administration. [[Rumors]] I beg your silence, please. He asked, first of all, Mr Pedro Saura, Member of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u48	Thank you, Mr. President. Minister, do you share the phrase 'this government has approved a tax amnesty'? Thank you, Mr. President.
ParlaMint-ES_2015-04-29-CD150429.u49	Minister.
ParlaMint-ES_2015-04-29-CD150429.u50	Thank you. Mr Saura, I want to tell you with all the irony that I am capable of so far, that it is certainly very short, that what we have done has been an absolutely original fiscal amnesty, a fiscal amnesty that, instead of erasing crimes, serves to discover them, investigate them and bring them to court. We have introduced a new concept of fiscal amnesty completely different from that of Mr González's socialist governments, because someone who has been subject to this concept of fiscal amnesty, as is being shown, is then investigated and is therefore responsible for any illegal origin of the income that has been subjected to this extraordinary regularization for which he has been taxed. By the way, it seems that the Greek government, as President Rajoy recalled, is also going there; the left is also going for what they call amnesties. Go ahead and point it out, gentlemen. It will take a long time to return to the Government, but they will take note of the issues, of the solutions that are allowing so much wealth to emerge that it was abroad and that today it is part of the taxable facts subject to taxation in Spain. Thank you, Mr. Saura. If the next question is something more original, I would also appreciate it. Thank you, Mr. President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u51	Thank you, Minister. Mr. Saura.
ParlaMint-ES_2015-04-29-CD150429.u52	Minister, yours for two and a half years has been pathetic, it has been lame; it has made the most horrific ridiculous. It has been two and a half years since you passed a tax amnesty and the Vice-President of the Government had to tell all the Spaniards that, indeed, yes - the Government acknowledged - there was a tax amnesty. Lousy, pathetic. Mr. Montoro, for a lot of things you have to go, but that's also why you have to go home. In the end, it turns out that the economic policy of the Government of Spain is on its way to being the economic policy of the Government of Greece. Mr Montoro, both criticise the economic policy of the Greek Government and end up being its economic policy! [[Rumors]] Mr Montoro, you have said as Minister of Budgets, as Minister of Numbers, that there has been no forgiveness in this country for those who took up the tax amnesty, that Mr Rato has not been forgiven, that Mr Bárcenas has not been forgiven, that the Gürtel plot has not been forgiven. I insist, Mr. Montoro! Those who had to pay 50% plus a fine paid 3%. How is it that those who had to be investigated by the origin of their regularized capital, those who have regularized through the cash, through the 500 euro banknotes, have not been forgiven? Those haven't been chased, Mr. Montoro. Mr. Montoro, look what's going to happen in this country. The list of debtors is going to be published, the list of debtors is going to be published, but the list of tax amnesty, formed by debtors, is not going to be published. And why won't it be published? It is not going to be published because you do not want it to be known that many of your friends and leaders of the People's Party have accepted the tax amnesty, but do not worry, Mr Montoro, because the list is going to be published; the Socialist Party is going to publish the list. Mr Montoro, you do not want to leave; Mr Rajoy does not want to cease, but in the end the Spaniards are going to throw Mr Rajoy and you too. Thank you, Mr. President. [[Several Members: Very well!-Applause]]
ParlaMint-ES_2015-04-29-CD150429.u53	Thank you, Mr. Saura. Minister.
ParlaMint-ES_2015-04-29-CD150429.u54	Mr. President, Mr. Saura, it's not that I don't want to leave, it's that you don't leave me. [[Laughter]] Let's see if we can find out. They have taken, like those little children, a bitch, which we said in my land, and Mr. Sánchez leads that bitch with my modest person in terms, as you say, of the minister of numbers. Thanks to what you call the numbers, the numbers translate into other numbers. Today Spain is growing and creating jobs at the head of the European Union, because it has made a policy of public expenditure of austerity, a policy of tax reforms lowering taxes this year and strengthening economic growth and job creation, a policy committed to reducing the public deficit of all our public administrations, which is allowing confidence to return to Spain, within, and that of international investors making our country the target of their investment. That is the policy we have done, the one we knew how to do, the policy that the socialist governments have done, that they have systematically ruined Spain and that when they exercise opposition what they do is an exercise of demagogy without any meaning and without any content, as Mr Sánchez, head of the Socialist Party, does. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u55	Thank you, Minister. - OF THE DEPARTMENT OF READING SANTIAGO Iglesias, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF AFFAIRS AND PUBLIC ADMINISTRATIONS: DOES THE ETHICAL CONSIDER THE PUERTA GIRATORIA EPISODS TO BE PRODUCED IN THEIR ENVIRONMENT? [[File number 180/001291]]
ParlaMint-ES_2015-04-29-CD150429.u56	Question to the Minister for Finance and Public Administration by Mrs Leire Iglesias of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u57	Mr. Montoro, do you find the revolving door episodes that are constantly occurring around you ethical?
ParlaMint-ES_2015-04-29-CD150429.u58	Thank you, Mrs. Iglesias. Minister.
ParlaMint-ES_2015-04-29-CD150429.u59	Thank you, Mr. President. In Spain, there are rules, rules; the last, the law in force since March 2015, which regulates the private activities of public offices, both the simultaneous exercise of the same and the compatibility of one post after having abandoned another. These are laws that Parliament has passed and it is in that area that we must all stick to. The ethical assessment of individual behaviors does not belong to me. I can have an opinion on a wide range of issues, like everyone else, but it is not my dedication to make that assessment about people's ethical behaviors. My scale of values may be different from that of others, others who are closer to me or further away, as they may be political adversaries, but I do not think it appropriate for me to express my opinion in the Congress of Deputies, it is not my role, and it is my duty to ensure compliance with the current rules, which avoid conflict of interest. Thank you, Mr. President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u60	Thank you very much, Minister. Mrs. Iglesias.
ParlaMint-ES_2015-04-29-CD150429.u61	You're right, Mr. Montoro, you don't need ethics in that revolving door because you've planted the door directly in the middle of your office. You, one day you are responsible for taxpayers, making everyone pay, collecting, and the next day you set up an office to turn taxpayers into customers and advise them on how they should not pay. Then he goes back to the other side of the door and confuses the customers, who no longer know if they are taxpayers, and gives them a tax amnesty. But at the same time you are in charge of the Office of Conflicts of Interest, and in that office you install a huge door in the middle of your office, in the middle of the Ministry of Finance, of the Government, allowing everything to pass. The ministers of this cabinet pass, as has been said before, but the whole team passes, together with that of Mr. Rato, who rides so much, comes to be more or less the same; Mr. Lamela passes, before his problems with justice; Miguel Crespo passes, before being accused by Bankia; Passes Lagares, the son, whose father you put to do the tax reform; Passes Enrique Giménez-Reyna, the one of Gescartera, as Passes Pilar Valiente - do you remember that you put her at the head of ONIF to monitor the fraud of the People's Party?-; Passes Regino Abad, Rosa Sánchez, Fernando Díaz, the brothers Martínez Rico... From Rat to Montoro, from Montoro to Rat, to the IMF and Bankia, the bank manager, the CNMV, to Montoro and Associates, and back again from one side to the other. It's normal that you don't have ethics about it. Mr. Montoro, you're not entrepreneurs. You're predators of the public. Their companies, like that of Mr De Guindos, are dedicated to selling mortgages garbage; to buying social housing from vulture funds, like that of Mr Aznar's son; they relieve taxes, speculate with the health and private management of the public. Mrs. Cospedal was right, very right. They have made a great effort to plunder Spain. You usually use a leftover tone and mockery - you define it as ironic, but it is leftover and mockery - in these control sessions. Do you know what the problem is, Mr. Montoro? That after her laughter is the suffering of many citizens. Stop mocking, go back to your office and return the public heritage. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u62	Thank you, honourable Member. Minister.
