ParlaMint-BG_2021-08-19.u1	Good morning, colleagues.
ParlaMint-BG_2021-08-19.u20	Thank you, Madam President. Colleagues, technical error has been made. The Directive is 2018/2001 of the European Union and it actually enters into force from 11 December 2018. It should have been transposed into our Bulgarian legislation on 30 June 2021. This is the deadline which is stated in the directive itself. With the failure to comply with the deadline, the Bulgarian state tolerates sanctions. So I consider it irrelevant, respectively, that my colleague's proposal to drop point three should remain for me. Thank you.
ParlaMint-BG_2021-08-19.u21	Thank you. I put to the vote the proposal made by Ramadan Atalay for dropping item three from the agenda. Vote 187 MPs: 62 against 112 abstentions 13. The offer is not accepted. I now put to the vote the proposal made by Mr. Stankov for the first point of the hearing of the Minister of Transport, the second point of the hearing of the Minister of Energy, the third point of the hearing of the Executive Director of the Forestry Executive Agency, and the fourth point of the hearing of the Minister of Environment and Water, so to replace the hearings. Please, voting mode. They voted 193 MPs: 136 against 25, abstention 32. The motion is accepted. We begin with the Minister of Transport's hearing. Please have the importer make a brief statement of the questions, you have five minutes.
ParlaMint-BG_2021-08-19.u22	Dear colleagues! Dear Minister, we're sorry you waited a few hours last time, but you couldn't get to that point. The concession at Sofia airport is actually the order with the largest government archive in the previous management of Boyko Borisov and therefore deserves special attention. He deserves it because some strange things have happened to him that don't usually happen in our country. The concession was given in July 2020, then the owner, who is the company that won the concession, was ranked third in a rather strange way. Although it offered a much lower concession fee, it was actually ranked and only by this move of the Bulgarian state we lost 300 million. BGN, i.e. only from the choice of concessionaire. So in the last year we couldn't figure out who was behind Sof Connect. It is the company that won the concession. Behind it, it owns another company, which actually manages an investment fund. But since the airport is part of the country's national security, it is a strategic site, we need to know who is actually the real owner behind it. So far, there is no such answer, although we have sent to all ministries, to the services asking who is the real owner behind the concessionaire at Sofia airport. There are a lot of odds about the concession itself. I'll say one that's quite indicative. According to the requirement, a participant in the company that wins the concession must be an airport operator. There isn't one. There is a consultant, which is Munich Airport and which does not in any way meet the requirements of the procedure itself, which means that the government has this concession and that choice has in any way been favored. However, the big issue arose in winter when the government, with a great march, decided to simplify half a billion leva, that is, to postpone half a billion leva concession fee to the concessionaire for the next 10 years. The feature is that this concession fee will be paid from the 26th year. The concession is 35 years, it will be paid by the 26th. You all know that when they give you half a billion today, after 26 years this half a billion is a small part of its real value to date. This did not happen at the other concessionated airports in Bulgaria, which received only one year extension. The same thing happened to businesses that had loans in the country. They also received a year. But Sofia airport receives 10 years, with the argument being a kind of crisis. Either the previous government, here is full of its ministers, there was information that the Kovid crisis would last 10 years and decided for 10 years to simplify the concessionaire's fee, or it was something else related to the drawers. The questions the concession raises are extremely serious because only so far the Bulgarian state, the Bulgarian taxpayer, is at minus 800 million. BGN, without the previous prime minister coming out with some solid argument to explain why this thing is happening. Airports in Varna and Burgas, which are also on concession, have received a one-year extension and this is logical. The same is happening, by the way, in other European countries. The argument is clear.. a kind of crisis and collapse in aviation, but this does not happen with Sofia airport. Sofia Airport receives a postponement for 10 years, and, notice, the money will be paid from 26th to 35th year, not after 10th year, i.e. maximum good conditions to the concessionaire himself. Therefore, Mr. Minister, we would be interested in you to tell us what you have done since you are a minister of service and the point of view of the Ministry regarding this concession. Thank you.
ParlaMint-BG_2021-08-19.u23	Thank you. Minister, you have ten minutes to inform the National Assembly.
ParlaMint-BG_2021-08-19.u24	Madam President, ladies and gentlemen of the House! Dear Mr. Mirchev, I will try to provide you with information about this concession in its entirety. The procedure for the selection of concessionaire has been completed, has been the subject of a judicial appeal, the choice of concessionaire has been confirmed by both the Commission for Protection of Competition and the Supreme Administrative Court. The concession contract was signed, as Mr. Mirchev correctly noted, last July as it was announced in advance to all participants in the concession award procedure itself, in accordance with the provision of art. 122, para. 1 of the Law on concessions. Concessioner is the company "Sof Connect" JSC. The participants in the company are: Meridiam Eastern Europe Investments.SAC 98.98 percent, Meridiam Investments.SAC.01.0%, Meridiam Infrastructure Europe III. Munich Airport, as the only five-star airport in Europe, has committed itself to taking part in the management of Sofia airport under the concession contract and direct commitment to the Ministry of Transport, Information Technology and Communications. The Contracting Parties have fulfilled the so-called ex ante conditions and the concessionaire has taken over effective management at the airport on 19 April this year. For this purpose, the concessionaire received the certificates and licences required under the Civil Aviation Act in order to be able to operate Sofia Airport without delay and fully. The contracts are signed with the public users, with all employees and employees at Sofia airport who have switched to the concessionaire. The concessionaire paid the initial concession fee of 281 million. Two hundred and 535 euros without VAT. These are the funds that have been made directly into the state budget. The Commission's Directorate-General for Competition issued a letter concluding in advance to the Commission services that the concession contract and its planned amendment did not grant State aid to the designated concessionaire at Sofia airport. The project is financed as follows: European Bank for Reconstruction and Development EUR; Black Sea Trade and Development Bank EUR; the International Financial Corporation, which is part of the World Bank Group, is 30 million. EUR; European Investment Bank (EIF) 40 million EUR, the agreement was signed a week ago; Bank Societe General EUR, UniCredit Bulbank EUR; Communist Credit Bank Euros. About the European Bank for Reconstruction and Development. The Bank officially announced its inclusion in the concession project at Sofia airport a week ago, except with the lending of 50 million. EUR, also with a direct capital investment of 74,3 million. EUR, gaining indirect participation in the company "Sof Connect." In order to monitor the implementation of the concession contract, I have set up a committee for control, as required by the Law on concessions. As Minister of Transport, Information Technology and Communications, I made several meetings with the concessionaires at Sofia Airport. At the same time, I expressed the lack of satisfaction from the state of the airport at this time. I have explicitly and categorically stated that I expect and insist on quick and visible results from the concessionaire at the airport. At present, three months have passed since taking over the management of Sofia airport by the For this period, the concessionaire had and fulfilled the following commitments. In line with its obligation under the contract, the concessionaire prepared and submitted within those three months from the start of the concession, a plan for maintenance and renewal in accordance with the idea plan proposed in its tender. The concessionaire has drawn up and submitted to the concession a quarterly progress report within the 30-day period provided for under the contract after the end of the first quarter. The concession holder submitted to the concession holder a certificate of concession remuneration by its auditor within 20 July on the period of the start date of the concession until 30 June. According to Annex No 6 to the concession contract, the concessionaire submitted a draft methodology for measuring and monitoring the performance standards of the contract within the three-month period after the start date of the concession, which is currently examined by the concession. A comparative analysis of the key performance indicators on operational activities and operations and related to safety issues and safety related activities under Annex 6 to the contract has also been carried out. In addition to the above-mentioned obligations under the contract, the CFF Connect has taken steps and actions to fulfil its obligations with a longer period of execution within six months after the start date of the concession. It has launched the preparation on the basis of its idea plan submitted with the offer of the original master plan, which should be submitted within five months of the start of the concession. In this respect, the concessionaire has started to develop the initial general plan, including forecasts for the strategic development of the airport, a traffic forecast, a complex investment and a construction programme and has undertaken an engineering study on Terminal 2 parking, which will be laid down in its initial master plan. As part of the initial general plan of the airport, the concessionaire should also draw up an initial capacity assessment within five months of the start of the concession. The concessionaire has already been appointed a contractor for the initial capacity assessment, which will include the assessment of terminals and the assessment of runways and platforms at the airport. In the meantime, according to Annex 6 of the concession contract, the concessionaire is required to participate in a quality study of the airport services. In line with the above obligations, the concessionaire assessed the performance of the airport in all key areas, including in terms of passenger capacity and comfort, and took measures aimed at optimizing the operation of the airport, such as the shift of traffic from Terminal 1 to Terminal 2. At present, the concessionaire regularly communicates with the representatives of the Border Police and the representatives of the health authorities to provide faster and better quality service to travellers from and to Sofia airport and to address more effectively the difficulties of the restrictions introduced as a result of the pandemic. Thank you.
ParlaMint-BG_2021-08-19.u25	Thank you, Mr. Secretary. We move on to questions from the parliamentary groups. There's such a people. Come on in.
ParlaMint-BG_2021-08-19.u26	Madam President, Vice-President, Mr Minister, ladies and gentlemen of the House! My question to you is: has the concessionaire presented a Time Plan for the Development of Terminal 2, because at the moment there is no apparent action, there is nothing in the food and shop area, and is there a mechanism in the concession contract with which the concessionaire is obliged to update Terminal 2?
ParlaMint-BG_2021-08-19.u27	Thank you. Here you are, Mr. Secretary.
ParlaMint-BG_2021-08-19.u28	Madam President, ladies and gentlemen of the House! Your question is very timely and this was one of the first things I asked the concessionaire at my meetings and the airport visit. I fully share what you have said, the real dining area and the commercial areas are infinitely neglected, the sanitary premises are in a state that I don't even want to comment on from this tribune. The concessionaire made a clear commitment to start precisely from there: creating a children's corner, renovating and a whole new appearance of commercial areas, eating establishments which are in no way adapted to today's requirements of all consumers, and making a commitment, firstly, to sanitize and renovate sanitary premises, as well as in terms of service, to new uniforms of all airport staff, so that they have, first of all, a more welcoming appearance and, second of all, perhaps more welcoming attitude to all passengers, regardless of departure or arrival. Thank you.
ParlaMint-BG_2021-08-19.u29	Thank you, Mr. Secretary. From GERB-SDS. Do you have any questions from the parliamentary group of GERB-SDS? Here you go, Mr. Ivanov.
ParlaMint-BG_2021-08-19.u30	Honourable President, honourable Members, Dear Minister! There can hardly be any dispute that the issue of concession at Sofia airport was used quite politically, and perhaps some wanted to exercise economically on it. But let's return the topic where it should be, namely in the participation and formation of the economy of Bulgaria, naturally, in the operation of Sofia airport. If the airport had not been taken over by a professional operator at the time of the crisis, with security and reduction three times in the last year, it had to be continued the operation by the State-owned company, the State-owned operator. My question is provoked by the constant desire of political and perhaps economic entities of different management of this significant asset for Bulgaria. According to preliminary data, by 30 June of this year, the company operating at Sofia airport generated an operating loss of 1.9 million. EUR and operating revenues amount to 8.8 million. If depreciations and other financial costs are added, the total loss of the company will amount to 13 million. Euros. This loss is borne by the investor and does not involve the state at the moment. [[Reply by National Representative Georgi Svilenski.]] My question: have you done an analysis, Mr. Minister, how would our biggest airport operate in this extremely difficult situation, as we have seen in the past and this year, for all airport operators, not only in Europe, but in the world? And if Sofia airport continues to operate without investment, without professional management, what would be the effect during the Kovid crisis on it? Thank you. [[Replys from BSP for Bulgaria.]]
ParlaMint-BG_2021-08-19.u31	Thank you, Mr. Ivanov. Here you are, Mr. Secretary. I beg you very much, from the BSP parliamentary group! Mr. Svilensky!
ParlaMint-BG_2021-08-19.u32	Thank you, Madam President. Ladies and gentlemen of the House! For 2020 "Sofia Airport" EAD, when it was still the operator of Sofia airport, ended the financial year with a million and a half losses. This loss, first of all, is due to reduced traffic and, accordingly, served passengers. For comparison, in 2019, Sofia airport served nearly 8 million passengers, while in 2020 there were about 2 million 900 thousand passengers, which undoubtedly spoke about the impact of the crisis on the financial performance of the airport operator. The traffic recovery forecasts are not optimistic. The various comments are that they may return to a 10-year period after 2019, so that the levels in terms of serviced passengers from 2019 will recover between 2024 and 2029 in case the crisis does not have a lasting impact on traffic and the entire aviation industry, which affects not only airport operators but also aviation operators, and air navigation service operators. So the financial situation of any operator at the time of Sofia airport is not colorful. In addition, the Commission notes that the Commission has not taken into account the arguments put forward by Germany in the opening decision as regards the compatibility of the aid with the internal market and the compatibility of the aid with the internal market in the light of Article 107 (3) (c) of the Treaty on the Functioning of the European Union (hereinafter "the Authority') and Article 107 (3) (c) of the Treaty on the Functioning of the European Union (hereinafter "the Authority') and Article 107 (1) of the Treaty on the Functioning of the European Union (hereinafter "the If there are no take-offs and landings, such revenues will not be made. Thank you.
ParlaMint-BG_2021-08-19.u33	Thank you. From the BSP for Bulgaria.
ParlaMint-BG_2021-08-19.u34	Dear Madam President, ladies and gentlemen, Mr. Minister Todorov! By discussing the concession at Sofia airport, it should be borne in mind that the main service providing an airport, an airport operator, is the safe and timely take-off and landing of passengers and cargo goods. In recent years, European Union legislation, in the face of the European Commission and the European Aviation Safety Agency, have introduced and established a number of regulations. One of these regulations is Regulation 139 of 2014. According to our information, there is a serious delay with the introduction of part of the required regulation, the deadline of which was August 2021. In this regard, my question to you, Minister, is: please inform us whether the concessionaire has provided the necessary expertise, staff training and technologies to ensure the safety and regularity of the flights at our main airport in Sofia? And one question. In the event that the information is demonstrated, as far as we understand it, there has been communication between the GGA and the concessionaire if it is demonstrated that this Regulation has not been implemented 139, is that not contrary to the concession contract by the concessionaire? Thank you.
ParlaMint-BG_2021-08-19.u35	Thanks for asking, Mr. Donchev. Mr. Secretary.
ParlaMint-BG_2021-08-19.u36	Madam President, ladies and gentlemen of the House! Ever since my inauguration at my first meeting with the concessionaire, which was in a broad format, together with representatives and the National Regulatory Authority DG GUI, I have firmly stated that the Bulgarian State will not compromise on the quality of flight safety and safety and passengers respectively. It is for this reason that, on 22 June of this year, in accordance with Regulation 139 of 2014, which you have quoted, DG GVA have commissioned and notified the concessionaire for an inspection of the runway for take-off and landing, with regard to the high grass around the track, tyre loads on the runway for take-off and landing and the corresponding falls which have been found on some of the stands. [[People's representatives are talking to each other.]]
ParlaMint-BG_2021-08-19.u37	Quiet, please! Mr. Hadjigenov, the calls outside.
ParlaMint-BG_2021-08-19.u38	Even at this point, I have ordered constant monitoring of the activities carried out by the concessionaire so that we can monitor not only in advance and after carrying out the relevant actions, but on a daily basis what the concessionaire does, within what time limits and with what technologies these prescriptions are made, which are established by the GVA inspectors. Thank you.
ParlaMint-BG_2021-08-19.u39	Thank you, Mr. Todorov. From the Democratic Republic of Bulgaria come on in.
ParlaMint-BG_2021-08-19.u40	Honourable President, honourable Members, Dear Minister! There were many explanations from the stands today about the current situation with the airport concessionaire. Mr. Minister, can you explain why such a service was made to the new concessionaire, namely the postponement of concession fees for the first 10 years of the contract period, for the last 10 years, namely from the 26th to the 35th year? Would you argue that the Ministry's decision on this postponement, given that the extension of the remaining concessionaires in Bulgaria is ten times smaller, namely for a period of one year? Thank you.
ParlaMint-BG_2021-08-19.u41	Thank you for the question, Mrs. Sterkova. Here you are, Mr. Secretary.
ParlaMint-BG_2021-08-19.u42	Madam President, ladies and gentlemen of the House! Yes, I've been familiar with the amendments to the concession contract. The concession contract in its original form, under the concession law, should have been as part of the concession procedure. The concessionaire subsequently requested a modification of the concession contract in October last year, referring to a species of pandemic. In this regard, an analysis has been commissioned by the World Bank, which should review the concessionaire's requests, which have been mainly in delaying the first 10 years of the concession payment for the last 10 years. The World Bank has done its analysis and has found several things that, in order to restore the balance of concession and the full viability of the concession itself, they find it most appropriate to postpone payments for the first 10 years in the past 10 years. Yes, it is a fact that in relation to the other airports of Burgas and Varna, deposits of concession payments are made year by year and we do not have such a long period of delay. The revision will have more adverse consequences if we go to revise this annex than to comply with it. Rather, the International Financial Corporation, which is part of the World Bank, carrying out this in-depth analysis, has found that this proposal is the best for the concession, because in the end the Bulgarian state at the effective date of the start of the concession received the initial concession payment. If we turn it into BGN, that's 660 million. lv. First, a concession payment, an increase in the investment programme of the concessionaire, which will include the construction of an entirely new terminal 3 and possibly with a view to increasing traffic in the future, the construction of a new runway for take-off and landing. So I can share this with regard to the analysis that the World Bank has carried out to postpone these first 10-year concession payments. Thank you.
ParlaMint-BG_2021-08-19.u43	Thank you, Mr. Todorov. Mr. Tsonev, please come in from the DPS group.
ParlaMint-BG_2021-08-19.u44	Thank you, Madam President. Dear colleagues! Dear Minister, in the draft amending the Budget Act we have seen that there are some 30 million planned to compensate the Bulgarian airlines who have suffered severe damage from the pandemic crisis. Of course, these 30 million are extremely insufficient because the airlines in the countries of the European Union were the most powerfully supported by the countries, even in some countries the state itself became a shareholder in order to save the companies. We found out that there was an idea in the office, the account that left 60 million at Sofia airport, to use all 60 million to compensate the airlines, which would be fair. My question is related to another.. the idea to stay only 30 was related to another idea with the other 30 to buy assets at Plovdiv airport, some assets at Plovdiv airport, which are not owned at Plovdiv airport. So my question is: what do you have to buy private assets around Plovdiv airport or at Plovdiv airport? I admit that I am not aware exactly who these assets are, so my question is: is it true that they will be bought, what it requires and whose property these assets are? Thank you.
ParlaMint-BG_2021-08-19.u45	Thank you, Mr. Tsonev. Mr. Secretary.
ParlaMint-BG_2021-08-19.u46	Madam President, ladies and gentlemen of the House! Plovdiv Airport is 100% owned by the Bulgarian State. It is not in any way, and I strongly state that it is not in any way a matter of buying assets of a private company, any of which is, or of assets around the land itself, which constitutes public state property. Bulgarian aviation operators, as I mentioned earlier, have suffered a lot of damage from this pandemic. In the draft amending the Budget Act, we have indeed foreseen 30 million. BGN, as this preliminary assessment we have based so that we can satisfy the most Bulgarian aviation companies. The 60 million you are talking about, from Sofia airport we find no way and mechanism so that they can be transformed to help these aviation operators. Rather, I have taken other actions to enable Plovdiv Airport EAD a Bulgarian company, 100% owned by the Bulgarian State, Sofia Airport as a commercial company "Sofia Airport" has already lost its functionality, it is not an airport operator, but there are certain assets and funds to support the state budget. As you probably know, on an annual basis, the shortage of funding for Plovdiv Airport weighs about a million and a half of the state budget. By means of an infusion that I have offered, Sofia Airport in Plovdiv Airport will support the state budget, funds will be provided for the development of Plovdiv Airport EAD as an airport operator and will thus prevent the possibility of spill-over of funds available at the moment in Sofia Airport EAD. However, in no way is the development of Plovdiv Airport EAD related to the purchase of assets or any other management transactions for some imaginary private company. Thank you.
ParlaMint-BG_2021-08-19.u47	Thank you, Mr. Todorov. From the parliamentary group of.. Stand up BG! We're coming!
ParlaMint-BG_2021-08-19.u48	Madam President, honourable Members! Mr. Minister, the concerns we want to share with you are regarding the non-set specific criterion in the concession contract, as an example I give a certain number of passengers. Why would that be a problem? If the concessionaire in the contract so signed assessed and increased the passenger service fee himself, this would mean that with half of the manpower, he could make the main revenue in his budget, and this is the revenue from the airport charges. I would therefore specifically like to ask: how is the state's interest in the contract protected.. You are familiar with it, and is there a mechanism by which you can regulate this price? I'm talking about the airline service. One question, if I may ask: if during the period of the concession contract, which is 35 years, the State launches the construction of a second airport or entrusts it to another concessionaire, do we owe any penalty to the current concessionaire at Sofia Airport? Thank you.
ParlaMint-BG_2021-08-19.u49	Thanks for asking, Mr. Kolev. Mr. Secretary, come in.
ParlaMint-BG_2021-08-19.u50	Madam President, ladies and gentlemen of the House! The airport charges are not solely in the airport operator's prerogatives, in this case According to the case-law of the Court of Justice of the European Union, any aid granted by a Member State or through State resources is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. Airport charges shall be accepted on the basis of a general decision by all those users of airport services. Therefore, the airport operator is not entitled and able to determine the amount of airport charges because there is some balance between the interest of the aviation operators and the airport operator, respectively. Bulgaria currently has five airports that can operate international flights. For the territory of our country and from the point of view of the scale of the aviation industry, airports in Burgas, Varna, Gorna Oryahovitsa, Plovdiv and Sofia, I think it is enough to serve international flights. In addition, there are small airports that can operate international flights but not for commercial purposes. The construction of a new airport near Sofia or somewhere else on the territory of the country, first of all, I think it is economically unjustified and unnecessary. The concessionaire has not put any conditions on the basis of which I found no such conditions in the concession contract, which, by the way, as you know, is public, is uploaded to the National concession register along with this additional agreement, including the request of the concession holder to amend the concession contract accordingly. In it, I have not found the possibility or restriction of abstention by the Bulgarian State not to build a new airport, no matter what form. Thank you.
ParlaMint-BG_2021-08-19.u51	Thank you, Mr. Secretary. We move on to the second questions of the parliamentary groups. There is such a people. Here you go, Mr. Danailov.
ParlaMint-BG_2021-08-19.u52	Madam President, honourable colleagues, Mr Minister! My second question is related to the state-owned company..Sofia....who is managing it at the moment; what is its state; what actions have been taken to collect the claims that the company has; what will happen to the assets of this company, including the holiday bases that are part of the assets; what happens to the goods that are purchased for the duty free zone, is it sold to the company if not................................................................................................................................................................................................................. My last question is: will you return the airport operator's license or will it be reserved? Thank you.
ParlaMint-BG_2021-08-19.u53	Thank you, Mr. Danailov. Mr. Secretary, come in.
ParlaMint-BG_2021-08-19.u54	Madam President, ladies and gentlemen of the House! "Sofia Airport" is currently 100% owned by the Bulgarian State, a trading company that has lost its functions as an airport operator. What to do with his future? According to the Public Enterprises Act, I have undertaken a request to the Public Enterprises Agency and control for permission for the injection of Sofia Airport in Plovdiv Airport EAD. The infusion suggests that all assets should be transferred to Plovdiv Airport, together with all stocks of accounts. Why? I explained it a little while ago, but I'll say it again. In this way, I believe that the state budget, which provides an annual base of nearly 1.5 million, will be alleviated. lv. For the maintenance of Plovdiv Airport EAD, funds will be provided for the purchase of assets needed for the operational activity of Plovdiv Airport EAD. In this way, there will be no spillage of property, assets, including the rest of the station, which you are probably talking about. What are they doing about the preservation and recovery of their claims? As you know, the employees and employees of the Sofia Airport EAD under the concession contract have switched to the company. Currently, the Sofia Airport is managed by the Board of Directors in a composition of three people. They have very few staff available, mostly related to the security and protection of the assets you are talking about, such as the rest of the station, such as Balchik Airport, but they also have employees responsible for the company's accounting and policy, lawyers who prepare the relevant claims to be able to collect their uncollected claims. Despite the fact that at a future moment Sofia Airport will be flown into Plovdiv Airport EAD, the collection activities and the requirement of all kinds of claims to be made will continue. Thank you.
ParlaMint-BG_2021-08-19.u55	Thank you, Mr. Secretary. The parliamentary group of GERB-SDS is welcome.
ParlaMint-BG_2021-08-19.u56	Madam President, ladies and gentlemen of the House, Mr. Minister! After the concession at Sofia Airport, the state company "Sofia Airport" EAD is no longer de facto an airport operator. It has only operating assets and significant financial resources. On the other hand, Sofia Plovdiv Airport is the only major airport operated by the state with regular international flights, but also with significant financial difficulties. I recall that the second concession procedure carried out in recent years has also been terminated due to a lack of requested interest, although it has been repeatedly extended. Plovdiv Airport has the potential for development At the same time, it needs significant investment for its development. As a result of the above, my question is: what will be the fate of the company "Sofia Airport" EAD; is the theme of the company's infusion or merger with "Plovdiv Airport" EAD? As a sub-question, I would like to ask you: are the necessary analyses done for such restructuring and how do you see it in time? Thank you.
ParlaMint-BG_2021-08-19.u57	Thanks for asking, Mr. Malinov. He was partially answered a moment ago by the Minister, but please come in.
ParlaMint-BG_2021-08-19.u58	Yeah, more like the subpoena.
ParlaMint-BG_2021-08-19.u59	Yeah. Here you go.
ParlaMint-BG_2021-08-19.u60	Madam President, ladies and gentlemen of the House! I will take you back a little at the time of the first concession of Burgas and Varna, when the concessionaire took over the management of the two sea airports. There were two commercial companies left. They lost their time as an airport operator, as is now Sofia Airport. For this reason Burgas Airport and Varna Airport were flown into Plovdiv Airport, which allowed the new terminal at Plovdiv Airport to be in this condition, namely with the available financial resources that came from the two sea airports. I think it is appropriate that this form of infusion of Sofia Airport in Plovdiv Airport EAD. Why? Because, as you pointed out, Plovdiv Airport is experiencing an acute need for a certain type of technique to serve the aircraft. [[Noise.]]
ParlaMint-BG_2021-08-19.u61	Quiet, please!
ParlaMint-BG_2021-08-19.u62	There are no specific capacities in the meaning of the GSM, which will also enable the Airport of Plovdiv and EAD to realize commercial revenues from charging aircraft, no capacities and halls in terms of the prerequisites for the development of cargo traffic. For this reason, my team and I have considered this infusion to be appropriate, lawful and economically justified. Yeah, the financial resources are not just him. There are also certain assets of Sofia Airport, which are outside the territory of Sofia Airport, such as Balchik Airport, Holiday Station, Kosmos and other properties and terrains around Sofia Airport. In no way will there be a possibility for the Plovdiv Airport EAD to dispose of them in the sense of being sold, as some of the terrains are public government property and are simply obstructed by the law. As regards the development of Plovdiv Airport as such. Yes, the concession failed, probably also because of the coven pandemic, but we must create such conditions that suggest attractiveness in potential concessionaires. At the same time, I have also assigned the preparation of updated concessional analyses, as this is a basic prerequisite that will give us a picture of how and how much, what type of concessionaire we are looking for, whether it is primarily oriented to cargo flights, to passenger flights or to mixed flights. We'll look at some scripts. I hope the next team of the Ministry will choose the best for the development and future of Plovdiv Airport. Thank you.
ParlaMint-BG_2021-08-19.u63	Thank you, Mr. Secretary. For a question from the BSP parliamentary group, please come in.
ParlaMint-BG_2021-08-19.u64	Thank you, Madam President. Ladies and gentlemen of the House! Dear Minister, the concession contract provides for the concessionaire to provide an annual report containing key data on traffic, revenues, costs, investments and so on, also updated financial and operational forecast for the development of Sofia airport. We have learned from the media appearances of the management of Sof Connect that Terminal 1 is soon scheduled to stop serving passengers and eventually become an administrative building. However, I recall that under the concession contract concluded, the concessionaire has committed itself to building even a third terminal by the tenth year of the concession. My question to you is: has the Ministry of Transport already received the annual report for the first year of the concession? Are you going to publish this report, make it public? In general, how do you control the implementation of the commitments made by the concessionaire? And most importantly, perhaps: what sanctions did GERB have in the concession contract for the concessionaire in case of default? Will any penalties for non-compliance be imposed in this regard in the first year? I think these are the important questions. In the attitude we will complete our comment. Thank you.
ParlaMint-BG_2021-08-19.u65	Thanks for asking, Mr. Danchev. Here you are, Mr. Secretary.
