ParlaMint-NL_2018-12-19-tweedekamer-6.u1	I'll give the Minister the floor.
ParlaMint-NL_2018-12-19-tweedekamer-6.u12	The Minister says: yes, it is true that the Chamber does not have a budget right when it comes to contributions, because the idea is that it is a premium and that it should go to the purpose for which it was collected. But why can't the cabinet eat out of it to its heart's content?
ParlaMint-NL_2018-12-19-tweedekamer-6.u13	I think it's different. I would also like to add to Mrs Leijten that Parliament, as co-legislator, of course has absolute control over expenditure in the premium sectors and whether the amount of the premium is the right one. In this way, Mrs Leijten can also exercise her budgetary right, provided she can find a majority for that.
ParlaMint-NL_2018-12-19-tweedekamer-6.u14	No, that wasn't the question. At a time when money is left on care, that has simply been the case over the past six years; it is a total of 9.6 billion... the government may say where it is going, but not the Chamber. That's not right, is it? Why is the government allowed to do that, but not the Chamber?
ParlaMint-NL_2018-12-19-tweedekamer-6.u15	I think I've just tried to explain what the Chamber can do. But to correct Mrs Leijten's image, the following. Yeah, there's been under-exhaustment. I will come to Mr Nijboer's question in a moment, which part is structural and which part is incidental. I think that question is right, because if it is structural, you could also choose a different use structurally. But it's really a misunderstanding, let me put it this way: there's always been money left in care. On the contrary, we have spent billions and billions and billions more on healthcare in recent years. It's about billions. In this cabinet period, too, 16 billion is added, as I recall. We have a problem with the level of healthcare expenditure rather than that there is constant money left. It is true that there are small windfalls in relation to these forecasts, but that is how we have to look at it.
ParlaMint-NL_2018-12-19-tweedekamer-6.u16	There's a structural underexhaustment. The Council of State has already pointed this out to us. That money is being used structurally for something else. What matters to me is that the government is allowed to magic with the money that is said to pay for care, when when the Chamber says that it has a different destination, it is always said that you have no budget right. Then you have to make sure that the Chamber can just re-vote it completely.
ParlaMint-NL_2018-12-19-tweedekamer-6.u17	Mr. Chairman. I'm moving on to block two. And block two is about...
ParlaMint-NL_2018-12-19-tweedekamer-6.u18	Under-exhaustment.
ParlaMint-NL_2018-12-19-tweedekamer-6.u19	I'm gonna get the whole list, 'cause I'm gonna know the order in a minute. But you hit the nail on the head, Mr. Chairman, it's about underexhaustment. There are a number of questions on this by Mr Snels, Mr Nijboer, Mrs De Vries and Mr Stoffer. It might be good to start there at the beginning. The expenditure frameworks we have are maximum frameworks, so no one has an obligation to spend that money coûte que coûte. I think this is not only a question of finance; I remember that some of the Members themselves said it last year in this debate and I think it is also a question of financial considerations. So there is no obligation on anyone in the cabinet to do so. In fact, it is citizens' money which we must be sure to spend in a sensible and efficient way. What's the matter with the underexhaustment? Or at least with a large part of it, because I was pleased with Mr Nijboer's nuance that they are actually different pieces that you have to deal with differently. Due to a combination of factors, the cabinet spends less money on a number of subjects than it intended. This has to do with the time when the cabinet took office, which was very late in 2017, which meant that a lot of plans had to be implemented in a hurry. So it has to do with the lead time. It also has to do with the wider cut that we see. There is a well-run economy in which entrepreneurs are not short of projects, employment is very good, but there are also signs of serious labour shortages. That is important to keep in mind when going through this discussion. The next thing I would like to say about it, also to Mrs De Vries and Mr Nijboer, is that, of course, I am not trying in any way not to spend that money. We follow the normal arrangements at any time. This means that all members of the Cabinet are simply entitled to do the expenses as they are budgeted, provided that they are properly planned. Finance then, of course, makes the funds available. There is one nuance to that, in which the Chamber, and certainly this committee, will end with me, namely that you want it to be effective. You do want to make sure that you protect yourself from inefficient spending, especially at the end of the year because the money would have to run out. It shouldn't be. That is the second point. The third comment. Mr Nijboer rightly said that part of this was already covered by the Millions Note. It has become a bit more; that's right. At the same time, a large part of the money remains available. Mr Nijboer also knows that there is a 100% end-of-year margin for IenW and Defence. This is another risk for the Minister of Finance, because this simply means that I have a mandate. I'll get to that in a minute. But the money remains available. In addition, there is the maximum 1% annual margin. It's designed precisely to protect us from the so-called autumn or December fever. In this context, Mr Stoffer asked whether departments were not always allowed to take those funds with them. I do not think it is the perception of most colleagues that they should take this too casually. In my view, we have struck a good balance between ensuring efficient spending on the one hand and the 1% margin on the other, so that the average ministry can take some with it when it's over, but not all. In addition, there are specific agreements with Defence and IenW, which relate to the nature and nature of these two ministries: long-term projects with long-term commitments. Mr. Chairman. Mr Nijboer asked: 'I have just referred to '...
ParlaMint-NL_2018-12-19-tweedekamer-6.u20	Before you proceed, Mr Slootweg has a question.
ParlaMint-NL_2018-12-19-tweedekamer-6.u21	I know how this end-of-year margin works, but infrastructure doesn't spend the money year by year. The minister's pretty much pointing out that the cabinet got a bit late in the day. Yet here I almost feel that it is no longer a matter of getting on steam too late, but that infrastructure has a structural difficulty in getting on with this overprogramming. You're gonna need that overprogramming to at least get it right. Does the Minister have any ideas as to how we can achieve this?
ParlaMint-NL_2018-12-19-tweedekamer-6.u22	It's not that extreme. However, the economy is doing very well, which you see in particular in a ministry like that of Infrastructure. Those who have to provide services in part have a different situation than a few years ago, and fortunately, they have no shortage of work. I think we all know it from our personal situation: where contractors, such as contractors and people in construction, were in line a few years ago, you can now join in line as the client. In that respect, it has changed completely. I have no structural concerns yet, but I will put this on my list to include with the Minister of Infrastructure. Maybe that's how I get to deal with Mr. Slootweg.
ParlaMint-NL_2018-12-19-tweedekamer-6.u23	At least I think that's very nice. It was already a bit along the lines: because of this delay, the projects also last longer. Do you therefore have the chance that you could have realised less later in this cabinet period because these projects take longer and the costs have been incurred as a result?
ParlaMint-NL_2018-12-19-tweedekamer-6.u24	Again not necessarily there, but that of course requires sensible project management, in this case from that particular ministry. This means that you also have to make solid agreements about a specific project. But we are going to dissect the work of the Minister of IenW and the people who work for her. Of course, you have to make good appointments, so that because of not having enough people at your disposal later on, you don't mess with your contractual obligations. My firm observation is that the Ministry looks at this in a sensible way and thinks about it. Mr. Chairman. Mr Nijboer and others asked the right but not so easy to answer which part is occasional and which part is structural, even because you see the mix shifting over the years. Here's what I want to do. I was already very interested in this and I am encouraged to do so by him and others, namely to have made it clear to the Spring Paper what is our best possible estimate at that time of the part that is possible structural and the part that is obviously incidental. That also seems to me to be the right decision-making time. In all honesty, I asked in the Ministry, but I don't have any figures for that at the moment. I cannot now say what is occasional and what is structural.
ParlaMint-NL_2018-12-19-tweedekamer-6.u25	I'm surprised at that. You have a budget, even more so, all budgets, and there is less spending than expected on posts that are very precisely specified. You know that such a fine is occasional, but in the case of Defence and Infrastructure it is structural because they are already not getting their extra expenses, they have received so many hundred million more and in the years to come hundreds of millions more. They haven't reached the first one, so that's structural. They'll take it with them. I can sort of break it up myself. You know where the bumps and the setbacks are, don't you? Of course, if you spend less on medicines, for example, it is a bit of a question whether those prices remain structurally lower or whether those prices are not that bad only this year. There's always a bit arbitrary in it, but you do have a little sense of which part of that 3.7 billion is structural and which part is incidental? Whether it's a ratio of 1/2.7 billion or 0.5/3 billion or half at half? Doesn't matter to the Chamber.
ParlaMint-NL_2018-12-19-tweedekamer-6.u26	I also know Mr Nijboer as very carefully and he would not find "a little feeling" enough here.
ParlaMint-NL_2018-12-19-tweedekamer-6.u27	Now I have nothing, Mr. Chairman.
ParlaMint-NL_2018-12-19-tweedekamer-6.u28	I also believe that we should map this in a good and proper way. To mention just how difficult it is: Mr Nijboer mentions two examples where it might turn out differently. To be honest, at least I hope that some of the profits on medicines will prove to be structural. And I see the situation with Defense and IenW, but especially with Defense, really different. That is a start-up problem, my firm observation. I suspect that this will not be possible for the next year, but at least later in this cabinet period, in a sensible way until the last euro, and I very much hope so. I don't see any structural underexhaustment there.
ParlaMint-NL_2018-12-19-tweedekamer-6.u29	That's what we're gonna see. I share the concerns of the CDA. The defence budget will be increased by 19% next year. That was the issue with the Millions Note, but it will be a little more now. So we are going to spend 20% more in this labour market, because we also need more soldiers. That's just not gonna work. I can tell you that already. You will come back next year with the communication: we will pass it on. I find it difficult to get a grip on the Minister's argument: we started late, it may be occasional... It's big money. 100 million is also big money, but 3.7 billion is twice the dividend tax and we have talked about this for a whole year.
ParlaMint-NL_2018-12-19-tweedekamer-6.u30	I was hoping we could make that comparison somewhere. But for the sake of precision, I was just so pleasantly surprised by the way Mr Nijboer himself unraveled the problem and acknowledged that a large part of that money immediately falls prey to the 100%-end of the year margin. So you can't count on that. It does land in the balance now, but I can cheer it up again next year or else the year after that. That means a risk to me. Mr Nijboer knows how this in-terminal works. The second is that there is indeed a fine of more than half a billion. And besides, you have the question: what is incidental and what is structural? But I would really like to free us from that thought, as if there were 3.5 billion left, which is not being spent now. That's just not right.
ParlaMint-NL_2018-12-19-tweedekamer-6.u31	I do agree with Mr Nijboer. I think it is remarkable that the Minister cannot state what is occasional and structural. Because earlier, when the cover had to be found for the gas decision, there was no doubt about that. I think we should make better assessments of this for the future. I have another point. The Minister seems to say a little 'yes, yes, I do not really have a role in that'. But I do think he has a role to play in planning: when can and when can the investments be made in the defence sector and when can the Ministry of IenW be ready and not ready to implement these road projects? Because he also had to authorize the release of the additional post to the ministries. So I wonder how he sees his role in planning that kind of investment, too, so that we have less of this kind of under-utilisation.
ParlaMint-NL_2018-12-19-tweedekamer-6.u32	Perhaps I will start with the first point, in order to avoid misunderstandings. Of course I'm interested in knowing what is occasional and structural. That was my first question, even earlier in the year, at the Ministry. Because that makes a lot of the conversations we have here, but also of the conversations we have in the cabinet, of course, just easier and more insightful. That is why I would also like to assure the Chamber that I will come up with this at the next decision-making moment where you will look at the totality of the revenue and expenditure, namely in the spring decision-making process. I think that's prudent. I could very well imagine that there might be a reproach if I make an assessment now, with 50% or 60% of them appearing to be wrong. I understand Mrs De Vries' second point just as well: do I see myself as a driving force in making that spending? The least that colleagues can expect is that I simply make it possible for them to do the spending properly. I see two of those who are particularly concerned here with efficiency in the first place. I'll see if that happens in an efficient way. I do not have the impression that colleagues in this cabinet need another driver because they are actually reluctant to do their own spending. That is not the case. The Minister of Defence and the Minister of Infrastructure were also keen to spend that money this year. I do not have the impression that I can do more for them.
ParlaMint-NL_2018-12-19-tweedekamer-6.u33	I am sure those ministers would indeed have liked to spend that money on charities, I shall say, on good things for the defence and for infrastructure. But the question is: when are you going to start planning something in a budget? I believe that the Minister for Finance has a role to play in this.
ParlaMint-NL_2018-12-19-tweedekamer-6.u34	Sure.
ParlaMint-NL_2018-12-19-tweedekamer-6.u35	I therefore ask him to be critical of this and to look carefully when it is realistic to put this type of investment in the budget.
ParlaMint-NL_2018-12-19-tweedekamer-6.u36	Of course, I fully agree with Mrs De Vries. It is also good to realise that some things remain the situation of tightness. For other things, however, in the case of the Defence Department, I am simply thinking of large capital investments in, for example, material investments, that is, of course, a completely different story. There you do not have that dependence on, for example, the labour market.
ParlaMint-NL_2018-12-19-tweedekamer-6.u37	First of all, there are not just two Members in this Chamber who think efficiency is important. That's what I want to say. And then to the Minister. He says he can't tell what's structural and incidental right now. Well, what we've got from ING, which is close to $800 million, is indeed occasional. However, in view of the banking sector, this might also be structural. We don't know what else is hanging over their heads in criminal matters. But everyone understands that. The Minister says that he cannot now indicate what you can spend on this because he may have been wrong about the final law in the spring and we may have spent too much money. I get that, too. But he's taking away the opportunity to spend money with this. Not only does this deprive us of sight, it also deprives us of budget rights. Does the Minister recognize that?
ParlaMint-NL_2018-12-19-tweedekamer-6.u38	Apart from the introduction of this question by Mrs Leijten, I would like to outline it once again. There are two policy moments in the year; let me put it this way. There are two...
ParlaMint-NL_2018-12-19-tweedekamer-6.u39	I know how the state budget works.
ParlaMint-NL_2018-12-19-tweedekamer-6.u40	But I'm gonna say it anyway, because it's important. This debate, the Navy note, is not the time when the cabinet is looking at what it can do to facilitate additional wishes. I am going to say something about the budget reserve in a moment.
ParlaMint-NL_2018-12-19-tweedekamer-6.u41	Half a billion is reserved...
ParlaMint-NL_2018-12-19-tweedekamer-6.u42	Mrs Leijten, we will allow the Minister to speak for a moment, and then you will be able to do your second part of your interruption.
ParlaMint-NL_2018-12-19-tweedekamer-6.u43	Mr. Chairman. I would just like to refer to the Navy's note and last year's debate. One of the most fundamental things we did back then had to do with that dramatic situation with that hurricane in the West. We then made a specific reservation of 550 million, I believe. That type of business is obvious to do with the Autumn Note, but additional policies do not facilitate. And I think that Mrs Leijten is also concerned about efficiency. I'm serious.
ParlaMint-NL_2018-12-19-tweedekamer-6.u44	Such a final statement is just arrogant. That doesn't fit a minister in this Chamber. Everyone here thinks that's important. And pretending that only two members would consider efficiency important is really bullshit. And then being happy that I would be worried about that, too, is to a large extent arrogant. That fits a minister. And then back to our chance to exercise budget law as well. Here in the Spring paper I made the proposal to make money available for practical learning. That was a small amount of money. That was not allowed then, because "who knows there was a deficit in the autumn and we would have already spent money." Now we are in that autumn and the surplus is even bigger, and now it is not allowed. In this way, the Minister is preventing the Chamber from taking initiatives, and that is not allowed. We can see that such a fine is occasional for ING, but the rest, which is possible structural or at least possible for an occasional edition, he should present us in a clear way. For this is the moment when the Chamber indeed is! It is also possible to make additional expenditure, just as the cabinet does, because it also raises a CO fund for half a billion.
ParlaMint-NL_2018-12-19-tweedekamer-6.u45	I really distance myself from this reasoning. I have said that there are two policy moments for the cabinet to look at the total palette of revenue and expenditure. That is what we do in the spring decision-making process, and we do it again in the August decision-making process. Let me now turn to the two rapporteurs. There are two rapporteurs who do this on behalf of the Chamber. I have said that they sat up straight. That was physical also to be observed on this subject. I believe that they are doing so on behalf of the Chamber and not on their own behalf, so I did not say that or meant that either.
ParlaMint-NL_2018-12-19-tweedekamer-6.u46	I just want the Minister now to answer my question about the possibility for us to exercise budgetary rights. Then we need to know: what is a structural under-utilisation, what is an incidental source of income, such as such a fine for ING, and what is an incidental under-utilisation? If we do not get that overview, neither in the spring note nor in the autumn note, we will be restricted in our budget law.
ParlaMint-NL_2018-12-19-tweedekamer-6.u47	I have just said to Mr Nijboer that I think it is important that we all understand which part is occasional and which part is structural. This applies to the Cabinet and, of course, to both Chambers. And it seems obvious to me that I am doing this carefully, and that I will come back to that in the Spring paper. I think that is exactly what Mrs Leijten is referring to. So that's what I'd like to see her about.
ParlaMint-NL_2018-12-19-tweedekamer-6.u48	I've heard it all this way, and I thought, "Who's going to worry about efficiency?" I thought so, too, but it's two others. Very good, because at least there are three who are concerned about that. But my question is another. I understand we don't understand everything right now. But if we go to the Spring Note later, I'm gonna give it a try, at least there's one MP who's always very concerned about public debt. I am, but I hope the others are, too. Can we not make the agreement that if there is structural money left, we will put that structuralally in reducing public debt?
ParlaMint-NL_2018-12-19-tweedekamer-6.u49	For a part of me that sounds immediately like music to the ears, but even in that science that is something we naturally have to weigh with the whole cabinet. We also need to look at the balance sheet in precisely that triangle that I outlined earlier: investing in society, reducing burdens and getting public finances in order. So I thank Mr Stoffer very much for his encouragement. I have also said before that it really helps in general if members of the Finance Committee are also concerned about the very state debt. I believe that this is something that we had a very extensive exchange a year ago. And it is good to repeat once again that we have been told by the Planning Bureau and the Council of State, our chief mathematician and our main advisor, that we are close to the edges of what we can all spend wisely. We have an expansive budget. So thank you very much to Mr Stoffer for this tightening up.
ParlaMint-NL_2018-12-19-tweedekamer-6.u50	I look forward to spring with confidence.
ParlaMint-NL_2018-12-19-tweedekamer-6.u51	The Minister continues his speech.
ParlaMint-NL_2018-12-19-tweedekamer-6.u52	Yes, Mr. Chairman. Mrs De Vries asked if I could also clarify the outstanding targets for the next Millions Note. I'll tell her. Then I will start with the 2020 Millions Note. So that's what I come up with in 2019.
ParlaMint-NL_2018-12-19-tweedekamer-6.u53	Thank you for that, because that was indeed one of the questions I had. The follow-up question is, of course, whether there will be a proposal on how these targets will be fulfilled. I do not think it would be wise to carry these targets infinitely in the future.
ParlaMint-NL_2018-12-19-tweedekamer-6.u54	I very much agree with her. By the way, to some extent, I would have liked to have resolved this in the light of the forthcoming spring decision-making. She is absolutely right that these targets are there to be fulfilled. So I'd like to make a deal with her so that, if it's okay, I'm gonna do some of that in the next spring round. The last piece I'll do at the Millions Note. I do not know exactly which targets might be agreed, so I cannot fully guarantee that everything will be fulfilled, but that must of course be the objective. Mr Slootweg drew attention to the under-utilization of IenW and Defense. We talked about that. I have explained that the resources remain available at these two ministries. Mr Slootweg also asked about the accres. A fair question, because if you have under-utilisation on the rich budget, then it also immediately has its impact on that staircase-on-strap-afsystematiek. That system generally works pretty well. That is not only what we think of the Empire, but also provinces and municipalities. However, we have wondered whether this might be a completely unintentional way of putting municipalities in trouble. Our perception is now that this is not the case. It remains, of course, that if we spend that money in addition, we will think of the higher expenditures of Defence and Infrastructure, which, of course, also has its impact on the accres. So part of it just comes back. Mr Nijboer asked about the OCW mission. That target is the result of an autonomous setback on the reference estimate and will have to be completed in spring 2019. I'll talk to the Minister of OCW later today. Then I think I've treated the block of underexhaustment.
ParlaMint-NL_2018-12-19-tweedekamer-6.u55	I had asked a few more questions about the in=terminal.
ParlaMint-NL_2018-12-19-tweedekamer-6.u56	Oh, yeah, I'll do that right away. In my opinion, Mr Snels' question was not so much how it works as why you are trying to do it relatively quickly. I believe that Mr Snels, either in the General Financial Reviews or in the debate on the Spring Note, has asked the same question exactly, namely how things have gone in the past. You see an image that it happens at all kinds of decision-making moments in the year, but also that each of my predecessors has always seized the first possible moment to fill in part of the mission statement. That also makes sense, because the moment you don't fill out that job, but you always spend money, you have a problem with your annual frameworks. So it is obvious, perhaps, that Mr Snels finds that a little disappointing that I am also trying to fill in part of that mandate directly with Spring Note, if that is possible.
ParlaMint-NL_2018-12-19-tweedekamer-6.u57	I understand the Finance Minister's dilemma. We should be careful about this, too. But I do remember the debate we had on Mrs Leijten's amendment in the spring paper. At that time, about your answer was: that is not allowed by the budgetary rules. You now state in the written answers yourself that this in=terminal may indeed be used through the Court's budgetary right for amendments. In fact, while recognising the Minister's dilemma, my question is to be somewhat clearer in the coming spring note about the room that the Chamber has to use for any policy changes. I think that would be helpful for us.
ParlaMint-NL_2018-12-19-tweedekamer-6.u58	Let me do that, then, also in order to eliminate any misunderstanding that might exist with Mr Snels or Mrs Leijten, whether or not I have replied. We are going to do this task together, as a parliament, as a cabinet and I, of course, particularly as Minister of Finance. It is quite logical that I actually have exactly the same reflexes as my predecessors, namely that because that task has to be fulfilled, you also see what Mr Nijboer says about those other targets, the first possible moment at which you can reasonably do so, also with both hands. So I won't be able to suppress that reflex next time. Mr. Chairman. This brings me to energy, climate and the budgetary reserve. As has already been said, purchasing power, energy and the citizens' energy bill then follow. Mr Snels first asked about the legal obligations as of 1 January in the financial year 2019. Honestly: if he doesn't put his finger on the sore spot there, then he'll ask for attention to what's just a dilemma. I suspect that's what he's asking for himself for. The draft budget is an estimate. This includes an assessment of which part of the cash budget is mandatory on 1 January, to suppliers, to implementing organisations and so on. Some of the money is not compulsory at that time, but it is a few months later. The opposite would actually be undesirable, because then you would not have prepared yourself as a government at all for that new financial year. I understand Mr Snels when he says: at that time, therefore, the piece of free space is even more dressed up. We've really been looking into that. I do not see how I can solve that dilemma other than simply reporting it very transparently. The General Court is also going to look at this budgetary methodology. I'll ask them to take a specific look at this as well. Mr. Chairman. I'm gonna move on to the rest of block three. As I said, the autumn note is the moment when in principle no new policy wishes are accepted, but we have the regular decision-making moments for that. It is true that, as a cabinet, we naturally aim to accelerate climate policy, that there has also been a judicial ruling, and that is why we have thought that it is simply prudent to reserve 500 million once, with caution and also knowingly with the chosen wording as it stands on paper. I would like to point out in particular, including to Members, the following. It says the word 'possibly', in which several ministries are mentioned and in which it is mentioned that it is based in the Ministry of Economic Affairs and Climate Policy, but that there is also a special obligation on me. In that context, we need to see it. Nor is it preached to be attributed to one category or another. There we are, to be honest, not yet either. But it was the view of the entire cabinet, especially myself, that it would be prudent, given the state of the crop, to make a one-off reservation for this. Mr. Chairman. Mr Slootweg asked in particular about the assessment framework. Of course, I will always look at the question: what is cost-effective or effective and how do we do it in such a way that we get as much CO reduction as possible for as little money as possible? By the way, I'm not doing that alone. That is, of course, also absolutely the challenge of the Minister of EZK and of the other members of the cabinet.
ParlaMint-NL_2018-12-19-tweedekamer-6.u59	Can we just get an overview of what that 500 million is built up out of? Which ministries, how many, what obligations? I mean, just put away half a billion dollars and don't know why... Is that because of the threatening fine from Brussels? Is that because you actually want to do something for the Urgenda case?
ParlaMint-NL_2018-12-19-tweedekamer-6.u60	Your question?
ParlaMint-NL_2018-12-19-tweedekamer-6.u61	Or is that because there is actually expected expenditure? Then we must also be able to check whether this is sufficient, whether this is only for companies, as is the interpretation of the PvdA? Our explanation is that it is a provision for a huge fine to come. But I'd like to see the underlying underpinning of that $500 million.
ParlaMint-NL_2018-12-19-tweedekamer-6.u62	I am equally interested in what threatening Brussels fine Mrs Leijten has in mind. That's news to me.
