ParlaMint-NL_2018-11-22-tweedekamer-14.u1	Let's move on to the second term of office.
ParlaMint-NL_2018-11-22-tweedekamer-14.u12	A brief reflection, Mr. Chairman? That's always a challenge! This motion has not been tabled solely on the basis of a certain recent case which we all know. It's actually the order of the day. I specifically looked at that. I myself wrote a note about this that can be found on our website. In the past, even with certain legal persons, the agreement has been made that should not at all prevent natural persons from being prosecuted. It has been admitted that it would never have liked that. But we believe that the starting point should be explicitly in the OM designation, based on the idea that criminal acts by a legal person are always based on human actions, and that in any case there should always be investigation into the actual managers and principals.
ParlaMint-NL_2018-11-22-tweedekamer-14.u13	Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u14	Twenty years ago, research was carried out on class justice in the Netherlands: undesirable selectivity in the criminal justice chain. Often, as I say to the Minister of Justice and Security, that will also be unconscious. It's possible. However, I would like this to be re-examined independently, because that has not happened in the last 20 years. My thesis is that there is indeed evidence of class justice in the Netherlands. We may disagree on certain issues, whether or not to settle with legal entities, on the extent of access to law in the Netherlands, but let us re-examine this, as was recommended twenty years ago and never did. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that 20 years ago serious research was carried out into the existence of class justice in the Netherlands and that this study showed that there are signs of class justice and that more research is needed in order to obtain a clear picture of the nature and extent of class justice and the causes of unwanted selectivity;]] [[calls on the Government to carry out an independent, scientific investigation to determine whether and to what extent class justice exists in the Netherlands, what the causes are and where the vulnerabilities are,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Van Nispen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-53]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u15	Then I come back to the issue of under-exhaustment in the budget. That's a very risky post. The minister called this "usual," but it just isn't. That's just wrong. We figured it out. It just hasn't been like this in the last few years. It is only at the end of the year that you can know which money was not spent. It's very strange to book in advance that you'll have 96 million left, so you won't survive. Where are these cuts gonna end up? That is the question that we have expressly raised. I am really sorry, Mr President, but I have to make the amendment to item No. Fourteen withdraw. That is a pity, because I had really hoped that we could make additional investments in police, prosecutor's office, justice and the chain of execution, but unfortunately that is not because of that technical reason. But in order to avoid this strange and undesirable course of action, I will submit the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that normally there is under-exhaustment after the end of a financial year, but that the budget of the Ministry of Justice and Security of 2019 already states in advance that EUR 96 million will not be spent in 2020 due to foreseeable under-exhaustment;]] [[considers that it is unclear how the estimated under-exhaustment is to be achieved and that this should therefore be seen as a budget cut in the budget of Justice and Security;]] [[calls on the Government to minimise the amount of under-utilisation and under-utilisation of operating surplus, as in previous years, and to at least clarify why it expects the amount of under-utilisation and over-utilisation in the coming years to increase,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Van Nispen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-54]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u16	It sounds very technical, Mr President, but it's where this cut ends up. How is it possible what the Minister is doing here in budgetary terms? Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u17	Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u18	Mr. Chairman. Due to delays at the IND, the service has already had to pay more than one million in compensation to asylum seekers. For this reason alone, the adoption of the SP and GroenLinks amendment would be sensible; a win-win situation. Mr President, I have three motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that rejected and harassing safelanders should return to their country of origin as soon as possible, in accordance with the adopted motion (19637, No. 2321);]] [[Considers that as long as this does not happen, it should be possible to place in an ebtl.]] [[calls on the Government to remove obstacles to the placement of offensive safe-lords in an ebtl,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-55]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u19	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that limiting or abolishing discretionary power can only be considered when the extension of the child's pardon is also at issue;]] [[calls on the Government to restrict or abolish discretionary powers subject to an extension of the children's pardon,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government is carefully analysing the UN Migration Pact;]] [[considers that hasty decision-making on a comprehensive statement with good and less good points is undesirable;]] [[also considers that in the interests of acceptance and democratic legitimacy a thorough debate on the Pact is necessary;]] [[considers that additions or adjustments to the Pact should not be excluded;]] [[calls on the Government not to exclude additions or adjustments to the UN Migration Pact,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-56]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-57]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u20	Finally, Mr President. The debate on the migration pact is planned. That must be done before 10 December. I got a very nice poem from the chairman.
ParlaMint-NL_2018-11-22-tweedekamer-14.u21	December 5th.
ParlaMint-NL_2018-11-22-tweedekamer-14.u22	December 5th. I've also consulted with the home front, with my daughter. He totally agreed with that. We have to be careful with the planning on that day, but if it's necessary, then it has to be.
ParlaMint-NL_2018-11-22-tweedekamer-14.u23	That's right. Thank you, Mr. Jasper van Dijk. I now give the floor to Mr Grothuizen on behalf of D66.
ParlaMint-NL_2018-11-22-tweedekamer-14.u24	Thank you, Mr President. Thank you to the directors for answering the many questions. Thank you also to the officials who have invested a great deal of time and energy in this. I'd like to file three motions. Despite the commitment given to me by the Minister for Legal Protection, I am tabling a motion on understandable language in justice, because I think that is a crucial point for trust in our rule of law. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the language used by the judiciary in judgments is difficult for many people to understand;]] [[Whereas this may create a gap between the judiciary and society;]] [[Whereas it is desirable to use more comprehensible language in court rulings;]] [[noting that the government to reduce this gap with society uses the B1 language level;]] [[calls on the Government to discuss with the Council the possibility of using more comprehensible language in court rulings and to inform the Court of Justice of these possibilities by letter,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Groothuizen, Mr Van der Graaf, Mr Van Dam and Mr Van Oosten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-58]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u25	Mr. Chairman. Once again, we have talked about migration, and today, too, the actual basis was sometimes too far-fetched. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas migration is a dynamic, versatile and complex issue;]] [[noting that support for migration policy is essential;]] [[Whereas it is important that the debate on migration is conducted on the basis of actual, unambiguous and shared knowledge;]] [[Whereas it is also important that public authorities communicate openly and unequivocally with society on bottlenecks, opportunities, dilemmas and solutions within migration policy;]] [[calls on the Government to draw up annual reports involving and presenting all relevant aspects of migration in conjunction with the six pillars of the Integrated Agenda on Migration,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grotehuizen, Mr Van Ojik and Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-59]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u26	Finally, Mr President. A long-cherished wish of D66 is the liberalisation of name law. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that in April 2009, the Working Party on Liberalization published the report Bouwsteenen voor een nieuwe naamrecht in which he made a number of recommendations to modernise Dutch name law, such as making it possible to have a double gender name;]] [[considers that Dutch name law needs to be modernised, giving parents more freedom of choice and making use of experience in other countries;]] [[calls on the government to come to the Lower House in 2019 with a legislative proposal to allow a double gender surname, leading the report of the working group and its recommendations and principles,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Groothuizen and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-60]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u27	I am a little disappointed that we have not exchanged a single word about this in the whole debate on the budget. I understand that we are all under time pressure in terms of speaking time, but can I ask D66 to hold this motion so that we can have a debate on it? I find it difficult just to be against it in advance without having exchanged a single word about it.
ParlaMint-NL_2018-11-22-tweedekamer-14.u28	I get that point. Unfortunately, I could not find the time to talk about this in the first term. I would like to take this into account, but I would also ask Mrs Van Toorenburg if she has a suggestion for when we can discuss it, so that it will not be an endless arrest.
ParlaMint-NL_2018-11-22-tweedekamer-14.u29	No, no. That's what you're gonna discuss with each other at the procedural meeting. It is up to you to decide whether or not to put the motion to the vote, but Mrs Van Toorenburg raises her objection. I saw a number of colleagues nodding that they agree with her.
ParlaMint-NL_2018-11-22-tweedekamer-14.u30	I'll think about that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u31	I give the floor to Mrs Den Boer on behalf of D66.
ParlaMint-NL_2018-11-22-tweedekamer-14.u32	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are many different security organisations in the Netherlands alongside the police and promoting cooperation between police and other organisations among themselves;]] [[Whereas the security organisations and the security situation are constantly evolving;]] [[calls on the Government, in consultation with the WRR and in consultation with citizens, to develop a vision of the future of the police function in the Netherlands and police cooperation with various security organisations, taking into account the role of business and special investigation officials (boas), and to report to the Court on this by the spring paper of 2020 at the latest,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that effective and effective international police cooperation is of great importance and that an updated vision contributes to this;]] [[calls on the Government to draw up an updated strategic vision of international police cooperation and to inform the Court in spring 2019,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Den Boer and Mr Laan-Selschap. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-61]] [[This motion has been proposed by Mr Den Boer, Mr Laan-Geselschap and Mr Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-62]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u33	Finally, I would like to thank the Minister very much for answering the many questions and also his official support. I would also like to thank him for his commitment to the Force of Difference programme, which he is prepared to share and discuss with the Chamber the findings of that internal evaluation. Finally, I would like to say the following. We make very important choices here with all of us, who can really make the difference for the safety of the inhabitants of the Netherlands. Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u34	Thank you, Mrs Den Boer. I now give the floor to Mrs Kuik, on behalf of the PvdA.
ParlaMint-NL_2018-11-22-tweedekamer-14.u35	Mr. Chairman. I would like to thank the Ministers and the Secretary of State for their reply. We do not yet agree on everything, but I have received a number of concrete commitments about breaking a culture of silence in the case of sexual abuse within religious institutions, and I am sincerely grateful for that. It has not yet been resolved, but we will continue the search for ways to ensure that victims feel heard and supported. Thank you very much for that. I also see that the cabinet is working very hard to stop organised crime and crime. At the same time, I remain impatient. It is not for nothing that I co-signed Mr Van Oosten's motion on Bibob. I have my doubts about legislation, but we continue to discuss it in this house. In the same light, I shall table one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Safety LHBTI Action Plan includes measures to increase the reporting capacity of discriminatory violence;]] [[Considers that increased reporting will increase the need for specific capacity to deal with LHBTI violence reporting and reporting;]] [[considers that a higher level of punishment for violence with a discriminatory motive is important;]] [[calls on the Government to make concrete proposals in the Action Plan to increase the said specific capacity and a legislative proposal to increase the penalty level for this,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuik and Mr Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-63]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u36	I think if that bill is ready, we can proceed with the treatment right away. If we wait until that action plan arrives, we'll be another year. So this is an incentive for the Minister. Then I have a question for the Secretary of State. I asked him whether it was true that there is now an agreement on the so-called bed-bath bread supply. His answer was no, we're still negotiating. Now I read on NOS Teletext: After lengthy discussions, the government and municipalities have concluded an agreement on the so-called bed-bath bread provision for displaced asylum seekers who do not want or can leave. There will be a test in five places, and if that works, three more will be added and a budget of EUR 48 million will be allocated. I asked the Secretary of State if there was an agreement. He said not yet. I asked if it would be presented this week. He said he didn't, but he didn't rule out this being next week. I repeat my question: is there now, as I read on NOS Teletext, an agreement on the bed-bath bread supply? I'll finish with that. Thank you very much.
ParlaMint-NL_2018-11-22-tweedekamer-14.u37	Thank you, Mrs. Chicken. I now turn to Mrs Van der Graaf on behalf of the Christian Union.
ParlaMint-NL_2018-11-22-tweedekamer-14.u38	Thank you, Mr. Chairman. Thank you to the rulers for all the answers we have received, in writing, but also today during the debate. The time is too short to go into everything again. I shall begin by reading two motions. The motion refers to remedial provisions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas recovery law should be given a more prominent role in criminal law because of its positive impact on both perpetrators and victims;]] [[Considering that there are now considerable differences in the referral of prosecutors, judges and probation officials to recovery facilities (such as mediation in criminal matters);]] [[calls on the Government to consider, within the framework of current legislation and regulations, how to further develop the possibilities for the use of reparation law, with a view to achieving greater clarity as regards the referral to reparation provisions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Graaf and Mr Van Nispen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-64]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u39	The second motion that I am considering when dealing with malicious collection agencies. A very important measure is to set up a collection register. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government agreement agreed that a collection register would be established and that this delay would occur;]] [[Whereas it is desirable that the collection register be implemented as soon as possible in order to avoid abuses in the collection sector;]] [[Calls on the Government to speed up the development of the collection register and to report in the planned letter of Parliament of early 2019 when the register will enter into force and what concrete intermediate steps will be taken to achieve it,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van der Graaf and Groothuizen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-65]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u40	Then I'll lock up. The rule of law requires maintenance. That is what I started yesterday, and that is what has been very much about in the debate. The use of the police, the Public Prosecutor's Office, justice and legal aid: we will have a lot of attention for this in the coming year. These rulers have a very great responsibility to work on justice and justice in this society. I wish them every success in the coming year. Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u41	Thank you. I now give the floor to Mr Voordewind. I wonder how you're gonna do that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u42	One minute, and I'm gonna fill it right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the new work instruction for the assessment of applications for asylum from the Libyas and converts for Libyas may lead to a re-evaluation of previous decisions in cases where the considerations were almost exclusively based on the awareness-raising process and/or self-acceptance;]] [[Whereas the letter to the House of Representatives of 14 November last does not address the situations in which the new work instruction for converts will lead to re-evaluations of previous decisions, as is the case with lhbti's;]] [[In the event of repeated requests from converts whose previous conversion has been considered unbelievable, the Government shall request that:]] [[the considerations almost exclusively saw that they did not deepen into other religions or currents prior to conversion;]] [[and/or almost exclusively to a passive conversion that has not been taken into account;]] [[assess the credibility of the conversion in line with the new work instruction,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Voordewind, Mr Van Toorenburg, Mr Groothuizen, Mr Van Ojik and Mr Van der Staaij.]] [[She's getting No. kst-35000-VI-66]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u43	In one minute, Mr. Chairman. Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u44	Nice! Thank you, Mr Voordewind. I now give the floor to Mr Krol on behalf of 50PLUS.
ParlaMint-NL_2018-11-22-tweedekamer-14.u45	Thank you, Mr. Chairman. Thank you also to the rulers for their comprehensive answer. 50PLUS welcomes the Minister for Legal Protection's commitment to investigate the usefulness and necessity of any picketing of victims' attorneys and to inform the Chamber about this in some time. Maybe he can still tell us when. I keep worrying about the legal aid packages and people who don't have the money to pay for that kind of insurance. Do they not fall between the shores and the ship? During my first term, I put the victims of crime at the centre. Also during the previous plenary debate this week on criminal matters, I tabled a motion on violence against the elderly, and how this can be dealt with in criminal terms. I have now changed that motion in response to the Minister's comments in his second term. I'm counting on that motion to be enforceable now. In this broad debate on the budget, I would like to table one more motion to combat violence against the elderly, and this time not to focus on the criminal chain, but on making older people more resilient. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Predominantly that older people often abuse their sometimes inexperience and their potential vulnerability;]] [[calls on the Government to:]] [[making older people more resistant to crime in general and providing them with tools where possible;]] [[pay particular attention to the safe use of the Internet;]] [[encourage, in cooperation with police, banks and telecommunications companies, to organise information meetings for older people on the above-mentioned issues at national and regional level,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-67]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u46	Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u47	Thank you, Mr. Krol. I now give the floor to Mr Van der Staaij on behalf of the SGP Group.
ParlaMint-NL_2018-11-22-tweedekamer-14.u48	Madam President. I would like to thank the rulers, also on behalf of my colleague, Mr Bishop, who will no longer speak separately, for all the answers and also for the commitments that have been made. I would like to table another motion on three subjects, and limit myself to doing so in this second period. Firstly, a motion on the working definition of 'anti-Semitism'. I would like to say that I tabled a motion on this last week to the Foreign Affairs budget. He got "judge chamber," but unfortunately he didn't make it. I have done some missionary work by now, and therefore make another attempt to get this motion adopted. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the fight against the multi-headed monster of anti-Semitism requires great commitment and good coordination;]] [[calls on the Government to support the use of the international IHRA working definition of anti-Semitism,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-68]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u49	Thank you, Mr. Chairman. Then there is a motion on compensation in connection with the Dublin case. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Dublin system is based on trust between Member States that the legal protection of foreigners is sufficiently guaranteed and that proceedings are therefore, in principle, not real;]] [[noting that over 6,000 appeal procedures are carried out annually in Dublin cases;]] [[Calls on the Government to explore the possibility of reducing the number of points for legal aid in Dublin procedures and to find support in the EU for the revision of the standard of free legal aid in Dublin cases,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij and Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-69]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u50	Mr. Chairman. Finally, a motion for a resolution on a subject which was raised by my colleague, Mr Bishop, in the first term, but on which we felt an unsatisfactory response was expressed in the written reply. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in asylum seekers' centres there is a vulnerable environment in which asylum seekers from different backgrounds live together;]] [[Whereas it is undesirable that asylum seekers even sound prayer calls in common areas and dormitories of asylum seekers' centres, as they are regularly perceived by others as intimidating;]] [[calls on the government to use the principle that audible prayer calls are not allowed in common areas of asylum seekers' centres,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Staaij, Mr Bishop and Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-70]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u51	Thank you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u52	Thank you, Mr. Van der Staaij. I now give the floor to Mr Azarkan on behalf of DENK.
ParlaMint-NL_2018-11-22-tweedekamer-14.u53	Mr President, thank you. I think I have three minutes to speak. Oh, there's four now, so I was a little economical myself. Mr. Chairman. I thank the rulers and the officials for the answers. We are going to talk about the changes in access to justice. I must say, however, that the views so far shared by Minister Dekker have not convinced me. I'm worried about it. We will still talk, as I said, but at least I come to the conclusion that solutions are being sought for the time being for problems that do not exist and that no solutions are being found for the existing problems. I thought: I share that beautiful insight of DENK with all of you. I heard Minister Grapperhaus say he's budgeted an underexhaustment. I would like to ask him, in the second term, what exactly is that about? In all these years that I've worked in the government, I've never been able to bury an underexhaustment. I don't think that's possible at all. I'd like to know exactly what that's like. That brings me to my motions. I've got three. The first is about the Marrakesh Pact. I must say that I know Marrakesh very well, but the pact is a little less. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Chamber will debate the Marrakesh Migration Pact by 10 December;]] [[Whereas a debate only makes sense if the Chamber has any influence on the content of the cabinet's proposals;]] [[calls on the Government to allow the Chamber to make changes to the content of the Pact,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Azarkan and Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-71]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u54	Mr. Chairman. Then there's a motion on the cop's employee monitor. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Police Staff Monitor shows that around 9,000 police officers are involved in harassment practices by their chief or colleague and that around 4,500 employees are subject to discrimination by their chief or colleague;]] [[considers that harassment and discrimination within the police organisation should not be covered by the cloak of love;]] [[calls on the Government to provide the Chamber with an overview of the number of police chiefs and the number of police officers sanctioned for intimidation and/or discrimination against a subordinate or colleague in the last five years,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-72]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u55	Mr. Chairman. My final motion concerns the register of side functions of judges. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a register of secondary functions of judges and that, according to law, the judges must update the information at least once a year;]] [[noting that there are signals from the field that the awareness of this annual obligation is not always there, which means that the registry is not up-to-date;]] [[calls on the government to ensure that the judges report their secondary duties in the manner required by the law,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-73]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u56	Thank you, Mr. Chairman.
ParlaMint-NL_2018-11-22-tweedekamer-14.u57	Thank you. That brings us to the end of the second term of office. 53 motions have been tabled. Mr. Azarkan, I see you're talking to the rulers, but you can't do that. No, you can't do that! As long as the meeting is not suspended, there should be no discussion with the cabinet. The same goes for the cabinet. Presidents may not speak to Members of Parliament during the debate either.
ParlaMint-NL_2018-11-22-tweedekamer-14.u58	We have arrived at the second term of government. I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2018-11-22-tweedekamer-14.u59	Mr President, thank you. I shall first answer some of the questions raised by Members. Then I will deal with the motions, each with the number and the name of the proposer or proposer. Then, of course, my colleagues, the Minister for Legal Protection and the Secretary of State for Justice and Security will come next.
ParlaMint-NL_2018-11-22-tweedekamer-14.u60	What motions are you going to deal with?
ParlaMint-NL_2018-11-22-tweedekamer-14.u61	Do you want me to get the numbers straight already?
ParlaMint-NL_2018-11-22-tweedekamer-14.u62	If you've got that in your head, it might be useful. Otherwise, we'll find out.
ParlaMint-NL_2018-11-22-tweedekamer-14.u63	I want to do it real fast. I don't care. We have divided them all, as we hear in this time of "honestly we shall share everything." First of all, at the end of the first term, there was a question by Mr Van Oosten about the report by the National Rapporteur on Trafficking in Human Beings and Sexual Violence against Children. I consider that report to be important for understanding the nature and extent of sexual violence against children. The cabinet attaches great importance to combating sexual violence against children. I made that point again in my speech when Mr Bolhaar presented the report. Any form of sexual violence against children is repulsive and must be combated. The same applies to all forms of sexual exploitation. Anyone, including parents of very young children, can report and report to the police if there are suspicions of sexual abuse. I have already said in the first time that the Chief Constable is engaging in that conversation in response to complaints about cases where that had not gone well. I will also discuss the recommendations with the organisations concerned, at least with the police and with the Public Prosecutor's Office. I will then inform your Chamber with a policy response in which I will respond to those recommendations. Of course, I want to do that as well as possible well integrated with the other actions I am taking in the area of combating sexual abuse of children.
ParlaMint-NL_2018-11-22-tweedekamer-14.u64	A quick question.
ParlaMint-NL_2018-11-22-tweedekamer-14.u65	Is there a specific zoom in on how to read data carriers?
