ParlaMint-NL_2018-04-26-tweedekamer-11.u1	Welcome to the Minister. First, I give the floor to Mrs Westerveld van GroenLinks.
ParlaMint-NL_2018-04-26-tweedekamer-11.u15	I have a question about the Minister's explanation. He states that the right of advice he wishes to give does not undermine the ability to justify what is stated in the formation plan about the relationship between the number of teachers and pupils per school. If we have to take responsibility for this now and then we are going to lay down in the law that there must be an advisory right for both parents and staff, then we cannot say that this does not undermine it. In other words, the law is more direct than what we agree on in the collective agreement.
ParlaMint-NL_2018-04-26-tweedekamer-11.u16	That right of consent to the establishment or amendment of the formation plan is already provided for in the law. That just stays there. I have no intention of changing that. The conversations and the final decision on group size are not included. What I'm doing in addition now is putting parents and teachers in a position to give advice on those plans. So it's a supplement and not an attack. We're not getting that right. That is indeed in the collective agreement, but it is enshrined in the law and this is an addition. My opinion is, moreover, unchanged. I advise against this motion.
ParlaMint-NL_2018-04-26-tweedekamer-11.u17	Mrs Westerveld, very briefly.
ParlaMint-NL_2018-04-26-tweedekamer-11.u18	In the formation plan, the ratio between the number of pupils and teachers per school is justified. The request in the motion to the government is to give the staff member the right to consent to the group size policy. In other words, as far as I am concerned, this is a clarification of what has already been said about the formation plan. The minister says he gives advice. I still don't understand why that right of consent wouldn't be a violation.
ParlaMint-NL_2018-04-26-tweedekamer-11.u19	I'm gonna try one more time. That formation plan and the relationship between the number of students and teachers is really different from that you are talking about the number of students who are housed in a classroom. This concerns the teacher-student ratio that is present within a school. I've indicated that it's at 18.4. We have also communicated with the Chamber about the average group size. It's at 23.1. It's gonna be a bit of a complicated discussion, but this is really additional, believe me. It's also regulated by the law. It seems that this is not the right time and the place to have this kind of discussion at a VAO. When the law comes, let's have a more extensive discussion. Then we'll do more justice to the subject.
ParlaMint-NL_2018-04-26-tweedekamer-11.u20	Mrs Westerveld, I agree. This debate is coming back a long way.
ParlaMint-NL_2018-04-26-tweedekamer-11.u21	I had another question about that debate.
ParlaMint-NL_2018-04-26-tweedekamer-11.u22	That debate is about to come. Unfortunately, you have now been given "dissuade" as an opinion on your motion, but this is reflected in the debate. Then the motion Westerveld/Kwint in part No. 304.
ParlaMint-NL_2018-04-26-tweedekamer-11.u23	It's about movement education. Mr Heerema is right that we have already discussed this extensively at another time, and in a different context, in particular because of the regular interventions by the VVD on this subject. We are in the process of revising the sectoral agreements, which include movement education. I'll report back to the Chamber in due course. The discussion in the general consultation was about the workload and the freedom we give schools to make their own choices. This may indeed mean choosing physical education for professional teachers. That's what we're gonna wait and see. Now it's time for the schools to move on. I do not think it would be wise to table motions which now put pressure on that process from above.
ParlaMint-NL_2018-04-26-tweedekamer-11.u24	So you're dissuading this motion.
ParlaMint-NL_2018-04-26-tweedekamer-11.u25	I therefore also advise against this motion.
ParlaMint-NL_2018-04-26-tweedekamer-11.u26	Thank you. Mr. Kwint.
ParlaMint-NL_2018-04-26-tweedekamer-11.u27	Now I am confused, because the VVD was talking about a commitment, but the minister actually says that there is no one and that it is up to the schools themselves.
ParlaMint-NL_2018-04-26-tweedekamer-11.u28	No, this is two more things. You notice that, when topics and different discussions get mixed up, there can be some fog. In general consultation we discussed the work pressure agreement. It is indeed up to the schools themselves to decide what they are using the money for, if, of course, it is only about reducing the workload. This could mean choosing to appoint professional teachers for physical education. I know a number of people, including in this Chamber, who would like that very much. But that's up to them. The other discussion concerns the fact that we believe that the schools should also give the number of hours. We agree on this in sectoral agreements. Of course, we will continue to talk about this, because we notice that the practice is not quite as we agreed on paper.
ParlaMint-NL_2018-04-26-tweedekamer-11.u29	Mr. Kwint, finally.
ParlaMint-NL_2018-04-26-tweedekamer-11.u30	Then you do not advise against this motion because it concerns a previous commitment; then you advise against this motion because you do not think it is desirable that it be adopted from The Hague.
ParlaMint-NL_2018-04-26-tweedekamer-11.u31	It's both. That is not good in the process that we have been so careful with each other. And two topics, or two discussions, are confused here, which can be confusing. I don't think we should.
ParlaMint-NL_2018-04-26-tweedekamer-11.u32	Thank you. Then we have come to the end of this VAO.
ParlaMint-NL_2018-04-26-tweedekamer-11.u33	I'm suspending the meeting for six minutes. We're going to vote at 4:40.
