ParlaMint-NL_2018-03-29-tweedekamer-11.u1	I give the floor to Mr Kuzu van Denk, as the applicant for this debate.
ParlaMint-NL_2018-03-29-tweedekamer-11.u12	That is certainly a reason to request this debate. We want to be the frontrunner in the Netherlands. We do not settle for the middle class, as the PVV probably does. It is simply important that we excel at this point as well and take good steps to ensure that youth issues such as, for example, the freedom of religion, which we have enshrined in our Constitution, will continue to be a very important subject in the future.
ParlaMint-NL_2018-03-29-tweedekamer-11.u13	We certainly do not settle for the middle class. We also want it to be perfectly fine, but it is also somewhat surprising that you, of all people, are requesting this debate as a representative of a party that is doing extraordinary ethnic profiling. You, who create an ethnic party! You're well known for the fact that in your previous party, you regularly scoundreled women. You have called to account fellow MEPs who happen to be of the same ethnic origin as you. You even reported them to your actual employer in Turkey, because they did not agree with you on the motion on the Armenian genocide. And you're gonna take us here the size of our citizenship education? I think that's a goddess, Mr. Chairman! How do you feel about that, Mr. Kuzu?
ParlaMint-NL_2018-03-29-tweedekamer-11.u14	I think it is very important that we speak today about citizenship education. That's about our kids. I understand, of course, that the PVV wants to turn this into a debate on all kinds of issues that have nothing to do with citizenship education. But I would really like to ask Mr Beertema of the PVV to step out of his delusional world and his delusions and to put aside his dreams, those nightmares he probably has about a fairy tale he believes in and wherever he tries to make others believe in, and to focus on our future, on education, on our children and, for example, on freedom of religion. Islam, which you have been fighting with your party for years, is also part of that. Let's start respecting that with each other. That is, I think, an important signal, which is particularly important for the PVV.
ParlaMint-NL_2018-03-29-tweedekamer-11.u15	Finally, Mr Beertema.
ParlaMint-NL_2018-03-29-tweedekamer-11.u16	Mr Kuzu brings up everything I haven't talked about. I address him on his own citizenship skills. We have an exemplary role to play in this. As far as I am concerned, and as far as many people are concerned, you are the worst example of integration in this country. Highly educated by all the Dutch provisions and you are standing here taking the measure of your other fellow MEPs and reporting to the Turkish regime of a dictator. That's as far as your citizenship matters. It doesn't matter.
ParlaMint-NL_2018-03-29-tweedekamer-11.u17	This is bullshit. That is nonsense, because I have never done what Mr Beertem here claims with dryness. I'd really like to ask you something. We have freedom of religion in this country, which is also part of Islam. I would really like to call on those who were just on the interrupting microphone to speak about citizenship and about exemplary functions to separate from that nonsense about citizenship and respect the freedom of religion in this country.
ParlaMint-NL_2018-03-29-tweedekamer-11.u18	Mr Bertema has just one point. He's just got a point. I hear Mr Kuzu say that what Mr Beertema mentions would have nothing to do with citizenship. Then I would like to know from Mr Kuzu how he relates his plea for citizenship to, for example, portraying fellow room members with negative videos to generate a certain attitude in his constituency or the fact that at the moment when something happens another country our Rotterdam bridges are full of Turks. That can't be a good citizenship, can it? I believe that this is part of your constituency and I do not understand why you are here trying to argue for better citizenship education when you should actually start with yourself.
ParlaMint-NL_2018-03-29-tweedekamer-11.u19	For example, we have freedom of demonstration in this country, and that freedom of demonstration means that every citizen has the right to demonstrate. You may not like it, but it is one of the most important fundamental rights in this country. That is what we agreed with each other in the Constitution. And then where it's about the movies. Please, I'd say. I've been getting the commotion in the past couple of years. From this point of view, I would like to say once again that I, or my party, the Members of the Chamber, have been mentioned five in the Turkish newspapers... I didn't do that. If I'd done it already, I wouldn't have mentioned five, but six. 'Cause there were six of them. I really want to make it very clear once again that I did not and that I will not. In the previous period, we did it because we demanded transparency from a number of Members of Parliament about their position, because they told a very different story here in the Chamber than in the outside world. But as far as the issue is concerned in recent times, it was quite clear that colleagues have an opinion on it and I respect it. I would very much like to ask that of this Chamber, and also of the outside world, that we should also be respected in our views on the basis of our freedom of expression and not by parties such as the VVD as traitors. 'Cause that's what you're doing right now.
ParlaMint-NL_2018-03-29-tweedekamer-11.u20	I leave these words to Mr Kuzu.
ParlaMint-NL_2018-03-29-tweedekamer-11.u21	No, that's the fact.
ParlaMint-NL_2018-03-29-tweedekamer-11.u22	I've never taken that word in my mouth at all. I find it very difficult to rhyme. I find it really hard to rhyme. If this is the measure, the limit, of citizenship that Mr Kuzu is striving for and we see what is happening, then I just think we are in the wrong party to discuss citizenship. We have a very different opinion on this in the Chamber. We have very different ideas about how you treat each other with respect and look at each other, namely that gays can go hand in hand across the street and that you can be an atheist without being talked about, but also that the Netherlands is your country without putting another country above it. I find it hard to rhyme. It's actually a gothpel that's being talked about like that.
ParlaMint-NL_2018-03-29-tweedekamer-11.u23	What's a goddess is that once again a people's representative of the VVD is holding a bullshit story here that I or any of my party here in the House of Representatives would have made a point that gays shouldn't go hand in hand and that we would have made a point that you couldn't be an atheist in this country. Cut the crap, I would like to tell you, and get to the bottom of what we are actually saying. What we are actually saying is that citizenship is part of our common identity, that it is a matter of fulfilling duties and rights, such as freedom of expression and freedom of religion. That's what today's about. I would like to call everyone to talk about that today.
ParlaMint-NL_2018-03-29-tweedekamer-11.u24	I would like to thank Mr Kuzu for asking for the debate, because I think it is important and it is an important subject. Mr Kuzu himself addresses the freedom of religion. That is why I ask him: does this include the freedom to abandon a religion?
ParlaMint-NL_2018-03-29-tweedekamer-11.u25	Yeah, that's one of them.
ParlaMint-NL_2018-03-29-tweedekamer-11.u26	Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u27	Mr Kuzu is talking about all kinds of rights that people have. He seems to be a strong supporter of the rule of law and citizenship education. I'm a former teacher of social studies myself. In this civic education, we are also trying to clarify the important role that parliament has in our democracy. Is Mr Kuzu prepared to say here that he will stop demonising only Islamic MPs who take a displeasure stand against him? Is he willing to do that? That's my question.
ParlaMint-NL_2018-03-29-tweedekamer-11.u28	What is really very explicit is that we believe that representatives of the people, from any party, and from the left to the right, should be able to be honest about their views, that they should account for them, and that they should be accountable to the people for whom they are concerned. And yes, in the previous period, I say very emphatically, we made those videos. But I would also like to make it very clear that you cannot catch us making videos after the 21 March elections, where we have specific targets in the ethnic background of our fellow Members.
ParlaMint-NL_2018-03-29-tweedekamer-11.u29	My question focused on the fact that the group of DENK regularly put Islamic MPs or MPs with a Turkish background, for example, on movies because they took a different view than DENK is acceptable. We have the debate here. I speak to you now, and you may address me later. This is where the debate belongs. Are you prepared to stop these demonizing videos in which you profile ethnically and only appeal to MPs with an Islamic background or background from another country?
ParlaMint-NL_2018-03-29-tweedekamer-11.u30	Looks like I'm talking for deaf ears. I think I have made it very clear that from 15 March 2017, in the period in which we form this House of Representatives, we have not profiled colleagues on the basis of an ethnic background, and that we will not do so in the future either. We did in the previous period, because we found and saw that a number of MPs from different political parties here in the Lower House kept a very different story than in the outside world.
ParlaMint-NL_2018-03-29-tweedekamer-11.u31	The flag isn't really out of here yet, but let's see this as progress. And let's actually keep it. Mr Kuzu says: those five parliamentarians in the newspaper, I did not do that. Fine. What you have done is give an interview to a Turkish newspaper in which you yourself call candidate members: question them and let them express their opinion. What you do is, in a Turkish medium Turkish-Dutch candidate council members who run for office in a Dutch municipality, appeal to these people to question it. Well, at least that's a very wonderful thing to do, isn't it? If I want to mobilise people for the city council, I don't give an interview to CNN or Al-Jazeera, apart from the fact that I don't get a lot of calls from the media, but that's a second point.
ParlaMint-NL_2018-03-29-tweedekamer-11.u32	There are plenty of colleagues from the various political parties in the Lower House who do. I would like to answer this question in two ways. One. The Netherlands is not an island. We often talk about internationalisation and in this committee we often talk about internationalisation of education. This means that we need to speak our languages, and that also means that we can give interviews to different news media, whether they are American news channels or Turkish news channels. Yeah, I'll keep doing that. Let me just be very honest about that, too. I'll keep doing that. I will continue to do that with various international media; I have an interview with a German medium next week. But I find it very typical that when I talk to a German medium, for example, there is no commotion in this Chamber but when it comes to a Turkish medium it does. The second part of your question concerns the call I made. I also firmly believe that everyone, all the candidate municipal council members, I say very strongly to all the candidate municipal council members, and I have also said that I should be accountable for their ideas and dare to be honest about their views. I wonder what's wrong with that. Explain it to me.
ParlaMint-NL_2018-03-29-tweedekamer-11.u33	Mr Kuzu speaks better Turkish than I; then it will be the translation, because I have read back that it was specifically about Turkish-Dutch candidates. They were even specifically Turkish-Dutch candidates of D66. I don't understand why people are joining that party, but that's another discussion.
ParlaMint-NL_2018-03-29-tweedekamer-11.u34	Among other things, D66 and the VVD, I said.
ParlaMint-NL_2018-03-29-tweedekamer-11.u35	But these are Turkish-Dutch candidates. Mr Kuzu is now very surprised and says: I have said that all candidate Council members must speak out. Then let me rephrase. Does Mr Kuzu have the idea that a lot of people born in the Netherlands, cream-white city council members, have been addressing their position on the Armenian genocide in the past campaign?
ParlaMint-NL_2018-03-29-tweedekamer-11.u36	Once again, on the subject of translation, I have made it very clear that it concerns all the candidate Council members. You can check that with the translation. In the meantime, I think everyone in the Netherlands has been able to take note of what I have said. I can't measure whether people who are "cream white," as you say, have been questioned about that. I don't know. However, it is interesting that we are constantly being questioned here in the House of Representatives and that candidate-members without Turkish background are also questioned in different municipal councils about their views on the Armenian issue, but that I do not see the same staggering attitude emerging among the other political parties. I really think that's a testimonial of the double size in this country.
ParlaMint-NL_2018-03-29-tweedekamer-11.u37	Mr Kwint, finally.
ParlaMint-NL_2018-03-29-tweedekamer-11.u38	This is what we know: it's all back to the other. But is Mr Kuzu's reaction really that he finds it difficult to estimate whether children born in the Netherlands, Jansen and De Jong, were addressed during the municipal campaign on what they think of the Armenian genocide? Is that his defence: "I have asked everyone, but yes, that in the end only my appeal to Turkish-Dutch candidates is being answered, yes I do not know; that is a coincidence"?
ParlaMint-NL_2018-03-29-tweedekamer-11.u39	It does seem logical to me that this is not the case. But what I do find interesting, and I do not hear that in Mr Kwint's follow-up question, is that candidate council members who have no Turkish background, who have an Iraqi, Pakistani or Frisian background, are constantly questioned by the other political parties about what they think of the Armenian issue. Someone can explain that to me.
ParlaMint-NL_2018-03-29-tweedekamer-11.u40	Because you're turning it into a campaign item!
ParlaMint-NL_2018-03-29-tweedekamer-11.u41	No, but I want to distance myself from that. It was not DENK that requested a debate on the Armenian issue. In 2006, there was a motion by the Christian Union that actually described the issue as genocide. This happened again in 2015. This happened again in 2018. The Christian Union insisted on having a general consultation on one day, having a VAO and even having votes on the same day, just before the spring recess. And nobody really asks the question: what is the interest of the Christian Union or of the coalition parties to have all these AOs, VAOs and votes so close to each other? We are having a debate tonight on citizenship education, but this has finally been transformed into a debate on what Kuzu has been up to in recent times.
ParlaMint-NL_2018-03-29-tweedekamer-11.u42	Rounding off; don't worry, Mr. Kwint.
ParlaMint-NL_2018-03-29-tweedekamer-11.u43	Let's just talk about citizenship education after that, but...
ParlaMint-NL_2018-03-29-tweedekamer-11.u44	Hey, thank God.
ParlaMint-NL_2018-03-29-tweedekamer-11.u45	...I find it really impossible for you to say first that you don't know who it was asked, then blame others for turning it into a campaign item, and then make an appeal to candidate council members themselves. Should we do that in a non-campaign-related context? Or should we wait until after the election? Because that's what you should have said in that interview.
ParlaMint-NL_2018-03-29-tweedekamer-11.u46	That is also what I said in that interview. I mentioned exactly this point during that interview. We're being accused of constantly cutting and sticking things. Well, there's been a little cut out of that interview and the context has been completely removed. Again, quite clearly: DENK is not the party that is constantly aggregating the Armenian issue here before April 24th. It is in particular the Christian Union and other Christian parties, the right flank of this Chamber, who constantly bring this issue to the House of Representatives. In 2005/2006, in 2015 and in 2018: it has already happened three times, and there is no one standing up and wondering why that is actually happening. Why are people being turned against each other so close to a city election? And then again, yes, DENK did it! I think that's way too easy.
ParlaMint-NL_2018-03-29-tweedekamer-11.u47	Mr. Rudmer Heerema, you've just been here.
ParlaMint-NL_2018-03-29-tweedekamer-11.u48	That's right, but I have one clear question, Mr. Chairman. I think that Mr Kuzu's answer to Mr Rog's question on how to deal with videos has made us a success. The answer was very clear: we are not doing this period anymore; from now on that is over. So there's a break with the previous period. During that previous period, my colleague Mr Straus tabled a motion calling on the government to support all teachers and school leaders to give Dutch values a central role in education and to speak out against self-censorship. When I hear Mr Kuzu's plea about good citizenship education, I can well imagine that there may be a break with the past in this respect too, and that this motion, which he did not support at the time, is now perhaps one of the possibilities.
ParlaMint-NL_2018-03-29-tweedekamer-11.u49	I can't imagine the circumstances and context for a moment, but I think that motion was tabled in response to the Worlds of Difference report. Let us be clear about this: when it comes to equality, that is fine with us. You are now reading a piece of a motion that I cannot find out, but I would like to promise you that I will look up that motion and give you the argument on it.
ParlaMint-NL_2018-03-29-tweedekamer-11.u50	Finally.
ParlaMint-NL_2018-03-29-tweedekamer-11.u51	Yeah, finally. We're talking about citizenship education today. You yourself state: I would also like to give you something today, particularly with regard to curriculum renewal. This was a motion that was just about that, and I think that is a very large part of what you are asking for. That is why I am asking whether there is a break with the past. There isn't yet, but it would be nice if there was.
ParlaMint-NL_2018-03-29-tweedekamer-11.u52	We have always been clear about our commitment to civic education. We do not see a number of points coming back sufficiently, and we wonder what is on the role and what is going on right now. We will also ask the Minister about this. That is why my first question to the Minister is: when can we expect this bill? Will citizenship be included in a pluralist society as a centrally tested end goal, as DENK has indicated before? Is it true that, in secondary education, citizenship education is only included in the third class and that no figures are given, so that pupils have no incentive to make an effort? That's probably what the VVD's for. The Minister's letter contains pious wishes, but there is nothing about financial resources. According to the Minister, isn't this necessary? If so, can the Minister explain why he doesn't think this is necessary? International comparative studies show that citizenship education in the Netherlands is poor. The performance in the Netherlands is lagging behind when you look at the countries that look the most like us, such as Belgium and the Scandinavian countries. DENK finds this worrying. The picture of the ICCS study confirms previous studies on the state of citizenship education: there is too little focus and coherence, there is too little coherence in the workplace between school policy and the citizenship goals, there is no schools of good and effective examples, there is too little direction in their social task, there are different teaching methods used alongside each other, the equal rights of men, women, ethnic minorities, I hope that the VVD, which also finds an important topic, is less supported in the Netherlands than in other countries, and the level of knowledge between pupils is very different; a third knows very much, a third average and a third very little. Mr President, concluding. In his letter of 7 November, Minister Slob stated that the ICCS study did not give him any optimism. That's what they call an understatement. That is why we ask DENK to take action from the Minister. Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u53	Thank you. Mr Van Meenen has another question.
ParlaMint-NL_2018-03-29-tweedekamer-11.u54	Previously, it was about what is the reason for this debate: what is the outcome of this debate? Then Mr Kuzu said that he was going to point to what that curriculum should be about. Actually, I totally missed that. At the end, a call for action follows because the level of knowledge of the pupils is apparently not sufficient. What should the teachers in charge of the curriculum review do, according to Mr Kuzu? Because "action" doesn't mean anything to me.
ParlaMint-NL_2018-03-29-tweedekamer-11.u55	I mentioned a number of things. We need to focus on coherence. There is little coherence in the workplace between school policy and the objectives we have with citizenship. We can give effective examples. Schools receive too little direction in their social task. Different teaching methods are used side by side. I have spoken about fundamental rights, which I think are very important and which I think are worth including in the coalition agreement, rather than singing the Wilhelmus in choir, which D66 has agreed to. I think there's still a whole world to win.
ParlaMint-NL_2018-03-29-tweedekamer-11.u56	I'm gonna take one thing out. "Several teaching methods are used." This is the case in many subjects in the Netherlands. For mathematics you have different teaching methods, for French, for history. However, according to Mr Kuzu, DENK believes that there should be no different teaching methods for citizenship. Is Mr Kuzu now calling for some kind of state method of giving citizenship in Dutch education?
ParlaMint-NL_2018-03-29-tweedekamer-11.u57	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, You're picking out one part of it. What matters is coherence. If we look at the different components that can promote cohesion, there is still a whole world to win. A report of 200 pages has been written which I believe Mr Van Meenen is also aware of. Plenty of handouts, plenty of things to do at this point. I am very curious about D66's contribution on what she thinks can be done better.
ParlaMint-NL_2018-03-29-tweedekamer-11.u58	Finally.
ParlaMint-NL_2018-03-29-tweedekamer-11.u59	We will keep a little more distance and leave the people who know it to work. I can tell you that. But still, I'll come to that, because you say it, Mr. Kuzu, I say it through the chairman. You say that different teaching methods are used and that you don't like it. As a former teacher, I'm gonna take a look at that as well. We in the Netherlands talk about what and what and the government is about what. That's what citizenship can be about. But how is the schools, or does Mr Kuzu see it differently?
ParlaMint-NL_2018-03-29-tweedekamer-11.u60	How nice that Mr Van Meenen tells me how the Netherlands is doing! I am talking, once again, about focus and about coherence. I have mentioned a number of aspects very explicitly. Finally, I would like to say that I find it very special that Mr Van Meenen, as a coalition party, is at a distance and says 'let us let the professionals do their job, let the minister do his job'. I remember when things were very different in the previous period. Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u61	Mr President, Mr Kuzu is already leaving, but I am not finished.
ParlaMint-NL_2018-03-29-tweedekamer-11.u62	Yes, but you really need to finish, Mr. Van Meenen. One final comment.
ParlaMint-NL_2018-03-29-tweedekamer-11.u63	Look, Mr Kuzu can say 'it is very unfortunate that Mr Van Meenen is going on and on about the fact that one teaching method must be used', but I do not come up with that for nothing. After all, part of our society is precisely that freedom of education, which he is also in favour of, I assume, and which allows schools in the Netherlands to use different teaching methods. Mr Kuzu says that it is a thorn in his eye that different teaching methods are being used. Those are his words, not mine. That's what I'm talking to him about. So I ask him one more time: is this a serious point? Does he want there to be only one teaching method, yes or no? If not, what is the value of what he just said about it bothers him that there are multiple teaching methods?
ParlaMint-NL_2018-03-29-tweedekamer-11.u64	In my opinion, the freedom of education in our Constitution is not about the teaching method we use. I am concerned now with the fact that the experts and professionals, whom Mr Van Meenen very much likes to listen to, write in the report that too many different teaching methods are being used, which means that there are too few handles and too little direction is given to citizenship education in the Netherlands. This should be reviewed critically, so that we give schools, school boards and teachers more direction in what we intend to do with citizenship education.
ParlaMint-NL_2018-03-29-tweedekamer-11.u65	I'm sorry, Mr. Chairman, but I really need to respond. Citizenship is also about rights, about fundamental rights. I must point out to Mr Kuzu that Article 23 of our Constitution stipulates that we do have the freedom to organise education. For example, this leaves schools free to choose their teaching methods. If Kuzu then resorts to people who seem to think that there are too many methods, it is, of course, his right to take that view, but I am afraid of that. I would therefore ask Mr Kuzu to reconsider this, because that means that he really intervenes in the freedom of education. He shouldn't want that.
ParlaMint-NL_2018-03-29-tweedekamer-11.u66	No, it's not my intention to interfere in the freedom of education. I would point out that due to the different teaching methods used in citizenship education, there is too little coherence and focus, as the researchers also conclude in their report. It follows from this that our pupils score worse on citizenship competences compared to those from other countries. That is what I said and in that context it should be seen.
ParlaMint-NL_2018-03-29-tweedekamer-11.u67	Thank you. Mrs Westerveld on behalf of GroenLinks.
ParlaMint-NL_2018-03-29-tweedekamer-11.u68	Thank you, Mr. Chairman. "Citizenship is essentially about how to deal with other people in a good way," says the authors of the report comparing citizenship competences of Dutch pupils with those of pupils from other countries. According to GroenLinks, however, the main conclusion of this report is not that Dutch schools do too little about citizenship, but that young people have the impression that their opinion does not matter and that they have little to say. Let that be the crux of citizenship. We don't just change that with citizenship classes at school. If we really want young people to learn better how to relate to society, we should not only see this as a task for teachers, but we should ask young people themselves what they need. I am not surprised that young people who have little to say at school, who depend on the decisions of adults, who are not allowed to vote, let alone run for election, are not always motivated. Mr. Chairman. Yesterday at the farewell of the Nijmegen city council, a former member of the group told us about his greatest success. That wasn't some high-profile prestige project, but he called it the Nijmegen Children's Council. The idea is actually as follows. Children come up with a project and will present it under the guidance of a councilman at City Hall. The best idea is carried out together with the children as much as possible, because citizenship is not only that you put the government to work; it also means that you put your own hands up. Slightly older children may advise the municipality. An opinion from the Children's Council is treated as seriously as any other advice. The city council discusses the idea and the college of mayor and aldermen responds with a letter in understandable language. My question to the Minister is: is this not an even better way to involve children at a younger age than to have them come to the House of Representatives once, as stated in the coalition agreement? Would the Minister perhaps help to bring this kind of fine initiative to the attention of more municipal councils? I'll at least do that. I hope that council members will listen to this debate, so that hopefully as many new coalition agreements as possible will say that more attention should be paid to children and young people in their own municipality. Mr. Chairman. As I said, young people want to contribute to society, but they must of course be given the opportunity. As far as GroenLinks is concerned, we encourage young people, regardless of whether they become trainers at the local football club, are active in scouting, in a political youth organisation or in the participation of the school. Unfortunately, many young people are also too busy for this. I'd like to know from the Minister if he might see a connection to the performance pressure at school. Does it ensure that fewer young people become active? I'd like a response. At many universities and to a lesser extent in colleges there is a game for student organisations. Can we also promote student organisations and participation on the MBO? When I was president of the National Student Union, I got a board scholarship. However, most youth organisations are fairly moderately compensated. Back in 2009, Minister Plasterk announced that he wanted to increase the number of national government grants from 20 to 40. I would then like to ask the Minister, President-in-Office of the Council, whether he sees any other possibility of better supporting young people who are active. I hope that we will take the responsibility of getting young people ready for society and not just putting it on the school board.
ParlaMint-NL_2018-03-29-tweedekamer-11.u69	Thank you. I now give the floor to Mrs Van den Hul on behalf of the PvdA.
ParlaMint-NL_2018-03-29-tweedekamer-11.u70	Thank you very much, Mr President. Citizenship is an essential part of our education. In addition to knowledge transfer and cognitive development, personal development and citizenship must also be part of education. Fortunately, a lot of passionate teachers daily do their best to bring students into this beautiful subject matter. Many of them also visit us here in the House of Representatives. Still, there's still a lot to win. For example, international research shows that Dutch young people have already been mentioned as giving less importance to elections and intend to vote less than young people in similar countries. In view of last week's elections and in some municipalities, including mine: The Hague, sad turnout rates, this is worrying news. Dutch young people also indicate that there is less attention to citizenship here and less activity such as debating, talking about the way things are going at school or elections to the student council. How does the Minister view these outcomes? More importantly, what is the cabinet going to do about it? What is the Minister going to do in the field of human rights education? Does he agree with us that citizenship education plays an important role in countering radicalisation and polarisation and in strengthening media wisdom? These themes are more topical than ever in our present world. What does the Minister do with the implementation of my adopted motion on the occasion of #MeToo, with which the Chamber asked the government to ensure that primary schools and secondary schools constitute sexual resilience, security and diversity in the curriculum? On this subject, we sometimes see the embarrassment of teachers, which also applies to more important issues in the area of citizenship. That is why, as far as we are concerned, the training and further training of teachers is so important, both in order to overcome the obstacles to action and to keep up with knowledge. Think of relatively recent developments such as online cross-border behaviour and all new insights in this area. What role does the Minister see for himself in this? Does the Minister also see opportunities for e-learning in this context? The key objectives of sexuality and sexual diversity in primary and secondary education do not apply in the same way to secondary education and MBO. There is a citizenship mission, but themes in the field of sexuality and sexual resilience are still too little in our opinion, especially when we look at the age at which young people become sexually active on average in the Netherlands, on average over 18 years. How does the Minister view that? Mr President, I would like to conclude by saying that we are basing our research on this evening: the International Civic & Citizenship Education Study. To our surprise and many more, we thought we read that the cabinet would no longer wish to participate in it and would henceforth only monitor it nationally. That would seem to us to be a missed opportunity, because precisely the combination of both studies is a good measure to keep track of the progress and success of the Dutch effort. We would therefore like to hear from the Minister whether he is prepared, if this were the case, to reconsider the Dutch participation in ICCS. Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u71	Thank you. I see that Mr Bertema has another question.
ParlaMint-NL_2018-03-29-tweedekamer-11.u72	I have one more question for clarification. Mrs Van den Hul talks about the core goals, including sexuality, in the MBO. She says that all kinds of things that go with #MeToo are not mentioned in that. You seem to have looked it up. Is that so? Because I come from the MBO and I do not know better than that we have talked about it in detail every year. It often comes up on its own. But is it true that it is not formally in those objectives?
ParlaMint-NL_2018-03-29-tweedekamer-11.u73	No. That's not what I said either. As far as we're concerned, it's not enough.
ParlaMint-NL_2018-03-29-tweedekamer-11.u74	Not enough.
ParlaMint-NL_2018-03-29-tweedekamer-11.u75	There's a citizenship assignment. I'm sure you know that better than I do. Fortunately, as you say, many schools often talk about it, and indeed often talk about it as a result of current events. That's what I've been through several times during guest lessons myself. But there are teachers, also in the MBO, who are acting shy and who are not able to give hands and feet to the assignment, which is indeed there. And that's what we're talking about.
ParlaMint-NL_2018-03-29-tweedekamer-11.u76	Okay, I'll get that. Those core targets do mention some things, but you do not think it is enough. There's got to be more.
ParlaMint-NL_2018-03-29-tweedekamer-11.u77	Yes. It's as simple as that.
ParlaMint-NL_2018-03-29-tweedekamer-11.u78	Well, then we're gonna listen to the minister.
ParlaMint-NL_2018-03-29-tweedekamer-11.u79	Okay. Thank you. I now give the floor to Mr Beertema on behalf of the PVV.
