ParlaMint-NL_2018-04-12-tweedekamer-4.u1	The next item is the Trade Secrets Protection Act.
ParlaMint-NL_2018-04-12-tweedekamer-4.u12	I have listened carefully to Mr Alkaya and I would like to look at the portrait of this amendment. Now, let me get this straight, he wants to record an additional reference to the Whistleblowers' Wet House. Then I wonder what exactly is the point and the necessity of this, as there are a number of rules in this law. If anyone thinks there's an error and feels like a whistleblower, they can report to the House for whistleblowers. What does this add specifically, other than that we may encounter each other very often if we include in every law a reference to the Wet House for whistleblowers?
ParlaMint-NL_2018-04-12-tweedekamer-4.u13	The law on whistleblowers of course regulates that a whistleblower is entitled to advice and investigation. For this, you can go to the House for Whistleblowers. It's arranged in the Wet Huis for whistleblowers. This law also states that the judge may reject a case if one acts in the public interest. And that's pretty abstractly defined. If we remain in this abstract definition without referring to a definition that we already have in another case, namely the House for Whistleblowers, we run the risk of being able to look at the courts for definition issues as well. It seems to me that it is good for workers to assume that they enjoy extra protection here, even if they bring out business secrets, for the matters for which they can go to the House for whistleblowers.
ParlaMint-NL_2018-04-12-tweedekamer-4.u14	That means you see it as temporary. At the moment when the judge defines something as a public interest, you cannot simultaneously as a whistleblower to the House for Whistleblowers. I'm not getting very clear how you see it: either instantaneously or at the same time. Where exactly do you see the bottleneck?
ParlaMint-NL_2018-04-12-tweedekamer-4.u15	The current definition in the law for whistleblowers is applicable to when someone can contact the House for Whistleblowers. It can therefore not be applied when someone brings out a trade secret. At least, they could still go to the House for Whistleblowers, but that would not automatically be excluded for a lawsuit because that person would have brought out a business secret. I would therefore like, because of the same definition issue, where someone can count on him to go to the House for Whistleblowers, that someone on the same matters is also equally excluded from a trial, and therefore cannot go to court in the same case with his or her own employer to prove that it was in the public interest. For we have a definition issue and, in my view, by referring to that existing law, we are only providing clarity.
ParlaMint-NL_2018-04-12-tweedekamer-4.u16	You will continue your speech.
ParlaMint-NL_2018-04-12-tweedekamer-4.u17	Thank you, Mr. Chairman. And then there are the two amendments to give substance to what this additional protection will be. The first amendment, in part No. 7, regulates that journalists and whistleblowers are no longer regarded as infringers according to the definition of this law and that in an unexpected course of justice, i.e. if a company nevertheless goes to court, the company must prove that the employee who went out and claimed to be a whistleblower, thus acting in the public interest, did not do so but acted in a personal interest. The burden of proof is thus reversed. This makes a court case less plausible and makes a company less likely to go to court, which seems almost a standard situation in the current legal text. The following amendment provides that misconduct, errors or illegal activities cannot be classified as business secrets under this law at all. I think this amendment speaks for itself. I do not believe that this directive is intended to give extra protection to illegal business activities. I wonder what the Minister thinks of these three amendments. Finally, a question on another subject. There are still many employees who are faced with competitive clauses from the company they work for. Such terms are also based on the fear that unique knowledge and skill will reach the competitor. On the other hand, this can be a significant obstacle for workers seeking another job. What is the Minister's view of the trade unions' criticism of the terms of competition and does the Minister share the view that the terms of competition in which the definition of "business secrecy" goes beyond what is stated in this law should be annulled? Thank you, Mr. Chairman.
ParlaMint-NL_2018-04-12-tweedekamer-4.u18	Thank you. I now give the floor to Mr Veldman of the VVD. You have ten minutes to speak.
ParlaMint-NL_2018-04-12-tweedekamer-4.u19	Mr. Chairman. Every company, almost every company, does have sensitive information that cannot be disclosed, business secrets. And those secrets, of course, allow competitors to take advantage of them. So entrepreneurs are like the death that these kinds of secrets end up on the streets. Unfortunately, we have to note that, for example, digital espionage with an economic motive is growing ever more. And so it is important that companies, if they are dealing with theft of business secrets, may fall back on proper legal protection. However, secret technical know-how and strategic or commercial business information cannot always be protected by a patent, a design right or, for example, copyright. The Netherlands does not yet have any explicit legislation on the protection of trade secrets. Trade secrets are relatively weak throughout the European Union and it is therefore good that an EU directive has been drawn up and that it is now being pursued in Dutch legislation. Mr. Chairman. This law is a good step in better protecting secret information from companies. The Directive removes fundamental differences between EU countries in the protection of trade secrets, as specific legislation to protect trade secrets will soon be required throughout Europe. The VVD strongly supports the idea of further regulation in which research and development for new products, processes, services and know-how in which business secrets are applied are better protected. Mr. Chairman. On a number of points, I would like to tighten up the law a little bit more, not so much on the scope of the law, but on the course of law when a case is served on the basis of this law. The judgment in a court case often involves a court order for costs. The losing party must pay the winning party an amount for the costs incurred by the winning party. This is mainly about attorney fees but of course may also include a number of other costs. There are now roughly two types of court order. The so-called liquidation rate, a very low amount, or the IPR rate, the IPR rate, where there is a higher amount. The present legislative proposal provides for the lower winding-up rate to apply to business secrets lawsuits. That's what the VVD likes to see differently. It is a little unfair that if your business secrets are violated and you start a lawsuit and you then win that case, you still have a large part of the costs. If you're gonna win the case, you're gonna have to get the court fees, too. Does the Minister agree with me in principle? Mr. Chairman. I am aware, of course, that full reimbursement of costs entails the risk that access to justice can be more difficult. You're less likely to start a trial if you're at risk of losing, and you're still at high trial costs. So this actually calls for customization. And the nice thing is that such a practice has already developed in intellectual property. In a way, I would like to join in that. I therefore propose an amendment to the law so that the losing party can be judged more than at the liquidation rate in the costs incurred by the winning party. The difference I propose with regard to intellectual property is that it is not mandatory. I propose that it be left to the court to order the unsuccessful party to pay reasonable and proportionate costs. Depending on the circumstances, this allows the court to offer tailor-made work on a case-by-case basis. I would like to hear from the Minister whether he agrees with this amendment to the law. Mr. Chairman. Then there is a second point. The bill regulates the protection of business secrets in a court of law. This protection applies only to a lawsuit specifically dealing with trade secrets. For example, a company is suing another company for stealing a business secret. In these situations, the court will decide that the business secrets will not be disclosed during the trial; otherwise, of course, the information will still be on the street. They are therefore protected during the legal proceedings. But, of course, there are also cases in which the primary proceedings are not about a trade secret but about trade secrets. In those cases, you do not want trade secrets to be visible to all parties during the public hearing. That is why I propose in an amendment that the judge may say in those cases that not everyone but only a limited number of people, for example only lawyers, can see the trade secret. Does the Minister agree with me that with this amendment we are just improving the protection of trade secrets? Mr President, one final point: the attachment of evidence. The existing enforcement directive on intellectual property rights, such as patents, trademarks and copyrights, is not fully incorporated into the EU Trade Secrets Directive. Within the European Union, we did not agree on the level of enforcement between, for convenience, the northern and southern Member States. However, Member States are free to include this in their national legislation. For IPR rights, such a special regime has been established, making it possible to seize evidence. For the purpose of maintaining trade secrets, the evidence is actually even more important, because it is not a tangible product. Fortunately, there can be evidence in the Netherlands by way of a detour as a result of case law. But while we are dealing with this law, it would of course be nice to regulate it directly. The Minister has chosen not to introduce this directly into the law. As I understand it, he is not doing so because we are working on a broader revision of the evidence law. Is that right? Is a wide-ranging review of the right of evidence currently under way and, if so, when can the Court expect the new legislation on this matter? Is that the burden of proof? Legally, rather than by case law, in a good way?
ParlaMint-NL_2018-04-12-tweedekamer-4.u20	Mr Van der Lee has a question.
ParlaMint-NL_2018-04-12-tweedekamer-4.u21	I await the amendments and the opinion of the govern ment, but I have a more general question. Mr Veldman stressed the importance of the directive and the need to improve the protection of trade secrets. Work is underway at European level on a proposal to introduce screening or at least harmonise screenings when it comes to taking over companies, for example by Chinese state-owned companies, including from the point of view of protecting business secrets or certain technological knowledge. How do these things relate to each other at the VVD? Isn't it important to protect companies at that point too and not just by this route?
ParlaMint-NL_2018-04-12-tweedekamer-4.u22	That is actually a question I expected from Mr Van der Lee tonight. Tonight, in this Chamber, we will talk about protecting companies from takeovers. I shall return to what we are talking about this morning, namely Dutch legislation based on an EU directive to ensure that trade secrets are better protected. We want a better legal guarantee for that, so that companies that feel their business secrets have been stolen have a legal basis that they can fall back on. It is very good that we are creating a level playing field in Europe. We are now converting the EU directive into national legislation for this purpose. Of course, it makes little sense to regulate it very well in the Netherlands when we see that it is not regulated in other European countries or badly. There's a lot of cross-border traffic. Companies are not always only trading in the Netherlands. This applies to the protection of companies against takeovers, perhaps to a certain extent. That is why European thought is being given to which sectors are of vital importance and to whether we can work together on this. We're not ready yet. It's in college. I think it's wise to wait and see.
ParlaMint-NL_2018-04-12-tweedekamer-4.u23	I think I'm gonna go through with this tonight. Many Member States have taken a number of steps in this direction and are further ahead than the Netherlands. The Netherlands seems to be on the brakes. I think it would be a good idea to ensure a level playing field throughout Europe on this issue too, but we will continue to do so tonight.
ParlaMint-NL_2018-04-12-tweedekamer-4.u24	That sounds like a great challenge to me. Thank you, Mr President.
ParlaMint-NL_2018-04-12-tweedekamer-4.u25	Thank you, Mr. Veldman. Mr van der Lee van GroenLinks has the floor. He has eight minutes' speaking time.
ParlaMint-NL_2018-04-12-tweedekamer-4.u26	Thank you, Mr. Chairman. The Group of the Greens/European Free Alliance also sees the importance of a good framework on business secrets. It is good that, by implementing this European directive, there will be more harmonisation in this area. It is important that, in addition to the interests of companies, which are rightly stressed, the interests of employees and the general interest are represented. So we simply need to find a good balance. In my opinion, the proposal before us does not take sufficient account of the right of workers to change jobs. The Group of the Greens/European Free Alliance wants workers' mobility to be reduced as little as possible by this bill. A competitive clause prohibits workers from taking up work elsewhere, often for a few years after the end of their employment. This is in principle an obstacle to the mobility of workers. The trade unions therefore propose to prohibit the competitive clause when the relationship clause and the confidentiality clause are regulated. Mr Alkaya pointed that out as well. This may be linked to the definition of a trade secret in the present legislative proposal. In this way, business secrets are just kept secret, but employees are freer to work wherever they want. That seems to be a good idea for the Group of the Greens/European Free Alliance, and I'm sure that's true for all the groups in the Chamber; but that's what we're waiting for. Employers must be adequately protected against breach of trade secrets, but workers should not be affected. It is therefore a good solution to make the non-competition clause impossible while ensuring that trade secrets are sufficiently protected. I'd like to hear the Minister's response to that. Whatever needs to be regulated are the possibilities to raise wrongdoings. Mr Alkaya also spoke about this in detail. There are a number of exceptions in the law that allow whistleblowers or journalists, for example, to raise wrongdoings. However, the real impact of this law remains unclear in some respects. What abuses, for example, should be addressed? Suppose a person wants to come out over an organizational sphere where one does not correct one another if mistakes are made. In some sectors this may have major, even fatal consequences. Does this law now give sufficient freedom to come out of this without anyone coming out of it having to appear in court and fear for his job or any other sanctions? Can a person who is not an employee of an organisation come forward with the same point of view, or can that lead to legal proceedings? Another possible weakness is that there may be a huge amount of evidence to be gathered before a failure can be made public. According to this law, almost everything is a business secret and an organisation can sue a person when that person discloses business information, which can have significant negative consequences for that person. My group is concerned that this might deter whistleblowers. To give an example, let's say that an employee thinks that there may be cartels in the company where he works. This information now falls under the heading of trade secret, because one of these information is not generally known, two of them have commercial value because it is secret, and three the company will have taken measures to keep this information a secret. At the same time, of course, we also want to prevent the formation of cartels and we have even set up a whole supervisory body to monitor them. But are you allowed to take that outside, or are you risking an unsolicited corridor to the judge? Is it reasonable now to expect a reporter to prove that there is illegal activity and that these evidence is always as hard as I just illustrated in this example? How can the employee determine this with certainty? How can he prove it? What is the general interest in this? In general, the Competition Authority will first have to establish that there is an illegal activity. After all, the employee is not the judge. He can raise it, but he doesn't have the conclusive evidence. In the meantime, does the employee run the risk of being brought to justice by his boss? Can the Minister also comment on this specific example? Mr. Chairman. I still have great concerns about what this law does for the rights of workers and whistleblowers. I hope the Minister can take that road. I am also very interested in the Minister's response to Mr Alkaya's amendments. Thank you, Mr. Chairman.
ParlaMint-NL_2018-04-12-tweedekamer-4.u27	Thank you, Mr. Van der Lee. I call Mr Paternotte of D66. You have ten minutes.
ParlaMint-NL_2018-04-12-tweedekamer-4.u28	Mr. Chairman. Otto von Bismarck once said: "There are two things in the world that you absolutely do not want to know how they are made. Those are sausages, and those are laws." The Trade Secrets Protection Act is a textbook example of this. That is not a reproach to the Minister or to the legal lawyers of EZK, because they have done a very good job. But that is good, because it was a struggle in the Brussels factory to get the European Commission's original mess into a decent directive. In fact, not for the first time, the Commission was completely blind to the interests of large companies. It was described in detail in a report by researchers from Corporate Europe Observatory. The authors of the Commission proposal had almost daily contact with business lobbyists and lawyers, none of whom represented the interests of small and medium-sized enterprises or, for example, through an NGO, the interests of whistleblowers or investigative journalists. The lobbyists helped the Commission to draw up the legislative texts and the Commission in turn helped lobbyists with the strategy to lobby and convince the European Council and the European Parliament. And when it comes to laws, it's true: whoever writes stays. Liberals, Greens and Social Democrats intervened in the European Parliament. That was a very tough fight, but that means that there is now a completely different directive and a law that strikes the balance between protecting business secrets and protecting workers, whistleblowers and journalists. This background makes sense that several parties in this Chamber, and we too, look very critically at the law before us. As far as we are concerned, the balance between the interests of the companies on the one hand and the whistleblowers and journalists on the other is not quite there yet. I'll get back to you on that. The good thing about this law is clear, because Europe-wide, large companies, SMEs, start-ups and non-commercial research institutions are now better protected against corporate espionage and illegal use of business secrets. Definitely start-ups and non-profit research institutions depend heavily on business secrets. The use of intellectual property rights is expensive and these parties often lack the money and resources to manage and protect them. This law also gives these companies the opportunity to take advantage of their invention and research. An innovative start-up which, for example, has developed a medical application does not require the introduction of this law to apply for an expensive patent or to be alert to the management of intellectual property rights. Mr. Chairman. For D66 it is important that the implementation of this Directive and this law does not affect the free movement of workers. Specific knowledge and skills acquired by an employee during work can of course be a strategic asset for a particular company, but this does not necessarily make them a business secret. Article 1 also provides for this. It must be absolutely clear that there is a trade secret. The holder of that information must be able to demonstrate that he has taken steps to keep that information confidential. This brings me to the first important point, because this law does not in itself protect trade secrets better. After all, a company has to meet the conditions itself and take its own measures. That should also be clear on the retina. After all, small entrepreneurs could now think that there is no added value for a confidentiality clause because this law is in force. But do they know of the three conditions laid down in Article 1, which really make a trade secret a business secret? Can the Minister indicate how he intends to ensure that these smaller companies, too, will get this right on the retina? This concerns the following question about legal status, because there is also a dispute about the interpretation of a confidentiality clause and there is also much controversy in practice. Look at the large number of civil proceedings on confidentiality clauses. Because, yes, if all parties agree on a confidentiality clause in the contract of employment, you may assign a certain value to it, but legally that can very often rattle. 'Cause what's a confidentiality statement? How long is it gonna last? What are the consequences of violating it? What's it supposed to say? There is no uniformity for that now. If you google, you will encounter dozens of different example formats for drawing up a confidentiality statement. As a company and an employee, you run the risk of having a discussion about the third condition: has the employer taken sufficient measures to make it clear that it is a business secret? And to what extent is the employee bound by any part of that confidentiality statement? My question to the Minister is therefore whether, in evaluating this law, he can look specifically at the extent to which these confidentiality clauses are disputed. Is he prepared to examine, if this is often the case, whether a specific further regulation can provide clarification here? It might be good to consider the most commonly used example formats that go around the Internet and are used by smaller companies on their usefulness, so that we know whether current practice and this new law are compatible. Mr. Chairman. Then I come to the final point, namely the sharing of information on business secrets. The draft law does not contain much on the attachment of evidence. This protects whistleblowers, on the one hand, who do not have to turn in all their material directly on a company's claim. Of course, it also protects companies from disclosure of information that should simply be transparent and accessible. We are thinking of diesel gate, in which research was made impossible by car manufacturers who called for the protection of their business secrets. Today we have the European rapporteur on diesel gate, Gerben-Jan Gerbrandy, here in the House of Representatives. We can also think of the case of PwC against the whistleblower that brought the LuxLeaks to light. We therefore need to ensure that businesses are no longer able to hide behind too wide a protection of the law. I therefore appeal to the Minister to monitor this with his European colleagues and the European Commission. Finally, I would like to return to the previous remark in my speech on the protection of whistleblowers and, specifically, Article 4, which Mr Alkaya has already talked about in detail. Like Mr Alkaya, we also see room for improvement. We welcome the inclusion of whistleblowers in the text, but it is a general exception which, as far as we are concerned, still contains too much legal vagueness about the protection in that exception. After all, the current text leaves open the possibility for companies to prosecute whistleblowers and journalists if they do not act on the grounds of protecting the public interest. A further definition of the general interest is missing from the legislative proposal. That raises questions and will continue to raise questions. The judge will have to give an interpretation at some point, but as far as we are concerned, it is good to follow Mr Alkaya's amendment. In doing so, we ensure that there is a clear reference to the House for Whistleblowers, which includes how we see the social role of whistleblowers. We shall therefore support that amendment. Thank you, Mr. Chairman.
ParlaMint-NL_2018-04-12-tweedekamer-4.u29	Thank you. Finally, Mrs van den Berg of the CDA has the floor. You have six minutes to speak.
ParlaMint-NL_2018-04-12-tweedekamer-4.u30	Thank you, Mr President. Today we are discussing the Trade Secrets Protection Act. Protection of business secrets offers protection in an easily accessible way because no application and registration is required. The CDA Group agrees with the proposal because, as I pointed out in the interruption, business secrets are particularly important for small and medium-sized enterprises, for start-ups, for innovative start-ups and for the services sector, because the latter is less patented. We also welcome the fact that the legislative proposal defines business secrecy and makes business secrets more uniform, so that start-ups, SMEs and service sectors are given greater legal certainty as to when and how to deal with infringements, and so that they enjoy the same level of protection throughout the European Union. Their innovation focuses more on matters that are not eligible for patenting. Moreover, they do not always have sufficient resources to obtain and manage a portfolio of patents and other intellectual property rights, to monitor the market for possible infringements and then to start legal proceedings to combat those infringements. The CDA Group thanks the Minister for answering the written questions we have put. We still have a few questions about the balance in the law between the interests of companies and organisations, and the interests of employees, whistleblowers and journalists. Can the Minister, in connection with the joint letter from the Dutch trade unions, go into the question of why the bill does not go too far in order to protect the interests of companies and organisations? In what way does the bill ensure that there is too strict a protection regime, which could be abused again? Would the Minister like to go into the aspect of whistleblowers and journalists again? Is it true that the bill does not apply in case someone reveals a business secret in order to expose misconduct, errors or illegal activities for the benefit of the public interest? Is it true that a miscarriage doesn't have to be a crime before you're named a whistleblower? We have also understood that definitions have not been chosen whereby whistleblowers and journalists acting in the public interest are explicitly excluded from the definition of infringer. This has been chosen with a view to proper implementation and also by aligning as closely as possible with the Directive. But can the Minister explain again why this choice has been made and whether this choice can also cause problems? Thank you, Mr President.
ParlaMint-NL_2018-04-12-tweedekamer-4.u31	Thank you. Excuse me?
ParlaMint-NL_2018-04-12-tweedekamer-4.u32	One more thing I wanted to report. I will propose to my group that it support at least the amendments tabled by the VVD. I am referring in particular to the amendment that the party that raised it but was wrong could also be condemned for the costs of the proceedings. We think it is very important that the judge can also make tailor-made choices in this respect. That was an important consideration for us. Thank you.
ParlaMint-NL_2018-04-12-tweedekamer-4.u33	Thank you. That brings us to the end of the first term of office. I'm looking at the minister. Five minutes I'm suspending.
ParlaMint-NL_2018-04-12-tweedekamer-4.u34	President. - I call the Group of the European People's Party (Christian-Democratic
ParlaMint-NL_2018-04-12-tweedekamer-4.u35	Mr. Chairman. These are trade secrets, but I sent it in as a one-to-one implementation of a European directive. I do not know whether we should do this very comprehensively. The concerns are recognizable, but I wanted to try a different way. In fact, the main concerns relate to the amendments that have been tabled. It is up to me to comment on those amendments, and I actually wanted to do so along that road by passing through the amendments. There are still a number of questions that are separate from the amendments, which will then be discussed. Many of the concerns have to do with the balance. That balance must be there, of course. If we are serious about protecting trade secrets, it is also about that interest. However, we can all imagine situations where something formally defined is a trade secret, but it should not be kept secret, because there is clearly an error. It must be possible for people to report this failure. That is what much of the discussion is about, as is the three amendments tabled by Mr Alkaya. I would like to begin with the amendment to item No. 11. It proposes an addition to the legal text. The term "general interest" is extended to include an example, namely the reference to the Whistleblowers' House Act. That is sympathetic, because it may create more certainty for the whistleblower, but on the other hand it is also restrictive. There are more general interests, and it is given to whistleblowers to come out about more things than just what has been reported in the House of Whistleblowers. For example, about consumer interests, public order; there are many more things. Frankly, I do not think it is entirely right to refer to a subset of these interests in a legal text as a result of a discussion or even articles in the newspaper, and not the rest. For that would suggest that the explanation should be interpreted more narrowly, whereas it explicitly concerns not only the grounds mentioned in the House of Whistleblowers Act, but also other grounds. To be honest, I think that, with appreciation for the intentions of providing certainty, this is more likely to restrict potential whistleblowers. I would also like to advise against this. The formal word is "dissuade' because I consider this not only superfluous but also, in a sense, misleading in the sense of a restriction. I wouldn't want to get caught up in that.
ParlaMint-NL_2018-04-12-tweedekamer-4.u36	I'm having a bit of a problem with this. I can fully follow the reasoning and I think we agree with each other: I would not propose a restrictive amendment either. However, it is clear that I want to include the words 'among other things', so that there are examples, as the Minister also points out, so that there is more certainty in the case of abuses, as they already stand in the existing law, that this would at least lead to the interpretation that this would affect the general interest, which would lead to better protection. In my view, these two words 'among other things' are very important.
ParlaMint-NL_2018-04-12-tweedekamer-4.u37	I think, on the contrary, that if you would like to mention examples that I do not advocate, you should not start with the examples where it is most clear, because they are already in the House of Whistleblowers Act. That suggests that's the domain, too. And if we don't mention another one, we're implicitly making the whistleblower think that's the end of it. I wouldn't want to do that. It is clear, precisely in view of the fact that there is a Wet House for whistleblowers, that they are covered. I would like to suggest as little as possible that that is the end of it. So I think it is not only superfluous but somewhat misleading. Later on, the scholars can start to think that we actually intend to limit it to that, because we could not mention any other, but explicitly mention this example in the law. So I share Mr Alkaya's intentions and presumably Mr Paternotte's intentions, but here I do not think it creates any additional clarity or even works somewhat misleadingly. That's why I think this should be discouraged.
ParlaMint-NL_2018-04-12-tweedekamer-4.u38	A brief follow-up question. The Minister says that it is clear that the provisions currently contained in the House of Whistleblowers Act would also apply here. But is that actually legal? Are those provisions contained in another law also automatically legally valid for a lawsuit that could be brought later under this law?
ParlaMint-NL_2018-04-12-tweedekamer-4.u39	The word "automatic" is not entirely appropriate for such general terms. Something may have to do with something called within the framework of the House for Whistleblowers, but nevertheless be judged differently by the judge. After all, they are not binary concepts. Anyone who reveals a business secret will of course benefit from being able to call himself a whistleblower. It is ultimately up to the judge to determine the reasonableness of that. So the word "automatic" is not the issue anyway. I will also explain to you in the next two amendments why I do not think that the word 'automatic' is at issue. However, it is clear that the areas mentioned in relation to the House for Whistleblowers are legally covered and that these are therefore grounds. But there are more and I didn't want to be restrictive. It is precisely because of the fact that Mr Alkaya and I have the same intentions here that I can also imagine that we do not give the impression that we have a difference of opinion. I would even like him to consider withdrawing this amendment in this form and assuming that it is not only these but also other grounds that are valid for it. Because we do not want to hinder whistleblowers.
ParlaMint-NL_2018-04-12-tweedekamer-4.u40	Mr Paternotte on this amendment to item No. 11.
ParlaMint-NL_2018-04-12-tweedekamer-4.u41	In my view, the last concern expressed by the Minister relates to the following two amendments tabled by Mr Alkaya. It's about whether you're a whistleblower unless you're not, or if you're stealing business secrets unless you can explain you're a whistleblower. But my question is about whether it is okay to mention the House for Whistleblowers as an example. The concern of many whistleblowers and journalists is that, of course, they really don't know what the general interest is about. In doing so, it gives them certainty that it refers in any case to, for example, matters included in the arrangements for the House for Whistleblowers. But it is not "only"; it is "among others," but not "only." My question to the Minister is therefore how Mr Alkaya's amendment is preventing a broader definition of the general interest.
ParlaMint-NL_2018-04-12-tweedekamer-4.u42	The fact that it doesn't technically stand in the way is illustrated by the word "like." But I don't think it's very pure to call a "like" in a law anyway, and then you come up with a subset of examples, because with that you suggest that the rest doesn't apply. General interest seems to be reduced here rather. That's a suggestion I don't want to wake up. It does not therefore have any legal added value. In strictly technical and legal terms, it is not obstructive, but it certainly has no added value in strictly technical and legal terms. And I don't think it's gonna help in communication. That's my opinion of that.
ParlaMint-NL_2018-04-12-tweedekamer-4.u43	Since this debate is also part of the legal history, I think it is right to say that it should not work exclusively in our view, in the sense that the general interest cannot be interpreted more broadly than the very small subset of examples contained in the reference to Mr Alkaya's amendment.
ParlaMint-NL_2018-04-12-tweedekamer-4.u44	In view of the fact that this debate is part of the history of law, it seems to me that it is no longer necessary to mention these examples in the law, since they are now also laid down in the legal history.
ParlaMint-NL_2018-04-12-tweedekamer-4.u45	Before you go any further, your opinion on the Amendment No. 11 is "dissuade"?
