ParlaMint-NL_2018-11-01-tweedekamer-8.u1	The next item is the debate on VAO Horses. The first speaker was Mr Graus, on behalf of the PVV.
ParlaMint-NL_2018-11-01-tweedekamer-8.u12	Thank you. This brings us to the end of the Chamber's input. The Minister says she needs a five-minute suspension.
ParlaMint-NL_2018-11-01-tweedekamer-8.u13	The next item is the VAO Horses. I call the Minister for Agriculture, Nature and Food for reply. Go ahead.
ParlaMint-NL_2018-11-01-tweedekamer-8.u14	Thank you, Mr. Chairman. I share Mr Graus' feeling that it is a good thing that we have talked about the horses, but also that it was a good debate. I shall now turn to the motions that have been tabled. The first is the Graus motion in part No. 995, on including horse welfare in the training for the equestrian certificate. I'm deceiving that motion. It is up to the sector itself to ensure good training. In the existing equestrian certificate, modules are linked to well-being.
ParlaMint-NL_2018-11-01-tweedekamer-8.u15	There is an interruption by Mr Graus. Mr. Graus, is it all right if you ask all your questions after all the motions are pre-advised?
ParlaMint-NL_2018-11-01-tweedekamer-8.u16	I'd be happy to do that. Look, you're in charge here tonight. But it's not common. I've been playing with this for 13 years, and we're always allowed to interrupt by motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u17	We were hoping it would be a little more efficient, but if you insist, you may interrupt. Go ahead.
ParlaMint-NL_2018-11-01-tweedekamer-8.u18	You're the boss. I'm subjugating myself to you. The sector has really had the opportunity and the time to do something for years. They're not gonna do anything. The horse welfare is really deteriorating. That is why I appeal to the minister as a shepherd, not only of our sheep, but also of our horses, to do something about this. That's very nice. The Minister could also ask for the module to be added, couldn't he? She can just ask, can't she? Then they'll do it, because they'll be really benevolent after everything they've screwed up in the last few years.
ParlaMint-NL_2018-11-01-tweedekamer-8.u19	I think I just indicated that in the equestrian's evidence there is a link to parts of well-being, so I see no other reason to reconsider my judgment on the motion. Then I come to the Graus motion on part No. 996, on linking ownership to the so-called I&R system. We also discussed this during the general consultation. It's about holding. You have owners in Switzerland or Saudi Arabia or wherever. That is not at the heart of the question. The question is who the holder is. That's linked to the I&R. It is already being strengthened in EU legislation. So I advise against this motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u20	Yet the people at the front, for example, people from the animal police, are asking for this. They say: it is always a disaster to find the owner. They also refer to each other. They're also throwing up fog. I'd like the owners to be known, too. That's what the animal police want. Isn't that the same with a car? It's very simple, isn't it? Why is it true for a car, a piece of iron that is not hypertensive and has no feeling at all, but not for a horse?
ParlaMint-NL_2018-11-01-tweedekamer-8.u21	I&R is about finding out where the beast is. This requires a holder. It's not about who owns it.
ParlaMint-NL_2018-11-01-tweedekamer-8.u22	It's not my motion, but I have one brief question for the Minister, if you don't mind. I seem to recall that the Minister has promised a letter. Maybe she can tell us when that letter is about to come.
ParlaMint-NL_2018-11-01-tweedekamer-8.u23	I have indicated that we will have a discussion with the sector in the spring of 2019 and that we will return to this point in a letter in spring 2019.
ParlaMint-NL_2018-11-01-tweedekamer-8.u24	I'll hold the motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u25	At the request of Mr Graus, I propose his motion (28286 No. 996). That is what is decided.
ParlaMint-NL_2018-11-01-tweedekamer-8.u26	Then there is the Graus/Wassenberg motion on part No. 997, on enforcement. Things like horse markets and horse events are, of course, also of interest to the municipalities, to see how the licensing process is going. We are already having separate discussions about slaughterhouses, last night and this evening, probably during the budgetary procedure. So I see no reason to do more on this issue than I have already indicated. So I advise against this motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u27	Yesterday, I congratulated the Minister on the success of the special animal welfare team, which is mainly concerned with pigs. The best and most successful team of the NVWA. Now I'm asking: go do the same for the horses. Why? The good example is already here. I thought a horse was a noble animal. Not to me, all animals are equal, even rats. But you'd expect it sooner for horses than for pigs. I think it's really weird that it doesn't happen for horses.
ParlaMint-NL_2018-11-01-tweedekamer-8.u28	The suggestion is raised that there is no supervision of horses and that is, of course, not true. I mean, the time when there is a slaughterhouse is monitored, even when it comes to horses. And in horse breeding the NVWA is a move, also in the horse transports. So it is not that that is not happening, and that is why I am making that suggestion. Mr. Chairman. Then the motion to part No. 998, on the creation of a task force for horses. I have just indicated that there are inspectors at the NVWA who are working on this. They also have knowledge in this field. The inspections for horse welfare are carried out by the NVWA and the police. The NVWA also has specially trained veterinarians. So I don't think this is necessary, and that's why I advise against this motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u29	My previous remark was actually about this. I might have been able to put those motions together. It's really weird what's going on. There are indeed specialist teams. There are also specialists working within the NVWA and they discover a lot. The other day they even made sure that a slaughterhouse was closed. But they also ensure that there is a restraining order, that a company is shut down and you name it all. So it's very strange that that doesn't happen to horses, because supervision is there for all animals, as far as possible. Because we don't have enough people, we really need to work with specialists. Not everyone knows everything about horse welfare. So why is it possible for the livestock industry but not for noble pets like horses? I think that's really weird.
ParlaMint-NL_2018-11-01-tweedekamer-8.u30	I think it is a question of whether there is sufficient knowledge in this area. And there is. Those NVWA inspectors have knowledge in this field, and they're working with the police. I just mentioned it in my answer. That's why I advise against this motion. Then there is the question of putting the horse's decision into legal frameworks. We had a whole discussion during the general discussion about what we want to happen now. We want to see better practice, and that is what the sector has been working on. That is what we are here with, and we are also active in addressing them. There is a label and we have a guide, so a lot of things are happening right now. I also indicated that I congratulated the sector on having actually taken that up on their own. This motion in part No. 999 calls for additional rules, but I just want the practice to improve. The necessary steps have now been taken and I therefore advise against this motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u31	Mr. Chairman, my motions are usually way ahead of their time. When I asked for regulations forzzp'ers I was laughed at by everyone, but those rules did come! This is going to happen, just so many thousands of horse abuse later. I am very sorry about this, because it does not allow the animal police and the detectives to take adequate action. And because of this there is also much less good justice, because it is not well arranged now. I find it sad and intriguing that it is. That's what I wanted to say. I also appeal to the Chamber because it has also seen that the sector has had the opportunity for years. Something really needs to be done now, and that is that at least we are putting the horse's decision into legal frameworks. I had further asked what the Minister will do with the recommendations of Dier&Recht. I asked that yesterday, and it is now in this motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u32	Mr President, I think I have just answered that question in writing in the run-up to the budget, as Mr Graus has asked. It says what I do with it. He also has a commitment to that, so perhaps he should look at the answers. Then there is Mr Wassenberg's question about the tasty hairs. I had to go after that, because during the general discussion we did not talk about tasty hairs. But I understand that the KNHS itself already has a ban on shaving tasty hairs. So there is already talk of self-regulation. Furthermore, it is indeed good for the welfare of the animal that these tasty hairs remain in place. That's why I advise against this motion.
ParlaMint-NL_2018-11-01-tweedekamer-8.u33	It is good that the Minister acknowledges that it is indeed a problem that these tasty hairs are shaved off. But I think it's nice to have a ban, because it shouldn't matter whether you're a horseman or an owner of an association or not. So I think it should apply to everyone and not just to the association.
ParlaMint-NL_2018-11-01-tweedekamer-8.u34	This is, of course, also about good possession. A keeper also wants the good for his animal and then you don't do this. The KNHS itself has already included this in its own rules. If we start legalizing that now, it's gonna take a lot of time. I am simply putting it on the ground, just as I do with the guide and the label. That is where the discussion must take place about what you do and what you do not do, and that is why I am also pleased that the KNHS itself has indicated that it is not appropriate.
ParlaMint-NL_2018-11-01-tweedekamer-8.u35	That is very positive, only rules are made not for the cases where things are going well, but for the cases where things are not going well. That it often goes well, is of course very nice, but it is far from going well everywhere. And that is what this motion is for, for the cases where these tasty hairs are being shaved off, because that is still happening.
ParlaMint-NL_2018-11-01-tweedekamer-8.u36	Yes, but I have indicated what I am committed to, an improvement in the work in practice, and that is my priority. Then the last motion, which is in part No. 1001 by Mr Geurts and Mr von Martels, on the breeding of ponytails. Mr Geurts suggests, also on behalf of Mr von Martels, that there has been no transitional period at all. To recall that, ponytails have been banned since 2001. I'd say, how much transitional period do you want? We've been doing that for 17 years, and the sector knows it. We had the exception of cutting the tail from a veterinary point of view. I have seen that this exception is being abused in practice as a sort of shortcut to continue to couple the tails of certain breed horses. There are always parties here in the Chamber who ask for a certain intermediate stage, but also who say: the law is the law and at some point it is simply clear. That is also the case here. We have been banned since 2001 and I do not see any reason to take this motion or anything else, so I strongly advise against it.
ParlaMint-NL_2018-11-01-tweedekamer-8.u37	Thank you. This brings us to the end of... Oh, I see Mr. De Groot walking to the interrupting microphone. One more question, though.
ParlaMint-NL_2018-11-01-tweedekamer-8.u38	Oh, yeah, sorry, the Gelders breed horse. That is true, that was another question from Mr De Groot. We've had that discussion, too. I have explained in general consultation that there is a herdbook, that a second herdbook is a whole discussion again, because there can't be two herdbooks next to each other. However, I have indicated that this regulation will also be amended and that a new application can be made at RVO, which will be tested on the basis of the new rules to see if that is true. I'd just like to walk that route.
ParlaMint-NL_2018-11-01-tweedekamer-8.u39	Thank you. This brings us to the end of the treatment of the VAO Horses. All motions are subject to a judgment.
