ParlaMint-NL_2018-04-26-tweedekamer-10.u1	Welcome to the Secretary of State. I call Mr Van Rooijen of 50PLUS.
ParlaMint-NL_2018-04-26-tweedekamer-10.u15	I had come here for the arrangement of work. That is where Mr Van Rooijen applied for this VAO. That is where we explicitly stated: no votes today. That's what I assumed. Of course it is up to the author of the motion to come back to that, but I think it is a very strange zigzag story now.
ParlaMint-NL_2018-04-26-tweedekamer-10.u16	You are not in favour of putting this motion to the vote this afternoon.
ParlaMint-NL_2018-04-26-tweedekamer-10.u17	If the author so wishes, he must have the right to put her to the vote in a moment, but I think it is a very strange form.
ParlaMint-NL_2018-04-26-tweedekamer-10.u18	No, but what I am telling you is that the author states that he wishes to put this motion to the vote now. The Room has to find something about that. So, you're not for that?
ParlaMint-NL_2018-04-26-tweedekamer-10.u19	Mr President, I would like to explain.
ParlaMint-NL_2018-04-26-tweedekamer-10.u20	No, wait a minute. First, I want to hear from the other parties how they stand in there. I want to know whether a majority is against voting on this motion or not. Mrs. Plasschaert.
ParlaMint-NL_2018-04-26-tweedekamer-10.u21	I just wanted to explain how this went, because I understand that Mr Van Rooijen...
ParlaMint-NL_2018-04-26-tweedekamer-10.u22	No, no, no. We're not having that discussion right now. The V.A.O. is on. Mr Sneller has a point that the...
ParlaMint-NL_2018-04-26-tweedekamer-10.u23	But, Chairman...
ParlaMint-NL_2018-04-26-tweedekamer-10.u24	No, no, no. I'm not going to argue with you right now. I want to hear from the other parties whether they want to vote on this motion this afternoon. Mrs. Plasschaert.
ParlaMint-NL_2018-04-26-tweedekamer-10.u25	My colleague, Mr D66, has just indicated that he will not stop the votes. That goes for me, too. However, I do think that it is a very strange figure how this went down. In view of the clock, and many colleagues who would very much like to get out of town on time because otherwise they are locked here, I would like to propose to you that we take this opportunity. to vote, including on this motion.
ParlaMint-NL_2018-04-26-tweedekamer-10.u26	I agree with that. At least I see one line with Mr Van Rooijen, and that is a red mop line. I really don't... it wouldn't be voted on at first. But if people want to vote, fine.
ParlaMint-NL_2018-04-26-tweedekamer-10.u27	Clear. You have no objection to voting on this motion this afternoon. Mr Van Dijck.
ParlaMint-NL_2018-04-26-tweedekamer-10.u28	Mr President, I would like to explain...
ParlaMint-NL_2018-04-26-tweedekamer-10.u29	Mrs. Leijten, just a moment. Wait a minute. I want the others first...
ParlaMint-NL_2018-04-26-tweedekamer-10.u30	But you're allowing this. This hadn't happened...
ParlaMint-NL_2018-04-26-tweedekamer-10.u31	No, no, no. I'm just gonna let the other spokesmen talk. Mrs Leijten, I will allow Mr Van Dijck to speak and you will have the floor.
ParlaMint-NL_2018-04-26-tweedekamer-10.u32	I understand that there will be a vote anyway. I'm sure there's only one motion for that.
ParlaMint-NL_2018-04-26-tweedekamer-10.u33	Clear. Finally, Mrs Leijten, very briefly.
ParlaMint-NL_2018-04-26-tweedekamer-10.u34	If you had given me the opportunity to explain what happened, my colleagues would not have had to accuse Mr Van Rooijen of mop-up policy. In the run-up to this VAO, we looked at what motions we had. The motions were similar. Van Rooijen had said: I do not need to vote, and we did put the motions together. I said, I'll stick to it. That's why I indicated it here. That is not Mr Van Rooijen's mop policy; that is my express wish. I actually think that those statements should be taken back.
ParlaMint-NL_2018-04-26-tweedekamer-10.u35	Thank you. Clear. The motion will be tabled and it will be put to the vote shortly.
ParlaMint-NL_2018-04-26-tweedekamer-10.u36	I thank the Secretary of State for coming to the Chamber. I suspend for a few moments, and then we continue with the VAO Group size in primary education.
