ParlaMint-NL_2018-10-18-tweedekamer-17.u1	The next item is the continuation of the budget debate on VWS.
ParlaMint-NL_2018-10-18-tweedekamer-17.u12	I know where the initiative comes from, and I would basically welcome any extra help these families can get. However, the problem is that the common thread in this criticism, the message underneath, is, of course, very serious. The health care system as it is at present, with the different laws, the different rules, the different points of contact, has become such a maze that an average family simply loses its way. Their criticism is: don't send someone else at us every time. We've got the case managers, we've got the copilots, the care buddies, so on and on. There have all been groups of people who do not necessarily care, but try to point the way in the maze. While their criticism is: remove that maze! Just make sure we can find our own way!
ParlaMint-NL_2018-10-18-tweedekamer-17.u13	And your question?
ParlaMint-NL_2018-10-18-tweedekamer-17.u14	Well, that's my question. Is the Minister prepared to solve the underlying problem instead of sticking patches alone?
ParlaMint-NL_2018-10-18-tweedekamer-17.u15	If Mr Hijink comes up with a concrete simplification or improvement of the system, I am very willing to look at it very seriously, but I fear that reality is just a little more complex than that. I'm afraid it's not a matter of shifting a few cash flows, merging counters or anything, and you're done. The reality is more complex than that, because the support question these parents have to deal with is so complex that you can't just focus a system on it differently for a moment. When it comes to the possibilities within the system we have, they are almost endless. Is everyone being helped perfectly? Is there immediate appropriate care for everyone? No. The support question that parents of a very severely limited child have is so complex that we simply have to help them. There's no change in the system. Concrete help to that family is the only thing that helps.
ParlaMint-NL_2018-10-18-tweedekamer-17.u16	I read the article, too. What I'm getting out of it is just a little bit different. I share the last remark. These parents really wanted to participate, because they needed it, but then came to the conclusion: should we not also simplify the system or access? Shouldn't that be the main message? I have to say, of course. In fact, you're hoping a client support isn't necessary. Besides, I think you always need people to help me, for example, if I hear that from parents who have a severely disabled child, to help them with a bit of mourning in it. So completely without help and support...
ParlaMint-NL_2018-10-18-tweedekamer-17.u17	And your question is?
ParlaMint-NL_2018-10-18-tweedekamer-17.u18	My question to the Minister is: as far as access is concerned, that is also why I asked to look at it a little bit more. It would be extremely helpful if people were not referred to every time, but that if they are at a Wmo window or somewhere else, that person feels the responsibility there to take that question seriously.
ParlaMint-NL_2018-10-18-tweedekamer-17.u19	I very much agree with that. This is also one of the observations in the Ombudsman's report. There's this in there, too. We have agreed with the Court that we are discussing the HLZ evaluation in connection with what the Ombudsman has found on the basis of case law. In the first quarter of 2019 we will come up with a response to this. I'd like to have this conversation with congregations. Most people feel well helped by the municipalities with such a kitchen table conversation. Nor should we pretend that nothing is going well and that access everywhere is obviously complicated. For about 20% of people, that access is complicated. This is sometimes because people need more support, but that is also because access by municipalities is too complicated organised or not suitable for every group that bangs on the door. So I'm gonna talk to congregations about this. You have asked me very specifically whether we can hear back what has been improved on the bottlenecks identified by the Ombudsman. Does the Ombudsman see this as well and does he notice it with what he gets? Could the SCP also play a role in this? I need to talk to the SCP about how they can play a role in this. What I would like to do in response to the HLZ evaluation is to come back in the first quarter after the talks with what we can do with the observations that have been made. I think I would like to return to Mrs Bergkamp's question about whether it works in practice for the 2019 budget. I will do so in consultation with the SCP and the Ombudsman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u20	I agree. With another whole system discussion, people won't get anywhere. The question is how we can improve reality. That's important. I'd like to give the Minister one more thing. It is not just about the services provided by the municipalities, but also about the fact that people sometimes receive care under two or three laws. In between they sometimes feel like a ping-pong ball. It would be very nice if the Minister also wanted to take this issue explicitly.
ParlaMint-NL_2018-10-18-tweedekamer-17.u21	I'd love to. That is actually what the Court of Auditors, one of the three institutes in the article in Trouw, is observing. People are referred by some municipalities. They get the impression that they should be with the CIZ because they think they can claim the Long-Term Care Act. Then they come to the CIZ and the CIZ says: yes sorry, but this really isn't a care question that fits within the Long-Term Care Act. The CIZ says that this list is quite long in some municipalities while in others it is almost non-existent. In short, the one municipality is much better able to assess when there is a Wlz appeal and when there is a claim under the Wmo, Youth Law or Health Insurance Act. This is what the CIZ picks up by talking to the municipalities where the list of rejections is long. That's one. Two is the next question. If you now have a parent who has no claim to the Wlz, isn't it also possible to return hand-in-hand to the municipality? Is it really "the computer says no" and can the parents find out for themselves? This creates a locker-to-the-wall experience with the parents. You don't have to. There's no need for that. We can really do better than that. I'd like to talk about that, and I'll come back to that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u22	The Minister just mentioned what has already happened in relation to the Ombudsman's report on access to care. Despite so much happening, I ask the Minister the following. It is an unmistakeable signal that three fine gentlemen, the Ombudsman, the President of the Court of Auditors and the Director of the Social and Cultural Planning Office, called in the newspaper yesterday. That happened on the day we started discussing the VWS budget here. I conclude from that that, at least according to the three gentlemen and the organisations behind them, it is still far from enough.
ParlaMint-NL_2018-10-18-tweedekamer-17.u23	What they put in the newspaper yesterday, they have also sent reports to the department before. This was done following the evaluation of the choices made in recent years. I am less gloomy about this than the qualifications that Mr Kerstens himself gave yesterday. I think their observations are very much in line with the choices we make. For example, the SCP says that 80% of people know how to find their way, but that 20% find it harder to find it and then says that you should actually support people better. That's very much in line with the choices we made about client support. I also understand Mrs Bergkamp's question: show us, next year, to what extent the measures we have taken in response to the reports have helped in practice. They were not new observations that were mentioned yesterday in the newspaper, they had already done so in those reports and measures have been taken on that basis. I'd like to work on that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u24	The qualifications I used yesterday, if the Minister did not notice the position of vulnerable people and that the alarm clock is sound, are not my qualifications. Those are the qualifications of the gentlemen I just mentioned. For example, it took almost six months for the Minister to reply to the Ombudsman's report six months ago. Not only did the Ombudsman find it necessary to ring that alarm clock in the newspaper yesterday, but he also found it necessary to remind the Chamber a few days before the budget procedure that the Minister had misinterpreted his recommendations. That was about that one window. I'm just gonna ask the Minister again. In response to Ms Bergkamp, he indicated that some more information would be provided for the 2019 budget debate. Then we will be one and a half years after the Ombudsman's first cry for help. Can the Minister understand that a little more pace is needed, not just according to those three gentlemen, but also in my view?
ParlaMint-NL_2018-10-18-tweedekamer-17.u25	Your question is clear. The Minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u26	In terms of qualifications, I really meant the qualifications that Mr Kerstens used yesterday, about the fact that care has become a maze and that people are lost in it and about the great drama in youth care. Those were yesterday's qualifications, and that's what I think: well, that's a little heavy. As I said, I am a little more enthusiastic about the choices made by the previous cabinet, as I say in the direction of Mr Kerstens. That's one. Two is that I have just outlined what we have all done, including in response to the Ombudsman's report and in response to the observations made by the SCP. I believe, on the contrary, that this reaction is very much in line with what the three institutions as you call it, namely to help people find their way into that system. Not for everyone, because it's actually going pretty well for most of us. There's just a part of it that doesn't find the way by itself. Those people are gonna have to take you by the hand, and that's exactly what we're doing.
ParlaMint-NL_2018-10-18-tweedekamer-17.u27	One more time, Mr. Christmas. Finally.
ParlaMint-NL_2018-10-18-tweedekamer-17.u28	I just want to make sure I got it right. The Minister considers that the pace is high enough if it takes six months for a written response to the Ombudsman's report to be provided, if that written response indicates that after a number of discussions in the spring, we will be returning to the Chamber how and what, and that he indicates here that we will hear a little more before the 2019 budget debate. Then we'll just be a year and a half away. I'd like to see the pace a little higher.
ParlaMint-NL_2018-10-18-tweedekamer-17.u29	Now Mr. Kerstens confuses the reports himself and also confuses what writing a reaction is and doing things. People don't have much use for a cabinet response. They have something to do with ordinary things. So you're helping them by setting up client support. That's what we do. You help people by, for example, taking them by hand in individual cases and pointing the way. That's what we do with the right care in the right place and that's what we do with the right Loket. That's what we do. Indeed, it is also true that we need to discuss the evaluation of the HLZ which is a rather bulky report, with such a pile of observations first with municipalities and with providers to see what is the most sensible response to it. But I'm not gonna wait till we finish the paperwork.
ParlaMint-NL_2018-10-18-tweedekamer-17.u30	Good. Have you also come to the end of the block about living with a disability?
ParlaMint-NL_2018-10-18-tweedekamer-17.u31	Well, not quite. But I can carry on, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u32	Fine.
ParlaMint-NL_2018-10-18-tweedekamer-17.u33	That's what you mean, I think.
ParlaMint-NL_2018-10-18-tweedekamer-17.u34	Yes.
ParlaMint-NL_2018-10-18-tweedekamer-17.u35	Then the VVD, Mrs Hermans. She asks why intensive care needs to be demonstrated every year for care from the Youth Act for children with severe multiple disabilities, if we really know that this restriction is not over within one year, even within two years and that it is likely to be a lifelong one. However, there is a great deal of difference between municipalities as to how this is handled and how municipalities dealt with it just after the decentralisations and in the meantime. But some municipalities are indeed quite of the annual rededication. I don't think that's necessary. This seems to me to be very burdensome for parents anyway, but also for municipalities themselves very inefficient. So I would like to talk to the VNG about this, and I would like to specifically draw the attention of the municipalities to that multiannual indication. So I'd like to get on with that. A question that also fits into this block, albeit in a different way, is Mr Van der Staaij's question and Mr Slootweg's question about people with a complex need for care with whom the question of care actually goes over the different domains, for example if there is a combination of ggz and care for a intellectually limited one. That's how I understood the question. It is a question of concern that is so complex that the answer to that question is not easy to look for. In the Health Care programme for Youth, attention is paid to this, but also to the programme of life of full dignity, about disability care, which I have just sent to the Chamber. With laws or regulations, this is not easy to adapt. The laws or rules do not make it impossible, but the offer is very difficult to achieve. That is why we have said: we should actually create 100 extra places for the group that is most difficult to place, but you know what I mean, 100 more places, so that we can really create that space at very specialised institutions and answer this complex question of care properly. In addition, and in addition to that, I would also like to set up an additional number of outpatient teams that can also help such an institution on site to provide an answer to a complex care question. I have looked a little away from these teams from what already exists in a number of regions. If it doesn't work now, for example, endless calls are made, all weekend long, to find a place. After that, we have to move again. That's all very complicated. You'd better get the care to that location. In addition, there's client support as we just named it. In this way, I actually want to respond to that question, which is quite right.
ParlaMint-NL_2018-10-18-tweedekamer-17.u36	The question stems a little from those 100 places. That's what I understood from the letter writer from Limburg. The point is that the money itself is not really the problem, but that the locations and also the expertise are the problem. It's about situations where you have such a multi-limited child at home and there's actually no light on the horizon. Does the Minister recognise that it is mainly a lack of location and expertise? Or is it also a money problem?
ParlaMint-NL_2018-10-18-tweedekamer-17.u37	No, it is my firm belief that it is not a money problem. This all fits perfectly within the Wlz framework. My impression is that it is so complex and specialized that you just can't do it at every location. Of course, you can see that more in medical-specialist care. See also that the most specialised treatments are always concentrated, in two hospitals, in three hospitals. The Princess Máxima Hospital has concentrated children's oncological treatment entirely in one hospital. We do that because it requires so much knowledge, so much expertise. This knowledge and expertise are simply not present in every institution. Therefore, you need to concentrate somewhat to keep it qualitatively at an adequate level. It will not succeed in achieving this in every region, but it will succeed in achieving it in parts of the country. This concerns high-complex care.
ParlaMint-NL_2018-10-18-tweedekamer-17.u38	Clear. That was enough for Mr Slootweg. Mr Van der Staaij also has a question.
ParlaMint-NL_2018-10-18-tweedekamer-17.u39	I recognize what the Minister says, but I notice that sometimes the image is a bit diffuse. Especially when it comes to mentally handicapped people, I often hear that in that VG 7, which is a more serious concern, it is sometimes difficult to get around with the money. Is there any consideration in these examples that the Minister is going to examine in greater detail as to whether there may also be any financial problems?
ParlaMint-NL_2018-10-18-tweedekamer-17.u40	Yes, of course we are talking to VGN about that. On the basis of cost research, nearly 100 million has been added to the Budget Framework. In addition, 78 million has been added for target transport. That was done on the basis of cost research. And we do know that a number of providers say that in differentzzp's, or actually especially inzzp 7, the budget is too tight. That is not clear from the cost study. They say: no, but that is what we would actually need to provide that complex care. I think it's good to take a very good look at the differentiation here as well. If this is about such high-complex care, then perhaps it is not entirely appropriate within that zzp. It could be. By the way, Mr President, we are very much going into the abbreviations. This is what we need to discover, and I'd like to talk to VGN about this too, with the umbrella organisation of the providers. But that shouldn't keep us from these high-complex places... Because of course it's not about the entire population of zzp, of VG7. Not at all; it is about a number where you see that the learning disability requires care in combination with, for example, a psychiatric disability. It is precisely this combination that makes the expertise needed to provide this well so complex.
ParlaMint-NL_2018-10-18-tweedekamer-17.u41	The pilots, which are also mentioned in the written reply and which the Minister also mentions, are therefore also aimed at getting a clearer picture of exactly what it is in and how to remedy it?
ParlaMint-NL_2018-10-18-tweedekamer-17.u42	Exactly; yeah, sure.
ParlaMint-NL_2018-10-18-tweedekamer-17.u43	It doesn't quite make sense what the Minister says. We also had a debate earlier this year on the manifesto drawn up by various organisations. That was precisely about the group that is now receiving the most basic care, i.e. food, drinking, washing, but of which all these organisations, including the inspection and researchers of the University of Groningen, say: that basic care can be provided, but the development that is actually needed for this group is lacking, and that actually requires additional budget. I asked about that yesterday. The question is still whether the Minister also sees that this money is needed if we are to be able to provide more than just a little basic care.
ParlaMint-NL_2018-10-18-tweedekamer-17.u44	That is actually the same answer I gave in the direction of Mr Van der Staaij. We have added budget to a number ofzzp's based on the cost research as it has been done. Budget has been added where target transport is concerned. Those were the results of the cost study. The cost study has been taken over and the observations have been incorporated into the rates. In addition, I recognize what Mr Hijink is saying. That is actually what Mr Van der Staaij says, namely that providers say: on VG7, we would rather be able to do more than we are doing now. It is also a question of whether this is about the same problem, as I said just now in the direction of Mr Van der Staaij. Because of course it is not about the whole target group but about the most complex part of it. There's another way to solve that. On this observation about VG7, I am in consultation with VGN. But, of course, I can't just do it outside of the cost study, because your proposal was to add 100 million. Of course, it doesn't work that way. I can't go beyond the cost research and beyond the Wlz estimate, as it just works very structured every year, just put 100 million on top of it. That's not how it works.
ParlaMint-NL_2018-10-18-tweedekamer-17.u45	Strictly speaking, it's VG8, but that's a detail. It's 6,500 people. What the Minister says just doesn't add up. The cost study was based on cost prices in the past and dealt with whether they were actually in line with the care that had to be provided. The conclusion was: no, those rates were actually too low and that is why the EUR 98 million was added. That's different from what this manifesto is about. Researchers and scientists say that more development is possible on top of basic care...
ParlaMint-NL_2018-10-18-tweedekamer-17.u46	And the question?
ParlaMint-NL_2018-10-18-tweedekamer-17.u47	... but it cannot now be delivered within this rate and that is why that extra budget is needed. I just want the Minister to be honest and say that EUR 98 million was intended for the cost studies.
ParlaMint-NL_2018-10-18-tweedekamer-17.u48	That's right; that's what I said.
