ParlaMint-NL_2018-03-29-tweedekamer-10.u1	We continue with the VAO's deficit policy. I give the floor to Mr Kwint on behalf of the SP.
ParlaMint-NL_2018-03-29-tweedekamer-10.u12	Well, we don't need this motion to have that discussion either, because it will undoubtedly be conducted. So I advise against this motion. The discussion will undoubtedly come back to the moment I come up with a final choice. That will be in April and that will be as soon as possible.
ParlaMint-NL_2018-03-29-tweedekamer-10.u13	What are you doing with the motion, Mr. Kwint?
ParlaMint-NL_2018-03-29-tweedekamer-10.u14	I've only been a Member of Parliament for a year, but in the meantime, I know that every discussion always comes back. So I don't think that's an argument. The Minister presents us with five scenarios and of all five scenarios this is a possible result. I therefore believe that it is an excellent time to table this motion.
ParlaMint-NL_2018-03-29-tweedekamer-10.u15	Mr President, I stand by the judgment I have given. The motion by Mrs Westerveld, Mr Kwint and Mrs Hul on point No. 82 asks us to make clear the educational, social and financial implications of a single integrated provision for all toddlers. For this purpose, I can refer Members to the answer to the written questions, because we have also had an extensive written round. In questions 76 and 77 we were quite clear and also made financially clear what is needed to take that next step. This cabinet does not choose to offer an integral toddler provision. This cabinet does say in the direction of the municipalities that want to do so, that they have room for this within the laws and regulations that apply to the budgets that go to them. This is what we do and it is really huge amounts that go towards the municipalities for these purposes.
ParlaMint-NL_2018-03-29-tweedekamer-10.u16	I think that is two other arguments. That the cabinet does not choose, I know, but what our motion actually asks is more than what it says in the answer to the written questions. We are asking for an insight into what it brings. We do not only have costs, because an integrated provision for all citizens is, of course, a great deal of money.
ParlaMint-NL_2018-03-29-tweedekamer-10.u17	The great misunderstanding that arises both in general consultation and between the rules is that it seems as if it is forbidden to make such a large provision. That is ultimately up to the municipalities. What this cabinet is doing is sending large amounts to the municipalities with a certain distribution system and indeed with certain redistributing effects. In fact, I have calculated the size of those amounts. It is even more than in the previous period. The municipalities can therefore make their choices. If they want to do more, they're free to do it. They will have to look for resources, but some municipalities also have opportunities for this. Municipalities have done the same in recent years when they were, so to speak, at the bottom of what they were getting money for these target groups, even though they did have it within their municipal boundaries.
ParlaMint-NL_2018-03-29-tweedekamer-10.u18	Please continue.
ParlaMint-NL_2018-03-29-tweedekamer-10.u19	Then I have the fourth motion, in part no. 83 in which Mrs Westerveld, Mr Kwint and Mrs Van Dan Hul ask me, in consultation with these parties, to examine the possibility of making a pre-school offer of at least 16 hours for all toddlers. For this reason, too, I refer to the calculations we have made in connection with the plan that has come to us. It just takes a lot more money. I don't have that kind of money at my disposal. What we can do, we'll do. So I advise against this motion. Then the final motion, in part No. 84 on the recovery for those three years. I did not, in my view, inform the Chamber more transparently about what was to happen there. Moreover, the Chamber was already aware of the fact that action was being taken there. This motion by Mrs Westerveld asks me to look again at the recoveries and in cases where there is doubt as to whether the administration was deliberately incomplete and to find a solution with the school. This phase has been. We've supported schools to the maximum, and in the end this was all we had left. That's annoying. I reported that, too. Arrangements are also being made so that schools cannot get into acute trouble. We can only do this in this way, no matter how annoying it is, but really everything is done. I have also asked the Chamber to serve me with examples if that is still possible or necessary. I have not received any concrete examples. It is clear that we must do this now. It's not fun, but unfortunately inevitable. I advise against this motion, because this is already a crossing station.
ParlaMint-NL_2018-03-29-tweedekamer-10.u20	Thank you. Oh, there are still motions from Mrs Van den Hul.
ParlaMint-NL_2018-03-29-tweedekamer-10.u21	I must have started and indeed had not received these motions yet. I've got them now. Mrs van den Hul asks me to give shape to the House's ruling on the Yücel motion in a way that allows municipalities to maintain their vve facilities and does not require the destruction of facilities. I reject this motion on the basis of the arguments I have put forward in general consultation with regard to the frameworks from which I can finally make my choices on the most important part of this motion, the creation of a new indicator. This indicator will eventually lead to the end of the draining of money, as it has happened in recent years. In principle, there is no need to break down facilities. This is a choice that must be made in the municipalities themselves. It is clear that at that time the state resources will reach the municipalities to a certain extent. If they want to do more, it is up to them to see if they have the means to do so.
ParlaMint-NL_2018-03-29-tweedekamer-10.u22	In my view, the Minister is now talking about the 2015 motion, which indeed called for an indicator. The motion to which I refer in this motion is precisely about what I called the "waterbed effect" during the AA. We must ensure that the distribution of resources does not have a negative impact on the larger municipalities.
ParlaMint-NL_2018-03-29-tweedekamer-10.u23	On this point, if that is what Mrs van den Hul is referring to, I have just indicated how I have done so in general consultation as well. I will come up with a final choice in April. I did submit five variants. I have indicated that you could also make 100. These were a few clear variants with regard to the buttons, as we have called it, that you can turn to come to a choice. On the basis of the final choice, we will have to continue the debate. That will undoubtedly happen; Mr Kwint was right to do so. I come to the last motion, in part No. 86: further requests the government to draw up a roadmap and offer the Chamber before Princess Day 2018 on a truly effective and nationwide coverage for disadvantaged students. I've been clear about that. The government doesn't choose that. So we're not going to make a roadmap for that either. I advise against this motion.
ParlaMint-NL_2018-03-29-tweedekamer-10.u24	This brings us to the end of this VAO.
ParlaMint-NL_2018-03-29-tweedekamer-10.u25	Next Tuesday we will vote on the motions tabled.
