ParlaMint-NL_2018-01-18-tweedekamer-2.u1	I give the floor to Mrs Van den Hul as the first speaker on behalf of the PvdA.
ParlaMint-NL_2018-01-18-tweedekamer-2.u12	My second and third motions have been co-signed by my colleague Zihni Özdil.
ParlaMint-NL_2018-01-18-tweedekamer-2.u13	Mr. Chairman. We had a good debate at the AO Mbo last December. But we have consistently said that counting the beating-bag scheme is crucial for the cohort coming year. On that basis, we would like to table a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government and a very large majority of the Chamber considered that the choices in the MBO should be included in the success/pocket scheme in the MBO in the long term;]] [[Whereas the Lucas c.s. amendment (34160, No. 18) counting from the cohort 2018-2019 and during the discussion the amendment was adapted to take due account of the introduction;]] [[Whereas inclusion in the success/pocket scheme ensures that the electives are not the subject for educational institutions and students;]] [[noting that the Minister for Education, Culture and Science does not want the choices to be counted until the cohort 2020-2021;]] [[believes that choices deserve to have a full place in the curriculum;]] [[invites the government to include the choices from the cohort 2018-2019 in the success/pocket scheme,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member El Yassini. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31524-348]]
ParlaMint-NL_2018-01-18-tweedekamer-2.u14	Thank you, Mr. Chairman.
ParlaMint-NL_2018-01-18-tweedekamer-2.u15	Thank you, Mr. El Yassini. I shall now go to Mrs Kuik on behalf of the CDA.
ParlaMint-NL_2018-01-18-tweedekamer-2.u16	Mr. Chairman. During the AO we talked about developing alumni policy, which should play a role in Lifelong Learning. The mbo-apk I already mentioned, a check where people at the mbo can still see if they are happy with their work, whether they still have work or if the work is too heavy, so it's a good time to retrain. The Minister has indicated that this is a sympathetic thought and has said that he will look into it. Can the Minister indicate how and when she wants to look at this, so I can be clear when I get feedback? This week the NRC also said that there are crazy rules around the pre-pabo, including Rotterdam. That was discussed yesterday in the AO. Good thing the minister's gonna look for a solution. Thank you.
ParlaMint-NL_2018-01-18-tweedekamer-2.u17	Thank you, Mrs. Kuik. Then I'll go to Mr Futselaar.
ParlaMint-NL_2018-01-18-tweedekamer-2.u18	Thank you, Mr. Chairman. I am replacing my colleague, Mr Kwint, who is currently on a train in Voorburg. You don't wish that on your worst enemy. Rather, it has dealt with the vulnerable position of students with entrance training or an MBO-2 level training on the labour market. We have the idea that the distance is not that big. That is why we are not tabling a new motion, but an amended version of a motion previously held to the budget (34775-VIII, No. 83). Although I do not have to submit it, I suggest that I read the operative part. Then the change is clear and then the Minister can react. That is to say, "calls on the government, together with some municipalities and MBOs, to give a test to ensure that students are accompanied by two more years at the start of the labour market following entry or MBO-2 level training and report on this in the annual letter on early school leaving and young people in a vulnerable position in spring 2018, and to the order of the day."
ParlaMint-NL_2018-01-18-tweedekamer-2.u19	Is the submission of the motion sufficiently supported? That's the case. It will then be part of the debate.
ParlaMint-NL_2018-01-18-tweedekamer-2.u20	It doesn't matter. She's already filed.
ParlaMint-NL_2018-01-18-tweedekamer-2.u21	Thank you. Then we'll wait for the final motion. If the last motion has been copied and distributed, the Minister can reply immediately. We'll wait for that. Let's move on to this VAO. I'll give the Minister the floor.
ParlaMint-NL_2018-01-18-tweedekamer-2.u22	Thank you, Mr President. Indeed, before the turn of the year, we had a good discussion on the MBO, where much has been discussed and where I think we had broad agreement on a number of important lines in that very nice vocational education. A number of motions have been tabled. The first is the Van den Hul motion in part No. 343 on the reduction of working pressure. I think Mr Van Meenen was right to ask what it adds to the previous exchange of views. A motion has been passed on the hour standard. I embraced them, too. I said I think that's a real way to look at it, so we're gonna do it anyway. At that point, it is really unnecessary. A larger proportion of the funding to the primary process would mean that we are here to adjust the lumpsum cost. That is really up to the institutions. If you're talking about extra rich money, then it's really going to be an uncovered motion. Where would you have liked to get that, Mrs Van den Hul? I know that you have all kinds of ideas about this, but I do not think they are shared by a majority of the Chamber. I therefore advise against this motion. But of course we are going to work on the reduction in working pressure via the line laid down in the Van Meenen motion.
ParlaMint-NL_2018-01-18-tweedekamer-2.u23	I would like to add a very brief footnote. This is a call to investigate what the possibilities would be. In that respect, I would like to emphasise that this is not an uncovered motion. It's a call to investigate what the possibilities would be.
ParlaMint-NL_2018-01-18-tweedekamer-2.u24	There is sometimes a limit to how useful it is to re-examine something if you already know the outcome. I think we've put together a good line on how we're going to look at that workload. I'd like to leave it at that. Two motions have been tabled about the side-intromers, the Van den Hul motion in part No. 344 and the Westerveld/Özdil motion to item No. 345. We all recognise the problem. There is a need for these side-intromers, and I too have noted that we would like to allow more people to flow through the routes than those currently covered by subsidies. I think I also said in the AA that I really want to see if we can raise the subsidy ceiling. Maybe you can put the motions together. When I look at the two motions, I do have a preference for Mrs Westerveld's. She asks me to examine whether I can increase the budget and she refers to one article. But if I find the money on another article, where it is not at the expense of the other side-instromers, I cannot imagine that she has any objection to it. If I may interpret the motion in such a way as to allow me to look more broadly, then I would like to leave it to the Chamber to decide on this motion. I do not recommend Mrs Van den Hul's motion, but perhaps you can come to something nice together.
ParlaMint-NL_2018-01-18-tweedekamer-2.u25	I thank the Minister for her answer. We were thinking above all: let's make sure we don't file an uncovered motion and let's look at cover ourselves. That's where this is coming from. I am, of course, prepared to delete that point where cover must come from.
ParlaMint-NL_2018-01-18-tweedekamer-2.u26	Then I'm going to see if we can be as creative as possible to meet this desire, which I share with you. Then I come to the Westerveld/Van Meenen motion, which is about participation. I agree with the consideration that staff and students should be able to exercise counter-force through participation within an institution. It's more than just checks-and-balances on paper. The participation must also really work well. This is, of course, primarily about culture within the institutions. We are actually working this academic year for the first time along the line of the Act strengthening administrative power. So you can see that participation in this area is in full development within the MBO and is also continuing to grow towards more professionalism and more full-fledgedness. That is what I want to continue to make myself strong in the years to come. That is why we are also providing structural subsidies to JOB to ensure that this participation is strengthened and supported. They provide training, ensure that participation within the various institutions can actually function properly. I was visiting JOB on Monday and I also understood from them that their primary need is to train their supporters properly, for example how to assess an institution plan and how to look at a budget. However, the motion asks for something that is actually already possible. In fact, the law already states that participation always follows control. We also see good examples of this. At the Amsterdam roc the participation really follows the various branches. Also here in The Hague at ROC Mondriaan is so. So I think you are asking for something in your motion which is already possible, and we agree on the line that we want, above all, to support the further professionalisation of participation. But we are doing this mainly through what I have already put into effect with JOB. In that sense, I advise against this motion, because I find it superfluous and do not find anything to add to what we are doing at the moment.
ParlaMint-NL_2018-01-18-tweedekamer-2.u27	Very briefly, Mrs Westerveld.
ParlaMint-NL_2018-01-18-tweedekamer-2.u28	The Minister says it's already possible. But it doesn't happen in all places. In this motion, we're really asking you to take another look at it. You sometimes have very large institutions with one participation council at institution level, and not at the different establishments. In many places this does not happen either because it is not mandatory by law. That's what we're actually asking in this motion. That's what you see in other sectors. In higher education, too, the law simply regulates where participation should take place. That's what's being asked here.
ParlaMint-NL_2018-01-18-tweedekamer-2.u29	Then I'll say it again. The WEB assumes that participation follows control. Of course we are encouraging it, and we are always talking about it with the institutions, because that is just quality education for me too. We have made quality agreements and I have said very clearly that participation plays a role in this. This means that the institutions also feel the challenge of actually strengthening them. But we're not even working an entire school year with the new Act strengthening administrative power, which you and Mr Van Meenen have been working for. So let us see how this practice and this strengthening develop. Indeed, we cannot expect things to go very quickly. But we have the same intention. I, too, seek to ensure that participation at the lowest possible level really takes shape. But I believe that the instruments necessary for this are there. Let's give that practice some time. We agree on where we want to go, but I think the motion in that sense is simply superfluous.
ParlaMint-NL_2018-01-18-tweedekamer-2.u30	This is a VAO and not a debate. That debate has already been held. I now notice that everything is being changed, but I assume that this has also been done extensively in general consultation. Mr. Van Meenen, you may ask a brief question about the motion, and that's all.
ParlaMint-NL_2018-01-18-tweedekamer-2.u31	I think we're talking a little bit along each other. We have the same intention, namely that this participation will eventually take place at all levels. It is perhaps a suggestion that the motion should be retained, and that is what we are going to ask ourselves, of course, and to ask the Minister to take stock of where, for example, genuine decentralisation of participation takes place. 'Cause we're talking a little...
ParlaMint-NL_2018-01-18-tweedekamer-2.u32	Yes. The Minister.
ParlaMint-NL_2018-01-18-tweedekamer-2.u33	You say we want to hold the motion. In next year's budget, we are working with the new legislation for a year. If I promise you that I will report to you how that is going, how the functioning of that law is developing and whether participation really follows the lines of the law. I'll take another look at how we do that. For example, I believe that the JOB monitor can play a role in this. I will then report on this in more detail at the budget debate in the autumn. Then we can see how it developed after a year. If you feel that it is not going fast enough, you can say that you want to put a tooth in it. I think that's a nice way of doing things.
ParlaMint-NL_2018-01-18-tweedekamer-2.u34	No, I'm sorry, Mrs. Westerveld, you can't interrupt anymore. You want to hold the motion? Yeah, you can.
ParlaMint-NL_2018-01-18-tweedekamer-2.u35	Mr Van Meenen and I looked at each other for a moment, and it seems to us to be wise to hold the motion.
ParlaMint-NL_2018-01-18-tweedekamer-2.u36	At the request of Mrs Westerveld, I propose her motion (31524, No. 346). That is what is decided.
ParlaMint-NL_2018-01-18-tweedekamer-2.u37	Then there is the Westerveld/Özdil motion to item No. 347 on the internships. It is of course incredibly important that there are enough bbl-spots, for the student, but also for the business community and for all those young people who want to study via the bbl-route. Of course, it is also a wonderful way to connect education and business. In the context of the SBB, the rotating Presidency of the MBO Council and VNO-NCW is constantly engaged in discussions between business and the MBO on the adequate supply of learning enterprises and learning places. That really has the constant attention of all those involved. The recent action plan of the SBB to recruit more new learning places, based on the ESC opinion, is a good example of this. Meanwhile, the counter stands at 32,000 new learning places. This is also the subject of regular official and administrative discussions. So I would say: you and I share the importance of this in such a way that what you are asking for in the motion is long overdue, and with effect. So we share the intention, but your motion is superfluous, because it is already happening, precisely because it is so important. It's also nice to notice that now that the crisis years are over, it's getting a little easier to find those bbl-spots. I'll come to the motion in part No. 348 by Mr El Yassini, who deals with the choices. We have discussed this at length in the AA. I fully understand the disappointment of Mr El Yassini and a number of others who are wondering why it cannot be done faster. However, here is a little bit: do you have to go against all the signals from people who are working very hard on this? They say it goes wrong, it doesn't go well if you enter it faster. I am inclined to take these signals seriously, no matter how sorry I am with Mr El Yassini. We talked about this. I understand your wish, but it really can't be as fast as you want it to be. That's why I'm dissuading the motion. Mrs Kuik had another question about what she called "the apk for MBO students" and the alumni policy. We are currently engaged in discussions with the MBO Council on the role that MBO can and will play in lifelong learning. That is, of course, what this is about. So we are in full talk about that. But I share her view that in the future it will become customary for you to maintain a relationship with your own institution or any other MBO institution that can also keep your expertise up-to-date. That should be much more practice. And yes, we spoke yesterday about the problem of the pre-pabo. In this respect, I have promised the Chamber that, for the slightly more than 40 students for whom it is a problem, I will look together with the municipalities and the institutions at how we can solve it. If you'll excuse me, Mr President, I will not use the temptation of the Chamber of Representatives yesterday to break the law.
ParlaMint-NL_2018-01-18-tweedekamer-2.u38	I'd move on to the next motion.
ParlaMint-NL_2018-01-18-tweedekamer-2.u39	I think I've been through the motions.
ParlaMint-NL_2018-01-18-tweedekamer-2.u40	Is that right? There is also the amended motion by Mr Futselaar, on item No. 349.
ParlaMint-NL_2018-01-18-tweedekamer-2.u41	Sorry, I have one more motion from Mr Futselaar or Mr Kwint. The question in that motion has been changed in relation to the one in the previous motion. Now it is asked: can we not even take a test with a number of municipalities to see if students can be better supervised on the labour market after they have received an entrance or an MBO-2 degree, to see if things are going well and if they might need a little help? I shall leave this motion to the House because I think it is a good idea to try it for once. Then we can also see who is going to do that and what costs this entails. It's good to try that once on a pilot. Mr President, this was my response to the motions.
ParlaMint-NL_2018-01-18-tweedekamer-2.u42	Thank you. That's how we got to the end of this VAO.
