ParlaMint-NL_2018-11-20-tweedekamer-26.u1	The next item is VAO Terrorism, with Mr De Graaf of the PVV as the first speaker.
ParlaMint-NL_2018-11-20-tweedekamer-26.u20	Mr. Chairman. The first two motions do indeed have a very different perspective. As a result, I would like to say very briefly that the cabinet has three basic principles in this regard. I mentioned them during the general consultation on 8 November and they remain unchanged. I have also discussed them before, in April and June, in your Chamber. We don't get people out of unsafe territory. We can only consult with parties with whom we have diplomatic relations. We are also looking at the safety of those involved. The cabinet's holding on to that line. I have also included them for review in the EU lead group. That is where it appears that all the European Member States, on balance, also apply this approach. In this context, I also called for a coordinated approach by the European Ct-Coordinator Gilles de Kerchove. That's what he picked up, too. The National Coordinator on Counter-Terrorism and Security also had talks with the International Red Cross. The International Red Cross has indicated that it is not within its remit to take women and children out of the camps on their own. But the organisation is specifically monitoring the humanitarian situation. That's all I can say right now. By the way, the government ensures that its information position on this dossier, as well as on all other counter-terrorism issues, is always up-to-date and as best as possible. I do not recommend the motions on the item No. 476 and 477.
ParlaMint-NL_2018-11-20-tweedekamer-26.u21	I would just like to clarify this point, Madam President. The minister says the Red Cross does not intend to bring people from camps. That's not a big deal either. The point is that Kurdish fighters who do not want those women in their camps can deliver women and children to the consulate. That's the issue. The minister almost suggested that the Red Cross would have no ears for this, but the Red Cross is certainly interested if those women and children were delivered to the consulate, in order to make the Netherlands safer.
ParlaMint-NL_2018-11-20-tweedekamer-26.u22	The cabinet has also said out loud that when mothers and their children report to a consulate they will be accompanied by the KMar to the Netherlands, depending on their background, and that the children will be immediately taken care of by Child Protection. That has also been discussed with your Chamber enough times.
ParlaMint-NL_2018-11-20-tweedekamer-26.u23	We're getting to the motion in part No. 478.
ParlaMint-NL_2018-11-20-tweedekamer-26.u24	It's Mr. Azarkan's. I'm gonna have to advise against that motion. The issue of right-wing extremism is on the agenda, among other things in the EU's Ct-Heading Group, and it is really well addressed. In this context, we are also looking at how we can further optimize intelligence. At present, working towards certain other structures is neither relevant nor useful. So I'm deceiving the motion in part no. 478.
ParlaMint-NL_2018-11-20-tweedekamer-26.u25	I don't understand the judgment. I believe that the report states that we do not have sufficient data, particularly at European level. That has to do with definitions and how we store them. I call for an effort to be made. The minister says we're actually doing that already. But I don't understand why the Minister would advise against the motion.
ParlaMint-NL_2018-11-20-tweedekamer-26.u26	The operative part of the motion is: "calls on the government to work in a European context for an overview of right-wing extremist data and thereby better understanding of right-wing extremist violence'. This suggests that there should be a sort of separate European database for this issue. I have made it quite clear that I am not suggesting it. I hope, in order to reassure Mr Azarkan, that this subject is constantly on the agenda. And we're definitely trying to figure out how to get data better. But I do not think it is appropriate at all to do so in a way that is more or less suggested in the motion.
ParlaMint-NL_2018-11-20-tweedekamer-26.u27	Clear. Mr Azarkan, briefly.
ParlaMint-NL_2018-11-20-tweedekamer-26.u28	Once again, I note that the NCTV report states that we do not have sufficient data at European level to make this clear. I call for that. If the minister says he's not going to do that and that it's being monitored in another way, fine. Then so be it.
ParlaMint-NL_2018-11-20-tweedekamer-26.u29	The Azarkan motion in part No. 479 calls on the government, on the basis of RAND's recommendations, to make efforts to improve measures to improve the quality of the evaluation of counter-terrorism measures. I'm gonna have to dissuade them, too. There is no doubt that the counter-terrorism measures are under constant review in the Netherlands, but also in the European context. The Threat Picture Terrorism Netherlands gives a very good reflection of this. You may always call me on that as a minister, as well as the Chamber, but I do not think that we should now go in the direction of what a particular investigative office advises on this matter. We always have to keep an open mind for that. I therefore advise against the motion in part No. 479. The motion in part No. 480 deals with the preparation of an integrated action programme on right-wing extremism. I also advise against that motion. As can be seen from the recent reports of both the AIVD and the NCTV, right-wing extremists have the full attention of the NCTV and our services. From the Threat Picture of Terrorism The Netherlands always develop the actions that should be taken. The Azarkan motion in part No. 481 calls on the government to engage in talks with municipalities and civil society organisations with the aim of reaching an inclusive Sinterklaas party without the racist caricature of Black Piet through dialogue. I advise against this motion. I myself said out loud last Sunday that I very much appreciate the way in which the Zaanse mayor has started a dialogue between the various parties with widely differing views. This led to a parade in Zaanstad which ran without any significant disturbances. This dialogue has also been appreciated by the various parties. I think it is very wise to resolve and discuss such problems and social discussions about existing traditions in society, especially with predefined judgments about the other party. The government has no role in this, as the Prime Minister has clearly stated. The primacy really lies in the social debate. I'm deceiving the motion in part No. 481. Thank you, Mr. Chairman.
ParlaMint-NL_2018-11-20-tweedekamer-26.u30	Thank you.
