ParlaMint-NL_2018-10-30-eerstekamer-5.u1	I shall reopen the sitting and the debate on the General Political Reviews.
ParlaMint-NL_2018-10-30-eerstekamer-5.u12	Growth does not distinguish between good and bad economic activities. If we are going to gain extra gas in Groningen, this will in economic reality create positive figures and create additional jobs because of all the houses that need extra strengthening. But that economic growth is putting the safety of Groningers at risk. And so it has happened that the gas extraction in Groningen has derailed. The fact that the economy is doing well does not mean that the Netherlands is doing well. As Robert Kennedy once said nicely about economic figures: "It measures everything in short, except that which makes life worthwhile." The PvdA finds this focus on economic growth far too limited, because that one figure says very little about what people experience every day. The Council of State's opinion on the Millions Note fits in perfectly with this. Because the essence of the opinion is, the Council writes, to make the concept of "wide prosperity" more central. In the direction of Mrs Strik, I would like to say once again that this concept of 'wide prosperity' also includes the prosperity of future generations. It is precisely for these reasons that I have sometimes been confused with Mr and Mrs Ester together with Mr Ester, but that is a misunderstanding that the planning agencies called for their reflections to be published at the same time as the Macro Economic Recognition on Princess Day, so that the broader perspective can play a role in the General Political and Financial Reviews. I would like to thank the Social and Cultural Planning Bureau, the SCP, as well as the Planning Office for the Environment, the PBL, for having responded to this call. The Central Planning Office does valuable math work, no misunderstanding about that. But the cabinet brings its growth forecast as a certainty, while it is a false certainty. The former chief mathematician, Coen Teulings, simply says honestly: "We are bad at predicting." If we do know one thing for sure, it is that the purchasing power plates of the Central Planning Bureau never come out. One irrational decision by an international leader and the purchasing power plates can go into the trash. The sad thing is that just when predictions are most needed, as in times of crisis, the CPB is wrong. Then the hard numbers suddenly turn out to be butter soft. And just now, we could be facing another crisis. Debts have increased enormously worldwide. Rapid globalisation makes us vulnerable. And big players, like Amazon and Google, are hardly supervised. Financial institutions show little learning from the crisis. Does the Prime Minister agree with my group that there are lessons to be learned from the recent crisis? The Dutch banking sector is still more than three times the total economy. This makes the financial sector an enormous head of water on our economy. Why not make higher demands on risk capital in banks so that they can cope with losses themselves and pay greater attention to risks for bank financiers? I would very much like to hear from the Prime Minister what we can expect from the cabinet in this area. Mr. Chairman. Even if the numbers are correct, they give a distorted picture. Of course economic growth, purchasing power and employment are important for our well-being, but behind the averages there is a large spread. Then the birthday cake doesn't appear to be distributed fairly. Multinationals account for only 21% of jobs. However, as they pay less and less taxes, employees' wages fall short of profits. Of each euro earned, only €0.73 goes to the employee. With the remaining €0.27 the shareholder is fêted. Where does it go wrong? The clean electoral promises are always more expensive, at least for the public. Because companies have a good lobby. My party colleague, Wimar Bolhuis, has clearly revealed this in his dissertation From word to agreement. Labour and income costs have been on average 3.3 billion higher since 1986 than promised in campaigns. At the same time, however, the burden on industry is limited. The deviations between election programmes and government agreement are even detrimental to economic growth. Now that the cabinet has finally moved on to the dividend tax, it insists that the tax on profits for companies should be reduced in order to improve the business environment. Of course, the multinationals themselves will have indicated that flexible tax rules are important to them. But it is the judges, teachers, police officers, soldiers and healthcare workers who make an essential contribution to the good climate of establishment which the cabinet attaches so much importance to. For that, it is at least as important that there are good schools in a country, that there is good health care and that it is safe on the streets. An investment in education, care and police also has a great added value for the locational environment. But who is actually lobbying for the citizen, Bolhuis is rhetorically wondering. That's why I advise the Cabinet to invite judges, teachers, policemen, soldiers and care workers. I understand from the words of Mrs Jorritsma that she also sees something about such sounds being heard, in addition to the sounds of business that are being invited to the Catshuis. It is increasingly difficult for judges and prosecutors to do their work at the level to which our society is entitled. The announced reorganisation of the social lawyer threatens to deny vulnerable people access to justice. Teachers succumb to the pressure of work and can give too little attention to students. Academic staff are also tired of the workload and the undersized public investment in education. According to staff and unions, there needs to be a lot more money in the Defense Department. Care calls for staff, but high workload drives nurses away and operations are delayed due to lack of staff. And also the police squeaks and cracks it because of a staff shortage. But it is precisely in this public sector that we see the consequences of too high a workload and too low a salary. There are staff shortages for teachers, police officers and care staff. This threatens the quality of the important work they have to do. That is why we ask the Prime Minister to examine the contribution of judges, teachers, soldiers, policemen and caregivers to the climate of establishment. Is he willing to do that? And does he agree with me that a good locational environment should attract mainly companies that create many, good jobs? Mr. Chairman. More market forces are not a solution. This year's Nobel Prize for Economics was awarded to scientists who draw attention to the failure of that market. Without government intervention, markets, according to William Nordhaus, will produce too much pollution and, according to Paul Romer, will produce too few ideas. And there are some examples that I know of. The labour market is failing. Nowhere in Europe is the number of flexible contracts growing as fast as in the Netherlands. In 2005 only one in six people had a flexible contract, in 2018 that number was one in four. Almost half of young people under 35 have a flexible contract. The PvdA is the party of work, work, work, in the footsteps of Wim Kok, whom we remember with great gratitude and deep respect. People need to be sure of good work with a decent salary. But the labour market is failing. And that while Cook, with the Wassenaar Agreement, gave a wonderful example of the strength of the Rhineland model. Can we expect the cabinet to work for such a broad "social" agreement? The housing market is also failing. Social housing disappears, cities become less accessible to start-ups and tenants, investors are a scourge in cities, with the result that the flow of people on low income cannot find an affordable home. Living is a fundamental right. What does the Cabinet do to guarantee that fundamental right? And who pays for sustainable housing? Sustainability lives, the Planbureau writes for the Environment. "We need to design the sustainable renewal in such a way that everyone participates, enthusiastically and creatively," says the director. But what if people get caught up in the price of energy? Surely it can't be that the burden is too high for people who happen to live in an old house? What attention will be paid to the fair sharing of the burden of making the cabinet more sustainable? Mr. Chairman. The Prime Minister will undoubtedly argue against market failure. And my group agrees with him, but not because there is too much government, but too little. Take the education. It is the basis for a good future, for every individual. But students aren't sure of a fair chance. The primary school wrongly estimates a child of poor parents less high, according to research by the Central Bureau of Statistics. In addition, almost a third of the students in secondary school last year received paid tutoring, homework guidance or exam training. But the chances of good education shouldn't depend on the thickness of your wallet, right? Or take the pensions. There is a double ageing population, because there is an increasing number of pensioners and the average life expectancy is rising. There is also a double hazing, because the birth rate is falling and young people barely enter the system because they almost all have temporary contracts or flex contracts or work as zzp'ers. This puts the system under enormous pressure and makes it difficult to reach a pension agreement. If we want to maintain our caring society in this kind of development, then by far the best solution is for everyone to participate in retirement and disability. After all, there is little we can do about getting old and ill, and the distinction between employees and entrepreneurs is very artificial. This also solves other problems: the race down in terms of working conditions and the unfairly distributed tax pressure between people with a fixed contract andzzp'ers. Since the latter usually do not build up a pension and therefore do not pass the cost on to their rates, they are soon 20% to 25% cheaper than an employed person. That is unfair competition, and it reduces wages. Zzp'ers also pay less taxes, while, because they do not have a pension and often do not have disability insurance, they are ultimately much more dependent on the social security system, of which the people in permanent employment pay a greater share. This is not a matter of solidarity, but it is a calving off of social services unnoticed, slice by slice. If you think about this to its ultimate consequence, there are ultimately too few people who still pay enough tax to keep AOW and assistance on hold, while the group that needs these facilities is only growing. For the PvdA, caring society is one to cherish, not only out of solidarity or humanity, but also because it greatly strengthens the resilience of our economy. Therefore, a simple solution for pensions and disability: make participation compulsory. Surely the Prime Minister can't disagree with that? If that is the case, the PvdA group would like to hear from him how he thinks he can keep our pension system financially viable and stop the race going down in terms of working conditions. Mr. Chairman. Now that the economy is recovering, the time has come for the PvdA to make everyone feel that way. The coalition agreement gives the impression that the cabinet also believes that everyone should benefit, because: "Too many people still think: beautiful, all these good economic figures, but they don't apply to me. If a lot of people are left behind, the whole society will eventually suffer." But unease and alienation seem to have changed nothing yet. The Council of State calls the dividing lines in society a fundamental concern. And the Social and Cultural Planning Bureau warns against the threat that the winners win in all areas and lose the losers in all areas. And the latter weren't invited to the cabinet's birthday party. About 4% of the population, 680,000 people, do not share progress at all. For these people, the problems are piling up. They are in a living situation that according to the SCP is "bad." A group of 30% is one of the stragglers. They're angry, and I understand that. They often have a rental house, are physically unhealthy, have a low pension. About 35% of people feel uncertain about their own future and that of their children. There is also a feeling that the government is doing too little for them, as the Scientific Council for Government Policy writes in an exploration of the middle class. The PvdA wants these people to be sure. 'Cause behind the cold numbers are poignant stories. Zzp'er Patricia has suddenly become blind, is not entitled to a benefit or amenities and lives from gifts from the church. Caretaker Marcel is at home because he's out physically. His wife couldn't take it anymore and left him. Now Marcel can't pay the rent, let alone the alimony for his kids. After a brain hemorrhage, 80-year-old Truus has to move into a neighborhood where she doesn't know the way and no one knows. Daan has spent longer on his studies due to health problems and cannot get a mortgage because of his higher student debt. Sonja became unfit for work, was then dismissed and has now recovered, but can no longer get a job as a 60-year-old. That is why I have the pressing question to the Prime Minister about what his cabinet is going to do in concrete terms to ensure that no one is left behind and everyone is taking advantage of economic growth. Mr. Chairman. For example, there is a huge gap between economic growth and people's perception. They feel that their security is being compromised. The certainty of a fixed contract, as the number of flexible contracts in the Netherlands is growing fastest across Europe. The security of an affordable house, as social housing disappears and investors in the big cities buy up a large part of the houses. And the security of good education, as there is an increasing shortage of teachers. In short, economic growth is not happy; prosperity must also be shared fairly. Otherwise, it's just a trick to distract us from the real problems in the Netherlands. To speak with the Arnhem philosopher Loesje: "Jarig. The more candles, the bigger the cake." It's a shame about that cake when so few people are invited to Rutte II's birthday party. Oh, that was a very nasty slip; I mean Rutte III. I will repeat it so that there can be no misunderstanding: a waste of that cake if so few people are invited to Rutte III's birthday party. When it comes to the PvdA, Michiel, Brigitte, Edith, Patricia, Marcel, Truus, Daan, and Sonja also deserve an invitation.
ParlaMint-NL_2018-10-30-eerstekamer-5.u13	Thank you, Mrs. Sent. I give the floor to Mr Engels.
ParlaMint-NL_2018-10-30-eerstekamer-5.u14	Thank you, Madam President. In 1513, the pioneering book Il Principe van Machiavelli, secretary of the Republic of Florence, was published. This book dedicated to his prince Lorenzo de Medici is one of the most important works ever written about politics and the state. For the first time, government authority was analysed and legitimized independently of the religious morals that were customary until then. In the search at the end of the Middle Ages for a rational legitimacy of the exercise of state sovereignty, Machiavelli came up with a guide for the absolute ruler. A successful frost had to radiate boldness and act decisively. Portrait and identification were to derive the prince from skill and results, not virtues. Machiavelli thus kicked off the development to the modern Western state based on the rule of law and democracy. This development ran shortly from an absolute state sovereignty to a state power initially limited by constitutional principles such as fundamental rights and separation of powers and ultimately by the democratic basic principle of popular sovereignty. In this context, the original concept of "people's sovereignty" should be understood as constitutional sovereignty. It is the constitutional and representational institutions that exercise powers on behalf of the nation, that is, on behalf of the nation. Thus, in a pluralistic society, the people are not in fact a homogeneous community and the "people's will" is a normative unity constructed by constitutional rules. The elections illustrate this: voters secretly vote on how the country should be led and elected politicians are accountable. Mr. Chairman. I needed this run-up to be able to say something about democracy, which is a subject for D66. Above all, we attach great importance to the link between democracy and the rule of law. A democracy cannot be without the rule of law. The rule of law guarantees citizens' freedom vis-à-vis the state. On the one hand, there is a reduction in power within the state based on the trias politicians. In addition, there is a reduction in external power in the form of protection by fundamental rights. History has taught us how a one-dimensional interpretation of the principle of popular sovereignty can turn into tyranny and how a parliamentary democracy can be overthrown by a totalitarian regime. We also see examples of illiberal democracies in our time and even within the EU. The significance of these observations is seen by the fraction of D66 in the development of a political and social culture, in which the nuance and contradiction resemble the retreat. Increasingly we see a political and social style of communication in which one primarily assumes oneself, issues are simplified, positions harden, imaginary conspiracy theories are put forward and only tambourized on one's own story. Self-reflection is taking place less and less; it is preferable to point out that opinions of others are considered to be wrong. Borders are also imposed exclusively on the other. The paradoxical threat that arises here is that a culture of political disruption and social exclusion is established by appealing to "the people" and below but incorrect interpretations of popular sovereignty and the nation state. Here the joy of the group feeling threatens to gain from reasonableness and legality. In my group's view, only one effective response is possible against distrust and even popular anger against migrants and against those responsible as political elite: continuing to engage in the debate on the basis of the values of the democratic rule of law. Mr. Chairman. All this does not alter the fact that, in my group's view, the functioning of our parliamentary democracy has the necessary bottlenecks to be identified. At the heart of the matter is the inconsiderable loss of legitimacy of political institutions and, above all, of officials. This is mainly linked to the development of the original electoral democracy towards a party democracy. In the so-called monist political culture, the legislative and executive powers have been merged in such a way that a substantial separation of powers cannot really be said anymore. This perception affects the image of a "partial" legislator. Since the so-called revolutionary year 2002, the problematic aspects of our representative democracy have become more pregnant. People's confidence in the state system, institutions, the political process and especially in politicians and administrators has been substantially reduced. Solving this problem cannot be left to new parties with radical solutions. The democratic rule of law has also been a welfare state for several decades. In the last century, in addition to the function of the government, which was primarily organized, additional public functions were developed, with which the government began to intervene in the service, care and direction of society.
ParlaMint-NL_2018-10-30-eerstekamer-5.u15	I listen with interest to the story of Mr Engels. I can endorse his analysis that there is a real problem at the moment with democratic legitimacy and that it cannot be filled with the emergence of new political parties. We need to find another way to connect with citizens so that they can be represented. Now we all know what has happened over the past few years. The consultative referendum was carried for the grave. Can Mr Engels outline how the D66 Group intends to close this gap, to give citizens the feeling that they are participating and that what is decided is based on the views of the voters, of the people?
ParlaMint-NL_2018-10-30-eerstekamer-5.u16	I'm still on the run. I'm coming out of something you're asking about. Of course, I don't know if that's gratification.
ParlaMint-NL_2018-10-30-eerstekamer-5.u17	Fine. I thought there might be a snipe here because you're going to the subject of the welfare state.
ParlaMint-NL_2018-10-30-eerstekamer-5.u18	I took a really long run because this is the last time I'm standing here. So I take that freedom, by the way, with the agreement of the group.
ParlaMint-NL_2018-10-30-eerstekamer-5.u19	Okay. I'll wait and see.
ParlaMint-NL_2018-10-30-eerstekamer-5.u20	Since the 1980s, however, problems have arisen in the sustainability of the welfare state, particularly as a result of economic growth which has stagnated at times. This is particularly problematic because the welfare state has for a very long time actually played a legitimate role rather than democracy and the rule of law, at least as long as people's concerns and needs could be met. Efforts have been made to solve the problems of affordability and manageability, but cuts, privatisations, the autonomy of public services, deregulation efforts and decentralisations have suffered from a lack of political primacy and poor coordination of the various operations. As a result, the government is still overburdened and overasked. There is too little balance in the pretensions and results of the government. Meanwhile, as Paul Schnabel formulates the feeling of the Netherlands in his recently released book I'm fine, we're in a bad way, in both social and political terms, to have created a fundamental contradiction. This tension arises between those who seek the future, above all, in the preservation for the present generations of the welfare and welfare systems of the welfare state, and those who, with a view to future generations, are heading in particular for the transition to a sustainable economy and further European integration. My group sees a link here with the observation developed within the WRR that we live in a very diverse society, without direction and without dominant leadership. With the disappearance of collective ideals and organisations, people have started to seek guidance on primary identities such as nationality, ethnicity, gender and religion. The political and social debate is no longer just about the distribution of wealth, but also about the demand for individual identity, that is, the need for people to have social recognition. In my group's view, that is precisely why, in the wake of the new political parties, more and more people believe that political decisions are not democratic if they do not respond to the opinion poll of the day inspired by primary reflexes. This seems to remove the reasonableness from the political and social debate. Mr. Chairman. Within the D66 Group, there is concern whether our democratic rule of law will be able to withstand this development without revitalizing it. The fact, for example, that there is no direct relationship between the results of the election of the Chamber and the government to be formed is a weakness in our parliamentary democracy. The fact, for example, that the illegality of formal legislation cannot be judged on the basis of the Constitution is a weakening of the legal protection of democracy. In order to restore confidence in representative democracy, we must now move quickly and seriously towards modernising the existing political structure and culture. Otherwise, further political instability and increasing loss of social confidence in the representative institutions will be threatened. This means focusing on institutional reforms and giving citizens more direct control in parts, without going through the abandonment of constitutional principles and the establishment of a one-dimensional direct democracy.
ParlaMint-NL_2018-10-30-eerstekamer-5.u21	I did not want to break the run-up to the speech. In the interesting speech, however, I did not agree with the year 2002, which marked Mr Engels as a kind of tilting point. That was in the period after D66 had been part of the government. This afternoon at the commemoration of Mr Wim Kok, who was indeed commemorated with honor, it was hinted that there was a lot of displeasure at the time. So I'm not just going to put that on D66, but it was a fact that it was also in the government. My question is: what has D66 learned from that period, which prevents that in the coming period, in which D66 is also of the party, that individualization stroke will become even more severe? That's actually how I interpret that period.
ParlaMint-NL_2018-10-30-eerstekamer-5.u22	Ah, yes, I was already looking for what kind of question you wanted to ask me. In the last sentence, the word "individualism" occurs. The link to D66 was also a bit dark to me, because I am suggesting a much more general phenomenon that since 2002 the discontent with the state of our representative democracy has accelerated in a certain way. In my view, there are many more factors for this than developments within my own party, which I do not have the full picture of either. In no way have I wanted to establish a relationship with one of the important 'i's' that have ever been identified by the Social and Cultural Planning Office, namely individualisation. As far as I am concerned, this is not one of the relevant factors, at least not in my speech, which have played a role in this. I understand, however, that from your point of view, you have a particular interest in individualization.
ParlaMint-NL_2018-10-30-eerstekamer-5.u23	That is right, Madam President, Mr Engels is right. I have a very strong impression that it is the individualization that has driven us apart. I was simply curious to hear Mr Engels' reflection on whether that was part of the period before that, the so-called purple period, and whether we can prevent it.
ParlaMint-NL_2018-10-30-eerstekamer-5.u24	I understand the question. My speech is not exactly in that key to individualization as an exponent of the purple period, so let me summarize your speech. That's actually what I'm not aiming for. What is behind your question, Mr President, and that is not an excuse, Mr President-in-Office, will be dealt with shortly. This is still a run-up.
ParlaMint-NL_2018-10-30-eerstekamer-5.u25	I would like to join Mrs Strik, waiting for an answer.
ParlaMint-NL_2018-10-30-eerstekamer-5.u26	Sure, a very interesting combination as far as I'm concerned. The next moment is the forthcoming final report of the State Committee-Remkes. In the debate on the repeal of the Consultative referendum Act, the Minister for Foreign Affairs undertook to give serious and positive attention to the report. In my group's view, this means that we are coming up with further proposals. What I would now like to ask the Prime Minister is whether he wishes to reflect in his response on the state of democracy and the urgency of the need for a democratic agenda for reform advocated by my group. We see the modernisation of representative parliamentary democracy as a joint responsibility and a joint task for the central constitutional institutions. Are you prepared to scale up your political weight, so that the cabinet under the direction of the Minister of State, on the basis of the forthcoming report of the State Committee on Parliamentary System, will come forward with a coherent political reform agenda? That's how I ask the Prime Minister. Mr. Chairman. A complication in all this is the underestimated role of the Constitution, as an obstacle to political reform.
ParlaMint-NL_2018-10-30-eerstekamer-5.u27	I'm a little hesitant because I don't know if I'm asking the question at the right time.
ParlaMint-NL_2018-10-30-eerstekamer-5.u28	No, by definition, that's never the case with me.
ParlaMint-NL_2018-10-30-eerstekamer-5.u29	Let's listen to the question. Mr Engels asked a question to the cabinet about the democratisation agenda. That is why I think I can now put another question to Mr Engels about this. Mr Engels mentioned a number of issues which should be on his agenda for such a democratisation plan. One of these things is constitutional review and institutional reform. I also understood that Mr English was not talking about one-dimensional forms of direct democracy. Maybe he can explain that, because I understood that his party is still in favour of a collective binding referendum. But let's take that constitutional review. To what extent was the subject of the coalition negotiations in order to actually get that into the agreement? To what extent will Mr Engels try to gain support within this cabinet in order to achieve that?
ParlaMint-NL_2018-10-30-eerstekamer-5.u30	You are very fond of my vanity by assuming that I would have some insight into the conduct of the negotiations that led to the formation of this cabinet. I wish it were true, but it's not. I don't want to say that everything would have looked very different, but it's not true. So I do not know whether this issue has been discussed in this way.
ParlaMint-NL_2018-10-30-eerstekamer-5.u31	Further on, D66 has renounced the consultative referendum. In the publicity about this, and also here in the debates, D66 says: we are in favour of other forms of democracy. I can imagine that you, as a group, are actually going to try to get something else in return if you have to turn in one. That is why I would like to know to what extent this cabinet period will be able to get this democratisation agenda off the ground.
ParlaMint-NL_2018-10-30-eerstekamer-5.u32	That is exactly the question I have now asked the cabinet. That is the position in which my group is now moving in this Chamber. That is also a continuation of the debate we had earlier on the repeal of that law. I therefore call for attention to be paid to the report of the State Committee, because it will be an important moment, as I said. I do not yet know exactly what is in that report, but there are signs that substantial proposals will be made to improve the system, including forms of direct democracy. I didn't say I wouldn't be in favour of one-dimensional forms of executive democracy. I have said that as a group we do not opt for a one-dimensional direct democracy as a start and end form. That's a lot different. We see governance democracy as a desirable and necessary complement to the existing representative system. But I'll get to that. There are a lot of modalities for that. What I really don't want to do today is to mention a well-known slogan to propagate how my own party is developing all kinds of proposals to give shape and substance to all kinds of modalities of direct democracy. What I do want to do is to respond to the expectations I have of the report of the State Committee on a number of essential points. I mentioned two: the formation of the cabinet and the constitutional review. I'm going to mention another element. In any case, I believe that these points should be taken into account in the government's cabinet response. I am not just talking about the cabinet response; there will also have to be follow-up proposals on this point. I stressed this in the debate on the consultative referendum, and I stress this again, precisely because my group considers it extremely desirable.
ParlaMint-NL_2018-10-30-eerstekamer-5.u33	Finally, Mr President.
ParlaMint-NL_2018-10-30-eerstekamer-5.u34	Yes, finally, Mrs. Strik.
ParlaMint-NL_2018-10-30-eerstekamer-5.u35	I also ask this question because we now have the situation that we have lost this one form of direct democracy, when nothing has replaced it. That was an important reason for us to say: we do not want to give up this instrument now; it is going too fast. That is why I am asking about the opportunities that you see that there will actually be a follow-up with alternatives that will make D66 happy.
ParlaMint-NL_2018-10-30-eerstekamer-5.u36	The latter is, of course, very important, namely that that feeling of happiness is going to come back to my party, as long as it is already gone. It's very difficult to answer the question of how I see the odds. What I can only do at the moment on behalf of my group is to emphasise to the cabinet how essential this point is for my group. I look at my own rulers. It will be very important for us that the cabinet makes a catch-up on this point, while nothing has been agreed in the government agreement on these issues. That's exactly why I wasn't there either. I don't want to get crazy about this. That is why I have taken a long run, and I have dealt with this point very extensively, in order to show how essential this is for my group in this Chamber. Then it makes no sense, just because of political strategy, to agree on the exact modalities to be covered, the timetable to be included and the likelihood of this happening. We assume that the cabinet takes this so seriously that I can assume that there will be more than the response we have seen from a previous cabinet or a previous report from a state committee. That was a summary: we do not recognize ourselves in trouble. Then I guess we're gonna have a problem. But I await the government's answer.
ParlaMint-NL_2018-10-30-eerstekamer-5.u37	Mr Engels felt that it was time for self-reflection, also because these might be his last general considerations here. That's good.
ParlaMint-NL_2018-10-30-eerstekamer-5.u38	That's not nice at all, but okay.
ParlaMint-NL_2018-10-30-eerstekamer-5.u39	It is nice that at such a time a politician transcends himself and reflects on himself.
ParlaMint-NL_2018-10-30-eerstekamer-5.u40	That's pretty good.
ParlaMint-NL_2018-10-30-eerstekamer-5.u41	In this context, the question, looking back, of whether it was very sensible on the other side of the House to wipe it off the table after the second reading of the law on the corrective referendum, tabled by your party, among other things. Wouldn't it have been much wiser across the street not to throw away this law, because there is already a good chance that the state committee will come up with a proposal for a corrective referendum? 'Cause now it's gonna cost us another eight years.
