ParlaMint-NL_2018-11-07-tweedekamer-7.u1	I call Mr Van Aalst of the PVV Group.
ParlaMint-NL_2018-11-07-tweedekamer-7.u12	Thank you, Mr. Chairman. We, too, have two motions for resolutions on the Stint in recent days. The first motion concerns the samples we wish to introduce. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, in accordance with the policy rule, the vehicles in the special moped category are not subject to supervision;]] [[Whereas road safety for all road users should be properly ensured, including through well-considered regulation;]] [[calls on the Government to come forward with proposals for the supervision of special vehicles, such as the Stint, which are now in the Dutch category of special mopeds, and to consider the use of samples,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schonis and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-628]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u13	My second motion concerns European type-approval. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is no European directive for the category of special vehicles to which the Stint belongs;]] [[noting that this type of vehicle finds its way across Europe and that Member States are struggling with the approval and supervision of these vehicles;]] [[calls on the Government to promote, at European level, a European type-approval for this category of special vehicles,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Schonis. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-629]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u14	The Minister is ready to deal with the motions and answer questions. I'd be happy to give her the floor. Go ahead.
ParlaMint-NL_2018-11-07-tweedekamer-7.u15	Thank you, Mr. Chairman. I'll go through the motions in order. The first motion, in part No. 619, is by Mr Van Aalst's hand. It invites the Government to make a clear distinction in the new authorisation policy for special vehicles between the requirements for freight transport, individual passenger transport and passenger transport for vulnerable groups. On that motion, I can give "judge chamber." The second motion, in part No. 620, is from Mr Van Dijk of the PvdA. It invites the government to identify the problems surrounding the safe transport of children from childcare organisations as soon as possible and, in consultation with experts and childcare organisations, to come up with a perspective to get the Stint back on the road safely and to report on them for the AO Road Safety Agency. All of these seem to me to be extremely good intentions, so I also give this motion 'judge Chamber'. I shall now come to Mr Laçin's motion on item No. 621. It invites the government to follow advice from the RDW, SWOV and other organisations involved in the admission of new vehicles and to inform the Chamber before any decision is taken. I would ask Mr Laçin to hold this motion. Indeed, we are going to make the whole assessment of the admissions framework with each other. There is the question of how and on which parts the Chamber will be informed of this part of course. I would like to take it with me in that context.
ParlaMint-NL_2018-11-07-tweedekamer-7.u16	What if the motion isn't stopped?
ParlaMint-NL_2018-11-07-tweedekamer-7.u17	Then she'll be dissuaded.
ParlaMint-NL_2018-11-07-tweedekamer-7.u18	Thank you. Mr Laçin.
ParlaMint-NL_2018-11-07-tweedekamer-7.u19	I'm prepared to hold the motion.
ParlaMint-NL_2018-11-07-tweedekamer-7.u20	At the request of Mr Laçin, I propose his motion (29398, No. 621) to be retained. That is what is decided.
ParlaMint-NL_2018-11-07-tweedekamer-7.u21	Then I come to the motion on part No. 622, also by Mr Laçin. It calls on the government not to add new vehicles for collective transport to this category until new laws and rules have been laid down. I must advise against this motion, because if someone were to apply now, I would have no reason to exclude a particular category in advance. So I advise against this motion. The motion in part No. 623 is also by Mr Laçin's hand. It invites the Government to share with the Chamber the review framework of the Ministry of IenW before 1 December. I could actually accept that motion, because there is no review framework other than the policy rule. We have already given you the link to that policy in previous answers around the Stint. It's public. You can find it.
ParlaMint-NL_2018-11-07-tweedekamer-7.u22	Before you proceed, I would like to ask the Chamber if anyone has any objection to taking over this motion. If that is not the case, we note that the motion is being taken over.
ParlaMint-NL_2018-11-07-tweedekamer-7.u23	Then the motion to part No. 624 by Mr Laçin. For the sake of understanding, that's his fourth motion. It invites the government to engage in discussions with industry organisations in childcare on possible solutions to this problem and to inform the Chamber about this before Christmas. In fact, that is already in Mr Van Dijk's motion. It is also important that there is actually a bit pre-sorted on the results of the conversation. It is also very much about financial problems. That is very broad, because if there were any, they could also have all kinds of causes or combinations of causes. That's why I advise against this motion.
ParlaMint-NL_2018-11-07-tweedekamer-7.u24	That raises a question for Mr Laçin. Go ahead.
ParlaMint-NL_2018-11-07-tweedekamer-7.u25	That is why the first observation makes it quite clear that it concerns the additional costs after the suspension of the Stint. These costs must be made specific. If this causes or has led to financial difficulties for daycare centres, the question is whether solutions can be found, not for the overall financial problems they would already be facing. That is why the first observation is very clear.
ParlaMint-NL_2018-11-07-tweedekamer-7.u26	In fact, I have already promised this in the direction of Mr Van Dijk. If only that is the point, the motion is superfluous and I would advise against it for that reason, because we are already having that conversation. I've already agreed to that, and that's what was included in that motion.
ParlaMint-NL_2018-11-07-tweedekamer-7.u27	In conclusion, Mr Laçin.
ParlaMint-NL_2018-11-07-tweedekamer-7.u28	This concerns specifically the financial consequences of the suspension. Mr Van Dijk's motion, which includes my name, is much broader. This motion focuses specifically on the financial costs and their inclusion.
ParlaMint-NL_2018-11-07-tweedekamer-7.u29	Your point is clear.
ParlaMint-NL_2018-11-07-tweedekamer-7.u30	[[Sentence could not be parsed: Ik kan niet anders dan herhalen dat alles in de bredere motie zit, dus ook mogelijke financiële dingen.]] So I do not think it is of added value to do this separately. I dissuade the motion for that reason.
ParlaMint-NL_2018-11-07-tweedekamer-7.u31	Then I'll hold the motion for the time being until that broader perspective comes. Then I can have the motion put to the vote, if necessary.
ParlaMint-NL_2018-11-07-tweedekamer-7.u32	At the request of Mr Laçin, I propose his motion (29398, No. 624). That is what is decided.
ParlaMint-NL_2018-11-07-tweedekamer-7.u33	The motion in part No. 625 by Mrs Kröger and calls for the timely identification of new traffic risks and annual reporting on them. I understand the desire to have more supervision of that admission. As I have told you, this has not been chosen by the Chamber in the past. I will look into this when reviewing the admissions framework. I await the advice of SWOV and the RDW. So I do not want to anticipate that. I would therefore ask Mrs Kröger to hold this motion until we discuss this admission framework with each other.
ParlaMint-NL_2018-11-07-tweedekamer-7.u34	The admission framework is one thing, but in addition things happen in society and changes in the way they are seen are taking place. The motion raises the question and also concerns whether the Ministry is sufficiently analysing the new risks due to changes in the road picture and whether the rules we have are in order. It is also requested to inform the Chamber thereof. So it's actually part of a road safety picture.
ParlaMint-NL_2018-11-07-tweedekamer-7.u35	I repeat the judgment I have just given. It also states that the responsible supervisor has failed. I don't share that either, because there was no responsible supervisor. That's the deal with the Chamber. I therefore thought that I would facilitate Mrs Kröger's approach by saying 'let's keep the motion', because of course we are going to agree on this, not only on the admission framework but also on what kind of supervision is included, if we have it.
ParlaMint-NL_2018-11-07-tweedekamer-7.u36	Finalizing, Mrs Kröger.
ParlaMint-NL_2018-11-07-tweedekamer-7.u37	I will hold the motion, but since the Minister says here again that she has no responsibility as an overall road safety supervisor, as far as I am concerned, I wonder if we are really going to get out of this in the next debate.
ParlaMint-NL_2018-11-07-tweedekamer-7.u38	At the request of Mrs Kröger, I propose her motion (29398, No. 625). That is what is decided.
ParlaMint-NL_2018-11-07-tweedekamer-7.u39	Then I come to the motion at No. 626. It belongs to Mr Dijkstra and is co-signed by a whole range of others. The motion calls on the government to urge TNO to complete the investigation of the Stint as soon as possible, so that any technical adjustments to the various variants of the Stint can also be taken up as a matter of urgency. I very much endorse that. I'm giving "judge chamber" on this motion. Then the motion to part No. 627, which is also by Mr Dijkstra's hand. The motion calls on the government to review rapidly the category of "special mopeds" or to modernise the legislation in force. That motion, too, I can give "judge chamber."
ParlaMint-NL_2018-11-07-tweedekamer-7.u40	That raises a question for Mr Dijkstra.
ParlaMint-NL_2018-11-07-tweedekamer-7.u41	Thanks for the "judge chamber." Could the motions possibly be taken over, as they are widely supported?
ParlaMint-NL_2018-11-07-tweedekamer-7.u42	Yes, if you prefer, I can take over the motion.
ParlaMint-NL_2018-11-07-tweedekamer-7.u43	Then what motion are we talking about? Or are we talking about both motions?
ParlaMint-NL_2018-11-07-tweedekamer-7.u44	Would you like it for both? I can do that for both.
ParlaMint-NL_2018-11-07-tweedekamer-7.u45	Mr Dijkstra says that this applies to the motions for resolutions on item Nos. 626 and 627. That raises a question from Mr Van Aalst.
ParlaMint-NL_2018-11-07-tweedekamer-7.u46	I have a technical question and not even so much about the content. We can explicitly ask TNO to deliver as soon as possible, but I think TNO has informed us in correspondence: we are an independent institution, let us just do our job and do not increase the pressure unnecessarily. I think that was a reaction, too.
ParlaMint-NL_2018-11-07-tweedekamer-7.u47	I think we share that. "Not to increase the pressure unnecessarily," but of course it would never hurt to bring the social urgency that is widely felt here to the attention of TNO. That is exactly what we want to do. Of course, the care of the investigation must not be affected.
ParlaMint-NL_2018-11-07-tweedekamer-7.u48	I would like to ask Members whether there is any objection to taking over the motions for resolutions on item Nos. 626 and 627. That is not the case. So they're not gonna be in the mood next Tuesday.
ParlaMint-NL_2018-11-07-tweedekamer-7.u49	I'm getting to the motion on part No. 628 by Mr Schonis of D66. It invites the government to come forward with proposals for monitoring "special vehicles" such as those currently included in the category of special mopeds and to consider the use of samples. I can also give "judge chamber" on that. We can take this balance with us in this context. The motion in part No. 629 is also Mr Schonis's hand. It calls on the Government to call for a European type-approval for this category of special vehicles at European level. I think Mrs Kröger has also made an appeal in her contribution to this. On this motion, I can also give "judge chamber." Then I'm through, Mr. Chairman.
ParlaMint-NL_2018-11-07-tweedekamer-7.u50	Thank you. I would like to thank the Minister and the Members very much.
ParlaMint-NL_2018-11-07-tweedekamer-7.u51	The motions tabled will be put to the vote next Tuesday. I shall suspend the sitting for a few moments.
