ParlaMint-NL_2018-06-12-eerstekamer-4.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2018-06-12-eerstekamer-4.u14	Mr. Chairman. The PvdA group understands all too well the sensitivities in society that can evoke face-covering clothing like a burka and nikab. People feel uncomfortable and sometimes unsafe. It's always nice when you can look at someone. The PvdA recognises the importance of mutual communication. In order to understand each other, it helps if you can look at each other and hear each other; there is no doubt about that. Nor is there any discussion about the need for facial recognition in a number of places to identify people. In some situations, such as in health and education, this is even necessary in order to achieve good quality services. The question we are discussing today is whether the legislative proposal we are discussing is necessary or not. contribute to this. In our Dutch society, we are proud to live in a free and democratic rule of law. With each other, we strive to strike a good balance between the space to be yourself, including the ability to make individual choices, and laws and regulations and other agreements necessary to live peacefully and safely together, to take sufficient account of each other and to be connected. Whether it's the question you believe in, where you go to school or how you dress, you can be there and we strive for equal opportunities and opportunities in our country, whoever you are and whatever you do. As a PvdA group, we think it is important to cherish these achievements, that everyone can be sure of that, that you are treated respectfully and equally and that every human being is of value. This means, for example, that you can know for yourself whether you want a piercing or tattoo, what clothes and what hairstyle you wear and that public and collective facilities, such as care, education, library and public transport, are available and accessible to everyone. The bill we are debating today is a violation of this. Face-covering clothing is legally prohibited in government buildings, education, public transport and care. Mr. Chairman. I would like to thank the government for the written answers to the questions put by other groups and our group. Answers which have given the desired clarity on a number of points, but which also raise new questions. Questions that mainly concern the need for the legislative proposal, its effects, its feasibility and its enforcement. Let me begin with the most pressing point for my group: the need for a legal ban on wearing facial clothing. The government states that the ban aims to remove barriers to communication in places where, without such a ban, the quality of service or safety cannot be adequately guaranteed. My group wonders whether there are obstacles to which a law is necessary. Let me explain this to you. It is customary that in education and care during treatment the burqa or nikab goes off, so that one's face is visible. My girlfriend has been a midwife in Almere and Amsterdam for over 35 years. She has accompanied several women with a burqa or nikab during pregnancy and childbirth. She said that it is self-evident to these women, and also to their partners, that in the office and the delivery room the burqa or nikab goes by default, so that she can see the woman's face, and that there is never any problem with that. Also in the specialised youth care, where parents' children who were involved in the struggle in Syria, the dialogue is chosen and the facial covering clothing goes off if this is desirable in the context of treatment or education. In short, the quality of service is already guaranteed by the fact that face-covering clothing in practice goes off when necessary. Does the Minister recognize this image? This plenary debate is about the added value of a legal ban. On this point, several parties, including the Council of State, are extremely critical. The conclusion is that the need for the legislative proposal has not been demonstrated. The Council of State supported its position as follows in its opinion. It is unlikely that schools, public institutions, public transport or care on a somewhat relevant scale will face-cover people. The second point is that it is likely that these sectors have sufficient possibilities to prohibit or provide individual indications, if necessary, if they have not yet done so. There is no evidence that the sanctioning of these house rules, transport conditions, directions, etc. is not adequately regulated. Without sufficient justification, the legislative proposal is incompatible with Article 6 of the Constitution and with the freedom of religion guaranteed by Article 9 of the European Convention for the Protection of Human Rights and Fundamental Freedoms (ECHR). This also applies to Article 18 of the International Covenant on Civil and Political Rights. The latter Treaty states that everyone has the right to freedom of thought, conscience and religion. Is it necessary to restrict these freedoms in order to protect public security, order, public health, morals or the fundamental rights and freedoms of others? That question is at the heart of today's debate. My group is not convinced of the need to regulate legally that people should no longer wear face-covering clothing at school, at the GP, at the hospital, at the consultation office, on the train, tram and bus, and also that they should not be at the UWV, the Social Service, the Court, the Human Rights College, the COA or at the police station. I am passing through the points raised by the Council of State in order to make an ultimate attempt to obtain a convincing answer from the Minister as to whether a legal ban on facial clothing is necessary.
ParlaMint-NL_2018-06-12-eerstekamer-4.u15	How does the PvdA look at the rights of a bus driver, a general practitioner or a handler, who, out of conviction, says that he does not want someone with facial clothing in his office or in his bus? Those bus drivers are now standing with their backs against the wall. Apologies are made if they refuse someone in a burqa on a bus, while they can have reasonable reasons for doing so. How are the rights of these professionals protected? Why are you only looking at the rights of some fundamentalists who want to walk in a burqa?
ParlaMint-NL_2018-06-12-eerstekamer-4.u16	The core is our fundamental rights enshrined in the Constitution and the European and international treaty. Those are the dominant rights in our society. Why, in the situations Mr Van Hattem outlines, do you want to violate other people's rights? This may be necessary in the context of security. For example, you need to be able to identify yourself on the bus or in the care to be able to get good care. That is not so much about the right of one person to another. It is then necessary in this situation that the nikab, the burqa or the helmet go off to provide good care and service. That's guaranteed.
ParlaMint-NL_2018-06-12-eerstekamer-4.u17	No, that's not guaranteed. Those bus drivers were stuck because it is not legally regulated that they could impose a refusal. With that, the transport companies stood with their backs against the wall. We need to make sure that we are on the side of bus drivers, doctors, anyone who says he doesn't want someone with facial clothing in his room or bus. That is something that needs to be contained. The right must be on their side and not on the side of the one who doesn't want to show his face for any reason.
ParlaMint-NL_2018-06-12-eerstekamer-4.u18	Mr Van Hattem assumes that the right of one person always goes above that of the other. One characteristic of fundamental rights is that you weigh the right of one against the other. You may have views about the other person, but that doesn't mean you have the right to decide how the other person dresses or how the other person behaves. When you go to a court of law to collide with fundamental rights, it's about whether you think it's justified to find something about someone else. It may be necessary for the provision of care or transport. You know as well as I do that the transport companies have indicated that they are not waiting for this ban. Things can be included in transport rules, but they must be proportionate to the objective.
ParlaMint-NL_2018-06-12-eerstekamer-4.u19	Mr. Van Hattem, finally at this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u20	How proportional is it to allow such backwardness in a free society and to impose it on bus drivers and on people who work in practice, who cannot invoke any right if they refuse to do so? They can be sued at a college and have to answer for it. The right must be on their side and not on the side of such a farmer's carrier or whatever idiot who wants to cover his face for whatever reason. That is something that needs to be contained. Those who simply pursue their profession must find the right on their side. That's what PvdA looks away for. Then there's your story about fundamental rights. These fundamental rights can be restricted. That is clearly stated in all written documents. There's no doubt about that.
ParlaMint-NL_2018-06-12-eerstekamer-4.u21	I don't think there's a question being asked, so I'm gonna keep going. Mr. Chairman. The first concerns the question of whether there is a major social problem. This starts with the demand for the number of people with face-covering clothing and how often schools, hospitals, town halls and courts are affected in such a way that the safety or quality of service is at stake. The government has not systematically investigated the need for legislation. There was talk of 200 to 400 women throughout the country. In dealing with the bill so far, the government could not indicate how many people carry a burka or nikab. The question I have to the Minister is whether she now has a view on the number of carriers of a burka or nikab. Let's just assume it's 400 people wearing facial clothing. This means that in most of the tens of thousands of school locations, government institutions, buses, trains and trams and locations of healthcare institutions, people will rarely ever be affected by facial clothing. I'm sure that's consistent with what each of us experiences in practice. In short, it's not a lot of people involved. On the question of whether there is a major security issue, the government indicates that there are no known security incidents. Can the Minister explain why she considers that this bill is necessary for security reasons? Are there not much more effective measures, such as a guide in public transport and good lighting at stations, which can enhance the sense of security? In response to the opinion of the Council of State, and also during the legal process so far, the government indicates that the law is necessary to settle a discussion that has been taking place in society and in parliament for years. Apart from the fact that the adoption of a law does not provide any guarantee for the resolution of such a discussion, for example, take the donor law and the General Data Protection Regulation, for example, my group believes that resolving such a discussion is not sufficient ground for violating fundamental rights. I would like a response from the Minister on this point. To sum up, we would like to hear from the Minister why the government speaks of a major social problem if it concerns some 200 to 400 people and the institutions concerned have little or no contact with them, there is no noticeable social unrest and there are no security incidents. Mr. Chairman. The second point raised by the Council of State concerns the possibilities already available to the institutions concerned to prohibit the wearing of facial clothing if they consider it necessary. Already they can lay down such a ban in house rules or rules. For example, transport conditions. House rules, based on safety considerations and/or quality of service, submitted to the Human Rights College have all passed the test of criticism without difficulty. The government argues that the legislative proposal aims to achieve uniformity and thus legal certainty as to where facial clothing is prohibited. We very much wonder whether this will be achieved with the legislative proposal. Let me explain this to you. Organisations retain the possibility to set additional house rules. Care institutions may, for example, allow patients/clients who reside in their institution indefinitely and visitors to these patients/clients to wear face-covering clothing. That seems nice, but stands in the way of uniformity. The distinction made in the bill between temporary and long-term stays in an institution allows different rules to apply to patients/clients who are temporarily admitted, such as the elderly who recover after hip surgery in a nursing home, and the elderly who are long-term in that same nursing home because of dementia. It can also lead to the fact that you can wear a burqa anywhere in a disability care institution, but not in the youth care institution that is a street away. That is where young people, by definition, reside temporarily. In a single room in a hospital you can wear a burqa and if you are in a lake bedroom, it is not allowed. In short, why uniformity? What's the point of this? At the request of our group, where are the spaces to be regarded as residential and/or residential? what is understood by private areas in the care sector that its terms are not defined in relevant legislation such as for example the Youth Act, the Quality Act, Complaints and Disputes in Care and the Long-Term Care Act, the Government replies that it does not intend to lay down national rules for where and where no facial covering clothing may be worn. This is up to the competent authority of that institution. What does this mean for the feasibility and uniformity of legislation, my group in turn wonders? Moreover, the confusion is compounded by the fact that the law does not apply to care-related services, such as day-to-day activities in private district centres from the Wmo. Will the law apply if the care is provided on the basis of a personal budget in a private care farm or for example in a Thomas house? In addition, private organisations can continue to ban facial clothing through house rules, provided there is sufficient ground for this. For example, many shops and petrol stations do this. In short, does this legislative proposal give the people in our country and the organisations involved the desired clarity? What do you mean, uniformity through the bill? Was it not better to take full responsibility for care in the care institutions and to refrain from a legal ban? We are looking forward to the Minister's views on this. Mr. Chairman. That brings me to the third point of the Council of State. Looking at the places where the ban will apply, it appears that the transport sector and the education and health sectors do not need this bill. They can do just fine with the means they now have, such as house rules and transport conditions. The College of Human Rights, in a letter to this Chamber, indicated that it feared that the bill would lead to it not being able to hear people with a burqa or nikab. Doctors, represented by the KNMG, express concern to fear of women wearing a burka or nikab. This poses not only health risks for these women themselves. It may also have adverse effects on their children. These include, for example, not visiting the consultation office, avoiding other forms of youth care or not participating in vaccination programmes. On this point, my group finds the answer given by the government, namely that this is then the mother's free choice, unsatisfactory. In these cases there is also an interest in taking good care of the child or, in the case of vaccination, a social interest. How does the Minister see this and why does the government just stress that this is the mother's choice? Why would the legislator jeopardise access to care with a ban on wearing facial clothing? This brings me to the issue of minority rights. The PvdA attaches importance to respect for these rights. They are laid down, inter alia, in Article 27 of the aforementioned International Covenant on Civil and Political Rights. This prohibits a person belonging to a minority from being denied the right to practise his own religion and to apply it in practice. We cannot close our eyes and ears to the fact that a legal ban on the wearing of facial clothing by Islamic fellow citizens, including those in whose family or family is never worn a burqa, is harshly felt by some of them as disrespecting their right to practise their own religion as a minority. Police officers who invest in the major cities for years in building a good relationship with the Muslim community, such as in, for example, Kanaleneiland in Utrecht and the Schildersbuurt in The Hague, fear that the introduction of the bill will undermine the carefully built-up relationship with the Muslim community. This isn't supposed to happen, is it? Can the legislative proposal not have a counter-effect that would put security at risk rather than make it safer with the bill? I would like a response from the Minister on these points.
ParlaMint-NL_2018-06-12-eerstekamer-4.u22	Surely it cannot be the intention for the PvdA here to do self-Islamicisation by adapting ourselves because of so-called sensitivities within the Islamic community because of the imposition of a burqa and nikab ban? That's the world upside down, isn't it? That's adapting to Islamization, isn't it? Is that what the PvdA is after?
ParlaMint-NL_2018-06-12-eerstekamer-4.u23	I think we live in a society where we have to adapt to each other. We're wearing different clothes now than we used to. I'm standing here without pantyhose. That was unthinkable in this Chamber a few years ago. So the question is: what are the rules and what are the habits? They change over time. A society is developing and we will always have to adapt to each other, Mr Van Hattem.
ParlaMint-NL_2018-06-12-eerstekamer-4.u24	No, we should not adapt to Islamic retardation that is shown with bookra's and nikabs. I'll give you a quote. I wonder how you feel about that. "The burqa or nikab is a garment worn on the basis of the conviction that women are only polite and therefore decent when they cover their feminine appearances, such as body shapes, hair, face and in extreme cases even the eyes. MEPs believe that this view reflects a human image that is totally inconsistent with the thoughts of emancipation, freedom and self-determination that they themselves adhere to. Not only the legal, but also the moral freedom to display your beauty without obstacles with clothing, hairstyle, jewelry and make-up, is a great asset. As representatives of a progressive movement, the members of the PvdA Group want to defend that freedom against views that think differently." You are doing exactly the opposite, Mrs Noorden, of what your colleagues here across the street in the House of Representatives, literally said in 2012. You are defending the burka and the nikab, and you are defending the Islamization of the Netherlands. Is that what the PvdA Group is after here in the First Chamber?
ParlaMint-NL_2018-06-12-eerstekamer-4.u25	It is a good thing that we have two Chambers, because each Chamber looks at legislative proposals from its own perspective. I share with my colleagues across the street that we stand for the freedom to be who you are. We will always fight for women who unintentionally wear a burqa. But we are also fighting against a situation where people are forced to wear something that does not suit them. We are in favour of the freedom in which people can express their religion. For example, there are people in the Christian community who like to wear a skirt and where you don't come to school when you wear long pants. There are all kinds of variants in which faith and how you express yourself are connected.
ParlaMint-NL_2018-06-12-eerstekamer-4.u26	Finally, Mr Van Hattem.
ParlaMint-NL_2018-06-12-eerstekamer-4.u27	Mrs Nooren, by coming up with these arguments, the PvdA is not defending the freedom of those women who are forced to wear a burqa. You adapt to that situation, you facilitate that situation instead of making you stand up for the freedom of those women. You are doing exactly the opposite by maintaining this situation, by maintaining all kinds of arrangements which will enable these women to continue to wear burka and nikab. That is what the PvdA is doing, and that is achieving and facilitating Islamization. That's the world upside down, and we have to stop it. The PVV says that this must be stopped and that is precisely why such legislation is necessary. It is necessary to combat Islamization. What you are now saying is to bring about the opposite. So I ask the question again: what does the PvdA Group really think of the burka and nikab here in the First Chamber?
ParlaMint-NL_2018-06-12-eerstekamer-4.u28	Mr Hattum obviously does not need an answer, because he is running away. Moreover, the PvdA itself is about it, for whom it stands up; we can make our own judgment about it. We stand for the freedom in which women are allowed to dress as they wish. By the way, this also applies to men. Mr. Chairman. This brings me to the practical implementation and enforcement of the bill. This subject has also had the necessary attention in the House of Representatives, but this has not given the desired clarity to the members of the PvdA Group. The government states that the institution can request offenders to take off the facial clothing and/or leave the premises. Institutions are not obliged to enforce and cannot be called upon to do so, is in the government's answers to questions on this point. We would like to hear from the Minister what the bill changes when a mother walks a nikab on the school square, someone with a burqa in the hallway of the outpatient clinic sits in a hospital waiting for the doctor or gets on the tram while the conductor is in another wagon. For example, in the latter case, does the Minister expect fellow travellers to use the emergency brake when they address the woman with a burqa and this woman is not prepared to take off her face? During the legal process in the Lower House it emerged that the enforcement of this law is not a high priority. There will be no extra money or capacity available to the police. This raises the question of whether the law will be enforced in practice. If there is a traffic accident or a break-in in a shop, it seems logical to the PvdA group that this priority should take precedence over going to a school square in the rare situation that there is a woman with a burqa there. Do we not speak here of symbolic legislation, which is contrary to the fundamental right of everyone to express their beliefs or beliefs, the members of the PvdA Group are wondering. I would like a response from the Minister to these questions. My group also wonders what the impact on the sense of security will be if, at the request of an institution, the police are to maintain it and the person wearing the facial clothing is to oppose it. If this does not reduce the sense of security rather than increase it, my group is asking the Minister. And don't we put the horse behind the cart like that? Mr. Chairman. I'm rounding up. Where self-regulation is not sufficient, the PvdA Group considers that legislation is necessary. Especially where fundamental rights are at stake, this requires extreme care and must be a major social problem. I would like to invite the Minister to convince my group that without this law, the safety and/or quality of services in health care, education, public transport and public buildings cannot be guaranteed. I look forward to the Minister's answers.
ParlaMint-NL_2018-06-12-eerstekamer-4.u29	Thank you, Mrs Nooren. I give the floor to Mr De Graaf.
