ParlaMint-NL_2018-04-18-tweedekamer-4.u1	The first speaker is Mr Bishop on behalf of the SGP Group.
ParlaMint-NL_2018-04-18-tweedekamer-4.u13	Mr. Chairman. What started last night in Groningen as a tour of the Netherlands ends today in the Hoeksche Waard, where the minister wants to merge seventeen villages into a municipality with almost 86,000 inhabitants. That's a little consistent with the secret plan that's in the drawers at the Ministry. They are beautiful municipalities: Binnenmaas, Cromstrijen, Korendijk, Oud-Beijerland and Strijen. The question is also here: why? Who wants this? The people have spoken out or have been able to speak out, at least in a number of municipalities. There have been citizen polls in Binnenmaas, Cromstrijen and Korendijk. That's where two-thirds of the people said no. Then the Minister says: all these residents do not matter, it is the council members that matter to me. I disagree, but let's try to look from the Minister's perspective. In Binnenmaas, Cromstrijen and Korendijk the city council also said no. Of the five municipalities, two thirds said no. And, Mr President, it may take some getting used to for this minister and for D66, but if two thirds say no, that means no. Then there is no support. What about this beautiful region? Since 1984, these five municipalities have been trying to cooperate more with each other, in collaborations. Much went wrong there, and this has also been an evaluation of the minister's predecessor, by Mrs Spies, among others. He says that there is little trust between the municipalities at the moment. There is little mutual trust for cooperation. And then what's the advice? Then you're gonna merge. That is the same thing as people who are constantly in disarray, who have no confidence in each other and who have constantly had an argument with each other from the Minister: I know a solution, then you should get married. Mr President, I predict that it will not be a happy marriage between unwilling lovers. Can the Minister reflect on that? I have also been reading a bit with raised eyebrows in the documents of the Ministry, which say why the municipalities should be dissolved: the five municipal councils are now mainly focused on the village centres. Oh, that's bad! Municipalities focused on their own residents! Yeah, that's a mockery, of course. All consultants and managers and advisors, and all the expensive people who are on the local board, are appalled, because you have to deal with very big projects that have nothing to do with the population. No, you have five municipalities here that just do their job. And because they're doing their job, they need to be lifted. I find that a mockery and a scandal. Can the Minister reflect on that? Why? And who's gonna make it? Then I read that the beautiful municipalities lie between urban areas, such as The Hague, Rotterdam, the Drechtsteden and BrabantStad, which apparently also exists nowadays. Metropolitan Region Rotterdam The Hague, the Drechtsteden and Barendrecht, Albrandswaard and Ridderkerk have already merged. Bernisse and Spijkenisse have merged into the new municipality of Nissewaard. To the southwest the new municipality Goeree-Overflakkee has recently emerged. Here comes a monkey from the sleeve. Why do these five beautiful congregations have to join each other? Because there have been reclassifications elsewhere. And why have there been reclassifications elsewhere? Well, because there have been reclassifications elsewhere. And so on and so on. It is a bit of the secret plan that has been put deep in a drawer at the ministry, namely that all municipalities must have 100,000 inhabitants, left or right. Municipalities are torpedoed with consultants, managers and advisors until they have to take it, even if the population and the city council say no. Well, if that happens and it is so inappropriate to deal with municipalities and citizens, then there is only one thing we, as a representative of the people, have to do: say no. I will, and I hope I'm not one of the few here.
ParlaMint-NL_2018-04-18-tweedekamer-4.u14	Thank you, Mr. Van Raak. I now give the floor to Mr Van den Bosch on behalf of the VVD.
ParlaMint-NL_2018-04-18-tweedekamer-4.u15	Mr. Chairman. In front of us lies, last in the series, the merging of the municipalities of Binnenmaas, Cromstrijen, Korendijk, Oud-Beijerland and Strijen. As has already been said, two of the five municipalities have agreed to reclassification in this reclassification, the other three are mainly seeking greater cooperation. This bill again means that we as a Chamber have to pawn and weigh. We would have preferred, of course, that all the municipalities had agreed, as we have seen in the last few hours. Now our role comes up to make a choice. The municipal councils and institutions in the area have stated that there is an urgent need for administrative improvements and that doing nothing is not an option. Since the municipalities did not agree on the desired administrative solution, the province of Zuid-Holland has taken this decision for a reclassification opinion. In the opinion of the VVD Group, it is not possible to form a municipality that could continue to exist independently without all five municipalities participating in this process of unification. Doing nothing is not an option anymore. The VVD group really believes that the municipality of Hoeksche Waard with some 90,000 inhabitants in that place of the Netherlands is of added value for its inhabitants and the area. We believe that this clarification should now be given and the VVD Group is giving it to the Minister. That is why the VVD Group supports the proposal. We call on everyone, both fore and against, to join forces after the merger, to seek the connection with each other and to go for it. Because then you can all do something for all your people and businesses. Thank you, Mr. Chairman.
ParlaMint-NL_2018-04-18-tweedekamer-4.u16	What an amazing position for a party that used to call itself liberal. Yesterday, Mr Van den Bosch argued that this is a question of support, and that is defined as 'what the municipal councils think'. Three of the five municipal councils of this future merger municipality are opposed. Mr Van den Bosch calls for us to listen to these municipal councils. Well, those city councils have spoken in this file. And they say no. At least three out of five say no. Why does Mr Van den Bosch not listen to his own arguments and why does he not listen to the municipal councils?
ParlaMint-NL_2018-04-18-tweedekamer-4.u17	As I explained in my story, this is a dilemma. Two out of three are in favour, are even in favour; you also have to deal with such minorities. Eventually, you're gonna have to weigh it up. You are probably making a different weighting from my group. Despite the fact that there is not 100% support here, we say that we must nevertheless make the choice made by the province. We do this with pain in our hearts, albeit not in substance, because we sincerely believe that this can become a good church. But it does reflect the dilemma we face. That should not happen too often as far as I am concerned.
ParlaMint-NL_2018-04-18-tweedekamer-4.u18	It shouldn't happen too often? It's just happening now! I will not make the argument about the citizens, because by definition the VVD is not interested in this, but I will come up with the argument of the municipal councils. Once again, last night and also in the debates we had before, Mr Van den Bosch argued here: let us listen to the municipal councils; municipal councils, municipal councils, municipal councils. This is where most city councils say no. Nevertheless, Mr Van den Bosch wants to push them into this fusion trap. Could Mr Van den Bosch perhaps try to put forward arguments as to why he does not even want to listen to the municipal councils anymore?
ParlaMint-NL_2018-04-18-tweedekamer-4.u19	I repeat that we are listening to some of the municipal councils, because there are also municipal councils that are in favour. It's always wiggling and weighing. In this case we find the arguments of municipal councils that are very valid for it. The big difference with other dilemmas, like last night's, is that you really can't say here: you know what, we're going to rearrange with two municipalities and not with the other three. That doesn't work in this area. We're convinced you need to move on now. I'm really convinced that the Hoeksche Waard is also a very nice, strong municipality in the area. That is the balance that we are making. There's a lot of tension on that. I'm not gonna deny it. It's done, but, yeah, in this room, we were hired to go through with it.
ParlaMint-NL_2018-04-18-tweedekamer-4.u20	Thank you. I now give the floor to Mr Krol on behalf of 50PLUS.
ParlaMint-NL_2018-04-18-tweedekamer-4.u21	Thank you, Madam President. And yet another province that thinks it all knows better and decides over the heads of the population. The first three pages of the explanatory memorandum can be summarized in one sentence: three of the five municipalities in the Hoeksche Waard are opposed to reclassification and thus the Republics have decided to reclassification. Three of the five municipalities involved in this merger are against. In the three municipalities that do not want to live 53.000 inhabitants. In the two municipalities that want to live 33,000 inhabitants. The three municipalities that do not wish to be part of Cromstrijen, Korendijk and Binnenmaas were created by a previous reclassification in 1984. Cromstrijen was formed by merging Klaaswaal and Numansdorp. Korendijk was formed by merging Goudswaard, Nieuw-Beijerland, Zuid-Beijerland and Piershil. Binnenmaas was formed by merging Puttershoek, Maasdam, Mijnsherenland, Westmaas and Heinenoord. The municipalities that are opposed therefore speak out of experience. Should the new municipality of Hoeksche Waard, if any, merge again in 20 years' time and should it be further away from the citizen? We read in the explanatory memorandum that the municipalities that are opposed to the reclassification have held a referendum. An overwhelming no came out of that. 70% voted against reclassification. In a note in the explanatory statement we read that one group from the council of the municipality of Strijen, one of the two municipalities that is in favour of reclassification, also held a referendum. It was filled out by only 5% of the residents of Strijen, but 95% of them voted against reclassification. That's a signal, I think. Why didn't the municipality of Strijen pick up that signal and organise a better public consultation with which more people would participate? Is it true that the municipalities that now say yes to the reclassification have not held a referendum? I am repeating myself: it would have been better to ask the inhabitants what they thought about it.
ParlaMint-NL_2018-04-18-tweedekamer-4.u22	I just want to get back to the role of county. I see a province that has taken responsibility for an administrative impasse that has arisen. Does Mr Krol agree with me that the municipal councils of the five municipalities in the Hoeksche Waard have unanimously agreed to the role of the province in breaking this administrative deadlock?
ParlaMint-NL_2018-04-18-tweedekamer-4.u23	Facts are facts, but other facts are also that when it comes to municipal reclassification, you should listen to the citizens. They are the owners of the municipality. You very much want municipal reclassifications to be the municipalities and provinces that make the decisions, but 50PLUS is in favour of that being the population. That is why we are calling for referendums. You may think differently, but give me the right to think differently.
ParlaMint-NL_2018-04-18-tweedekamer-4.u24	Municipalities are there for their inhabitants, of course. That's the most important thing. If municipalities do not come together, but are in favour of cooperation in order to maintain all these facilities in the Hoeksche Waard, do you not see a role for the province?
ParlaMint-NL_2018-04-18-tweedekamer-4.u25	No, I can see above all that it is for the citizens themselves. Get the civilians involved. Make sure that there are referendums and that there is sufficient support. In some cases, after proper information, residents will certainly say that they want to go together, and not in others. I want to listen to the citizen, you listen to the drivers. That's where we differ.
ParlaMint-NL_2018-04-18-tweedekamer-4.u26	Proceed, Mr. Krol.
ParlaMint-NL_2018-04-18-tweedekamer-4.u27	The province and cabinet screens with the statement from 2013: in the Hoeksche Waard there is nothing to do. But that statement has now become obsolete. Since 2014, the municipal partnership has been working well, contrary to what the cabinet has led us to believe. According to the cabinet, Mr Van Raak has already pointed out that the individual municipalities are too focused on their own villages. I only see advantages if a municipality looks closely at its own citizens and its villages. We certainly shouldn't want the opposite. Imagine if the new municipalities weren't focused on the villages. That's not what a person wants, is it? The rest of the problems that need to be solved with the reclassifications concern vulnerable civil service organisations, tensions within the municipality and poor service provision. I'm sorry, but those arguments don't convince me. Vulnerabilities in the official organisation can be solved with cooperation. The same applies to better provision of services to institutions. Why not just keep working together and focus on that improvement? This cabinet wants us to believe that we are dealing with an or-or choice: either going on alone or getting bigger and bigger. The reality for all municipalities in the Netherlands, big or small, is of course en-and-and: and take good care of their own municipality and take care of things efficiently and work together with other municipalities for things that are better done together. Small municipalities do that, large municipalities do that, municipalities do it before they are merged and municipalities do it after they are merged. Collaborations will always be there. Finally, I would like to quote the general director of the VNG. At the end of last year, Jantien Kriens made a very appropriate argument about multi-scaleness. Some things are better picked up on a small scale and others are done in a larger context. She said: "As a community, small communities get things done much faster: all lines are very easy to lay. Because everything is smaller, small municipalities can work more flexible and faster. For example, you know very quickly how many older people there are and that there are ten older people over the age of 80 that you need to arrange to make sure they can stay at home. Municipalities should always be able to choose which scale best suits the subject." That's exactly what this is about. Municipalities should be able to choose which scale best suits the subject. Let us therefore cherish that small-scale level, because it has added value and because the people feel comfortable with it. Mr. Chairman. Three of the five municipalities in the Hoeksche Waard choose the current municipality size. The 50PLUS Group agrees with that wish. That is why we will vote against the bill. Thank you very much.
ParlaMint-NL_2018-04-18-tweedekamer-4.u28	Thank you, Mr. Krol. I now give the floor to Mr Martin Bosma on behalf of the PVV.
ParlaMint-NL_2018-04-18-tweedekamer-4.u29	Thank you, Mr President. In the previous debate, I asked the question: when will it stop? When are these municipal reclassifications gonna stop? The Minister replied to me in my own words: never. We will have a policy framework, but, with things like identity and participation. She also stated last night that there are arguments for all those reclassifications that are in practice open-ended schemes. For example, if you say: we are looking in the future at the financial position of the municipality, the solvency, then that is a reason to abolish that municipality. Whether an argument is: the municipality has received a lot of tasks, Wmo et cetera, and therefore the municipalities must also merge. In other words, in the future we will discuss a lot of municipal reclassifications here, just as long as the Netherlands is a large municipality. I am now going to say it for the third time in a minute or fifteen: there is, in the end, no justification whatsoever for these municipal reclassifications, no justification whatsoever. I refer again to the 2013 study of COELO Groningen. In the end, public expenditure does not fall in these new merged municipalities. The municipal facilities really aren't getting any better. The attractiveness of these municipalities does not increase. Well, Professor Voermans says, there is at least the chance that confidence in politics will fall. That is why my group keeps saying: preserve those municipalities, be proud of them, be careful with them. They are often centuries old and there is no reason to abolish the municipalities. Mr. Chairman. The expression "from the bottom" is widely used by this minister, but also by a number of parliamentary groups. On the bottom, I think: these are the citizens, but no, from below means the administrators, the municipal councils. Again, I have a lot of respect for the members of municipal councils, but from the bottom I think of the residents. In the previous dossiers that we were allowed to deal with, it is said that there is support from the bottom for all these municipal reclassifications. This seems to be the crucial argument for this minister as well. Let us look today at how consistent she is in her argument. In this file, which should therefore be Hoeksche Waard, the majority of municipal councils say that they do not want this. This is a typical case in which the driver is not the citizen but the driver. There's an administrative impasse. I'd say that's your problem, solve it. Doing nothing isn't an option? Well, often doing nothing is an option. In many cases, intervention leads to new problems. The province rams it through in a rather arrogant way. She knows better than the residents and she also knows better than the municipalities and the municipal councils. These are again the well-known administrative arguments; it is about the position in the region. What do the citizens suffer from the fact that their municipality has not yet been merged? There is no need in the end. "Well," says the minister, or actually the former minister, because Mr. Plasterk's signature is still underneath, "this is the best and the most sustainable solution." Why? Financially, these municipalities are doing pretty well. Why? Why? Why? The largest town, Binnenmaas, doesn't want it. 80% of citizens are consulted. 70% is against. A study by Erasmus University states that only one third is in favour of the reclassification. If you add the inhabitants together, it turns out that 53.000 inhabitants of the municipalities do not want it and that only 32,000 people would like it. Three of the five municipalities have already been redeployed. That is very spicy, because these reclassifications are always done because of administrative power and all those cries. So, what's next? They are being re-assessed, but the administrative power doesn't seem to increase at all and then they need to be re-assessed. Isn't that just admitting that these reclassifications, at least in this file, aren't working? We therefore note that this is simply being pushed through despite the fact that three out of the five municipal councils, according to the Minister, make the difference; that is not what the basis for support is. When is the Lower House going to stand on the brakes? Well, I can answer that question myself: never. Mr Van den Bosch of the VVD says he has been hired to move forward; the Lower House has been hired to move forward. No, VVD, you weren't hired here to move on. No, MPs, we're not hired to move forward, we've been hired to control this minister, to control government policy and say "yes" or "no." That's why we're getting compensation. We're not the government. We control this government. We weren't hired to move on. We have been hired to review the Minister's and this cabinet's plans critically and to say "yes" or "no." For this we need to assess all kinds of issues, for example the Minister's own argument, in this case 'the municipal councils are the basis for support'. Thank you, Mr President.
ParlaMint-NL_2018-04-18-tweedekamer-4.u30	Thank you. I now give the floor to Mrs Özütok on behalf of GroenLinks.
ParlaMint-NL_2018-04-18-tweedekamer-4.u31	Thank you, Mr. Chairman. In the Hoeksche Waard there has been talk of the administrative establishment of the island for some 50 years. The documents accompanying this bill and the discussions with the people in the Hoeksche Waard show that there is a unanimous view that doing nothing is not an option, that the future of the Hoeksche Waard is one and indivisible and that more should be decided at regional level. After many years of discussion, however, one could not agree on a choice for one of the two directions of solution: the cooperation model or the reclassification. In order to break the deadlock, the province of South Holland started an ARHI procedure, because a choice had to be made. The province was supported by all political groups in the States. The result of this procedure is that the province has decided to merge the five municipalities. The Committee on the Rules of Procedure has been in the Hoeksche Waard and we have spoken to both supporters and opponents there. The talks and the documents before us show that there is a great need for strong governance in the Hoeksche Waard. The five municipalities themselves are too small to carry out all the tasks properly. One municipality in which the villages can each retain their own character and with which the Hoeksche Waard as a whole occupies a stronger position in the region, my group seems to be a good option. Mr. Chairman. My group still has a specific question for the Minister. The new municipality will soon cover a large area. How is it ensured that public services in the new municipality remain accessible to all residents? Mr. Chairman. Considering all the arguments, GroenLinks can agree to the present reclassification of the Hoeksche Waard.
ParlaMint-NL_2018-04-18-tweedekamer-4.u32	Mr. Chairman. With an opposition like that, you don't need a coalition anymore. I find it quite remarkable that GroenLinks supports all these reclassification plans. It used to be small-scale with GroenLinks and the left-wing fellow man, and you heard "small is beautiful," but that's all in the past. Well, that's okay. But let's look at the residents who make themselves heard in a citizen consultation. A lot of people are rising; 70% are voting against these reclassifications. Then why does GroenLinks choose to be enthusiastic about this, against the majority of people who are consulted in, and also against the majority of municipal councils? Why does GroenLinks know so much better than the residents and the majority of city council members?
ParlaMint-NL_2018-04-18-tweedekamer-4.u33	GroenLinks listens very carefully to what is happening in those municipalities. This is a decision that has been expressed in those municipal councils. Consulting the citizens, hearing what they think about it, is a task of these municipalities. They have done so in various ways, which they have found appropriate in those municipalities. GroenLinks appreciates that. It is understandable that there are supporters and opponents, but this process has started from the bottom up, even though it has lasted 50 years. We have come a long way. Now it's up to us to make a decision about everything.
ParlaMint-NL_2018-04-18-tweedekamer-4.u34	It is also a watershed that GroenLinks now interprets the cry "from the bottom" as "municipality council members." "From the bottom" at GroenLinks means not "citizens" anymore, but "municipality council members." I find that very striking; we need to mark this moment. But now just, very simple, back to the basic question. The people in what threatens to become the Hoeksche Waard do not want that municipal reclassification, at least in the majority: 80% of the people who vote say that they do not want that. Is that an argument for GroenLinks? Or does GroenLinks say that we don't care at all?
ParlaMint-NL_2018-04-18-tweedekamer-4.u35	People's representatives have been elected. You were also chosen here. Municipal council members have also been elected. They represent the people in these municipalities. They talk to the people about what decisions need to be taken. Before that, they organize conversations and residents' nights. Municipalities consult people in all shapes. That respects my party. That is why it is important that the municipalities together have taken the decision that lies ahead. We can only agree to that. The work is well done. I understand that you disagree, but that is another question.
ParlaMint-NL_2018-04-18-tweedekamer-4.u36	Finally, Mr. Bosma.
ParlaMint-NL_2018-04-18-tweedekamer-4.u37	It's not about my opinion. It concerns the finding that three of the five municipal councils do not want this. Now, of course, we have seen in the past that GroenLinks has abolished the binding referendum, because GroenLinks has a bit of a brother killed by what the people think; the people must remain silent. That is why Mrs Özütok has so passionately opposed the binding referendum. Unfortunately, she has won and we have lost the binding referendum. Well, and then there's a citizen consultation in what the Hoeksche Waard is going to be, and people are speaking out. And then GroenLinks declares that completely irrelevant because, according to GroenLinks, it listens to the representatives of the people. I think that indicates what the culture of GroenLinks is, namely: these citizens do not matter.
ParlaMint-NL_2018-04-18-tweedekamer-4.u38	I didn't hear a question, Mr. Chairman.
ParlaMint-NL_2018-04-18-tweedekamer-4.u39	Mr. Chairman. Let's get back to that last point. Ms Özütok indicated that she would respect the choice of municipal councils. But I can't get it all together. In three of the municipalities, the city council ruled against reclassification. If we look at the population numbers, it is true that Mr Bosma found that the correct figure is about two thirds of the total population of the Hoeksche Waard that they represent. But how does GroenLinks respect that? Then how does GroenLinks do justice to the choice of those three municipal councils against the two who voted in favour? I'd like some clarification.
ParlaMint-NL_2018-04-18-tweedekamer-4.u40	Mr. Bishop, you also know that these municipalities agree to cooperate with each other in the Regional Council. It's a question of how you're gonna work together. GroenLinks' preference is to vote in favour of this reclassification and the legislative proposal. Because you also create an administrative layer at a regional council. So if the road turns out to be the same on the left or right, then my group prefers a reclassification.
ParlaMint-NL_2018-04-18-tweedekamer-4.u41	I'm trying to understand. So Mrs Özütok actually says that municipalities do not have the right to opt for independence, to remain their own entity and to work together. If that's what they choose, they'll have to merge. Is that what you mean?
ParlaMint-NL_2018-04-18-tweedekamer-4.u42	No, that's not what I mean. You're misinterpreting my words. What I mean is, what I started out with is that people did not figure out how cooperation should take shape. That is why the province took matters into its own hands and came to this choice in consultation with the municipalities. And the groups in the province have all voted in favour. That is decisive for me, and for my party.
ParlaMint-NL_2018-04-18-tweedekamer-4.u43	Finally, Mr. Bishop, you don't have to.
ParlaMint-NL_2018-04-18-tweedekamer-4.u44	I'll be very brief. So that means you're giving the province the right to overrule local democracy? Actually, that's what you're saying.
ParlaMint-NL_2018-04-18-tweedekamer-4.u45	The province has the right to do this legitimate, it's her job to make a decision. She did. That's valuable.
ParlaMint-NL_2018-04-18-tweedekamer-4.u46	I don't understand the position of GroenLinks anymore. I would like to invite Mrs Özütok to ride her baking bike through the Hoeksche Waard...
ParlaMint-NL_2018-04-18-tweedekamer-4.u47	I don't have a baking bike.
ParlaMint-NL_2018-04-18-tweedekamer-4.u48	...and go and watch and listen. What the people think is not important is GroenLinks, but what the municipal councils think is important is what Mrs Özütok thinks. Now a majority of the five municipal councils have said no. And that is an argument for Mrs Özütok to say yes. Can she explain that? I don't get it.
ParlaMint-NL_2018-04-18-tweedekamer-4.u49	I understand that sometimes you don't quite understand things here. But let me explain it again. The municipal councils did not agree on how cooperation should take place in the region, whether through a regional council, intensive cooperation, or through a reclassification. It took about 50 years. That's a long time. This also means that there is no clarity for the citizens of that region. That is why I believe that the province She said: let us facilitate that process. That was also supported by your group in the province. So I don't really understand why you're making such a point here.
ParlaMint-NL_2018-04-18-tweedekamer-4.u50	I see something incredible here anyway. People say no. The city councils say no. But GroenLinks concludes that there is broad support for a reclassification. I don't get it. I don't think the viewers get it either. There's no explanation.
ParlaMint-NL_2018-04-18-tweedekamer-4.u51	I think I've already explained. I'll keep repeating it. In my view, you do not want to accept that there was no exit in the region and that the province finally started this process. I think that is a very correct and good process. The municipalities have now also said that something really needs to be done; cooperation in the region must be regulated on the left or right.
ParlaMint-NL_2018-04-18-tweedekamer-4.u52	Finally.
ParlaMint-NL_2018-04-18-tweedekamer-4.u53	So acceptance in the municipality does not mean support from the population, nor does it mean support from the municipality, but means support from the province, the government. Then I find the idea of local support at GroenLinks quite remarkable.
ParlaMint-NL_2018-04-18-tweedekamer-4.u54	You're very bathing about the people's representatives who...
ParlaMint-NL_2018-04-18-tweedekamer-4.u55	Those who said no!
ParlaMint-NL_2018-04-18-tweedekamer-4.u56	...in all that gremia. I don't want to add anything else.
ParlaMint-NL_2018-04-18-tweedekamer-4.u57	About working together: you don't have to marry in the community of goods to be happy as partners?
ParlaMint-NL_2018-04-18-tweedekamer-4.u58	I don't know about marriage, but I've had some experience in governing. I think this is the best way.
ParlaMint-NL_2018-04-18-tweedekamer-4.u59	So the population in the municipal councils doesn't think so.
ParlaMint-NL_2018-04-18-tweedekamer-4.u60	People think differently about it. It is good that this process has come together after 50 years.
ParlaMint-NL_2018-04-18-tweedekamer-4.u61	Thank you, Mrs Özütok. I didn't know you didn't know how to get married. That's nice information during such a debate. Mr Van der Molen.
