ParlaMint-NL_2018-05-31-tweedekamer-11.u1	I give the floor to Mr De Roon on behalf of the PVV.
ParlaMint-NL_2018-05-31-tweedekamer-11.u16	Mr. Chairman. It is good that the Dutch government has condemned the direct missile firings from Gaza by Hamas..................................................................................................................................................................................................................... That is also the only place where a conviction is already in place. That's right. Luckily, there were no casualties. Israel has defended its citizens while Hamas prefers to use its citizens in the philosophy of death that is their own. There will be an investigation into the action of the IDF, the Israeli army at the security fence, in response to the terrible images we have seen in recent weeks. The UN Human Rights Council has called for this. They have an incredibly bad track record: Goldstone, look at the unbalanced resolutions, the sequeling. I am not even talking about some of the Member States. As far as my group is concerned, every research must be assessed not only on the basis of the role played by the IDF, but also on the part that Hamas leadership, as you say, has not fulfilled me by encouraging actions that have unfortunately claimed so many victims. I call on the government to look into this, even carefully, at the position taken by the Israeli Supreme Court, I believe last Monday. There's been a position taken by three judges. A very interesting statement, I might add. We know a High Council here in a civilized country and they know it in the Middle East but in one civilized country, and that is Israel. Thank you.
ParlaMint-NL_2018-05-31-tweedekamer-11.u17	Mrs. Karabulut has another question for you, Mr. Ten Broeke.
ParlaMint-NL_2018-05-31-tweedekamer-11.u18	What does that mean, according to Mr Ten Broeke, to allow the Israeli army to kill innocent Palestinian citizens when they demonstrate? Is that because Hamas isn't running politics that I support either, because it's there in Gaza? Is that a reason for Mr Ten Broeke to say that the Israeli army is in his right?
ParlaMint-NL_2018-05-31-tweedekamer-11.u19	I've been in the Chamber for 12 years, and that's as long on the day as Mrs Karabulut. I don't know how much longer we're both gonna be here. But even if I were still 12 years old, in those 12 years I have never said, nor will I ever say that innocent civilians should be killed. That is perfectly logical, because I do not know anyone in this Chamber who would dare to hold that position. Let us therefore take away any suggestion to that effect. Hamas himself has said that of the dead who have fallen were 50 Hamas fighters. I'm not saying that, but that's what Hamas says. You know humanitarian law otherwise you will be explaining it in the meantime during these debates and know that there could be justification there. That is not my view, but it could be. That is why I would point out that the ruling of the Supreme Court must be taken into account. You've got it in Israel. You're gonna have to kill it in Gaza. I would also point out that there will be another investigation by IDF itself. In the past, we have seen that this can be looked at seriously. In order to be able to judge the whole well, you also have to look at those who, according to their own words, sent people to that security fence knowingly and knowingly. It would have been too crazy for words not to include that aspect. In fact, I understand from the last debate that Mrs Karabulut also believes that Hamas should be looked at with the statements made by various leaders. I thought it was a win. I also saw a few other colleagues reporting on this point. You can distance yourself from that now.
ParlaMint-NL_2018-05-31-tweedekamer-11.u20	I would like to allow one question, not to you, Mrs Karabulut, because this has been discussed extensively in the AO.
ParlaMint-NL_2018-05-31-tweedekamer-11.u21	Chairman!
ParlaMint-NL_2018-05-31-tweedekamer-11.u22	Easy, easy, Mrs. Karabulut. I wasn't finished. This is a second deadline, so I do not want a repetition of the general consultation to take place here. You may make one final comment, Mrs Karabulut.
ParlaMint-NL_2018-05-31-tweedekamer-11.u23	If Mr Ten Broeke is aware of international law, he says here that he really does not know much about it, he should know that an army, and certainly an army that is occupying, should not shoot innocent civilians, no children, no people in the back. There are a lot of human rights reports. Just like Hamas can't just shoot rockets. And whether you're a member of the VVD or have a Hamas stamp on your head, you can't use disproportionate force. Then it makes me uncomfortable when you're judging one and the other isn't. Those are the two sizes. I am not used to that from Mr Ten Broeke, but in one way or another when it comes to Israel, and I regret that.
ParlaMint-NL_2018-05-31-tweedekamer-11.u24	Short response, Mr. Ten Broeke.
ParlaMint-NL_2018-05-31-tweedekamer-11.u25	Mr. Chairman. The missiles that Hamas fired or were fired from Gaza with the knowledge of Hamas or Palestinian Islamic Jihad are without cause. There's no ground for that. They were fired at civilian targets. We can try to make sense of each other about who knows most about international law and proportionality, but it was already in Mrs Karabulut's contribution. She said, "Yes, but there were no casualties at all, and there are so many.
ParlaMint-NL_2018-05-31-tweedekamer-11.u26	This also applies, Mr. Ten Broeke...
ParlaMint-NL_2018-05-31-tweedekamer-11.u27	Yeah, how come? That is not proportionality in international law, Mrs Karabulut. You should check the books or consult someone about them.
ParlaMint-NL_2018-05-31-tweedekamer-11.u28	Yes, thank you. Mrs Karabulut, you have made your point. I'm going to see Mr. Kuzu.
ParlaMint-NL_2018-05-31-tweedekamer-11.u29	I can only say that I would advise Mr Ten Broeke to take a look at the facts when it comes to the attitude of Israel and the Israeli army.
ParlaMint-NL_2018-05-31-tweedekamer-11.u30	I do. That's why it's a good thing we're investigating it. I have indicated the criteria on which I will assess that investigation.
ParlaMint-NL_2018-05-31-tweedekamer-11.u31	Then Mr Kuzu.
ParlaMint-NL_2018-05-31-tweedekamer-11.u32	Still, that's hypocritical. Mr Ten Broeke concluded by concluding that Israel is the only civilised country in the Middle East. How can Mr Ten Broeke of the VVD describe a country, a government, which shoots innocent civilians, shoots journalists, shoots children, violates a child of 8 years old, violates numerous international resolutions and illegally annexes settlements, as a civilized country?
ParlaMint-NL_2018-05-31-tweedekamer-11.u33	Unlike what has just been said by your colleague Karabulut, Israel has just left Gaza. So it's not annexed. It's not occupied, it's deserted. Unlike the contributions made by these colleagues, Israel also tried to keep the Gaza border open. That is a frontier for which we, as the Netherlands itself, I have fortunately been able to interfere with it myself. Humanitarian goods which were then burned again were made impossible. The energy supply itself has been cut off by the Authority, which is complaining about the backwardness of its own population.
ParlaMint-NL_2018-05-31-tweedekamer-11.u34	This too has been discussed in detail.
ParlaMint-NL_2018-05-31-tweedekamer-11.u35	Mr. Chairman. That discussion will also come along very often.
ParlaMint-NL_2018-05-31-tweedekamer-11.u36	No, this is really a VAO.
ParlaMint-NL_2018-05-31-tweedekamer-11.u37	I do believe that a country with a Supreme Court that is simply investigating its own army has a form of civilisation. Yes, I dare anyone else to call me another Arabic country in the area that does. There aren't any. Not even Turkey.
ParlaMint-NL_2018-05-31-tweedekamer-11.u38	Thank you. I shall now turn to Mr Bishop. I am curious to see what was going on in general consultation.
ParlaMint-NL_2018-05-31-tweedekamer-11.u39	Not like this. Mr Ten Broeke was not there.
ParlaMint-NL_2018-05-31-tweedekamer-11.u40	Oh. Okay. Then Mr Bishop.
ParlaMint-NL_2018-05-31-tweedekamer-11.u41	Thank you, Mr President. Speaking about the Middle East Peace Process does not bring out the most peaceful feelings in all.
ParlaMint-NL_2018-05-31-tweedekamer-11.u42	That's right.
ParlaMint-NL_2018-05-31-tweedekamer-11.u43	Mr. Chairman. I have two points: Gaza and Iran. Gaza first. During the AO I pointed out that in Gaza there was a fierce campaign orchestrated by Hamas against Israel and that the civilian population itself was at risk of becoming the main victim of its inflammatory leaders. That fear is true. The most recent attacks from Gaza on Israel have resulted in dozens of rockets and mortars without a direct cause, and underline the need for tough measures against Hamas, a terror regime, and similar-minded people. I appreciate the Minister's clear and open condemnation of these shellings. My question to the Minister is therefore whether the Netherlands, within the UN Security Council and within the EU, show solidarity with Israel in the same way and strongly condemns the violence of terrorist Hamas and related terrorist organisations. The Gaza thing. Then there's a motion on the Iran deal. The developments there are extremely worrying. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the United States is withdrawing from the nuclear agreement (JCPOA) with Iran;]] [[Considering the European Union's efforts to maintain the commitments within the JCPOA and to protect trade between Europe and Iran;]] [[Whereas the EU would be well advised to recognise that, in view of, inter alia, the Iranian ballistic missile programme and the financing of terrorist organisations, a constructive attitude by Iran in the Middle East is desirable;]] [[calls on the Government at European level to call for clear agreements with Iran on the non-enlargement of the ballistic missile programme, on the no longer financing of terrorist organisations, and on nuclear non-proliferation even after the JCPOA agreement expires, and to involve these agreements in the JCPOA wherever possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-458]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u44	Yes, it might be a reason to hold the motion for a moment. Thank you.
ParlaMint-NL_2018-05-31-tweedekamer-11.u45	Okay. Mr. Voordewind.
ParlaMint-NL_2018-05-31-tweedekamer-11.u46	Thank you, Mr. Chairman. This VAO was held on 19 April with the Minister. Since then, unfortunately, there have been many victims of the massive attacks on Israel's border crossing and Israel's reaction to this. It is now clear that Hamas has driven and even directed the violent demonstrations and the flight to the fence. As a result, they have used their own people as a human sacrifice, as a weapon in the media war against Israel. The origins of the victims show that the majority was or was associated with Hamas and that says a lot about Hamas' targeted action. Unilateral condemnations of Israel are therefore totally inappropriate and unjustified. The Christian Union therefore supports the Minister's line to wait first for the investigation of IDF, the Israeli investigation, and not to support resolutions that lay the blame on Israel. Can the Minister actually promise that the Netherlands will not support resolutions in the UN Security Council that will condemn Israel? Mr. Chairman. Does the Minister now condemn, as he did elsewhere here in the Chamber, Hamas' new declaration of war by firing more than 100 missiles at Israel? Mr. Chairman. I hope, sometimes against better knowledge, that the spiral of violence can still be broken. The Netherlands can take small steps to this end through the tripartite dialogue between the two parties here in the Netherlands. I hope that the idea of a corridor as suggested by Mr Sjoerdsma and myself during the previous general consultation, which could soon be part of it, will be part of the tripartite dialogue. Can the Minister make an effort to do so? Thank you, Mr. Chairman.
ParlaMint-NL_2018-05-31-tweedekamer-11.u47	Thank you. I now give the floor to Mr Van Helvert on behalf of the CDA.
ParlaMint-NL_2018-05-31-tweedekamer-11.u48	Thank you, Mr. Chairman. On May 14, 1948, the state of Israel was declared. That was 70 years ago. Israel was promised a safe state and the Netherlands wants to be a reliable partner. The same date, May 14, 1948, is also the day on which many Palestinians became refugees. Many Palestinians suffer from this to this day. The double experience of this day continues to this day. The recent missile rain from Gaza is another low point. While in the Netherlands code orange applied to hailstones, Israel had code red for rockets. Because Hamas and Israel are strangled, the people suffer in the Gaza strip. The CDA called on the Minister to plead in the UN Security Council for a stop to violence. Thanks for that call, too. Unfortunately, it has remained without result. It's a good thing they're investigating what happened. We will certainly study that research. The CDA continues to support the Minister in the search for moments when the Netherlands or the European Union can play a role in reducing human suffering and keeping human dignity a place and in starting a new process of peace. Thank you.
ParlaMint-NL_2018-05-31-tweedekamer-11.u49	Thank you. I give the floor to Mr Kuzu on behalf of DENK.
ParlaMint-NL_2018-05-31-tweedekamer-11.u50	Mr. Chairman. During the general consultations, the Minister made it very clear that he was waiting for the Israeli army to investigate. A number of political parties are also talking about this. Mrs Karabulut has tabled a motion to ask the government to condemn Israel's actions. I do not think there is much chance of that, but I would also like to make a statement to the House on this. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[strongly condemns the Israeli shelling with sharp ammunition from civilians in Gaza, which has taken place since 30 March 2018,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-459]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u51	There is also often talk about the two-state solution. I think it was Mr Bishop, who almost fell off his chair during the general consultation when he found that DENK is for this two-state solution. Well, I wonder how Mr Bishop is going to vote on this. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Cabinet has identified the preservation of the two-state solution as a policy priority;]] [[noting that the Israeli Government is not only continuing to expand settlements, but is also taking more and more steps leading to annexation of large parts of the occupied West Bank;]] [[noting that this puts the two-state solution in ever greater danger;]] [[calls on the government to gain support at UN and EU level for more concrete measures to strengthen the preservation of the two-state solution,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-460]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u52	Mr. Chairman. The next motion is about children. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Israeli army has killed more than 100 Palestinians in Gaza since 30 March 2018, most of them civilians, including children;]] [[noting that the citizens of Gaza have a protected status under the law of war, but in practice do not enjoy any protection against Israeli violence;]] [[calls on the Government to set up consultations at UN and EU level on measures that would bring about a structural improvement in the security situation of the Palestinians in Gaza, such as the deployment of a UN force,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-461]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u53	Mr. Chairman. This motion is really about the kids. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Israel is a party to the Convention on the Rights of the Child;]] [[Whereas the Israeli Government violates various obligations under this Convention, including arresting Palestinian children at night, intimidatingly questioning them and denying adequate legal aid;]] [[calls on the Government at EU level to support the suspension of the Association Agreement with Israel, until Israel respects and promotes the rights of Palestinian children,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-462]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u54	Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas hundreds of children have been detained in Israel;]] [[Whereas the course of justice of these minors does not always seem to comply with the rules laid down in the UN Convention on the Rights of the Child;]] [[calls on the Government to address separately the child rights situation of each minor imprisoned in Israeli prisons to the authorities,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Ploumen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-463]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u55	I will reopen the meeting and give the Minister the floor.
ParlaMint-NL_2018-05-31-tweedekamer-11.u56	Thank you, Mr. Chairman. The Israeli-Palestinian conflict demands a great deal of attention from the Chamber again today. It is true that, unfortunately, there has been new violence since we had consultations. I have said before that this has been brought to the UN Security Council by the Netherlands and that, instead of escalating, both parties should call for reflection, look up the negotiating table again and investigate their own actions. Against this background, I will give an opinion on the motions tabled and a number of supplementary questions. Mr De Roon's motion for a resolution 450 calls on the government not to spend any money and effort on the two-state solution. I strongly advise against that. It is the only real solution which, fortunately, has been supported internationally. On the contrary, it would help a great deal if, from both the Israeli and the Palestinian sides, there were serious work to be done. The De Roon motion in part No. 451 calls on the government to support the Israeli fight against terrorists. I have indicated earlier that it may in itself be justified for a state to use force to defend its borders. The large number of deaths and injuries at the border between Israel and the Gaza Strip is imposing a heavy obligation on Israel to show in a proper investigation whether it has acted properly. I think that research is very important and will start to read it critically. Without that investigation, I'm not going to support a motion like this. So I advise against this motion. The third motion tabled by Mr De Roon, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 452, on the contrary, asks the government not to support an investigation. I am in favour of an investigation on both sides: an Israeli investigation that critically examines the role of Israel, and a Palestinian investigation that investigates the role of the Palestinians. I do not think it is right to call for an investigation on the Israeli side. This motion I must advise against. The fourth motion tabled by Mr De Roon, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 453, asks the government to move the embassy to Jerusalem. I'm gonna have to dissuade them, too.
ParlaMint-NL_2018-05-31-tweedekamer-11.u57	Mr. Bishop? It concerns Mr De Roon's motion.
ParlaMint-NL_2018-05-31-tweedekamer-11.u58	That's right, that's what I saw. Mr De Roon is not here and it is about the interpretation of the motion in part No. 452. It is not a question of not conducting an investigation but of ensuring that a one-sided investigation is carried out. That might make the appreciation of the motion something else.
ParlaMint-NL_2018-05-31-tweedekamer-11.u59	How do you know that? Your name's not under it.
ParlaMint-NL_2018-05-31-tweedekamer-11.u60	When I read this motion, it will include the investigation that I want: that Israel is investigating its own actions. I cannot help saying that this is a one-sided investigation, because it is a rule of law that investigates the actions of one's own army or other forces. I believe that this is the task of a rule of law; we do so in the Netherlands. I can't support this motion and I have to dissuade her. The motion in part No. 453 I must also advise against. Before there is a definitive solution, it would be very unwise to move the embassy to Jerusalem. Mr Sjoerdsma asked first of all whether I know why Israel does not want containers to pass, while the Netherlands has provided scanners to promote exports from Gaza. Israel argues that it still has safety concerns and wants to be able to take samples. The aim of the Netherlands remains to achieve enlargement and to allow containers after inspection by the scanner, as is done on the Allenby Bridge.
ParlaMint-NL_2018-05-31-tweedekamer-11.u61	Does the agreement between the Netherlands and Israel state that Israel undertakes to let the container scanners through if they are fully operational?
ParlaMint-NL_2018-05-31-tweedekamer-11.u62	I don't know by heart. I have to come back to that in writing.
ParlaMint-NL_2018-05-31-tweedekamer-11.u63	Good.
ParlaMint-NL_2018-05-31-tweedekamer-11.u64	Yes. Then Mr Sjoerdsma asked about the discussions that my people are having on the basis of Mr Sjoerdsma's motion and Mr Voordewind's motion to explore the possibility of a corridor between the Gaza Strip and the West Bank. A number of discussions have been held on this subject. The picture is, unfortunately, that a physical corridor is not possible at the moment, but we are carefully exploring whether it will at least be possible to allow the transport of goods and persons from Gaza to Westbank and vice versa. I hope to be able to come up with a positive answer, and I would ask for a little patience from the Chamber to give my people a chance to move on. Then Mr Sjoerdsma noted, as I did in my response, that unfocused shelling from the Gaza Strip was unacceptable to Israeli citizens. He asked why I didn't condemn the use of force at the border. I would far from deny that the Netherlands would not be prepared, if there were any reason to do so, to make a critical assessment of Israel as well. When it comes to building new settlements, we do. As far as the use of force is concerned, I have indicated in several debates today that I really want to have the investigation first and will follow it very critically, but that I will not be able to make a judgment until then. In this situation, the situation is really different from being able to see that civilian targets have been shot at, without any pressure on the border. Mrs Karabulut has tabled a number of motions, the first of which, in part No. 454, the same question raised by Mr Sjoerdsma. I have to discourage them for the same reason.
ParlaMint-NL_2018-05-31-tweedekamer-11.u65	Why is it said when it comes to the Israeli attacks on civilians or peaceful demonstrators 'we cannot condemn, we must wait for the Israeli army's investigation', and does the Minister himself, proactively, come forward with a statement to condemn the missile bombings? At the very least, could the Minister at least ask the Palestinian Authority to carry out research there before coming up with a statement? Why measure this with double standards?
ParlaMint-NL_2018-05-31-tweedekamer-11.u66	I just said that, but I'd be happy to repeat that. When the border of a country is attacked, a country ultimately has the right to use force if it is really necessary. Whether that's right here, that's why I need that investigation. When it comes to shelling, we can actually see that civilian targets have been shot at. It wasn't like thousands of people were walking down a line, but there were people living in houses and children going to school, and yet they were shot at. That's just a very factual difference. I notice that this debate is constantly looking at: are you well-balanced, and I understand that, but you must always look at the facts. You can't say: if you're gonna make a judgment on one, then you're gonna have to make a judgment on the other. That really depends on every fact. I have said every time in this debate that both sides are in any case much to blame, because of the tone in which the riots are being dealt with, from both sides. If investigations are not carried out, there is a great deal to blame for this. But to cross one against another: you say something about one, then you have to say the same about the other, that doesn't contribute anything.
ParlaMint-NL_2018-05-31-tweedekamer-11.u67	Finally, Mrs Karabulut.
ParlaMint-NL_2018-05-31-tweedekamer-11.u68	Yeah, finally. The Minister here illustrates why Israel gets away with a blockade every time, gets away with expanding the settlements and gets away with shooting civilian targets. For if the Minister really wanted to have a balanced picture and really wanted to treat the parties equally, if those parties are not equal, then the Minister would also look at what exactly preceded it.
ParlaMint-NL_2018-05-31-tweedekamer-11.u69	Sure, we're investigating that, too.
ParlaMint-NL_2018-05-31-tweedekamer-11.u70	I've read all kinds of messages. I condemn the violence from the Israeli side, as well as the missile bombings, but I also read that they were a reaction to earlier shellings, bombings, from Israel to Gaza. Why, then, does the Minister refuse to ask for an investigation to do so? This is just double standards, letting Israel get away with violence and violating international law every time.
ParlaMint-NL_2018-05-31-tweedekamer-11.u71	This is going to be a repeat of moves. The next motion by Mrs Karabulut, which was tabled in part No. 455, is about the position of minor prisoners in Israeli detention. The motion calls once again on the government to urge Israel to put an end to violations of the rights of minors and calls on the government, if there are no results in this area, to seek international support for increasing pressure to take measures to protect the rights of Palestinian minor prisoners in Israeli detention. I indicated in the debate that I too have concerns about the way in which minors are treated. This also applies: it is not prohibited in general, but it does require a great deal of attention under international conventions. I can therefore leave this motion to the judgement of the Chamber. Then there is Mrs Karabulut's next motion. 456, which calls on the government to urge Israel to lift the blockade immediately, in a sustainable manner and without conditions. The Dutch Government would very much like to see the blockade lifted, but the addition 'directly and without conditions' ignores the fact that there are also security concerns on the part of Israel, because there has just been another shelling. So the immediate end of this blockade without conditions, unfortunately, is yet another unbalanced appeal, and that is why I must discourage this motion.
ParlaMint-NL_2018-05-31-tweedekamer-11.u72	Very briefly, Mrs Karabulut.
ParlaMint-NL_2018-05-31-tweedekamer-11.u73	I have thought that I agree with the text used by the EU, but I am quite prepared to amend the operative part, namely 'calls on the government to insist on Israel that the blockade be lifted in a sustainable manner'. Because, of course, safety conditions must also be met. That is obvious, but this is the wording used by the EU.
ParlaMint-NL_2018-05-31-tweedekamer-11.u74	I do not have the EU wording in front of me, but if there is a new wording, I will put it next to the EU wording.
ParlaMint-NL_2018-05-31-tweedekamer-11.u75	Then I will go through the officials to discuss this and the EU wording, because if it is right, the Netherlands is just underneath it.
