ParlaMint-NL_2018-12-05-tweedekamer-3.u1	We're gonna start soon, 'cause... The first speaker is Mrs Ouwehand.
ParlaMint-NL_2018-12-05-tweedekamer-3.u16	Well, my judgment has been dissuaded. I am not saying that the Finance Minister would suddenly have a different opinion on this. Then I suggest to Mrs Ouwehand that, if she wants to have a judgment from the Minister of Finance, she simply submit it to him.
ParlaMint-NL_2018-12-05-tweedekamer-3.u17	There's already a judgment.
ParlaMint-NL_2018-12-05-tweedekamer-3.u18	Yes. I gave a judgment, but if she specifically wants an opinion from the Minister of Finance, I would advise her to bring this up with him once.
ParlaMint-NL_2018-12-05-tweedekamer-3.u19	But the cabinet speaks with one mouth.
ParlaMint-NL_2018-12-05-tweedekamer-3.u20	Sure, so I don't think he'll come to another judgment either. But if she specifically wants to hear it again from him, I think that was the question, then she should do it there. The same applies to the second motion, in part No. 1006. So she should have asked the Minister of Finance for the debate and not so much Minister Kaag. Minister Kaag is about trade policy and the Minister for Finance is about funding. So for those reasons, too, I advise against this motion.
ParlaMint-NL_2018-12-05-tweedekamer-3.u21	This is where a difference of opinion begins to arise. We specifically asked for written consultations on this subject, because we saw that there were two leaders involved, the Minister of LNV and the Minister for Foreign Trade. We didn't call them to the Chamber, we did it in writing. So we have not entrusted the cabinet with a general consultation, but we have done it in writing. But at the end of the debate, it is useful that the trade policy, which Mr Kaag is referring to, can be well explained by this minister, or that the cabinet sends a delegation to answer this question. So I think this is getting a little faint. It's in trade policy. Then Minister Kaag can say that she should also consult with the Minister of Finance, but she is responsible for trade policy. Those export credit insurances are also in her basket.
ParlaMint-NL_2018-12-05-tweedekamer-3.u22	Yeah, and I'm right here. That's kind of the conclusion.
ParlaMint-NL_2018-12-05-tweedekamer-3.u23	Mr President, I would like to look at you. The cabinet itself announced that it would ignore the request of the Chamber to have both directors here and send one minister. Then the rule is that the minister who is sent can cover the whole package. Would you like to confirm that?
ParlaMint-NL_2018-12-05-tweedekamer-3.u24	I would like to confirm that in a way, but the cabinet is always about its own delegation. So when the minister speaks here again, the cabinet speaks with one word of one word, it is up to the minister to come up with a judgment.
ParlaMint-NL_2018-12-05-tweedekamer-3.u25	Will we then find that the use that the minister who is being sent can also say something about the other portfolio because otherwise you will send them both here has not been complied with and that this is not convenient for the proper assessment of the motions?
ParlaMint-NL_2018-12-05-tweedekamer-3.u26	That is an observation. I would point out that trade policy really lies with another department. But let me also go into the content. Maybe that'll help Mrs. Ouwehand a little bit. It should no longer contribute to the construction of the livestock industry, as I think the word is a bit presumptuous, for me too, would be a reason to discourage this motion in substance. The third motion, tabled by Mrs Bromet, to item No. 1007, is about an imvo-convenant with as part of animal welfare. Recently, I also concluded an imvo agreement with the foodstuffs. Part of that improv agreement is animal welfare. So there's a piece of animal welfare in there. Mrs Bromet asks me if I want to talk to the Dutch suppliers. It's not like they're very centrally organized. I would like to ask whether it is something for them to participate in, but that is more a request from me to think about it and not as something that should lead to a result obligation. If that's the wallet of the motion, I can give her a ruling room. Let me put it this way: I'd like to make that call. But there is an imvo-convenant in which animal welfare is already present. Well, that's the point, as far as I'm concerned.
ParlaMint-NL_2018-12-05-tweedekamer-3.u27	That is exactly what the motion says: 'calls on the government to enter into talks'. And a phone call is a call, so that's how the Minister can explain that motion.
ParlaMint-NL_2018-12-05-tweedekamer-3.u28	I'm gonna make a phone call if the Chamber adopts this motion, anyway. So I can promise. Then it's judgment room.
ParlaMint-NL_2018-12-05-tweedekamer-3.u29	Judgment Room. Very good.
ParlaMint-NL_2018-12-05-tweedekamer-3.u30	So much for this VSO. We shall vote on these three motions on Tuesday.
