ParlaMint-NL_2018-11-06-tweedekamer-27.u1	We're ready for the VAO Mining. I give the floor to Mr Wassenberg on behalf of the Animal Party.
ParlaMint-NL_2018-11-06-tweedekamer-27.u12	Thank you, Mrs Agnes Mulder. I now give the floor to Mrs Beckerman on behalf of the SP.
ParlaMint-NL_2018-11-06-tweedekamer-27.u13	Thank you, Mr. Chairman. The first motion is about the non-definement of mining damage. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Roermond Court ruled that the mining damage suffered by two residents of the municipality of Kerkrade was not subject to a limitation;]] [[Whereas the Minister would use this pilot process as a guide for further decision-making;]] [[noting that it is not possible to establish where damage has occurred;]] [[calls on the Government to stop using the limitation period and to ensure that all mining losses and depreciation of the houses are reimbursed fairly;]] [[requests, furthermore, that no appeal should be made and that an action for damages should be brought for the rest of the Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-143]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u14	Then my next motion, about Farmsum. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that several incidents took place at the tank park of the NAM in Farmsum last year;]] [[Considers that the population has been exposed several times to increased or excessive concentrations of benzene;]] [[considers that the NAM is not so close to the safety requirements;]] [[considers that no risks should be taken with such dangerous and toxic substances;]] [[Whereas all the activities of the NAM cost the province money and produce virtually nothing;]] [[calls on the Government to draw up a phasing-out plan for all NAM activities in Groningen,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman, Mr Wassenberg and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-144]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u15	Then there's a motion for a plan for salt extraction. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that salt extraction can also lead to earthquakes;]] [[noting that there is talk of risks related to the origin of sinkholes;]] [[Whereas, for example, there are stacked mining operations in Groningen;]] [[Whereas the effects of stacked mining have not yet been identified;]] [[calls on the Government to draw up a phasing-out plan for salt extraction in the Netherlands, which will stop stacking mining in the very short term and submit this plan to the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-145]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u16	I have 35 seconds before the final motion, about big companies off the gas. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas large, polluting companies are not yet taking so much action to get rid of the Groningen gas;]] [[Considers that precisely these polluting companies can make a relatively large contribution to turning off the crane in Groningen;]] [[calls on the Government to impose sanctions on those companies which are not committed to abandoning the gas for the benefit of the company which is the first to be fully sustainable,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman, Mr Nijboer and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-146]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u17	I've got 11 seconds left, but I'll leave it.
ParlaMint-NL_2018-11-06-tweedekamer-27.u18	Thank you. Mr Sienot on behalf of D66.
ParlaMint-NL_2018-11-06-tweedekamer-27.u19	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[considers that safety in salt extraction should be paramount;]] [[noting that State surveillance of the Mines concludes that the use of diesel oil in salt extraction can lead to environmental pollution and that alternatives should be sought;]] [[Whereas it is undesirable to use diesel oil under the Wadden Sea;]] [[calls on the Government, in consultation with the companies concerned, to make efforts to phase out diesel oil in salt extraction by 2021 or otherwise as soon as possible, and to encourage alternatives to be found,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sienot, Mr Wassenberg and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-147]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u20	Thank you, Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Wadden Sea is a unique nature reserve and has world heritage status;]] [[noting that the use of diesel for salt extraction entails risks;]] [[calls on the Government not to allow the use of diesel for salt extraction under the Wadden Sea,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the NAM owns only one clearing tower for the rehabilitation of old mining areas;]] [[Whereas this may take a long time to dispose of a mining site;]] [[calls on the Government to urge the NAM to purchase additional clean-up drills to clean up old mining areas and to encourage salt extraction companies to increase their capacity to clean up,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-148]] [[This motion has been proposed by Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-149]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u21	Thank you.
ParlaMint-NL_2018-11-06-tweedekamer-27.u22	Thank you, Mr. Van der Lee. I now give the floor to Mrs Yeşilgöz-Zegerius on behalf of the VVD Group.
ParlaMint-NL_2018-11-06-tweedekamer-27.u23	Thank you, Mr. Chairman. I can be very brief, because Mrs Mulder has already asked the question which the VVD Group would like to ask. It concerns the ruling of the judge in Limburg on the limitation period for damage there. The judge turned that down. I would very much like a response from the Minister. I understand there's already a letter inside, but I haven't been able to read it properly. I think it would be good if we could give everyone in Limburg a clear picture of the state of play and how we will deal with this. Thank you.
ParlaMint-NL_2018-11-06-tweedekamer-27.u24	Thank you, Mrs Yeşilgöz. Finally, Mr Nijboer on behalf of the PvdA.
ParlaMint-NL_2018-11-06-tweedekamer-27.u25	Thank you, Mr. Chairman. First of all, I have a question for the Minister. At first I thought "I ask written questions," but then I thought: I see him in this debate, so maybe he can answer them. Today, I received a message from ENGIE that too much low-caloric gas would be exported to France and Belgium, that there would be unnecessary disposal and that the gas would then be converted into high-caloric gas. I was shocked by that, so I thought: I can ask you in writing, but I can also ask the Minister directly; if that is not true, he can get rid of those rumours directly and if it is true, I ask him to find out immediately and to stop immediately. Mr. Chairman. Then I'll come to my motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are people facing stacked mining, such as gas extraction and/or salt extraction;]] [[Whereas they are sent from the cabinet to the wall;]] [[calls on the Cabinet to ensure that people suffering damage from stacked mining have the same rights as those affected by gas extraction in Groningen,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-150]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u26	Thank you, Mr. Chairman.
ParlaMint-NL_2018-11-06-tweedekamer-27.u27	Thank you. The last motion has yet to be copied. I'm suspending the meeting for two minutes.
ParlaMint-NL_2018-11-06-tweedekamer-27.u28	I'll give the Minister the floor.
ParlaMint-NL_2018-11-06-tweedekamer-27.u29	Mr. Chairman. I'm walking away from the motions. As I think I had an exchange of views in the debate, including with Mr Wassenberg, on the measurement programme for methane emissions SodM. It may be from that advice that exactly the portee of this motion comes, but I'm not sure. I'd like to see the SodM advice for that first. I should like to suggest to Mr Wassenberg that the motion on item No. Debates of the European Parliament Otherwise, I'm gonna have to dissuade her, because I can't anticipate any advice I don't have yet. The motion in part No. 141 calls on the government to take the wishes of those concerned seriously and not to start. Taking the wishes of those concerned seriously means, first of all, that, as far as I am concerned, we must go into the procedure. This whole environmental process is going on for over a year. Boren is not at all the first year or even the first years. My wish is to end the procedure normally, and I therefore advise against this motion. Then the motion to part No. 142 on a ban on all gas extraction in and around the Wadden Sea. There are clear passages about this in the coalition agreement. I'm gonna stick with that, and that means I'm gonna have to discourage this motion. Then there is Mrs Mulder's question as to what is going on with this ruling and whether I should appeal against it. That could be for reasons of principle at most, because of course it has a very great significance and runs counter to something very fundamental. But regardless of any profession and regardless of its outcome, these people must now be compensated for their damage. So even if there were an appeal and if that were to be won, I now believe that these people who have fought for this should be compensated for their damage. And about what to do, I'm just still thinking. This ruling is far-reaching. That doesn't mean we don't have to do anything with that, but I'm not shaking it out of my sleeve right now.
ParlaMint-NL_2018-11-06-tweedekamer-27.u30	Brief question, Mrs Agnes Mulder.
ParlaMint-NL_2018-11-06-tweedekamer-27.u31	Does the Minister mean, to be very precise, that this compensation comes from the Guarantee Fund?
ParlaMint-NL_2018-11-06-tweedekamer-27.u32	Yes.
ParlaMint-NL_2018-11-06-tweedekamer-27.u33	Thank you for this clear commitment.
ParlaMint-NL_2018-11-06-tweedekamer-27.u34	Proceed, Minister. Do you have another question about a motion, Mr. Wassenberg?
ParlaMint-NL_2018-11-06-tweedekamer-27.u35	Yes. I've been wiggling and weighing for a while. At the motion in part No. 140 says the minister that he betrays them, because he has asked the SodM to investigate. Can he indicate at what time he expects a reply from SodM? I have another week to hold the motion, but I would like to know at what time we know something about it.
ParlaMint-NL_2018-11-06-tweedekamer-27.u36	I think that's a reasonable demand. I think it's useful to send a letter on some things anyway. I thought Mr Amhaouch also had a desire, so let us try to take these two things in a note and send them away as soon as possible.
ParlaMint-NL_2018-11-06-tweedekamer-27.u37	What are you doing with the motion in part No. 140, Mr. Wassenberg?
ParlaMint-NL_2018-11-06-tweedekamer-27.u38	I'm not gonna hold on to that for a while. I've got a week left for that. That letter is important to me, but I will go to the group to discuss what we are doing with it. Thank you.
ParlaMint-NL_2018-11-06-tweedekamer-27.u39	That's good.
ParlaMint-NL_2018-11-06-tweedekamer-27.u40	Then the motion to part No. 143 of Mrs Beckerman's request not to appeal. I haven't figured that out yet. I also want the freedom to think about it.
ParlaMint-NL_2018-11-06-tweedekamer-27.u41	Mrs. Agnes Mulder has a question first.
ParlaMint-NL_2018-11-06-tweedekamer-27.u42	Yes, Mr. Chairman. Thank you. I had also asked a question about a motion that had been tabled before. Is the Minister going to deal with that at a later date?
ParlaMint-NL_2018-11-06-tweedekamer-27.u43	No, sorry. Well, I guess we're gonna have to do that now.
ParlaMint-NL_2018-11-06-tweedekamer-27.u44	What motion was that?
ParlaMint-NL_2018-11-06-tweedekamer-27.u45	That's a motion from me that I've held because we'd be waiting for the verdict. It asks the Government to take care of the damage caused by mining activities carried out by natural persons at their request also to grant compensation to the Guarantee Fund for mining damage if such action for compensation for damage is subject to a statute of limitations. Is that what the Minister wants to look at further?
ParlaMint-NL_2018-11-06-tweedekamer-27.u46	That's what I'm still considering. I think I said that before: wait for the verdict, hold on to it for a while. I would ask Mrs Mulder to hold on to this until I come up with an opinion on how we are going to proceed with this.
ParlaMint-NL_2018-11-06-tweedekamer-27.u47	And do you know within what time limit?
ParlaMint-NL_2018-11-06-tweedekamer-27.u48	No. I don't know yet, because I've just started considering it. It came from the press yesterday, I guess, so I can't say exactly yet.
ParlaMint-NL_2018-11-06-tweedekamer-27.u49	Can you take that with you in the letter to the Chamber?
ParlaMint-NL_2018-11-06-tweedekamer-27.u50	I'll take that with me in the letter. Then we already have three things for the letter. Mrs Beckerman and Mr Wassenberg put questions in the motion on item No. 143 not to appeal. I'm still considering that. I would support the second part of the sentence, by the way, but with that I have to discourage this motion at the moment. Then the motion to part No. 144, about Farmsum.
ParlaMint-NL_2018-11-06-tweedekamer-27.u51	In fact, I would suggest that the Minister deal with all the motions and that you have the floor, Mrs Beckerman.
ParlaMint-NL_2018-11-06-tweedekamer-27.u52	The motion in part No. 144 and the motion in part No. 145 are very rigid motions to stop everything. I'm gonna have to dissuade both of them. The motion in part No. 146 by Mrs Beckerman asks for sanctions to be imposed on companies. However, I would like to say that I will very soon decide whether it is necessary to give some legal support and to have some less non-binding instruments to allow companies to switch to other gas or to make it more sustainable. I haven't quite figured that out yet. I'm still working on that. A letter should be sent very soon. I still have to discourage the motion here, because I haven't figured out the form yet. As far as I am concerned, these sanctions are not currently being discussed. She could also hold the motion.
ParlaMint-NL_2018-11-06-tweedekamer-27.u53	On the motion on mine damage in Limburg: you say very easily that you are still thinking about that appeal. That kind of stings us a little bit. These people have been waiting a long time. Of course, it's not just about these two people. This was a trial. That is what we are waiting for. And now you're actually saying, "I'm thinking about getting people to wait and see." What do you care now to give our motion judgment Chamber and not appeal?
ParlaMint-NL_2018-11-06-tweedekamer-27.u54	It's very fresh. It has enormous consequences. The consequences for the people involved, I just want to make sure. Those people are just gonna get paid for the damage.
ParlaMint-NL_2018-11-06-tweedekamer-27.u55	There's two of them.
ParlaMint-NL_2018-11-06-tweedekamer-27.u56	Yeah, that's true, but the consequences aren't small. So I really just need to think about this, but I will consider this as an incentive.
ParlaMint-NL_2018-11-06-tweedekamer-27.u57	But this is a very vague answer, "the consequences are great." Yes, of course. These people have been in harm's way for a long time. Not only the two who have now won their cause, with which I warmly congratulate them...
ParlaMint-NL_2018-11-06-tweedekamer-27.u58	Me too.
ParlaMint-NL_2018-11-06-tweedekamer-27.u59	... but a lot more people. I really can't tell from the Minister's words why we should wait any longer and leave people in uncertainty any longer. I just don't understand.
ParlaMint-NL_2018-11-06-tweedekamer-27.u60	Because it has very big consequences and the pronunciation is still very fresh. They need some time to think about it.
ParlaMint-NL_2018-11-06-tweedekamer-27.u61	Please continue.
ParlaMint-NL_2018-11-06-tweedekamer-27.u62	I ended up at the motion in part No. ...
ParlaMint-NL_2018-11-06-tweedekamer-27.u63	147.
ParlaMint-NL_2018-11-06-tweedekamer-27.u64	Yes, in part No. 147: "the phasing-out of diesel oil by 2021 or otherwise as soon as possible'. I would like to thank Mr Sienot for his cautious reasoning, which is, at the same time, an incentive. I'll leave the judgment room. A little less careful is the motion in part no. 148 by Mr Van der Lee, I think. If we did that immediately, it would have no negative environmental consequences. Then the salt and any additives reach the other layers of the earth, so immediately that is unwise. But if Mr Van der Lee wishes to express himself as carefully as the predecessor, then I can live with that. But the motion in this form I must advise against. The motion in part No. 149 by Mr Van der Lee. The Dutch environmental policy is designed so that you try to make the reorganisations as much as possible compatible with business operations and that you only embrace a higher pace where it is risky or requires more urgency. That is not the case at the moment. The tempo as it is, therefore, does not require a second clean-up tower. The question about...
ParlaMint-NL_2018-11-06-tweedekamer-27.u65	What about judgment?
ParlaMint-NL_2018-11-06-tweedekamer-27.u66	I'm sorry, I'm deceiving the motion.
ParlaMint-NL_2018-11-06-tweedekamer-27.u67	On the first motion, I have one more question. So that's about the diesel. You also promised me a letter. The D66 motion refers to 2021 or beyond. I think that's gonna take me a long time. Is there not a possibility that research carried out by SodM and the sector shows that diesel can be replaced more quickly by an alternative? SodM already mentions nitrogen. Can we then reach an earlier date when diesel should not be used for salt extraction under the Wadden Sea?
ParlaMint-NL_2018-11-06-tweedekamer-27.u68	It's quite possible that's from the investigation, but I don't have it yet. As soon as the investigation comes, let's look at it with some sense and see what we can do. I believe that there are not many fans in this Chamber of the abundant use of diesel oil underground or under the Wadden Sea. That is really not the case. But it has to be possible. That's what I'm waiting for. By mid-2019, that research could be there, and perhaps earlier. Then it might turn out that it's easier than we think, and then maybe the date can come forward as well. But I don't know yet.
ParlaMint-NL_2018-11-06-tweedekamer-27.u69	Finally, Mr Van der Lee.
ParlaMint-NL_2018-11-06-tweedekamer-27.u70	Then I'm gonna hold the motion.
ParlaMint-NL_2018-11-06-tweedekamer-27.u71	The motion in part No. 149?
ParlaMint-NL_2018-11-06-tweedekamer-27.u72	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
ParlaMint-NL_2018-11-06-tweedekamer-27.u73	At the request of Mr Van der Lee, I propose his motion (22849, No. 148). That is what is decided.
ParlaMint-NL_2018-11-06-tweedekamer-27.u74	Thank you for that.
ParlaMint-NL_2018-11-06-tweedekamer-27.u75	I would like to make a comment on the motion for a resolution on item No. 149. The Minister cannot ignore the fact that the NAM has a huge reputation problem in the Netherlands. This is due, among other things, to the fact that certain areas that have been waiting a long time for rehabilitation are not being repaired very quickly. You can look at that very rationally and say: it will come in the long term and there is no rush. But I think that haste is in order to do something about the reputation of the NAM. Can I appeal once again to the Minister to take that aspect into account in his assessment of this motion?
ParlaMint-NL_2018-11-06-tweedekamer-27.u76	We are not going to re-evaluate the Dutch environmental policy on the basis of this motion. I'm not the keeper of the image of the NAM either. I have no problem conveying this wish to them, if they do not already know that wish. But I'm not gonna take responsibility here for the image of the NAM. That's what they're really about. We are dealing with Dutch environmental policy.
ParlaMint-NL_2018-11-06-tweedekamer-27.u77	Finally, Mr Van der Lee.
ParlaMint-NL_2018-11-06-tweedekamer-27.u78	I hear the Minister making a promise that he wants to convey the wish. I would also like to hear what the reaction of the NAM is. Then I'll hold the motion until then.
ParlaMint-NL_2018-11-06-tweedekamer-27.u79	Good. I'll let Mr Van der Lee know.
ParlaMint-NL_2018-11-06-tweedekamer-27.u80	At the request of Mr Van der Lee, I propose his motion (22849, No. 149). That is what is decided.
ParlaMint-NL_2018-11-06-tweedekamer-27.u81	I don't know the answer to the ENGIE question. He came by earlier. This played a year ago; about the same question. I think there was no mention of this phenomenon at the time, but I will check it precisely, also according to the last stand. We are very busy with all kinds of countries to bring down gas demand, where it is low-caloric. I don't think we have another agenda there. But you can do that in the same note. Then the motion to part No. 150 by Mr Nijboer: calls on the cabinet to ensure that people affected by stacked mining have the same rights as those affected by gas extraction in Groningen. Look, we said that if cases of potentially stacked mining are reported at the Groningen window, we will then, as far as they live in Groningen, perform a one-stop shop function. But the same rights are not the case at any rate on an important point. It's about the suspicion of evidence. Of this, the cabinet has previously indicated that this is really reserved for the situation in Groningen, because it is very special. We don't want to use that nationwide. With that, I cannot give this motion a ruling Chamber. If it is Mr Nijboer's concern that there is a fragmentation of work, then I would like to remove that concern.
ParlaMint-NL_2018-11-06-tweedekamer-27.u82	Suppose you live in Kiel-Windeweer, you have damage and they say it's from salt extraction and not from gas extraction. Is that a reversal of the burden of proof? That's the problem. Then you're back in the same situation as a resident. Then reference is made to the Nedmag. Then those people are in the same mess. Hence this motion.
ParlaMint-NL_2018-11-06-tweedekamer-27.u83	The people in Groningen who suffer damage due to possible salt extraction are in the same position as anywhere else in the country. Where the potential influence of gas extraction is concerned, the Groningers are in a better position when it comes to legal status and a worse position when it comes to seismicity. I think that Mr Nijboer and I are in complete agreement. That is the situation as the cabinet intended. In stacked mining, you can't speak of the same rights when it comes to salt extraction... Sorry. Let us put it this way: the salt rights are not equal to the gas rights in Groningen, because that is a superior position. It is also deserved and perfectly logical. There's no discussion about that at all. But those are not the rights that everyone has. This group has more guarantees. That is what we have chosen to do. That's why I can't give this motion judgment Chamber.
ParlaMint-NL_2018-11-06-tweedekamer-27.u84	Thank you. This brings us to the end of this VAO.
ParlaMint-NL_2018-11-06-tweedekamer-27.u85	We will vote on the motions tabled next Tuesday.
