ParlaMint-NL_2018-12-20-tweedekamer-5.u1	The next item is a VAO Ggz, with Mrs Agema of the PVV as the first speaker.
ParlaMint-NL_2018-12-20-tweedekamer-5.u12	The motion was created on the basis of an incident, on which it was later stated that the government's first reaction was not very happy. I believe that this has now been widely endorsed and that it will be prevented in the future. Once again, because of the legal implications of Mrs Agema's motion, we cannot support it.
ParlaMint-NL_2018-12-20-tweedekamer-5.u13	Thank you, Mrs van den Berg. I now give the floor to Mrs Diertens of D66.
ParlaMint-NL_2018-12-20-tweedekamer-5.u14	Thank you, Mr. Chairman. Thank you for the thorough debate we had with the Secretary of State. I hope, therefore, that the Secretary of State will take our call seriously to really take control of this divided sector. Another point I made in the AO is the inconsistent regional classification for support for people with confused behavior. Local authorities are free to work with whoever they want. Let me stress that. But vulnerable people must not suffer the consequences. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the regional classification in the Netherlands, including in the relevant regions for dealing with the problem of people with confused behaviour, has a high degree of inconsistency;]] [[Whereas such inconsistency may lead to problems for people with confused behaviour and their relatives looking, for example, at care, safety, housing and work;]] [[Considering that in their final reporting published in September 2018, the Interchange Team for Persons with Confused Behaviour also raises the inconsistency of the regional classification and recommends that the government take the security regions as its starting point;]] [[believes that municipal autonomy is a great asset but that residents should not suffer from an inconsistent regional classification;]] [[calls on the government to maintain the security regions as much as possible in its further approach to the problem of people with confused behaviour;]] [[Invites the Government, together with the VNG and other relevant parties, to remove obstacles to care and support for persons with confused behaviour arising from an inconsistent regional classification and to inform the Court about this in the next progress report on the approach of confused persons,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Diertens, Mr Den Boer, Mr Van den Berg, Mr De Lange and Mr Renkema.]] [[She's getting No. kst-25424-444]]
ParlaMint-NL_2018-12-20-tweedekamer-5.u15	I give the floor to the Secretary of State.
ParlaMint-NL_2018-12-20-tweedekamer-5.u16	Thank you, Mr. Chairman. I'll go over the motions in the order in which they were filed. I'll start with the motion in part No. 436 by Mrs Agema. It will not surprise her, but it will also surprise the Chamber, that I am again giving this motion the predicate judgment Chamber, because Mrs Agema really has a point here. In the interrupting debate with Mrs van den Berg, she has just explained why she is bringing forward this proposal and, as far as we are concerned, that is acceptable.
ParlaMint-NL_2018-12-20-tweedekamer-5.u17	So the motion in part No. 436 gets judgment again, Chamber.
ParlaMint-NL_2018-12-20-tweedekamer-5.u18	Then the motion to part No. Mr Hijink asked to examine how and to what extent socio-psychiatric nurses could play a role in the oggz. I would like to say a few words about this. On the basis of the Wmo, the oggz is a task of the municipalities. From my experience as an alderman, I know that municipalities are serious about this too. If they don't, they should. I have reminded the municipalities that do not fill that in a letter this year. In my ideal picture, I believe that Mr Hijink wholeheartedly supports this too, there should be a very good connection between mental health care at local level, in a professional team or otherwise, and the social neighbourhood teams. Even more beautiful is it when people from the ggz are represented on the social district team and are allowed to indicate with it. Because that is what is happening; we have good examples of this. That is the case in my home town of Apeldoorn, but also in The Hague, for example. I was at work visiting Parnassia. From Parnassia, people with this title are employed in social neighbourhood teams, funded from the municipality. They can therefore help to organise the best possible access. I think that is what Mr Hijink is trying to do. But when he asks "to what extent" in the operative part, it seems as if that should be the case everywhere, when we cannot prescribe it on the basis of the Wmo. So I'm having trouble with that. I would like to add two more things as an appreciation. May I direct the motion in such a way that it says here: does the government request to investigate whether social psychiatric nurses...? And then it says: inform the Chamber about this in spring 2019. I will have a few more motions to comment on from which really huge amounts of work result. So if the time limit is to move up a little bit and if the appreciation is allowed to go a little wider by means of the word 'or', so that we also have a national picture of how it is handled at local level, then I could link the predicate judgment Chamber to the motion. If Mr Hijink wants to leave what it says, I would advise against the motion.
ParlaMint-NL_2018-12-20-tweedekamer-5.u19	That's something I can talk to you about. But "to what extent" could also mean "not at all." So you could just leave it "to what extent." But I wouldn't mind making it "or." I don't care about any of that. Is the summer of 2019 a viable map?
ParlaMint-NL_2018-12-20-tweedekamer-5.u20	I understand that you want to be clear about this very quickly, but there are other motions that are going to be asking for action in the spring. It's just summer. What if we make it "as soon as possible, but at least in 2019"?
ParlaMint-NL_2018-12-20-tweedekamer-5.u21	There's a negotiation going on here. Mr. Hijink.
ParlaMint-NL_2018-12-20-tweedekamer-5.u22	Yeah, let's do that. I will include the promise that it will happen somewhere in the coming year.
ParlaMint-NL_2018-12-20-tweedekamer-5.u23	Then the qualification becomes: Judgement Room.
ParlaMint-NL_2018-12-20-tweedekamer-5.u24	Mr Hijink tabled this motion in modified form along the line that has just been discussed and then received a ruling from the Chamber. Then the motion to part No. 438.
ParlaMint-NL_2018-12-20-tweedekamer-5.u25	The motion in part No. 438 tabled by Mr Renkema, supported by Mr De Lange and Mr Van den Berg. I recognize a lot of the debate in this and Mr Renkema has thankfully built on it. I do have one thing left in the operative part, namely the passage 'per when'. I'd like to point out the motion, perhaps then we can come together. I did talk about a railroad book. I have talked about main treatment groups and regions and the fact that we want to have a look at them. That's the qualitative explanation of the NZa data. We want to see where the problems lie: in which regions and in which main treatment groups. That would have to follow some sort of railway book. By means of this booklet, I would like to say: what interventions are necessary, at what point? That's what I'm talking about by a railroad book. It says here: "per when these will be achieved." The latter, I'm having a really hard time with that, and I'm just saying that from realism. I simply know that there are also factors that I believe the Chamber also knows about which we have no influence or where we cannot intervene sufficiently. Take, for example, the labour market issue. There may be too few people in a region. Then I will be asked when you say: when will these objectives be met and we will be within these threshold standards? Unfortunately, part of it is not in our control. We're doing everything we can. I can describe that "by when" like that. Can you do that? In the qualitative assessment of the NZa data, I indicate how I deal with main treatment groups per region where problems exist, where there are still outside the threshold standards, and we do not want any of them to do so and what interventions are needed there and at what times they are being used. If I may explain the motion in this way, as far as I am concerned, it is up to the Chamber to decide. But if that "per when" is interpreted very strictly, then I'm just saying from realism that I'm being overasked. I can't live up to that, so I'm gonna have to dissuade the motion.
ParlaMint-NL_2018-12-20-tweedekamer-5.u26	I think we're gonna renegotiate. I would like to explain that by when. I think I understood the Secretary of State during the general consultation when he said he wanted to make a railway book on the basis of the report. It concerns me and the other proposers that targets are then linked to diseases and regions. It doesn't say "per when in 2019. " The analysis may show that there is a real shortage of specialists for a particular condition. That could be part of the analysis, and you can say, for example, that more people are needed, and mention when they are trained. The conclusion may then be that this target will be achieved by 2020. So I do not want to take that "per when" out of the motion, but it is not intended to say that all this must be done in 2019.
ParlaMint-NL_2018-12-20-tweedekamer-5.u27	Yeah, but "per when" can even lead to 2021, if you make a railway book. But even then I find it a very complicated point and that is really not unwilling on my part, because it is just very exciting. We all want, if there's a complex situation in a region, all hands on deck to solve the waiting lists. But if we say by region: "this is going to be second quarter 2020," "this is going to be third quarter 2020" or "this is going to be the last quarter of 2019," it will remain "by when." I think that's heading for the next defeat, and I don't want that. So "by when" can mean: when are what interventions at issue? They are, of course, aimed at getting to the bar standards as quickly as possible. By the way, we just got the quantitative NZa report. The figures are not entirely comparable, but this report shows that it looks better than before the summer, when it comes to waiting times. So there's still hope, hopefully. But if it is "by when" in Mr Renkema's explanation, then I will stick to my advice to discourage the motion, Mr President.
ParlaMint-NL_2018-12-20-tweedekamer-5.u28	With all due respect for the complexity, I maintain that "per when." The reason is that a realistic objective is also time-bound: is it 2019, 2020, or 2021? That's why I'm maintaining that wording.
ParlaMint-NL_2018-12-20-tweedekamer-5.u29	Agreed. Then the motion will be dissuaded.
ParlaMint-NL_2018-12-20-tweedekamer-5.u30	I still have a question for the Secretary of State to clarify. You're saying we're gonna get a railroad book. It also makes it clear in the regions where the problems lie. So there is actually a diagnosis, but I think the Chamber would also very much like to know when the disease will be treated. I believe that this motion calls for that to be made clear. How does the Secretary of State intend to send for a result, if you can't make that clear?
ParlaMint-NL_2018-12-20-tweedekamer-5.u31	I will stick to Mr De Lange's metaphor. You can zoom in more and more by region, by main treatment group: where are problems? If you have made that diagnosis right and have worked closely with each other, you can then say: these interventions are necessary, we need to step up our efforts, we need to speed up our efforts. Then you're gonna use that treatment. But with that treatment, we can't say the patient's better. In that moment. That's the hard part. So I'd like to make a heartfelt commitment. I see the urgency as much as you do, and perhaps more. I want to get rid of those waiting lists as much as you do. We have to sit on these trench standards. We've been out of that for far too long. It is not possible, however, to indicate very clearly that this will then end in the second quarter of 2020. I wish I could do that, but I'm afraid it'll be a defeat if I promise it that way. I admit, however, that we are going to send a plan of action to the Chamber per main treatment group and per region where there are still outside the barracks standards. That'll give some insight when we think that might be solved. But if we set a hard deadline, I can already see that, at the time of that hard deadline and due to external factors, we are still outside the threshold, we are having another complicated debate.
ParlaMint-NL_2018-12-20-tweedekamer-5.u32	We're going to the motion in part no. 439. The motion in part No. 438 is dissuaded from judgment.
ParlaMint-NL_2018-12-20-tweedekamer-5.u33	Yes.
ParlaMint-NL_2018-12-20-tweedekamer-5.u34	The motion in part No. 439.
ParlaMint-NL_2018-12-20-tweedekamer-5.u35	The motion by Mr De Lange and Mrs Van den Berg concerns the ANW services, i.e. the picket services for the crisis services in the ggz. It's a very sympathetic motion that is in line with what we want. But in the main agreement that we concluded this summer, we made similar or in line with this agreement. I would like to stress that, in my view, Mr De Lange knows that better than anyone, it is up to the profession itself to decide how to organise this re-registration. But you can assume from me that I am watching this very closely and that we are following closely the occupational groups that are in charge of arranging this. The verdict on this motion is up to the Chamber.
ParlaMint-NL_2018-12-20-tweedekamer-5.u36	The motion in part No. 439 gets judgment, Room.
ParlaMint-NL_2018-12-20-tweedekamer-5.u37	Then the motion to part No. 440 by Mr De Lange and Mrs Van den Berg on the physician assistants. The point has been raised by many political groups in general consultation. It is therefore no surprise that a motion for a resolution will be tabled. It is quite understandable in itself. We must realise, in my view, that the applicants are aware that this is the field to determine which profession can be used for and that the Health Care Institute finally regulates this after consultation of these professions. I think this is a good push in the back to get the PA, the physician assistant, on the retina. As far as I am concerned, it is up to the Chamber to decide on this motion.
ParlaMint-NL_2018-12-20-tweedekamer-5.u38	The motion in part No. 440 gets judgment, Room.
ParlaMint-NL_2018-12-20-tweedekamer-5.u39	Then the motion to part No. 441 over 13,000. If you take the motion literally, it says that we have to make concrete and measurable agreements per individual. I wouldn't want anything more, but that's a hell of a lot of work. I'd like to talk to those responsible about that. It is a kind of top 500 approach; I think we have said this before in the debate. I want to talk about this, but I'll give you the profit warning: 13,000 is a lot. It may well be necessary to focus on that again, but I will of course report it to the Chamber. If that 13,000 is standing up, "it's got to be one way or the other," then I'd like to advise against the motion. If Mr. De Lange says "go and talk about it and come back and say what can be done, where you can focus and which target groups with name and back number are dealt with as a priority," then I would like to carry out the motion with love and be the judge of the Chamber.
ParlaMint-NL_2018-12-20-tweedekamer-5.u40	The motion calls in particular for municipalities to be actively involved in this process. As far as I am concerned, the level of ambition may be high, because it is 13 000 people who simply need this care and support. In that respect, the bar may not be high enough for me, but I think it is a good explanation of the motion to do it this way. Then we'll see that in more detail in the report.
ParlaMint-NL_2018-12-20-tweedekamer-5.u41	Fine.
ParlaMint-NL_2018-12-20-tweedekamer-5.u42	With that explanation, the motion is given in part No. 441 Judgment Room.
ParlaMint-NL_2018-12-20-tweedekamer-5.u43	Then I'll be at the motion in part No. 442 by Mrs Van den Berg cum suis on regional perseverance. We have already discussed this once and again. It is even stated in the coalition agreement that it must be established. I believe that this is well discussed in many regions and that some form of regional perseverance is being organised. These days I'm sending a letter to the Chamber about the progress after lifting the Switch Team's approach to people's confused behavior. I have indicated that we want to work with regional figures per region. This could be, for example, mayors with regard to the security side and aldermen Care about the care side, but it could, in a way, also be someone from the health insurance company designated in a region. Those bow statues should have some kind of perseverance force. They have to say: we have to make good agreements with each other, and that is what we are going to organise. In the operative part of the motion, I am asked to make clear how the regional perseverance is organized. I'd like to do that with my heartfelt heart. With the second part, I'm having a bit of trouble. It says there must be national guidance if necessary. I'm really not there yet. Please let me first see how the regional perseverance force is organised. And that's what's going on in regions. I also want to have a spicy talk about this by region, but to steer it nationwide, I really think it is premature. I would be delighted if the proposers put that part between hooks or let me read it like that. That is the explanation that we are encouraging regions to do so: so encourage them and engage intensively with them to organise this perseverance. I would also like to stress that this is a matter of'regional' perseverance. With that second part, national steering, becomes the "national" perseverance force. I really don't think that's the point. I would like to take on a role in this as a system manager and hold intensive discussions with regions, but not national. I think that's gonna be something in someone's mood to shove something down the throat. I believe that this is the subject of a good discussion in most regions. I'd like to inform the Chamber about that. I would also like to have an intensive discussion with regions where it has not yet happened.
ParlaMint-NL_2018-12-20-tweedekamer-5.u44	I'm literally reading the coalition agreement right now. "If it turns out that the current agreements to shorten waiting lists in the GGZ do not work properly, we will, if necessary, take additional measures, such as organising a regional perseverance force." In my view, 'we' really is the government, which then calls someone who is going to intercede on behalf of the Secretary of State in that region, to speak to people, to ensure that matters are settled. In my view, therefore, it is too weak and, in my opinion, it is not based on the coalition agreement.
ParlaMint-NL_2018-12-20-tweedekamer-5.u45	I read the coalition agreement on this point, that in the fight against the waiting lists there is regional perseverance being organized and that the cabinet is taking the lead here in getting that started, that we initiate it in the region, because in many regions they had not come up with the idea themselves. But to impose that? Let us talk about this in six months or three quarters of a year, if there are regions where there is absolutely no agreement to appoint people who have a form of perseverance. First, let me make that inventory and get it back to the Chamber. Then I also want to see for myself what my role should be, how to operate on it. But I think it is a great deal if we have a good idea of how it works in the country and if I, in addition, have an intensive conversation with the regions to arrange it.
ParlaMint-NL_2018-12-20-tweedekamer-5.u46	We tabled a motion on this in June. The Secretary of State stated in his letter of July that he had invested it in the regions. In the meantime, we're six months away. If regions haven't picked up anything yet, then it's time to start working actively in the region. That's what the motion is all about. The Secretary of State doesn't have to do that personally. He can appoint someone to do that on his behalf.
ParlaMint-NL_2018-12-20-tweedekamer-5.u47	We are now getting a whole exposé on the operative part of the motion. It's obvious you're not meeting each other. I would therefore suggest that this motion should simply be rejected.
ParlaMint-NL_2018-12-20-tweedekamer-5.u48	If this stays hard, yeah. But I think we're almost in agreement. I also wonder what "control" should be, or should be given a clue. I think that goes a long way at this stage, because I think we should count our blessings as well. There are regions where very good things are arranged, where people are appointed who, when the cart is in danger of getting into the mud, pull things off.
ParlaMint-NL_2018-12-20-tweedekamer-5.u49	Mrs Van den Berg, very briefly.
ParlaMint-NL_2018-12-20-tweedekamer-5.u50	Short. If there is anything else we can do with an adaptation of a word over the next few hours, I am happy to be able to do so.
ParlaMint-NL_2018-12-20-tweedekamer-5.u51	You will then file an amended motion and you will have to re-assess any other opinion of this matter with the Secretary of State. For now, this motion will be denied judgment. Then we'll go to the motion in part no. 443.
ParlaMint-NL_2018-12-20-tweedekamer-5.u52	The operative part of the motion in part No. 443 consists of two parts. The first request is whether there can be a single quality system. AKWA is currently setting up a quality system. That is a national system, a clear system for quality information. The aim is to link a set of indicators to it by 2020. With what is requested in the first part of the operative part, we can get out of our way. Then I'd like to pass judgment on to the Chamber. I'm hanging on to the second part. Even if we wanted to require participation in an urge-and-force system, we would have to change the law. Then we must also realise that this is the first sector where we are going to impose this obligation. In this case too, I think this is premature because AKWA is still in full swing and is trying to get the relevant parties to work with that unambiguous system as much as possible. To say right now that we're going to have to prescribe that... Then the law must be changed. That's not in the operative part, but that would be the result. As far as I'm concerned, that's premature. If this part stays standing, I find it very acidic, but I would have to advise against this motion.
ParlaMint-NL_2018-12-20-tweedekamer-5.u53	It is stated in the recital "whereas the legal basis is adjusted if necessary'. So I'd like to give that space to the Secretary of State. The point is as follows. There was a system, foundation GGZ something. That's where they got off. Now some parties are working on AKWA. But quite apart from that, there is a very large qualified majority of institutions that, as before, have shared the urge and coercion data for a long time. About two thirds still do. We also get requests from the field to get everyone back in the game as was the case in the past. So that's separate from the first piece.
ParlaMint-NL_2018-12-20-tweedekamer-5.u54	This is an explanation for the Secretary of State.
ParlaMint-NL_2018-12-20-tweedekamer-5.u55	Then I stick to my comment that AKWA is working on drawing up a set of indicators for which there is broad support, which everyone can live with. Then I really do not think it is appropriate at the moment to prescribe by law that everyone should do so. As far as I'm concerned, that's premature. Then I'll stick to my judgment: dissuade.
ParlaMint-NL_2018-12-20-tweedekamer-5.u56	Dissuade. Finally, the motion in part No. 444.
ParlaMint-NL_2018-12-20-tweedekamer-5.u57	It's about the inconsistency in regions. Mrs Diertens, the author, asks me to remove obstacles arising from the inconsistency and to use the regional classification of the security regions as a starting point. Yesterday, a letter was sent to the Chamber about the follow-up to the Switch team. I imagine Mrs. Diertens hasn't read it yet. It is in line with this motion that we call on regions to work as congruent as possible and to combine the different approaches: the approach to people confused behavior, the Multi-Year Agenda Protected Living and Reception and other related important themes. In that light, I would like to give this motion the predicate "judgment chamber."
ParlaMint-NL_2018-12-20-tweedekamer-5.u58	The motion in part No. 444 gets judgment, Room. In doing so, the Secretary of State has provided an opinion on all nine motions and the questions have been answered.
ParlaMint-NL_2018-12-20-tweedekamer-5.u59	Thank you for coming to the Chamber. These motions will be put to the vote today. I shall suspend the sitting for a few moments.
