ParlaMint-NL_2018-11-01-tweedekamer-4.u1	The next item is part two of the budget for Education, Culture and Science.
ParlaMint-NL_2018-11-01-tweedekamer-4.u23	I'll get to that in a minute. We've got it all figured out that there's logic in it.
ParlaMint-NL_2018-11-01-tweedekamer-4.u24	It's been thought about.
ParlaMint-NL_2018-11-01-tweedekamer-4.u25	From the revenue from the study advance, 209 million will be invested in 2019 up to 524 million in 2022. A further 248 million will be added for research. With the halving of tuition fees, 165 million is invested in the accessibility of higher education. This adds up to 622 million in investments in higher education, in 2019 alone. And then the cuts: 25 million reductions in efficiency and 20 million reductions in the lump sum. So a total of 45 million. If you factor in, we'll be net at 577 million in investments in higher education and science in 2019. Mr. Chairman. This may be a rather dry beginning of a long day, but I can see that there is a need for this. Because there are still people who want us to believe that it is trouble and torment in higher education that we are on the brink of the abyss. If you don't correct that image, it's gonna lead its own life. Then everyone will believe that an investment of 577 million leads to poor education. And that's the logic of the University of Kaatsheuvel, the logic of Holle Bolle Gijs, who crammed and spooked and still hungry couldn't sleep. This cabinet simply invests in higher education. You can't find enough of that. You can't agree with its use. But don't act like there's going to be cuts on balance, because that's just not true. To make it very concrete, also in response to Mrs Tielen's question: this means that the education budget per student will increase from €7,300 in 2019 to €7,700 in this period for wo students, and for HBO students even to €7,800 in 2022. And for those for whom it was all a bit fast on this early morning, I have summarized these figures in a clear infographic. It's about to be distributed through social media channels. Mr President, so much for a brief introduction. I will deal with the questions put by the Chamber together with Mr Slob. I've grouped my share into the following blocks. I will begin with accessibility and equality of opportunity in higher education. There is a block of education and the labour market. There's a block of finance, followed by the teacher shortage. Finally, there is a block of science. In the meantime, I'm gonna go into emancipation.
ParlaMint-NL_2018-11-01-tweedekamer-4.u26	Well, you set the tone.
ParlaMint-NL_2018-11-01-tweedekamer-4.u27	Mr President, these were facts.
ParlaMint-NL_2018-11-01-tweedekamer-4.u28	That's not up to me. Mr Van der Molen has a small note.
ParlaMint-NL_2018-11-01-tweedekamer-4.u29	The attack is the best defense. But I agree with you: the balance sheet of the government agreement and government policy is financially positive for higher education. That's not what I'm here for. I was there very soon after the first sentence, because I thought: she's doing it again! You used the word "study advance." We had just had a discussion from the CDA and the SP in which we said: we should stop using that understanding every time. It's a student loan or student loan, but not a study advance. I therefore call on the Minister to bury the word'study advance' after she has said this one more time.
ParlaMint-NL_2018-11-01-tweedekamer-4.u30	Well, let's get back to the facts. The citation title of the law with which this was introduced officially states "study advance." I think it's nice to use it when a law has an official citation title. You rightly have a point concerning the information of DUO. On the site of DUO it is also neatly called a loan for students. I think that's right. We are also talking neatly about loans. These are the proceeds resulting from the measure of that law. It's called the Higher Education Act. That's what your Chamber decided at the time. I don't think it's more than nice to use the right citation title.
ParlaMint-NL_2018-11-01-tweedekamer-4.u31	I understand the Minister wants to abide by the law. Suppose it's missing, I'd almost say. Let's make the deal that at least after today you'll stop using that word. Then everyone knows it's about a loan. I shall then take a look in the Chamber with a number of colleagues to see if we can change the law on that point. It doesn't seem like a very complicated bill to me, but at least we'll get to the end of each other's lives.
ParlaMint-NL_2018-11-01-tweedekamer-4.u32	When I talk about the law, as long as you haven't changed it, I'll keep talking about the law on the study advance. Just as we do in the information at DUO, we are indeed talking to students about a loan. By the way, it's a very social loan.
ParlaMint-NL_2018-11-01-tweedekamer-4.u33	It is interesting to see that the Minister has given up on good relations with the institutions. That promises a lot this year. I would point out, however, that the last time a D66 politician spread figures on social media about education, they turned out to be about 50% incorrect. But that's not my question. My question concerns the figures sent to us by the Minister. They're right, as far as I can tell. But the research part of the funding isn't in it. The minister's predecessor has rightly pointed out that the rapid and substantial increase in student numbers can ensure that, if you do not include that part of the research, the intertwinedness of education and research will be compromised, because the research part of the contribution will not increase. Shouldn't you, uh, I know this is a complicated discussion, uh, taking part in it in order to have a fair discussion about the pressure on universities?
ParlaMint-NL_2018-11-01-tweedekamer-4.u34	I also spoke quite correctly about the education budget per student. We also invest in science. By the way, with what this cabinet invests in science, we are doing the European average well. Where it is left behind, it is mainly about private investment. But you have a point. That is why we have also referred to this as a point to which the Van Rijn Committee should look. How can we ensure that this intertwinedness of education and research is well reflected in funding? That's a complex discussion. I have spoken quite correctly here about the education budget. You are absolutely right that there is also science and that there is that connection between science and education.
ParlaMint-NL_2018-11-01-tweedekamer-4.u35	Glad we agree so well, but if the Minister says that the universities are complaining and crying and that it's all Hollebolle Gijs and then I come to the point that it's something else because she doesn't have a certain aspect in her answer, then the Minister says: yes, but it's complex and I've just mentioned education. Isn't the Minister a little bit of a wrap himself around the facts? So we keep throwing mud at each other from two trenches, while as a SP'er I want to connect.
ParlaMint-NL_2018-11-01-tweedekamer-4.u36	I can tell you that I have extremely good and fruitful discussions with the higher education institutions. So you don't have to worry about that. What I only wanted to show here is the fact that next year, 2019, there will be 577 million net investments in higher education and science. Anyone can say that this is too little and anyone can say that it should have happened in a different way, but this is just the bald fact. And it's pretty much 577 million investing in higher education and science in a year.
ParlaMint-NL_2018-11-01-tweedekamer-4.u37	The Minister does indeed continue to make comments on the facts before she begins her speech. All due respect for that, but I would also ask you to see that the subtext of that remark is, of course, that we did not have the facts in order. So I'm actually seeing a factually personal fact. So I would ask you, Mr President, not to include my question as an interruption.
ParlaMint-NL_2018-11-01-tweedekamer-4.u38	It counts double!
ParlaMint-NL_2018-11-01-tweedekamer-4.u39	You're also a creative mathematician, just like the minister. Mr Futselaar, of course, had a point. Suppose I give my son or daughter €100 pocket money and say that €80 of it is marked for clothing and €20 is marked for food and then I say: I only gave you €80 because I just don't count that €20 because it's not right for me. No one would accept that, but that is exactly what the Minister is doing when it comes to the state contribution per student in the wo. For convenience, she doesn't charge a part. I therefore object to the claim that the Minister has the facts and we do not. We have the full facts and not the selective facts.
ParlaMint-NL_2018-11-01-tweedekamer-4.u40	I do not believe that I have at any time claimed that anyone here has presented the wrong facts. I have just said that, because I often see that it is being pretended to be nothing but trouble and pain in higher education, I had the need to indicate the net amount invested next year. I've really made a decent sum of that, which I don't think anyone can beat. If someone says it's too little or that I have to spend it differently: be my guest. Nor have I reproached you, but I have had the need to put here what is in the budget at this point. That's all I've been trying to do. Apparently, that's a good thing for you.
ParlaMint-NL_2018-11-01-tweedekamer-4.u41	It came in very well. Thank you for the Minister's words. Finally, I want to end my personal reaction with the following. If we include the structural effects of the austerity of the Rutte I, II and III Cabinets for the coming years, which the Minister does not do because it may not suit her, we will see, for example, a net savings at the universities of EUR 65 million in 2019. Only in 2012 we see a plus of 7 million euros. So here too, when we include the full effects, we come to different facts.
ParlaMint-NL_2018-11-01-tweedekamer-4.u42	Maybe it's a good thing you're looking at these things again in a moment. Mr. Chairman. I've indicated what my cubes are. Before I go into these things, I have a reply to Mr Futselaar's question. Mr Futselaar asked me what my actions have been in the past year. That's actually a really nice question to answer. So thank you for that. In addition to these investments, we have achieved a great deal in the past year. I would like to give a summary of this, and I would like to confine myself to my own portfolio. Administrative agreements have been concluded with MBO and higher education, which form the outlines of quality agreements. Around internationalisation I have launched a number of measures and legislation. For example, the Higher Education Efficiency Committee has been advising for several months on the choice of language for new courses in relation to the labour market. Training courses should also explain their language choice as of February 2019 during accreditation. In order to promote accessibility and equality of opportunity in higher education, we cut tuition fees by half in the first half of the year and abolished the cascade payment in the MBO. For pabo-students, we cut the tuition fees by half for two years, and the influx increased by 11%. Legislation is coming up to stimulate smoother transitions and continuous learning in the professional column from VMBO to MBO. In this legislative proposal we also arrange for young people to obtain an MBO-2 diploma within the familiar environment of VMBO. Examination at the vmbo level may then be omitted. We have continued the Regional Investment Fund. 5 million extra has been made available for low-literacy. We give MBO schools extra support by helping them with Space in Rules, in order to stimulate innovation in vocational education. On 1 January, after years of debate, the financing of green education with other funded education will be harmonised. In doing so, we mitigate the mandate of the previous cabinet, and we have earmarked money for the smooth integration of green education, a total of 21 million. Mbo students are called "student" by law. And after years of discussion, there has also finally been clarity about the cost of studying these MBO students. We have extended cooperation with the Rainbow cities and increased the number to 49. Last month I also awarded the first two Stevin premiums for socially very relevant research to Prof. Beatrice de Graaf and Prof. Marion Koopmans. These are premiums of no less than EUR 2.5 million. So this was an anthology from the deeds of the past year. Last year, in the budget debate, I stated here that this cabinet is a knowledgeable cabinet. I believe that we have done so in the last year. Mr. Chairman. I would now like to move on to the block of accessibility and equality of opportunity in higher education. Last year I concluded an agreement with the colleges, universities and students on quality agreements. In this way, higher education has taken a new path, with returns no longer being the dominant factor. The aim is to improve the quality of education visible at colleges and universities. And students have an important voice in what good educational quality means at their institution. And I immediately agree with Mrs Tielen that return is a criterion, that it is important that education achieves results. But education should not only aim to obtain a diploma as soon as possible. Education has a broader societal challenge. I have referred to this as the 'bildungs- en liaison' of education. Studying is more than graduating. It's also about forming as a person and developing social qualities as a student. That is also what the labour market is asking for. Mr. Chairman. I would therefore prefer to talk about'studies success' rather than 'efficiency'. I believe that study success should be aimed at enabling as many students as possible who want and can, to successfully complete a higher education course. You can't do that if you try to push everyone through the same mold. Studies success is therefore one of the issues agreed in the agreement on quality agreements. By the way, we will continue to monitor progress on efficiency, but it is not all that matters to me. We must do everything we can to make higher education accessible to students. That is why I sent you a policy letter on this last week. Mr. Chairman. I note, together with the field of education, that in the dynamics of yield thinking the standard for binding study advice has been raised in recent years. In scientific education we see an average BSA standard of 45 credits, with outliers up to 60, and in HBO a BSA standard of 50 credits on average. This has the undesirable effect that talented students may be wrong in the first year and that the binding study advice has become increasingly selective. I find it undesirable for a student, due to a high BSA standard, not to be allowed to make a mistake anymore. I also find it undesirable if students are wrong to go to another institution and go to the same training there. Mr Van Meenen rightly said: that is pumping students around. So I do not think that is an efficient use of public funds. Students should be able to rely on good guidance within the programme, which responds to the student's support needs and focuses on that success. As Mr Van der Molen wrote in Trouw on 17 September: that ambition for better guidance needs to be raised. Together with them I also like to work on more space for flexible study. I firmly believe that the BSA standards are going to fit that thought. I want to talk about this with education. Previously, the inspection also set in the report a realistic standard of around 40 credits with both legs on the ground. I take this point into account in this discussion, in order to achieve a better balance between standardisation and support. The same applies to the new research I expect in spring 2019. I'll get back to your room on that. I see some of you thinking, "Wasn't she more definite before?" I can see Mr Futselaar thinking it. But sometimes to start a discussion you have to throw a stone in the pond. I'm certainly not going to make a habit of that, but in this case it had effect. I have noticed that this desire to do something about the study pressure among students lives wider and that students also like to be given more space for that development. Remember, these are first-generation students, who need extra time to adapt. That is why we want to use the time to come to arrive, together with the educational field, at a new balance between standards and good guidance. I am concerned that this objective is being achieved. If Mr Beertema calls me "the queen of accessibility," then I will take that as a compliment. I thank him very much for that.
ParlaMint-NL_2018-11-01-tweedekamer-4.u43	Then I'm gonna go with "Marquise of fine words but lack of action." Because I find it very easy to finish a big announced speech at the opening of the academic year afterwards with: yes, I wanted to throw a stone in the water to start a discussion. Surely it is not worthy of a minister to say this, if you stir up the whole field, if students don't know where they stand anymore, because they read that and ask themselves: does this mean that the binding study advice standard will expire? Universities and colleges of applied sciences will then have to explain this. Then you can't just stand here and say, "I wanted to start a discussion"?
ParlaMint-NL_2018-11-01-tweedekamer-4.u44	I would have expected this question from Mr Futselaar. I have therefore read again very carefully and perhaps he can do the same as I said in Tilburg. I said yes, I would like to limit it. But I also said, and I ended with that, too, that I want to investigate how we are doing this in a good and balanced way. And I said, also from the point of view of the inspection, that I consider a 40-year-old standard to be realistic, because that was also the norm at the time that was said to provide a good basis for having that conversation with the student. But I actually said it there, as I thought afterwards, more balanced than some have thought. I had not discussed this with the institutions in advance, but I also think that a minister may occasionally start a discussion on his own initiative. I also gave that signal because we see that people are pushing each other up a bit. In the meantime, I am also very good at discussing this with the institutions and many of them recognize this point.
ParlaMint-NL_2018-11-01-tweedekamer-4.u45	It is now becoming a kind of exegesis of the Minister's words afterwards. But if my honourable colleague, Mr Kwint, is throwing stones at the Minister and I say first 'I'm going to cut back on that' and two months later 'I'm going to have a conversation with Mr Kwint to see if I can convince him to cut it down', then I think that's really two different things. I also think the Minister would see this as two different things. So I would like to say a little more about what she thinks of the unrest that she has created afterwards. Is that really just "a nice discussion"? Is that what the minister stands for?
ParlaMint-NL_2018-11-01-tweedekamer-4.u46	No, definitely not. And my words that we have to put a stop to it mean that we have to look at it: how can you find a good balance when it comes to normalizing? That is what is not at all: standards. I'd like to do that, and that's what I'm talking about. If you say "there's a possibility of that binding study advice, but we're going to standard it, and we're going to set the norm in relation to good advice," then that's indeed a limit. Mr. Chairman. Mrs Van den Hul has drawn attention to the risk of outage of students with a migration background and students with a disability. She's right to ask for that attention. It is important that in higher education attention is paid to groups that are particularly vulnerable, such as first generation students and students with a non-Western migration background. Good guidance can really make a difference for those students. This can be done with peer-to-peer guidance, but also with mentoring or coaching programmes and other guidance tools, for example. I refer, for example, to the Student 4-Students campaign, which I also support and which is also supported by ECHO, the Centre of Expertise on this issue. We are seeing good results and I certainly want to go down that road. So you had a point right there. Mr Bruins has asked for attention to be paid to a national study of performance pressure and psychological complaints among students. Recent research by RIVM also shows that there is no single cause for these psychological complaints, but that it is actually a accumulation of factors. This does not make it sufficiently clear which factors really have to do with education. What can you do from education? That is why it is necessary to carry out in-depth research, which the Secretary of State of VWS has also deported on my behalf. Together with the institutions, the student associations and the Disability Centre + Study, I have prepared a Joint Ambition Student Welfare, which includes the theme of psychological pressure. It was sent to your Chamber along with my letter on accessibility and equality of opportunity. It also agreed that we will continue to work for an inclusive educational environment. This also goes hand in hand with the fact that institutions and student associations will improve information on the facilities already available for vulnerable students, so that students can actually find the support offered. There is often a bottleneck there; one cannot find the help that is there. In the coalition agreement, 2 million additional funds were made available to institutions in order to provide the necessary financial support precisely for this group of vulnerable students. These parties will also exchange good practices. I support this with a grant to the Disability + Study Expertise Centre, which plays a binding role. Mr President, this was the end of this block.
ParlaMint-NL_2018-11-01-tweedekamer-4.u47	I would like to thank the Minister for answering this matter. It is very good that she says that students should be able to find the low-threshold psychological aid. That information needs to be improved. I also need to know to what extent there is accessible psychological assistance in the educational institutions in the Netherlands, not only in higher education but also in the MBO. I would like to refer to the Bruins/Asante motion of February 2017, which explicitly calls for an action plan to be put in place to enable access to aid. The first step of such an action plan would be to identify the extent to which this psychological aid is available. Could I have a promise from the Minister that they will, preferably in the short term, be able to do so, because I have been waiting for almost two years for them to take that first step in identifying the extent to which there is low-threshold psychological assistance for students in the Netherlands?
ParlaMint-NL_2018-11-01-tweedekamer-4.u48	That is what we have to do with all these institutions. I hear you want to do this for the MBO too, so that is a lot of institutions that we need to map out what facilities they now have. They're talking about it, but I'm gonna look at it, because there's a lot. Above all, we need to unlock that. Best practices need to be better shared. I am going to do my best to get you as much of what we can reasonably do about what that landscape looks like now, as quickly as possible.
ParlaMint-NL_2018-11-01-tweedekamer-4.u49	I'm glad the Minister keeps naming the study results. She calls it "studies success" and that is fine with me. We know that there is a relationship between the BSA and study success, so the binding study advice and study success. Now I have heard a whole debate about what the Minister had said and what she had not meant and so on. That is all very well, but I would like to hear very clearly once again in this Chamber what the Minister is and is not planning to do about the binding study advice. We have to look ahead and I do not want to have another discussion about what she meant and did not mean.
ParlaMint-NL_2018-11-01-tweedekamer-4.u50	I've announced I'm going to do more research. How can we achieve good standards, even in relation to good advice? I'm investigating that right now. I am also talking about this with the institutions. I will come back to you in the spring of 2019 on the question of which package of measures is included. This also means that conditions can be set, so that if you go beyond the 40, we will then make demands. It is about a balance between standards and good advice.
ParlaMint-NL_2018-11-01-tweedekamer-4.u51	I hear the minister say "we." She also talks about pursuing a generic standard. That's really not what I'm thinking. In order to prevent us from having another discussion in spring about what is and is not intended, it might be useful for the Chamber to give a ruling on what the Minister should and should not mean. But we will come back to that in the second term.
ParlaMint-NL_2018-11-01-tweedekamer-4.u52	I think I've been very clear. I am going to see if we can find that balance and I am going to come to an agreement with the institutions on this. Mr. Chairman. I come to the block of education and the labour market, in which I would like to focus a little more on the MBO. But I'm gonna start with higher education. Mrs Tielen asked whether the HBO was sufficiently involved with the regional business community. Institutions are working much and more closely with industry to develop and keep up-to-date good training. Many training courses work with a so-called field commission, in which the relevant colleges and the declining profession field are present. The training profiles are also coordinated at national level. In their macro-efficiency applications, in which the training programmes argue the need for new training, it is also clear that institutions and employers are able to find each other well. These applications often refer to interviews with employers and often include statements of support from employers. In the NVAO accreditation procedure, attention is paid to continuing links between education and the labour market. Mr. Chairman. That brings me to secondary vocational education. I am truly pleased that some of your Members have so clearly emphasised the importance and value of the MBO here. Mr Özdil spoke warmly about the MBO and asked whether MBO graduates should not be given a title. I have already said that I do like that idea, but I would also like to know from students myself whether there is a need for it. I understand from the JOB that there is no such need. Mr Van der Molen said something very nice about this last Tuesday. He said: in this country you are not just someone when you can put something before or behind your name; you are especially someone because you can do something fantastic in society. With that, he hits the nail on the head. I couldn't agree more. If you're good at your job, you deserve appreciation, and not only if you have a title. Titles can of course be important or have a meaning in the international recognition of diplomas. I am talking about this international recognition with my colleagues in the Benelux countries and in Germany. This is primarily about the international recognition of each other's diplomas, so that MBO graduates can easily work across borders. So far, I have not received a signal that we need titulature to do so. If that is the case, I would like to look at it, because then it really has practical meaning, but so far the students say they do not need it. Nor have we so far received any signals in the debate on international recognition that it would be necessary. So: sympathetic but a little superfluous.
ParlaMint-NL_2018-11-01-tweedekamer-4.u53	Doctorandus Özdil.
ParlaMint-NL_2018-11-01-tweedekamer-4.u54	Thank you, Mr. Chairman. Thanks to the Bologna criteria, I am Master of Arts. I don't think that's worth more or less than graduate MBOs. In my contribution I indicated that I, too, had a blind spot for the intellectual strength, the creativity that MBO students, our professional women and craftsmen exhibited. The Minister is quite right, of course, that support is important. That is why I have also put forward in my speech studies which we have had done and which others have done in support of. SBS6, Maurice the Dog, have it investigated among 2,000 people, MBO young people and their parents. Among those young people there was an overwhelming positive response. At our request, a poll was held among 142 MBO students, of whom 71% indicated that they consider Title very important in the appreciation and recognition they themselves claim to be entitled to, precisely because they are proud. I've been on the phone with the chairman of JOB, apprehending and talking to him. He says that in response to the media in a whatsapp group with board members he checked equally quickly what the sentiments are. The Minister is right to point out that acceptance is important. Is it prepared to have the support really examined before it draws any conclusions here?
ParlaMint-NL_2018-11-01-tweedekamer-4.u55	I'm reluctant to do that. Once again, I believe that Mr Van der Molen has spoken correctly. It's the same reason why I rarely use both my titles, because I hope I'm just judged by what I do and what I can. What's important to arrange? What is at the forefront is the rapid international recognition of diplomas. That's how we make sure students can work. I haven't received a single signal that there is a great need for titulature. Before you came up with your proposal, there was also no sign of a great need in society for this titulature. At first, I responded to your proposal with: quite sympathetic. I can imagine that several people are reacting this way, but I really wonder if it would be wise to carry out an investigation in which I have not yet started an answer to the question of what problem I am going to solve with it. I have also shown appreciation for the MBO by calling them "student" in the law. That doesn't take this. I will get to work immediately if it is really necessary for the international recognition of diplomas, but I do not see the need for them.
ParlaMint-NL_2018-11-01-tweedekamer-4.u56	I'm sorry, but I'm really lost now, I say through the chairman. The Minister's argument for her statement is "very sympathetic, but not now" that there is no support for it. My question is then to investigate what the basis for that is. She replied: no, I am concerned about what they find abroad. What is it? If you are serious about this appreciation and image, I say through the President, then you also take the signals in society seriously. For example, this was indicated in a 2013 SER report. It is therefore documented that the low image and the low rating in the Netherlands, even more so than in other countries, is completely unjustified for professionals and that the image is very important to boost that appreciation. I would point out to the Minister that in our investigations we have received signals from MBO students who do. I do not understand why the Minister does not agree with my request that at least in the Netherlands we examine the basis of support. Why don't you?
ParlaMint-NL_2018-11-01-tweedekamer-4.u57	I think I've been very clear. Nor can I see that your colleagues are very confused about what I said. I believe you're the only one here. Look, it's two things that matter to me. There is no need for international recognition. I very much agree with you that this social appreciation for the MBO is very important, but we do not need that title. At the time when you presented your proposal, I did not receive any compelling signals that this titulature is really a very important element in the solution. Neither did the ESC. If you ask what is the most important thing we can do for the MBO, then this is not at the top of my priority list.
ParlaMint-NL_2018-11-01-tweedekamer-4.u58	The Minister is continuing.
ParlaMint-NL_2018-11-01-tweedekamer-4.u59	I would like to make a factual comment.
ParlaMint-NL_2018-11-01-tweedekamer-4.u60	One second, Minister. Mr. Özdil, you just said you wanted to do interruptions in two.
ParlaMint-NL_2018-11-01-tweedekamer-4.u61	I have a factual remark. The minister just said, just claimed, that the ESC would not have said that titulature is important. However, the 2013 SER report literally states that linking a title to the diploma would be an important step. As an example, the master title is used there.
ParlaMint-NL_2018-11-01-tweedekamer-4.u62	Thank you. The point is made.
ParlaMint-NL_2018-11-01-tweedekamer-4.u63	I will read it back, but I have never seen it as the most intrusive element of the ESC's opinion. Mr. Chairman. I would like to return to Mrs Tielen's question on the link between business and vocational education. Of course, that also plays in the MBO. In the MBO we have arranged it in such a way that all qualification files require consultation between education and industry. This applies to all training courses in all sectors, and this is done within the cooperation organisation VET and business, which is also really supported by both of them. In addition, I encourage the integration of the regional labour market through the introduced choices. With the Regional Investment Fund, which we have continued, I also encourage innovation and public-private cooperation in the MBO. We do it all over the country. A good example is Zwolle when it comes to e-commerce. That's booming business in that region. Education and business are working very closely together at the E-commerce Top Centre to meet the labour shortages in this area. This cooperation is therefore very close and it is also at the heart of the agreements we made with the MBO in the sector agreement I concluded with them. This is reflected in everything in the regional cooperation between education and industry. Mr. Chairman. There were also questions about the practical learning scheme. I agree with the importance of this arrangement, but I also have a broader responsibility for my budget as a whole. In spring, decision-making will take place on how this scheme will be designed for the 2019-2020 school year. I would like to say to you that this is a multiannual scheme and that the series are in the budget. What I cannot promise you is that this arrangement, when it comes to spring and Princess Day decision-making, will remain outside the overall budget balance. That would really be contrary to our system of budgeting, in which we make an integral assessment of the whole budget twice a year. Mr. Chairman. That seems to me to be a logical bridge to the heading of finance.
ParlaMint-NL_2018-11-01-tweedekamer-4.u64	But not until after we have heard Mr Kwint.
ParlaMint-NL_2018-11-01-tweedekamer-4.u65	Yeah, 'cause that question didn't come for nothing, of course. The importance of this scheme is constantly being stressed. There are always proposals coming from the cabinet to the Chamber in which there is still a cut on that arrangement. Then the Chamber itself must act again to fix that. You can do it one time, the other time you can't. The cabinet itself gives a positive pre-advisation on 19 million extra for this scheme, which is de facto not covered because the gap is increasing. That was all fine, but we want to get rid of this mess. We want to get rid of this uncertainty for the MBO and for the companies that employ these people. Then it would simply help if the Minister said here: we are going to continue with this arrangement as agreed; we are not going to go any further on this, because we think it is important that these students can finally learn a profession in practice.
ParlaMint-NL_2018-11-01-tweedekamer-4.u66	I think I agree with Mr Kwint on many points. Yes, I prefer a multi-annual arrangement, and I also say that the series are in the budget. But I have the responsibility for the whole budget. There are more organisations that contribute to education and would also like to have multi-annual security on all their money. I can't offer them either. I am bound by how we agreed on this in this country. There are two moments in the year when we make an overall assessment of the whole budget to see how we balance it and how we ensure that it complies with the budgetary rules. You all understand very well that I would go far beyond my bounds if I were to say here that we are going to put that between hooks. The budgetary system says 'an integral consideration twice a year', but my intention is as I said it.
ParlaMint-NL_2018-11-01-tweedekamer-4.u67	That's very nice. We're here at one of those two moments in the year. We are here with the budget. We ask for the commitment to that arrangement. Moreover, it is a relatively cheap arrangement. The children who are going to study in that company to learn a profession are cheaper than going to a regular MBO institution. That money all ends up, well, for two thirds of them, with small or medium-sized entrepreneurs who desperately need it for that support. In this way we can well train young people for a relatively low amount, but they are now in that uncertainty, that continuous uncertainty. Does the Minister agree with me, then, let me put it this way, that just this uncertainty, this fuss every time and that back-up might lead to the loss of these internships and learning places?
ParlaMint-NL_2018-11-01-tweedekamer-4.u68	I always hope that companies will see for themselves how important this is. It is people they employ and they also do work there. In a time of shortages, I think "well, you have a great interest in that too," but apart from that. Yeah, this is the moment we're here together. And yes, this is when we are discussing the 2019 budget. I have told you that there will be an arrangement, that it is multiannual and that the series are in the budget. But what you cannot ask of me is: at the time when you are going to talk about the budget of the OCW at these weighing moments in the cabinet in the next few years, you should not include this arrangement in the overall balance. That is something the Finance Minister, I believe, would not allow me to do.
ParlaMint-NL_2018-11-01-tweedekamer-4.u69	We have a very good Minister of Finance; I would like to start with that. But we also have a sensible Chamber and the Chamber has a budget right. We are talking about the budget now. I am extremely pleased that this budget says that we want to invest at least until 2023 in learning places for MBOs. We have also really had a time, in the crisis, that they were nowhere to be found and that young people were trapped in their education. We don't want to repeat that. So where we can help the business community, we have to do so. The Minister states: I would get it up with the Minister of Finance. I understand that, too. But I ask the Minister that she should understand a Chamber that says: I understand that balance in the cabinet, but this is where we place the priority. We want to give companies and students the assurance that this scheme will remain in place, even though we will have to make choices.
