ParlaMint-NL_2018-03-27-tweedekamer-37.u1	At the request of a number of Members, I propose that the following motions be repeated: 21501-02-1786; 32716-28; 25422-211; 30175-272; 31409-177; 25422-214; 30196-571; 30175-282; 25422-213; 34627-37. I propose that the following work be carried out: I propose to add to the Chamber's agenda the VAO Circular economy, with Mr Wassenberg as the first speaker on behalf of the Party for Animals.
ParlaMint-NL_2018-03-27-tweedekamer-37.u29	Support for a letter, though. The report must come to the Chamber as soon as possible. Thank you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u30	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr De Graaf on behalf of the PVV. Where is Mr. De Graaf? He's not here. Then we'll go to Mr Van Raak.
ParlaMint-NL_2018-03-27-tweedekamer-37.u31	The turnout was high, and the result seems clear: the Netherlands has said no to the new Intelligence and Security Services Act. There is a debate on this with the Prime Minister. I would ask you to plan that debate next week and to invite the Minister of the Interior to do so. It would also be nice if we could turn this debate into a majority debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u32	The 30-member debate is at the top of the list.
ParlaMint-NL_2018-03-27-tweedekamer-37.u33	Good.
ParlaMint-NL_2018-03-27-tweedekamer-37.u34	That will take place in the coming weeks anyway. But your request is to make it a majority debate?
ParlaMint-NL_2018-03-27-tweedekamer-37.u35	Yes. My request is to plan it next week and to invite the Minister of the Interior as well. And I would love it if we could just turn it into a Chamber-wide majority debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u36	Yes. Mr Azarkan on behalf of DENK.
ParlaMint-NL_2018-03-27-tweedekamer-37.u37	Support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u38	Support, and shouldn't the Prime Minister be present?
ParlaMint-NL_2018-03-27-tweedekamer-37.u39	He's already been invited.
ParlaMint-NL_2018-03-27-tweedekamer-37.u40	Yeah, but is he gonna be there?
ParlaMint-NL_2018-03-27-tweedekamer-37.u41	He's already been invited. Yes.
ParlaMint-NL_2018-03-27-tweedekamer-37.u42	Of course, we must have a debate on this. There's no other way. It would be a good thing if this were to happen when the final result is known, and then we get a letter from the cabinet. I think that is what Mr Van Raak means by 'next week'. I would say that it makes sense to have a debate with the Minister of Defence and the Minister of the Interior, because these are the two ministers responsible for this law. Then, as far as I am concerned, we can have that debate at a majority. That is a slight modification of Mr Van Raak's proposal. So no support for this debate, but for a debate with the right people at the right time.
ParlaMint-NL_2018-03-27-tweedekamer-37.u43	I don't follow, Mr Verhoeven.
ParlaMint-NL_2018-03-27-tweedekamer-37.u44	You don't follow what, Mr. Chairman? I think it's pretty good to follow.
ParlaMint-NL_2018-03-27-tweedekamer-37.u45	Support or no support for a majority debate?
ParlaMint-NL_2018-03-27-tweedekamer-37.u46	I said no support. Mr Van Raak has requested a debate on the statements made by Mr Buma. That was the title of that debate with the Prime Minister. That debate doesn't make any sense anymore. Mr Van Raak is right that we should have another debate, but I find it strange to do so with the Prime Minister. I think it makes more sense to do that with the Minister of Defence and the Minister of the Interior. They're about the law. I think that is a very clear request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u47	Yes. But you don't support it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u48	I do not support Mr Van Raak's request for this debate. Absolutely not.
ParlaMint-NL_2018-03-27-tweedekamer-37.u49	Okay. I now go to Mrs Buitenweg on behalf of GroenLinks.
ParlaMint-NL_2018-03-27-tweedekamer-37.u50	Thank you. I support the debate. I also support the idea of a letter, because if the outcome is officially known, the government must indeed respond and say how it intends to deal with the outcome of the referendum. I would like her to include the many proposals that have been made to respond to the votes against. GroenLinks submitted a repair law itself. For the record, I have already transformed him into a letter of amendment. I would also like the government to take up these compromise proposals in substance, so that we can conduct the debate in a very targeted manner.
ParlaMint-NL_2018-03-27-tweedekamer-37.u51	Mr. Chairman. It is nice to have the final result, but the debate can be scheduled as far as we are concerned, because by the time it arrives, there will be a result. So support for the letter and support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u52	Mr President, first a letter from the cabinet stating how it weighs the outcome, and then a debate. So no support for Mr Van Raak's proposal.
ParlaMint-NL_2018-03-27-tweedekamer-37.u53	Mr. Chairman. The result is read, so let the debate come.
ParlaMint-NL_2018-03-27-tweedekamer-37.u54	Mr. Chairman. I think it's about patience. I think it's up to the cabinet first. That will have to come with a response, and then we will have a plenary debate. So it is not support for this debate, it is support for patience.
ParlaMint-NL_2018-03-27-tweedekamer-37.u55	The Christian Union first wants a reaction from the cabinet to the outcome of the referendum and then a debate. At the moment, therefore, there is no support for Mr Van Raak's request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u56	That's very peculiar.
ParlaMint-NL_2018-03-27-tweedekamer-37.u57	Wait a minute, Mr. Van Raak. First, I conclude that there is no majority in favour of transforming your 30-member debate into a majority debate. I would therefore like to propose that the short-term report of this part of the sitting be transferred to the cabinet.
ParlaMint-NL_2018-03-27-tweedekamer-37.u58	I would just like to say that this is very peculiar. Thursday's gonna be the test results. Then it is very good to have a debate with each other quickly in the context of the review, so that we can give something to the government in that review.
ParlaMint-NL_2018-03-27-tweedekamer-37.u59	No, Mr. Van Raak...
ParlaMint-NL_2018-03-27-tweedekamer-37.u60	But there's a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u61	Yes, a thirty-member debate...
ParlaMint-NL_2018-03-27-tweedekamer-37.u62	That's a 30-member debate. I think we can just schedule that next week. Then anyone who wants to participate can join. Even Mr Verhoeven can participate if he wants. So I would say: plan that debate, because then we can give the government homework.
ParlaMint-NL_2018-03-27-tweedekamer-37.u63	Thank you. That debate is already more or less planned, so that request is superfluous. Mr De Graaf of the PVV has now been reported.
ParlaMint-NL_2018-03-27-tweedekamer-37.u64	Excuse me, Mr. Chairman. Mistake in the planning. Thank you for letting me have my turn. I would like to have a debate with the Ministers for Social Affairs and Employment and Justice and Security on the message I read on ThePostOnline this week. That message is about Islamic extremists who are very actively engaged in committing..... in neat Dutch.. street dawa, or conversion drive. This plays in Amsterdam, among others, but also in Utrecht. So it's not a municipal matter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u65	You want a debate?
ParlaMint-NL_2018-03-27-tweedekamer-37.u66	Yes, but I would like to give a brief explanation. It's about the organization iERA. If you dig into that well, you really come across the most disgusting opinions and calls for violence. I would like to have a debate on this.
ParlaMint-NL_2018-03-27-tweedekamer-37.u67	Mr President, an incredibly important subject. A lot of support for a letter, not a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u68	Mr. Chairman. Mrs Becker's recent meeting of the Social Affairs and Employment procedure called for a separate AO with the two directors on radicalisation. They also asked for a letter. It seems to us right that a letter should also be sent about this and that on the basis of these letters the AO can be planned together.
ParlaMint-NL_2018-03-27-tweedekamer-37.u69	I would like to join with you in saying that this letter has been awaiting us for some time. As far as I'm concerned, he'll have to come soon, so we can keep that AO. No support for this debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u70	I'd like a letter soon that we can get involved in an AO on radicalisation.
ParlaMint-NL_2018-03-27-tweedekamer-37.u71	I agree with that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u72	That's a very clear story, Mr. Chairman. Even if it is not just about radicalisation, we can involve it. Preferably fast.
ParlaMint-NL_2018-03-27-tweedekamer-37.u73	I propose that the stenogram of this part of the meeting be transferred to the cabinet. Then Mr Gijs van Dijk on behalf of the PvdA.
ParlaMint-NL_2018-03-27-tweedekamer-37.u74	Thank you, Mr. Chairman. In 2015, nine construction workers died on the construction site. In 2016, there were fifteen. In 2017, there were twenty dead, construction workers working on a construction site. That's a very serious message. These are figures from the Inspection SZW and they ask for a debate with the Secretary of State for Social Affairs.
ParlaMint-NL_2018-03-27-tweedekamer-37.u75	Support from D66.
ParlaMint-NL_2018-03-27-tweedekamer-37.u76	Support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u77	Support from the Christian Union.
ParlaMint-NL_2018-03-27-tweedekamer-37.u78	Support, Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u79	Support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u80	Support, of course, Mr President.
ParlaMint-NL_2018-03-27-tweedekamer-37.u81	You have a majority, Mr. Gijs van Dijk.
ParlaMint-NL_2018-03-27-tweedekamer-37.u82	Thank you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u83	We will put it on the list of majority debates. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Your next request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u84	Mr. Chairman. The gap between the normally hardworking Dutchman and the top of companies is growing. This is also reflected in figures from the Dutch Financial Journal. I would say that this calls for a separate debate, but I also know that the agenda is rather full and that a debate is already planned on the remaining wages, following a message from De Nederlandsche Bank.
ParlaMint-NL_2018-03-27-tweedekamer-37.u85	So?
ParlaMint-NL_2018-03-27-tweedekamer-37.u86	In order to make it easy for the Chamber, I would suggest asking for a letter to the Minister for Social Affairs to be involved in the majority debate on De Nederlandsche Bank and the remaining wages, which is already on the list.
ParlaMint-NL_2018-03-27-tweedekamer-37.u87	It is not customary to ask for a letter through the organisation of work.
ParlaMint-NL_2018-03-27-tweedekamer-37.u88	I know, but I thought I'd make it easier for you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u89	No, you're not making it any easier for me at all, but okay. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Then Mr Laçin on behalf of the SP.
ParlaMint-NL_2018-03-27-tweedekamer-37.u90	Thank you, Mr. Chairman. I would like to have a debate with the Secretary of State for Social Affairs and Employment and the State Secretary for Infrastructure and Water State on the report that the government is not getting a grip on the asbestos industry. Asbestos still demands 500 to 1,000 deaths a year. Last week's Trouw report shows that supervision in this sector has been extremely poor for years and that there will be no improvement. So I think it would be a good time to discuss this with both Secretary of State.
ParlaMint-NL_2018-03-27-tweedekamer-37.u91	Very good. Mr. Bruins.
ParlaMint-NL_2018-03-27-tweedekamer-37.u92	Mr President, the cabinet may need to reflect on who they would like to send to the Chamber as a delegation, but in principle support for this debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u93	The VVD supports this debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u94	Support for the debate, but let's see who the cabinet thinks is best suited.
ParlaMint-NL_2018-03-27-tweedekamer-37.u95	Support for the debate. I agree with Mr Laçin's preferences when it comes to representation of the cabinet.
ParlaMint-NL_2018-03-27-tweedekamer-37.u96	Support, Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u97	Mr President, support for the debate, but also attention to the accelerated approach to asbestos remodelling and not just to health aspects.
ParlaMint-NL_2018-03-27-tweedekamer-37.u98	Also on behalf of GroenLinks support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u99	Support, Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u100	Mr. Laçin, you have a majority.
ParlaMint-NL_2018-03-27-tweedekamer-37.u101	You look surprised.
ParlaMint-NL_2018-03-27-tweedekamer-37.u102	You too.
ParlaMint-NL_2018-03-27-tweedekamer-37.u103	Next request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u104	Mr. Chairman. Then I'm gonna do it again, I hope. I would like to have another debate with the Secretary of State for Infrastructure and Water State on the report that dredgers import polluted land into the Netherlands massively from abroad and dump it into our environment. This puts extra pressure on our water quality, which is already under pressure from all kinds of substances in the environment, and we should not want that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u105	You're gonna have to leave something for the debate later. So make it quick.
ParlaMint-NL_2018-03-27-tweedekamer-37.u106	Well, I think they're here, so we can have the debate right away.
ParlaMint-NL_2018-03-27-tweedekamer-37.u107	Yeah, okay.
ParlaMint-NL_2018-03-27-tweedekamer-37.u108	So I would also like a debate on this message. I think it is extremely important that our environment is not further polluted.
ParlaMint-NL_2018-03-27-tweedekamer-37.u109	Yes. Mr Bruins, Christian Union.
ParlaMint-NL_2018-03-27-tweedekamer-37.u110	It is a truly blessed day for Mr Laçin, because I also support this request for debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u111	Well, well, well.
ParlaMint-NL_2018-03-27-tweedekamer-37.u112	However, I would like to suggest that we wait for answers from my colleague, Carla Dik, who was asked yesterday. This can also be involved in the thirty-member debate on "Beerput Nederland," which is already under way.
ParlaMint-NL_2018-03-27-tweedekamer-37.u113	That's also a possibility, you say. But you do support it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u114	In principle, I support it, but I would like to combine it with the debate that has already taken place.
ParlaMint-NL_2018-03-27-tweedekamer-37.u115	Then who requested this debate? By Mr Wassenberg. Mr Wassenberg.
ParlaMint-NL_2018-03-27-tweedekamer-37.u116	Mr President, I do not see any immediate reason to combine these debates. I would very much like to support this debate, because otherwise it will be a very little bit of a waste. So I'd like to keep them apart. I would like to support this debate by Mr Laçin.
ParlaMint-NL_2018-03-27-tweedekamer-37.u117	D66 in itself supports the debate on it. I must honestly say that I do feel in favour of the Christian Union's proposal, but unfortunately to combine it correctly. I think that's useful. We have also asked questions about this before. So support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u118	You support the debate. Mr Van der Lee, GroenLinks.
ParlaMint-NL_2018-03-27-tweedekamer-37.u119	Support for the debate. I would also like to see two separate debates. There's a lot going on.
ParlaMint-NL_2018-03-27-tweedekamer-37.u120	Support, Mr President, and I would like two debates.
ParlaMint-NL_2018-03-27-tweedekamer-37.u121	Support for the proposal, President.
ParlaMint-NL_2018-03-27-tweedekamer-37.u122	Mr. Laçin, you have... Mr Von Martels, CDA.
ParlaMint-NL_2018-03-27-tweedekamer-37.u123	Thank you, Mr. Chairman. I will not spoil Mr Laçin's party. So support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u124	Okay, then you have a large majority.
ParlaMint-NL_2018-03-27-tweedekamer-37.u125	I see someone else.
ParlaMint-NL_2018-03-27-tweedekamer-37.u126	Yes, Mr Ziengs, but you already have a majority. So thank you. Were you asked for a letter? Oh, come on. Okay.
ParlaMint-NL_2018-03-27-tweedekamer-37.u127	No, written questions have been asked by the Christian Union. So I would like it answered before the debate. Thank you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u128	Yes. I now turn to Mr Van Raan on behalf of the Animal Party.
ParlaMint-NL_2018-03-27-tweedekamer-37.u129	Thank you, Mr President. On the original list, we asked for two debates. We have merged them into one debate. I would like to explain this. On 23 May, we have a debate in this Chamber on accountability, and for the first time we are going to discuss the broad concept of prosperity. That's important. At the same time, a very comprehensive study has also been published about 150 years of data on our prosperity in the Netherlands and its use of raw materials, the impact it has on the climate. It has the title: the fragile prosperity. It seems to us that, before we debate the various departments and the broad concept of prosperity, we should discuss them separately. I'm asking for support for that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u130	Mr. Chairman. It is true that for the first time we have a feedback on both sustainability and broad prosperity, so it is important that this link is established.
ParlaMint-NL_2018-03-27-tweedekamer-37.u131	When you say "we," you mean the committee?
ParlaMint-NL_2018-03-27-tweedekamer-37.u132	Well, that's the way we look at it as a whole Chamber. I am a little afraid that this will snow under if this is only dealt with in the debate on responsibility. So I do feel for a separate debate, but I wonder if perhaps it could be even more convenient and faster in the committee, for example, in a general discussion. So perhaps we can discuss this at the EZK Committee's procedural meeting. I can also imagine that, when it comes to the circular economy, it would be wise not only to have Mr Wiebes, the Minister of EZK, but also Mrs Van Veldhoven, the Secretary of State of I and W. So I think we need to puzzle how we're going to do this in a good way, but I do feel like a separate debate on this subject.
ParlaMint-NL_2018-03-27-tweedekamer-37.u133	Thank you. That's what I wanted to hear, because that's what it was about. Then I will go to Mr Van der Lee on behalf of GroenLinks.
ParlaMint-NL_2018-03-27-tweedekamer-37.u134	I would like to wholeheartedly support Mr Van Raan.
ParlaMint-NL_2018-03-27-tweedekamer-37.u135	Let's see. Mrs. Van Eijs ran away? Then Mr Kops on behalf of the PVV.
ParlaMint-NL_2018-03-27-tweedekamer-37.u136	No support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u137	Mr. Chairman. It's all important subjects. As has already been said, there are more research and more subjects that come along. I would like to take a look in the CV at what is the right coherence. I would therefore like to discuss this proposal at the procedural meeting.
ParlaMint-NL_2018-03-27-tweedekamer-37.u138	So no support?
ParlaMint-NL_2018-03-27-tweedekamer-37.u139	Not now. I would prefer to set up a procedural meeting so that we can look at the substance of the matter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u140	May I ask a clarifying question? What commission?
ParlaMint-NL_2018-03-27-tweedekamer-37.u141	No, no. Mrs. Beckerman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u142	In principle, support for the request. Mr Van Raan just mentioned no ministers or secretaries of state in his application. I thought it was a good suggestion to involve both EZK and I and W. Perhaps it makes sense to discuss this further, but at least support for the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u143	Support for Mr Van Raan's request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u144	Yeah, sorry, Chairman. I just had to ask what Mrs. Mulder had said. At the moment, no support for a debate, but for the letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u145	Yes. Mr. Van Raan, right now, you have no support from a majority of the Chamber.
ParlaMint-NL_2018-03-27-tweedekamer-37.u146	I think I will follow Mrs Mulder's suggestion, namely to play with it in the Committee on Economic and Monetary Affairs and Industrial Policy and to see how we can involve IenW in this. Thank you for that suggestion.
ParlaMint-NL_2018-03-27-tweedekamer-37.u147	Sounds good to me. Thank you. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Then Mr von Martels on behalf of the CDA Group.
ParlaMint-NL_2018-03-27-tweedekamer-37.u148	Thank you, Mr President. Basically, I can be brief. Following the message "Dirty truck bypassing environmental zones," I would very much like to request a debate with the Secretary of State of I and W. What is the case? Cameras of environmental zones only control Dutch cars and not foreign trucks, including old trucks. That is the reason for this application.
ParlaMint-NL_2018-03-27-tweedekamer-37.u149	Support for the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u150	Mr. Chairman. I understand that questions have already been raised on this subject, and the Minister has already spoken about this. I would prefer a letter first, so at the moment no support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u151	Support, Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u152	Support for the request for a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u153	Support for the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u154	Mr President, it seems to me that there should be a letter first, because this also transcends this ministry, because it is about the exchange of registration numbers and the like. So no support for a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u155	I agree with what Mr Ziengs said, because this is indeed about several ministries and, for example, about air quality. So support for Mr Ziengs' line: a letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u156	Mr. Von Martels, you have no majority.
ParlaMint-NL_2018-03-27-tweedekamer-37.u157	No, I'm coming to that conclusion, too. I'm not going for a 30-member debate. My patience must be put to the test.
ParlaMint-NL_2018-03-27-tweedekamer-37.u158	Thank you. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mrs Becker on behalf of the VVD. Mrs. Becker? Then I'll go to Mrs. Lodder's on behalf of the VVD.
ParlaMint-NL_2018-03-27-tweedekamer-37.u159	Mr. Chairman. Last Friday it became clear that there is a draft proposal under the derogation. This has also been discussed during Question Time. I would like to ask for a debate with the Minister for Agriculture to discuss the European Commission's proposal, preferably after approval has been given by the Nitrate Committee.
ParlaMint-NL_2018-03-27-tweedekamer-37.u160	I'm in a generous mood, so I'm gonna back up on this.
ParlaMint-NL_2018-03-27-tweedekamer-37.u161	Mr President, on behalf of my colleague, I support the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u162	Mr President, support, but only after we have received a letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u163	On behalf of my colleague Futselaar: support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u164	Support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u165	Support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u166	Thank you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u167	Mrs. Lodders, you have a majority. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I am going to Mr Van Ojik on behalf of GroenLinks.
ParlaMint-NL_2018-03-27-tweedekamer-37.u168	Thank you, Mr President. We all know how terrible the situation is in Syria. Unfortunately, there are reports that it is becoming increasingly difficult to escape from the country. That has everything to do with the situation on the Turkish-Syrian border. We discussed this with the Prime Minister and the Minister for Foreign Affairs yesterday during the debate on the State of the Union. There will be a letter about it, as Minister Blok has promised. I would now like to propose a debate on this letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u169	Who's talking about this? Mr Grothuizen, D66.
ParlaMint-NL_2018-03-27-tweedekamer-37.u170	Thank you, Mr. Chairman. Mr Van Ojik is right to say that this is a very important issue. He's right to say we're still waiting for that letter. I would first like to wait for that letter and see what exactly is in it, and then consider whether a debate is needed. At the moment, therefore, no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u171	This request is also on behalf of my colleague Karabulut, so I support it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u172	Yes! It's very good of you to remind me of that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u173	Mr President, I would also like to receive that letter first. We also have an AO on asylum in the morning. So Mr Bram van Ojik and I can both discuss this subject tomorrow morning.
ParlaMint-NL_2018-03-27-tweedekamer-37.u174	So for the time being, no support. Mrs. Kuik, PvdA.
ParlaMint-NL_2018-03-27-tweedekamer-37.u175	Support, Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u176	Mr President, a very important subject. We would also like to see that letter soon. I would also like to see the answers to the CDA Group's parliamentary questions on pre-accession aid, in which we ask about the projects supported in prisons, police and justice in Turkey. If we have it in a week, we can see how we treat it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u177	I do not think I have a majority in favour of a debate now, but I do have a lot of positive intentions to have a debate quickly once the letter arrives. May I conclude, Madam President?
ParlaMint-NL_2018-03-27-tweedekamer-37.u178	Well, it's not like that. If there is a letter, you can always ask for a debate again, but for the time being you have no majority.
ParlaMint-NL_2018-03-27-tweedekamer-37.u179	I'll be sure to.
ParlaMint-NL_2018-03-27-tweedekamer-37.u180	I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mrs Becker on behalf of the VVD.
ParlaMint-NL_2018-03-27-tweedekamer-37.u181	Excuse me, Mr President, I wouldn't have listened sharp enough in the corridors that I was next. On behalf of Mrs Kuik of the CDA, I would like to ask for a debate with Minister Kaag on the abuses in the aid sector and the possible tightening up of policies in this area. Minister Kaag sent a letter on this matter on Friday. It will deal with the aid sector and will issue a supplementary letter in April. We would like a plenary debate on this.
ParlaMint-NL_2018-03-27-tweedekamer-37.u182	Who's talking about this? Mrs. Van Weerdenburg.
ParlaMint-NL_2018-03-27-tweedekamer-37.u183	Support from the PVV.
ParlaMint-NL_2018-03-27-tweedekamer-37.u184	Support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u185	You actually already have a majority. So I don't have to give everyone the floor, but it's okay.
ParlaMint-NL_2018-03-27-tweedekamer-37.u186	Last week Mrs Kuik asked for the same debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u187	I was also thinking whether I had not heard it before; she did so partly on behalf of Mrs Becker but had no support, I understand.
ParlaMint-NL_2018-03-27-tweedekamer-37.u188	No, because the letter was due. That letter is now announced at the end of April. So I would like to wait for the letter, but I would like to support it. But I think it would be nice if Mrs Kuik could be the first to speak.
ParlaMint-NL_2018-03-27-tweedekamer-37.u189	I am also asking for the debate on behalf of Mrs Kuik. Mrs Kuik and I have already talked about ensuring that we both have the opportunity there.
ParlaMint-NL_2018-03-27-tweedekamer-37.u190	Yes, you did say that at the beginning. Mr Bouali on behalf of D66.
