ParlaMint-NL_2018-07-10-eerstekamer-16.u1	The next item is the continuation of the joint debate on legislative proposals 34915 and 34916.
ParlaMint-NL_2018-07-10-eerstekamer-16.u12	Mrs Faber, finally, on this point.
ParlaMint-NL_2018-07-10-eerstekamer-16.u13	It is true that Antonov flew at a lower level, but he flew at such a high level that he could only be brought down by an advanced missile system.
ParlaMint-NL_2018-07-10-eerstekamer-16.u14	That is an observation by the Ukrainian minister, but that does not change the fact that Antonov flew at a lower level. I also think that this law does not make much difference, quite frankly.
ParlaMint-NL_2018-07-10-eerstekamer-16.u15	That's exactly what I was going to say, which the Minister's just closing with. I don't think this place is in order. It is now about the treaty and the law that is based on it to prosecute. So I think it is a little unnecessary to re-examine the whole of the facts.
ParlaMint-NL_2018-07-10-eerstekamer-16.u16	That's one thing. The other thing is that I don't understand very well what the contradiction is. Those MANPADS are advanced weapons, but they don't make it up to ten kilometers or more. This also shows that Antonov flew a lot lower. That was actually all I wanted to observe about that.
ParlaMint-NL_2018-07-10-eerstekamer-16.u17	I do not know exactly what the Minister's answer is. It was about not closing the airspace in time. I do not have the impression that the government has actually taken a stand on this. I read in the Acts of the House of Representatives that the Minister explicitly says that this is actually part of the entire criminal investigation that is going to be done, because that can also be a factor in the reasons for bringing down the MH17. Do I understand correctly that the closure of airspace on time or not is also part of the criminal investigation?
ParlaMint-NL_2018-07-10-eerstekamer-16.u18	Well, I don't remember that being discussed in the Chamber. I think we're going to be very... Mrs Faber's questions weren't about this. Those were fine questions, by the way, but the questions were why it was not completely closed, why only a flight ban was chosen for so many feet and so many other things. I answered that, but I didn't go into the question of whether...
ParlaMint-NL_2018-07-10-eerstekamer-16.u19	Okay, but then maybe you'll answer my question.
ParlaMint-NL_2018-07-10-eerstekamer-16.u20	I do have a lot of answers here. Absolutely, I'm getting to that. I have here the question of Mr Knip and Mr Strik or the Government about the statements made by the second additional protocol to the European Convention on Mutual Assistance in Criminal Matters and to the EU legal assistance agreement, which means that the possibility of hearing suspects by videoconference is not being withdrawn as soon as possible. That is a different subject, but I shall return to Mrs Strik's subject in a moment. We are indeed seriously considering withdrawing these statements. I would like to do so in the wider context of the application of the videoconference in Dutch criminal law, which is also being discussed in the context of the modernisation of the Code of Criminal Procedure. There are very clear developments in this regard. I would like to point out that the government does not want to leave in general terms the policy that a suspect is physically present at his trial and will always be focusing on extradition of suspects. In any case, I will take a decision on this in the near future. The member Knip asked if the Minister could give an indication of the situation with regard to identifying culprits, now that the Russian Federation as a state has recently been held liable. It's up to the state's attorney's office to assess who's a suspect and against whom there's sufficient evidence. In September 2016, the Joint Investigation Team reported a group of about 100 people who could somehow be associated with the downing of MH17. Meanwhile, the role of a large number of them is much clearer and the Joint Investigation Team focuses on a smaller group, but I want to leave it at that in the interest of the research. The Joint Investigation Team has indicated that it is convinced that the Buk installation used is of the 53rd brigade. That presentation has, I can assume, been seen by everyone, and it has provided convincing proof of that as far as this minister is concerned. Mr Kox asked about the issue of expectation management. He said that we have had cases of this kind and that it did not actually come to a conclusion. Lockerbie might be an exception to that. I support that call. The legislative proposals we are discussing today are an important step, but there is still a very long way to go and success is not guaranteed. We strive for truth finding and satisfaction, but we also depend on other countries, who must be prepared to face the truth and do justice to the victims and relatives. I hope, like all of you, that one day it will be clear what happened on 17 July 2014 and that those responsible for this disaster will be punished. But I would like to refer to the words of the Prime Minister shortly after it had happened, who quoted one of your members: it is our duty to go after this, what has happened and what has happened and what has happened to the perpetrators. I stand for the fulfillment of that duty. Mr Kox and Mr Strik also asked if I could explain how I think the video interview should be practically arranged. This practical development is indeed an important issue in the preparation of the process. Many parties are involved: the Public Prosecutor's Office and the judiciary, and of course there is also consultation with Ukraine. However, the demands of a fair trial are paramount. Both the Netherlands and Ukraine are parties to the European Convention on Human Rights, which means that the practical effect of the trial by videoconference must not only be in line with the quality requirements laid down in Dutch law, but must also be able to pass the test against the ECHR. We're working on that practical elaboration. We are still working hard on this, but there is still a lot to be done. Mrs Strik asked what procedural law applies. That is therefore Dutch criminal law. Ukrainian law does not apply, but the Ukrainian competent authority present in the area where the suspect is located may check that no fundamental principles of Ukrainian law are violated during the hearing.
ParlaMint-NL_2018-07-10-eerstekamer-16.u21	The minister said he would end the speakers in order. He hasn't answered some of the questions I've asked.
ParlaMint-NL_2018-07-10-eerstekamer-16.u22	No.
ParlaMint-NL_2018-07-10-eerstekamer-16.u23	Is that gonna come, or...?
ParlaMint-NL_2018-07-10-eerstekamer-16.u24	Yeah, that's gonna come.
ParlaMint-NL_2018-07-10-eerstekamer-16.u25	Okay. And you are also talking about Ukraine's ratification?
ParlaMint-NL_2018-07-10-eerstekamer-16.u26	I'll check my papers. Yeah, there's a lot of answers coming up now that the name of the member Kox is above. I think it's about 12. I would also like to make it quite clear, in response to the questions put by Mr Kox and Mr Strik, that I am convinced that our professional and experienced Dutch judges of the court of The Hague will remain far from violating the fundamental principles of Ukrainian law. Mr Kox asked if there were any contacts with the Russian authorities regarding the hearing of persons in Eastern Ukraine. The criminal investigation is still ongoing. I cannot, therefore, give any further information on whether or not to hear witnesses and suspects in the interest of the investigation at this time. How problematic do I estimate the settlement of the process when it comes to the enforcement of penalties in third countries? That's what Mr. Kox asked. The implementation of Dutch penalties in Ukraine is precisely regulated by the present Treaty. With regard to the other countries, it will be necessary to consider on a case-by-case basis whether and to what extent the transfer and enforcement of Dutch criminal sentences or the extradition of the convicted person by the third country to the Netherlands is legally possible. Mr Kox also mentioned that it took a long time for the First Chamber to debate this treaty. The Convention was concluded on 7 July 2017. Subsequently, the implementation procedure was speeded up and both legislative proposals were submitted for consultation only to the Public Prosecutor and the Council for the purpose of the case-law in view of the need for urgency. An urgent opinion was then obtained from the Council of State. As I have already said, your Chamber has taken up the matter with speed and, incidentally, so has the House of Representatives.
ParlaMint-NL_2018-07-10-eerstekamer-16.u27	Done things don't happen, but I also hear Ben Knapen say: you can take these things off as a hammer piece, but this is far too important, given the promise we made to do it right. And this Chamber would like to do business well. In my opinion, such an important treaty could have been discussed in committee, because there is still a great deal to be done, as you yourself say. The road's just begun. Anyway, that's over now. My question concerns the next step. That's ratification by the Verchovna Rada in Kiev.
ParlaMint-NL_2018-07-10-eerstekamer-16.u28	Ratification of...?
ParlaMint-NL_2018-07-10-eerstekamer-16.u29	... of the Treaty by Ukraine. We can say yes, but Ukraine must also say yes. As far as I know, that hasn't happened in Kiev in parliament. There is no ratification yet. I know Parliament a little bit in Kiev. There it goes a little more noisy than it goes here. In other words, are there any obstacles to be expected from parties in that large parliament who say: sorry, but we are not going to give that up, because that is a motion of censure in Ukraine's case law? We can do that ourselves, so why don't we? Do we know anything about that yet? The first step to be taken after today is that Ukraine's parliament will support the Minister of Justice. Can the Minister tell us anything about that?
ParlaMint-NL_2018-07-10-eerstekamer-16.u30	Mr Kox had a question about this in the first term. My answer to that is that last Wednesday the Treaty was discussed in two parliamentary committees of the Rada. That's the Ukrainian Parliament. I understand that the treaty received unanimous support and parliamentarians have called for it to be implemented as soon as possible. It is expected that the Treaty will be debated in plenary this week in the Rada and that it will be put to the vote. Let's build our hopes on that. Mr Kox also had a question on an issue that is not really the subject of today, but I think it is good to say something about it. That is the state responsibility, the multilateral treaty. I assume that Mr Kox is referring to the draft articles on state liability for international irregular acts of the International Law Commission, the ILC. I see him nodding. They were adopted by the UN General Assembly in 2001. This was preceded by a very long and difficult process. That even started in 1953. The adoption by the UN General Assembly was then, in 2001, the most feasible. There was insufficient support to further lay it down in a treaty. That is not necessary in itself, because these articles are already being put into practice by judges in several countries.
ParlaMint-NL_2018-07-10-eerstekamer-16.u31	The Netherlands is one of many countries that say: we now have articles dealing with this terribly complex issue. However, the proposal of that international committee to include it in an international treaty was not supported by the Netherlands. We've seen in the Rainbow Warrior case how complicated it is if you don't have it. In the end, there has been a result and the state's liability has been established. We are using that figure now. Hasn't what happened now led the government to rethink? For perhaps it would be wise to change our position from 'no, this treaty does not have to come' to 'let's look again at the arguments for achieving such a treaty'. The issue of state liability and the criminal case are still going to take a very long time. At Lockerbie it took 12 years for the first day of the criminal trial to take place. So is the government at least willing to think about our attitude? Does she want to reconsider the "no, there does not need to be an international treaty based on those articles"?
ParlaMint-NL_2018-07-10-eerstekamer-16.u32	Let me say again that this really falls outside the framework of the Treaty, the law, which we are talking about here. This is about state liability. I find it very difficult to say anything about that. Since I am interested in the subject, I would like to speak with your Chamber as a lawyer. I find it very difficult to talk about this, because that would be a shortcoming for my foreign minister, because he is in charge of the whole. Moreover, I think that we should really have a debate on this with each other. Maybe we should do that sometime, first in the House of Representatives, of course. I don't want to send Mr. Kox home without something, so to speak. I think that there has been a very clear choice for a state liability, which the Minister for Foreign Affairs has also explained in the Second Chamber debate, which is covered by some other international treaties. This is without prejudice to any discussion as to whether we should have anything with these articles, at least as far as this minister is concerned. But I would also like to make it very clear that I do not think it is being discussed at the moment, not only today, but also in the context of MH17, to start this discussion right now. I really do not want to say more about it, because then I am going to have a debate which I think should at least enable Minister Blok to take part in.
ParlaMint-NL_2018-07-10-eerstekamer-16.u33	Mr. Kox, one more time at this point.
ParlaMint-NL_2018-07-10-eerstekamer-16.u34	In my view, the order is primarily in the hands of the President. I think this is important. Not only I, but several speakers have said that we are talking about this treaty, but also about the promise made by the Dutch Government: we are going to get to the bottom of this and we are going to study every course of justice. That is why, in addition to the criminal proceedings, the government has opted for that other course of action. And then I think that in a debate we have about how the Netherlands is going to do justice to that promise, this is also on the agenda. I am not asking you to undertake today that you will do this or that. We all know this is gonna take years. And then I think that anything that the Dutch Government can or can now consider should not be suspended until later, but that the government should think about it. This Chamber can help to think about that, because we will of course come to talk about it. It is not for nothing that all kinds of lawyers warn us: pay attention, a criminal trial becomes very, very, very difficult. I have given a number of examples. State liability becomes very, very, very difficult. There is an example: Rainbow Warrior, where it has been successful to some extent. Are there any other roads? I do think that the Dutch Government should understand these legal proceedings and also discuss them with the Chamber. That is not out of order, but that is part of the promise to the victims and to the Dutch people: we are going to explore every possible course of justice.
ParlaMint-NL_2018-07-10-eerstekamer-16.u35	But now I'm going to intervene, Mr. Kox. You mentioned me and we are discussing the bill as it stands: 34915 and 34916. You've been able to give your opinion. I think we are now restricting ourselves to discussing both legislative proposals. There is much to say about it, and I fully agree with you, and it is all very complicated, but I want us now to confine ourselves to both legislative proposals.
ParlaMint-NL_2018-07-10-eerstekamer-16.u36	I would like to make a final point, Mr President. This has also been discussed in the House of Representatives. I don't see why this Chamber couldn't talk about this and the House of Representatives could. The Minister has already predicted that this Chamber would be discussing it, so I think it is too far, especially because it was not out of order on the other side.
ParlaMint-NL_2018-07-10-eerstekamer-16.u37	I am not blaming you, I am just saying that we are now restricting ourselves to both legislative proposals before us. That's not a reproach. I think we should take the time to talk about this at another time. I think that the offer made by Minister Grapperhaus, which also includes the Foreign Minister, is indeed very realistic and that we can have a good debate on this.
ParlaMint-NL_2018-07-10-eerstekamer-16.u38	Mr President, I would like to say that we discussed this state liability separately in the House of Representatives; Mr Blok and I. To put it all together: I was perhaps the sidecar of his motorcycle, in this case. After that, I discussed these legislative proposals separately with the Chamber, without Mr Blok. I do not want to fail to do so, I say through you, but I think that, precisely because of the estimated complications of both procedures, it is really in the interest of putting in place good laws and a good trial, later, that we should concentrate on that criminal trial. My point remains that I would like to discuss this in a debate with the Foreign Minister on this subject and on the articles. That should be in the Lower House first, but okay.
ParlaMint-NL_2018-07-10-eerstekamer-16.u39	Then we agree.
ParlaMint-NL_2018-07-10-eerstekamer-16.u40	I will continue with Mr. Kox. I would also like to discuss the issue of Ukraine's airspace. Why has Ukraine not been held liable as a state? I am going to go into that briefly, although this is a little bit off-limits from today. As a cabinet, we have studied all legal options to achieve truth finding and justice. On the basis of all the documents that are there, I have also discussed this in detail with Blok; it is also contained in the letter from Blok to the House of Representatives, including the information from public sources, own investigations, reports from the Research Council and legal investigation into possible foundations and evidence, in the opinion of the Cabinet, there is currently no legally convincing evidence for Ukraine's successful accountability. It is not excluded that certain information from the criminal investigation appears to be relevant to the question of whether countries other than Russia can be held liable. I would like to stress here that the cabinet itself does not rule out an option. Furthermore, the responsibility of another State is a major step in international traffic. The cabinet does not use that instrument lightly. Only if there is legally convincing evidence will that happen. You have heard me say earlier that the evidence presented by the Joint Investigation Team at the point of the missile installation of the 53rd brigade is the rocket that shot down the MH17... is the type of hard evidence we are talking about. I come to Mrs Vlietstra's questions, who wondered how Ukrainian criminal law relates to Dutch law. Can the enforcement of a Dutch sentence in Ukraine result in a lower sentence? As far as the level of penalties is concerned, I have noted that there are no major differences between the criminal laws of Ukraine and the Netherlands. Moreover, in the case of the transfer of the enforcement of penalties imposed in the Netherlands to Ukraine, such penalties may be adjusted only in a very limited manner. The reduction of the penalty is only possible if the penalty imposed in the Netherlands would exceed the Ukrainian legal penalty limit, in so far as there is an excess. But I have already told you that the differences are not great. They're small. Mrs Vlietstra and Mrs Baay-Timmerman asked for the consent of a suspect to stand trial by videoconference. That is an important subject. Mr President, I hope you will allow me to comment on this a little longer. The possibility of being tried by videoconference, where the defendant is in a country other than the country in which he is tried, is a special feature. As far as I know, that has never happened before. However, there is experience with videoconferencing at domestic trial. Think, for example, of the Mafia trials in Italy. Some international criminal tribunals also use videoconferencing for certain purposes. The Dutch law has allowed hearing by videoconference for more than ten years, including trial by videoconference, but in practice there has been no widespread application so far. In Dutch practice, trial by videoconferencing has never been applied. The aim is to ensure that the trial of taking down flight MH17 takes place as far as possible in the presence of the suspects. Being justified by videoconference is only a possibility in the situation that a suspect cannot be extradited from Ukraine because he is Ukrainian. This could also be done in the case of nationals of other countries if we find at some point that these countries also have such a ban on extradition of their own nationals and if we can make such an agreement with those countries. Let me just say this for the sake of completeness. Current Dutch law requires the defendant to agree to the trial by videoconference. The same applies to international regulations. There too, the consent of suspects is required. This applies both to Dutch law and to the treaties. In this context, it is questionable whether the Netherlands and Ukraine can agree together to depart from a treaty in force between them, namely the second additional protocol to the European Convention on Mutual Assistance in Criminal Matters, or whether they should first denounce that second additional protocol. The termination of the protocol is not an issue, because it is an important instrument for criminal cooperation with many countries in many other ways. The expression has already been used in a different context: then we are going to put the horse behind the cart. Or at least one mile to seven, if you know what I mean. What would we achieve by releasing the consent requirement? Without the consent of the suspect, no meaningful participation can be expected in a process involving videoconferencing. A suspect who's been tried against his will won't be willing to cooperate in that video interrogation. A suspect cannot be forced to declare, because he has the right to remain silent. The purpose of the application of videoconferencing is then only that the idea is visible, to the other participants in the criminal proceedings and to the audience present in the courtroom in the Netherlands. We still run the risk that the judge will actually find that only visible without consent is not in line with the conventions and other standards that the Netherlands and Ukraine are bound by. According to the applicable Dutch law, a suspect is still not, in principle, obliged to be present at his trial. I know that the government is preparing a bill to oblige certain suspects of serious crimes to attend the trial and judgment, but that is not yet a valid right. So it could not be included in the treaty we are talking about today. I believe that we should work together to ensure that the MH17 process does not become vulnerable by making different arrangements on this important issue. I think Mr Knapen said it very strikingly this morning: we should not bargain with demands from an international treaty in the bilateral treaty with Ukraine. I endorse that. The Dutch court shall decide on the application of videoconferencing to the trial. It remains to be seen whether the court would decide if the defendant did not agree to it and that consent by way of derogation from existing rules would not be required. In short, we can also run into the situation that we think we've arranged it but the Dutch judge says: I don't agree with it because of the rules of a fair trial. It is also not clear in advance how the Ukrainian judge would decide if a suspect would object there. Mrs Baay has asked questions about the injunction. Such an order from the Dutch court cannot as such be enforced in Ukraine. However, it may be relevant to the competent Ukrainian authorities, which are obliged to ensure that the suspect is actually present if he has agreed to stand trial by videoconference. The Dutch court cannot give orders to the Ukrainian authorities, but such an order may make it clear that the person concerned should appear in view of that consent. Mr President, I shall conclude on this point. As is well known, I have promised the House of Representatives to seek further advice on the consent requirement with a view to possible agreements to be concluded in the future. I will inform the House of Representatives by letter. That letter, I would like to undertake, will also be sent to your Chamber.
ParlaMint-NL_2018-07-10-eerstekamer-16.u41	It triggered me that the Minister indicated that the Ukrainian judge might object to this. Can the Minister give any outline of when the Ukrainian judge will be dealt with in this procedure? The whole trial was just handed over to the Dutch authorities, wasn't it? Maybe he can clarify that a little bit.
ParlaMint-NL_2018-07-10-eerstekamer-16.u42	That is correct, but I have also indicated that there can still be a test of whether there is a violation of fundamental principles of fair trial law. If this were the reverse Ukraine-Netherlands, it would always be a point for the Dutch court, and a suspect would be able to rely on it through his own national court or bring it to the attention of the public.
ParlaMint-NL_2018-07-10-eerstekamer-16.u43	So the defendant can actually invoke the Ukrainian judge throughout the trial when he or she believes that fundamental principles of Ukrainian criminal law are being violated?
