ParlaMint-IS_2017-03-02-38.u1	We're expecting lunchtime off the clock. 13 o'clock. 14 today.
ParlaMint-IS_2017-03-02-38.u12	A respectable president. At the point that we are today, as we look back on our journey, we can see that together we have achieved amazing success in improving our rates. The recent increase in financial resources is far beyond what we can expect each year. In this situation, I believe that we should stop and accept the fact that we cannot continue to have expectations of such a tremendous increase in money, but we must look intently at how we can defend the high level of money that we have created in a relatively short period of time, building on the greater long - term growth of buying power, which must then be slower and shorter steps into the future. The challenges of the labour market model, trying to bring us closer to the Norwegian model, including the turn. that the groups do not want to be trapped in the location where they are today. [[The president calls.]] They also focus on the fact that women's work is generally less rewarded, as we see today. It is, therefore, natural to wonder, " Am I happy with it and so many other things? ' But these are all the things we can talk about and find ways out.
ParlaMint-IS_2017-03-02-38.u13	A respectable president. The government covenant noted that it should be aimed at reducing the payment of individual health care providers. I welcome this declaration because it's one of the issues that the forward party puts emphasis on. In addition, we want access to healthcare professionals not dependent on the patient's economy. Sadly, there are too many subjects that have developed where the cost of patients is seriously burdensome and that was just discussed this week in the media. We fishermen have talked about putting a common roof on medical expenses, medical expenses, and support costs. So I ask the highest. He or she feels that he is fair enough to include patients in the bill and whether there is one common payment suit to be considered.
ParlaMint-IS_2017-03-02-38.u14	Madam President. Thank you. A senator very much for a very important question. The health - care factor is a very important matter. We received a strong indication in a report from ASI last year showing that during the last 20◯25 years, the percentage of individuals in Iceland's health - care system has increased by half or more, to a high level of 18% at the most. The good news is that this has only been reduced. The government's clear policy is to reduce this share. We also know that the cost of participation varies considerably according to what is appropriate. We know that there is a high proportion of dental costs, psychological costs, and depending on the type of treatment required, on the diseases that have been affected, on the cost ratio. In addition to the major objective of reducing the mean cost ratio, it is naturally very important to address this imbalance between individuals depending on which treatment they need to be treated. As the senator knows, we are taking in a new payment system adopted at the General Assembly last year. Sadly, because computer systems and others were not ready to use the system until May 1, the system had to be delayed. There, however, it is assumed to lower the roof, level it, and lower it. I'm sorry, I'm sorry, because I can see that I'm done with my time, that I'll come back to answer my ideas about the sum. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u15	A respectable president. Thank you very much. Health Minister for the patient's response and meditation. However, I have to come back with the question because I didn't get the answer, and he said that he would bring it in the next answer. But I ask him again and again, what he thinks is a fair roof for a patient's income count and whether they're looking at building a roof on medical expenses, medical expenses, and support costs so that there will be a higher overall policy on this.
ParlaMint-IS_2017-03-02-38.u16	Madam President. As if I didn't get to my previous answer, there's a new cost of pharmaceuticals. We've had a little experience with that. There's your thumb, somewhere about 70,000 a year, if I remember correctly. The pay system for medical services that we are taking into account now May 1 will include the roof in the Regulation. At any rate, it is clear that on the one hand, we are looking at a roof that will be located somewhere in this space, at 50,000,400,000, for general individuals, and then much lower for children, the elderly, and the desperate. At least I think it's an important first step. There we are on the average, cutting the cost from what was just happened. I'm thinking we should head down. The last figures I've seen are that we've reached the cost of the event down to 17%. In other parts of the North, it is generally in the range of 14,8κ17%. [[The president calls.]] I feel that we should, at least, do no worse than the nations do best.
ParlaMint-IS_2017-03-02-38.u17	Madam President. I'd like to ask the highest. Industrial Ministers to the declarations of environmental Ministers that there will be no allocation to new indiscriminate investment agreements due to pollution of industry. She's said that that chapter in Iceland is over. Hv. paritaprevir It's been asked by Oddný G. Harðardóttir before. Environment Minister on these matters at council. They did not explain the government's policies on the delicate interaction of the environment and the work structure. Investments to new investments are given under the framework of an indiscriminate game of 2015. Here are some conditions that must be met in order to enjoy pleasure. There is no mention of the lack of support from contaminated industry. Businesses and individuals must be equal to the law. So I ask a Industrial Minister how to achieve the targets of no damage to contaminated industry, whether or not to change the framework of injury and the level of contaminated industry is considered to be the highest degree. Minister. Does the term pollutes on projects that fall under the EU's commercial release system for which Iceland is involved? These projects can undergo assessments of environmental impact and be authorised on the basis of Icelandic legislation. Can the government's declaration be understood so that new projects could be started that could be called contaminating industry, but only if they don't get an investment contract with the Italians?
ParlaMint-IS_2017-03-02-38.u18	Madam President. Thank you. A senator's inquiry. In the government covenant, this is made clear. A senator crossed. That, of course, is what we ministers work for. It is true to say that the framework is a frame law, which means that if any tasks meet those conditions, it must be legally difficult to make extensive transfers there. I'm looking at the Ministry on the one hand, whether to change the law in order to fulfill the will and expectations we have for future projects and to establish some definition of what is contaminated big business. We know exactly or I fancy that this gray area is not very large. I think most of the projects would either be classified as a contaminating industry if they release an X-high amount of CO. 2 or not. It's a job that's going on at the Ministry. If we have to make some changes, I will bring them into the council.
ParlaMint-IS_2017-03-02-38.u19	Madam President. I still think the government policy on this case is unclear. This, however, was one of the few very clearly stated in the government covenant, and the political treaty is of no value unless declarations are not superior. It's good, of course, if it's the highest. So a minister intends to ask himself, " Do I need new laws to achieve government policy? ' What a disappointment it was, though, to see nothing of this in the government file! I ask again: Will a minister make such a decision, or does she have to rely on the government opposition that has actually taken this issue?
ParlaMint-IS_2017-03-02-38.u20	You're absolutely right. Of course, a senator's office is a statement. It has neither corrected nor established as a law or a legal term nor any other legal term for it. In a government covenant, the government's will and plans were made during this terms, and this is made known. That's why I'm here saying that I'm having the Ministry examined if any change is necessary in order to fulfill a new government contract. It is true that this did not appear on the file, for the Constitution is submitted very soon after a new government takes over. This would have required a lot of work, and I'm not going to contribute bills at the council that's not well-funded or ready. It may come, not at this council, but at the next, if anything needs to be changed. [[The president calls.]] [[The president calls.]] I don't want to say any more than what I know right now.
ParlaMint-IS_2017-03-02-38.u21	A respectable president. In the development of the government, the Office of the Office of the Office of Economic and Economic Affairs was transferred to the Ministry of Presidency. In response to a request from the Web site center on why this would have been made known to the highest degree. Prime Minister that it would be because the Court's independence in question was desirable for his administration and for his approval of money and gang policy to be in a ministry other than the financial structure of the state. The question is, the respectable president, when did he discover the ultimate? Is this the case with the prime minister? Was it before he accepted the office of finance minister or during his ministry as minister of finance? When such conflicting interests arose in his time as secretary of finance, the interests of whom did the Ministry of finance or the Federal Bank come on top? I'm asking about this now because at the same time I'm going to ask about big issues, big interests where there may be different priorities between the Federal Bank and the Ministry of Economic Affairs, and then the Ministry of Directors, which is whether or not to compromise the policy that was set down and follow during the last term on emissions and up to the demands. I'm asking for some information about how to negotiate with a worker who didn't want to participate in the invitation made last year to let them out before they were planned. It's like the highest. A minister of man was the basic premise of the invitation that all were aware that those who were not willing to participate in the sweet, would go out last, and would thus benefit from sharing in the campaign. Is that what it is now going to be? [[The president calls.]] What is the position of the Ministry of Presidency, the Office, and the Ministry of finance to do so?
ParlaMint-IS_2017-03-02-38.u22	Madam President. It is good to use the core as a warrant, but no doubt to add, when asked about the reasons for bringing the Federal Bank to the Ministry of Presidency - and certainly this is the only evidence, i.e. with relatively new laws, you can see that it can have meaning for the independence of the Federal Bank not to have too much under the Ministry of Economic Affairs in the financial relations between these two parties. Among other things, I am referring to the fact that under certain circumstances, a contribution from the State may be made. But that's just one point of many. I intend to raise the role of the Ministry of Presidency to have economic management in general and to recruit the Ministry of Experts to do the same. In connection with this, it is not unusual for the Council of Presidency to be represented, as he has so often done over the years. The question here is: Has the importance of the transition changed when it comes to a plan for emissions of the sea. The short answer is that there are no big changes. It is true that special bills were made based on limitations for those who did not participate in the invitation. In fact, we followed this plan back in the fall and then back by the years, starting to clear our heads for the domestic market. Today, individuals are free to move money from one country to another far beyond what was previously valid. And as we discussed in the bill submitted to the council for the past year, government officials are now working to develop the next step in this program. It must come to that job to see how you might handle the shorebar part, but at the same time, make sure you open the possibility of further and, in fact, full of recreation as soon as possible.
ParlaMint-IS_2017-03-02-38.u23	A respectable president. V.E.G. The prime minister seems to have doubts about the core as a source, but I was just referring to his own answer to that site. I think the answer is the highest. A minister does not add much. So let's let it be between parts whether the CIA is safer in the Ministry of Presidency than in the Ministry of Economics. It may have something to do with who is the secretary of finance now. A respectable president. V.E.G. In reply, the prime minister did not answer my question about how to continue with a plan, and it is important to keep that in mind. There is a treatment plan for emissions. V.E.G. A minister merely traced to what the strategy would have meant. We all know here how that plan was set up. What I'm asking the highest. Minister of, will he abandon my seemingly policies? At any rate, it has been reported in the media at any given moment. different from what was announced at the time of the decree, the representatives of the Ministry of Presidency, the Ministry of Economics, and the Sentencing Bank have found representatives of these hedge funds to discuss whether to let them out earlier. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u24	A respectable president. What has long been discussed in connection with the landowners is this: We are not going to sacrifice anything to make it possible for these agents to get out of the country with their possessions if it means in any way that the rest of the public, the companies in this country, rural governments and others, pension funds, are in trouble. That's what this has been all about. There has been no change in policy, there is no way to create a solution for an Off-country owner who does not, at the same time, hides that it will be possible to take over a lot of trouble. [[Up front.]] In a sense, we have been working with this same mental attitude each year when we held an invitation for an African owner. Then we were not giving them any special treatment to get their first solution before we took over the affairs of the public and the rest of the country, and in exactly the same way we are winning the case right now.
ParlaMint-IS_2017-03-02-38.u25	The arrangement has been agreed on.
ParlaMint-IS_2017-03-02-38.u26	President. Honorable senators. The report on this subject at the General Assembly is presented to my initiative in order to gather up the latest and best information about the state of climate and to provide a discussion on the next steps in these areas. I believe now is a good time to take up a discussion on climate issues at the General Assembly, where they are high on the agenda of a new government and we have also received a new analysis from the National Institute of Economics at the University of Iceland. The analysis of the Economics Agency is a warning but also an incentive. Predictions of emissions show significant increases over the years to come and that we will not remain unchanged at the target within the Kyoto Protocol in 2020 and the Paris Convention in 2030. However, it also says that we Icelanders have many opportunities to reduce emissions and increase carbon binding. Many measures are relatively cheap, and some may even yield financial profits regardless of the benefits for climate and the environment. The report discusses quite a few details about Iceland's commitment to climate. Iceland, like most countries around the world, has reported goals under the Paris Convention but also includes European rules on the basis of the EEA Convention. The importance of emissions varies depending on, for example. international flights, heavy industry, or automobiles. Displacement from the country is out of commitment, but the benefits of such measures as forestry, land healing, and the recovery of wetlands can be considered to outweigh emissions in other sectors. This is not a time to break up this rule, but it is essential that the most involved in climate projects are clearly recognized. On the ground, this project is simple. It is designed to reduce greenhouse gas emissions and to produce carbon from the atmosphere. We are to strive to live up to our commitments according to the rules, but we are also to promote success wherever we can, regardless of where the climate benefits are transferred to a book. Where, then, should our emphasis be? Some of the key elements are listed in the report. Transport energy exchange is a project that is facing. Economics say that such things are good for the livestock, both the climate and the climate. In addition, there is an increase in energy security and pollution impacts. The same can be said of many other climate projects, which give other benefits to take into account. Travel, innovation, and industrial ministers have proposed a resolution that I expect to be the foundation of a very powerful work on that issue. Energy exchange is also possible in fishing roads. It has reduced emissions, and it would be a joy to speed up the joyful trend. In agriculture, I also find it appropriate to ask if some of the government's support can be used for climate - related projects. Land use affords big opportunities. Forests and land transplants, except carbon from the atmosphere. That's the right thing to add. Restored wetlands can reduce emissions from chronic swamps. It is the monarchy to promote a career there, but it is evident that scientific assessments of success need to be enhanced there. Iceland has been an expansive task force to take action on land use as a recognized climate action, which has sometimes come under fire. The European Union's internal rules cover how much action can be assumed in land use against other emissions. However, our support for agricultural reforms should not be minimized, which directly benefit the climate and bring benefits to a wide variety of ecology and social benefits. It is the largest source of emissions in the country and the largest increase. The big business is a part of a European business system where the responsibility is actually placed on the shoulders of an enterprise rather than directly on the authority of the government. A large business in this country has done well, releasing a very small amount of production unit. Nevertheless, governments must take a big part in the bigger picture. The Declaration of the Government states that there will be no more indiscriminate agreements with contaminated industry. It has been carried out with a sense of urgency over the years, which is now changing. I think it's right to watch, for example. for energy exchange on the use of our renewable energy in the near future. I could mention more than just stop here. We need to understand, though, that there is no single magic solution, no one task that can solve everything. We need to move forward wherever we can see results and priorities that are most practical and that yield a wide range of benefits. It is clear that these actions will not be performed automatically. Governments need to push them into reality and make a plan for what will be done best. It takes green taxes and incentives. There are laws in the Declaration of Policy to add the tax system to that direction. It needs funding. Not all costs are spent, but projects of this magnitude cannot be dealt with without costing anything. They need understanding. We need to introduce climate issues to the government's plans where appropriate. It needs intelligence. Icelandic scientists and businesses have achieved excellent results on climate - related solutions. There's a resource that needs to be activated more effectively. Most important of all is the will. It takes good cooperation and consultation. The Environmental and Resource Ministry can't guarantee results on its own. There are many, perhaps most, governments, but even the State's authority can change what is needed. This is a place where everyone has to lie down on the years; the careers, societies, universities, social groups, and the public. We will continue to follow the 2010 Action Programme and strive to achieve our commitments within the Kyoto Protocol before 2020. I intend to launch a 2030 action programme as soon as possible and plan it at the end of the year. In this regard, it is important to have a good cooperation within the board of directors and noncounsels. In addition to that plan, I would also like to implement a guide on how to minimize greenhouse gas emissions and preferably reach non-carbonization by 2050. It's important to live up to Iceland's commitment to 2030, but it's just as necessary to shape our future and long-term vision. I can see that the climate Council, which the Council concluded last year, can have a leading role in making such a road guide. I don't expect everyone to agree on every action and emphasis to reduce climate change, and I just think it's good to look at the benefits and reason on the best ways to build up good information. But I am optimistic that we can find good harmony at the World Council and in the community to promote activities in climate and go to work with the will and optimism of the people. Iceland may not weigh heavily on the world's release textbooks, but our conduct can be a source of guidance if it is successful. We can be proud of the thermal industry and the fact that almost 100% energy to power and heating comes from renewable energy sources. That certainly is good for us today. Still, we must not lose our sense of urgency. In Iceland, emissions are nearly twice as much as in Europe. We don't have enough opportunities. The aims and commitments of the international community on greenhouse gas emissions will become more severe in the future, and it will cost Iceland, in direct, money, if we don't fill our share of that commitment. That is one reason why we need to expand our climate activities. A less difficult reason is that solutions require solutions and solutions are opportunities. Modern science, whether in earth's heat, green shipping technology, or the use of carbon dioxide on Hellishi, can bring us and other solutions to the future. I believe Iceland can be the leader of climate states. Headship calls for sense, will and power. The report on the state and policy of climate is designed to increase knowledge and understanding of the subject and its situation. The discussion here can resolve a desire for fine works. That will have to be accomplished in political and financial power to accomplish it. I thank you for this opportunity to introduce this report, and I look forward to hearing what I have to say. Councilmen are talking about the matter and sharing in the discussion.
ParlaMint-IS_2017-03-02-38.u27	A respectable president. First, I want to commend the highest. Environment and resource minister, both for the highest resources. The minister said in his speech, and I can wholeheartedly agree, not least for the new tone we are discussing in the report we are discussing here. It is refreshing, to say the least, to read panels of environmental and climates that look realistically at the situation, since feathers are not necessarily being pulled over or dressed with stolen feathers. I'd like to commend the highest. Ministers for that, despite yesterday's international complimentary date, it's fine to extend it. Corporates such as, by the permission of the president: It is not always possible to refer to the ancient thermal industrializations as an example of Iceland's advisability in climate ◯, it sounds good. That's what we've done, last of all, just in the policy-making program where the first sentence of a report is quite a compliment. I want to talk about what we have to do, like the highest. Minister called in. I agree with the highest. Minister it may need to be. I welcome the will of the world. Minister's showing. Some of the things needed to be done are mentioned in a further report, but it has to be said, as it is, that there is a lack of any knowledge of what to do, what to return it to less emissions, and what cost it will cost. This will likely be the case in the conversation we will have and the work that will follow. The cost is especially important. It is not easy to make dramatic statements on how we are going to achieve remarkable environmental success, but if a direct ear -mark operation program is not available, much action is not expected. I think, for example. That it was then the highest. Environment Minister Guðmundur Bjarnason, who first mentioned it as an operation in climates that it would have to enable the fleet to use electricity in its ports. That was 1995, and it has not yet come true. Reports at the top. Environment Minister is fine for his hat, nice ground for discussion. But what's there, e.g. the financing? In fact, the report itself, with the permission of a president, has been addressed: Although specific funding has been used through the years, many developed countries have some kind of funding programs to promote innovation and solutions to achieve emissions targets. Then there is the appearance of a climate application program of 250 million. K. Each year and more, talking about the future government income from sales of ETS on European markets, which is well. It would have been good if the climate Fund, established during the season 2009 ◯2013, had not been removed from the reception of the highest level. The last government. Had that not been done, we would have had more money to work on and support innovation. It is good to draw up the position and realize that we will not meet the Kyoto Protocol targets for 2020 in spite of the expert regulations, as this report says. It's good to have a good time. Environment Ministers recognize this and include it in the report. It is clear that in the years to come, e.g. the value of increasing their expenses to buy at ETS clearances as it is morning light that their prices will rise. It will be interesting to see how corporations that do not all work too well according to their own standards are coping with this growing cost, since there is no way the State will come to that, or what? Speaking of the industry, it's a pleasure to be the highest. Ministers speak as they speak about her. As explained in the recent report by the National Institute of Economics, Iceland's University on Climate Turbulence will be reduced, other means must be searched. But what's the big movie? As a community, what do we need to do? We need to integrate the measures and policies we have proposed. The plan for transport energy exchange needs to be discussed with all the other plans. How are we going to reach the goal that 2025 can link all ships in ports? What's it got to do with a plan for power lines? I don't think the electrical power system will have been strengthened so in 2025 that it will be possible. We all need to get together, we need a funded operation plan, we need the cooperation of all government levels, we need serious partnerships with rural society, our job life, getting climates into education. It should not matter where good ideas come from. Let's reimburse the board, put the environment in foregrounds, work together, no matter where we stand, no matter where the ideas come from. Well, it's the environment of us all.
ParlaMint-IS_2017-03-02-38.u28	President. I'll be compliments to the highest. Environment Minister. I am very happy to see the emphasis that has been made in the report, but I also want to encourage the highest. Minister to action and offer to cooperate. I think it's necessary, when we're talking about long-term plans, decades into the future, that we're going to trace it by getting cross-cutting an agreement on that strategy, and it's necessary that this work also takes place at the council scene, and I think it's necessary to build up an effort to further cooperation on major issues. Pirats and I have taken a very ambitious policy on climate and I would like to tear it down only here so that it is clear that these words have a great deal of responsibility and support from the grass roots of Piranta. It is very important, when we look at the problems we face as a nation in relation to all mankind and the great woes facing our planet's environment that we take into account the entire matter. It's not just emissions, it's the lifestyle, it's the plastic, it's acidification of the sea, consumption practices, and crazy methods of transporting goods from abroad. I never forget when I heard that one result of the Eyjafjörður eruption was upset and troubled in Kenya because farmers couldn't send tulips to Holland. This seems to me to be a reflection of what we're dealing with nature and the consequences of our actions. But I have so little time that I have to stop speaking freely and go over our policies of Pirata. Climate change and the challenges they face are one of the most important challenges of modern politics. What means will be used to prevent further irreversible effects on earth's environment and our quality of life is important. The extinction of animal species, the ongoing drought, and the change in climate that affects the world's crops and security are among other factors. The consequences of changing climates that need to be controlled. Piranians want Iceland to take a clear stand against further oil search and oil development in the economic history, want the polluters to provide more than conventional taxes and to use economic incentives to reduce emissions of pollution in the environment. Pirates want Iceland to lead on climate issues, take action that meet the conditions of the Paris Convention, and set the example for other nations to do the same. The aim of Pirata's action policy on climate is to fulfill Iceland's international commitments and to take responsibility for the case that results in significant and real success and long-term improvements. Our objective plan says: 1st The legislation should ensure that in all approved Parliaments and the long term programmes of the government, natural protection, as well as the direct and indirect costs, including greenhouse gas emissions and other pollutants, are guided. 2. Factors that release pollutants in the environment should always carry the costs, in accordance with the pollution control and precautions. 3. Greenhouse gas emissions: a. Greenhouse gas emissions should be reduced in accordance with the Paris Convention by 2025, about 40%, and that other emissions of these materials will be virtually absent in the year 2040. b. The wood should be built for electrical, biosecured vehicles and ships. c. Similarly, the Kingdom will contribute to and support the pollution of public transportation and the use of electrical riding wheels. For example, the introduction of the 6th MARPOL Convention will immediately provide protection against marine pollution from ships so that the marine environment of Iceland will become an ECA area and ships allowing emissions of sulphur levels to be less than 0.1%. The treatment and use of black oil should be completely banned in Iceland's waters by 2025. f. ships sailing on Icelandic land weekends without leaving, should pay land cover, and it is higher for ships that do not have blue flags, environmental witnesses, or other untraceable proofs to show that MARPOL's regulations are fulfilled in the ship. G. A ambitious projection of greenhouse gas emissions from land use, such as deforestation, mining, groundwater, and so forth. h. policy to significantly reduce emissions of greenhouse gases from animal and land. This should be taken into account in a new agricultural policy. i. Forest development and land healing should be intensified in agrienvironmentous land, but in accordance with national planning and other rules. j. Specific measures should be taken to complete the recovery of wetlands by 2025. K. Iceland is to take a clear stand against further oil search and oil development in economic history. 4. Economic inducers should be used to reduce pollution emissions in the environment. a. Any activity that releases pollutants in the environment should provide more than standard taxes. b. Meningational rocks should be higher than the amount of best available pollution technology in each case. c. The knowledge, financial incentive, and structure of tourism should be intensified with little or no emissions of pollutants, such as walking, riding, and using public transportation. For example, other vehicles and machines using fossil fuels should carry a pollutant in the form of carbon tax, which is progressive as fuel consumption and emissions of air pollutants are increased. We have quite a few more suggestions on what you can do, but this is all too short of the time we have here to discuss such a big deal. But I'm celebrating this report. I'm celebrating maximum course. Ministers and once again we're invited to cooperate. I'm the highest. A minister to look at Pirata's environmental policy with focus on climate issues because it teaches various useful grasses and many of the experts we've had the advantage to work with experts who have been counseling for the Ministry. I hope we can take this work here at the Council and that, as we have seen, we will take on the necessary schedule as well as on how we can find funds to carry out the necessary strategy in these matters.
