ParlaMint-IS_2017-03-06-39.u1	The next week will be referred to as a work schedule.
ParlaMint-IS_2017-03-06-39.u12	Madam President. It is thus in both transport and road and completely clear that it should be carried out on a schedule adopted by the General Assembly, and it will be fueled by individual projects, as per Article 4. Section 3. adapting transport programmes and 2nd-registered areas. Section 16. A road song. This can't be any clearer. This should be carried out according to programmes that are cut off by individual projects and that have been approved by the General. As a result, a travel minister cannot deal with the mismanagement between road plans and budgets to take control of the strategy decided by the General Assembly. It can't resist. It can't resist. It can't be controlled. It can't resist the law. The minister in his emergency defense could bring all the coins down evenly and say that he was neutral in the order of the Generalis, but he cannot take extraordinary steps and throw them out completely while others get fully established. It doesn't make sense. Then he must make a new suggestion, new priorities, for the Council, and, of course, more money is needed. [[The president calls.]] [[The president calls.]] There's no other way for this to be solved. Of course, the message from society today is simple: It cannot last any longer. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u13	Madam President. I insist that we get a transport plan to talk to you about. Of course, these are not acceptable practices. The financial committee was given the bitter cup to try to set priorities and make financial preparations, trying to establish the small budget of transportation that was planned and to promote solidarity in difficult situations. Then comes a new government that has nothing to do with it. Nothing. It is, of course, not a decent government to work like this. The whole government is responsible for these tactics. We need to get more funding into this team, transportation in the country. It was said that a new government would adopt the budget. Where is that work now? Don't you think they'll do anything about it? Under the circumstances, wasn't this a provision for Christmas on the budget? But now the government's not going to do anything. [[The president calls.]] Just stirring the pots each one in his own department and offering it to the Americans. [[The president calls.]] I think we're all just going to chain ourselves to some way to show the seriousness of this matter. [[Up front.]] It's in many countries that way.
ParlaMint-IS_2017-03-06-39.u14	President has to ask. A member of the body is showing respect for the part of the public speaker.
ParlaMint-IS_2017-03-06-39.u15	A respectable president. I was a member of the budget board in December. As we considered the priorities involved. Then road and departments came and presented the job position to a financial committee. A financial committee included two current ministers and the president of the Generals. They know exactly what it is and what an agreement was made. The news that is coming to us today is not consistent with the agreement that these Ministers and the president of the Generals know about. This is not in accordance with what the Road Building and the Ministry told us about the status of the project programme and we agreed. This is a little tricky, and especially dangerous now that there are new laws on government finance, which suggest that a minister can reinvent his missions and activities and that the Council can do nothing about it. [[The president calls.]] We need to take this action.
ParlaMint-IS_2017-03-06-39.u16	V.E.G. President. It is not unusual, in itself, for it affects the entire population. It is clear that the policy of transportation that we agreed on raised hopes, especially since the cutdown to these infrastructures has been enormous in recent years and the situation is roading all over the country, so there is a need for full improvement. I'd like to inform you that I have been chairman of the Environment and Transport Committee requested to have a transport minister at the Committee's meeting and that he has made that request, and we will meet with him on Wednesday.
ParlaMint-IS_2017-03-06-39.u17	A respectable president. Thank you. paritaprevir Valgerður's Gunnarsdóttir's choice for her initiative or initiative by the Committee to call the minister to a meeting, but I don't think that would do any good. It is naturally a limited number of members of Congress on the environment and transport committee. Transport plan is a matter of concern to the entire council. So I wish that the president will take the initiative to make a discussion, whether it's a special discussion or even that the Minister will give us a report of the changes he is making in the will of the Generals when it comes to transportation. I have to say, however, that we should not be surprised that this is done. That government was created on the basis of clear will, including The secretary of finance, that this should not increase the income of the state's funds, here should not be the necessary infrastructure. The Minister of Transport has been looking for some income stocks, but it seems to be completely contrary to the policy presented in financial policy at the council. [[The president calls.]] Therefore, I wish that the president will take the initiative to have a report or a special discussion with a minister so that we can hear from him directly what he is doing. [[The president calls.]] [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u18	Madam President. It is not so simple that it is merely a matter of priorities. paritaprevir This is Gunnarsdóttir's daughter's Valgerður. It's about boundaries. Here we have a minister who seems to think of himself as the new sun king, who goes for power to someone other than the Generals. All I want to do is direct it to Mrs. and the senators... that we set up and arrange a course for a new minister of authority.
ParlaMint-IS_2017-03-06-39.u19	Madam President. The reason for meeting December's budget was rather simple. Among the things we were able to get together was to make significant improvements in transport. It also included the making of specific projects. There was no government working, i.e. It was a government, but it did not change the fact that this government set limits for us. What was suggested, however, in the Committee's Committee of the Committee, at the request of the Ministry, was that we would not list all the changes we are making on the budget. Hence, all of these changes were not required, whether it was transport, culture, or health matters, but were not completely in the committee's opinion. Now the minister is going to compromise with this decision because it was not the tenth. It's unacceptable, and we senators can't accept this, we're just passive tools at the council, and we have little here to do if we're to ignore this will. [[The president calls.]] V.E.G. The minister of Jón Gunnarsson needs to submit a new transport strategy that we can discuss. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u20	A respectable president. I think it's just one thing to say. In fact, a minister is not authorized by the current law to go against the decisions of the Generals. I'm asking for the president's help in driving him back with this. That's the biggest one there is. Jón Gunnarsson's minister has to use all his power. We've seen it in his office in the past. We saw earlier that he was fired back with changes in the frame plan. Now it's time to run the highest. Minister Jón Gunnarsson has returned with priority for the implementation of transport programmes. I can't believe, Mr. Honorable President, that more of the Generals are supporting the staff. Minister of Jón Gunnarsson. I would like to remind you, as it has been mentioned, that there is a request for a special discussion on the transport process at a request. paritaprevir Kolbeinn Francis Otttar's Óttarsson Proppér to Jón Gunnarsson's son. I wish to a respectable president that this discussion will be immediately over the next few days because there is no waiting for the situation. [[The president calls.]] Allegiance is at stake.
ParlaMint-IS_2017-03-06-39.u21	V.E.G. President. In such matters, it is reasonable that members of the Parliament have strong conjectures and strong opinions. However, I ask them how these discussions can be directed to an organized and upbuilding channel here at the council rather than to be in the President's conference board with excitement and enthusiasm. In this discussion, there has been considerable agitation and exasperation. We have received the information from the Chairman of the Environment and Transport Committee that a minister will appear to them on the other day to discuss these views. I believe it is only natural that the discussion will begin at that point, although it may not be completed there. In the same way, it is normal for a financial committee to consider the factors involved. But most of all, I think it's important for us to discuss these matters objectively and in some structured direction rather than that 20 people come to the President's conference board to get upset when there are opportunities to get these matters organized. [[The president calls.]] [[Up front.]] [[The president calls.]] [[Up front.]]
ParlaMint-IS_2017-03-06-39.u22	V.E.G. President. This is where I'm gonna measure my calm and calmness. I have tried to develop it and intend to continue to do so. I also want to think in terms and suggest how we can solve this situation. I'm happy as hell. paritaprevir This is Valgerður's Gunnarsdóttir's choice, reporting to us at the highest. Ministers will install a transport committee. Also, I know that there is a request to the highest. Ministers, report to the budget board. I think that's a good idea, and I suggest that the president encourage the highest power. Minister to do that. Then I'd also like to agree with the notion that it would be extremely good and useful, good for us here, to come together and talk to the highest degree. Minister on which way we're going. Are we here just on some sort of merry-go-round, fucking senators on some show? Then we might as well stay down here in the exercise room as the Ministers can handle it. That's not how it's supposed to work. But let's talk. And let's just calm down, that's all of us.
ParlaMint-IS_2017-03-06-39.u23	A respectable president. I'm gonna be a little more excited than what you're doing. Senator. Although I'm glad that a meeting has been called on the highest transport board. Minister I don't think that's enough. At least I think it would be possible to have this meeting open, because it's a meeting that's important to the whole country. So I'll encourage you to do it. Environment and transport committees will maintain an open meeting with the highest level. Minister on this matter because it's very serious. What example does it give to other stewards that a minister can only ignore the authority of the council, the boundaries the council has set for the Commission? If that's okay with us, we don't have much to do here. But at least we can try to think in solutions, and I think that one of the answers is an open committee meeting with the highest level. Secretary of transportation. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u24	Madam President. I am very happy to read from the improved chapters of the government's declaration of cooperation at the moment, with permission of the president: It must be built up trust in the basics of society, including the General... How do we build up trust by accepting a campaign plan for elections, speaking in an election campaign about the need to finance that structure, and then, right after the election, it's forgotten? Then how do we build trust here within the council, not just to the voters, but to the 63 members here at the council? How do we build up that trust when we agree with an agreement to a budget made by a minister who feels that he is not bound by anything? The spirit of that agreement is only thrown out the window if a minister seems to like it. It is about trust that we need to build up, both toward the nation and toward one another. To accomplish this, you need to take the highest power. Minister Jón Gunnarsson has some kind of communication course because he is unprovable in this role. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2017-03-06-39.u25	President. I'll agree with the solutions that have been presented here. We're all calm, except maybe we're okay. A member of the Independence Party here talking about excitement. But I think it's amazing to see what's going on. A minister here behaves repeatedly, as is true of those affected by this issue. By permission of the president, Jón Gunnarsson told the secretary of transportation that the local protests had not changed, the decision had been made on the road priority, but he hoped to get more funding for next year's discussion so that the road could be completed. Madam President. The priority was set. There was a vote here at the council as to what that priorities should be like. V.E.G. It seems that a minister does not intend to listen to local protests or members of Congress or to his own decision. [[The president calls.]] It's amazing to me. I challenge the president in part that this discussion will be discussed with the Minister of Congress in bright light.
ParlaMint-IS_2017-03-06-39.u26	A respectable president. As we have reached this point, the budget was taken up in some kind of reconciliation in December. Some took pride in that reconciliation and talked about how good she had been, including both the highest. the current prime minister and the highest. The current financial minister. Part of that reconciliation was a common understanding that it would be adopted when a new government began ruling. They're making a fool out of the Senate by acting like it was merely a matter of smiling in the audience. I don't think that much lies ahead of me either. paritaprevir In a fatherly tone and problem with others, the offer of an annual Ármannsson is here to show up how to behave. But I'm glad to hear what's going on. The senator to set these matters straight, and he would like to agree. paritaprevir The Svandís Svavarsdóttir to remind me of my plea for discussion at the highest level. The secretary of transportation is quick to consider these matters. paritaprevir A Birgir's Ármannsson was declaring support, and I would like to ask for it with the sun in my heart and in my strength of calm. The president will try to establish that discussion as soon as possible. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u27	Madam President. Of course, we must have this part of the discussion under this team, about the President's conference board, because it's about the highest level. A minister has ignored decisions made in this hall by the General. That's why we have to wait to the highest level. President of the Council on this matter. Well, that's the role of the president. That's what I'm saying. Very calm. Then, of course, we need to have a discussion about transportation in a larger and wider context, so we want to agree with those who have spoken about the special discussion. paritaprevir Sir Kolbeinn Óttarsson Proppé has requested to deal with the highest. A minister will be scheduled as soon as possible, and I really mean this week, because it should be named next week, and it's a case that can't wait. [[The president calls.]] [[The president calls.]] It is out of the community that we discuss this matter, and that is what we should do.
ParlaMint-IS_2017-03-06-39.u28	A respectable president. I'm not surprised at the harsh reactions we've been experiencing here, not at all. I would like to say that there would have been a great improvement if we had had the opportunity to meet an environment and transport committee with the highest level. A secretary of transportation to obtain at least the time of his development. I say for myself, though I am the first member of the Northwestern district, I do not have a final list from the Minister on that subject. Second, I'd like to say and confirm that in December we made quite a few adjustments to the budget bill and we discussed an assignment. We've been talking about putting funds on animal tunnels. We discussed Hermann, a major project such as Fallifos Road, but we did not download a project on the final report of the Commission, and we looked at the way that the minister had to have in some way self - custody in that regard, since he is naturally able to stop to 9 billion holes that came after the legal committee of last December. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u29	A respectable president. Here a new assembly adopted an approved but vastly expanded transport plan. While management did not finance this transport program in the budget, it did more than 20 billion over a financial program on other projects, for example. not for the health system. A new assembly was arranged and needed to provide financial support for the health and transportation programs. It simply did not achieve an agreement on higher donations to finance the transport plan or the health system. We didn't get any more money than we agreed on in the Congress's agreement on funding 2017. This is the problem we face. The management board did not finance a transport program as it was supposed to be. Rather, it provided a bill that was 20 billion over a budget without a transport plan. [[The president calls.]] [[The president calls.]] We had to stop in the hole. There was no agreement on any higher than this. [[The president calls.]] Now we're sitting in the soup when the Ministers come to an angle. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u30	Madam President. It's not complicated. Ministers are acting on behalf of the council. Ministers are required to carry out what the council agrees with them. On the other hand, if they do not do what the council wants to do, there is no need to ask. Then the minister may not have any support or commission. We made a deal here for Christmas. It's minimal enough that the Minister maintains that agreement. Of course, the transport plan needs to be adopted and a new order instituted. But the council cannot agree that the minister ignores an agreement that all members of the council shared in making before Christmas. It's not working. President. I can't believe Mr. President is putting it over us. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u31	A respectable president. If I understand correctly, it was Frenchman Charles de Secondat de Montesquieu, who was the first to point out the need to separate lawgivers, executives, and jurists. He was perfectly right, since he presented such specific and sound reasoning. Now we see an example in which this is not working. There is also another one. It may not have been mentioned here, that is national will. In the autumn, the program was discussed, and it eventually adopted in good terms. After all, members of Congress and the general population agreed on the need to provide considerable more funding for the infrastructure, especially for transport systems. So it's like a wet rag right now. [[The president calls.]] Our Berrudard partners did a pretty good job, I must say.
ParlaMint-IS_2017-03-06-39.u32	Madam President. Of course, it is important that the secretary of transportation handles the matter. We have to stand here to protect the honour of the Generals and make sure the law is followed. But the big task is to open your eyes to the fact that the hunger policy on road events has to stop. This situation is no longer possible. There's gotta be a significant change here. Transport costs need to be increased, especially road transport. That's what it takes. There's got to be some kind of money to make. And it would be so good that road fees, fuel, and oil tax laws, and miles of oil, are in full force that means all the revenues that come from a special tax on gasoline, oil tax, and the cost of a mile, minus 0.5% that the state receives in collection fees. Would it not be advisable, then, to unite here at the General Assembly to use these institutions before proceedings? That would be in the eight months of the year, which could be charged with raising expenses, drawing something into the lack below. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u33	Madam President. I just want to continue with the discussion from a budget board in December that walked, as we know, very quickly. I would really like to encourage the current minister, social and equal minister and secretary of state who was on a budget at the time to make some sense of transport. In fact, they may have failed the test in the first place because a financial committee that agreed on a few points and a few billion on this additional project was in accordance with the opinion of the people of the Committee that when a new government, whatever the case, had to take over the budget, the government would have to make its mark on them. This government has not chosen to do so. I also wonder about it, and I ask people to think about it as we discuss government policy: It does not control the performances and other future health, welfare, education, and transportation practices. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u34	There are: health ministers, social and equal ministers, marine and agricultural ministers, foreign ministers, and Ministers of Justice.
ParlaMint-IS_2017-03-06-39.u35	Madam President. I'm going back to where it was gone. You see, I want to talk to the highest. Health Minister and Chairman Brights the future for reasons that the government is going to ignore the transport plan, a means of transportation that he approved for elections at the same time and that he promised better tactics, new politics, and less willing. A new political arrangement was adopted by transport. It was achieved across groups. They are leaping from the table, and they don't intend to fulfill it. Yet, even before elections, the cost of the project was too high. This does not work out that the solution is just the highest. A secretary of transportation has proclaimed that the charges around the capital area, which were not discussed for elections, should be carried out, or nothing will be done. Now it looks like the highest. A secretary of transportation intends to prioritize tasks on his own. Therefore, I ask, Are these counted as willing ones, Mr. Health Minister? And I'm asking the highest. Ministers also: How, then, are we to live up to and accept a means of transportation? Will he take advantage of a national budget plan that will bring money into line with an approved transport plan? How will he seek financial support in this work? In other words, which leads to the highest. A minister can be used to fulfill his promise?
ParlaMint-IS_2017-03-06-39.u36	A respectable president. Thank you. A senator for the inquiry. A valid protocol was adopted under very special conditions, such as conditions. A senator knows. She was submitted shortly before the election. It was known when it was submitted that it was out of harmony with the current financial plan of the previous government. I personally sat as an assistant on the Environment and Transport Committee for a meeting where we scratched our heads over this. True, a positive outlook was in our mind that a more successful approach would be possible to finance a transport program. This year's budget was made clear in the work of the Christmas Fund Committee, as it was being agreed and working on funding for the year that they were able to add a little bit to meeting the lack of transport. I can say that this is a problem. We know that the infrastructure has been subsidized from collapse. This is especially true on the road. Therefore, it is of great importance that solidarity was achieved, first on the Environment and Transport Committee of the Last Parliament and again on a budgetary committee, with emphasis on improving maintenance. It was done. That's very important to me. But it is our job now in preparing financial programs for the next year to improve properly. I find this an important assignment, but it is also a hard assignment because there is a lack of other areas, and we have problems with public financial expenses at the age of three. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u37	Madam President. V.E.G. A minister does not see reason to answer directly the four questions I raised to him. Then I ask him to answer one thing: Secretary to work at the highest. Ministers are normal, or does he think they're willing? So he'll answer that. And finally, Telev. Ministers to underinvest transport with other litigations, including health care? I especially mention difficult medical transportation and, of course, too many of the accidents that have occurred in recent years.
ParlaMint-IS_2017-03-06-39.u38	A respectable president. I believe that subsidence in the transport system will be affected by something else, that's what it says. Unfortunately, we've seen an increased number of accidents, especially with a very large increase in tourism, increased traffic, especially in certain areas of the country, and is directed directly toward the state, to one-burn bridges, etc., so we have a lot of work to do. We know this in my case too, where there is increased physical stress, and there is an increased strain on emergency health care facilities here and there. I've said it before in this chair that about A tenth patient in the hospital intensive care unit is a tourist from an accident.
ParlaMint-IS_2017-03-06-39.u39	What about the Minister's work?
ParlaMint-IS_2017-03-06-39.u40	These are the problems. I think the Minister's work is in line with the situation we've been in, where our last council approved a lettering process that we need to work on. [[The president calls.]] [[The president calls.]] I think it's very important that the Minister introduces an environment and transport committee and is happy that such a decision has been made.
ParlaMint-IS_2017-03-06-39.u41	Madam President. I'd like to direct my inquiry to the highest level. Secretary of health. This virgin talk of mine at the General Assembly delayed for a few weeks because of illness that I don't think I have to trace any further. Therefore, given the occasion, I would like to ask the highest. Health Minister when a body of Congress can expect to learn about the government's mental - health action programme. I know from my own experience that this case has an emergency. I now say that patients are discriminated against by whether they have a condition called physical or mental illness, and things will only get worse if we continue on the same path. A mental ward is well - off, and even the furniture in it is disintegrating so that the patients are not mentioned. As is the case today, mental health problems can only take someone in grave danger. Those who are less ill need to wait until their case is resolved. Only then can you do something. It may be likened to not accepting a patient with an atherothrombotic event, telling him to return when he has fallen from a heart attack. Only then will anyone be able to keep him alive. Simply put, it's a crazy policy that costs lives. On average, up to one Icelander every week falls by his own hand, far more than does he die in traffic. There is therefore a hurry to get answers from the highest. Healthcare Minister on how much time we have left to deal with this crisis immediately during the current session, both in terms of the current emergency situation of mental health care and prevention to ensure it is not even worse.
ParlaMint-IS_2017-03-06-39.u42	Madam President. Thank you. A senator for the inquiry and also congratulates him on the virgin talk. This is a very important subject that is very close to my heart. Mental health is, I'm not saying, but it really needs a lot of injection. I've looked at a mental - health conference adopted during springtime last year. There is a policy on how we are preparing for the Ministry, but unfortunately, that work is not finished. This is due, in part, to elections, government crisis, and because the government was late, but I hope to bring them work to the council as soon as possible. I agree with what. A senator to invest in mental health care, increased service, not only at the Land Hospital and Great Hospitals, but also through the medical clinic, through the community, and directly through the school system - we have previously discussed psychological services into the high school that I think is a very important project and may cooperate with medical care. These are important tasks and important investments for society. One of the things we need to develop now in planning financial programmes to the next five years is how we can lift the preventive and public health components of the budget, let's say, to improve the end of quality of life and also create direct savings at the other end. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u43	Madam President. I'd like to thank you very much. A health minister for the answers. In particular, it is important to consider that these packages are used as part of a prevention system, as he spoke of, and in high school, high school, and elsewhere. Finally, I would like to ask if there is a special program for mental health care in young people or whether they are really just part of this bigger package that we are about to deal with.
ParlaMint-IS_2017-03-06-39.u44	Madam President. As I said in my first speech, there is a program of action at the Ministry of Mental Health. In fact, it is said that young people's affairs are very high in this category because the shoe is in a hurry. In the Treaty, it is stated that we emphasize the quality of life for young people as well as for the families of young people who are so important. Likewise, it is important to look to those who are in trouble, especially children. So this emphasis is important in our work. But again, I thank the senator very much for your good inquiry and happiness with the virgin talk.
ParlaMint-IS_2017-03-06-39.u45	Madam President. It's headed for a busy day at the highest. Secretary of health. I'm going to ask him about health care, not transportation or sea care. I've had a place to say before. The minister for his position on private or private health care and, of course, encouraged him to stand by the public health system and to resist the efforts of private profits further into the core of health care. There's reason to pick up the case now, including for the news of the company's private driving. In view of the reply of a minister, until this which I have found somewhat floating, I will ask: "Where is the chief? Minister's presence now? Which place is the highest. A minister now on the matter of prosecuting the private company to begin a special hospital service cost of public funds? The question is simply, Will the highest. Minister to launch a private hospital fund with pay from health insurance on the basis of a contract or not? May we be confident that we will do so at the highest. Ministers hold the public health system? Second, I think there's a reason to ask the highest question. Minister: Won't the Ministry have to review their definition of the activities that the clinical community already has and in the news that it already has specialized hospital operations, special surgical procedures, even though they are paid to the full extent of the procedure? Is it any longer helpful to let this happen under cover because it is a specialist job center where complex specialized surgical procedures involving general anaesthesia and everything are involved? As the Ministry changes its definition to the surgeon general's position that this is a special hospital operation, does it occur to the government's permission team and greater government options for operating?
ParlaMint-IS_2017-03-06-39.u46	Madam President. The definition of activities in the clinical setting or elsewhere, depending on whether there is a specialised hospital service or a health care professional centre, may be confused due to some lack of clarity. It is clear that activities conducted in the Clinical and other private centres are paid according to the Convention on Medical Insurance based on cross-cutting agreements with experts. I think the big question is work on actions that hear under the so-called wait-list campaign, i.e. in particular joint replacement procedures, cardiac catheterisations, eye surgery, in which the General decided to inject three years. We are now preparing and far along in the second year of this special campaign. We have not decided to negotiate with a private member in that context. Most of these measures have been carried out by the public hospital and health institutions. At the present time, it looks just fine with the rest of the year. I need to get into this deeper in my second speech.
ParlaMint-IS_2017-03-06-39.u47	Madam President. I'd rather celebrate it as the ultimate. The minister, in effect, says that he believes that there is no reason to look outside the public hospitals that are working with special funds down the waiting list, i.e. National Hospital, Akureyri Hospital, and Ac Arane, are looking well in that regard. The definition is not important. Of course, the big opinion here would be that, and the huge border being covered would be made a contract with a private hospital that is run for financial gain by private agents, who had entered a more specialized hospital service and with a sanitarium and a god knows what. I don't think that's going to be back. Therefore, it is not allowed to happen that, under the cover of the waiting lists and temporary circumstances, men should try to cut down these lines and launch the first private hospital in Iceland. V.E.G. When dealing with mental - health issues and other health issues, a minister is dealing with financial problems. Does it make any sense, then, to begin embezzling this portion of blister and acting against the position of the surgeon general, the Land Hospital, and such individuals in such cases? [[The president calls.]] I challenge the highest. Minister to stand on your feet.
ParlaMint-IS_2017-03-06-39.u48	A respectable president. Thank you. A senator for challenging me. He's done it before, challenging me to follow the law and to keep me. I certainly take it to myself. It is my basic duty to secure the ministry, to make sure that, as the law says, we give the people the best health care possible. Much of this is a strong public system, a strong Landspiral system, and it is my duty not to disrupt the public service system so that it cannot have full - time service and emergency services. This is especially so when I am making a decision on the wait list and, as I say, thank you for the encouragement. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u49	A respectable president. The European Union is currently making major breakthroughs in which one of the largest states, Britain, is preparing an outing. The European Union will be deeply concerned with these changes, as the future of this situation will have a major impact on Europe's future. This issue is also high in Iceland's foreign policy. In the Treaty of the Government of the Independence Party, Action, and Bear's Future in Foreign Affairs, the President's permission states: The Commission will work with the European Union on the European Environment Agency Convention. The development of the European Union in the coming years must be closely monitored and strictly observed in Iceland according to its individual circumstances. Special attention should be paid to the possibility of giving away from the relationship with Britain. The Parliament closely monitors Europe's development and increases its links to sister institutions in other European countries. This makes it clear that the main focus of the government policy is on the EEA agreement and therefore our involvement in EFTA, where EFTA is responsible for the implementation of the EEA Convention. A respectable president. It's after what's happened. The head of the General Assembly of the State Department and the Council of Reunion, Elínardóttir Sólveru Elinardóttir, on the U.S. newspaper Washington Times's press website, in Iceland's involvement in European Free Trade Associations no longer satisfied Iceland's interests. This was done further in the morning paper. So I ask the highest. Minister of State to see if he agrees with the head of the Foreign Affairs Committee on Iceland's involvement with EFTA is no longer effective in securing Iceland's interests.
ParlaMint-IS_2017-03-06-39.u50	A respectable president. Thank you. A senator for the inquiry. Hv. As shown in the Treaty, a member of the Parliament here carefully directs the policy of the government and quotes an article in which I do not know which was the right thing to say. A senator and president of the Foreign Affairs Committee. What I do know about that article, however, is that it was not accurate and not well accomplished when we discussed Iceland and our dealings with the European Union and the EEA and other such. The key point is that we are in good position when it comes to communication in Europe. The European Union has long been highly stratified. We have the European Union, the euro, EFTA, the EEA. Some countries are in NATO and others are not. We are in a position to have the EEA contract which provides us with access to the EU market. Of course, he will weigh less when one of the largest countries goes out and one of our most important business countries. It is obvious that our mission is to make sure that we have no greater access than we now have to British markets when the British leave the European Union. In the same way, of course, our mission is to make sure that we do so primarily through EFTA, that we have access to the big markets that are about to develop. Fortunately, we have good access, such as. to the market in China. Just to put things in perspective, the middle class in China has now become bigger and larger than the whole population of the United States. The answer to a question why. A senator, a former chief. The minister is simply, if the case is correct in this interview, that I do not agree with that statement, but I would like to discuss opportunities between Iceland's foreign trades in dealing with other countries. [[The president calls.]] [[The president calls.]]
