ParlaMint-IS_2017-05-24-70.u1	The president assumes that there will be a vote at about 1 00 p.m. 15th
ParlaMint-IS_2017-05-24-70.u19	Madam President. Thank you. The senator of this inquiry. I hear he shares my concerns with a lot of others of this great boost to the crown. It's like a whisk. A senator rightly says, sour. Of course, consumers rejoice when goods from abroad become less expensive, but they can come to our back when they face threats when they lose their jobs. Some have a salary that is directly linked to foreign currency, e.g. sailors. I'm not sure this operation is the best, but I'm not in charge. Like what? A senator knows there's a lot of freedom there, both in interest of interest and in these interventions. I had not heard of these purchases of bonds, but there is a tool that is involved in the binding of currency approved during the last council and has proved successful. However, I had heard that foreign parties were buying some of the stocks. It's getting bigger. I can answer why. A senator was absolutely clear that I believe that the wax - crumbling trade that occurred in 2008 brought us to disaster. I'm sure that's exactly where we agree.
ParlaMint-IS_2017-05-24-70.u20	A respectable president. Thank you very much. Minister of staff answers. It is evident not only from this answer but also from previous inquiry that a minister is afraid to give a very clear answer. The radical solution he spoke of in his previous reply is evidently a currency counsel. There is no common agreement in the government. The government business is very upset. I'd like to add one more question. It has been discussed, especially in the category of ministers, that the Icelandic crown's gang should be connected with a coin basket or a foreign currency, which appears to be the highest claim. Minister. Tells you the highest. Do not ministers that by letting the crown become firm hope and thus undermine the export industry, the right circumstances will arise in order to bind the crown's gangs to foreign coins or coin baskets? Will not the inactivity and inactivity of the government and possibly of the Council Bank lead to that conclusion? [[The president calls.]] Can a minister explain what suggestions are on the way?
ParlaMint-IS_2017-05-24-70.u21	A respectable president. You're right about what you're doing. A senator, the idea of a currency or other fixed connection between the crown and either a certain foreign coin or a coin basket is not a policy but a single rate. The restoration has proclaimed that course. However, in the fall of that year, I was aware that many people were snorkeling. The senators I spoke to after the election were interested in learning more about this. I hope this committee's work will lead to more interest in it. But I can answer that in no uncertain terms. A senator asks that the more the cost the cost of export work continues to grow, the more difficult the situation becomes for exporting roads. I'm so worried about that, I wasn't worried about it during the campaign, after the election, and they don't have to worry about it. [[The president calls.]]
ParlaMint-IS_2017-05-24-70.u22	Madam President. V.E.G. Prior to last year, the prime minister, point, and foreman of the government, when he was a minister of finance and economics to choose between a man and a woman in a management position in the Ministry of finance. At least a panel of emissaries had assessed the woman as qualified as the man, and it is clear that it involves women in government jobs in the Ministry. The Court's assessment of equality was to the highest level. A minister would have violated equality laws, for the law is clear that when leaning on the second sex and for such qualified individuals, the sex should be determined. This clear law ignored the highest. The prime minister decided to hire the man, thus breaking an equal law. V.E.G. Prior to this, Prime Minister Bjarni Benediktsson, president of the Independence Party, had expressed his firm view that a minister who violates equality law should immediately resign, but he does not insist on himself as he sits. The current minister of the Revolution, the Þorgerður of Katrín Gunnarsdóttir's daughter, former vice president of the Independence Party, also went to great lengths in the discussions at the time, claiming that a minister who received such a decree would be in deep shit, as she put it then. Now, however, you don't hear anything in the highest. a seafaring minister, the Þorgerður of Katrín Gunnarsdóttir's daughter, though such a offense committed her former platoon and a close associate. And now Þörger Þorgerður, the Katrín of Gunnarsdóttir, sits in the government claiming to give special attention to equality. But what does it say? Justice Minister? Does he not consider it serious that the prime minister himself has so clearly violated equality laws? It was the highest. Justice Minister pleased with the Prime Minister's response to the Commission's decision? Will he demand that equality be practiced and that there be consequences if it is violated? [[The president calls.]]
ParlaMint-IS_2017-05-24-70.u23	Madam President. Thank you. The senator of this inquiry. I'm not going to judge who will resign in such cases. I felt that it was a great political game at the time when this discussion began. The objective of the equality in this context is, not to hang some bag on the political authority at any given time, but to ensure the progress of the equality, to ensure equality between the sexes of the labour market, and especially in the public. This is the key point of the case that here is the basis for the definition of candidates and eventually the course to be taken in this case to appeal the case to the Court's Committee of Equal Opportunities, which leads to a different conclusion. Of course, it is the responsibility and responsibility of the government to respond in the way possible in the situation that may vary from time to time. It is extremely important to have this resource, to be respected and used where necessary, and how important it is that it uses us to ensure the progress of equality in the labour market, and especially in the public. It is then in the hands of the Ministry of Economics now to respond to this particular decision and how to handle it. I have full confidence that the current secretary of finance, along with the Ministry's administration, will do so in the right and effective way. I reiterate, however, that the main purpose of ensuring equality in the labour market, within the administration and securing a better balance in government management areas. Surely, then, all of us must agree to work.
ParlaMint-IS_2017-05-24-70.u24	Madam President. How's the top? Justice Minister to secure what he preaches here? I want to agree with the government's declaration on equality, saying that equality in a broad sense is an unbreakable part of a just and reasonable society. It's true. But how's the big one? Justice Minister to help you do that? The failure of the prime minister was clear. It was as qualified as he broke the law. He must have known, for he had spoken a lot about the laws in a case that was not, in fact, comparable because individuals had not been as ecstatic. I'd like to ask the highest. Justice Minister: How will he react if this happens again in the government? If any minister fails to violate equality laws, will he take action or demand something? [[The president calls.]] Or does he simply agree that the terms of equality are recent to use for political purposes to strike opposers? Or we can be sure that it will even help us to do so. To ensure equality in the Board of Directors?
ParlaMint-IS_2017-05-24-70.u25	A respectable president. I repeat again in my answer to the question of why. A senator's claim that the instrument is not a political attack. Rather, it guarantees equality within the administration and the labour market in general. Today, members of the council are in a position of government opposition, who were once in violation of equality laws to criticize and demand resignation. The situation was wrong when others took the lead. [[Up front.]] It's simply a political game I don't feel like participating in. The equality is the key. They need to ensure equality and the execution of the law. That's what counts. In this context, we are working very hard to strengthen the support of equality in the workforce, including the workforce. By means of a form of equally-remuneration which is being treated at the council. Of course, if it turns out that the effectiveness of this law of equality is not possible, we need to look to it in order to change it. It seems to me from the Commission's decision that this law works well. [[The president calls.]] It is referred back to the Commission to address the problems they have encountered. This, of course, is the responsibility to do so.
ParlaMint-IS_2017-05-24-70.u26	Madam President. It is my understanding of the role of the social and equal minister that he must protect the human rights of the people of the country. Human rights, as defined by Iceland's Human Rights Office, bring equality and respect to individuals. They make sure that all have basic needs, such as food and shelter. Where a person lives, where his parents are, the government in his country, no matter what human rights are involved, they are always the rights of all individuals. Human rights preserve the right to participate in society, the right to work, and the right to provide for themselves. I would have thought it would be in my mind that when a social and social equality minister goes on the crucial journey to introduce the user - controlled personal assistance, or NA, in Icelandic law it would be guided by the fact that rights are all, not just things. How can it be justified that only a proportion of those who are disabled have access to MPA? You can talk about cost, but is it really so that people's rights can be limited because they cost too much money? A basic convention of restoration will appear, with the permission of a president: ▪ Emphasis is placed on equal positions and equal rights for all individuals regardless of sex, religion, opinion, ethnic origin, race, color, sexual orientation, and otherwise. This refers not to equal rights of a limited number of individuals by capital, but to all individuals. According to the National Institute of Economics, there is a greater trend towards the community in MPA than the resulting cost, which is reported in the report, by permission of the President: The average advance rate of NAPA averages $2,612 million a year, but the cost is 3.5 million. The social benefits and costs related to the ministry are likely to be less than one million dollars per user. Thus, the study provides a clear indication that the progress of those who enjoy the ministry is greater than that of the community because of the ministry. If this is the case, why not just open up to this and allow all those in need of the ministry to receive it? What evidence is there that a person should put a quota on the NPA?
ParlaMint-IS_2017-05-24-70.u27	Madam President. Thank you. paritaprevir Halldóra Mogensen of this very good inquiry. It is true that here we are talking about fundamental human rights, which hopefully leads us forward to the battle for the improved rights of the disabled for the future. I think it's a big step we're taking in MPA to the legislation and to legalize here the United Nations Convention on the Rights of the Disappointment of Infirm People. I think it was a huge deal on the road. I have emphasized that in this situation, we are really at an early stage, not in a finish line. We're still developing new options here. Research projects carried out with NPA have been carried out, and they give strong evidence of the great and powerful benefits that can result from these provisions and the benefits it can bring to those who are disabled. We, however, are also under obligation to take the responsibility of the money the government has made at any given time and to take into account the financial status of our fellow rural society. This is not NPA greeting, but its introduction in stages on the basis of that assessment, of the need for this service. If that need is greater, of course, it is our responsibility and responsibility to respond to it. But we felt that it was important to start on this journey in the way that it was set up so that it would remain within the framework of our budget, but that we would still be taking this vital step firmly. So it's not going to land on us. If the demand seems more than a team of experts scheduled at the time to evaluate the need for MPA, it is, of course, our duty to respond and we will live up to it.
ParlaMint-IS_2017-05-24-70.u28	Madam President. Thank you very much. Minister for the answers. I would've thought opening NAPA for everyone was an investment. Encouraging in people is no doubt the best investment you can make. It is the foundation of a more balanced, successful society for all. It refers not only to the user - controlled personal assistance but also to the case of microorganism, the elderly, the children, families, and so on. In every part of my work with this government, I run into the ideologies that people who need help are financial problems in society, and that's how approach is. It's the highest. Ministers of their fellow citizens as a financial basis for society? Or does he see a ruined potential for marvelous vegetation? If there is a possibility for a minister, should we not invest in people's rights and thus provide a basis for people to thrive? Then I'm not just talking about some people, but all of them.
ParlaMint-IS_2017-05-24-70.u29	Madam President. I can see why. A senator shares my interest in this group of languages. I object that it is written somewhere in the policy of this government to treat these people as a financial basis for the public or not to interfere with their quest or progress in some way. On the contrary, we focus on investing in large - scale activities, building a job estimate, investing rather in various kinds of mental assistance, psychological support, and other factors to address the root of the problem, which is increasing disability in the country for various reasons. We can easily respond to it and do much better, invest in improved quality of life, and increase the effectiveness of these groups. That's where I think it's very important that you succeed. I reiterate that government policy is in very good harmony with the emphasis. A senator listed.
ParlaMint-IS_2017-05-24-70.u30	Madam President. One day I heard you start speeches with a joke, just to lighten the atmosphere and warm up the room. I decided not to, but to be somewhat traditional and only start at the beginning. I looked up a financial statement from the Ministry, and it says, by permission of the President: ▪ During the next few years, there will be a special focus on the structure of the infrastructure and the extension of the welfare system, including with large increases in health and education expenses. Then I realized it's a joke. It's a joke to say that this national financial program shows the growth of infrastructure, the demonstration of the advanced welfare system, the support of education system. This would be a joke if it wasn't as serious as it really is. I felt that a minister's proposal was that when I first got her in the hands, a body of Congress didn't smell so good, but as I read it more, it makes me feel worse. The Department's homepage also reminded me that as often as possible, it was the highest branch office. The secretary of this trip to a corneal show, where he put the key points in the letter style. At the time since that presentation, my attitude toward these slogans has changed slightly. For example, there are two aspects of education that give evidence here. Another is: Colleges get more money to improve quality. The other is: "The New World Translation of the Holy Scriptures is rising. " I didn't realize it until I read it again. It's like a cross exam. One of these things is true, the other is wrong. The same thing happened when I looked at a cornea bearing the heading "Industry and Security. " It states that there will be no increase in transport funds that my partners on the environment and transport committee will likely lead a body of Congress to all the truth that is not right. Then there are two things that touch the committee I sit in, and my review is about, above all, the Board of Education and Education. It says, "Education of law enforcement all over the country. " On the other hand, three new choppers for the D.A. There's one right and the other wrong. I'm going to dig a little deeper into these four things. Colleges get more money to improve quality. How do we recommend it? Yes, we can look to established scientific and technical policies that say we should aim for a average student spending to conform with what is in OECD countries, with the aim to aim for the average North countries three years later. At times, government officials want to express indiscriminately, for what we do with our money is more important than how much money we spend. It is a mantra that is used in most languages, that it is not the quantity of money that matters, but the quality of them; mantra, which is mainly suitable for cutting down, appears to be, tested in academic matters. But we can also evaluate the quality of study according to what those who say. So I'd like to take it down to the University of Iceland, which says, by permission of the President: If the financial program continues to be carried out, we are facing the University of Iceland that The school and thereby the Icelandic people could lose their strong position in an international college comparison; The offer of a study will be reduced and the necessary development of a teaching process will be delayed; You will be at risk of a sharp structure of built-in tests and innovations that clearly appeared during the collapse. This does not suggest that colleges get more money to improve quality. This indicates the opposite. Although the author of the proposal and its principal members were rather shy about getting external opinions - it was not until our determination in the lesser part of the proposal was made for discussion - it is something we should listen to. I understand that while people have not wanted to hear the university college stand for quality university education at the same time, for example, reports that those who study at university live in unsatisfactory circumstances, are in molded homes that have long since come to renovate and build new ones over their activities. It was in the ancient cornea: Colleges get more money to improve quality. The other thing, though true, is that the New World Translation will rise. This is not the first time that that promise has been made. That was the last government ever. Then, when the Independence Party came into power, along with the forwarding party, the Independence Party received a reason for continuing the project. All right. However, it is a vital task that leads me to me to me only the misleading presentation of the program. How Would You Answer? ... and we retraced every meeting on this matter in our budget of business and bigger investments. That means that between years of comparisons are almost hopeless, for us senators, let alone people in the community, dive into the numbers, and see what is behind them. Thus, in the case of the university, it becomes clear that in the next year, an increase in expenses to the university will increase by 70 million. From over 41 billion to over 41 billion. This is an increase that allows within the agglutination range of 0.2%. In 2019 there will be an increase of 2% and then, finally, in 2020, 3.9%, but we will hopefully be rid of this government, which is clearly going to run starving policy at all levels of public management. Education as well as others. The clumping of investments into the business box will be exaggerated as we examine the New World Translation. For some reason, the U.S. High School of Happiness is included in the tournament. Next year, 510 million! If someone had had had had information to cut the contribution of the State to the New World Translation for the next year, he might have guessed that contributions to the university were increasing by over half a billion. No, it's not. This is another of the books, another dishonest presentation that distorts the image and directly counteracts the transparency of this proposal, on the contrary to the baseline law on public finances that we should be working in accordance with here. Then we're inside and we're safe. There I mentioned two points, the growing police throughout the country and three new helicopters for the Country Guard. There will be no more law. It is in the same chemical field as the helicopters that eat up all the increase in the topic field, the next to every cent. It may only be hoped that the greater part has decided to set three goals to promote law enforcement in the program and that the increase in manpower would not be one of those goals. Because this growth will not occur, the necessary strength of the police, in turn that a law enforcement program is expected to run in 200 policemen will not occur during this period. On the contrary. We received reviews from two state - of - law officials, Southern and Northern countries, where each saw to it that the standard-oriented tool claim would call for a reduction in a total of 10 police officers in these two districts. I don't suppose the Ministry made any analysis of the impact on any other districts. There have been a number of analyses in this document, but I think we should rather expect law enforcement to become ill all over the country, on the contrary to what the minister of finance said at the point of the presentation. In fact, the factors that are true in this program do not necessarily improve everything. It's a good thing that the National Guard gets three new helicopters to own. But let us not forget that this same weekend service has one relatively recent aircraft, which is rented to the south of the year to protect border control so that the National Guard can maintain sea incomes from the plane. I think that the greater part would do well to read the Environmental Protection Agency's review of the Agency's budget, which, for the first time, shows that it does not have enough resources to keep out a rescue service at sea outside 25 miles of water except half a year; it has no means to have a ship on the sea except 300 days a year, so that two months of ships are confined to the dock; and thirdly, as I mentioned, it does not have an airplane of land service around the year because it cannot afford it. It's good to get new helicopters, but it would also be nice to meet the financial needs that the National Guard gives very well in his review. These are factors that were identified by the Committee's discussion, points that are familiar with all committee opinions. There is, in fact, a red thread in all committee opinions, whether smaller parts or more, whatever the above mentioned, that the results of financial programmes are unacceptable. We're on the same page with it, but for some reason governments see themselves compelled to recommend that the plan be accepted. More of the budget committee points to photograph, by permission of the president: ▪ The more part considers it a reason to reevaluate secondary education requirements, where efficiency due to shortness of study has not yet been fully established. I don't know if we need to take more part in some supportive course, some self-security or whatever. Because this is a suggestion, but don't create a change in the schedule at the same time as the highest. The secretary of finance says repeatedly, and repeated it last time here, that this frame should be taken very seriously - this frame to agree in May should be taken very seriously in the fall when we agree with the budget within it. To count a reason to revise the requirements and to say that these and the other sheep need to be kept in mind without actually offering suggestions for doing so at this point - have the members of the management board forgotten that we are the means to protect ourselves and that we are the ones who decide to vote here in May what this will be like? Or will they come in the fall, the ones that today encourage these and the others, and reprint the committee inscriptions where it ◯ to encourage, in the fall, will be at the bowels of the city's bowels, and ◯ This happened somehow, and there is no one who could do anything about it? Or will they remember the steps on every level and adapt the box to the need? I'll just mention one little thing. Although a financial agenda should be about the big lines, it is quite small, yet it still finds its final suggestions for the majority of the budget. It is a personal protection, an institution capable of about 100 million on budget. A greater proportion of the General and Education Committee points out that in the current financial programme, there is an increase in funding for the Agency, in fact, the failure of the budget approved in the meantime. A financial committee says: The cost of new European protection directives needed in advance in May 2018. It's a year from now. Personal protection estimates that it takes about 100 million to respond to this European principle. The budget range at the Persian protection level is 75 million per year. It is clear that if we agree with this strategy, this small point, this little comment, which must be made in time on a budget, stand as a dead letter against the fact that in the autumn, will respond in this field, where there are also financing politicians, foreign languages that are maligned to hundreds of millions of people in the programme, with an expense of 100 million where the space is 75 million and the need for hundreds of millions. Madam President. Here's the budget. Why doesn't more part want to use it? Why don't some adjustments come from a greater part that has been shown many times to defeat this schedule? [[The president calls.]] She needs to be changed.
ParlaMint-IS_2017-05-24-70.u31	A respectable president. Thank you. A senator for his review of the matter he has brought here. But I'd like to ask the senator about changing proposals that the left movement ▪ green offers here, where he criticizes other threads of financial development, which we in the management section have also criticized. In fact, we tried to correct it and correct it by making changes. But when I read this adjustment proposal, I feel very disappointed, for its transparency is extremely low. This is simply added a new team, a proposal to add new ones, new taxes of 53.4 billion 2018, etc., as used in the accompanying text. And then they simply add new ones to their expenses. I'm no closer to what taxes and what expenses this is. I want to pray. A senator to give us some clues as to which taxes to raise.
ParlaMint-IS_2017-05-24-70.u32	President. I appreciate the questions. Yeah, about the layout. It is true that we agree that as planned it, it was disturbing. But I think it's rather hollow to hear a senator talk about not wanting to make decisions without the fact that there's no evidence. If we look at the fact that we didn't get a break-in of business and investment until May 6th, the day after the major segments of the General and Education Committee returned to their opinion. The day after the majority of the welfare committee returned to their opinion. Both of these major objects felt acceptable to be totally blind to the content of the subject matter matter that we were discussing. And, yes, I'll admit that the design of the left green could be better, like the presentation of everything in this program because there's never been a thought yet. This is where we study while we're doing it. There is no situation, no expertise within the council to react. We senators are guessing how to put things ahead. We're pulling out of the Ministry and Congress, information, anything you need to establish a financial strategy. I am ashamed to participate in this process, and I hope that it will. A senator does the same. I hope to the highest. A minister who sits here sees to himself, makes sure that next year we are not in this situation, discussing a suggestion that was made in vain to the council, and is promoted with great inadequacy. [[The president calls.]]
ParlaMint-IS_2017-05-24-70.u33	Mr. President. There was a long answer, and I was no closer to what I asked. Well, maybe. The senator didn't give me any indication of this in each tax increase of 334,000 million? Here's a bill for a million dollars for every person in the country, and there's no idea what taxes it is. I demand that the senator come and give me some indication of it, despite all the obstacles and indiscretions.
ParlaMint-IS_2017-05-24-70.u34	President. A greater proportion of the legal committees make it clear that they need more expenses. The problem with the greater part is that it is trapped in some restrictions that it should not be paid to raise these expenses so that it does not provide any suggestions. However, to run a community, we learned in the left that spending should reflect the need and income to be sufficient for them. All they have to do is make fair money, huh? Senator.
ParlaMint-IS_2017-05-24-70.u35	How?
ParlaMint-IS_2017-05-24-70.u36	That has long appeared in our many speeches, Haraldur Bjarnason.
ParlaMint-IS_2017-05-24-70.u37	A respectable president. I've only been involved in a global and educational committee where a financial programme was being completed. Neither in financial planning nor in the meetings I was able to be at the General and Education Committee there was a great deal of talk about the Scientific and Technical Council or the funding to be applied to the plans of those who are not yet ready. But we do know that a prior strategy was not met according to the existing agreement, and it seems that the next plan, at any rate, relative to the figures we find in financial programmes, will not be funded either. It's a question of what happens to the negotiations and plans of the Scientific and Technical Council, if this is not expected in a financial programme. On the other hand, when we consider the college budget, we should consider that apart from the stock costs and the outside of the box, there is an increase of 8.8% during this period. Based on the criteria we have in a financial programme, there are over 9% of pay increases at the same time. That's what's expected. They need to be corrected for the failings of government employees when the pension rights were reduced in December. The contributions to the Scientific and Technical Council are needed into these 8.8%. Where will they come from? I don't understand. Are there any projects ahead of us? Is there something going away that has not been clearly established in a financial program that could explain this? I haven't been able to attend all the meetings of the General and Education Committee where it may have been presented. I don't know. I haven't seen it in the reviews. I'll scratch my head a little bit and just ask myself, " Where does this money come from?
ParlaMint-IS_2017-05-24-70.u38	A respectable president. I'm afraid I can't answer much. This information is not available. There was no evidence to show how university levels should be developed, at the same time as we do not keep donations to that end. There was no mention of this on the committee. And as far as I understand why the U.S. Government is so ill with education, as this program indicates, starvingism will be all around in the coming years. It is evident at all levels of school. Perhaps it has to do with the fact that this government always seems very free from the ideas of its predecessor. The Scientific and Technical Council of the Last Government adopted some strategy. Is it to be fulfilled by this government? As is true of this government, it will bring about a resolution adopted by this council during the last term to build a house over a Museum of Nature. As is true of today's education minister, the last word of the same category will be to build a house of culture in the Egls, where he said the golden sentence in an interview at the eastern window the other day: I did not sign that declaration of will. What? You see, it is very easy to accept responsibility to advance the university if you are not going to fulfill any promises. You can naturally aim for narrowing access to colleges, achieving an average student's production by reducing the number of students. Of course you're asking yourself if it's the plan.
ParlaMint-IS_2017-05-24-70.u39	A respectable president. It's interesting. A senator should enter a number of students. Now we know the colleges are shrinking. That means there's a hundred more students coming into college. Yet, the donations are only 8.8% ahead of the basic cost and the same. I'd like to think about the possibility that there's a particular change of direction presented in numbers rather than in lyrics. I can't read it differently when I look at the numbers and what they mean inevitably, without explaining that this is a cut-off for the current government to put on in the spring months with the Scientific and Technical Council. Because of the number of students who are now entering college, because of the pay grade provided in a financial program, this means an 8.8% increase in surgery. That's a change in policy that's not explained.
