Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e1788	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2769	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2790	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	BZÖ	parliamentary group Alliance for the Future of Austria	-	Right to far-right	PAD_51574	Grosz, Gerald	M	1977	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2855	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2876	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_02854	Öllinger, Karl	M	1951	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2961	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e3066	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e3095	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	-	Centre-left to left	PAD_01210	Pilz, Peter	M	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e3174	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e3196	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e3250	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e3313	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
