Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u1	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u14	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	MlakarDavorin	Mlakar, Davorin	M	1958	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u15	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u16	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PodolnjakRobert	Podolnjak, Robert	M	1958	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u17	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u18	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PodolnjakRobert	Podolnjak, Robert	M	1958	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u19	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u21	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	KaramarkoTomislav	Karamarko, Tomislav	M	1959	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u22	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u23	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u24	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
