ParlaMint-HR_2015-07-09-0.u106685	My colleagues and colleagues, colleague Cain?
ParlaMint-HR_2015-07-09-0.u116056	Boro Grubisic, replica.
ParlaMint-HR_2015-07-09-0.u116057	Thank you very much. My colleague, I'm sorry, Mr. Minister Bauk, so, yes, in the next term, we'll be colleagues if God gives. So you were talking about the Law on Local Self-Government, the changes to the laws you're trying to solve that problem that came up with the Constitutional Court's decision by introducing governors for local self-government who, at the time of their own, will change the Guernator's mandate of 2, 3 months, that is to say, make the decision that you want and which you have made here. But what I was going to say is that you tell me as Minister of Administration what the situation with the use of language and letters in the Croatian Parliament is. It is not prescribed by the Rules of Procedure, but I found neither in the act nor in any constitutional law which speaks the language in the Croatian Parliament. Can we here or do we need translators here sometimes when a national minority if it's according to the Constitutional Law, and it doesn't say anything exactly, and if something isn't written then it can be implemented, so we have translators when speaking to a colleague of Juhas in Hungarian, a colleague of Radin in Italian, a colleague from the SDSS in Serbian, etc. As minister of the administration, you'll have to answer that question or I'll ask you in writing. So what the Ministry of Administration and your government are not implementing has much more important problems. You know of the Milutinovic-granic contract under which Serbia is obliged to return everything in the war, in Serbia's aggression to Croatia, to take it to Serbia and pay war damage. Why don't you deal with it when we have international agreements? You also have the international Milutinovic-granic agreement. None of us are concerned with any of these things that we are trying to do with a dribble through the Law on Local Self-Government and the introduction of thus by disciplining the will of the people at the local level of introducing what you are so eager to do.
ParlaMint-HR_2015-07-09-0.u116058	Time. Arsen Bauk, reply to the replica.
ParlaMint-HR_2015-07-09-0.u116059	Thank you. If you think we'll be colleagues in the next term, I'm glad you discovered your ministerial ambitions. That's not bad. As far as your question is concerned, in Article 10. The Constitutional Law on the Rights of National Minorities writes: Members of national minorities have the right to freely use their own language and letter in private and public, including the right to language and letter to highlight the labels, inscriptions and other information in accordance with the law. If we publicly interpret this part in private and in public, and in the context of our rights as parliamentary representatives, I think that their address in Hungarian, Italian and other languages would be in accordance with constitutional laws, would the President of the Parliament react in a business manner that you will have to ask him. So you'd better ask the Constitutional Committee a question, not the Ministry of Administration. ... As to what you called the governor, so in the event that there is no statute orderly right of members of national minorities in language and letter and that the city council that it is by law does not adopt, then it must be prescribed that someone else will bring it because you will not bring it to the people to say by the Holy Spirit. [[The intruder doesn't understand.]] Therefore, it can be done by a government commissioner, can be made by a mayor, a county assembly, can be built by a mayor, can be built by a ministry and can be made by a government and can be built by a parliament or a parliamentary board, but someone has to do it. ... If it's going to be an amendment, it's not a bad idea. [[The intruder doesn't understand.]] It's possible to get rid of it anyway, that's why we're discussing it, but just so it doesn't turn out that we know we're going to suggest something, that it's going to stay so that no one can bring it. Therefore, if there is another idea for a second reading, the one you just said will be considered. He won't stay on record, but we heard. ... [[The intruder doesn't understand.]]
ParlaMint-HR_2015-07-09-0.u116060	Vice President Zeljko Reiner, breach of the Rules of Procedure.
ParlaMint-HR_2015-07-09-0.u116061	Thank you very much, Madam Vice President. I've been in touch before, but you haven't seen it. Namely, I wanted to react to Article 232 injured. The Rules of Procedure, which is that the speaker can only talk about the subject under discussion. Now they are on the subject of the Law on the Use of Language and Letters. The Honorable Minister, which is why I answered, has strayed from the topic and I must admit that I am appalled by the fact that he brought the issue of performing the Croatian anthem at the beginning of the meeting of the Croatian Parliament. So what anthem is supposed to be performing there? Thank you.
ParlaMint-HR_2015-07-09-0.u116062	I think you heard something wrong. The minister spoke in a municipality where the Croatian population is not majority. ... I don't think it's... [[The intruder doesn't understand.]] I think you heard something wrong. [[The intruder doesn't understand.]] Read the phonogram and you'll see that he didn't say that. Dragan Montenegrin, replica.
ParlaMint-HR_2015-07-09-0.u116063	I thought that this breach of the Rules of Procedure would be on a colleague of Dujomir Marasovic who went away from the topic because, surprisingly, he's not telling the truth a little bit, but we know that he doesn't live in this time but in some distant past.
ParlaMint-HR_2015-07-09-0.u116064	Replicate to the minister.
ParlaMint-HR_2015-07-09-0.u116065	I would go back to what you said in the introduction, it is extremely taxingly listed, but editing the statutes of one unit of local self-government most often stems from members of the representative body. The 2009 amendments and additions to the 2009 statutes, I would add, therefore, came from some of the things that had passed 15 years after the war in the area since 32.88% of Serbs were on the census in the City of Vukovar, since people had already returned to the city. The majority in the city council at the time adopted amendments and amendments to the statutes, therefore, and thus, in some ways, the statutes were changed. Yes, it was thought of then and about it, I was among other things a member and vice president of the assembly, thought of both the victims and really what he said should express a pite for all the victims. At that time it was thought of the victims of the Serbs in Vukovar who were killed, and today no one mentions them. However, due to the turmoil, this is not good for the city, let's change the statute, but you didn't mention the statute was changed in 2014 and there was a speech to be made, Vukovar is a place of special piety and it is now in the statute. But the better with that Vukovar, it's nothing. Nothing's better. We're about to get better, but with this, I'm sure it won't be. We have heard that many are against it, but we know what happens when a higher body determines and implements laws like the county. For 18 years, schools have not been registered in Vukovar-Srijem County where classes are performed in Serbian and Cyrillic letters. And for the end, in fact, the replica. It is my question, and you have often instructed the Council of Europe Advisory Committee. What happens if the laws don't apply the way they've been written and passed and what we've joined in these conventions.
ParlaMint-HR_2015-07-09-0.u116066	Thanks, buddy. Arsen Bauk, reply to the replica.
ParlaMint-HR_2015-07-09-0.u116067	So, as for the amendments to the 2009 Statute, we were in the political sense of HDZ and SDSS on one side and HSP, and the SDP was on the other side in Vukovar. Whether that side was correct is now a matter of political opposition at the local level. However, it is certainly a contrasting argument to those who are now suddenly troublesome by the direct application of the law. So it can't be that the wounds are bigger in 2014 than in 2009. It can't be 15. As for your question about these higher levels, this is the situation. The Law on the Use of Language and Letters was written in 2000 and was applied in the original form in municipalities and towns where minority members were over 50%. So, where minority members were the majority and did not prescribe mechanisms for sanctioning certain things because it was in itself understood if the minority in the majority would just decide whether to make it. If he doesn't, and what the state would react when a minority doesn't want to. And then in 2002, that threshold went down to 33%, and now we've reached towns where the minority actually makes up a minority, so it can't apply those provisions on its own. And that's why this law, it didn't have those mechanisms, because it was originally passed in case it was over 50%, and somewhere over 33%. Therefore, given that the sanctions are not prescribed any such academic implementation, I must say, because in many units of local self-government where your party has absolute authority, the statutes have also not been amended and the provisions do not apply that local leaders estimate that they are doing so for tactical reasons because it is more appropriate to them that there may again be an argument contrary to strict law enforcement elsewhere.
ParlaMint-HR_2015-07-09-0.u116068	And now I ask that the proposal for a conclusion be explained by colleagues Josip Salapic and Davorin Mlakar. Davor's Mlakar first.
ParlaMint-HR_2015-07-09-0.u116069	Thank you very much, Madam Vice President, Mr. Secretary, colleagues and colleagues. There were some words in the opening address of the Minister from those advisory committees, and we caught something about the conclusions that the group of MPs made for the debate in the Croatian Parliament must repeat for the public on 17 September 2013. Thank God it went so well that we are already discussing this conclusion today. I'll take the right, it's about the same subject, reprove the minister. It seems to me that in his arguments and instructions given to MPs, he did not well understand what official use of language and letters means, referring to the Constitutional Law, and the Law on the Official Use of Language and Letters, so he seemed to me, too, to my fellow Montenegrin. This Regulation shall enter The Constitution of the Republic of Croatia says: "In the Republic of Croatia there is an official use of Croatian language and Latin letter. In certain local units, another language can be introduced in addition to the Croatian language and Latin letter in official use, and Cyrillic or any other letter under the terms of the prescribed law." It's from the Constitution, so there's no need for further development. I think the norm is clear enough for everyone. We came to discuss the conclusion of a group of MPs who named it the problem of setting bilingual inscriptions in the city of Vukovar and applying the Constitutional Law on the Rights of National Minorities. The conclusion proposed by the Group of Representatives in 2013 referred to the following: "To oblige the Government of the Republic of Croatia to take all the measures envisaged by law for the consistent application of Article 8. Constitutional law on the rights of national minorities." This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. Constitutional law on the rights of national minorities and on the establishment of bilingual inscriptions on public institutions and institutions in the city of Vukovar until the next regular census. The census sparked a dispute over what number of members of the national minority exists in a particular unit. And after meeting that criteria that rights under the Constitutional Law on the Rights of National Minorities they have. From today's debate on three documents, we are now going to talk as promoters only about this conclusion. Of course, when you kept it on the agenda for two years, it's pointless to talk about it in this way as it was proposed, because in the meantime too much has happened. What is left is the problem, and there is something left behind the name of the law that the government has proposed to Parliament. Not in any of the two legal texts you suggested, you said, but you decided to withdraw the idea of an emergency procedure, so we're going into two readings. It's not about the government's real intention. You don't want to change the Law on Local and Regional Self-Government. You do not want to amend the Law on the Official Use of Language and Letters of National Minorities. You want to be counted as a government with election results only and only in the city of Vukovar. And this law applies in all your arguments, the illustrations that happened, when, which, by the City Council, which the team was in power, everything always points to the city of Vukovar. I can't even read this law about Samobor. I don't see any connection. Then it would have been more logical if we had gone the other way and seen what was said that Vukovar had deserved to be a town of special pies in his past, and then a special law was passed, and not in this way to discuss it as you suggested to the Parliament. From the conclusions we suggested that he was discussed in time, that we could discuss this subject in time, I believe, that we would avoid everything that has happened to us in the last two years. This whole unresolved issue of relations and political and human relations between those people of the city of Vukovar, as far as this is concerned, and probably with a little goodwill, we could come up with a lot better solutions than you are proposing today and we have them. I said, no time allowed me, why you offer counter-constitutional solutions, I'd be happy to explain. You started with these laws with the announcement that they require a two-thirds majority in the Croatian Parliament. I think you said earlier today that as a minister, you agree with that, too, we argue the opposite. Neither the Law on Local and Regional Self-Government nor the Law on Official Use of Language and Letters requires a two-thirds majority of representatives of the Croatian Parliament.
ParlaMint-HR_2015-07-09-0.u116070	Comrade Mlakar, you will say this on behalf of the club, and now explain the proposal you have proposed.
ParlaMint-HR_2015-07-09-0.u116071	I'm explaining, yes. I am discussing a proposal for our conclusion that is thanked to God Well, look, for two years, you've been waiting for us to come into the agenda, and now you're not giving me the right to say what it has to do with each other, and the minister wanted to hear why their solutions are anti-constitutional. [[But you didn't say...]] I'll cut you some slack. What is required in this conclusion is today the false implementation of the two laws that the government is offering to the Parliament for adoption. This was the subject which was the subject of the 2013 conclusion. Instead of accepting the discussion on this subject, the justified presentation of the position of all clubs in time and then came up with some legal text in agreement with Parliament's leadership waiting for 2 years and now we have put it into a common point to discuss the united debate in the Croatian Parliament. You'd like me to apothecary exactly when I'm talking about what topic. I'm talking about a proposal for a conclusion that's been waiting two years. That alone is sufficient reason and criticism to Parliament that one conclusion requiring perhaps a half-day debate on the subject is waiting 2 years for it to enter the agenda. And unfortunately, we are as confident as the traffic connection between the Dubrovnik-Neretva County that even today would not be on the agenda this conclusion that the government has finally not come to account with the legally elected City Council of the City of Vukovar because its composition clearly does not suit it. Why does the government offer counter-constitutional solutions instead of solving the problem? Because he passed his law on to his commissioner more power than he has. That's legally inadmissible. The Government cannot give authority to its commissioner who replaces the City Council because you want to disband it because it is not your will, the Government cannot give the Commissioner power which she herself does not have, nor does that authority belong to it according to our positive regulations. That's what Mr. Minister is at odds with this solution. But that's what we'll talk about when we get a chance to talk about these two laws because I can't get out of that topic too much. The City Council of Vukovar, following the Constitutional Court's decision, was given the deadline until mid-August to adopt an appropriate act, whether it was a statute or a statute decision, which will settle the issues which were the subject of our conclusion and amendment of the laws on the agenda. That deadline to the City Council hasn't expired yet. It is believed that the City Council will, according to the Constitutional Court, make changes or decisions to which it will settle the issue of how the Constitutional Court has appointed it. At the same time, the Government is invited to refer to the parliamentary procedure the draft law amending and supplementing the Law on the Official Use of Language and Letters of National Minorities and at least to that decision which you have extensively understood no other law should have been proposed but in that law you should have found solutions, I will repeat, because it is extremely important and because it is also in the decision that you quoted as currently corresponding to the Constitutional Court's decision, taking into account the provisions of Article 8. Constitutional law on the rights of national minorities. Today we are at a hearing after two years of conclusion which has become because of everything I have already said to the groundlessly faced with two legal texts that do not solve any of the problems that exist in the city of Vukovar. They just show, as you like to say, the transparent, very transparent will of the government to replace only the City Council of the City of Vukovar because it doesn't have that political colour the government would want there. The government lost the mayor there in another way, lost the council in regular local elections, and apparently cannot deal with the fact. So instead of finding a way to arrange life in Vukovar for the pleasure of all its citizens, you're disbanding the council. You are forcefully implementing regulations that you cannot even edit and then by direct application of the law you will arrange without the right to local self-government in general, you will in your own way and in your design arrange the rights in the City of Vukovar. I'm afraid that after two years of waiting for our conclusion and discussion on these laws that are going to be on the agenda today, we are no closer than we are to solving the problem. We will again face the problem in the City of Vukovar because as a state, we have created impossible conditions for the exercise of the rights of all its citizens. I don't speak in anyone's interest except in the interest of the citizens of the city of Vukovar because you wrote the law for him. You didn't write it for the other 555 units of local self-government. It's just that you had the town of Vukovar in mind and I think you've been talking about the stands and I think it's better if you do football than this job. You've completely missed your target.
ParlaMint-HR_2015-07-09-0.u116072	A colleague, Josip Salapic.
ParlaMint-HR_2015-07-09-0.u116073	Thank you very much, Vice-President of the Parliament, Mr. Minister, colleagues and fellow MPs and MPs. I am tasked with explaining our proposal, and this is a proposal for a conclusion on the problem of setting bilingual inscriptions in the City of Vukovar and applying the Constitutional Law on the Rights of National Minorities. The decision of the Constitutional Court of the Republic of Croatia and, therefore, the legal obligation to amend the proposed laws, to come after the attempt to find the right mechanisms for solving the problems that have arisen primarily in the City of Vukovar, I believe that this conclusion and the decision in question of the Constitutional Court have absolutely nothing to do with each other. The conclusion of Mr. Minister was submitted on 18th of September 2013, then the HDSSB's conclusion and Club on 7 MPs wanted to prevent tensions that had arisen unnecessary in the City of Vukovar, the possibility of major international conflicts, and all of this in the context of and at the time marking of the City of Vukovar's death Day and all of those problems that occurred then. Therefore, our intention to sign this draft conclusion, which is according to the Rules of Procedure of the Croatian Parliament, has to do with the events of the year 2013, and nothing to do with the decision of the Constitutional Court of the Republic of Croatia and the opinion given by the Constitutional Court, which would be and what is the obligation legally made to resolve the situation. So let me, given that this is combined to talk today 2 years later about an urgent debate, about the problem that there may be problems in the functioning of the City of Vukovar and the continuation of international conflicts, this day 2015 there is no need to speak because thank God that such conflicts did not occur but what is most important for colleagues and colleagues is whether what we are saying today in the assembly is causing some misunderstandings to be assessed by those who have assessed that we should discuss this together. Will someone misread us when we talk about the rights of national minorities in the Republic of Croatia, we also leave it to the assessment of those who have allowed this to be discussed today two points that are absolutely not connected to each other. If there is already a need to ignore our request in 2013 then this should have been left where it otherwise stands when opposition proposals are not respected. And given that you have brought this together, if we are going to see to the end what is now waiting for us in the debate then the decision of the Constitutional Court of the Republic of Croatia should be looked at as a whole and interpreted so that it is understood that the real problem is the creation of these proposals of the law, and that was also the intention of the Constitutional Court of the Republic of Croatia, but also our intention when we proposed this proposal to conclude. He has already mentioned the obligation given by the Constitutional Court to the City Council of Vukovar but also referred to the Government of the Republic of Croatia's obligation to resolve the problem by means of a legal mechanism, but not by any intervention in a law that may have been too much, a step forward, and it is good that you went back to first reading because there may be a real problem in the functioning of local self-government because what you suggest we are not referring to the City of Vukovar but also to other units of local self-government, but we will discuss this in the darkness when it comes to this. I think that, in the context of understanding and our proposal for conclusions, it is necessary and ultimately to read the Constitutional Court's decision, and in its final part, it says that the Constitutional Court ultimately points out that it is not a participant of political debates or arbitration in resolving political disputes that arise in Croatian society. There is no other means to address the problems encountered than the versatile political dialogue conducted in good faith, however unpleasant that dialogue may sometimes be. The use of coercion as an ultimate state measure of repressive nature is not acceptable except in obvious conditions of extreme urgency. So it's one of the last paragraphs of Constitutional Decision now. So if we are going back to the city of Vukovar problem, and today I am allowed to talk only about it, because our proposal applied exclusively to the City of Vukovar and the Constitutional Court in its decision when it gives Mr. Ministers the order that the City Council of Vukovar proceeds by decision, but the Government of the Republic of Croatia also says that it is necessary to respect the needs of the majority Croatian people that originate from the still living consequences of large-scale aggression in the early 1990s and the need for a fair and legal treatment of the Serbian national minority in the area of the city of Vukovar, so here we are only talking about the area of the city of Vukovar. So if we will understand the Constitutional Court's decision until the end, then this appeal to political dialogue, primarily thinking about the Parliament and the political Croatian public, as the Constitutional Court says sometimes may be uncomfortable because he was really uncomfortable in 2013, because we were in that column when we went to Ovcari to see and hear everything and everything, and all the reason was the way the ministry and government then acted with their decisions, which is that they put bilingual tablets with bilingual inscriptions overnight, which from this pay phone when I'm saying I'm the last representative who would go about not respecting the right of Croatian citizens of any nationality. So in 2013, 2015 is not comparable, and that problem that arose in Vukovar has nothing to do with anyone's intention to enforce the rights of national minorities or the law or article 8.zacon, or the framework convention you mentioned. But I am the Constitutional Court, but you today, in your discussions, say that the Constitutional Court calls on us to respect the will of the Croatian people, taking into account all the laws and international agreements, but taking into account that no one can judge how long the wounds of Homeland Work can last and how long the wounds of certain cities, certain urban districts in the city of Vukovar, individual streets, individual families and those who have lost their loved ones. And that it doesn't turn out every time a party that doesn't belong to a national minority tells something here about a Parliament speaker, and then everyone gets on their feet that we want to hurt someone's rights it's absolutely incorrect and never like a representative of the Croatian Parliament, not personally, and my club won't accept it. It was our duty to, by means of legal mechanisms, by law of the Croatian Parliament, open dialogue here in the Croatian Parliament which has passed the laws that you all call upon to talk about. Similarly, no one could stop or prevent if the government had a good will, which is that at any point if there is a concern that the census has occurred in certain units of local self-government, as well as in the town of Vukovar, there are some illogicalities about the census and that... it is absolutely as it has been since the census, we can always make a decision as Parliament, but the Government of Croatia is looking for a new census in certain parts of Croatia, and this re-list cannot be said that it is anti-constitutional or not in accordance with international contracts, conventions and agreements signed by the Republic of Croatia. And you know why? Because there is certain evidence that certain illogicalities have occurred in the city of Vukovar as regards the census. And if she doesn't, this government will have to do something else. If our party gets the chance to be part of the future government, it will be one of the basic conditions for us not to speak freely in the Croatian Parliament, we must not talk about the problems that we have received as advocates that there are illogicalities when it comes to the census, when it comes to the use of certain rights and financial rights, when it comes to the functioning of the Republic of Croatia throughout our scope, if someone forbids us as representatives of the Croatian Parliament, then it also violates the rights, and these are violations of the rights of the majority people. I will repeat, we have the Constitution of the Republic of Croatia which absolutely guarantees all rights to all national minorities, we have international contracts, we have the Framework Convention, we have the Declaration of the Homeland War, no one will at any time stop them from working freely in this country by any Croatian citizen of any national minority. But also by taking advantage of that right within that range when at certain times it enters the right of the majority people and if you're allowed to judge how long the burden of the early Homeland War in the city of Vukovar can last, then we're wrong. And then this bill of law, Mr. Minister, which we won't agree with in this first reading because we think there are other mechanisms to solve it, we won't allow ourselves, we won't allow this luxury as much as anyone thinks we're wrong when we talk about these problems in the Croatian Parliament. 52 MPs who have signed this conclusion have full electoral legitimacy because we have been elected as representatives in the Croatian Assembly and by far more difficult rules and with a much higher percentage of the votes on which one of the representatives of the national minority was elected. We are also not undermining this right because we believe that it has given Croatia the right by taking over its international obligations. If we look honestly at someone who can become an advocate with the 13,000 votes he needs, and someone becomes 2, 3, 4 or less than that, then let's be honest with ourselves, let's look at the debate of a dialogue that may sometimes be uncomfortable to consider as a first step towards better co-existence and understanding of all those who have suffered hard in the Homeland War. I repeat, the signatures of the General for the Defence of the Croatian Vukovar are not for depravation, nor are we signed by the MPs who have signed this initiative are not for depravation, but the dialogue that will be conducted in the Assembly can either be accepted by this conclusion or not, there may be acceptance of the law or not, but in any case if we allow everyone to say what they want and think in this House then allow us who do not think the same sometimes, we do not agree with this bill, we do not agree that for two years we have been waiting to discuss the problems of the city of Vukovar and we are afraid that this bill will also not bring good to those units of local self-government, and at least the least the Vukovars who have suffered the most for the freedom of this country. Therefore, Mr. Ministers in good faith and in order to find mechanisms and solutions that will not be such that the will of Croatian citizens is not accepted in the elections when it comes to representative bodies of the local self-government unit, let us find a solution to the law that will not disband representative bodies because of this, but let us also find mechanisms that will allow political dialogue that may not be pleasant. Let us not call for 2009 and a past that will not solve the future but better call for tomorrow. We disagree with this way of amending the law, let's discuss some kind of mechanism that may be milder, which will lead to full respect for the Constitutional Court's decision, but which will not go to the fact that we will read only part of the court's decisions, and the part that does not correspond will not be read. The Constitutional Court gave clear instructions to the City Council of Vukovar, the Government of the Republic of Croatia, but it also gave us some conditions and a recommendation that political dialogue should be opened, that sometimes it may be uncomfortable, may be pleasant, may not be considered offensive that here when we speak today we want to trample on someone's rights. Croatia suffered a lot of wounds in the war so that any Croatian citizen, even those Serbian nationalities, would be at risk today in 2015 when we are a member of the European Union. But the voice of Vukovar, the voice of those who live in those parts, who have suffered a lot when we have passed the laws, is one of them the Law of Abolition. These wounds can't just be estimated how long they will last, whether for a year, two, five, ten or 20, those wounds can only be understood by those who have experienced it. So then I invite you all together to a reasonable dialogue, not to plant some things that are wrong, not calling us here, where we protect some of the principles of humanity first of all and understanding those who lost most in the Homeland War that we now want to violate someone's rights. If the debate goes in this direction, ours will go and answer in this direction where we will say something today that we have never said in this assembly but concerns those who use the rights of the Republic of Croatia in a way that is not the most honest and does not lead to the use of the rights of their national minorities but is taking advantage of the well-being of the Republic of Croatia. If the debate goes the wrong way because you waited 2 years for us to talk about this today, we accepted a joint and united debate, if it goes the wrong way, those who have allowed themselves to defend us here in the Croatian Parliament that we have an opinion and respect for those who do not think the same way. If this is a dialogue and it will be for the future and for the better something better and much better than it is today then let everyone freely express their opinion in this House because this Parliament represents all the citizens of the Republic of Croatia and those who do not think the same way as the individual national minority in Croatia. Thank you.
ParlaMint-HR_2015-07-09-0.u116074	Thank you. We will now move on to the replicas to the exhibition of colleagues of Mlakara, Josip Djakic.
ParlaMint-HR_2015-07-09-0.u116075	Thank you very much, Madam Vice President. Well, you've made it very clear that there are no reasons for this, above all, haste proceedings, and then his withdrawal as well as biased interpretation. Since there is research within Pilar's barometer of Croatian society that has clearly said what he thinks about Cyrillic boards in Vukovar. In this study 64.4% of respondents said they did not want Cyrillic plates in Vukovar. 38.3% believe that Vukovar should be permanently excluded from bilingual inscriptions and 26.1% maintains that this should further wait. Why wait? Why is it required to postpone the use of Cyrillic letters in Vukovar? Well, clearly, there are legitimate reasons for this, and the European Commission, as well as all European institutes, are allowed to be in areas where aggression and bilingualism were involved, i.e. A Cyrillic letter that is actually a symbol of the aggressor, actually until further notice and exception. Just as it is in a given moment, the legal decree that Serbian young men in the area serve the Croatian army was delayed until the regular service of the army was actually abolished. So we can also treat this Cyrillic letter that we can absolutely compare with the aggression that was committed in the Republic of Croatia and it actually has some sign of equality.
ParlaMint-HR_2015-07-09-0.u116076	Davorin Mlakar, reply to the replica.
ParlaMint-HR_2015-07-09-0.u116077	Thank you very much. Dear fellow Djakic, I did not talk about symbolism and I find it hard to say that any language or letter would symbolize the necessary bad thing. But I was talking about the way this government wants to solve problems. About the fact that Parliament was not responsible enough to give two years of discussion the conclusion of a group of MPs and that by God's mercy and some agreement by those who decide to enter into the agenda but in a united debate with two laws that show everyone what was my thesis at the beginning. This is not meant for local self-government, this is not meant for the official use of language and letters by national minorities. The whole, this whole patent of our government is exclusively aimed at the city of Vukovar. There is no problem elsewhere that would be found covered by this law, this is the way the government wants to deal with the legally elected City Council of Vukovar. This is an attack by the executive authority on the results of the elections, which were held in the last elections for local self-government units. That's the problem. The government is not responding in this unit to this composition and now by law, the thing to itself is the wrong way to get rid of such an insecure city council. If this is a practice tomorrow, we can expect it to happen to someone else.
ParlaMint-HR_2015-07-09-0.u116078	Ante Kulusic, replica.
ParlaMint-HR_2015-07-09-0.u116079	Madam Vice President, Mr. Minister, colleague of the Mlakar. First of all, at the very beginning of your replica, I will point out that I support all rights of national minorities, and that is not at all questionable. However, the proposal for a conclusion which, two years ago, is a tragedy and I agree with you that this is a deal with the city council of Vukovar. Unfortunately, however, the tragedy of this government is that all it does at this time is a pre-election campaign. Because this government, thanks to its poor results in the last 3.5 years, is exactly what it's doing. Also these days we read a letter to the Prime Minister to Mr Platini about everything that happened in Split and then I am convinced that within a few days, I am convinced that they have already found the culprit and I am convinced that in a few days the culprit will say that it is a conflict or dissatisfaction with part of the Croatian Football Federation. Imagine what would happen if 60% of unsatisfactory Croatian citizens with this Croatian government came before the government and there for some stupid shop, idiotic as it was made in Split, to what it would come to. UEFA President wrote 10.10.2012 to the Croatian Government and imagine the answers. The Croatian Government's response was that because of the problems with fans and riots in Croatian stadiums, the Croatian Government is not concerned with this, but rather with the Ministry of Interior, the Ministry of Science, the Croatian Football Federation and the Prime Minister directed Mr Platini to address them. Whose president is he? All this leads, unfortunately this has nothing to do with Cyrillic or Latin, this is just one pre-election campaign. The government can't talk about the results of everything they've done in Croatia, plan 21...
ParlaMint-HR_2015-07-09-0.u116080	Thank you very much, dear colleague. Time. But this had nothing to do with the exposure of a colleague of the Mlakars. Turn off the microphone.
ParlaMint-HR_2015-07-09-0.u116081	No matter what, you can see that it can be extended to football.
ParlaMint-HR_2015-07-09-0.u116082	Let me introduce you. Davorin Mlakar, reply to the replica, for phonogram.
ParlaMint-HR_2015-07-09-0.u116083	For phonograms, colleague Kulusic here you can see that football can also be expanded and the minister of administration loves football topics. But I can see that the Prime Minister has now written in another way, that everyone is up to our tail, so that we will try to fix all the bad things that happened. You spoke in favor of that thesis, between today and tomorrow laws are passed with us, from today to tomorrow reacts to any public and it seems to me that the only thing that this government does not know how to react is good hearing. So she started with proposals on preferential voices when she heard that the public thinks it would be a good solution for the electoral law and so hearing, not always the best as counterpart Boric says or most often tries to solve problems badly. We are now witnessing that members of the government are pushing for the first Croatian President Franjo Tudjman to get an airport, to get squares, monuments and in the city of Zagreb, and we can only welcome this turn in their heads from what I remember two years ago. If that were true and it were to happen as one twist in their thinking based on real belief in what they do. I'm afraid, like you said, the campaign started for elections that we don't know when they'll be because the government won't tell us, but all this campaign and all this effort will be in vain.
ParlaMint-HR_2015-07-09-0.u116084	Replica, the esteemed Josip Boric.
ParlaMint-HR_2015-07-09-0.u116085	Thank you very much. Well, dear colleague Mlakar, I refer to the part where you said the government wouldn't accept the call for a conversation, etc. She didn't want it simply because she probably didn't want it politically at the time, but probably in this time here for six full months I guess she is now. Let's remember that famous us or them. And then it started, the conflicts of all who conflict can, from fascists and anti-fascists, north-South, Hajduk-Dinamo, now Croats-Serbia or Croats-national minorities. I sometimes feel like they're able to fight two flowers in a company, simply if it's politically directed to them. And why am I saying that? We amend Article 84, as stated in Article 84, in the chapter that speaks of disbanding the representative body and protecting the right to local and regional (regional) self-government. Protection of rights. The Government of the Republic of Croatia will disband the representative body at the proposal of the central government responsible for local and regional (regional) self-government: 1. If it adopts a decision or another act that threatens the sovereignty and territorial integrity of the Republic of Croatia, then there are five other reasons related to certain decisions. And for all these six reasons when the government appoints a commissioner he doesn't have any authority. We are now introducing the 7th reason why the Government will disband the representative body and this reason becomes more important than the first one, if I say it makes decisions or acts that threaten the sovereignty and territorial integrity of the Republic of Croatia. Where did we go? It means that this is less important to us than what is proposed today with regard to national minorities. Unfortunately, the minister didn't say anything about it. It's still going in that style of duck and mata who just can't solve the problem. Obviously, it's better to ruin the village than to disappear the customs. They like customs and they do it, but to assume this first point simply to any reasonable, it just doesn't go into my head and it's not normal.
ParlaMint-HR_2015-07-09-0.u116086	The line matches the esteemed Davorin Mlakar.
ParlaMint-HR_2015-07-09-0.u116087	Thank you very much, Mr. Vice President. My colleague, Boric, unfortunately, you have noted well, unfortunately, you have taken one of my important arguments in the criticism of this law. So far, the law knows six reasons why the municipal or city council can be disbanded. One of them is if the City Council decides against the sovereignty and territorial integrity of the Republic of Croatia and the 7th place is now a new reason for not resolving the issue of official use of the language and letters of national minorities in that unit. The Government then appoints a Commissioner who may or must make a decision on the official use of language and letter in his term, so that it is unlikely that the next meeting of the City Council will not again make a decision that corresponds to our Government. But if they decide to secede from the Republic of Croatia, the commissioner cannot make a different decision. This is proof that this is a creation in this law and that this is an ingenious idea for the government's commissioner to get powers that the government doesn't even have, to claim the right to the local self-government that we've recognised to the local self-government units. Here we call on the European Charter of Local Self-Government when it suits us. We listened to some advisory bodies that told us everything that wasn't binding. But what is binding is that we are now disbanding through the Government the representative bodies that have been elected by citizens in the legal elections, we are putting the Commissioner on them, and of all the reasons for disbanding he can only make a decision on the use of language and letters. Which is what our smart colleague would say.
ParlaMint-HR_2015-07-09-0.u116088	Now they follow the lines to the presentation of the respected Josip Salapic. The first one will be carried out by Boro Grubisic.
