ParlaMint-HR_2015-03-12-0.u103936	... [[The speaker is not enabled.]]
ParlaMint-HR_2015-03-12-0.u103947	Thank you very much. Dear Representative Josip Djakic, replica.
ParlaMint-HR_2015-03-12-0.u103948	Thank you very much, Mr. President of the Croatian Parliament. Mr. Deputy, you mentioned the decision and conclusions of the Committee on War Veterans of the Croatian Parliament to postpone the application of certain articles of the Law on the separation of pensions obtained under special regulations. Namely, the conclusion of the War Veterans Committee with the presence of the President of the Croatian Parliament who participated in the debate was unanimously adopted and it reads in its first point this way: "It is proposed to postpone the application of the Pension Insurance Act to 6 months.". It means delaying the application of the Pension Insurance Act and this conclusion of the War Veterans Committee adopted unanimously is not respected. Why? Because only certain articles of the law have been postponed for 6 months and in these conclusions it is clearly defined that the whole law is being postponed. Croatian defenders who went after, as in disability pension as active military personnel, Croatian defenders who went after as active military personnel receive solutions under the new law that reduced the value point from 1 to 0.65 brought solutions that are in the same amount of pensions paid. However, this harmonisation, which will follow in the subsequent sequence, will certainly contribute to lower pensions than can be read from these incoming solutions. There is one more thing I would like to stress, given that the Law on the Rights of Croatian Lawyers has not been amended and amended, which, in the light of this Pension Insurance Act, I do not know why the Pension Insurance Act would absolutely apply above the Special Provisions Act.
ParlaMint-HR_2015-03-12-0.u103949	Thank you very much. The reply to the replica, dear Deputy Minister Bozidar Stubelj.
ParlaMint-HR_2015-03-12-0.u103950	Your Honor, the decision of the Committee has extended the application of Article 80, because such a request has been but another provision has also been made, and one conclusion is that both representatives of the Committee and of the Government and of the Ministry will therefore form a committee that will work on all these issues. ... Yes, so that's how the whole question will be solved. [[You can't hear the intruder.]] As for the solutions to come, namely the Pension Insurance Act is defined to separate all pensions under a special regulation, therefore, into a general and specific part. In that category, other than defenders of many other jobs defined by pensions in a special regulation, and of course, solutions have also come in that part, but no defender, therefore the user who uses the pension under the defence internship has received such a solution and is precisely awaiting this provision which is now defined in these amendments. As far as pension cuts are concerned, it is clear that pensions and defenders will remain in the same amount as they have so far.
ParlaMint-HR_2015-03-12-0.u103951	Thank you very much. We've exhausted the replicas and the answers to the replica. Do the rapporteurs of the working bodies of the Croatian Parliament Committee wish to present their reports? No, I don't. I'm opening a debate. In the debate we are going to the clubs of representatives in the Croatian Parliament. It is next to the club of independent representatives Linić-Vuksic-Hodzic and respected representative Slavko Linic.
ParlaMint-HR_2015-03-12-0.u103952	Thank you, Mr. President. Mr. Deputy Minister with associate, colleague and colleague. There is little to say about the very proposal of the Law on Amendments and Supplements to the Pension Insurance Act. The simple solutions proposed by this law go in favour of future pensioners and I therefore believe that the proposed solutions should be accepted. So we really agree that anyone who works part-time simply has the same rights as the one who works full-time, but of course adequate to the working time that has passed. Why? Well, because he pays a pension contribution, because he's the one who's out of his job and out of retirement. So it is very important that we are in line with the European Directive here. When we talk about a life partnership, we also feel that it is necessary to harmonise this law for the reasons that we have settled it by law in the Republic of Croatia, the life partnership of same-sex communities, and that is why I believe that we need to resolve and inherit, and that is why we need to address the issue of the family pension on this basis. So we agree with that part as well. We also believe that a more quality solution is that all those who are 60 years old are retired and have 41 years of training, considered pensioners with a full retirement period, means they have done 65 years and have exactly the same pensions as those who went into full retirement. I think it is necessary to coordinate the simple relationship between the Pension Insurance Act, pension funds, and every time we estimate that it is more acceptable for the pensioner, given that because of disability or early retirement, he was forced to simply retire earlier and for this reason it will be far more favourable for him to give and receive from generation solidarity than the combination of generational and other pension pillars. So all the solutions, however, we expect some more solutions in further coordination because it really takes citizens who can't stand full retirement experience to have generation solidarity because it's certainly more favourable than the combination with the pension column and, of course, the obligation to recover it from the funds, given that certain funds are still paid there. We see that a lot of solutions are related to the skills of incompetence, disability, so it's very good that we've regulated it. I think it's the actions that make it easier now to complete the procedure and that in some ways will put less burden on our citizens. But what can we conclude from this law? From this law, we can conclude that pension expenditures will increase, not only because of increased users when we speak to same-sex communities but also because we protect citizens entering retirement and give them more favourable conditions than before. And then we return to the fundamental issue that the coalition government did not touch in the fourth year of its term. She didn't touch it. The biggest deficits in the Republic of Croatia when we talk about the budget are pensions. The pension system deficits are more than 17 billion kunas per year. So, with all this new expenditure to follow us, not perhaps in the next but next years, we're going to increase our deficit. If we still have the accident and there's a little bit of stronger inflation and some economic growth, and then we start coordinating pensions, then we can expect 18 and 19 billion deficits in the pension system. We're wondering if it's possible that the entire mandate we're talking about is the deficit, the way to contain the deficit, and the biggest cause we haven't touched. Well, it's obvious that it can only be an increase in the insurance rate, nothing more than the insurance rate. But any increase in the insurance rate will endanger the economy, the competitiveness of the economy. So the health contribution should be reduced, and the health contribution should be financed from the property tax. And basically with the work to move the burden on wealth that isn't functional, because when we talk about real estate tax then we're always talking about the burden on assets that aren't in function. So solutions exist, solutions are even about government decisions written. Because you know, the convergence plan talks about it, but the government doesn't implement it and says it won't be implemented. Therefore, we are aware that we are not solving the biggest deficit in the Republic budget. And that's what's worrying. Good and commendable that we give citizens a simpler system and a system that will protect them, which will indeed have something more in retirement. But we're not thinking about how we're going to provide the pension funds that are absolutely necessary. That's one of the problems we haven't touched in four years. Let's go back to another problem, and another problem is called the second pension column. All the analyses even at the introduction of the system have made it clear that 5% of the salary contributions are insufficient for the second pension column, insufficient. All analyses of world institutions dealing with this system warn the Republic of Croatia, the Government, in the Assembly that 5% is an unsustainable system of the second pension pillar. What does that mean? This means that all those who really will be users, not generation solidarity, but another pension pillar based on savings will have fewer pensions than those who have generational solidarity, and then there is no logic that we have a second pension pillar, we really don't have because simply in addition to its own savings, which should be the backbone of a pension that should be a new generation that doesn't talk about a new one, but a social pension, so social pensions will be bigger than those that people will earn by their isolation. Thus, familiar problems are known problems. But the competent ministry does not propose solutions, the government does not propose solutions. And then we actually wonder how we can actually come up with a solution to one of the biggest deficits in the state budget. And then let's not be surprised that we have solutions in the big VAT, which is not the intention of taxing pensions, it's not. And then you can only draw one conclusion. The coalition government of the left centre burdens citizens with taxes. All taxes are based on basic salaries and basic consumption, and the basis of consumption is again the citizens of Croatia most of them are workers or pensioners. In this way, we can say that Croatia is not social enough and that on the most important issue of the pension system it has not shown enough sensitivity. There's so much to conclude, and the law needs to be supported because it's for the benefit of the citizens.
ParlaMint-HR_2015-03-12-0.u103953	Thank you very much. We have two replicas. Honorable representative Branko Vuksic first.
ParlaMint-HR_2015-03-12-0.u103954	Dear counterpart Linic, when it comes to pensions, you often mention the fact of the lack of 17 billion kuna per year to be allocated to pensions. But not once, not ten times, we've talked a hundred times here about pensions according to the special regulations we should. It's 182000 people who should be singled out of retirement. And you should single out all those pensions or part of the pension that wasn't paid into the pension fund and you'd get less delusional, actually this is one hoax, a delusion of how much money it means in the Peace Fund. And the other thing that's very important is it's an important thing, and that's that people who are 40 years old, 41 years of employment retire under unequal conditions, get those pensions for the same amount, same year internships are too different. It all depends on who retired what year. It is actually such an injustice to people who have worked their whole lives and who have several hundred kunas or even thousands of kunas express the difference in retirement. These are the old pensioners, the new pensioners, who often speak of these injustices by colleagues from HSU. So here we are talking about these injustices, but we never correct these injustices or rarely correct them. So, to isolate everything that's under special regulations from the Peace Fund.
ParlaMint-HR_2015-03-12-0.u103955	Replica response, respected representative Slavko Linic.
ParlaMint-HR_2015-03-12-0.u103956	I agree with my colleague to do this, but I think this law that we're making right now gives us a real guess. Why? Because we're going to have a pension split to see what we've accomplished based on work, and what we've achieved by some special regulations. And now we're going to have the right amount that would be distorted, because you know the MP gets a pension. So he didn't earn all his pension by sitting in the Assembly something was in his working life. And that's why I think after this, it really won't be a problem for the Peace Service to single out and separate those pensions. And it will be I believe in a few billion kunas if it is. But you don't need to be burdened. The budget finances pensions of 17 and a half billion. So, anyway, we're giving out of the budget to the Peace Fund. And that's why there's no desire for the Peace Fund to be run specifically. You know, the same thing will happen to you with the Health Fund. We singled it out, very soon it will be deficits so visible that the new minister will probably ask for a return to the budget because the safest is in the budget, then you don't have to worry because there are simply too many expenditures, and insufficient revenues per million and 340 thousand employees. That's not enough number to keep both funds out of the state budget.
ParlaMint-HR_2015-03-12-0.u103957	Honorable representative Ivan Shuker, replica.
ParlaMint-HR_2015-03-12-0.u103958	Thank you very much. Well, fellow Linic, you've touched some of the things that unfortunately in this House are very rarely discussed. However, these key provisions of this law are currently tangling the second pillar of retirement. Because most of these people, mentioned here in 2014, in fact in 2024 and 2027, will then come to the first big wave of those who will practically have most of their employment paid into the second pillar of retirement and then will become a social chaos. Because it's obvious that 5% won't satisfy it. The second thing, when a law like this is passed, it must have long-term fiscal assessments. To pass a law like this without long-term fiscal evaluations and say that they will... Fifty thousand kuna in 2016 is just funny, Mr. Deputy. [[The speaker doesn't understand.]] As far as you're concerned, don't take it personally, but he just has to count on it. Because if you make it possible for someone, and you rightly allow them to retire at age 60 and 41, they're basically 5, 6 or 7 depending on how long the retirement limit extends to use the second pillar of retirement. And that second pillar of retirement was projected, however, to a certain number of years. So the consequences of this law are fiscally very difficult in the long term, and the consequences of this law on the reception of future pensioners are socially very dangerous. And that's why we're here pushing things like technical changes against which a man simply can't be. But the basic problem with the pension system all these years is that fiscal impact assessments haven't worked for 20 or 30 years. So just remember that story 6% plus 100 kuna, that cost 100 million kuna in one year. But today, after a few years, it costs more than a billion kuna.
ParlaMint-HR_2015-03-12-0.u103959	Thank you very much. Replica response, respected representative Slavko Linic.
ParlaMint-HR_2015-03-12-0.u103960	I agree with my colleague Shuker that looking back for many years these are very difficult burdens for the state budget. Why? Well, because I am convinced that the social pension that will follow the second pension pillar will be at the height of today's generational solidarity. And that means that basically we will have the effects that the second pension pillar should bring, and the second pension column should reduce the amount for generation, we will not have it because simply for the sake of social chaos, we will have the obligation of the government and this Parliament to think about a social pension that will not be a social pension but will be a real pension based on generation solidarity where you will simply have to go to heights somewhere like you've worked 60 years, 40 years of employment and that you will have to provide such a high social pension. It is unfortunately only a sign that we have entered a system that we have not upgraded and that the effects needed by that second pension column provide we simply will not have. And not to mention what will happen to the funds when regular payments start and all that is, their liquidity will fall significantly and everything we wanted to achieve that the fund serves the financial market and strengthens the financial market in the Republic of Croatia, unfortunately we will not have it. So I'm actually wondering if any of the government has to think about what to do with the other pension column?
ParlaMint-HR_2015-03-12-0.u103961	Thank you very much. We're going to continue the debate by the representatives' clubs. It is the Club of Representatives of Croatian Labourists in the Croatian Parliament and the Honorable Representative Zlatko Tušak.
