ParlaMint-HR_2015-09-09-0.u117855	Mr. President.
ParlaMint-HR_2015-09-09-0.u117883	Although, Mr. Stazic, an esteemed colleague, you warn and ask us to be logical, you are an example of illogicalness. Analyze as a man I really respect a little of what you said. You said a sentence when the opposition suggests something that's good, when the government suggests it's bad. Well, of course, the government remembered that citizens were poor a week before the parliament's election or disbandment, and the opposition suggested it at the beginning of your term and spoke about it. And now you've remembered what a logic that is, please tell me. Yeah, it's not good. The opposition didn't do it for election purposes at the time, but did it because she thought it was part of the opposition. I don't defend all the opposition because there's an opposition that's made chaos in this country, so it's irrefutable. But now it's about this government and you've been ruling for four years and we can no longer call upon those who previously ruled. You said everything's growing. This growth that was today when it was growing, I repeat, the governments of Mrs. Jadranka Kosor 0.8% then said it was a statistical error. This is a little more than a statistical error. The second thing, we're glad that growth and I would be glad that the growth is the one you promised, but it's 5% but it's not, there's no growth of 5%. Happy foreign investment, but foreign investment has fallen to 0 so it's easy to do something from the bottom. All those promises and you know more than those promises you made, very little promises have been fulfilled. And if what you're saying right now isn't a pre-election campaign, and what we're saying is a pre-election campaign, then you're fighting with logic again.
ParlaMint-HR_2015-09-09-0.u117884	Thank you very much. Honorable representative Drazenko Pandek, replica.
ParlaMint-HR_2015-09-09-0.u117885	Thank you. Dear colleague, I would refer again to your argument that it was not necessary to convene a session of the Parliament because it cost. I don't really understand that argument. In fact, the whole Parliament's work costs, so what would you do if we did two or three months a year? Personally, I think the break is too long, personally I think we should have been there before, but then there'd be an argument again, so it costs. I don't think that's an argument we should accept. When I look at it and now I don't know about these costs, you're talking about that couple of million, I really don't know what the cost is that you pulled it out like this, or are these really constant numbers. Personally, my work here now costs Croatian taxpayers perhaps this paper which is printed here, I have proof, I come, and there are plenty of representatives from Zagreb too. There's no expense here, so I'm just wondering how you got that calculation. But regardless, I think we have to be there for Croatian citizens, we have to do and we have to do even more even if it may have caused some extra costs. And yes, Croatia is growing. Croatia is growing and that is a fact, these are figures. In the last quarter, 1.2%, the next quarter will be over 2%. Maybe that's some grief, maybe it's growing less than you and I and all of us would like, and maybe that's the problem, maybe it's just some of the sorrows that are called patriots bigger than others. We also had press conferences that were afraid that the withdrawal of funds from the EU funds would be catastrophic, that we were down. The data shows over a billion kuna in the plus, and that's where it grows, and that's where we grow. I don't know if it's any grief, but I think the numbers show that we're growing and that it should cheer us all up anyway.
ParlaMint-HR_2015-09-09-0.u117886	Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117887	Dear colleague Pandek, I agree with you. The patriotism is proven by works, not by putting his hand on the heart or by waving the banners. It is quite clear, and many who waved at the banners put their hands on their hearts, kept their wallets in which there was someone else's money. Now let me get back to the beginning of your replica. You said it might be too long to cut it short. Remember who suggested that the break be shortened, remember who suggested it was longer, remember who was talking about not working too much. Remember and tomorrow you will feel it also next Friday or some of the Fridays when a stampede is cast around 12 hours and how many of your MPs, this is today a record, how many of your MPs are coming to Parliament. Now that you're already giving lessons about what you should do, which you should have done at the beginning of your term, not now. You asked if it cost anything. It didn't take seven days, this is all the same for election timing like bad timing changing these laws so you've set a good timing for yourself, so I least need a pre-election campaign because I'm not in either one, in the left or in the right coalition or I'm going to be. So I don't need it, I don't need an election campaign. But I'm saying the same thing I said four years ago, nothing else.
ParlaMint-HR_2015-09-09-0.u117888	Thank you very much. Dear Representative Tomislav Zhagar has a replica.
ParlaMint-HR_2015-09-09-0.u117889	Thank you, President of the Croatian Parliament. Dear counterpart Vuksic, therefore in the past there were two laws that helped units. This was the Law on areas of special state concern and the Law on mountainous and mountainous areas. Exactly, and this is what the Deputy Minister pointed out, precisely because of the injustice that was committed and especially to the units of local self-government from Slavonia injustice which, of course, was not aware, but there were failures, there were units of local self-government at the time either the Government of the Republic of Croatia that many units in the area of Slavonia and Baranja had not entered the process, and they needed help. And just past changes in the funding of local self-government units, this is what the Deputy Minister and I am stressing 99 units from Slavonia and Baranja, and from my county six units that have not had the same chances, which have come into that status. Of course, there was a lot of noise at the time that the units from the mountainous and mountainous areas that had been helped had rebelled. And I actually see these amendments to the law in this light that now that part of the injustice is corrected, because beware who will correct then injustice against these Slavic units. That's why this law should certainly be supported. I hope that you will support it, too, by adopting these amendments to the laws because it will allow mountain-mounted units to prepare projects that are extremely important for their development to attract as much funding from EU funds as possible. Here, thank you.
ParlaMint-HR_2015-09-09-0.u117890	Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117891	I will uphold that law, speak for myself. But now the question. We understand each other well because he's saying every one of his cancers and what you're saying would have been logical if it had happened six months ago, eight months, ten months ago. But there was a warning, but you don't want to listen. No government wants to listen to the opposition. You didn't even listen to the members of your party, the mayors, the mayors, the mayors, you didn't listen to the mayors when they were being brought in. And now you're saying it makes sense to get it right. Well, it makes sense, so that's why we're going to support me speaking for myself, so we're going to support it because it's logical, but we need to call things by our names. And you're in pain why in those names like when I said yesterday why I was saying that and I was saying that fact, nothing but the fact. You can't correct mistakes, I mean you can, but you can correct those mistakes, but you should call it correcting your real name and that's a pre-election trick because you didn't want to listen in time.
ParlaMint-HR_2015-09-09-0.u117892	Thank you very much. Dear Representative Slavko Linic, replica.
ParlaMint-HR_2015-09-09-0.u117893	Thank you, Mr. President. Comrade Vuksic, you said it's hard to be right when the government is wrong, you just need to say why it's hard? Because that's what the citizens of the Republic of Croatia pay for. They paid for this last year's changes to the citizens of major cities and the citizens of the mountain-mountan area. Now we're correcting, but they'll pay for those in the county and also what's important to say is that we've compromised all the upgrades of kindergarten, schools, health care, culture, all that's threatened. But you'll allow it's not the ones we're just criticizing. It was the left-wing club that proposed the amendments and gave the solution to how it should be done and made it very clear. If it's a policy of decentralisation, and we know that big downs in local self-government units, unpaid bills, builders don't get their income, no more investments, minuses are on local self-government units. Take a step and leave all income tax to local self-government units. You could have solved your laziness, because for two years you've been discussing corrections towards units in Slavonia and others. For two years, this has been dragged into the drawers of the regional development ministry responsible. You could've fixed that. You could have left the money in the mountains because you know they're missing it, you just had to leave it in redistribution all income tax. And we suggested that you transfer the profit tax to decentralised functions, because that's the same money created on a regional and local principle, and you should have given it up and solved the problem, and you didn't do it. You've had suggestions, but unfortunately we don't like to work.
ParlaMint-HR_2015-09-09-0.u117894	Thank you very much. Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117895	Dear counterpart Linic, the ruling coalition remembered where voters are in municipalities and cities, and therefore the law changes five to twelve. At the time and when we gave this amendment, we warned that vital interests in the counties were at stake. There'll be less school, less kindergarten, less ambulatory. However, no one listened. And now it's good that it's fixed, but I'm correcting myself once again for pre-election purposes.
ParlaMint-HR_2015-09-09-0.u117896	Thank you very much. Honorable representative Damir Mateljan, replica.
ParlaMint-HR_2015-09-09-0.u117897	Thank you, Mr. President. When I talk about later brains, then first of all, the ex post mind is the new empathy of HDZ towards the Gorski Kotar. Well, good. Mr Vuksic, you were talking about decentralisation, or you said that this law is actually going towards further centralisation of the Republic of Croatia. However, it is not only decentralisation when it descends from national to local, but it is decentralisation when it descends from the area to the local level, and that is also the case here. Then you said that this law of the county would lose. So they're not county units without their borders, without their own area. So, these 58 million kunas go right into those counties. So it goes to units of local self-government that are in the area of these counties that have mountain-mounted areas. And third, you said this law was pre-election. This law has been under way for months. This law is precisely based on the agreement of local self-government units in the mountainous-mountan area and the county. And if you noticed on the boards there were no objections from the county to this law. The law therefore goes towards not reducing, so not reducing the quality of life of citizens in the county, but increasing their quality. Thank you very much.
ParlaMint-HR_2015-09-09-0.u117898	Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117899	Dear fellow Mateljan, I did not say that you may have misunderstood or perhaps it is the fault of constructing a sentence, that this law makes Croatia even more central than I said that Croatia has never been more centralised than it is today. That's what I said. None of those pre-election promises that Croatia will decentralisation were made. It's only a small shift in the correction of the mistakes you say has been under way for a long time. So you didn't exactly convince me that it wasn't designed to get any more votes.
ParlaMint-HR_2015-09-09-0.u117900	Honorable representative Kresimir Bubalo has a replica.
ParlaMint-HR_2015-09-09-0.u117901	Thank you very much. A colleague of Vuksic's earlier, you said in your presentation that you always get on the bridge and loses on the pot. So where's Slavonia and Baranja? We are only losing, and when you look at the results of this reform, when you look at changes in income tax when local administration units lost 2 billion kuna in Croatia. And when we look now after tax returns, then we can say that Slavonia and Baranja are losing again. When you start from Osijek to other municipalities and cities with which we talk daily and today we see that a legal solution for mountain-mounted areas is being changed. And where is the PPDS, where is Slavonia and Baranja who also lost these changes? Today it is forgotten again in this amendment to the legal solution. It's just like Mr. Greek says these days start spending. So what do we spend in Slavonia and Baranja? Because when we look at GDP, when we look at GDP growth and you look at the structure of agriculture, then you see again that the drop in the first quarter is 2.8, in the second quarter is 3%. And then the people in Zagreb say it's because of the drought. Well, they don't know there's just a drought in the third quarter. When we talk about Slavonia and Baranja governments have changed, both HDZ and SDP, some have won on the bridge but Slavonia and Baranja is constantly on the chalice.
ParlaMint-HR_2015-09-09-0.u117902	Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117903	I hope they heard you say that they heard this replica of yours and colleagues who used to say that Slavonia got this. But I was also reading, preparing for this debate, some of the mayors who said that exactly what you were saying today, 2 to 3 billion losses lost by local self-government. Here I read the gentleman's statements... who runs the County Association. [[The speaker doesn't understand.]] However, he does not want to understand that the money he has the government with is not the government's money that he can do with that money whatever he wants. It's the money of the citizens of the Republic of Croatia. And when I often hear the minister say I'm gonna give these, I'm not gonna give these or I'm gonna do it, act like it's his private money, like he put it in the register. Croatia is centralised and in Croatia, as it was said yesterday, there are too many differences between citizens in the Republic of Croatia and there are too many differences in some parts of Croatia.
ParlaMint-HR_2015-09-09-0.u117904	Dear Representative Marijan Škurić, replica.
ParlaMint-HR_2015-09-09-0.u117905	Thank you, Mr. President. An esteemed colleague of course in each of your discussions through the great epic figures you want to mention something that doesn't suit the truth. First of all, whether this is populism or not, I have an opinion about this law and I am aware that many things are not well done and that a lot of JLS has lost. But one fact is that unfortunately when we make a certain law, you have to have adequate measures, you have to have an adequate simulation to see what happens to those decisions in the future. And if a certain problem occurs, then you need to correct those mistakes. One of the laws here will try to correct another part of the mistakes that have occurred. But in your presentation you always mention and begin to compare with others. You also mention this power and government, and you mention certain parties, primarily Mrs Pusic or HNS where the maltenes turn out that we as HNS do not belong to this socio-political mile or that we do not have any power. Well, first of all, you need to know as a politician that your value is the moment you go out to your citizens and they give you their vote for those activities or politics and ideas you have. Then let's compare what you got and how many votes you got when you went to your voters, and I can say like the CNS when that party that has two mayors, over 100 officials, which mayors, mayors and their deputies and that they get trust in a direct exit to their citizens, then we can really say that we have a very big reson. Well, I'm personally the third mayor in my city. Come to Nedelisce from which you left as you said almost naked and barefoot, and now that we look at today's property card, that you are one of the richest almost advocates and stand before them and let them give you confidence and then you will contribute with your experience to this development.
ParlaMint-HR_2015-09-09-0.u117906	Thank you very much. Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117907	I didn't understand all of you, I've been very hard on you, but I'll tell you right now, a hundred times a repeated lie becomes true. It's about the richest, God forbid I'm the richest, but that's the lie that's been laid out the first days repeats itself, and that's your only argument, Mr. Squartic. I got 2% in the City of Zagreb which HNS can dream, dream, and even in dreams you can't imagine. You're in this coalition 0.5%. Count it out and you'll see. So that's your story. And why does that story hurt? I have a concrete score, you don't. I'm talking about HNS, I'm not talking to you personally because you personally told me my result about it. You're tripping. Go to the polls yourself and see how much you get in those elections. And all these little ones who are patriotic to God, and the patriots are just gonna put something in these chairs. I'm not saying they don't say I'm rude. And that's the whole story. A lie about wealth, God forbid it's true, that she's the fact that I'm a rich man, if I'm so rich, and I'm going to split up the millions I got at the lottery, and all the rest of this stuff you were saying I didn't understand. To tell you the truth, I didn't understand, inconceivably, but I didn't hear you.
ParlaMint-HR_2015-09-09-0.u117908	I think the replica is the best tool to reveal all of us. It's the best tool absolutely. And the esteemed representative Damir Caine's replica.
ParlaMint-HR_2015-09-09-0.u117909	All right, in Croatia, Mr. Representative is growing and public debt, growing and number of blocked, growing and number of executions, Croatia has increased VAT from 23% to 25%, in Croatia it has increased the departure of young people abroad, in Croatia prices rise, the number of poor, but something is the same truth as Mr. Stazic says, and it is good that it simply happened to us, regardless of what may be the last one in Europe coming out of the crisis. We all have to look forward to growing because it's a condition of survival. But without the truth, there's a good future, it's either gonna be or it's gonna be like that, but certainly not the way they want it to be. I'm glad we have this law ahead of us, why? Because I want to believe that my Buzet is finally going to lift a 6% cut that he shouldn't have introduced at all. Because the material situation of a Buzet is slightly different from that of a whole series of cities in Gorski Kotar.
ParlaMint-HR_2015-09-09-0.u117910	Replicate reply, respected representative Branko Vuksic.
